year,rentown,sampreg,hlf0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Owner,West,Yes,0.85721,4499,4770,0.84728,0.86714
2011,Owner,West,No,0.07725,271,4770,0.06967,0.08482
2011,Owner,East,Yes,0.84638,1081,1159,0.82561,0.86715
2011,Owner,East,No,0.08975,78,1159,0.07329,0.10622
2011,Tenant,West,Yes,0.59044,3105,4398,0.57590,0.60497
2011,Tenant,West,No,0.31293,1293,4398,0.29922,0.32664
2011,Tenant,East,Yes,0.54622,1104,1725,0.52272,0.56972
2011,Tenant,East,No,0.37253,621,1725,0.34970,0.39535
2013,Owner,West,Yes,0.85945,4693,4984,0.84980,0.86910
2013,Owner,West,No,0.08033,291,4984,0.07279,0.08788
2013,Owner,East,Yes,0.85856,1031,1109,0.83804,0.87908
2013,Owner,East,No,0.08848,78,1109,0.07176,0.10520
2013,Tenant,West,Yes,0.60758,4235,6060,0.59528,0.61987
2013,Tenant,West,No,0.32277,1825,6060,0.31099,0.33454
2013,Tenant,East,Yes,0.54634,1140,1778,0.52319,0.56949
2013,Tenant,East,No,0.37998,638,1778,0.35741,0.40255
2016,Owner,West,Yes,0.91753,4885,5140,0.91001,0.92505
2016,Owner,West,No,0.07874,255,5140,0.07138,0.08610
2016,Owner,East,Yes,0.89487,1072,1156,0.87718,0.91256
2016,Owner,East,No,0.10513,84,1156,0.08744,0.12282
2016,Tenant,West,Yes,0.66202,4347,6070,0.65012,0.67393
2016,Tenant,West,No,0.33412,1723,6070,0.32225,0.34598
2016,Tenant,East,Yes,0.57479,1255,1914,0.55263,0.59694
2016,Tenant,East,No,0.42236,659,1914,0.40023,0.44450
2017,Owner,West,Yes,0.91751,5479,5746,0.91040,0.92462
2017,Owner,West,No,0.08057,267,5746,0.07353,0.08761
2017,Owner,East,Yes,0.92042,1244,1312,0.90577,0.93507
2017,Owner,East,No,0.07822,68,1312,0.06369,0.09276
2017,Tenant,West,Yes,0.65709,5095,8001,0.64669,0.66749
2017,Tenant,West,No,0.34204,2906,8001,0.33165,0.35244
2017,Tenant,East,Yes,0.57745,1435,2403,0.55770,0.59721
2017,Tenant,East,No,0.41726,968,2403,0.39754,0.43698
2018,Owner,West,Yes,0.92271,5253,5500,0.91565,0.92977
2018,Owner,West,No,0.07556,247,5500,0.06858,0.08255
2018,Owner,East,Yes,0.92349,1196,1253,0.90877,0.93822
2018,Owner,East,No,0.07433,57,1253,0.05980,0.08886
2018,Tenant,West,Yes,0.66068,5337,8581,0.65066,0.67070
2018,Tenant,West,No,0.33704,3244,8581,0.32704,0.34704
2018,Tenant,East,Yes,0.58375,1486,2524,0.56452,0.60298
2018,Tenant,East,No,0.41582,1038,2524,0.39659,0.43505
2019,Owner,West,Yes,0.92260,6045,6312,0.91600,0.92919
2019,Owner,West,No,0.07583,267,6312,0.06929,0.08236
2019,Owner,East,Yes,0.91736,1471,1549,0.90364,0.93107
2019,Owner,East,No,0.08264,78,1549,0.06893,0.09636
2019,Tenant,West,Yes,0.66829,4489,6169,0.65654,0.68004
2019,Tenant,West,No,0.31488,1680,6169,0.30329,0.32647
2019,Tenant,East,Yes,0.57401,1348,2041,0.55255,0.59547
2019,Tenant,East,No,0.41402,693,2041,0.39264,0.43539
2021,Owner,West,Yes,0.92696,3953,4143,0.91903,0.93488
2021,Owner,West,No,0.07200,190,4143,0.06413,0.07987
2021,Owner,East,Yes,0.93018,912,954,0.91400,0.94636
2021,Owner,East,No,0.06982,42,954,0.05364,0.08600
2021,Tenant,West,Yes,0.69630,3961,5828,0.68450,0.70811
2021,Tenant,West,No,0.30331,1867,5828,0.29151,0.31511
2021,Tenant,East,Yes,0.60420,1066,1632,0.58047,0.62793
2021,Tenant,East,No,0.38929,566,1632,0.36563,0.41295
