"e11103","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Vollzeit","1991","(noch) kein Abschluss","287","","",""
"Vollzeit","1991","AkademikerIn","434","0.578733164141941","0.542641952167317","0.614824376116565"
"Vollzeit","1991","Hauptschule","2474","","",""
"Vollzeit","1991","Realschule","825","0.487252365937421","0.46302434036585","0.511480391508992"
"nicht erwerbstätig","1992","(Fach-)Abitur","307","0.334219123086904","0.303349368589447","0.36508887758436"
"nicht erwerbstätig","1992","(noch) kein Abschluss","449","0.58550471422966","0.552807191948582","0.618202236510737"
"nicht erwerbstätig","1992","AkademikerIn","271","","",""
"nicht erwerbstätig","1992","Hauptschule","2465","","",""
"nicht erwerbstätig","1992","Realschule","667","0.277609794488062","0.261855804993534","0.29336378398259"
"Teilzeit","1992","(Fach-)Abitur","207","","",""
"Teilzeit","1992","(noch) kein Abschluss","127","","",""
"Teilzeit","1992","AkademikerIn","330","0.204240748559868","0.18481797992186","0.223663517197876"
"Teilzeit","1992","Hauptschule","1132","","",""
"Teilzeit","1992","Realschule","663","0.201594623253071","0.187481002815315","0.215708243690827"
"Vollzeit","1992","(Fach-)Abitur","383","0.429064563403983","0.396674880746609","0.461454246061357"
"Vollzeit","1992","(noch) kein Abschluss","296","","",""
"Vollzeit","1992","AkademikerIn","1054","","",""
"Vollzeit","1992","Hauptschule","2942","","",""
"Vollzeit","1992","Realschule","1774","","",""
"nicht erwerbstätig","1993","(Fach-)Abitur","279","","",""
"nicht erwerbstätig","1993","(noch) kein Abschluss","470","0.622118014303056","0.589522854758117","0.654713173847995"
"nicht erwerbstätig","1993","AkademikerIn","323","0.230768612012627","0.210352487352203","0.251184736673051"
"nicht erwerbstätig","1993","Hauptschule","2518","","",""
"nicht erwerbstätig","1993","Realschule","734","0.295043741475369","0.27897906796418","0.311108414986557"
"Teilzeit","1993","(Fach-)Abitur","258","","",""
"Teilzeit","1993","(noch) kein Abschluss","105","","",""
"Teilzeit","1993","AkademikerIn","296","","",""
"Teilzeit","1993","Hauptschule","1103","","",""
"Teilzeit","1993","Realschule","628","0.186492510341287","0.172772353047794","0.20021266763478"
"Vollzeit","1993","(Fach-)Abitur","373","0.421663099807208","0.389578203145789","0.453747996468627"
"Vollzeit","1993","(noch) kein Abschluss","275","","",""
"Vollzeit","1993","AkademikerIn","1017","","",""
"Vollzeit","1993","Hauptschule","2726","","",""
"Vollzeit","1993","Realschule","1734","","",""
"nicht erwerbstätig","1994","(Fach-)Abitur","335","0.364285313423388","0.333206084915939","0.395364541930838"
"nicht erwerbstätig","1994","(noch) kein Abschluss","494","0.660878463359721","0.629015317597758","0.692741609121683"
"nicht erwerbstätig","1994","AkademikerIn","343","0.234900067398074","0.214463294599656","0.255336840196493"
"nicht erwerbstätig","1994","Hauptschule","2578","","",""
"nicht erwerbstätig","1994","Realschule","709","0.291148447066669","0.275020633433415","0.307276260699922"
"Teilzeit","1994","(Fach-)Abitur","210","","",""
"Teilzeit","1994","(noch) kein Abschluss","112","","",""
"Teilzeit","1994","AkademikerIn","285","","",""
"Teilzeit","1994","Hauptschule","1053","","",""
"Teilzeit","1994","Realschule","622","0.196246477032658","0.182147000500359","0.210345953564956"
"Vollzeit","1994","(Fach-)Abitur","376","0.416540453780282","0.384701979801824","0.44837892775874"
"Vollzeit","1994","(noch) kein Abschluss","242","","",""
"Vollzeit","1994","AkademikerIn","1025","","",""
"Vollzeit","1994","Hauptschule","2472","","",""
"Vollzeit","1994","Realschule","1717","","",""
"nicht erwerbstätig","1995","(Fach-)Abitur","375","0.348823428367712","0.320145841391592","0.377501015343831"
"nicht erwerbstätig","1995","(noch) kein Abschluss","556","0.696956318251094","0.666609334409482","0.727303302092706"
"nicht erwerbstätig","1995","AkademikerIn","363","0.23907129433938","0.219105213122988","0.259037375555773"
"nicht erwerbstätig","1995","Hauptschule","2644","","",""
"nicht erwerbstätig","1995","Realschule","735","0.296100724815641","0.280071062970351","0.312130386660932"
"Teilzeit","1995","(Fach-)Abitur","262","","",""
"Teilzeit","1995","(noch) kein Abschluss","115","","",""
"Teilzeit","1995","AkademikerIn","324","0.201640053775241","0.182857921041625","0.220422186508857"
"Teilzeit","1995","Hauptschule","1119","","",""
"Teilzeit","1995","Realschule","693","0.207454806312327","0.193217653866491","0.221691958758162"
"Vollzeit","1995","(Fach-)Abitur","424","0.395811331246257","0.366386038070394","0.42523662442212"
"Vollzeit","1995","(noch) kein Abschluss","210","","",""
"Vollzeit","1995","AkademikerIn","1066","","",""
"Vollzeit","1995","Hauptschule","2362","","",""
"Vollzeit","1995","Realschule","1688","","",""
"nicht erwerbstätig","1996","(Fach-)Abitur","332","0.316004775116561","0.28759853451728","0.344411015715841"
"nicht erwerbstätig","1996","(noch) kein Abschluss","538","0.703552685278889","0.672687267055438","0.734418103502341"
"nicht erwerbstätig","1996","AkademikerIn","351","0.237220760119224","0.217370117093881","0.257071403144566"
"nicht erwerbstätig","1996","Hauptschule","2585","","",""
"nicht erwerbstätig","1996","Realschule","703","0.288650416964307","0.272740167040395","0.304560666888219"
"Teilzeit","1996","(Fach-)Abitur","272","","",""
"Teilzeit","1996","(noch) kein Abschluss","138","","",""
"Teilzeit","1996","AkademikerIn","332","0.197529484524215","0.178950186205496","0.216108782842934"
"Teilzeit","1996","Hauptschule","1137","","",""
"Teilzeit","1996","Realschule","719","0.218168658849715","0.203667520852652","0.232669796846777"
"Vollzeit","1996","(Fach-)Abitur","425","0.426443760635253","0.396226207796463","0.456661313474043"
"Vollzeit","1996","(noch) kein Abschluss","165","","",""
"Vollzeit","1996","AkademikerIn","1081","","",""
"Vollzeit","1996","Hauptschule","2224","","",""
"Vollzeit","1996","Realschule","1694","","",""
"nicht erwerbstätig","1997","(Fach-)Abitur","337","0.31061889396749","0.282206709758995","0.339031078175984"
"nicht erwerbstätig","1997","(noch) kein Abschluss","561","0.709017550005863","0.678153826577055","0.739881273434671"
"nicht erwerbstätig","1997","AkademikerIn","360","0.232805900338988","0.21310076441841","0.252511036259566"
"nicht erwerbstätig","1997","Hauptschule","2580","","",""
"nicht erwerbstätig","1997","Realschule","744","0.303826517536375","0.287584337913529","0.320068697159221"
"Teilzeit","1997","(Fach-)Abitur","254","","",""
"Teilzeit","1997","(noch) kein Abschluss","122","","",""
"Teilzeit","1997","AkademikerIn","309","0.185618906142926","0.167490702875604","0.203747109410248"
"Teilzeit","1997","Hauptschule","1087","","",""
"Teilzeit","1997","Realschule","681","0.208376793122603","0.194033242634116","0.22272034361109"
"Vollzeit","1997","(Fach-)Abitur","428","0.429074617872764","0.398685570452652","0.459463665292876"
"Vollzeit","1997","(noch) kein Abschluss","149","","",""
"Vollzeit","1997","AkademikerIn","1098","","",""
"Vollzeit","1997","Hauptschule","2105","","",""
"Vollzeit","1997","Realschule","1655","","",""
"nicht erwerbstätig","1998","(Fach-)Abitur","387","0.350026129768737","0.322422603592186","0.377629655945287"
"nicht erwerbstätig","1998","(noch) kein Abschluss","562","0.694424081112686","0.662971489589179","0.725876672636192"
"nicht erwerbstätig","1998","AkademikerIn","426","0.252116851078213","0.232937096574184","0.271296605582242"
"nicht erwerbstätig","1998","Hauptschule","2918","","",""
"nicht erwerbstätig","1998","Realschule","822","0.29737577396306","0.281999802852309","0.312751745073812"
"Teilzeit","1998","(Fach-)Abitur","287","","",""
"Teilzeit","1998","(noch) kein Abschluss","119","","",""
"Teilzeit","1998","AkademikerIn","402","0.202317792301366","0.184573559601688","0.220062025001045"
"Teilzeit","1998","Hauptschule","1127","","",""
"Teilzeit","1998","Realschule","784","0.216043413017452","0.202199950687963","0.22988687534694"
"Vollzeit","1998","(Fach-)Abitur","473","0.393346799865463","0.36507688900254","0.421616710728385"
"Vollzeit","1998","(noch) kein Abschluss","143","","",""
"Vollzeit","1998","AkademikerIn","1141","","",""
"Vollzeit","1998","Hauptschule","2151","","",""
"Vollzeit","1998","Realschule","1789","","",""
"nicht erwerbstätig","1999","(Fach-)Abitur","329","0.296713775847455","0.270149753571359","0.323277798123551"
"nicht erwerbstätig","1999","(noch) kein Abschluss","514","0.63393191413529","0.60036108315511","0.667502745115471"
"nicht erwerbstätig","1999","AkademikerIn","420","0.248082995522975","0.228957428273508","0.267208562772443"
"nicht erwerbstätig","1999","Hauptschule","2773","","",""
"nicht erwerbstätig","1999","Realschule","750","0.273876755681531","0.258845050038309","0.288908461324753"
"Teilzeit","1999","(Fach-)Abitur","333","0.300706298058206","0.274040167822758","0.327372428293653"
"Teilzeit","1999","(noch) kein Abschluss","136","","",""
"Teilzeit","1999","AkademikerIn","372","0.183719194542355","0.166570623713203","0.200867765371508"
"Teilzeit","1999","Hauptschule","1129","","",""
"Teilzeit","1999","Realschule","852","0.246987879202989","0.232451230021637","0.261524528384342"
"Vollzeit","1999","(Fach-)Abitur","474","0.402579926094339","0.374061543646775","0.431098308541903"
"Vollzeit","1999","(noch) kein Abschluss","141","","",""
"Vollzeit","1999","AkademikerIn","1167","","",""
"Vollzeit","1999","Hauptschule","2123","","",""
"Vollzeit","1999","Realschule","1779","","",""
"nicht erwerbstätig","2000","(Fach-)Abitur","730","0.309846487528657","0.29115793901508","0.328535036042234"
"nicht erwerbstätig","2000","(noch) kein Abschluss","660","0.70083332703322","0.6712129399814","0.73045371408504"
"nicht erwerbstätig","2000","AkademikerIn","855","0.248724271953918","0.235009055337942","0.262439488569895"
"nicht erwerbstätig","2000","Hauptschule","5226","0.5174944783651","0.508017130935213","0.526971825794988"
"nicht erwerbstätig","2000","Realschule","1488","","",""
"Teilzeit","2000","(Fach-)Abitur","658","0.27210775391851","0.254121801606061","0.290093706230959"
"Teilzeit","2000","(noch) kein Abschluss","154","","",""
"Teilzeit","2000","AkademikerIn","729","0.191960609014772","0.179464746625807","0.204456471403736"
"Teilzeit","2000","Hauptschule","1964","","",""
"Teilzeit","2000","Realschule","1534","","",""
"Vollzeit","2000","(Fach-)Abitur","964","0.418045758552833","0.398112157507701","0.437979359597966"
"Vollzeit","2000","(noch) kein Abschluss","104","","",""
"Vollzeit","2000","AkademikerIn","2232","","",""
"Vollzeit","2000","Hauptschule","3489","0.310796808536117","0.302018825990311","0.319574791081922"
"Vollzeit","2000","Realschule","3267","0.501163695251057","0.488806323219601","0.513521067282514"
"nicht erwerbstätig","2001","(Fach-)Abitur","670","0.302471908559096","0.283373400672875","0.321570416445316"
"nicht erwerbstätig","2001","(noch) kein Abschluss","612","0.681844633889126","0.650913107395355","0.712776160382896"
"nicht erwerbstätig","2001","AkademikerIn","808","0.247607029063807","0.23340868278199","0.261805375345623"
"nicht erwerbstätig","2001","Hauptschule","4559","0.511141922837668","0.501032925581886","0.52125092009345"
"nicht erwerbstätig","2001","Realschule","1367","","",""
"Teilzeit","2001","(Fach-)Abitur","674","0.302050715393437","0.282959748202615","0.321141682584258"
"Teilzeit","2001","(noch) kein Abschluss","177","","",""
"Teilzeit","2001","AkademikerIn","699","0.204739690157327","0.191466063770513","0.218013316544141"
"Teilzeit","2001","Hauptschule","1795","","",""
"Teilzeit","2001","Realschule","1413","","",""
"Vollzeit","2001","(Fach-)Abitur","878","0.395477376047468","0.375147105172836","0.415807646922099"
"Vollzeit","2001","(noch) kein Abschluss","82","0.10600191879476","0.0855579989180406","0.12644583867148"
"Vollzeit","2001","AkademikerIn","2043","","",""
"Vollzeit","2001","Hauptschule","3039","0.309154705053483","0.299808737646251","0.318500672460716"
"Vollzeit","2001","Realschule","2997","","",""
"nicht erwerbstätig","2002","(Fach-)Abitur","732","0.310664500872978","0.29236264854389","0.328966353202066"
"nicht erwerbstätig","2002","(noch) kein Abschluss","660","0.720484437873331","0.691311413963495","0.749657461783167"
"nicht erwerbstätig","2002","AkademikerIn","944","0.260849717580553","0.248103689998863","0.273595745162243"
"nicht erwerbstätig","2002","Hauptschule","4407","0.517017593671012","0.506646887600658","0.527388299741367"
"nicht erwerbstätig","2002","Realschule","1422","","",""
"Teilzeit","2002","(Fach-)Abitur","760","0.291291763108467","0.273322438584907","0.309261087632027"
"Teilzeit","2002","(noch) kein Abschluss","177","","",""
"Teilzeit","2002","AkademikerIn","903","0.195227290210458","0.183721401250539","0.206733179170376"
"Teilzeit","2002","Hauptschule","1706","","",""
"Teilzeit","2002","Realschule","1606","","",""
"Vollzeit","2002","(Fach-)Abitur","964","0.398043736018555","0.378684787016056","0.417402685021054"
"Vollzeit","2002","(noch) kein Abschluss","72","0.103527272572603","0.0837228549114136","0.123331690233792"
"Vollzeit","2002","AkademikerIn","2712","","",""
"Vollzeit","2002","Hauptschule","2806","","",""
"Vollzeit","2002","Realschule","2962","","",""
"nicht erwerbstätig","2003","(Fach-)Abitur","725","0.318052177061904","0.299458540847925","0.336645813275884"
"nicht erwerbstätig","2003","(noch) kein Abschluss","668","0.738837887995759","0.710107625907178","0.767568150084339"
"nicht erwerbstätig","2003","AkademikerIn","966","0.270115975044896","0.256927154995903","0.283304795093888"
"nicht erwerbstätig","2003","Hauptschule","4289","0.53249223520378","0.521859002839416","0.543125467568143"
"nicht erwerbstätig","2003","Realschule","1389","","",""
"Teilzeit","2003","(Fach-)Abitur","759","0.296733985351546","0.278495741007644","0.314972229695448"
"Teilzeit","2003","(noch) kein Abschluss","161","","",""
"Teilzeit","2003","AkademikerIn","883","0.202574672937702","0.190636401078239","0.214512944797165"
"Teilzeit","2003","Hauptschule","1634","","",""
"Teilzeit","2003","Realschule","1599","","",""
"Vollzeit","2003","(Fach-)Abitur","926","0.38521383758655","0.365784743501169","0.404642931671931"
"Vollzeit","2003","(noch) kein Abschluss","69","0.103568341442424","0.083639501172584","0.123497181712264"
"Vollzeit","2003","AkademikerIn","2505","","",""
"Vollzeit","2003","Hauptschule","2535","","",""
"Vollzeit","2003","Realschule","2796","","",""
"nicht erwerbstätig","2004","(Fach-)Abitur","737","0.324885825952285","0.306141168993271","0.343630482911299"
"nicht erwerbstätig","2004","(noch) kein Abschluss","704","0.750935042986917","0.722820977710894","0.779049108262939"
"nicht erwerbstätig","2004","AkademikerIn","990","0.275778114734387","0.262412706499969","0.289143522968804"
"nicht erwerbstätig","2004","Hauptschule","4160","0.535612586132506","0.524733404638769","0.546491767626242"
"nicht erwerbstätig","2004","Realschule","1430","","",""
"Teilzeit","2004","(Fach-)Abitur","751","0.291758328536717","0.273564425708787","0.309952231364646"
"Teilzeit","2004","(noch) kein Abschluss","148","","",""
"Teilzeit","2004","AkademikerIn","924","0.214087544885603","0.201820236202652","0.226354853568554"
"Teilzeit","2004","Hauptschule","1581","","",""
"Teilzeit","2004","Realschule","1518","","",""
"Vollzeit","2004","(Fach-)Abitur","910","0.383355845510998","0.363895889417931","0.402815801604066"
"Vollzeit","2004","(noch) kein Abschluss","57","0.0888221786063945","0.0703282817940959","0.107316075418693"
"Vollzeit","2004","AkademikerIn","2381","","",""
"Vollzeit","2004","Hauptschule","2332","","",""
"Vollzeit","2004","Realschule","2675","","",""
"nicht erwerbstätig","2005","(Fach-)Abitur","686","0.301535843766229","0.282764140377344","0.320307547155114"
"nicht erwerbstätig","2005","(noch) kein Abschluss","709","0.748935998086724","0.720684701930436","0.777187294243012"
"nicht erwerbstätig","2005","AkademikerIn","999","0.276704785937531","0.263119944009946","0.290289627865116"
"nicht erwerbstätig","2005","Hauptschule","3967","0.526531224384646","0.515284418355586","0.537778030413706"
"nicht erwerbstätig","2005","Realschule","1346","","",""
"Teilzeit","2005","(Fach-)Abitur","724","0.300283515188506","0.281534047271146","0.319032983105865"
"Teilzeit","2005","(noch) kein Abschluss","138","","",""
"Teilzeit","2005","AkademikerIn","932","0.227790522846991","0.215054792722987","0.240526252970994"
"Teilzeit","2005","Hauptschule","1435","","",""
"Teilzeit","2005","Realschule","1474","","",""
"Vollzeit","2005","(Fach-)Abitur","886","0.398180641045265","0.37815735752755","0.418203924562981"
"Vollzeit","2005","(noch) kein Abschluss","58","0.0960620721552587","0.0768634933295797","0.115260650980938"
"Vollzeit","2005","AkademikerIn","2235","","",""
"Vollzeit","2005","Hauptschule","2169","","",""
"Vollzeit","2005","Realschule","2566","","",""
"nicht erwerbstätig","2006","(Fach-)Abitur","778","0.31257045726377","0.294237945600237","0.330902968927304"
"nicht erwerbstätig","2006","(noch) kein Abschluss","737","0.778118314367756","0.750865841966317","0.805370786769194"
"nicht erwerbstätig","2006","AkademikerIn","1164","","",""
"nicht erwerbstätig","2006","Hauptschule","4407","0.540653954232359","0.529824023225967","0.551483885238752"
"nicht erwerbstätig","2006","Realschule","1577","","",""
"Teilzeit","2006","(Fach-)Abitur","748","0.298191698418363","0.280099516970848","0.316283879865879"
"Teilzeit","2006","(noch) kein Abschluss","100","","",""
"Teilzeit","2006","AkademikerIn","979","0.211205060977543","0.199380314100806","0.223029807854281"
"Teilzeit","2006","Hauptschule","1483","","",""
"Teilzeit","2006","Realschule","1586","","",""
"Vollzeit","2006","(Fach-)Abitur","930","0.389237844317866","0.369954715665998","0.408520972969735"
"Vollzeit","2006","(noch) kein Abschluss","56","0.0935901695639682","0.0744872484552044","0.112693090672732"
"Vollzeit","2006","AkademikerIn","2434","","",""
"Vollzeit","2006","Hauptschule","2244","","",""
"Vollzeit","2006","Realschule","2619","","",""
"nicht erwerbstätig","2007","(Fach-)Abitur","739","0.309341571266502","0.290701011661542","0.327982130871462"
"nicht erwerbstätig","2007","(noch) kein Abschluss","710","0.797793534785101","0.770680565715325","0.824906503854878"
"nicht erwerbstätig","2007","AkademikerIn","1149","","",""
"nicht erwerbstätig","2007","Hauptschule","3998","0.53845843913645","0.527070079239284","0.549846799033616"
"nicht erwerbstätig","2007","Realschule","1504","","",""
"Teilzeit","2007","(Fach-)Abitur","724","0.294921347970602","0.276531419827711","0.313311276113494"
"Teilzeit","2007","(noch) kein Abschluss","93","0.134748102312267","0.111698315510036","0.157797889114498"
"Teilzeit","2007","AkademikerIn","946","0.210222110650505","0.19816739467818","0.222276826622829"
"Teilzeit","2007","Hauptschule","1344","","",""
"Teilzeit","2007","Realschule","1462","","",""
"Vollzeit","2007","(Fach-)Abitur","899","0.395737080762896","0.376016282542023","0.415457878983769"
"Vollzeit","2007","(noch) kein Abschluss","40","0.0674583629026319","0.0505272183230284","0.0843895074822354"
"Vollzeit","2007","AkademikerIn","2294","","",""
"Vollzeit","2007","Hauptschule","2019","","",""
"Vollzeit","2007","Realschule","2469","","",""
"nicht erwerbstätig","2008","(Fach-)Abitur","668","0.306364947211825","0.286987196072184","0.325742698351466"
"nicht erwerbstätig","2008","(noch) kein Abschluss","605","0.773830987785089","0.743810462547408","0.80385151302277"
"nicht erwerbstätig","2008","AkademikerIn","1152","","",""
"nicht erwerbstätig","2008","Hauptschule","3710","0.529824324410521","0.517994465420688","0.541654183400353"
"nicht erwerbstätig","2008","Realschule","1374","","",""
"Teilzeit","2008","(Fach-)Abitur","680","0.3104198760752","0.290971405716766","0.329868346433633"
"Teilzeit","2008","(noch) kein Abschluss","102","","",""
"Teilzeit","2008","AkademikerIn","894","0.20788617389851","0.195602053791908","0.220170294005111"
"Teilzeit","2008","Hauptschule","1246","","",""
