year,bula_h,regtyp,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Urban regions,Full Time,0.42717,74,168,0.35215,0.50220
1985,Schleswig-Holstein,Urban regions,Part Time,0.19949,36,168,0.13888,0.26010
1985,Schleswig-Holstein,Urban regions,Not Working,0.37334,58,168,0.29998,0.44670
1985,Schleswig-Holstein,Rural regions,Full Time,0.38568,79,158,0.30954,0.46182
1985,Schleswig-Holstein,Rural regions,Not Working,0.47856,79,158,0.40042,0.55670
1985,Hamburg,Urban regions,Full Time,0.39751,127,274,0.33946,0.45557
1985,Hamburg,Urban regions,Part Time,0.14113,41,274,0.09983,0.18243
1985,Hamburg,Urban regions,Not Working,0.46135,106,274,0.40222,0.52049
1985,Lower Saxony,Urban regions,Full Time,0.39885,207,511,0.35635,0.44135
1985,Lower Saxony,Urban regions,Part Time,0.13806,77,511,0.10812,0.16799
1985,Lower Saxony,Urban regions,Not Working,0.46309,227,511,0.41982,0.50637
1985,Lower Saxony,Rural regions,Full Time,0.34908,234,596,0.31078,0.38738
1985,Lower Saxony,Rural regions,Part Time,0.16822,107,596,0.13816,0.19828
1985,Lower Saxony,Rural regions,Not Working,0.48270,255,596,0.44255,0.52285
1985,Bremen,Urban regions,Not Working,0.65298,65,65,0.53636,0.76961
1985,North Rhine-Westphalia,Urban regions,Full Time,0.39144,1250,2888,0.37363,0.40924
1985,North Rhine-Westphalia,Urban regions,Part Time,0.15649,463,2888,0.14323,0.16974
1985,North Rhine-Westphalia,Urban regions,Not Working,0.45208,1175,2888,0.43392,0.47023
1985,North Rhine-Westphalia,Rural regions,Full Time,0.44305,35,35,0.27608,0.61003
1985,Hesse,Urban regions,Full Time,0.41270,459,979,0.38184,0.44356
1985,Hesse,Urban regions,Part Time,0.16760,166,979,0.14419,0.19100
1985,Hesse,Urban regions,Not Working,0.41970,354,979,0.38877,0.45063
1985,Hesse,Rural regions,Full Time,0.34924,60,130,0.26698,0.43151
1985,Hesse,Rural regions,Not Working,0.52789,70,130,0.44174,0.61404
1985,"Rhineland-Palatinate, Saarland",Urban regions,Full Time,0.40423,283,632,0.36594,0.44252
1985,"Rhineland-Palatinate, Saarland",Urban regions,Part Time,0.12897,87,632,0.10282,0.15512
1985,"Rhineland-Palatinate, Saarland",Urban regions,Not Working,0.46680,262,632,0.42787,0.50572
1985,"Rhineland-Palatinate, Saarland",Rural regions,Full Time,0.32976,49,122,0.24599,0.41352
1985,"Rhineland-Palatinate, Saarland",Rural regions,Not Working,0.54484,73,122,0.45611,0.63357
1985,Baden-Wuerttemberg,Urban regions,Full Time,0.45118,886,1745,0.42783,0.47454
1985,Baden-Wuerttemberg,Urban regions,Part Time,0.16454,285,1745,0.14714,0.18194
1985,Baden-Wuerttemberg,Urban regions,Not Working,0.38428,574,1745,0.36145,0.40711
1985,Baden-Wuerttemberg,Rural regions,Full Time,0.37759,135,296,0.32226,0.43291
1985,Baden-Wuerttemberg,Rural regions,Part Time,0.19757,56,296,0.15213,0.24301
1985,Baden-Wuerttemberg,Rural regions,Not Working,0.42485,105,296,0.36844,0.48125
1985,Bavaria,Urban regions,Full Time,0.40656,467,1007,0.37621,0.43692
1985,Bavaria,Urban regions,Part Time,0.19585,199,1007,0.17132,0.22037
1985,Bavaria,Urban regions,Not Working,0.39759,341,1007,0.36735,0.42783
1985,Bavaria,Rural regions,Full Time,0.41370,409,890,0.38133,0.44608
1985,Bavaria,Rural regions,Part Time,0.16833,158,890,0.14373,0.19292
1985,Bavaria,Rural regions,Not Working,0.41797,323,890,0.38555,0.45039
1985,Berlin,Urban regions,Full Time,0.40932,163,365,0.35881,0.45984
1985,Berlin,Urban regions,Part Time,0.18571,81,365,0.14576,0.22566
1985,Berlin,Urban regions,Not Working,0.40497,121,365,0.35454,0.45540
1986,Schleswig-Holstein,Urban regions,Full Time,0.39885,64,154,0.32126,0.47644
1986,Schleswig-Holstein,Urban regions,Part Time,0.26068,41,154,0.19111,0.33024
1986,Schleswig-Holstein,Urban regions,Not Working,0.34048,49,154,0.26539,0.41557
1986,Schleswig-Holstein,Rural regions,Full Time,0.41720,76,169,0.34263,0.49176
1986,Schleswig-Holstein,Rural regions,Part Time,0.20084,33,169,0.14026,0.26142
1986,Schleswig-Holstein,Rural regions,Not Working,0.38196,60,169,0.30849,0.45543
1986,Hamburg,Urban regions,Full Time,0.41575,113,250,0.35453,0.47696
1986,Hamburg,Urban regions,Part Time,0.11788,36,250,0.07783,0.15794
1986,Hamburg,Urban regions,Not Working,0.46637,101,250,0.40441,0.52833
1986,Lower Saxony,Urban regions,Full Time,0.40558,220,531,0.36378,0.44738
1986,Lower Saxony,Urban regions,Part Time,0.14464,87,531,0.11469,0.17458
1986,Lower Saxony,Urban regions,Not Working,0.44978,224,531,0.40743,0.49213
1986,Lower Saxony,Rural regions,Full Time,0.36548,237,577,0.32615,0.40480
1986,Lower Saxony,Rural regions,Part Time,0.16988,103,577,0.13921,0.20055
1986,Lower Saxony,Rural regions,Not Working,0.46464,237,577,0.42391,0.50537
1986,Bremen,Urban regions,Full Time,0.21039,33,92,0.12665,0.29413
1986,Bremen,Urban regions,Not Working,0.65854,59,92,0.56111,0.75597
1986,North Rhine-Westphalia,Urban regions,Full Time,0.39348,1227,2789,0.37535,0.41161
1986,North Rhine-Westphalia,Urban regions,Part Time,0.15085,434,2789,0.13757,0.16414
1986,North Rhine-Westphalia,Urban regions,Not Working,0.45567,1128,2789,0.43718,0.47415
1986,North Rhine-Westphalia,Rural regions,Full Time,0.42399,32,32,0.25002,0.59796
1986,Hesse,Urban regions,Full Time,0.41334,420,906,0.38125,0.44542
1986,Hesse,Urban regions,Part Time,0.15874,162,906,0.13493,0.18255
1986,Hesse,Urban regions,Not Working,0.42792,324,906,0.39569,0.46016
1986,Hesse,Rural regions,Full Time,0.36153,57,117,0.27410,0.44896
1986,Hesse,Rural regions,Not Working,0.50947,60,117,0.41850,0.60045
1986,"Rhineland-Palatinate, Saarland",Urban regions,Full Time,0.40833,289,623,0.36970,0.44696
1986,"Rhineland-Palatinate, Saarland",Urban regions,Part Time,0.14448,92,623,0.11685,0.17211
1986,"Rhineland-Palatinate, Saarland",Urban regions,Not Working,0.44720,242,623,0.40812,0.48627
1986,"Rhineland-Palatinate, Saarland",Rural regions,Full Time,0.33171,54,127,0.24950,0.41393
1986,"Rhineland-Palatinate, Saarland",Rural regions,Not Working,0.54149,73,127,0.45448,0.62849
1986,Baden-Wuerttemberg,Urban regions,Full Time,0.45505,853,1687,0.43128,0.47882
1986,Baden-Wuerttemberg,Urban regions,Part Time,0.16836,294,1687,0.15050,0.18622
1986,Baden-Wuerttemberg,Urban regions,Not Working,0.37659,540,1687,0.35346,0.39972
1986,Baden-Wuerttemberg,Rural regions,Full Time,0.41896,146,301,0.36313,0.47479
1986,Baden-Wuerttemberg,Rural regions,Part Time,0.19632,56,301,0.15137,0.24127
1986,Baden-Wuerttemberg,Rural regions,Not Working,0.38472,99,301,0.32967,0.43978
1986,Bavaria,Urban regions,Full Time,0.41971,448,953,0.38836,0.45106
1986,Bavaria,Urban regions,Part Time,0.18437,184,953,0.15974,0.20900
1986,Bavaria,Urban regions,Not Working,0.39592,321,953,0.36486,0.42699
1986,Bavaria,Rural regions,Full Time,0.42982,395,820,0.39591,0.46372
1986,Bavaria,Rural regions,Part Time,0.18112,157,820,0.15474,0.20749
1986,Bavaria,Rural regions,Not Working,0.38906,268,820,0.35567,0.42245
1986,Berlin,Urban regions,Full Time,0.44144,169,352,0.38949,0.49339
1986,Berlin,Urban regions,Part Time,0.15910,71,352,0.12083,0.19736
1986,Berlin,Urban regions,Not Working,0.39947,112,352,0.34823,0.45071
1987,Schleswig-Holstein,Urban regions,Full Time,0.45159,66,149,0.37141,0.53176
1987,Schleswig-Holstein,Urban regions,Part Time,0.20429,33,149,0.13933,0.26924
1987,Schleswig-Holstein,Urban regions,Not Working,0.34413,50,149,0.26759,0.42067
1987,Schleswig-Holstein,Rural regions,Full Time,0.42651,80,177,0.35344,0.49958
1987,Schleswig-Holstein,Rural regions,Part Time,0.17331,31,177,0.11739,0.22923
1987,Schleswig-Holstein,Rural regions,Not Working,0.40018,66,177,0.32780,0.47256
1987,Hamburg,Urban regions,Full Time,0.44852,105,222,0.38295,0.51409
1987,Hamburg,Urban regions,Part Time,0.13126,33,222,0.08674,0.17578
1987,Hamburg,Urban regions,Not Working,0.42022,84,222,0.35514,0.48530
1987,Lower Saxony,Urban regions,Full Time,0.38675,217,532,0.34532,0.42817
1987,Lower Saxony,Urban regions,Part Time,0.18130,100,532,0.14853,0.21407
1987,Lower Saxony,Urban regions,Not Working,0.43195,215,532,0.38982,0.47409
1987,Lower Saxony,Rural regions,Full Time,0.39025,253,573,0.35028,0.43023
1987,Lower Saxony,Rural regions,Part Time,0.18181,107,573,0.15020,0.21341
1987,Lower Saxony,Rural regions,Not Working,0.42794,213,573,0.38739,0.46849
1987,Bremen,Urban regions,Not Working,0.62046,51,51,0.48595,0.75497
1987,North Rhine-Westphalia,Urban regions,Full Time,0.40542,1219,2757,0.38709,0.42375
1987,North Rhine-Westphalia,Urban regions,Part Time,0.14794,432,2757,0.13468,0.16119
1987,North Rhine-Westphalia,Urban regions,Not Working,0.44664,1106,2757,0.42808,0.46520
1987,North Rhine-Westphalia,Rural regions,Full Time,0.44809,34,34,0.27842,0.61776
1987,Hesse,Urban regions,Full Time,0.43461,440,911,0.40240,0.46681
1987,Hesse,Urban regions,Part Time,0.15695,162,911,0.13332,0.18059
1987,Hesse,Urban regions,Not Working,0.40844,309,911,0.37650,0.44038
1987,Hesse,Rural regions,Full Time,0.37760,58,118,0.28976,0.46545
1987,Hesse,Rural regions,Not Working,0.46697,60,118,0.37657,0.55737
1987,"Rhineland-Palatinate, Saarland",Urban regions,Full Time,0.41722,290,621,0.37841,0.45604
1987,"Rhineland-Palatinate, Saarland",Urban regions,Part Time,0.14164,88,621,0.11419,0.16908
1987,"Rhineland-Palatinate, Saarland",Urban regions,Not Working,0.44114,243,621,0.40206,0.48023
1987,"Rhineland-Palatinate, Saarland",Rural regions,Full Time,0.30391,50,121,0.22162,0.38621
1987,"Rhineland-Palatinate, Saarland",Rural regions,Not Working,0.54259,71,121,0.45345,0.63172
1987,Baden-Wuerttemberg,Urban regions,Full Time,0.47442,876,1673,0.45048,0.49835
1987,Baden-Wuerttemberg,Urban regions,Part Time,0.16599,274,1673,0.14816,0.18383
1987,Baden-Wuerttemberg,Urban regions,Not Working,0.35959,523,1673,0.33659,0.38259
1987,Baden-Wuerttemberg,Rural regions,Full Time,0.44711,150,289,0.38968,0.50453
1987,Baden-Wuerttemberg,Rural regions,Part Time,0.18141,54,289,0.13690,0.22592
1987,Baden-Wuerttemberg,Rural regions,Not Working,0.37148,85,289,0.31568,0.42729
1987,Bavaria,Urban regions,Full Time,0.42696,445,920,0.39498,0.45894
1987,Bavaria,Urban regions,Part Time,0.19257,179,920,0.16707,0.21806
1987,Bavaria,Urban regions,Not Working,0.38047,296,920,0.34908,0.41186
1987,Bavaria,Rural regions,Full Time,0.42373,378,804,0.38955,0.45791
1987,Bavaria,Rural regions,Part Time,0.19493,169,804,0.16753,0.22233
1987,Bavaria,Rural regions,Not Working,0.38134,257,804,0.34775,0.41494
1987,Berlin,Urban regions,Full Time,0.44754,179,362,0.39625,0.49884
1987,Berlin,Urban regions,Part Time,0.15686,66,362,0.11934,0.19437
1987,Berlin,Urban regions,Not Working,0.39560,117,362,0.34516,0.44604
1988,Schleswig-Holstein,Urban regions,Full Time,0.42080,63,117,0.33096,0.51065
1988,Schleswig-Holstein,Urban regions,Not Working,0.41332,54,117,0.32371,0.50294
1988,Schleswig-Holstein,Rural regions,Full Time,0.39439,79,178,0.32239,0.46639
1988,Schleswig-Holstein,Rural regions,Part Time,0.21212,35,178,0.15189,0.27234
1988,Schleswig-Holstein,Rural regions,Not Working,0.39350,64,178,0.32153,0.46547
1988,Hamburg,Urban regions,Full Time,0.44433,90,168,0.36897,0.51970
1988,Hamburg,Urban regions,Not Working,0.42672,78,168,0.35170,0.50174
1988,Lower Saxony,Urban regions,Full Time,0.40820,219,518,0.36583,0.45057
1988,Lower Saxony,Urban regions,Part Time,0.16340,95,518,0.13153,0.19527
1988,Lower Saxony,Urban regions,Not Working,0.42840,204,518,0.38574,0.47105
1988,Lower Saxony,Rural regions,Full Time,0.37992,225,530,0.33856,0.42128
1988,Lower Saxony,Rural regions,Part Time,0.18056,103,530,0.14778,0.21334
1988,Lower Saxony,Rural regions,Not Working,0.43951,202,530,0.39722,0.48181
1988,Bremen,Urban regions,Not Working,0.60907,51,51,0.47381,0.74432
1988,North Rhine-Westphalia,Urban regions,Full Time,0.40477,1144,2621,0.38598,0.42357
1988,North Rhine-Westphalia,Urban regions,Part Time,0.16268,458,2621,0.14855,0.17681
1988,North Rhine-Westphalia,Urban regions,Not Working,0.43255,1019,2621,0.41358,0.45152
1988,Hesse,Urban regions,Full Time,0.39974,399,860,0.36698,0.43250
1988,Hesse,Urban regions,Part Time,0.18276,168,860,0.15692,0.20861
1988,Hesse,Urban regions,Not Working,0.41750,293,860,0.38452,0.45048
1988,Hesse,Rural regions,Full Time,0.34096,55,142,0.26271,0.41920
1988,Hesse,Rural regions,Part Time,0.20482,31,142,0.13821,0.27144
1988,Hesse,Rural regions,Not Working,0.45422,56,142,0.37203,0.53640
1988,"Rhineland-Palatinate, Saarland",Urban regions,Full Time,0.40977,274,606,0.37058,0.44896
1988,"Rhineland-Palatinate, Saarland",Urban regions,Part Time,0.14334,93,606,0.11542,0.17126
1988,"Rhineland-Palatinate, Saarland",Urban regions,Not Working,0.44689,239,606,0.40727,0.48651
1988,"Rhineland-Palatinate, Saarland",Rural regions,Full Time,0.34950,50,114,0.26159,0.43742
1988,"Rhineland-Palatinate, Saarland",Rural regions,Not Working,0.52327,64,114,0.43118,0.61536
1988,Baden-Wuerttemberg,Urban regions,Full Time,0.46791,833,1635,0.44371,0.49210
1988,Baden-Wuerttemberg,Urban regions,Part Time,0.17280,293,1635,0.15447,0.19114
1988,Baden-Wuerttemberg,Urban regions,Not Working,0.35929,509,1635,0.33602,0.38255
1988,Baden-Wuerttemberg,Rural regions,Full Time,0.40966,120,251,0.34870,0.47062
1988,Baden-Wuerttemberg,Rural regions,Part Time,0.19505,52,251,0.14593,0.24417
1988,Baden-Wuerttemberg,Rural regions,Not Working,0.39529,79,251,0.33469,0.45590
1988,Bavaria,Urban regions,Full Time,0.43859,441,890,0.40597,0.47121
1988,Bavaria,Urban regions,Part Time,0.19394,170,890,0.16795,0.21993
1988,Bavaria,Urban regions,Not Working,0.36747,279,890,0.33577,0.39916
1988,Bavaria,Rural regions,Full Time,0.42670,360,757,0.39144,0.46196
1988,Bavaria,Rural regions,Part Time,0.21825,177,757,0.18880,0.24769
1988,Bavaria,Rural regions,Not Working,0.35505,220,757,0.32094,0.38916
1988,Berlin,Urban regions,Full Time,0.48592,170,333,0.43216,0.53968
1988,Berlin,Urban regions,Part Time,0.15153,59,333,0.11296,0.19010
1988,Berlin,Urban regions,Not Working,0.36255,104,333,0.31084,0.41426
1989,Schleswig-Holstein,Urban regions,Full Time,0.37439,62,150,0.29668,0.45210
1989,Schleswig-Holstein,Urban regions,Part Time,0.26902,40,150,0.19781,0.34022
1989,Schleswig-Holstein,Urban regions,Not Working,0.35659,48,150,0.27968,0.43351
1989,Schleswig-Holstein,Rural regions,Full Time,0.41733,71,132,0.33289,0.50178
1989,Schleswig-Holstein,Rural regions,Not Working,0.42661,61,132,0.34192,0.51131
1989,Hamburg,Urban regions,Full Time,0.49630,97,168,0.42047,0.57214
1989,Hamburg,Urban regions,Not Working,0.40575,71,168,0.33128,0.48023
1989,Lower Saxony,Urban regions,Full Time,0.44512,234,494,0.40125,0.48899
1989,Lower Saxony,Urban regions,Part Time,0.13570,74,494,0.10547,0.16593
1989,Lower Saxony,Urban regions,Not Working,0.41918,186,494,0.37563,0.46274
1989,Lower Saxony,Rural regions,Full Time,0.36377,209,502,0.32164,0.40590
1989,Lower Saxony,Rural regions,Part Time,0.18682,97,502,0.15269,0.22095
1989,Lower Saxony,Rural regions,Not Working,0.44941,196,502,0.40585,0.49297
1989,Bremen,Urban regions,Full Time,0.30391,41,91,0.20889,0.39894
1989,Bremen,Urban regions,Not Working,0.55263,50,91,0.44991,0.65536
1989,North Rhine-Westphalia,Urban regions,Full Time,0.41283,1130,2547,0.39370,0.43195
1989,North Rhine-Westphalia,Urban regions,Part Time,0.15441,420,2547,0.14037,0.16845
1989,North Rhine-Westphalia,Urban regions,Not Working,0.43276,997,2547,0.41352,0.45201
1989,Hesse,Urban regions,Full Time,0.41324,408,863,0.38036,0.44611
1989,Hesse,Urban regions,Part Time,0.16340,156,863,0.13871,0.18808
1989,Hesse,Urban regions,Not Working,0.42337,299,863,0.39038,0.45635
1989,Hesse,Rural regions,Full Time,0.35313,52,106,0.26171,0.44455
1989,Hesse,Rural regions,Not Working,0.49267,54,106,0.39704,0.58830
1989,"Rhineland-Palatinate, Saarland",Urban regions,Full Time,0.42588,269,581,0.38564,0.46612
1989,"Rhineland-Palatinate, Saarland",Urban regions,Part Time,0.14465,89,581,0.11603,0.17328
1989,"Rhineland-Palatinate, Saarland",Urban regions,Not Working,0.42947,223,581,0.38918,0.46975
1989,"Rhineland-Palatinate, Saarland",Rural regions,Full Time,0.44228,50,100,0.34445,0.54012
1989,"Rhineland-Palatinate, Saarland",Rural regions,Not Working,0.46102,50,100,0.36283,0.55922
1989,Baden-Wuerttemberg,Urban regions,Full Time,0.46423,812,1573,0.43958,0.48888
1989,Baden-Wuerttemberg,Urban regions,Part Time,0.18527,292,1573,0.16606,0.20448
1989,Baden-Wuerttemberg,Urban regions,Not Working,0.35050,469,1573,0.32691,0.37409
1989,Baden-Wuerttemberg,Rural regions,Full Time,0.38741,110,240,0.32565,0.44918
1989,Baden-Wuerttemberg,Rural regions,Part Time,0.22484,59,240,0.17191,0.27777
1989,Baden-Wuerttemberg,Rural regions,Not Working,0.38774,71,240,0.32597,0.44952
1989,Bavaria,Urban regions,Full Time,0.46262,428,861,0.42930,0.49595
1989,Bavaria,Urban regions,Part Time,0.15561,149,861,0.13138,0.17984
1989,Bavaria,Urban regions,Not Working,0.38177,284,861,0.34930,0.41424
1989,Bavaria,Rural regions,Full Time,0.43285,375,753,0.39744,0.46826
1989,Bavaria,Rural regions,Part Time,0.18576,148,753,0.15796,0.21355
1989,Bavaria,Rural regions,Not Working,0.38139,230,753,0.34668,0.41611
1989,Berlin,Urban regions,Full Time,0.45484,164,330,0.40103,0.50865
1989,Berlin,Urban regions,Part Time,0.16611,60,330,0.12589,0.20633
1989,Berlin,Urban regions,Not Working,0.37905,106,330,0.32663,0.43148
1990,Schleswig-Holstein,Urban regions,Full Time,0.38808,58,138,0.30648,0.46969
1990,Schleswig-Holstein,Urban regions,Part Time,0.27733,37,138,0.20237,0.35230
1990,Schleswig-Holstein,Urban regions,Not Working,0.33458,43,138,0.25557,0.41359
1990,Schleswig-Holstein,Rural regions,Full Time,0.38735,60,120,0.29982,0.47488
1990,Schleswig-Holstein,Rural regions,Not Working,0.44681,60,120,0.35748,0.53614
1990,Hamburg,Urban regions,Full Time,0.42948,73,167,0.35418,0.50479
1990,Hamburg,Urban regions,Part Time,0.16064,32,167,0.10478,0.21650
1990,Hamburg,Urban regions,Not Working,0.40988,62,167,0.33506,0.48470
1990,Lower Saxony,Urban regions,Full Time,0.44041,224,479,0.39591,0.48492
1990,Lower Saxony,Urban regions,Part Time,0.16646,79,479,0.13307,0.19986
1990,Lower Saxony,Urban regions,Not Working,0.39312,176,479,0.34934,0.43691
1990,Lower Saxony,Rural regions,Full Time,0.37226,208,499,0.32981,0.41472
1990,Lower Saxony,Rural regions,Part Time,0.19015,96,499,0.15568,0.22461
1990,Lower Saxony,Rural regions,Not Working,0.43759,195,499,0.39402,0.48116
1990,Bremen,Urban regions,Full Time,0.28431,36,90,0.19059,0.37803
1990,Bremen,Urban regions,Not Working,0.59742,54,90,0.49553,0.69931
1990,North Rhine-Westphalia,Urban regions,Full Time,0.43074,1104,2486,0.41127,0.45020
1990,North Rhine-Westphalia,Urban regions,Part Time,0.15664,414,2486,0.14235,0.17093
1990,North Rhine-Westphalia,Urban regions,Not Working,0.41263,968,2486,0.39327,0.43198
1990,North Rhine-Westphalia,Rural regions,Full Time,0.44596,34,34,0.27636,0.61555
1990,Hesse,Urban regions,Full Time,0.40247,401,851,0.36951,0.43544
1990,Hesse,Urban regions,Part Time,0.19444,170,851,0.16783,0.22104
1990,Hesse,Urban regions,Not Working,0.40309,280,851,0.37011,0.43606
1990,Hesse,Rural regions,Full Time,0.38491,58,114,0.29520,0.47463
1990,Hesse,Rural regions,Not Working,0.48621,56,114,0.39405,0.57836
1990,"Rhineland-Palatinate, Saarland",Urban regions,Full Time,0.41574,253,562,0.37496,0.45652
1990,"Rhineland-Palatinate, Saarland",Urban regions,Part Time,0.16780,92,562,0.13687,0.19872
1990,"Rhineland-Palatinate, Saarland",Urban regions,Not Working,0.41646,217,562,0.37567,0.45726
1990,"Rhineland-Palatinate, Saarland",Rural regions,Full Time,0.40301,46,98,0.30539,0.50062
1990,"Rhineland-Palatinate, Saarland",Rural regions,Not Working,0.49529,52,98,0.39579,0.59479
1990,Baden-Wuerttemberg,Urban regions,Full Time,0.47626,799,1554,0.45142,0.50110
1990,Baden-Wuerttemberg,Urban regions,Part Time,0.18822,294,1554,0.16878,0.20767
1990,Baden-Wuerttemberg,Urban regions,Not Working,0.33552,461,1554,0.31203,0.35900
1990,Baden-Wuerttemberg,Rural regions,Full Time,0.43448,118,238,0.37137,0.49759
1990,Baden-Wuerttemberg,Rural regions,Part Time,0.18189,49,238,0.13278,0.23100
1990,Baden-Wuerttemberg,Rural regions,Not Working,0.38363,71,238,0.32172,0.44554
1990,Bavaria,Urban regions,Full Time,0.46737,418,838,0.43357,0.50117
1990,Bavaria,Urban regions,Part Time,0.16774,150,838,0.14242,0.19305
1990,Bavaria,Urban regions,Not Working,0.36489,270,838,0.33228,0.39751
1990,Bavaria,Rural regions,Full Time,0.44301,379,761,0.40769,0.47832
1990,Bavaria,Rural regions,Part Time,0.19486,159,761,0.16670,0.22302
1990,Bavaria,Rural regions,Not Working,0.36213,223,761,0.32796,0.39630
1990,Berlin,Urban regions,Full Time,0.45501,155,326,0.40087,0.50915
1990,Berlin,Urban regions,Part Time,0.18645,68,326,0.14411,0.22879
1990,Berlin,Urban regions,Not Working,0.35854,103,326,0.30640,0.41068
1991,Schleswig-Holstein,Urban regions,Full Time,0.36798,60,145,0.28921,0.44675
1991,Schleswig-Holstein,Urban regions,Part Time,0.28522,40,145,0.21147,0.35897
1991,Schleswig-Holstein,Urban regions,Not Working,0.34680,45,145,0.26906,0.42454
1991,Schleswig-Holstein,Rural regions,Full Time,0.44800,69,151,0.36842,0.52759
1991,Schleswig-Holstein,Rural regions,Part Time,0.20492,31,151,0.14033,0.26952
1991,Schleswig-Holstein,Rural regions,Not Working,0.34708,51,151,0.27089,0.42326
1991,Hamburg,Urban regions,Full Time,0.47753,73,134,0.39264,0.56242
1991,Hamburg,Urban regions,Not Working,0.40926,61,134,0.32569,0.49283
1991,Lower Saxony,Urban regions,Full Time,0.44646,219,473,0.40162,0.49131
1991,Lower Saxony,Urban regions,Part Time,0.15259,79,473,0.12015,0.18503
1991,Lower Saxony,Urban regions,Not Working,0.40095,175,473,0.35673,0.44516
1991,Lower Saxony,Rural regions,Full Time,0.37137,209,499,0.32893,0.41380
1991,Lower Saxony,Rural regions,Part Time,0.19435,97,499,0.15960,0.22911
1991,Lower Saxony,Rural regions,Not Working,0.43428,193,499,0.39075,0.47782
1991,Bremen,Urban regions,Full Time,0.28295,34,87,0.18775,0.37815
1991,Bremen,Urban regions,Not Working,0.64012,53,87,0.53868,0.74156
1991,North Rhine-Westphalia,Urban regions,Full Time,0.42541,1120,2473,0.40592,0.44490
1991,North Rhine-Westphalia,Urban regions,Part Time,0.17073,433,2473,0.15589,0.18556
1991,North Rhine-Westphalia,Urban regions,Not Working,0.40387,920,2473,0.38452,0.42321
1991,Hesse,Urban regions,Full Time,0.41476,391,825,0.38112,0.44840
1991,Hesse,Urban regions,Part Time,0.17326,165,825,0.14742,0.19910
1991,Hesse,Urban regions,Not Working,0.41198,269,825,0.37837,0.44559
1991,Hesse,Rural regions,Full Time,0.33527,54,111,0.24705,0.42349
1991,Hesse,Rural regions,Not Working,0.50320,57,111,0.40976,0.59664
1991,"Rhineland-Palatinate, Saarland",Urban regions,Full Time,0.40286,245,548,0.36175,0.44396
1991,"Rhineland-Palatinate, Saarland",Urban regions,Part Time,0.18307,94,548,0.15066,0.21548
1991,"Rhineland-Palatinate, Saarland",Urban regions,Not Working,0.41407,209,548,0.37280,0.45535
1991,"Rhineland-Palatinate, Saarland",Rural regions,Full Time,0.36090,46,100,0.26630,0.45551
1991,"Rhineland-Palatinate, Saarland",Rural regions,Not Working,0.48338,54,100,0.38494,0.58182
