year,age_gr,bula_h,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,17-29 y.,Hesse,University/ Technical university,0.25614,67,149,0.18582,0.32647
2015,17-29 y.,Hesse,Vocational training,0.14437,47,149,0.08775,0.20100
2015,17-29 y.,"Rhineland-Palatinate, Saarland",General education,0.08590,32,121,0.03576,0.13603
2015,17-29 y.,"Rhineland-Palatinate, Saarland",University/ Technical university,0.14717,37,121,0.08378,0.21056
2015,17-29 y.,"Rhineland-Palatinate, Saarland",Vocational training,0.17406,52,121,0.10622,0.24190
2015,17-29 y.,Baden-Wuerttemberg,General education,0.10403,68,248,0.06596,0.14211
2015,17-29 y.,Baden-Wuerttemberg,University/ Technical university,0.17492,97,248,0.12754,0.22230
2015,17-29 y.,Baden-Wuerttemberg,Vocational training,0.13526,83,248,0.09261,0.17791
2015,17-29 y.,Bavaria,General education,0.04674,59,325,0.02375,0.06972
2015,17-29 y.,Bavaria,University/ Technical university,0.19721,134,325,0.15389,0.24054
2015,17-29 y.,Bavaria,Vocational training,0.13782,132,325,0.10029,0.17536
2015,17-29 y.,Berlin,University/ Technical university,0.17146,35,35,0.04477,0.29816
2015,17-29 y.,Brandenburg,Vocational training,0.25661,32,32,0.10286,0.41036
2015,17-29 y.,Saxony,University/ Technical university,0.13221,31,69,0.05170,0.21272
2015,17-29 y.,Saxony,Vocational training,0.19951,38,69,0.10453,0.29450
2015,30-45 y.,North Rhine-Westphalia,Further training/ Retraining,0.03707,37,37,-0.02465,0.09878
2016,17-29 y.,Schleswig-Holstein,Vocational training,0.13966,34,34,0.02139,0.25793
2016,17-29 y.,Lower Saxony,General education,0.06803,41,236,0.03583,0.10022
2016,17-29 y.,Lower Saxony,University/ Technical university,0.19818,79,236,0.14721,0.24915
2016,17-29 y.,Lower Saxony,Vocational training,0.19721,116,236,0.14634,0.24809
2016,17-29 y.,North Rhine-Westphalia,General education,0.08404,126,476,0.05909,0.10899
2016,17-29 y.,North Rhine-Westphalia,University/ Technical university,0.19991,174,476,0.16394,0.23587
2016,17-29 y.,North Rhine-Westphalia,Vocational training,0.17022,176,476,0.13642,0.20402
2016,17-29 y.,Hesse,General education,0.06881,37,147,0.02775,0.10987
2016,17-29 y.,Hesse,University/ Technical university,0.25982,67,147,0.18869,0.33096
2016,17-29 y.,Hesse,Vocational training,0.14395,43,147,0.08701,0.20089
2016,17-29 y.,"Rhineland-Palatinate, Saarland",General education,0.11524,37,121,0.05811,0.17237
2016,17-29 y.,"Rhineland-Palatinate, Saarland",University/ Technical university,0.22642,44,121,0.15154,0.30130
2016,17-29 y.,"Rhineland-Palatinate, Saarland",Vocational training,0.11286,40,121,0.05625,0.16948
2016,17-29 y.,Baden-Wuerttemberg,General education,0.06438,51,223,0.03210,0.09667
2016,17-29 y.,Baden-Wuerttemberg,University/ Technical university,0.18817,91,223,0.13675,0.23958
2016,17-29 y.,Baden-Wuerttemberg,Vocational training,0.12654,81,223,0.08281,0.17027
2016,17-29 y.,Bavaria,General education,0.08242,64,298,0.05114,0.11369
2016,17-29 y.,Bavaria,University/ Technical university,0.18208,108,298,0.13819,0.22597
2016,17-29 y.,Bavaria,Vocational training,0.13235,126,298,0.09381,0.17089
2016,17-29 y.,Berlin,University/ Technical university,0.26321,37,37,0.11935,0.40706
2016,17-29 y.,Saxony,University/ Technical university,0.16410,33,69,0.07607,0.25213
2016,17-29 y.,Saxony,Vocational training,0.18528,36,69,0.09293,0.27762
2016,30-45 y.,North Rhine-Westphalia,University/ Technical university,0.04042,35,71,-0.00572,0.08655
2016,30-45 y.,North Rhine-Westphalia,Further training/ Retraining,0.01594,36,71,-0.01340,0.04529
2017,17-29 y.,Schleswig-Holstein,University/ Technical university,0.22365,32,74,0.12806,0.31924
2017,17-29 y.,Schleswig-Holstein,Vocational training,0.18032,42,74,0.09213,0.26852
2017,17-29 y.,Lower Saxony,General education,0.07113,58,269,0.04036,0.10191
2017,17-29 y.,Lower Saxony,University/ Technical university,0.19109,96,269,0.14402,0.23816
2017,17-29 y.,Lower Saxony,Vocational training,0.16773,115,269,0.12300,0.21247
2017,17-29 y.,North Rhine-Westphalia,General education,0.09496,145,557,0.07059,0.11933
2017,17-29 y.,North Rhine-Westphalia,University/ Technical university,0.19965,214,557,0.16642,0.23287
2017,17-29 y.,North Rhine-Westphalia,Vocational training,0.17555,198,557,0.14392,0.20717
2017,17-29 y.,Hesse,General education,0.09709,57,194,0.05532,0.13887
2017,17-29 y.,Hesse,University/ Technical university,0.21309,72,194,0.15532,0.27086
2017,17-29 y.,Hesse,Vocational training,0.21590,65,194,0.15785,0.27394
2017,17-29 y.,"Rhineland-Palatinate, Saarland",General education,0.10751,35,128,0.05364,0.16139
2017,17-29 y.,"Rhineland-Palatinate, Saarland",University/ Technical university,0.15994,51,128,0.09619,0.22369
2017,17-29 y.,"Rhineland-Palatinate, Saarland",Vocational training,0.11769,42,128,0.06165,0.17374
2017,17-29 y.,Baden-Wuerttemberg,General education,0.05538,56,251,0.02703,0.08373
2017,17-29 y.,Baden-Wuerttemberg,University/ Technical university,0.19772,101,251,0.14835,0.24710
2017,17-29 y.,Baden-Wuerttemberg,Vocational training,0.13270,94,251,0.09064,0.17475
2017,17-29 y.,Bavaria,General education,0.08009,74,361,0.05205,0.10813
2017,17-29 y.,Bavaria,University/ Technical university,0.19683,139,361,0.15576,0.23791
2017,17-29 y.,Bavaria,Vocational training,0.16658,148,361,0.12809,0.20507
2017,17-29 y.,Berlin,University/ Technical university,0.30800,47,47,0.17458,0.44141
2017,17-29 y.,Saxony,General education,0.07929,35,121,0.03094,0.12763
2017,17-29 y.,Saxony,University/ Technical university,0.20853,48,121,0.13584,0.28122
2017,17-29 y.,Saxony,Vocational training,0.10218,38,121,0.04798,0.15637
2017,30-45 y.,North Rhine-Westphalia,University/ Technical university,0.03738,38,89,-0.00225,0.07701
2017,30-45 y.,North Rhine-Westphalia,Further training/ Retraining,0.02627,51,89,-0.00715,0.05968
2018,17-29 y.,Schleswig-Holstein,University/ Technical university,0.17922,35,35,0.05030,0.30814
2018,17-29 y.,Lower Saxony,General education,0.08731,67,280,0.05418,0.12043
2018,17-29 y.,Lower Saxony,University/ Technical university,0.18197,98,280,0.13670,0.22724
2018,17-29 y.,Lower Saxony,Vocational training,0.19244,115,280,0.14618,0.23870
2018,17-29 y.,North Rhine-Westphalia,General education,0.08966,145,596,0.06671,0.11262
2018,17-29 y.,North Rhine-Westphalia,University/ Technical university,0.21065,241,596,0.17789,0.24342
2018,17-29 y.,North Rhine-Westphalia,Vocational training,0.16662,210,596,0.13668,0.19656
2018,17-29 y.,Hesse,General education,0.09863,52,200,0.05720,0.14006
2018,17-29 y.,Hesse,University/ Technical university,0.22806,68,200,0.16976,0.28635
2018,17-29 y.,Hesse,Vocational training,0.20020,80,200,0.14460,0.25580
2018,17-29 y.,"Rhineland-Palatinate, Saarland",General education,0.08632,34,122,0.03628,0.13635
2018,17-29 y.,"Rhineland-Palatinate, Saarland",University/ Technical university,0.15084,41,122,0.08707,0.21461
2018,17-29 y.,"Rhineland-Palatinate, Saarland",Vocational training,0.13756,47,122,0.07619,0.19894
2018,17-29 y.,Baden-Wuerttemberg,General education,0.04765,45,235,0.02036,0.07495
2018,17-29 y.,Baden-Wuerttemberg,University/ Technical university,0.22770,102,235,0.17397,0.28143
2018,17-29 y.,Baden-Wuerttemberg,Vocational training,0.12465,88,235,0.08233,0.16697
2018,17-29 y.,Bavaria,General education,0.06277,61,328,0.03648,0.08906
2018,17-29 y.,Bavaria,University/ Technical university,0.16697,132,328,0.12655,0.20740
2018,17-29 y.,Bavaria,Vocational training,0.15837,135,328,0.11880,0.19794
2018,17-29 y.,Berlin,University/ Technical university,0.28871,46,46,0.15630,0.42111
2018,17-29 y.,Saxony,University/ Technical university,0.23494,47,93,0.14830,0.32157
2018,17-29 y.,Saxony,Vocational training,0.12807,46,93,0.05978,0.19635
2018,30-45 y.,North Rhine-Westphalia,University/ Technical university,0.03348,39,83,-0.00546,0.07242
2018,30-45 y.,North Rhine-Westphalia,Further training/ Retraining,0.02894,44,83,-0.00735,0.06522
2019,17-29 y.,Schleswig-Holstein,Vocational training,0.17471,36,36,0.04891,0.30051
2019,17-29 y.,Lower Saxony,General education,0.08038,54,255,0.04694,0.11382
2019,17-29 y.,Lower Saxony,University/ Technical university,0.21111,95,255,0.16092,0.26129
2019,17-29 y.,Lower Saxony,Vocational training,0.17563,106,255,0.12884,0.22243
2019,17-29 y.,North Rhine-Westphalia,General education,0.07449,118,540,0.05233,0.09666
2019,17-29 y.,North Rhine-Westphalia,University/ Technical university,0.19202,220,540,0.15877,0.22528
2019,17-29 y.,North Rhine-Westphalia,Vocational training,0.13300,202,540,0.10433,0.16167
2019,17-29 y.,Hesse,General education,0.05513,33,155,0.01908,0.09118
2019,17-29 y.,Hesse,University/ Technical university,0.21380,67,155,0.14905,0.27855
2019,17-29 y.,Hesse,Vocational training,0.17207,55,155,0.11246,0.23169
2019,17-29 y.,"Rhineland-Palatinate, Saarland",General education,0.07533,36,132,0.03014,0.12053
2019,17-29 y.,"Rhineland-Palatinate, Saarland",University/ Technical university,0.14576,40,132,0.08533,0.20619
2019,17-29 y.,"Rhineland-Palatinate, Saarland",Vocational training,0.18952,56,132,0.12241,0.25664
2019,17-29 y.,Baden-Wuerttemberg,General education,0.07404,50,237,0.04064,0.10745
2019,17-29 y.,Baden-Wuerttemberg,University/ Technical university,0.26556,111,237,0.20921,0.32190
2019,17-29 y.,Baden-Wuerttemberg,Vocational training,0.12085,76,237,0.07926,0.16243
2019,17-29 y.,Bavaria,General education,0.04017,46,298,0.01783,0.06250
2019,17-29 y.,Bavaria,University/ Technical university,0.17640,128,298,0.13305,0.21975
2019,17-29 y.,Bavaria,Vocational training,0.16564,124,298,0.12336,0.20792
2019,17-29 y.,Berlin,University/ Technical university,0.31760,47,47,0.18307,0.45214
2019,30-45 y.,North Rhine-Westphalia,University/ Technical university,0.03331,39,72,-0.00843,0.07506
2019,30-45 y.,North Rhine-Westphalia,Vocational training,0.02088,33,72,-0.01238,0.05414
2020,17-29 y.,Schleswig-Holstein,Vocational training,0.20282,37,37,0.07147,0.33418
2020,17-29 y.,Lower Saxony,General education,0.04945,40,221,0.02080,0.07809
2020,17-29 y.,Lower Saxony,University/ Technical university,0.16048,73,221,0.11198,0.20898
2020,17-29 y.,Lower Saxony,Vocational training,0.15139,108,221,0.10403,0.19876
2020,17-29 y.,North Rhine-Westphalia,General education,0.05294,110,566,0.03448,0.07141
2020,17-29 y.,North Rhine-Westphalia,University/ Technical university,0.20888,231,566,0.17536,0.24240
2020,17-29 y.,North Rhine-Westphalia,Vocational training,0.14912,225,566,0.11975,0.17849
2020,17-29 y.,Hesse,General education,0.05193,39,190,0.02030,0.08357
2020,17-29 y.,Hesse,University/ Technical university,0.29765,81,190,0.23246,0.36283
2020,17-29 y.,Hesse,Vocational training,0.15819,70,190,0.10617,0.21022
2020,17-29 y.,"Rhineland-Palatinate, Saarland",University/ Technical university,0.19832,43,89,0.11501,0.28163
2020,17-29 y.,"Rhineland-Palatinate, Saarland",Vocational training,0.18033,46,89,0.10000,0.26065
2020,17-29 y.,Baden-Wuerttemberg,General education,0.05068,55,272,0.02456,0.07680
2020,17-29 y.,Baden-Wuerttemberg,University/ Technical university,0.25912,114,272,0.20695,0.31128
2020,17-29 y.,Baden-Wuerttemberg,Vocational training,0.14149,103,272,0.10000,0.18299
2020,17-29 y.,Bavaria,General education,0.04429,45,336,0.02226,0.06633
2020,17-29 y.,Bavaria,University/ Technical university,0.19267,132,336,0.15044,0.23491
2020,17-29 y.,Bavaria,Vocational training,0.18859,159,336,0.14670,0.23048
2020,17-29 y.,Berlin,University/ Technical university,0.27235,47,47,0.14370,0.40100
2020,17-29 y.,Saxony,Vocational training,0.12022,39,39,0.01682,0.22363
2020,30-45 y.,North Rhine-Westphalia,University/ Technical university,0.03740,39,114,0.00242,0.07239
2020,30-45 y.,North Rhine-Westphalia,Vocational training,0.01898,43,114,-0.00618,0.04414
2020,30-45 y.,North Rhine-Westphalia,Further training/ Retraining,0.01581,32,114,-0.00719,0.03881
2021,17-29 y.,Lower Saxony,General education,0.10659,39,150,0.05704,0.15614
2021,17-29 y.,Lower Saxony,University/ Technical university,0.14391,49,150,0.08755,0.20027
2021,17-29 y.,Lower Saxony,Vocational training,0.15756,62,150,0.09906,0.21606
2021,17-29 y.,North Rhine-Westphalia,General education,0.04346,55,357,0.02228,0.06464
2021,17-29 y.,North Rhine-Westphalia,University/ Technical university,0.28267,184,357,0.23589,0.32944
2021,17-29 y.,North Rhine-Westphalia,Vocational training,0.09086,118,357,0.06100,0.12071
2021,17-29 y.,Hesse,University/ Technical university,0.28485,50,96,0.19409,0.37561
2021,17-29 y.,Hesse,Vocational training,0.15502,46,96,0.08224,0.22780
2021,17-29 y.,"Rhineland-Palatinate, Saarland",University/ Technical university,0.22443,40,40,0.09349,0.35537
2021,17-29 y.,Baden-Wuerttemberg,General education,0.04076,33,184,0.01211,0.06941
2021,17-29 y.,Baden-Wuerttemberg,University/ Technical university,0.30072,90,184,0.23428,0.36716
2021,17-29 y.,Baden-Wuerttemberg,Vocational training,0.10344,61,184,0.05932,0.14756
2021,17-29 y.,Bavaria,General education,0.03845,34,221,0.01304,0.06386
2021,17-29 y.,Bavaria,University/ Technical university,0.23725,110,221,0.18103,0.29346
2021,17-29 y.,Bavaria,Vocational training,0.11048,77,221,0.06905,0.15190
2021,17-29 y.,Berlin,University/ Technical university,0.46851,43,43,0.31759,0.61942
2021,30-45 y.,North Rhine-Westphalia,Vocational training,0.01834,35,35,-0.02676,0.06344
