year,bula_h,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,Hesse,General education,0.01589,54,222,-0.00060,0.03238
2018,Hesse,University/ Technical university,0.03832,78,222,0.01301,0.06363
2018,Hesse,Vocational training,0.03425,90,222,0.01027,0.05823
2018,"Rhineland-Palatinate, Saarland",General education,0.01170,36,143,-0.00599,0.02939
2018,"Rhineland-Palatinate, Saarland",University/ Technical university,0.02385,53,143,-0.00125,0.04895
2018,"Rhineland-Palatinate, Saarland",Vocational training,0.01859,54,143,-0.00363,0.04081
2018,Baden-Wuerttemberg,General education,0.00691,45,270,-0.00299,0.01681
2018,Baden-Wuerttemberg,University/ Technical university,0.03885,122,270,0.01576,0.06194
2018,Baden-Wuerttemberg,Vocational training,0.01909,103,270,0.00274,0.03544
2018,Bavaria,General education,0.00758,61,424,-0.00068,0.01585
2018,Bavaria,University/ Technical university,0.02486,150,424,0.01002,0.03970
2018,Bavaria,Vocational training,0.02168,158,424,0.00780,0.03556
2018,Bavaria,Further training/ Retraining,0.01074,55,424,0.00092,0.02056
2018,Berlin,University/ Technical university,0.06517,73,73,0.00816,0.12219
2018,Saxony,University/ Technical university,0.03871,59,109,0.00233,0.07509
2018,Saxony,Vocational training,0.01991,50,109,-0.00644,0.04625
2018,Saxony-Anhalt,University/ Technical university,0.03387,31,31,-0.03086,0.09861
2018,Thuringa,University/ Technical university,0.03448,31,31,-0.03081,0.09976
2019,Schleswig-Holstein,Vocational training,0.02545,42,42,-0.02276,0.07366
2019,Lower Saxony,General education,0.01165,55,286,-0.00081,0.02410
2019,Lower Saxony,University/ Technical university,0.03422,104,286,0.01311,0.05532
2019,Lower Saxony,Vocational training,0.02869,127,286,0.00931,0.04807
2019,North Rhine-Westphalia,General education,0.01256,120,701,0.00431,0.02081
2019,North Rhine-Westphalia,University/ Technical university,0.04003,267,701,0.02551,0.05455
2019,North Rhine-Westphalia,Vocational training,0.02681,245,701,0.01484,0.03877
2019,North Rhine-Westphalia,Further training/ Retraining,0.00792,69,701,0.00136,0.01449
2019,Hesse,General education,0.00889,33,180,-0.00486,0.02264
2019,Hesse,University/ Technical university,0.04569,83,180,0.01510,0.07627
2019,Hesse,Vocational training,0.02962,64,180,0.00478,0.05445
2019,"Rhineland-Palatinate, Saarland",General education,0.00924,37,150,-0.00612,0.02461
2019,"Rhineland-Palatinate, Saarland",University/ Technical university,0.02140,48,150,-0.00184,0.04464
2019,"Rhineland-Palatinate, Saarland",Vocational training,0.02466,65,150,-0.00024,0.04956
2019,Baden-Wuerttemberg,General education,0.01011,51,287,-0.00148,0.02171
2019,Baden-Wuerttemberg,University/ Technical university,0.04047,133,287,0.01763,0.06330
2019,Baden-Wuerttemberg,Vocational training,0.02090,103,287,0.00432,0.03748
2019,Bavaria,General education,0.00478,46,386,-0.00211,0.01167
2019,Bavaria,University/ Technical university,0.02657,150,386,0.01051,0.04264
2019,Bavaria,Vocational training,0.02166,144,386,0.00712,0.03621
2019,Bavaria,Further training/ Retraining,0.01107,46,386,0.00062,0.02153
2019,Berlin,University/ Technical university,0.06728,71,71,0.00859,0.12596
2019,Brandenburg,Vocational training,0.02367,34,34,-0.02820,0.07554
2019,Saxony,University/ Technical university,0.02748,45,110,-0.00321,0.05818
2019,Saxony,Vocational training,0.01226,34,110,-0.00840,0.03292
2019,Saxony,Further training/ Retraining,0.00970,31,110,-0.00870,0.02810
2020,Schleswig-Holstein,University/ Technical university,0.01750,31,76,-0.01218,0.04717
2020,Schleswig-Holstein,Vocational training,0.02892,45,76,-0.00901,0.06685
2020,Lower Saxony,General education,0.00730,40,254,-0.00319,0.01779
2020,Lower Saxony,University/ Technical university,0.02836,87,254,0.00790,0.04881
2020,Lower Saxony,Vocational training,0.02430,127,254,0.00533,0.04328
2020,North Rhine-Westphalia,General education,0.00864,113,735,0.00195,0.01534
2020,North Rhine-Westphalia,University/ Technical university,0.04274,277,735,0.02811,0.05738
2020,North Rhine-Westphalia,Vocational training,0.02839,273,735,0.01637,0.04041
2020,North Rhine-Westphalia,Further training/ Retraining,0.00860,72,735,0.00192,0.01527
2020,Hesse,General education,0.00813,40,227,-0.00358,0.01983
2020,Hesse,University/ Technical university,0.05372,98,227,0.02433,0.08312
2020,Hesse,Vocational training,0.03057,89,227,0.00812,0.05301
2020,"Rhineland-Palatinate, Saarland",University/ Technical university,0.02584,48,107,-0.00436,0.05604
2020,"Rhineland-Palatinate, Saarland",Vocational training,0.02662,59,107,-0.00402,0.05727
2020,Baden-Wuerttemberg,General education,0.00700,55,354,-0.00170,0.01569
2020,Baden-Wuerttemberg,University/ Technical university,0.04122,136,354,0.02048,0.06196
2020,Baden-Wuerttemberg,Vocational training,0.02406,127,354,0.00808,0.04005
2020,Baden-Wuerttemberg,Further training/ Retraining,0.00636,36,354,-0.00193,0.01465
2020,Bavaria,General education,0.00548,46,430,-0.00151,0.01246
2020,Bavaria,University/ Technical university,0.03163,161,430,0.01507,0.04820
2020,Bavaria,Vocational training,0.02553,185,430,0.01060,0.04045
2020,Bavaria,Further training/ Retraining,0.00539,38,430,-0.00154,0.01231
2020,Berlin,University/ Technical university,0.06003,76,76,0.00627,0.11379
2020,Brandenburg,Vocational training,0.03022,31,31,-0.03104,0.09149
2020,Saxony,University/ Technical university,0.02419,42,89,-0.00791,0.05630
2020,Saxony,Vocational training,0.01655,47,89,-0.01011,0.04321
2021,Schleswig-Holstein,Vocational training,0.00960,33,33,-0.02419,0.04339
2021,Lower Saxony,General education,0.01378,39,175,-0.00354,0.03109
2021,Lower Saxony,University/ Technical university,0.02807,65,175,0.00353,0.05262
2021,Lower Saxony,Vocational training,0.02254,71,175,0.00048,0.04459
2021,North Rhine-Westphalia,General education,0.00707,59,487,-0.00038,0.01453
2021,North Rhine-Westphalia,University/ Technical university,0.05446,219,487,0.03429,0.07464
2021,North Rhine-Westphalia,Vocational training,0.02014,161,487,0.00765,0.03263
2021,North Rhine-Westphalia,Further training/ Retraining,0.00766,48,487,-0.00009,0.01542
2021,Hesse,University/ Technical university,0.04689,58,117,0.00842,0.08536
2021,Hesse,Vocational training,0.02196,59,117,-0.00471,0.04863
2021,"Rhineland-Palatinate, Saarland",University/ Technical university,0.03238,45,45,-0.01992,0.08468
2021,Baden-Wuerttemberg,General education,0.00526,35,222,-0.00428,0.01479
2021,Baden-Wuerttemberg,University/ Technical university,0.04800,109,222,0.01981,0.07618
2021,Baden-Wuerttemberg,Vocational training,0.01974,78,222,0.00140,0.03809
2021,Bavaria,General education,0.00501,34,258,-0.00362,0.01364
2021,Bavaria,University/ Technical university,0.03764,132,258,0.01437,0.06091
2021,Bavaria,Vocational training,0.01804,92,258,0.00177,0.03431
2021,Berlin,University/ Technical university,0.06843,64,64,0.00608,0.13077
2021,Saxony,University/ Technical university,0.04084,45,45,-0.01764,0.09932
