year,age_gr,pgisced97,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,17-29 y.,Post-secondary Non-tertiary Level,University/ Technical university,0.21188,47,47,0.09378,0.32997
2016,17-29 y.,Second Stage of Tertiary Education,University/ Technical university,0.35357,136,136,0.27292,0.43422
2016,30-45 y.,Upper Secondary Level,University/ Technical university,0.01873,32,120,-0.00563,0.04309
2016,30-45 y.,Upper Secondary Level,Vocational training,0.01115,35,120,-0.00772,0.03002
2016,30-45 y.,Upper Secondary Level,Further training/ Retraining,0.02141,53,120,-0.00460,0.04742
2016,30-45 y.,Second Stage of Tertiary Education,University/ Technical university,0.05469,94,153,0.01854,0.09084
2016,30-45 y.,Second Stage of Tertiary Education,Further training/ Retraining,0.02116,59,153,-0.00172,0.04404
2016,46-65 y.,Second Stage of Tertiary Education,Further training/ Retraining,0.00921,32,32,-0.02442,0.04283
2017,17-29 y.,Pre-primary Level,General education,0.50643,393,393,0.45694,0.55592
2017,17-29 y.,Primary Level,General education,0.02391,34,34,-0.02821,0.07603
2017,17-29 y.,Lower Secondary Level,General education,0.07772,100,453,0.05304,0.10241
2017,17-29 y.,Lower Secondary Level,Vocational training,0.35798,353,453,0.31378,0.40218
2017,17-29 y.,Upper Secondary Level,University/ Technical university,0.26101,487,798,0.23052,0.29150
2017,17-29 y.,Upper Secondary Level,Vocational training,0.13443,272,798,0.11075,0.15812
2017,17-29 y.,Upper Secondary Level,Further training/ Retraining,0.02125,39,798,0.01124,0.03126
2017,17-29 y.,Post-secondary Non-tertiary Level,University/ Technical university,0.28461,83,83,0.18694,0.38228
2017,17-29 y.,Second Stage of Tertiary Education,University/ Technical university,0.38147,184,184,0.31109,0.45185
2017,30-45 y.,Upper Secondary Level,University/ Technical university,0.02124,31,131,-0.00355,0.04602
2017,30-45 y.,Upper Secondary Level,Vocational training,0.01369,44,131,-0.00629,0.03366
2017,30-45 y.,Upper Secondary Level,Further training/ Retraining,0.01490,56,131,-0.00593,0.03573
2017,30-45 y.,Second Stage of Tertiary Education,University/ Technical university,0.05815,103,166,0.02244,0.09386
2017,30-45 y.,Second Stage of Tertiary Education,Further training/ Retraining,0.02924,63,166,0.00353,0.05495
2017,46-65 y.,Second Stage of Tertiary Education,Further training/ Retraining,0.00963,42,42,-0.02026,0.03952
2018,17-29 y.,Pre-primary Level,General education,0.52891,339,339,0.47570,0.58213
2018,17-29 y.,Primary Level,Vocational training,0.10500,52,52,0.02087,0.18914
2018,17-29 y.,Lower Secondary Level,General education,0.06514,100,463,0.04264,0.08765
2018,17-29 y.,Lower Secondary Level,Vocational training,0.35323,363,463,0.30965,0.39682
2018,17-29 y.,Upper Secondary Level,General education,0.00936,34,792,0.00265,0.01607
2018,17-29 y.,Upper Secondary Level,University/ Technical university,0.26694,511,792,0.23611,0.29776
2018,17-29 y.,Upper Secondary Level,Vocational training,0.11969,247,792,0.09707,0.14231
2018,17-29 y.,Post-secondary Non-tertiary Level,University/ Technical university,0.29939,78,78,0.19709,0.40168
2018,17-29 y.,Second Stage of Tertiary Education,University/ Technical university,0.33114,188,188,0.26368,0.39859
2018,30-45 y.,Upper Secondary Level,University/ Technical university,0.02100,32,134,-0.00337,0.04537
2018,30-45 y.,Upper Secondary Level,Vocational training,0.00797,44,134,-0.00714,0.02308
2018,30-45 y.,Upper Secondary Level,Further training/ Retraining,0.01982,58,134,-0.00387,0.04351
2018,30-45 y.,Second Stage of Tertiary Education,University/ Technical university,0.05480,108,188,0.02218,0.08742
2018,30-45 y.,Second Stage of Tertiary Education,Vocational training,0.00816,32,188,-0.00473,0.02105
2018,30-45 y.,Second Stage of Tertiary Education,Further training/ Retraining,0.01936,48,188,-0.00039,0.03911
2018,46-65 y.,Second Stage of Tertiary Education,Further training/ Retraining,0.00688,32,32,-0.02221,0.03596
2019,17-29 y.,Pre-primary Level,General education,0.57636,309,309,0.52118,0.63155
2019,17-29 y.,Primary Level,Vocational training,0.14420,50,50,0.04584,0.24256
2019,17-29 y.,Lower Secondary Level,General education,0.04717,86,412,0.02668,0.06767
2019,17-29 y.,Lower Secondary Level,Vocational training,0.31288,326,412,0.26805,0.35771
2019,17-29 y.,Upper Secondary Level,University/ Technical university,0.27662,483,719,0.24390,0.30934
2019,17-29 y.,Upper Secondary Level,Vocational training,0.12309,236,719,0.09906,0.14713
2019,17-29 y.,Post-secondary Non-tertiary Level,University/ Technical university,0.26181,74,74,0.16096,0.36266
2019,17-29 y.,Second Stage of Tertiary Education,University/ Technical university,0.29902,175,220,0.23838,0.35965
2019,17-29 y.,Second Stage of Tertiary Education,Vocational training,0.06002,45,220,0.02856,0.09148
2019,30-45 y.,Upper Secondary Level,University/ Technical university,0.03006,39,131,0.00071,0.05941
2019,30-45 y.,Upper Secondary Level,Vocational training,0.01401,43,131,-0.00620,0.03421
2019,30-45 y.,Upper Secondary Level,Further training/ Retraining,0.01828,49,131,-0.00475,0.04131
2019,30-45 y.,Second Stage of Tertiary Education,University/ Technical university,0.04918,102,184,0.01785,0.08051
2019,30-45 y.,Second Stage of Tertiary Education,Vocational training,0.00885,42,184,-0.00472,0.02241
2019,30-45 y.,Second Stage of Tertiary Education,Further training/ Retraining,0.01198,40,184,-0.00378,0.02775
2019,46-65 y.,Second Stage of Tertiary Education,Further training/ Retraining,0.00947,31,31,-0.02519,0.04413
2020,17-29 y.,Pre-primary Level,General education,0.43834,305,305,0.38256,0.49412
2020,17-29 y.,Primary Level,Vocational training,0.12292,54,54,0.03452,0.21132
2020,17-29 y.,Lower Secondary Level,General education,0.04859,77,416,0.02790,0.06928
2020,17-29 y.,Lower Secondary Level,Vocational training,0.35185,339,416,0.30590,0.39779
2020,17-29 y.,Upper Secondary Level,University/ Technical university,0.30464,500,758,0.27185,0.33743
2020,17-29 y.,Upper Secondary Level,Vocational training,0.12396,258,758,0.10048,0.14743
2020,17-29 y.,Post-secondary Non-tertiary Level,University/ Technical university,0.22831,71,71,0.12998,0.32664
2020,17-29 y.,Second Stage of Tertiary Education,University/ Technical university,0.31939,175,253,0.26183,0.37696
2020,17-29 y.,Second Stage of Tertiary Education,Vocational training,0.07445,78,253,0.04204,0.10686
2020,30-45 y.,Upper Secondary Level,University/ Technical university,0.02669,36,136,-0.00050,0.05387
2020,30-45 y.,Upper Secondary Level,Vocational training,0.01878,61,136,-0.00412,0.04168
2020,30-45 y.,Upper Secondary Level,Further training/ Retraining,0.00983,39,136,-0.00681,0.02648
2020,30-45 y.,Second Stage of Tertiary Education,University/ Technical university,0.04847,110,214,0.01963,0.07732
2020,30-45 y.,Second Stage of Tertiary Education,Vocational training,0.00981,51,214,-0.00343,0.02305
2020,30-45 y.,Second Stage of Tertiary Education,Further training/ Retraining,0.01608,53,214,-0.00081,0.03298
2021,17-29 y.,Pre-primary Level,General education,0.43078,158,158,0.35332,0.50824
2021,17-29 y.,Lower Secondary Level,General education,0.08020,63,265,0.04744,0.11296
2021,17-29 y.,Lower Secondary Level,Vocational training,0.29954,202,265,0.24429,0.35480
2021,17-29 y.,Upper Secondary Level,General education,0.01053,32,601,0.00236,0.01869
2021,17-29 y.,Upper Secondary Level,University/ Technical university,0.33564,393,601,0.29785,0.37342
2021,17-29 y.,Upper Secondary Level,Vocational training,0.12761,176,601,0.10091,0.15431
2021,17-29 y.,Post-secondary Non-tertiary Level,University/ Technical university,0.25881,57,57,0.14410,0.37353
2021,17-29 y.,Second Stage of Tertiary Education,University/ Technical university,0.38765,166,203,0.32046,0.45483
2021,17-29 y.,Second Stage of Tertiary Education,Vocational training,0.02934,37,203,0.00607,0.05262
2021,30-45 y.,Upper Secondary Level,Vocational training,0.02009,35,69,-0.01326,0.05345
2021,30-45 y.,Upper Secondary Level,Further training/ Retraining,0.01880,34,69,-0.01348,0.05108
2021,30-45 y.,Second Stage of Tertiary Education,University/ Technical university,0.05622,85,170,0.02149,0.09095
2021,30-45 y.,Second Stage of Tertiary Education,Vocational training,0.01567,40,170,-0.00306,0.03439
2021,30-45 y.,Second Stage of Tertiary Education,Further training/ Retraining,0.01917,45,170,-0.00151,0.03984
