year,age_gr,quintil_oecd,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,30-45 y.,1st Quintile,University/ Technical university,0.04748,47,99,0.00538,0.08959
2016,30-45 y.,1st Quintile,Further training/ Retraining,0.02919,52,99,-0.00414,0.06251
2016,30-45 y.,4th Quintile,University/ Technical university,0.03536,37,37,-0.02497,0.09569
2017,17-29 y.,1st Quintile,General education,0.05872,155,719,0.04153,0.07592
2017,17-29 y.,1st Quintile,University/ Technical university,0.26377,253,719,0.23153,0.29600
2017,17-29 y.,1st Quintile,Vocational training,0.15633,274,719,0.12977,0.18290
2017,17-29 y.,1st Quintile,Further training/ Retraining,0.01657,37,719,0.00723,0.02590
2017,17-29 y.,2nd Quintile,General education,0.07231,96,385,0.04641,0.09822
2017,17-29 y.,2nd Quintile,University/ Technical university,0.17677,117,385,0.13861,0.21492
2017,17-29 y.,2nd Quintile,Vocational training,0.19389,172,385,0.15435,0.23343
2017,17-29 y.,3rd Quintile,General education,0.08711,84,325,0.05640,0.11781
2017,17-29 y.,3rd Quintile,University/ Technical university,0.18099,121,325,0.13907,0.22291
2017,17-29 y.,3rd Quintile,Vocational training,0.13105,120,325,0.09430,0.16779
2017,17-29 y.,4th Quintile,General education,0.11235,69,278,0.07516,0.14955
2017,17-29 y.,4th Quintile,University/ Technical university,0.16520,113,278,0.12147,0.20893
2017,17-29 y.,4th Quintile,Vocational training,0.13734,96,278,0.09680,0.17787
2017,17-29 y.,5th Quintile,General education,0.09972,57,237,0.06149,0.13795
2017,17-29 y.,5th Quintile,University/ Technical university,0.23480,123,237,0.18072,0.28888
2017,17-29 y.,5th Quintile,Vocational training,0.16850,57,237,0.12075,0.21626
2017,30-45 y.,1st Quintile,University/ Technical university,0.03624,38,140,0.00517,0.06731
2017,30-45 y.,1st Quintile,Vocational training,0.02820,45,140,0.00068,0.05572
2017,30-45 y.,1st Quintile,Further training/ Retraining,0.02476,57,140,-0.00107,0.05059
2017,30-45 y.,2nd Quintile,University/ Technical university,0.04173,42,42,-0.01948,0.10294
2018,17-29 y.,1st Quintile,General education,0.05823,170,795,0.04194,0.07452
2018,17-29 y.,1st Quintile,University/ Technical university,0.23634,303,795,0.20679,0.26589
2018,17-29 y.,1st Quintile,Vocational training,0.17967,322,795,0.15297,0.20638
2018,17-29 y.,2nd Quintile,General education,0.07610,102,437,0.05121,0.10099
2018,17-29 y.,2nd Quintile,University/ Technical university,0.14115,137,437,0.10847,0.17383
2018,17-29 y.,2nd Quintile,Vocational training,0.16028,198,437,0.12584,0.19472
2018,17-29 y.,3rd Quintile,General education,0.09754,92,357,0.06672,0.12836
2018,17-29 y.,3rd Quintile,University/ Technical university,0.18864,145,357,0.14800,0.22928
2018,17-29 y.,3rd Quintile,Vocational training,0.13823,120,357,0.10238,0.17408
2018,17-29 y.,4th Quintile,General education,0.06686,59,289,0.03802,0.09571
2018,17-29 y.,4th Quintile,University/ Technical university,0.19992,134,289,0.15373,0.24612
2018,17-29 y.,4th Quintile,Vocational training,0.12737,96,289,0.08887,0.16588
2018,17-29 y.,5th Quintile,General education,0.07787,58,256,0.04498,0.11076
2018,17-29 y.,5th Quintile,University/ Technical university,0.22720,131,256,0.17577,0.27863
2018,17-29 y.,5th Quintile,Vocational training,0.13257,67,256,0.09095,0.17420
2018,30-45 y.,1st Quintile,University/ Technical university,0.06583,50,174,0.02888,0.10279
2018,30-45 y.,1st Quintile,Vocational training,0.01836,58,174,-0.00165,0.03836
2018,30-45 y.,1st Quintile,Further training/ Retraining,0.03197,66,174,0.00575,0.05818
2018,30-45 y.,2nd Quintile,University/ Technical university,0.04355,48,48,-0.01480,0.10191
2019,17-29 y.,1st Quintile,General education,0.05995,151,733,0.04275,0.07715
2019,17-29 y.,1st Quintile,University/ Technical university,0.26856,273,733,0.23645,0.30067
2019,17-29 y.,1st Quintile,Vocational training,0.15436,309,733,0.12819,0.18053
2019,17-29 y.,2nd Quintile,General education,0.07423,94,422,0.04919,0.09927
2019,17-29 y.,2nd Quintile,University/ Technical university,0.14397,137,422,0.11043,0.17750
2019,17-29 y.,2nd Quintile,Vocational training,0.15431,191,422,0.11980,0.18881
2019,17-29 y.,3rd Quintile,General education,0.06185,65,335,0.03601,0.08768
2019,17-29 y.,3rd Quintile,University/ Technical university,0.14094,136,335,0.10363,0.17826
2019,17-29 y.,3rd Quintile,Vocational training,0.17457,134,335,0.13386,0.21528
2019,17-29 y.,4th Quintile,General education,0.06270,55,273,0.03389,0.09151
2019,17-29 y.,4th Quintile,University/ Technical university,0.19280,126,273,0.14592,0.23969
2019,17-29 y.,4th Quintile,Vocational training,0.12522,92,273,0.08588,0.16455
2019,17-29 y.,5th Quintile,General education,0.08674,50,213,0.04885,0.12463
2019,17-29 y.,5th Quintile,University/ Technical university,0.18391,115,213,0.13176,0.23607
2019,17-29 y.,5th Quintile,Vocational training,0.10059,48,213,0.06010,0.14108
2019,30-45 y.,1st Quintile,University/ Technical university,0.05760,47,156,0.02092,0.09427
2019,30-45 y.,1st Quintile,Vocational training,0.02322,65,156,-0.00049,0.04693
2019,30-45 y.,1st Quintile,Further training/ Retraining,0.02680,44,156,0.00138,0.05223
2019,30-45 y.,2nd Quintile,University/ Technical university,0.03506,32,64,-0.01036,0.08048
2019,30-45 y.,2nd Quintile,Vocational training,0.01903,32,64,-0.01471,0.05277
2019,30-45 y.,3rd Quintile,University/ Technical university,0.02348,31,31,-0.03071,0.07768
2020,17-29 y.,1st Quintile,General education,0.04491,115,688,0.02943,0.06040
2020,17-29 y.,1st Quintile,University/ Technical university,0.26327,285,688,0.23034,0.29621
2020,17-29 y.,1st Quintile,Vocational training,0.15186,288,688,0.12502,0.17869
2020,17-29 y.,2nd Quintile,General education,0.07358,85,393,0.04773,0.09943
2020,17-29 y.,2nd Quintile,University/ Technical university,0.20657,143,393,0.16650,0.24665
2020,17-29 y.,2nd Quintile,Vocational training,0.18255,165,393,0.14431,0.22079
2020,17-29 y.,3rd Quintile,General education,0.06197,67,313,0.03521,0.08872
2020,17-29 y.,3rd Quintile,University/ Technical university,0.18002,126,313,0.13739,0.22265
2020,17-29 y.,3rd Quintile,Vocational training,0.13811,120,313,0.09982,0.17639
2020,17-29 y.,4th Quintile,General education,0.06135,57,293,0.03383,0.08888
2020,17-29 y.,4th Quintile,University/ Technical university,0.17625,138,293,0.13254,0.21995
2020,17-29 y.,4th Quintile,Vocational training,0.16918,98,293,0.12618,0.21218
2020,17-29 y.,5th Quintile,General education,0.05794,63,271,0.03007,0.08581
2020,17-29 y.,5th Quintile,University/ Technical university,0.20260,146,271,0.15466,0.25055
2020,17-29 y.,5th Quintile,Vocational training,0.10529,62,271,0.06868,0.14190
2020,30-45 y.,1st Quintile,University/ Technical university,0.04625,57,156,0.01319,0.07931
2020,30-45 y.,1st Quintile,Vocational training,0.02489,64,156,0.00037,0.04942
2020,30-45 y.,1st Quintile,Further training/ Retraining,0.02713,35,156,0.00155,0.05270
2020,30-45 y.,2nd Quintile,University/ Technical university,0.04488,34,34,-0.02576,0.11552
2020,30-45 y.,3rd Quintile,University/ Technical university,0.03160,33,33,-0.02901,0.09221
2021,17-29 y.,1st Quintile,General education,0.04128,79,558,0.02475,0.05780
2021,17-29 y.,1st Quintile,University/ Technical university,0.31097,262,558,0.27253,0.34941
2021,17-29 y.,1st Quintile,Vocational training,0.12709,217,558,0.09943,0.15475
2021,17-29 y.,2nd Quintile,General education,0.06169,53,284,0.03366,0.08972
2021,17-29 y.,2nd Quintile,University/ Technical university,0.20826,118,284,0.16095,0.25557
2021,17-29 y.,2nd Quintile,Vocational training,0.14975,113,284,0.10817,0.19132
2021,17-29 y.,3rd Quintile,General education,0.04983,34,205,0.01997,0.07969
2021,17-29 y.,3rd Quintile,University/ Technical university,0.22120,93,205,0.16425,0.27816
2021,17-29 y.,3rd Quintile,Vocational training,0.12533,78,205,0.07989,0.17076
2021,17-29 y.,4th Quintile,General education,0.07501,50,220,0.04012,0.10989
2021,17-29 y.,4th Quintile,University/ Technical university,0.23988,113,220,0.18333,0.29644
2021,17-29 y.,4th Quintile,Vocational training,0.10281,57,220,0.06259,0.14304
2021,17-29 y.,5th Quintile,General education,0.05965,33,169,0.02384,0.09547
2021,17-29 y.,5th Quintile,University/ Technical university,0.24668,99,169,0.18149,0.31187
2021,17-29 y.,5th Quintile,Vocational training,0.08758,37,169,0.04483,0.13033
2021,30-45 y.,1st Quintile,University/ Technical university,0.04763,46,91,0.00363,0.09164
2021,30-45 y.,1st Quintile,Vocational training,0.02287,45,91,-0.00802,0.05375
