"year","quintil_oecd","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2018","5 Einkommensstärkstes Quintil","männlich","6.86","6.5","4225","4","6","8","9","10","6.8","6.92","0","10","7","7"
"2018","5 Einkommensstärkstes Quintil","weiblich","6.65","6.5","4345","3","5","8","9","10","6.59","6.71","0","10","7","7"
"2019","1 Einkommensschwächstes Quintil","männlich","6.34","6.5","1054","3","5","8","10","10","6.19","6.49","0","10","7","7"
"2019","1 Einkommensschwächstes Quintil","weiblich","5.91","5.5","1269","2","4","8","9","10","5.77","6.05","0","10","6","7"
"2019","2","männlich","6.63","6.5","1231","3","5","8","10","10","6.5","6.76","0","10","7","7"
"2019","2","weiblich","6.17","5.5","1738","3","4","8","9","10","6.06","6.28","0","10","6","7"
"2019","3","männlich","6.55","6.5","1630","3","5","8","9","10","6.44","6.66","0","10","7","7"
"2019","3","weiblich","6.24","6.5","1995","3","5","8","9","10","6.14","6.34","0","10","7","7"
"2019","4","männlich","6.91","6.5","2938","4","6","8","9","10","6.84","6.98","0","10","7","7"
"2019","4","weiblich","6.47","6.5","3354","3","5","8","9","10","6.39","6.55","0","10","7","7"
"2019","5 Einkommensstärkstes Quintil","männlich","7.03","6.5","5465","4","6","8","9","10","6.98","7.08","0","10","7","8"
"2019","5 Einkommensstärkstes Quintil","weiblich","6.81","6.5","5125","4","6","8","9","10","6.75","6.87","0","10","7","7"
"2020","1 Einkommensschwächstes Quintil","männlich","6.36","6.5","1018","3","5","8","10","10","6.21","6.51","0","10","7","7"
"2020","1 Einkommensschwächstes Quintil","weiblich","6.03","5.5","1240","3","4","8","9","10","5.89","6.17","0","10","6","7"
"2020","2","männlich","6.46","6.5","1294","3","5","8","10","10","6.33","6.59","0","10","7","7"
"2020","2","weiblich","6.08","5.5","1624","3","4","8","9","10","5.96","6.2","0","10","7","7"
"2020","3","männlich","6.62","6.5","1469","3","5","8","10","10","6.51","6.73","0","10","7","7"
"2020","3","weiblich","6.27","6.5","1802","3","5","8","9","10","6.16","6.38","0","10","7","7"
"2020","4","männlich","6.65","6.5","3045","4","5","8","9","10","6.57","6.73","0","10","7","7"
"2020","4","weiblich","6.41","6.5","3431","3","5","8","9","10","6.33","6.49","0","10","7","7"
"2020","5 Einkommensstärkstes Quintil","männlich","6.88","6.5","5472","4","6","8","9","10","6.83","6.93","0","10","7","7"
"2020","5 Einkommensstärkstes Quintil","weiblich","6.6","6.5","5328","3","5","8","9","10","6.54","6.66","0","10","7","7"
