"plb0218","year","age_gr","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja, alle 2 Wochen","2007","46-65","Ländlicher Raum","228","0.150078699774846","0.132633174957481","0.167524224592211"
"Ja, alle 2 Wochen","2007","66","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2007","66","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2007","17-29","Städtischer Raum","110","0.0894615932624523","0.0736711734362596","0.105252013088645"
"Ja, alle 3-4 Wochen","2007","17-29","Ländlicher Raum","59","0.0899445712170367","0.0685194047217588","0.111369737712315"
"Ja, alle 3-4 Wochen","2007","30-45","Städtischer Raum","322","0.109770340952781","0.0988363980122496","0.120704283893312"
"Ja, alle 3-4 Wochen","2007","30-45","Ländlicher Raum","176","0.1212791405694","0.105141488657801","0.137416792480999"
"Ja, alle 3-4 Wochen","2007","46-65","Städtischer Raum","267","0.0841988046817094","0.074326096346009","0.0940715130174097"
"Ja, alle 3-4 Wochen","2007","46-65","Ländlicher Raum","165","0.0958029288986162","0.0814263320526382","0.110179525744594"
"Ja, alle 3-4 Wochen","2007","66","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2007","66","Ländlicher Raum","","","",""
"Seltener","2007","17-29","Städtischer Raum","228","0.163240329111848","0.142792823823918","0.183687834399777"
"Seltener","2007","17-29","Ländlicher Raum","137","0.222109217346384","0.190981633694527","0.253236800998242"
"Seltener","2007","30-45","Städtischer Raum","816","0.256970649206463","0.241686966517491","0.272254331895436"
"Seltener","2007","30-45","Ländlicher Raum","404","0.263523644723635","0.241745994483051","0.28530129496422"
"Seltener","2007","46-65","Städtischer Raum","776","0.254610470970053","0.239121858457053","0.270099083483052"
"Seltener","2007","46-65","Ländlicher Raum","433","0.245971565919223","0.224935163622048","0.267007968216397"
"Seltener","2007","66","Städtischer Raum","","","",""
"Seltener","2007","66","Ländlicher Raum","","","",""
"Nein, nie","2008","17-29","Städtischer Raum","","","",""
"Nein, nie","2008","17-29","Ländlicher Raum","","","",""
"Nein, nie","2008","30-45","Städtischer Raum","","","",""
"Nein, nie","2008","30-45","Ländlicher Raum","","","",""
"Nein, nie","2008","46-65","Städtischer Raum","","","",""
"Nein, nie","2008","46-65","Ländlicher Raum","","","",""
"Nein, nie","2008","66","Städtischer Raum","","","",""
"Nein, nie","2008","66","Ländlicher Raum","","","",""
"Ja, jede Woche","2008","17-29","Städtischer Raum","","","",""
"Ja, jede Woche","2008","17-29","Ländlicher Raum","","","",""
"Ja, jede Woche","2008","30-45","Städtischer Raum","","","",""
"Ja, jede Woche","2008","30-45","Ländlicher Raum","","","",""
"Ja, jede Woche","2008","46-65","Städtischer Raum","","","",""
"Ja, jede Woche","2008","46-65","Ländlicher Raum","","","",""
"Ja, jede Woche","2008","66","Städtischer Raum","","","",""
"Ja, jede Woche","2008","66","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2008","17-29","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2008","17-29","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2008","30-45","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2008","30-45","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2008","46-65","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2008","46-65","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2008","66","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2008","66","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2008","17-29","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2008","17-29","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2008","30-45","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2008","30-45","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2008","46-65","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2008","46-65","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2008","66","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2008","66","Ländlicher Raum","","","",""
"Seltener","2008","17-29","Städtischer Raum","","","",""
"Seltener","2008","17-29","Ländlicher Raum","","","",""
"Seltener","2008","30-45","Städtischer Raum","","","",""
"Seltener","2008","30-45","Ländlicher Raum","","","",""
"Seltener","2008","46-65","Städtischer Raum","","","",""
"Seltener","2008","46-65","Ländlicher Raum","","","",""
"Seltener","2008","66","Städtischer Raum","","","",""
"Seltener","2008","66","Ländlicher Raum","","","",""
"Nein, nie","2009","17-29","Städtischer Raum","444","0.41436689401153","0.385295512564053","0.443438275459007"
"Nein, nie","2009","17-29","Ländlicher Raum","227","0.38511497167109","0.34516625579581","0.42506368754637"
"Nein, nie","2009","30-45","Städtischer Raum","946","0.355636577703992","0.337092862050269","0.374180293357714"
"Nein, nie","2009","30-45","Ländlicher Raum","416","0.296937298118214","0.272446000659799","0.321428595576629"
"Nein, nie","2009","46-65","Städtischer Raum","1042","0.363165623441298","0.345463018607462","0.380868228275134"
"Nein, nie","2009","46-65","Ländlicher Raum","527","0.350974376269038","0.327297998183802","0.374650754354274"
"Nein, nie","2009","66","Städtischer Raum","","","",""
"Nein, nie","2009","66","Ländlicher Raum","","","",""
"Ja, jede Woche","2009","17-29","Städtischer Raum","167","0.160685880883757","0.139013258789914","0.1823585029776"
"Ja, jede Woche","2009","17-29","Ländlicher Raum","83","0.174679743652254","0.143509285311172","0.205850201993336"
"Ja, jede Woche","2009","30-45","Städtischer Raum","349","0.141041826773848","0.127558778831783","0.154524874715913"
"Ja, jede Woche","2009","30-45","Ländlicher Raum","203","0.143166769568488","0.124392992743184","0.161940546393793"
"Ja, jede Woche","2009","46-65","Städtischer Raum","442","0.159946089494421","0.14645298289008","0.173439196098763"
"Ja, jede Woche","2009","46-65","Ländlicher Raum","261","0.172906709806534","0.154146840360677","0.191666579252391"
"Ja, jede Woche","2009","66","Städtischer Raum","","","",""
"Ja, jede Woche","2009","66","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2009","17-29","Städtischer Raum","174","0.155900635735067","0.13449239082331","0.177308880646824"
"Ja, alle 2 Wochen","2009","17-29","Ländlicher Raum","99","0.18017977994615","0.148628062645828","0.211731497246472"
"Ja, alle 2 Wochen","2009","30-45","Städtischer Raum","349","0.144085769908334","0.130482172287137","0.15768936752953"
"Ja, alle 2 Wochen","2009","30-45","Ländlicher Raum","219","0.165002903096002","0.145106679046642","0.184899127145363"
"Ja, alle 2 Wochen","2009","46-65","Städtischer Raum","369","0.144253082604987","0.131319859115216","0.157186306094758"
"Ja, alle 2 Wochen","2009","46-65","Ländlicher Raum","229","0.14464796276353","0.127198773742688","0.162097151784372"
"Ja, alle 2 Wochen","2009","66","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2009","66","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2009","17-29","Städtischer Raum","86","0.0746243846170519","0.0591162435872758","0.0901325256468279"
"Ja, alle 3-4 Wochen","2009","17-29","Ländlicher Raum","49","0.078550570929579","0.0564643664419547","0.100636775417203"
"Ja, alle 3-4 Wochen","2009","30-45","Städtischer Raum","237","0.0976127618498777","0.0861159378979882","0.109109585801767"
"Ja, alle 3-4 Wochen","2009","30-45","Ländlicher Raum","141","0.102090581539513","0.0858615916475974","0.118319571431429"
"Ja, alle 3-4 Wochen","2009","46-65","Städtischer Raum","235","0.0790141879998063","0.0690841577836632","0.0889442182159495"
"Ja, alle 3-4 Wochen","2009","46-65","Ländlicher Raum","152","0.0859363042894327","0.0720328342292873","0.0998397743495782"
"Ja, alle 3-4 Wochen","2009","66","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2009","66","Ländlicher Raum","","","",""
"Seltener","2009","17-29","Städtischer Raum","232","0.194422204752594","0.171066820863037","0.21777758864215"
"Seltener","2009","17-29","Ländlicher Raum","112","0.181474933800927","0.149835042826863","0.213114824774991"
"Seltener","2009","30-45","Städtischer Raum","679","0.261623063763949","0.244597355662596","0.278648771865303"
"Seltener","2009","30-45","Ländlicher Raum","358","0.292802447677782","0.26841085756914","0.317194037786425"
"Seltener","2009","46-65","Städtischer Raum","747","0.253621016459488","0.237605391886059","0.269636641032917"
"Seltener","2009","46-65","Ländlicher Raum","392","0.245534646871466","0.224183427562457","0.266885866180474"
"Seltener","2009","66","Städtischer Raum","","","",""
"Seltener","2009","66","Ländlicher Raum","","","",""
"Nein, nie","2010","17-29","Städtischer Raum","","","",""
"Nein, nie","2010","17-29","Ländlicher Raum","","","",""
"Nein, nie","2010","30-45","Städtischer Raum","","","",""
"Nein, nie","2010","30-45","Ländlicher Raum","","","",""
"Nein, nie","2010","46-65","Städtischer Raum","","","",""
"Nein, nie","2010","46-65","Ländlicher Raum","","","",""
"Nein, nie","2010","66","Städtischer Raum","","","",""
"Nein, nie","2010","66","Ländlicher Raum","","","",""
"Ja, jede Woche","2010","17-29","Städtischer Raum","","","",""
"Ja, jede Woche","2010","17-29","Ländlicher Raum","","","",""
"Ja, jede Woche","2010","30-45","Städtischer Raum","","","",""
"Ja, jede Woche","2010","30-45","Ländlicher Raum","","","",""
"Ja, jede Woche","2010","46-65","Städtischer Raum","","","",""
"Ja, jede Woche","2010","46-65","Ländlicher Raum","","","",""
"Ja, jede Woche","2010","66","Städtischer Raum","","","",""
"Ja, jede Woche","2010","66","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2010","17-29","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2010","17-29","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2010","30-45","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2010","30-45","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2010","46-65","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2010","46-65","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2010","66","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2010","66","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2010","17-29","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2010","17-29","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2010","30-45","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2010","30-45","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2010","46-65","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2010","46-65","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2010","66","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2010","66","Ländlicher Raum","","","",""
"Seltener","2010","17-29","Städtischer Raum","","","",""
"Seltener","2010","17-29","Ländlicher Raum","","","",""
"Seltener","2010","30-45","Städtischer Raum","","","",""
"Seltener","2010","30-45","Ländlicher Raum","","","",""
"Seltener","2010","46-65","Städtischer Raum","","","",""
"Seltener","2010","46-65","Ländlicher Raum","","","",""
"Seltener","2010","66","Städtischer Raum","","","",""
"Seltener","2010","66","Ländlicher Raum","","","",""
"Nein, nie","2011","17-29","Städtischer Raum","553","0.388246501821259","0.362672246679259","0.413820756963259"
"Nein, nie","2011","17-29","Ländlicher Raum","338","0.40286753668115","0.370313389226931","0.435421684135369"
"Nein, nie","2011","30-45","Städtischer Raum","1942","0.38589190534158","0.372352487890948","0.399431322792211"
"Nein, nie","2011","30-45","Ländlicher Raum","911","0.296732612589375","0.279643488789222","0.313821736389528"
"Nein, nie","2011","46-65","Städtischer Raum","1605","0.378158064554114","0.363402594125246","0.392913534982982"
"Nein, nie","2011","46-65","Ländlicher Raum","886","0.376033445608982","0.356597451258492","0.395469439959472"
"Nein, nie","2011","66","Städtischer Raum","","","",""
"Nein, nie","2011","66","Ländlicher Raum","","","",""
"Ja, jede Woche","2011","17-29","Städtischer Raum","227","0.169199202087607","0.149524480520352","0.188873923654862"
"Ja, jede Woche","2011","17-29","Ländlicher Raum","111","0.10308137757971","0.0828997365985219","0.123263018560898"
"Ja, jede Woche","2011","30-45","Städtischer Raum","637","0.13398317703209","0.124509184599097","0.143457169465082"
"Ja, jede Woche","2011","30-45","Ländlicher Raum","385","0.131252124755108","0.11861998372503","0.143884265785185"
"Ja, jede Woche","2011","46-65","Städtischer Raum","653","0.16083319813319","0.149654573588727","0.172011822677652"
"Ja, jede Woche","2011","46-65","Ländlicher Raum","366","0.150599586263731","0.136248624912909","0.164950547614553"
"Ja, jede Woche","2011","66","Städtischer Raum","","","",""
"Ja, jede Woche","2011","66","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2011","17-29","Städtischer Raum","249","0.181338674639482","0.161119736526517","0.201557612752446"
"Ja, alle 2 Wochen","2011","17-29","Ländlicher Raum","182","0.196993557159481","0.170595292740457","0.223391821578504"
"Ja, alle 2 Wochen","2011","30-45","Städtischer Raum","722","0.133978767111603","0.124504906472075","0.14345262775113"
"Ja, alle 2 Wochen","2011","30-45","Ländlicher Raum","505","0.185000755607018","0.170474881670988","0.199526629543048"
"Ja, alle 2 Wochen","2011","46-65","Städtischer Raum","567","0.147777360269747","0.136979023705332","0.158575696834163"
"Ja, alle 2 Wochen","2011","46-65","Ländlicher Raum","373","0.152619244873674","0.138189560894556","0.167048928852792"
"Ja, alle 2 Wochen","2011","66","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2011","66","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2011","17-29","Städtischer Raum","107","0.0715702474512788","0.0580432386896053","0.0850972562129523"
"Ja, alle 3-4 Wochen","2011","17-29","Ländlicher Raum","82","0.0867401940792676","0.068059319040293","0.105421069118242"
"Ja, alle 3-4 Wochen","2011","30-45","Städtischer Raum","474","0.0932227693762894","0.085136354172305","0.101309184580274"
"Ja, alle 3-4 Wochen","2011","30-45","Ländlicher Raum","297","0.123569569867288","0.111258624383423","0.135880515351152"
"Ja, alle 3-4 Wochen","2011","46-65","Städtischer Raum","358","0.089437650758447","0.0807542187207785","0.0981210827961155"
"Ja, alle 3-4 Wochen","2011","46-65","Ländlicher Raum","213","0.0866788955292457","0.0753892241046187","0.0979685669538728"
"Ja, alle 3-4 Wochen","2011","66","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2011","66","Ländlicher Raum","","","",""
"Seltener","2011","17-29","Städtischer Raum","259","0.189645374000373","0.169073698183053","0.210217049817693"
"Seltener","2011","17-29","Ländlicher Raum","159","0.210317334500392","0.183268180563777","0.237366488437006"
"Seltener","2011","30-45","Städtischer Raum","1191","0.252923381138439","0.240833506568526","0.265013255708351"
"Seltener","2011","30-45","Ländlicher Raum","647","0.263444937181212","0.246966179991735","0.279923694370688"
"Seltener","2011","46-65","Städtischer Raum","966","0.223793726284502","0.211111692619515","0.236475759949489"
"Seltener","2011","46-65","Ländlicher Raum","548","0.234068827724367","0.217079369343237","0.251058286105497"
"Seltener","2011","66","Städtischer Raum","","","",""
"Seltener","2011","66","Ländlicher Raum","","","",""
"Nein, nie","2012","17-29","Städtischer Raum","","","",""
"Nein, nie","2012","17-29","Ländlicher Raum","","","",""
"Nein, nie","2012","30-45","Städtischer Raum","","","",""
"Nein, nie","2012","30-45","Ländlicher Raum","","","",""
"Nein, nie","2012","46-65","Städtischer Raum","","","",""
"Nein, nie","2012","46-65","Ländlicher Raum","","","",""
"Nein, nie","2012","66","Städtischer Raum","","","",""
"Nein, nie","2012","66","Ländlicher Raum","","","",""
"Ja, jede Woche","2012","17-29","Städtischer Raum","","","",""
"Ja, jede Woche","2012","17-29","Ländlicher Raum","","","",""
"Ja, jede Woche","2012","30-45","Städtischer Raum","","","",""
"Ja, jede Woche","2012","30-45","Ländlicher Raum","","","",""
"Ja, jede Woche","2012","46-65","Städtischer Raum","","","",""
"Ja, jede Woche","2012","46-65","Ländlicher Raum","","","",""
"Ja, jede Woche","2012","66","Städtischer Raum","","","",""
"Ja, jede Woche","2012","66","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2012","17-29","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2012","17-29","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2012","30-45","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2012","30-45","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2012","46-65","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2012","46-65","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2012","66","Städtischer Raum","","","",""
"Ja, alle 2 Wochen","2012","66","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2012","17-29","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2012","17-29","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2012","30-45","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2012","30-45","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2012","46-65","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2012","46-65","Ländlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2012","66","Städtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2012","66","Ländlicher Raum","","","",""
"Seltener","2012","17-29","Städtischer Raum","","","",""
"Seltener","2012","17-29","Ländlicher Raum","","","",""
"Seltener","2012","30-45","Städtischer Raum","","","",""
"Seltener","2012","30-45","Ländlicher Raum","","","",""
"Seltener","2012","46-65","Städtischer Raum","","","",""
"Seltener","2012","46-65","Ländlicher Raum","","","",""
"Seltener","2012","66","Städtischer Raum","","","",""
"Seltener","2012","66","Ländlicher Raum","","","",""
"Nein, nie","2013","17-29","Städtischer Raum","585","0.433485258180909","0.406922378107278","0.460048138254541"
"Nein, nie","2013","17-29","Ländlicher Raum","310","0.411571519237377","0.375994142638891","0.447148895835863"
"Nein, nie","2013","30-45","Städtischer Raum","1629","0.356345362810474","0.3417604092452","0.370930316375748"
"Nein, nie","2013","30-45","Ländlicher Raum","801","0.301372729170806","0.282789148884106","0.319956309457507"
"Nein, nie","2013","46-65","Städtischer Raum","1663","0.363118552152681","0.348579974709533","0.377657129595829"
"Nein, nie","2013","46-65","Ländlicher Raum","897","0.366108957504796","0.347149114564342","0.385068800445249"
"Nein, nie","2013","66","Städtischer Raum","","","",""
"Nein, nie","2013","66","Ländlicher Raum","","","",""
"Ja, jede Woche","2013","17-29","Städtischer Raum","213","0.134476760132974","0.116189637688106","0.152763882577842"
"Ja, jede Woche","2013","17-29","Ländlicher Raum","101","0.137214109765352","0.112339554499558","0.162088665031147"
"Ja, jede Woche","2013","30-45","Städtischer Raum","495","0.12977275355283","0.119538618542192","0.140006888563468"
"Ja, jede Woche","2013","30-45","Ländlicher Raum","322","0.13466339026356","0.120838173268712","0.148488607258407"
"Ja, jede Woche","2013","46-65","Städtischer Raum","559","0.132613140177743","0.122359735581955","0.142866544773531"
"Ja, jede Woche","2013","46-65","Ländlicher Raum","347","0.142317418421319","0.128567042410525","0.156067794432114"
"Ja, jede Woche","2013","66","Städtischer Raum","","","",""
"Ja, jede Woche","2013","66","Ländlicher Raum","","","",""
"Ja, alle 2 Wochen","2013","17-29","Städtischer Raum","203","0.140391748647837","0.121770728632958","0.159012768662716"
