"plb0218","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Seltener","2006","35-65","weiblich","","","",""
"Seltener","2006","66 +","maennlich","","","",""
"Seltener","2006","66 +","weiblich","","","",""
"Nein, nie","2007","17-34","maennlich","522","0.341620863976046","0.317926830141101","0.365314897810991"
"Nein, nie","2007","17-34","weiblich","597","0.404113043541775","0.378802710012206","0.429423377071344"
"Nein, nie","2007","35-65","maennlich","1225","0.284841245877647","0.271477919597506","0.298204572157788"
"Nein, nie","2007","35-65","weiblich","1745","0.436248133492806","0.420755282874451","0.451740984111161"
"Nein, nie","2007","66 +","maennlich","37","0.296576768641919","0.215194025570839","0.377959511713"
"Nein, nie","2007","66 +","weiblich","","","",""
"Ja, jede Woche","2007","17-34","maennlich","225","0.143521272450293","0.126004858111285","0.161037686789301"
"Ja, jede Woche","2007","17-34","weiblich","206","0.157800424469296","0.138997470319104","0.176603378619489"
"Ja, jede Woche","2007","35-65","maennlich","689","0.151798290553866","0.141174122872897","0.162422458234835"
"Ja, jede Woche","2007","35-65","weiblich","522","0.136067068547033","0.125355894538158","0.146778242555907"
"Ja, jede Woche","2007","66 +","maennlich","30","0.272860073434275","0.193494090789756","0.352226056078793"
"Ja, jede Woche","2007","66 +","weiblich","","","",""
"Ja, alle 2 Wochen","2007","17-34","maennlich","255","0.17014973024764","0.151376271905363","0.188923188589917"
"Ja, alle 2 Wochen","2007","17-34","weiblich","261","0.173576013385225","0.15404113076131","0.19311089600914"
"Ja, alle 2 Wochen","2007","35-65","maennlich","593","0.145275073334258","0.134841798664793","0.155708348003723"
"Ja, alle 2 Wochen","2007","35-65","weiblich","568","0.152034830021611","0.140817716900597","0.163251943142625"
"Ja, alle 2 Wochen","2007","66 +","maennlich","","","",""
"Ja, alle 2 Wochen","2007","66 +","weiblich","","","",""
"Ja, alle 3-4 Wochen","2007","17-34","maennlich","168","0.110257519065586","0.0946092951333629","0.125905742997809"
"Ja, alle 3-4 Wochen","2007","17-34","weiblich","126","0.0923226027385934","0.0773917616022029","0.107253443874984"
"Ja, alle 3-4 Wochen","2007","35-65","maennlich","504","0.115879905469303","0.106402889743936","0.125356921194669"
"Ja, alle 3-4 Wochen","2007","35-65","weiblich","301","0.0761117944669431","0.0678274864440312","0.0843961024898551"
"Ja, alle 3-4 Wochen","2007","66 +","maennlich","","","",""
"Ja, alle 3-4 Wochen","2007","66 +","weiblich","","","",""
"Seltener","2007","17-34","maennlich","369","0.234450614260435","0.213284502996755","0.255616725524114"
"Seltener","2007","17-34","weiblich","254","0.17218791586511","0.152714967600732","0.191660864129489"
"Seltener","2007","35-65","maennlich","1371","0.302205484764927","0.288608993399173","0.31580197613068"
"Seltener","2007","35-65","weiblich","800","0.199538173471607","0.187052733379744","0.212023613563471"
"Seltener","2007","66 +","maennlich","34","0.283723299699455","0.203399671168421","0.364046928230489"
"Seltener","2007","66 +","weiblich","","","",""
"Nein, nie","2008","17-34","maennlich","","","",""
"Nein, nie","2008","17-34","weiblich","","","",""
"Nein, nie","2008","35-65","maennlich","","","",""
"Nein, nie","2008","35-65","weiblich","","","",""
"Nein, nie","2008","66 +","maennlich","","","",""
"Nein, nie","2008","66 +","weiblich","","","",""
"Ja, jede Woche","2008","17-34","maennlich","","","",""
"Ja, jede Woche","2008","17-34","weiblich","","","",""
"Ja, jede Woche","2008","35-65","maennlich","","","",""
"Ja, jede Woche","2008","35-65","weiblich","","","",""
"Ja, jede Woche","2008","66 +","maennlich","","","",""
"Ja, jede Woche","2008","66 +","weiblich","","","",""
"Ja, alle 2 Wochen","2008","17-34","maennlich","","","",""
"Ja, alle 2 Wochen","2008","17-34","weiblich","","","",""
"Ja, alle 2 Wochen","2008","35-65","maennlich","","","",""
"Ja, alle 2 Wochen","2008","35-65","weiblich","","","",""
"Ja, alle 2 Wochen","2008","66 +","maennlich","","","",""
"Ja, alle 2 Wochen","2008","66 +","weiblich","","","",""
"Ja, alle 3-4 Wochen","2008","17-34","maennlich","","","",""
"Ja, alle 3-4 Wochen","2008","17-34","weiblich","","","",""
"Ja, alle 3-4 Wochen","2008","35-65","maennlich","","","",""
"Ja, alle 3-4 Wochen","2008","35-65","weiblich","","","",""
"Ja, alle 3-4 Wochen","2008","66 +","maennlich","","","",""
"Ja, alle 3-4 Wochen","2008","66 +","weiblich","","","",""
"Seltener","2008","17-34","maennlich","","","",""
"Seltener","2008","17-34","weiblich","","","",""
"Seltener","2008","35-65","maennlich","","","",""
"Seltener","2008","35-65","weiblich","","","",""
"Seltener","2008","66 +","maennlich","","","",""
"Seltener","2008","66 +","weiblich","","","",""
"Nein, nie","2009","17-34","maennlich","454","0.360577889965423","0.334283270064905","0.386872509865941"
"Nein, nie","2009","17-34","weiblich","524","0.400759841264794","0.374038430239899","0.42748125228969"
"Nein, nie","2009","35-65","maennlich","1073","0.275670087427126","0.261497919355314","0.289842255498938"
"Nein, nie","2009","35-65","weiblich","1551","0.440570350750245","0.424294219238592","0.456846482261897"
"Nein, nie","2009","66 +","maennlich","42","0.30616473801101","0.231145981898873","0.381183494123148"
"Nein, nie","2009","66 +","weiblich","33","0.453097812619064","0.340438195142813","0.565757430095314"
"Ja, jede Woche","2009","17-34","maennlich","179","0.148222217865245","0.12876443585065","0.16767999987984"
"Ja, jede Woche","2009","17-34","weiblich","197","0.168008069659632","0.14762162642806","0.188394512891204"
"Ja, jede Woche","2009","35-65","maennlich","621","0.163251779643438","0.151529836172552","0.174973723114324"
"Ja, jede Woche","2009","35-65","weiblich","508","0.143285099871207","0.131798552910814","0.154771646831599"
"Ja, jede Woche","2009","66 +","maennlich","39","0.241503168792679","0.171840133683787","0.311166203901571"
"Ja, jede Woche","2009","66 +","weiblich","","","",""
"Ja, alle 2 Wochen","2009","17-34","maennlich","191","0.144371363519437","0.125124644290216","0.163618082748658"
"Ja, alle 2 Wochen","2009","17-34","weiblich","247","0.184535050429534","0.163382686130727","0.205687414728341"
"Ja, alle 2 Wochen","2009","35-65","maennlich","477","0.135859260025144","0.124992248579641","0.146726271470648"
"Ja, alle 2 Wochen","2009","35-65","weiblich","524","0.1562083218449","0.144305758012059","0.168110885677742"
"Ja, alle 2 Wochen","2009","66 +","maennlich","","","",""
"Ja, alle 2 Wochen","2009","66 +","weiblich","","","",""
"Ja, alle 3-4 Wochen","2009","17-34","maennlich","132","0.104219187406485","0.0874871724027877","0.120951202410183"
"Ja, alle 3-4 Wochen","2009","17-34","weiblich","84","0.0620145964655108","0.0488635038792744","0.0751656890517473"
"Ja, alle 3-4 Wochen","2009","35-65","maennlich","405","0.101652566734722","0.0920683946697993","0.111236738799645"
"Ja, alle 3-4 Wochen","2009","35-65","weiblich","279","0.0737612186948367","0.0651918991220866","0.0823305382675867"
"Ja, alle 3-4 Wochen","2009","66 +","maennlich","","","",""
"Ja, alle 3-4 Wochen","2009","66 +","weiblich","","","",""
"Seltener","2009","17-34","maennlich","325","0.24260934124341","0.21913533273413","0.266083349752691"
"Seltener","2009","17-34","weiblich","240","0.184682442180528","0.163523544613174","0.205841339747883"
"Seltener","2009","35-65","maennlich","1243","0.32356630616957","0.308728574140803","0.338404038198336"
"Seltener","2009","35-65","weiblich","712","0.186175008838812","0.173413647098633","0.198936370578991"
"Seltener","2009","66 +","maennlich","44","0.287994405461165","0.214289258139335","0.361699552782994"
"Seltener","2009","66 +","weiblich","","","",""
"Nein, nie","2010","17-34","maennlich","225","0.300731008261691","0.268834063949455","0.332627952573927"
"Nein, nie","2010","17-34","weiblich","237","0.355267252339139","0.317716101661011","0.392818403017266"
"Nein, nie","2010","35-65","maennlich","439","0.283526738132741","0.261961755272125","0.305091720993358"
"Nein, nie","2010","35-65","weiblich","633","0.458075405703853","0.432197387477952","0.483953423929755"
"Nein, nie","2010","66 +","maennlich","","","",""
"Nein, nie","2010","66 +","weiblich","","","",""
"Ja, jede Woche","2010","17-34","maennlich","98","0.120358283339179","0.0977259807497637","0.142990585928593"
"Ja, jede Woche","2010","17-34","weiblich","106","0.177089760030364","0.147137558155302","0.207041961905426"
"Ja, jede Woche","2010","35-65","maennlich","240","0.133178834249387","0.116922056406095","0.149435612092678"
"Ja, jede Woche","2010","35-65","weiblich","188","0.123663517277341","0.106565358733401","0.140761675821281"
"Ja, jede Woche","2010","66 +","maennlich","","","",""
"Ja, jede Woche","2010","66 +","weiblich","","","",""
"Ja, alle 2 Wochen","2010","17-34","maennlich","150","0.184911356098758","0.157907732060085","0.211914980137432"
"Ja, alle 2 Wochen","2010","17-34","weiblich","145","0.250489252427031","0.216492355630398","0.284486149223664"
"Ja, alle 2 Wochen","2010","35-65","maennlich","244","0.139703867224757","0.12311639104456","0.156291343404954"
"Ja, alle 2 Wochen","2010","35-65","weiblich","220","0.147475144047272","0.129058689059011","0.165891599035533"
"Ja, alle 2 Wochen","2010","66 +","maennlich","","","",""
"Ja, alle 2 Wochen","2010","66 +","weiblich","","","",""
"Ja, alle 3-4 Wochen","2010","17-34","maennlich","85","0.104852498628831","0.0835429361135314","0.12616206114413"
"Ja, alle 3-4 Wochen","2010","17-34","weiblich","46","0.0705235930249209","0.0504353387632993","0.0906118472865426"
"Ja, alle 3-4 Wochen","2010","35-65","maennlich","197","0.123711239571961","0.107957621485997","0.139464857657924"
"Ja, alle 3-4 Wochen","2010","35-65","weiblich","105","0.0726733312280505","0.0591900061526951","0.0861566563034059"
"Ja, alle 3-4 Wochen","2010","66 +","maennlich","","","",""
"Ja, alle 3-4 Wochen","2010","66 +","weiblich","","","",""
"Seltener","2010","17-34","maennlich","236","0.289146853671541","0.257612275911893","0.32068143143119"
"Seltener","2010","17-34","weiblich","90","0.146630142178546","0.118875471827187","0.174384812529904"
"Seltener","2010","35-65","maennlich","558","0.319879320821155","0.297562198937281","0.342196442705029"
"Seltener","2010","35-65","weiblich","278","0.198112601743483","0.177410909814502","0.218814293672465"
"Seltener","2010","66 +","maennlich","","","",""
"Seltener","2010","66 +","weiblich","","","",""
"Nein, nie","2011","17-34","maennlich","666","0.345161773396657","0.32427362662102","0.366049920172293"
"Nein, nie","2011","17-34","weiblich","919","0.438029291026635","0.416974008194182","0.459084573859088"
"Nein, nie","2011","35-65","maennlich","1885","0.300233913742703","0.288873988541825","0.311593838943582"
"Nein, nie","2011","35-65","weiblich","2765","0.444486065984292","0.43205289318903","0.456919238779555"
"Nein, nie","2011","66 +","maennlich","44","0.309974398647424","0.233906847703282","0.386041949591566"
"Nein, nie","2011","66 +","weiblich","34","0.50314500471184","0.3921860894061","0.614103920017579"
"Ja, jede Woche","2011","17-34","maennlich","281","0.139617159018706","0.124389371041062","0.154844946996349"
"Ja, jede Woche","2011","17-34","weiblich","295","0.138788179623824","0.124116362873901","0.153459996373746"
"Ja, jede Woche","2011","35-65","maennlich","951","0.148769661816849","0.139950041539621","0.157589282094077"
"Ja, jede Woche","2011","35-65","weiblich","852","0.148441803518734","0.139545887108917","0.157337719928551"
"Ja, jede Woche","2011","66 +","maennlich","33","0.256887433528069","0.18502487894193","0.328749988114208"
"Ja, jede Woche","2011","66 +","weiblich","","","",""
"Ja, alle 2 Wochen","2011","17-34","maennlich","324","0.156437515261396","0.14047686298009","0.172398167542702"
"Ja, alle 2 Wochen","2011","17-34","weiblich","424","0.186306053958854","0.169782757712532","0.202829350205175"
"Ja, alle 2 Wochen","2011","35-65","maennlich","869","0.142960927916948","0.134285754949501","0.151636100884395"
"Ja, alle 2 Wochen","2011","35-65","weiblich","981","0.1595922456383","0.150428852197246","0.168755639079353"
"Ja, alle 2 Wochen","2011","66 +","maennlich","","","",""
"Ja, alle 2 Wochen","2011","66 +","weiblich","","","",""
"Ja, alle 3-4 Wochen","2011","17-34","maennlich","207","0.0869862522783092","0.0746044027659259","0.0993681017906925"
"Ja, alle 3-4 Wochen","2011","17-34","weiblich","179","0.0753246887306703","0.0641247417384106","0.0865246357229301"
"Ja, alle 3-4 Wochen","2011","35-65","maennlich","669","0.111383250956379","0.10358609277767","0.119180409135089"
"Ja, alle 3-4 Wochen","2011","35-65","weiblich","476","0.0778610488556707","0.0711565900924915","0.0845655076188499"
"Ja, alle 3-4 Wochen","2011","66 +","maennlich","","","",""
"Ja, alle 3-4 Wochen","2011","66 +","weiblich","","","",""
"Seltener","2011","17-34","maennlich","512","0.271797300044933","0.252250743311906","0.291343856777959"
"Seltener","2011","17-34","weiblich","316","0.161551786660018","0.145933022478322","0.177170550841713"
"Seltener","2011","35-65","maennlich","1880","0.296652245567121","0.285331421916238","0.307973069218003"
"Seltener","2011","35-65","weiblich","1062","0.169618836003003","0.160228498549325","0.179009173456681"
"Seltener","2011","66 +","maennlich","41","0.288969765935901","0.214415215475551","0.363524316396251"
"Seltener","2011","66 +","weiblich","","","",""
"Nein, nie","2012","17-34","maennlich","189","0.336825284286285","0.297819873011981","0.375830695560589"
"Nein, nie","2012","17-34","weiblich","294","0.452938731711994","0.414817655326919","0.491059808097068"
"Nein, nie","2012","35-65","maennlich","623","0.337051839030404","0.315757659087162","0.358346018973646"
"Nein, nie","2012","35-65","weiblich","941","0.466851351117303","0.445180664555364","0.488522037679242"
"Nein, nie","2012","66 +","maennlich","","","",""
"Nein, nie","2012","66 +","weiblich","","","",""
"Ja, jede Woche","2012","17-34","maennlich","79","0.147414492209292","0.118156292326218","0.176672692092367"
"Ja, jede Woche","2012","17-34","weiblich","110","0.15121308937296","0.123777046616094","0.178649132129827"
"Ja, jede Woche","2012","35-65","maennlich","271","0.13648755179536","0.121022420647798","0.151952682942922"
"Ja, jede Woche","2012","35-65","weiblich","284","0.138332224888952","0.123335693844129","0.153328755933775"
"Ja, jede Woche","2012","66 +","maennlich","","","",""
"Ja, jede Woche","2012","66 +","weiblich","","","",""
"Ja, alle 2 Wochen","2012","17-34","maennlich","111","0.208739160112515","0.175198597654878","0.242279722570152"
"Ja, alle 2 Wochen","2012","17-34","weiblich","121","0.205286218775803","0.174353883358438","0.236218554193168"
"Ja, alle 2 Wochen","2012","35-65","maennlich","299","0.163244399512728","0.146595281055318","0.179893517970138"
"Ja, alle 2 Wochen","2012","35-65","weiblich","328","0.155840608183483","0.140085849707996","0.171595366658971"
"Ja, alle 2 Wochen","2012","66 +","maennlich","","","",""
"Ja, alle 2 Wochen","2012","66 +","weiblich","","","",""
"Ja, alle 3-4 Wochen","2012","17-34","maennlich","57","0.0880203265198033","0.0646377369823429","0.111402916057264"
"Ja, alle 3-4 Wochen","2012","17-34","weiblich","59","0.0995883027319102","0.0766557621571602","0.12252084330666"
"Ja, alle 3-4 Wochen","2012","35-65","maennlich","206","0.112927972985723","0.0986701574166522","0.127185788554794"
"Ja, alle 3-4 Wochen","2012","35-65","weiblich","147","0.0682948074270121","0.0573377912076062","0.079251823646418"
"Ja, alle 3-4 Wochen","2012","66 +","maennlich","","","",""
"Ja, alle 3-4 Wochen","2012","66 +","weiblich","","","",""
"Seltener","2012","17-34","maennlich","128","0.219000736872104","0.18486913751636","0.253132336227848"
"Seltener","2012","17-34","weiblich","71","0.0909736574073326","0.0689508083136311","0.112996506501034"
"Seltener","2012","35-65","maennlich","494","0.250288236675785","0.230774512322511","0.269801961029059"
"Seltener","2012","35-65","weiblich","336","0.17068100838325","0.154338729795585","0.187023286970915"
"Seltener","2012","66 +","maennlich","","","",""
"Seltener","2012","66 +","weiblich","","","",""
"Nein, nie","2013","17-34","maennlich","673","0.382100774697958","0.359263404892493","0.404938144503422"
"Nein, nie","2013","17-34","weiblich","821","0.408730960012504","0.386544470848017","0.43091744917699"
"Nein, nie","2013","35-65","maennlich","1690","0.286729330492568","0.274908012130359","0.298550648854776"
"Nein, nie","2013","35-65","weiblich","2701","0.432827570899779","0.420282382063729","0.445372759735828"
"Nein, nie","2013","66 +","maennlich","54","0.388997914988389","0.31483461775754","0.463161212219238"
"Nein, nie","2013","66 +","weiblich","57","0.535766537581621","0.443404162290465","0.628128912872777"
"Ja, jede Woche","2013","17-34","maennlich","238","0.115145403993101","0.100143113883913","0.13014769410229"
"Ja, jede Woche","2013","17-34","weiblich","271","0.143695881708958","0.127864696711175","0.159527066706741"
"Ja, jede Woche","2013","35-65","maennlich","785","0.141080284405722","0.131980897754952","0.150179671056492"
"Ja, jede Woche","2013","35-65","weiblich","743","0.130952723057454","0.122411085150939","0.139494360963969"
"Ja, jede Woche","2013","66 +","maennlich","30","0.158755808701943","0.103162835868512","0.214348781535375"
"Ja, jede Woche","2013","66 +","weiblich","","","",""
"Ja, alle 2 Wochen","2013","17-34","maennlich","241","0.144369348370614","0.127850530487556","0.160888166253672"
"Ja, alle 2 Wochen","2013","17-34","weiblich","375","0.194320205109051","0.176462836509705","0.212177573708397"
"Ja, alle 2 Wochen","2013","35-65","maennlich","801","0.144539606920854","0.135347902324457","0.153731311517251"
"Ja, alle 2 Wochen","2013","35-65","weiblich","970","0.165734933695698","0.156319913685971","0.175149953705426"
"Ja, alle 2 Wochen","2013","66 +","maennlich","","","",""
"Ja, alle 2 Wochen","2013","66 +","weiblich","","","",""
"Ja, alle 3-4 Wochen","2013","17-34","maennlich","170","0.0942120545429051","0.0804822357394952","0.107941873346315"
"Ja, alle 3-4 Wochen","2013","17-34","weiblich","146","0.0850241318597476","0.0724362351701718","0.0976120285493234"
"Ja, alle 3-4 Wochen","2013","35-65","maennlich","577","0.106473316817632","0.098410685054231","0.114535948581033"
"Ja, alle 3-4 Wochen","2013","35-65","weiblich","451","0.0784941084891477","0.0716843802997051","0.0853038366785903"
"Ja, alle 3-4 Wochen","2013","66 +","maennlich","","","",""
"Ja, alle 3-4 Wochen","2013","66 +","weiblich","","","",""
"Seltener","2013","17-34","maennlich","417","0.264172418395422","0.243450494830689","0.284894341960156"
"Seltener","2013","17-34","weiblich","273","0.16822882130974","0.151346608063168","0.185111034556311"
"Seltener","2013","35-65","maennlich","1769","0.321177461363224","0.308972024523275","0.333382898203172"
"Seltener","2013","35-65","weiblich","1127","0.191990663857921","0.182018017165969","0.201963310549873"
"Seltener","2013","66 +","maennlich","55","0.320921348343202","0.249905808967263","0.39193688771914"
"Seltener","2013","66 +","weiblich","","","",""
"Nein, nie","2014","17-34","maennlich","","","",""
"Nein, nie","2014","17-34","weiblich","","","",""
"Nein, nie","2014","35-65","maennlich","","","",""
"Nein, nie","2014","35-65","weiblich","","","",""
"Nein, nie","2014","66 +","maennlich","","","",""
"Nein, nie","2014","66 +","weiblich","","","",""
"Ja, jede Woche","2014","17-34","maennlich","","","",""
"Ja, jede Woche","2014","17-34","weiblich","","","",""
"Ja, jede Woche","2014","35-65","maennlich","","","",""
"Ja, jede Woche","2014","35-65","weiblich","","","",""
"Ja, jede Woche","2014","66 +","maennlich","","","",""
"Ja, jede Woche","2014","66 +","weiblich","","","",""
"Ja, alle 2 Wochen","2014","17-34","maennlich","","","",""
"Ja, alle 2 Wochen","2014","17-34","weiblich","","","",""
"Ja, alle 2 Wochen","2014","35-65","maennlich","","","",""
"Ja, alle 2 Wochen","2014","35-65","weiblich","","","",""
"Ja, alle 2 Wochen","2014","66 +","maennlich","","","",""
"Ja, alle 2 Wochen","2014","66 +","weiblich","","","",""
"Ja, alle 3-4 Wochen","2014","17-34","maennlich","","","",""
"Ja, alle 3-4 Wochen","2014","17-34","weiblich","","","",""
"Ja, alle 3-4 Wochen","2014","35-65","maennlich","","","",""
"Ja, alle 3-4 Wochen","2014","35-65","weiblich","","","",""
"Ja, alle 3-4 Wochen","2014","66 +","maennlich","","","",""
"Ja, alle 3-4 Wochen","2014","66 +","weiblich","","","",""
"Seltener","2014","17-34","maennlich","","","",""
"Seltener","2014","17-34","weiblich","","","",""
"Seltener","2014","35-65","maennlich","","","",""
"Seltener","2014","35-65","weiblich","","","",""
"Seltener","2014","66 +","maennlich","","","",""
"Seltener","2014","66 +","weiblich","","","",""
"Nein, nie","2015","17-34","maennlich","718","0.386707657049538","0.364413450752354","0.409001863346722"
"Nein, nie","2015","17-34","weiblich","792","0.409038215854973","0.386530651538671","0.431545780171274"
"Nein, nie","2015","35-65","maennlich","1730","0.309014526568058","0.296729609660242","0.321299443475873"
"Nein, nie","2015","35-65","weiblich","2664","0.437608828086376","0.424910386409239","0.450307269763514"
"Nein, nie","2015","66 +","maennlich","85","0.487688419419879","0.41992220025958","0.555454638580177"
"Nein, nie","2015","66 +","weiblich","60","0.557628937732956","0.468015509110885","0.647242366355028"
"Ja, jede Woche","2015","17-34","maennlich","248","0.135036210434444","0.11939065654634","0.150681764322549"
"Ja, jede Woche","2015","17-34","weiblich","286","0.141595892620964","0.12563570178651","0.157556083455418"
"Ja, jede Woche","2015","35-65","maennlich","749","0.134932268509745","0.125849227313503","0.144015309705988"
"Ja, jede Woche","2015","35-65","weiblich","727","0.130952605706335","0.122317514142809","0.139587697269862"
"Ja, jede Woche","2015","66 +","maennlich","41","0.191103602247569","0.137800088882242","0.244407115612896"
"Ja, jede Woche","2015","66 +","weiblich","","","",""
"Ja, alle 2 Wochen","2015","17-34","maennlich","282","0.144375976082577","0.128285984746341","0.160465967418813"
"Ja, alle 2 Wochen","2015","17-34","weiblich","369","0.224824751107817","0.205713511043778","0.243935991171856"
"Ja, alle 2 Wochen","2015","35-65","maennlich","758","0.148137031793267","0.138692835488154","0.15758122809838"
"Ja, alle 2 Wochen","2015","35-65","weiblich","926","0.164783331054805","0.155287251169825","0.174279410939785"
"Ja, alle 2 Wochen","2015","66 +","maennlich","","","",""
"Ja, alle 2 Wochen","2015","66 +","weiblich","","","",""
"Ja, alle 3-4 Wochen","2015","17-34","maennlich","168","0.0957055327624451","0.0822379293819079","0.109173136142982"
"Ja, alle 3-4 Wochen","2015","17-34","weiblich","130","0.0715635318729716","0.0597633463048697","0.0833637174410735"
"Ja, alle 3-4 Wochen","2015","35-65","maennlich","549","0.100978281259945","0.0929680068182032","0.108988555701686"
"Ja, alle 3-4 Wochen","2015","35-65","weiblich","435","0.0750578459877684","0.0683134435182586","0.0818022484572782"
"Ja, alle 3-4 Wochen","2015","66 +","maennlich","","","",""
"Ja, alle 3-4 Wochen","2015","66 +","weiblich","","","",""
"Seltener","2015","17-34","maennlich","417","0.238174623670996","0.218674277555213","0.257674969786779"
"Seltener","2015","17-34","weiblich","256","0.152977608543274","0.136498707799535","0.169456509287013"
"Seltener","2015","35-65","maennlich","1649","0.306937891868985","0.294675938861519","0.31919984487645"
"Seltener","2015","35-65","weiblich","1111","0.191597389164715","0.181523508751558","0.201671269577872"
"Seltener","2015","66 +","maennlich","56","0.227713651177436","0.170859960740014","0.284567341614857"
"Seltener","2015","66 +","weiblich","","","",""
"Nein, nie","2016","17-34","maennlich","","","",""
"Nein, nie","2016","17-34","weiblich","","","",""
"Nein, nie","2016","35-65","maennlich","","","",""
"Nein, nie","2016","35-65","weiblich","","","",""
"Nein, nie","2016","66 +","maennlich","","","",""
"Nein, nie","2016","66 +","weiblich","","","",""
"Ja, jede Woche","2016","17-34","maennlich","","","",""
"Ja, jede Woche","2016","17-34","weiblich","","","",""
"Ja, jede Woche","2016","35-65","maennlich","","","",""
"Ja, jede Woche","2016","35-65","weiblich","","","",""
"Ja, jede Woche","2016","66 +","maennlich","","","",""
"Ja, jede Woche","2016","66 +","weiblich","","","",""
"Ja, alle 2 Wochen","2016","17-34","maennlich","","","",""
"Ja, alle 2 Wochen","2016","17-34","weiblich","","","",""
"Ja, alle 2 Wochen","2016","35-65","maennlich","","","",""
"Ja, alle 2 Wochen","2016","35-65","weiblich","","","",""
"Ja, alle 2 Wochen","2016","66 +","maennlich","","","",""
"Ja, alle 2 Wochen","2016","66 +","weiblich","","","",""
