"plb0218","year","bula_h","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja, alle 3-4 Wochen","2005","Niedersachsen","Westdeutschland","97","0.0965579271976992","0.0780566858724236","0.115059168522975"
"Ja, alle 3-4 Wochen","2005","Niedersachsen","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2005","Bremen","Westdeutschland","6","0.0885316342538923","0.024666866736438","0.152396401771347"
"Ja, alle 3-4 Wochen","2005","Bremen","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2005","Nordrhein-Westfalen","Westdeutschland","198","","",""
"Ja, alle 3-4 Wochen","2005","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2005","Hessen","Westdeutschland","78","0.0872654051259572","0.068076911174662","0.106453899077253"
"Ja, alle 3-4 Wochen","2005","Hessen","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2005","Rheinland-Pfalz,Saarland","Westdeutschland","58","0.0661832538773526","0.0474010977859187","0.0849654099687866"
"Ja, alle 3-4 Wochen","2005","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2005","Baden-Wuerttemberg","Westdeutschland","133","","",""
"Ja, alle 3-4 Wochen","2005","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2005","Bayern","Westdeutschland","134","","",""
"Ja, alle 3-4 Wochen","2005","Bayern","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2005","Saarland","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2005","Saarland","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2005","Berlin","Westdeutschland","15","","",""
"Ja, alle 3-4 Wochen","2005","Berlin","Ostdeutschland","15","","",""
"Ja, alle 3-4 Wochen","2005","Brandenburg","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2005","Brandenburg","Ostdeutschland","47","0.115769315285419","0.086009095845808","0.145529534725031"
"Ja, alle 3-4 Wochen","2005","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2005","Mecklenburg-Vorpommern","Ostdeutschland","28","","",""
"Ja, alle 3-4 Wochen","2005","Sachsen","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2005","Sachsen","Ostdeutschland","88","0.11367663384304","0.0917085281832131","0.135644739502867"
"Ja, alle 3-4 Wochen","2005","Sachsen-Anhalt","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2005","Sachsen-Anhalt","Ostdeutschland","52","0.116886101353625","0.0870015732421179","0.146770629465132"
"Ja, alle 3-4 Wochen","2005","Thueringen","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2005","Thueringen","Ostdeutschland","40","0.0824635802949649","0.0564947609582145","0.108432399631715"
"Seltener","2005","Schleswig-Holstein","Westdeutschland","100","","",""
"Seltener","2005","Schleswig-Holstein","Ostdeutschland","","","",""
"Seltener","2005","Hamburg","Westdeutschland","52","0.334362913199045","0.260568060422726","0.408157765975364"
"Seltener","2005","Hamburg","Ostdeutschland","","","",""
"Seltener","2005","Niedersachsen","Westdeutschland","252","","",""
"Seltener","2005","Niedersachsen","Ostdeutschland","","","",""
"Seltener","2005","Bremen","Westdeutschland","19","","",""
"Seltener","2005","Bremen","Ostdeutschland","","","",""
"Seltener","2005","Nordrhein-Westfalen","Westdeutschland","585","0.233286146876229","0.216383618223664","0.250188675528795"
"Seltener","2005","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Seltener","2005","Hessen","Westdeutschland","233","","",""
"Seltener","2005","Hessen","Ostdeutschland","","","",""
"Seltener","2005","Rheinland-Pfalz,Saarland","Westdeutschland","151","","",""
"Seltener","2005","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Seltener","2005","Baden-Wuerttemberg","Westdeutschland","361","0.258528648957016","0.23586785920651","0.281189438707523"
"Seltener","2005","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Seltener","2005","Bayern","Westdeutschland","426","0.240030477187182","0.219875383390149","0.260185570984215"
"Seltener","2005","Bayern","Ostdeutschland","","","",""
"Seltener","2005","Saarland","Westdeutschland","","","",""
"Seltener","2005","Saarland","Ostdeutschland","","","",""
"Seltener","2005","Berlin","Westdeutschland","62","0.252487396995732","0.194949346143878","0.310025447847586"
"Seltener","2005","Berlin","Ostdeutschland","51","0.252586720514344","0.190477678817466","0.314695762211222"
"Seltener","2005","Brandenburg","Westdeutschland","","","",""
"Seltener","2005","Brandenburg","Ostdeutschland","99","0.197083164216321","0.160081892454799","0.234084435977843"
"Seltener","2005","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Seltener","2005","Mecklenburg-Vorpommern","Ostdeutschland","65","0.224628179764243","0.173703845101125","0.27555251442736"
"Seltener","2005","Sachsen","Westdeutschland","","","",""
"Seltener","2005","Sachsen","Ostdeutschland","230","","",""
"Seltener","2005","Sachsen-Anhalt","Westdeutschland","","","",""
"Seltener","2005","Sachsen-Anhalt","Ostdeutschland","114","","",""
"Seltener","2005","Thueringen","Westdeutschland","","","",""
"Seltener","2005","Thueringen","Ostdeutschland","110","","",""
"Nein, nie","2006","Schleswig-Holstein","Westdeutschland","","","",""
"Nein, nie","2006","Schleswig-Holstein","Ostdeutschland","","","",""
"Nein, nie","2006","Hamburg","Westdeutschland","","","",""
"Nein, nie","2006","Hamburg","Ostdeutschland","","","",""
"Nein, nie","2006","Niedersachsen","Westdeutschland","","","",""
"Nein, nie","2006","Niedersachsen","Ostdeutschland","","","",""
"Nein, nie","2006","Bremen","Westdeutschland","","","",""
"Nein, nie","2006","Bremen","Ostdeutschland","","","",""
"Nein, nie","2006","Nordrhein-Westfalen","Westdeutschland","","","",""
"Nein, nie","2006","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Nein, nie","2006","Hessen","Westdeutschland","","","",""
"Nein, nie","2006","Hessen","Ostdeutschland","","","",""
"Nein, nie","2006","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Nein, nie","2006","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Nein, nie","2006","Baden-Wuerttemberg","Westdeutschland","","","",""
"Nein, nie","2006","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Nein, nie","2006","Bayern","Westdeutschland","","","",""
"Nein, nie","2006","Bayern","Ostdeutschland","","","",""
"Nein, nie","2006","Saarland","Westdeutschland","","","",""
"Nein, nie","2006","Saarland","Ostdeutschland","","","",""
"Nein, nie","2006","Berlin","Westdeutschland","","","",""
"Nein, nie","2006","Berlin","Ostdeutschland","","","",""
"Nein, nie","2006","Brandenburg","Westdeutschland","","","",""
"Nein, nie","2006","Brandenburg","Ostdeutschland","","","",""
"Nein, nie","2006","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Nein, nie","2006","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Nein, nie","2006","Sachsen","Westdeutschland","","","",""
"Nein, nie","2006","Sachsen","Ostdeutschland","","","",""
"Nein, nie","2006","Sachsen-Anhalt","Westdeutschland","","","",""
"Nein, nie","2006","Sachsen-Anhalt","Ostdeutschland","","","",""
"Nein, nie","2006","Thueringen","Westdeutschland","","","",""
"Nein, nie","2006","Thueringen","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Schleswig-Holstein","Westdeutschland","","","",""
"Ja, jede Woche","2006","Schleswig-Holstein","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Hamburg","Westdeutschland","","","",""
"Ja, jede Woche","2006","Hamburg","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Niedersachsen","Westdeutschland","","","",""
"Ja, jede Woche","2006","Niedersachsen","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Bremen","Westdeutschland","","","",""
"Ja, jede Woche","2006","Bremen","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Nordrhein-Westfalen","Westdeutschland","","","",""
"Ja, jede Woche","2006","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Hessen","Westdeutschland","","","",""
"Ja, jede Woche","2006","Hessen","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Ja, jede Woche","2006","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Baden-Wuerttemberg","Westdeutschland","","","",""
"Ja, jede Woche","2006","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Bayern","Westdeutschland","","","",""
"Ja, jede Woche","2006","Bayern","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Saarland","Westdeutschland","","","",""
"Ja, jede Woche","2006","Saarland","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Berlin","Westdeutschland","","","",""
"Ja, jede Woche","2006","Berlin","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Brandenburg","Westdeutschland","","","",""
"Ja, jede Woche","2006","Brandenburg","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Ja, jede Woche","2006","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Sachsen","Westdeutschland","","","",""
"Ja, jede Woche","2006","Sachsen","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Sachsen-Anhalt","Westdeutschland","","","",""
"Ja, jede Woche","2006","Sachsen-Anhalt","Ostdeutschland","","","",""
"Ja, jede Woche","2006","Thueringen","Westdeutschland","","","",""
"Ja, jede Woche","2006","Thueringen","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Schleswig-Holstein","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Schleswig-Holstein","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Hamburg","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Hamburg","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Niedersachsen","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Niedersachsen","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Bremen","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Bremen","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Nordrhein-Westfalen","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Hessen","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Hessen","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Baden-Wuerttemberg","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Bayern","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Bayern","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Saarland","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Saarland","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Berlin","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Berlin","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Brandenburg","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Brandenburg","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Sachsen","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Sachsen","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Sachsen-Anhalt","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Sachsen-Anhalt","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Thueringen","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2006","Thueringen","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Schleswig-Holstein","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Schleswig-Holstein","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Hamburg","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Hamburg","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Niedersachsen","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Niedersachsen","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Bremen","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Bremen","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Nordrhein-Westfalen","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Hessen","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Hessen","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Baden-Wuerttemberg","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Bayern","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Bayern","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Saarland","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Saarland","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Berlin","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Berlin","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Brandenburg","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Brandenburg","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Sachsen","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Sachsen","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Sachsen-Anhalt","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Sachsen-Anhalt","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Thueringen","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2006","Thueringen","Ostdeutschland","","","",""
"Seltener","2006","Schleswig-Holstein","Westdeutschland","","","",""
"Seltener","2006","Schleswig-Holstein","Ostdeutschland","","","",""
"Seltener","2006","Hamburg","Westdeutschland","","","",""
"Seltener","2006","Hamburg","Ostdeutschland","","","",""
"Seltener","2006","Niedersachsen","Westdeutschland","","","",""
"Seltener","2006","Niedersachsen","Ostdeutschland","","","",""
"Seltener","2006","Bremen","Westdeutschland","","","",""
"Seltener","2006","Bremen","Ostdeutschland","","","",""
"Seltener","2006","Nordrhein-Westfalen","Westdeutschland","","","",""
"Seltener","2006","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Seltener","2006","Hessen","Westdeutschland","","","",""
"Seltener","2006","Hessen","Ostdeutschland","","","",""
"Seltener","2006","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Seltener","2006","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Seltener","2006","Baden-Wuerttemberg","Westdeutschland","","","",""
"Seltener","2006","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Seltener","2006","Bayern","Westdeutschland","","","",""
"Seltener","2006","Bayern","Ostdeutschland","","","",""
"Seltener","2006","Saarland","Westdeutschland","","","",""
"Seltener","2006","Saarland","Ostdeutschland","","","",""
"Seltener","2006","Berlin","Westdeutschland","","","",""
"Seltener","2006","Berlin","Ostdeutschland","","","",""
"Seltener","2006","Brandenburg","Westdeutschland","","","",""
"Seltener","2006","Brandenburg","Ostdeutschland","","","",""
"Seltener","2006","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Seltener","2006","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Seltener","2006","Sachsen","Westdeutschland","","","",""
"Seltener","2006","Sachsen","Ostdeutschland","","","",""
"Seltener","2006","Sachsen-Anhalt","Westdeutschland","","","",""
"Seltener","2006","Sachsen-Anhalt","Ostdeutschland","","","",""
"Seltener","2006","Thueringen","Westdeutschland","","","",""
"Seltener","2006","Thueringen","Ostdeutschland","","","",""
"Nein, nie","2007","Schleswig-Holstein","Westdeutschland","118","","",""
"Nein, nie","2007","Schleswig-Holstein","Ostdeutschland","","","",""
"Nein, nie","2007","Hamburg","Westdeutschland","65","0.355393956407931","0.281689662607437","0.429098250208424"
"Nein, nie","2007","Hamburg","Ostdeutschland","","","",""
"Nein, nie","2007","Niedersachsen","Westdeutschland","337","0.328941906179888","0.30017945992555","0.357704352434227"
"Nein, nie","2007","Niedersachsen","Ostdeutschland","","","",""
"Nein, nie","2007","Bremen","Westdeutschland","34","0.457840098415141","0.348664970973967","0.567015225856315"
"Nein, nie","2007","Bremen","Ostdeutschland","","","",""
"Nein, nie","2007","Nordrhein-Westfalen","Westdeutschland","916","0.371144239093111","0.351582438364598","0.390706039821623"
"Nein, nie","2007","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Nein, nie","2007","Hessen","Westdeutschland","282","","",""
"Nein, nie","2007","Hessen","Ostdeutschland","","","",""
"Nein, nie","2007","Rheinland-Pfalz,Saarland","Westdeutschland","257","","",""
"Nein, nie","2007","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Nein, nie","2007","Baden-Wuerttemberg","Westdeutschland","575","0.38274062096155","0.357521947876856","0.407959294046245"
"Nein, nie","2007","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Nein, nie","2007","Bayern","Westdeutschland","674","0.38061355208676","0.357845566292131","0.403381537881388"
"Nein, nie","2007","Bayern","Ostdeutschland","","","",""
"Nein, nie","2007","Saarland","Westdeutschland","","","",""
"Nein, nie","2007","Saarland","Ostdeutschland","","","",""
"Nein, nie","2007","Berlin","Westdeutschland","89","0.388899499652596","0.328589928247826","0.449209071057365"
"Nein, nie","2007","Berlin","Ostdeutschland","64","0.372745480700661","0.303441946797237","0.442049014604085"
"Nein, nie","2007","Brandenburg","Westdeutschland","","","",""
"Nein, nie","2007","Brandenburg","Ostdeutschland","125","","",""
"Nein, nie","2007","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Nein, nie","2007","Mecklenburg-Vorpommern","Ostdeutschland","88","0.333780567544369","0.277004628426641","0.390556506662098"
"Nein, nie","2007","Sachsen","Westdeutschland","","","",""
"Nein, nie","2007","Sachsen","Ostdeutschland","254","","",""
"Nein, nie","2007","Sachsen-Anhalt","Westdeutschland","","","",""
"Nein, nie","2007","Sachsen-Anhalt","Ostdeutschland","136","","",""
"Nein, nie","2007","Thueringen","Westdeutschland","","","",""
"Nein, nie","2007","Thueringen","Ostdeutschland","138","","",""
