"plb0218","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Seltener","2010","Westdeutschland","950","0.252781338719793","0.238790841241136","0.266771836198451"
"Seltener","2010","Ostdeutschland","213","","",""
"Nein, nie","2011","Westdeutschland","5121","0.383680790270515","0.375380135074191","0.39198144546684"
"Nein, nie","2011","Ostdeutschland","1192","","",""
"Ja, jede Woche","2011","Westdeutschland","1956","","",""
"Ja, jede Woche","2011","Ostdeutschland","475","0.134034901279293","0.122826227353655","0.14524357520493"
"Ja, alle 2 Wochen","2011","Westdeutschland","1949","","",""
"Ja, alle 2 Wochen","2011","Ostdeutschland","667","0.190243116269442","0.177330123992","0.203156108546884"
"Ja, alle 3-4 Wochen","2011","Westdeutschland","1184","","",""
"Ja, alle 3-4 Wochen","2011","Ostdeutschland","368","0.108301420548563","0.0980774119678915","0.118525429129234"
"Seltener","2011","Westdeutschland","2974","","",""
"Seltener","2011","Ostdeutschland","847","0.242845441236357","0.228737867148304","0.256953015324409"
"Nein, nie","2012","Westdeutschland","1692","","",""
"Nein, nie","2012","Ostdeutschland","356","0.380281886627372","0.348963660504935","0.41160011274981"
"Ja, jede Woche","2012","Westdeutschland","627","0.143083546176986","0.132528875425556","0.153638216928416"
"Ja, jede Woche","2012","Ostdeutschland","117","","",""
"Ja, alle 2 Wochen","2012","Westdeutschland","685","0.171712040707275","0.160344365657952","0.183079715756599"
"Ja, alle 2 Wochen","2012","Ostdeutschland","174","","",""
"Ja, alle 3-4 Wochen","2012","Westdeutschland","386","0.0912158444976378","0.0825373155455247","0.0998943734497509"
"Ja, alle 3-4 Wochen","2012","Ostdeutschland","85","0.10004040142267","0.0806830265773335","0.119397776268006"
"Seltener","2012","Westdeutschland","838","0.191925367090042","0.180054770984153","0.20379596319593"
"Seltener","2012","Ostdeutschland","191","","",""
"Nein, nie","2013","Westdeutschland","4841","0.37794475257522","0.369346108068251","0.386543397082189"
"Nein, nie","2013","Ostdeutschland","1155","","",""
"Ja, jede Woche","2013","Westdeutschland","1682","","",""
"Ja, jede Woche","2013","Ostdeutschland","410","0.125594983397529","0.11429176749147","0.136898199303588"
"Ja, alle 2 Wochen","2013","Westdeutschland","1827","","",""
"Ja, alle 2 Wochen","2013","Ostdeutschland","584","0.196138234220463","0.182594719831216","0.209681748609711"
"Ja, alle 3-4 Wochen","2013","Westdeutschland","1024","","",""
"Ja, alle 3-4 Wochen","2013","Ostdeutschland","334","0.0995734046981076","0.0893603562493552","0.10978645314686"
"Seltener","2013","Westdeutschland","2841","","",""
"Seltener","2013","Ostdeutschland","819","0.252905530245636","0.238079445424672","0.267731615066599"
"Nein, nie","2014","Westdeutschland","","","",""
"Nein, nie","2014","Ostdeutschland","","","",""
"Ja, jede Woche","2014","Westdeutschland","","","",""
"Ja, jede Woche","2014","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2014","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2014","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2014","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2014","Ostdeutschland","","","",""
"Seltener","2014","Westdeutschland","","","",""
"Seltener","2014","Ostdeutschland","","","",""
"Nein, nie","2015","Westdeutschland","4961","0.389512284298283","0.380902566615742","0.398122001980824"
"Nein, nie","2015","Ostdeutschland","1088","","",""
"Ja, jede Woche","2015","Westdeutschland","1719","","",""
"Ja, jede Woche","2015","Ostdeutschland","349","0.114173542821686","0.102732299941386","0.125614785701986"
"Ja, alle 2 Wochen","2015","Westdeutschland","1819","","",""
"Ja, alle 2 Wochen","2015","Ostdeutschland","539","0.194464644378746","0.180225667888935","0.208703620868556"
"Ja, alle 3-4 Wochen","2015","Westdeutschland","1037","","",""
"Ja, alle 3-4 Wochen","2015","Ostdeutschland","267","","",""
"Seltener","2015","Westdeutschland","2787","","",""
"Seltener","2015","Ostdeutschland","725","0.252048464186024","0.236427965322356","0.267668963049692"
"Nein, nie","2016","Westdeutschland","","","",""
"Nein, nie","2016","Ostdeutschland","","","",""
"Ja, jede Woche","2016","Westdeutschland","","","",""
"Ja, jede Woche","2016","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2016","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2016","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2016","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2016","Ostdeutschland","","","",""
"Seltener","2016","Westdeutschland","","","",""
"Seltener","2016","Ostdeutschland","","","",""
"Nein, nie","2017","Westdeutschland","5781","0.422003778292278","0.413656906099623","0.430350650484933"
"Nein, nie","2017","Ostdeutschland","1357","","",""
"Ja, jede Woche","2017","Westdeutschland","1855","","",""
"Ja, jede Woche","2017","Ostdeutschland","398","0.126088207120941","0.114774575643153","0.13740183859873"
"Ja, alle 2 Wochen","2017","Westdeutschland","1940","","",""
"Ja, alle 2 Wochen","2017","Ostdeutschland","559","0.165422537672261","0.152758807184009","0.178086268160512"
"Ja, alle 3-4 Wochen","2017","Westdeutschland","1255","","",""
"Ja, alle 3-4 Wochen","2017","Ostdeutschland","356","0.0951468428014869","0.0851464458840192","0.105147239718955"
"Seltener","2017","Westdeutschland","2618","","",""
"Seltener","2017","Ostdeutschland","637","0.204117768697578","0.190380645152676","0.21785489224248"
"Nein, nie","2018","Westdeutschland","","","",""
"Nein, nie","2018","Ostdeutschland","","","",""
"Ja, jede Woche","2018","Westdeutschland","","","",""
"Ja, jede Woche","2018","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2018","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2018","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2018","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2018","Ostdeutschland","","","",""
"Seltener","2018","Westdeutschland","","","",""
"Seltener","2018","Ostdeutschland","","","",""
"Nein, nie","2019","Westdeutschland","5577","0.431281210664469","0.422899231690232","0.439663189638706"
"Nein, nie","2019","Ostdeutschland","1376","","",""
"Ja, jede Woche","2019","Westdeutschland","1993","","",""
"Ja, jede Woche","2019","Ostdeutschland","436","0.124807033645135","0.113748203900796","0.135865863389475"
"Ja, alle 2 Wochen","2019","Westdeutschland","1899","","",""
"Ja, alle 2 Wochen","2019","Ostdeutschland","583","0.171436918884646","0.158825826781047","0.184048010988244"
"Ja, alle 3-4 Wochen","2019","Westdeutschland","1203","","",""
"Ja, alle 3-4 Wochen","2019","Ostdeutschland","304","0.0910618015215675","0.0814351992613843","0.100688403781751"
"Seltener","2019","Westdeutschland","2739","","",""
"Seltener","2019","Ostdeutschland","732","0.211619219012274","0.197951900994226","0.225286537030322"
