"plb0218","year","age_gr","n","percent","lower_confidence_percent","upper_confidence_percent"
"Seltener","2007","46-65","1209","0.251733776477391","0.23925801294849","0.264209540006292"
"Seltener","2007","66","","","",""
"Nein, nie","2008","17-29","","","",""
"Nein, nie","2008","30-45","","","",""
"Nein, nie","2008","46-65","","","",""
"Nein, nie","2008","66","","","",""
"Ja, jede Woche","2008","17-29","","","",""
"Ja, jede Woche","2008","30-45","","","",""
"Ja, jede Woche","2008","46-65","","","",""
"Ja, jede Woche","2008","66","","","",""
"Ja, alle 2 Wochen","2008","17-29","","","",""
"Ja, alle 2 Wochen","2008","30-45","","","",""
"Ja, alle 2 Wochen","2008","46-65","","","",""
"Ja, alle 2 Wochen","2008","66","","","",""
"Ja, alle 3-4 Wochen","2008","17-29","","","",""
"Ja, alle 3-4 Wochen","2008","30-45","","","",""
"Ja, alle 3-4 Wochen","2008","46-65","","","",""
"Ja, alle 3-4 Wochen","2008","66","","","",""
"Seltener","2008","17-29","","","",""
"Seltener","2008","30-45","","","",""
"Seltener","2008","46-65","","","",""
"Seltener","2008","66","","","",""
"Nein, nie","2009","17-29","671","0.404992891188403","0.381470314242869","0.428515468133937"
"Nein, nie","2009","30-45","1362","0.337825413043071","0.322975794385377","0.352675031700765"
"Nein, nie","2009","46-65","1569","0.359063525559963","0.344882344952273","0.373244706167653"
"Nein, nie","2009","66","","","",""
"Ja, jede Woche","2009","17-29","250","0.165170321515441","0.147376670538378","0.182963972492505"
"Ja, jede Woche","2009","30-45","552","0.141686599695721","0.130737706393956","0.152635492997487"
"Ja, jede Woche","2009","46-65","703","0.164307065231512","0.153353115749756","0.175261014713268"
"Ja, jede Woche","2009","66","","","",""
"Ja, alle 2 Wochen","2009","17-29","273","0.163681073674462","0.145952029761531","0.181410117587394"
"Ja, alle 2 Wochen","2009","30-45","568","0.150432670689212","0.139208535924422","0.161656805454002"
"Ja, alle 2 Wochen","2009","46-65","598","0.14438595146072","0.133995828862175","0.154776074059266"
"Ja, alle 2 Wochen","2009","66","","","",""
"Ja, alle 3-4 Wochen","2009","17-29","135","0.0758825611276217","0.0631933479467504","0.0885717743084929"
"Ja, alle 3-4 Wochen","2009","30-45","378","0.0989714699017791","0.0895956950520222","0.108347244751536"
"Ja, alle 3-4 Wochen","2009","46-65","387","0.0813433343262494","0.0732624879658946","0.0894241806866043"
"Ja, alle 3-4 Wochen","2009","66","","","",""
"Seltener","2009","17-29","344","0.190273152494071","0.17146447988773","0.209081825100413"
"Seltener","2009","30-45","1037","0.271083846670216","0.257127443870458","0.285040249469975"
"Seltener","2009","46-65","1139","0.250900123421555","0.238084505550633","0.263715741292478"
"Seltener","2009","66","","","",""
"Nein, nie","2010","17-29","","","",""
"Nein, nie","2010","30-45","","","",""
"Nein, nie","2010","46-65","","","",""
"Nein, nie","2010","66","","","",""
"Ja, jede Woche","2010","17-29","","","",""
"Ja, jede Woche","2010","30-45","","","",""
"Ja, jede Woche","2010","46-65","","","",""
"Ja, jede Woche","2010","66","","","",""
"Ja, alle 2 Wochen","2010","17-29","","","",""
"Ja, alle 2 Wochen","2010","30-45","","","",""
"Ja, alle 2 Wochen","2010","46-65","","","",""
"Ja, alle 2 Wochen","2010","66","","","",""
"Ja, alle 3-4 Wochen","2010","17-29","","","",""
"Ja, alle 3-4 Wochen","2010","30-45","","","",""
"Ja, alle 3-4 Wochen","2010","46-65","","","",""
"Ja, alle 3-4 Wochen","2010","66","","","",""
"Seltener","2010","17-29","","","",""
"Seltener","2010","30-45","","","",""
"Seltener","2010","46-65","","","",""
"Seltener","2010","66","","","",""
"Nein, nie","2011","17-29","891","0.393316045368597","0.373207788823823","0.413424301913371"
"Nein, nie","2011","30-45","2853","0.358562246306563","0.347858094036695","0.369266398576431"
"Nein, nie","2011","46-65","2491","0.377422840990137","0.365670186292542","0.389175495687732"
"Nein, nie","2011","66","","","",""
"Ja, jede Woche","2011","17-29","338","0.146274204383271","0.131727473472081","0.16082093529446"
"Ja, jede Woche","2011","30-45","1022","0.133146037960741","0.125563233925474","0.140728841996007"
"Ja, jede Woche","2011","46-65","1019","0.157291860705008","0.148464781686135","0.16611893972388"
"Ja, jede Woche","2011","66","","","",""
"Ja, alle 2 Wochen","2011","17-29","431","0.18676668362955","0.170723904078578","0.202809463180523"
"Ja, alle 2 Wochen","2011","30-45","1227","0.149618343265977","0.141656894548671","0.157579791983282"
"Ja, alle 2 Wochen","2011","46-65","940","0.149452892563677","0.140808656000817","0.158097129126538"
"Ja, alle 2 Wochen","2011","66","","","",""
"Ja, alle 3-4 Wochen","2011","17-29","189","0.0768301148805227","0.0658671281948739","0.0877931015661714"
"Ja, alle 3-4 Wochen","2011","30-45","771","0.102524858756111","0.0957543930391685","0.109295324473052"
"Ja, alle 3-4 Wochen","2011","46-65","571","0.0884829845787065","0.0815974515365939","0.0953685176208192"
"Ja, alle 3-4 Wochen","2011","66","","","",""
"Seltener","2011","17-29","418","0.196812951738059","0.180446387602748","0.213179515873371"
"Seltener","2011","30-45","1838","0.256148513710609","0.246405758809187","0.26589126861203"
"Seltener","2011","46-65","1514","0.227349421162471","0.217187781544486","0.237511060780457"
"Seltener","2011","66","","","",""
"Nein, nie","2012","17-29","","","",""
"Nein, nie","2012","30-45","","","",""
"Nein, nie","2012","46-65","","","",""
"Nein, nie","2012","66","","","",""
"Ja, jede Woche","2012","17-29","","","",""
"Ja, jede Woche","2012","30-45","","","",""
"Ja, jede Woche","2012","46-65","","","",""
"Ja, jede Woche","2012","66","","","",""
"Ja, alle 2 Wochen","2012","17-29","","","",""
"Ja, alle 2 Wochen","2012","30-45","","","",""
"Ja, alle 2 Wochen","2012","46-65","","","",""
"Ja, alle 2 Wochen","2012","66","","","",""
"Ja, alle 3-4 Wochen","2012","17-29","","","",""
"Ja, alle 3-4 Wochen","2012","30-45","","","",""
"Ja, alle 3-4 Wochen","2012","46-65","","","",""
"Ja, alle 3-4 Wochen","2012","66","","","",""
"Seltener","2012","17-29","","","",""
"Seltener","2012","30-45","","","",""
"Seltener","2012","46-65","","","",""
"Seltener","2012","66","","","",""
"Nein, nie","2013","17-29","895","0.426254858949423","0.404961342031094","0.447548375867751"
"Nein, nie","2013","30-45","2430","0.339488082602112","0.327962067519305","0.35101409768492"
"Nein, nie","2013","46-65","2560","0.364209177706008","0.352672123572186","0.37574623183983"
"Nein, nie","2013","66","","","",""
"Ja, jede Woche","2013","17-29","314","0.135379943780879","0.120648577331529","0.150111310230229"
"Ja, jede Woche","2013","30-45","817","0.131272460370052","0.123052774980307","0.139492145759797"
"Ja, jede Woche","2013","46-65","906","0.136152370677568","0.127930066537151","0.144374674817984"
"Ja, jede Woche","2013","66","","","",""
"Ja, alle 2 Wochen","2013","17-29","340","0.16600958254281","0.149988187666318","0.182030977419303"
"Ja, alle 2 Wochen","2013","30-45","1096","0.166439653780193","0.157373490988261","0.175505816572126"
"Ja, alle 2 Wochen","2013","46-65","951","0.149485933777411","0.140937170818638","0.158034696736184"
"Ja, alle 2 Wochen","2013","66","","","",""
"Ja, alle 3-4 Wochen","2013","17-29","183","0.098144958890835","0.0853347685491385","0.110955149232532"
"Ja, alle 3-4 Wochen","2013","30-45","591","0.0886948456012104","0.0817748201414473","0.0956148710609735"
"Ja, alle 3-4 Wochen","2013","46-65","570","0.0930226360360189","0.0860586978799249","0.0999865741921129"
"Ja, alle 3-4 Wochen","2013","66","","","",""
"Seltener","2013","17-29","340","0.174210655836053","0.157879188350405","0.190542123321701"
"Seltener","2013","30-45","1550","0.274104957646432","0.263247654888904","0.284962260403959"
"Seltener","2013","46-65","1696","0.257129881802994","0.246651479218656","0.267608284387333"
"Seltener","2013","66","","","",""
"Nein, nie","2014","17-29","","","",""
"Nein, nie","2014","30-45","","","",""
"Nein, nie","2014","46-65","","","",""
"Nein, nie","2014","66","","","",""
"Ja, jede Woche","2014","17-29","","","",""
"Ja, jede Woche","2014","30-45","","","",""
"Ja, jede Woche","2014","46-65","","","",""
"Ja, jede Woche","2014","66","","","",""
"Ja, alle 2 Wochen","2014","17-29","","","",""
"Ja, alle 2 Wochen","2014","30-45","","","",""
"Ja, alle 2 Wochen","2014","46-65","","","",""
"Ja, alle 2 Wochen","2014","66","","","",""
"Ja, alle 3-4 Wochen","2014","17-29","","","",""
"Ja, alle 3-4 Wochen","2014","30-45","","","",""
"Ja, alle 3-4 Wochen","2014","46-65","","","",""
"Ja, alle 3-4 Wochen","2014","66","","","",""
"Seltener","2014","17-29","","","",""
"Seltener","2014","30-45","","","",""
"Seltener","2014","46-65","","","",""
"Seltener","2014","66","","","",""
"Nein, nie","2015","17-29","984","0.412687414918498","0.392718709296812","0.432656120540183"
"Nein, nie","2015","30-45","2313","0.365690456040811","0.353391704849292","0.377989207232331"
"Nein, nie","2015","46-65","2607","0.373605285017979","0.362054456519843","0.385156113516115"
"Nein, nie","2015","66","","","",""
"Ja, jede Woche","2015","17-29","371","0.142525501222146","0.128345980763394","0.156705021680898"
"Ja, jede Woche","2015","30-45","746","0.131642242250546","0.123008470573352","0.14027601392774"
"Ja, jede Woche","2015","46-65","893","0.133425490679801","0.125306445708447","0.141544535651155"
"Ja, jede Woche","2015","66","","","",""
"Ja, alle 2 Wochen","2015","17-29","413","0.192222518677338","0.176239726539706","0.20820531081497"
"Ja, alle 2 Wochen","2015","30-45","927","0.150600984622232","0.141467776338327","0.159734192906138"
"Ja, alle 2 Wochen","2015","46-65","995","0.161500003729362","0.152713413188511","0.170286594270213"
"Ja, alle 2 Wochen","2015","66","","","",""
"Ja, alle 3-4 Wochen","2015","17-29","175","0.0778266600039796","0.066960524256397","0.0886927957515622"
"Ja, alle 3-4 Wochen","2015","30-45","567","0.104428310251399","0.0966189962907856","0.112237624212013"
"Ja, alle 3-4 Wochen","2015","46-65","540","0.0787935340532619","0.0723606404794231","0.0852264276271008"
"Ja, alle 3-4 Wochen","2015","66","","","",""
"Seltener","2015","17-29","392","0.174737905178039","0.159335300818721","0.190140509537357"
"Seltener","2015","30-45","1338","0.247638006835012","0.236615619872088","0.258660393797936"
"Seltener","2015","46-65","1703","0.252675686519597","0.242299951528831","0.263051421510363"
"Seltener","2015","66","","","",""
"Nein, nie","2016","17-29","","","",""
"Nein, nie","2016","30-45","","","",""
"Nein, nie","2016","46-65","","","",""
"Nein, nie","2016","66","","","",""
"Ja, jede Woche","2016","17-29","","","",""
"Ja, jede Woche","2016","30-45","","","",""
"Ja, jede Woche","2016","46-65","","","",""
"Ja, jede Woche","2016","66","","","",""
"Ja, alle 2 Wochen","2016","17-29","","","",""
"Ja, alle 2 Wochen","2016","30-45","","","",""
"Ja, alle 2 Wochen","2016","46-65","","","",""
"Ja, alle 2 Wochen","2016","66","","","",""
"Ja, alle 3-4 Wochen","2016","17-29","","","",""
"Ja, alle 3-4 Wochen","2016","30-45","","","",""
"Ja, alle 3-4 Wochen","2016","46-65","","","",""
"Ja, alle 3-4 Wochen","2016","66","","","",""
"Seltener","2016","17-29","","","",""
"Seltener","2016","30-45","","","",""
"Seltener","2016","46-65","","","",""
"Seltener","2016","66","","","",""
"Nein, nie","2017","17-29","1188","0.457133786491289","0.438209821649352","0.476057751333225"
"Nein, nie","2017","30-45","2464","0.404898339118967","0.392357013720001","0.417439664517933"
"Nein, nie","2017","46-65","3290","0.410878356667149","0.399966227420109","0.421790485914189"
"Nein, nie","2017","66","","","",""
"Ja, jede Woche","2017","17-29","439","0.157773224686135","0.143925601460678","0.171620847911593"
"Ja, jede Woche","2017","30-45","716","0.121229924854544","0.11289085896929","0.129568990739797"
"Ja, jede Woche","2017","46-65","1030","0.129532250039501","0.122084661462889","0.136979838616113"
"Ja, jede Woche","2017","66","","","",""
"Ja, alle 2 Wochen","2017","17-29","433","0.158764302333544","0.144881429617177","0.172647175049912"
"Ja, alle 2 Wochen","2017","30-45","945","0.154455292575459","0.145222256288457","0.163688328862462"
"Ja, alle 2 Wochen","2017","46-65","1092","0.145062325780462","0.137251536430815","0.15287311513011"
"Ja, alle 2 Wochen","2017","66","","","",""
"Ja, alle 3-4 Wochen","2017","17-29","240","0.0831449758445432","0.0726564994341589","0.0936334522549276"
"Ja, alle 3-4 Wochen","2017","30-45","564","0.0925708193413089","0.0851659349625133","0.0999757037201044"
"Ja, alle 3-4 Wochen","2017","46-65","786","0.094047963721146","0.0875738893990463","0.100522038043246"
"Ja, alle 3-4 Wochen","2017","66","","","",""
"Seltener","2017","17-29","362","0.143183710644488","0.12987810249734","0.156489318791637"
"Seltener","2017","30-45","1196","0.226845624109722","0.216145885465257","0.237545362754186"
"Seltener","2017","46-65","1611","0.220479103791741","0.211284183308619","0.229674024274864"
"Seltener","2017","66","","","",""
"Nein, nie","2018","17-29","","","",""
"Nein, nie","2018","30-45","","","",""
"Nein, nie","2018","46-65","","","",""
"Nein, nie","2018","66","","","",""
"Ja, jede Woche","2018","17-29","","","",""
"Ja, jede Woche","2018","30-45","","","",""
"Ja, jede Woche","2018","46-65","","","",""
"Ja, jede Woche","2018","66","","","",""
"Ja, alle 2 Wochen","2018","17-29","","","",""
"Ja, alle 2 Wochen","2018","30-45","","","",""
"Ja, alle 2 Wochen","2018","46-65","","","",""
"Ja, alle 2 Wochen","2018","66","","","",""
"Ja, alle 3-4 Wochen","2018","17-29","","","",""
"Ja, alle 3-4 Wochen","2018","30-45","","","",""
"Ja, alle 3-4 Wochen","2018","46-65","","","",""
"Ja, alle 3-4 Wochen","2018","66","","","",""
"Seltener","2018","17-29","","","",""
"Seltener","2018","30-45","","","",""
"Seltener","2018","46-65","","","",""
"Seltener","2018","66","","","",""
"Nein, nie","2019","17-29","1147","0.457442484369156","0.437851176225866","0.477033792512446"
"Nein, nie","2019","30-45","2146","0.413589162556702","0.400244739791002","0.426933585322403"
"Nein, nie","2019","46-65","3412","0.420486709457246","0.4100092063941","0.430964212520393"
"Nein, nie","2019","66","","","",""
"Ja, jede Woche","2019","17-29","363","0.141458050235595","0.127753433664299","0.15516266680689"
"Ja, jede Woche","2019","30-45","698","0.114341860287391","0.105719028591997","0.122964691982784"
"Ja, jede Woche","2019","46-65","1254","0.129776430581653","0.122643577268404","0.136909283894903"
"Ja, jede Woche","2019","66","","","",""
"Ja, alle 2 Wochen","2019","17-29","398","0.159297891477477","0.144906646129726","0.173689136825228"
"Ja, alle 2 Wochen","2019","30-45","814","0.155752360194973","0.14592659301933","0.165578127370616"
"Ja, alle 2 Wochen","2019","46-65","1220","0.138511497269295","0.131179579012662","0.145843415525928"
"Ja, alle 2 Wochen","2019","66","","","",""
"Ja, alle 3-4 Wochen","2019","17-29","220","0.0822750892705938","0.0714691446737067","0.0930810338674809"
"Ja, alle 3-4 Wochen","2019","30-45","446","0.0825626507938181","0.0751051339033755","0.0900201676842606"
"Ja, alle 3-4 Wochen","2019","46-65","800","0.0930389459269206","0.0868733271378867","0.0992045647159545"
"Ja, alle 3-4 Wochen","2019","66","","","",""
"Seltener","2019","17-29","356","0.159526484647179","0.14512687533107","0.173926093963287"
"Seltener","2019","30-45","1128","0.233753966167116","0.222286226182457","0.245221706151775"
"Seltener","2019","46-65","1841","0.218186416764885","0.209420135106086","0.226952698423683"
"Seltener","2019","66","","","",""
