year,quintil_oecd,pli0096_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1996,2nd Quintile,Seldom,0.023303672264959004,321,12979,0.02326727881098649,0.02334006571893152
1996,2nd Quintile,Never,0.13868960800455035,2090,12979,0.13860623352816825,0.13877298248093245
1996,3rd Quintile,At least once per week,0.014618272864453672,181,12979,0.014589320662477095,0.014647225066430248
1996,3rd Quintile,At least once per month,0.015793154339580943,199,12979,0.015763079110360817,0.01582322956880107
1996,3rd Quintile,Seldom,0.03066773716074347,395,12979,0.030626145284165858,0.030709329037321084
1996,3rd Quintile,Never,0.14089857200509404,1874,12979,0.14081464401325777,0.1409824999969303
1996,4th Quintile,At least once per week,0.01711127083880889,219,12979,0.017079986669635387,0.01714255500798239
1996,4th Quintile,At least once per month,0.01580395035113646,195,12979,0.015773865009147035,0.015834035693125886
1996,4th Quintile,Seldom,0.030038122510154405,395,12979,0.029996946426233895,0.030079298594074915
1996,4th Quintile,Never,0.14584952102013501,1891,12979,0.14576437761527386,0.14593466442499617
1996,5th Quintile,At least once per week,0.02226608619741091,221,12979,0.022230493279068123,0.0223016791157537
1996,5th Quintile,At least once per month,0.020450382342057254,202,12979,0.02041623984731094,0.020484524836803568
1996,5th Quintile,Seldom,0.040580781874698636,435,12979,0.040533183105001674,0.0406283806443956
1996,5th Quintile,Never,0.1341126165549615,1534,12979,0.1340304118189029,0.13419482129102012
1997,1st Quintile,At least once per week,0.009371475275061259,105,12726,0.009348238999785572,0.009394711550336946
1997,1st Quintile,At least once per month,0.006761559279206169,82,12726,0.006741796077366507,0.006781322481045831
1997,1st Quintile,Seldom,0.0183754800297825,220,12726,0.01834309090877826,0.018407869150786738
1997,1st Quintile,Never,0.14936389739034367,1949,12726,0.14927793631483674,0.1494498584658506
1997,2nd Quintile,At least once per week,0.012549011016155886,161,12726,0.012522165630877193,0.01257585640143458
1997,2nd Quintile,At least once per month,0.012599332560313443,148,12726,0.012572434089291679,0.012626231031335207
1997,2nd Quintile,Seldom,0.018647295667210195,284,12726,0.018614672388481322,0.018679918945939067
1997,2nd Quintile,Never,0.1470519911281013,2156,12726,0.14696658208603008,0.14713740017017252
1997,3rd Quintile,At least once per week,0.015016953078929954,178,12726,0.014987623055754344,0.015046283102105564
1997,3rd Quintile,At least once per month,0.015254295310419148,184,12726,0.015224737977803226,0.01528385264303507
1997,3rd Quintile,Seldom,0.023790271235842004,318,12726,0.023753519455777413,0.023827023015906595
1997,3rd Quintile,Never,0.1422212072141577,1864,12726,0.1421369752458701,0.14230543918244531
