"pli0096_h","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Min 1x pro Woche","1985","66","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1985","66","AkademikerIn","","","",""
"Min 1x pro Monat","1985","17-29","(noch) kein Abschluss","12","","",""
"Min 1x pro Monat","1985","17-29","Hauptschule","52","0.0459130969393613","0.0347484892312072","0.0570777046475154"
"Min 1x pro Monat","1985","17-29","Realschule","44","0.0600924824583674","0.0435095159474695","0.0766754489692653"
"Min 1x pro Monat","1985","17-29","(Fach-)Abitur","21","","",""
"Min 1x pro Monat","1985","17-29","AkademikerIn","5","","",""
"Min 1x pro Monat","1985","30-45","(noch) kein Abschluss","3","","",""
"Min 1x pro Monat","1985","30-45","Hauptschule","136","0.0776659773731876","0.0659449106874233","0.0893870440589519"
"Min 1x pro Monat","1985","30-45","Realschule","50","0.100839175061817","0.0742859089938437","0.127392441129791"
"Min 1x pro Monat","1985","30-45","(Fach-)Abitur","19","","",""
"Min 1x pro Monat","1985","30-45","AkademikerIn","42","0.118696266233572","0.0851460505156036","0.15224648195154"
"Min 1x pro Monat","1985","46-65","(noch) kein Abschluss","2","","",""
"Min 1x pro Monat","1985","46-65","Hauptschule","127","0.0630457337425803","0.0528408861224069","0.0732505813627537"
"Min 1x pro Monat","1985","46-65","Realschule","28","","",""
"Min 1x pro Monat","1985","46-65","(Fach-)Abitur","5","","",""
"Min 1x pro Monat","1985","46-65","AkademikerIn","34","0.155250051032548","0.106501678260238","0.203998423804857"
"Min 1x pro Monat","1985","66","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1985","66","Hauptschule","","","",""
"Min 1x pro Monat","1985","66","Realschule","","","",""
"Min 1x pro Monat","1985","66","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1985","66","AkademikerIn","","","",""
"Seltener","1985","17-29","(noch) kein Abschluss","24","","",""
"Seltener","1985","17-29","Hauptschule","107","0.0854372547183851","0.0705260888052502","0.10034842063152"
"Seltener","1985","17-29","Realschule","80","0.10087758886272","0.0798632201741494","0.12189195755129"
"Seltener","1985","17-29","(Fach-)Abitur","46","0.12576440037153","0.094604463548269","0.156924337194792"
"Seltener","1985","17-29","AkademikerIn","10","","",""
"Seltener","1985","30-45","(noch) kein Abschluss","10","","",""
"Seltener","1985","30-45","Hauptschule","161","0.0910654426219737","0.0784660176265858","0.103664867617362"
"Seltener","1985","30-45","Realschule","48","0.1012876932863","0.0746820783452045","0.127893308227396"
"Seltener","1985","30-45","(Fach-)Abitur","10","","",""
"Seltener","1985","30-45","AkademikerIn","50","0.135792889552378","0.10025747260648","0.171328306498275"
"Seltener","1985","46-65","(noch) kein Abschluss","6","","",""
"Seltener","1985","46-65","Hauptschule","165","0.0783455658068839","0.0670629254466702","0.0896282061670976"
"Seltener","1985","46-65","Realschule","35","0.0978813426010004","0.0667055740301434","0.129057111171857"
"Seltener","1985","46-65","(Fach-)Abitur","8","","",""
"Seltener","1985","46-65","AkademikerIn","28","","",""
"Seltener","1985","66","(noch) kein Abschluss","","","",""
"Seltener","1985","66","Hauptschule","","","",""
"Seltener","1985","66","Realschule","","","",""
"Seltener","1985","66","(Fach-)Abitur","","","",""
"Seltener","1985","66","AkademikerIn","","","",""
"Nie","1985","17-29","(noch) kein Abschluss","281","0.772224665953678","0.727840689207102","0.816608642700254"
"Nie","1985","17-29","Hauptschule","1122","0.807363995375558","0.786326955659086","0.828401035092031"
"Nie","1985","17-29","Realschule","571","0.721966786136857","0.69070480198635","0.753228770287365"
"Nie","1985","17-29","(Fach-)Abitur","323","0.706641426967302","0.663855356512023","0.749427497422581"
"Nie","1985","17-29","AkademikerIn","89","0.734883352486898","0.655242703268161","0.814524001705634"
"Nie","1985","30-45","(noch) kein Abschluss","332","0.952652032184457","0.930433654049236","0.974870410319677"
"Nie","1985","30-45","Hauptschule","1562","0.750475820451869","0.731524813686448","0.76942682721729"
"Nie","1985","30-45","Realschule","337","0.678908709179784","0.63773646217727","0.720080956182298"
"Nie","1985","30-45","(Fach-)Abitur","140","0.700455963146302","0.634803950366669","0.766107975925934"
"Nie","1985","30-45","AkademikerIn","220","0.622324526373925","0.572034503535336","0.672614549212515"
"Nie","1985","46-65","(noch) kein Abschluss","351","0.941351213076272","0.917213131018413","0.96548929513413"
"Nie","1985","46-65","Hauptschule","1730","0.779035028534153","0.761614565873966","0.79645549119434"
"Nie","1985","46-65","Realschule","244","0.701697587262815","0.653697861935455","0.749697312590176"
"Nie","1985","46-65","(Fach-)Abitur","85","0.729582365686251","0.648046190685595","0.811118540686907"
"Nie","1985","46-65","AkademikerIn","125","0.586638846225315","0.520351535532285","0.652926156918346"
"Nie","1985","66","(noch) kein Abschluss","","","",""
"Nie","1985","66","Hauptschule","","","",""
"Nie","1985","66","Realschule","","","",""
"Nie","1985","66","(Fach-)Abitur","","","",""
"Nie","1985","66","AkademikerIn","","","",""
"Täglich","1986","17-29","(noch) kein Abschluss","","","",""
"Täglich","1986","17-29","Hauptschule","","","",""
"Täglich","1986","17-29","Realschule","","","",""
"Täglich","1986","17-29","(Fach-)Abitur","","","",""
"Täglich","1986","17-29","AkademikerIn","","","",""
"Täglich","1986","30-45","(noch) kein Abschluss","","","",""
"Täglich","1986","30-45","Hauptschule","","","",""
"Täglich","1986","30-45","Realschule","","","",""
"Täglich","1986","30-45","(Fach-)Abitur","","","",""
"Täglich","1986","30-45","AkademikerIn","","","",""
"Täglich","1986","46-65","(noch) kein Abschluss","","","",""
"Täglich","1986","46-65","Hauptschule","","","",""
"Täglich","1986","46-65","Realschule","","","",""
"Täglich","1986","46-65","(Fach-)Abitur","","","",""
"Täglich","1986","46-65","AkademikerIn","","","",""
"Täglich","1986","66","(noch) kein Abschluss","","","",""
"Täglich","1986","66","Hauptschule","","","",""
"Täglich","1986","66","Realschule","","","",""
"Täglich","1986","66","(Fach-)Abitur","","","",""
"Täglich","1986","66","AkademikerIn","","","",""
"Min 1x pro Woche","1986","17-29","(noch) kein Abschluss","24","","",""
"Min 1x pro Woche","1986","17-29","Hauptschule","82","0.0775949572487071","0.0631186178413757","0.0920712966560385"
"Min 1x pro Woche","1986","17-29","Realschule","75","0.105138902018578","0.083403038103526","0.12687476593363"
"Min 1x pro Woche","1986","17-29","(Fach-)Abitur","54","0.128697116803251","0.0977233585180751","0.159670875088427"
"Min 1x pro Woche","1986","17-29","AkademikerIn","8","","",""
"Min 1x pro Woche","1986","30-45","(noch) kein Abschluss","7","","",""
"Min 1x pro Woche","1986","30-45","Hauptschule","131","0.0837408740524831","0.0710566688961319","0.0964250792088344"
"Min 1x pro Woche","1986","30-45","Realschule","47","0.0996181571522713","0.0730463681052364","0.126189946199306"
"Min 1x pro Woche","1986","30-45","(Fach-)Abitur","16","","",""
"Min 1x pro Woche","1986","30-45","AkademikerIn","42","0.110004252544509","0.0782506957980583","0.141757809290961"
"Min 1x pro Woche","1986","46-65","(noch) kein Abschluss","7","","",""
"Min 1x pro Woche","1986","46-65","Hauptschule","139","0.0739170156462781","0.0627771545125152","0.0850568767800411"
"Min 1x pro Woche","1986","46-65","Realschule","39","0.107795796322383","0.0752594769296138","0.140332115715152"
"Min 1x pro Woche","1986","46-65","(Fach-)Abitur","8","","",""
"Min 1x pro Woche","1986","46-65","AkademikerIn","37","0.16463961050396","0.115745555319947","0.213533665687972"
"Min 1x pro Woche","1986","66","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1986","66","Hauptschule","","","",""
"Min 1x pro Woche","1986","66","Realschule","","","",""
"Min 1x pro Woche","1986","66","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1986","66","AkademikerIn","","","",""
"Min 1x pro Monat","1986","17-29","(noch) kein Abschluss","15","","",""
"Min 1x pro Monat","1986","17-29","Hauptschule","47","0.04259233820533","0.0316654785759608","0.0535191978346992"
"Min 1x pro Monat","1986","17-29","Realschule","31","0.0412002934395786","0.0271161164418308","0.0552844704373264"
"Min 1x pro Monat","1986","17-29","(Fach-)Abitur","25","","",""
"Min 1x pro Monat","1986","17-29","AkademikerIn","6","","",""
"Min 1x pro Monat","1986","30-45","(noch) kein Abschluss","2","","",""
"Min 1x pro Monat","1986","30-45","Hauptschule","127","0.0802008689476047","0.0677637040998961","0.0926380337953133"
"Min 1x pro Monat","1986","30-45","Realschule","48","0.0946330091082738","0.0686630160752463","0.120603002141301"
"Min 1x pro Monat","1986","30-45","(Fach-)Abitur","15","","",""
"Min 1x pro Monat","1986","30-45","AkademikerIn","43","0.102382293620384","0.0716176557165749","0.133146931524194"
"Min 1x pro Monat","1986","46-65","(noch) kein Abschluss","2","","",""
"Min 1x pro Monat","1986","46-65","Hauptschule","152","0.0766982807320853","0.0653678283680974","0.0880287330960733"
"Min 1x pro Monat","1986","46-65","Realschule","30","0.0847433451495738","0.0555247300900115","0.113961960209136"
"Min 1x pro Monat","1986","46-65","(Fach-)Abitur","8","","",""
"Min 1x pro Monat","1986","46-65","AkademikerIn","21","","",""
"Min 1x pro Monat","1986","66","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1986","66","Hauptschule","","","",""
"Min 1x pro Monat","1986","66","Realschule","","","",""
"Min 1x pro Monat","1986","66","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1986","66","AkademikerIn","","","",""
"Seltener","1986","17-29","(noch) kein Abschluss","20","","",""
"Seltener","1986","17-29","Hauptschule","101","0.091321553129867","0.075734180003721","0.106908926256013"
"Seltener","1986","17-29","Realschule","96","0.116377699256085","0.0936536568531724","0.139101741658997"
"Seltener","1986","17-29","(Fach-)Abitur","49","0.126002376038848","0.0953072505041219","0.156697501573573"
"Seltener","1986","17-29","AkademikerIn","10","","",""
"Seltener","1986","30-45","(noch) kein Abschluss","6","","",""
"Seltener","1986","30-45","Hauptschule","133","0.0822157075316703","0.0696370855424565","0.0947943295208842"
"Seltener","1986","30-45","Realschule","45","0.0912933664056412","0.0657387338838911","0.116847998927391"
"Seltener","1986","30-45","(Fach-)Abitur","18","","",""
"Seltener","1986","30-45","AkademikerIn","42","0.119000898885065","0.0861417334660611","0.151860064304069"
"Seltener","1986","46-65","(noch) kein Abschluss","8","","",""
"Seltener","1986","46-65","Hauptschule","139","0.0689601281110737","0.0581715109428165","0.0797487452793308"
"Seltener","1986","46-65","Realschule","24","","",""
"Seltener","1986","46-65","(Fach-)Abitur","9","","",""
"Seltener","1986","46-65","AkademikerIn","22","","",""
"Seltener","1986","66","(noch) kein Abschluss","","","",""
"Seltener","1986","66","Hauptschule","","","",""
"Seltener","1986","66","Realschule","","","",""
"Seltener","1986","66","(Fach-)Abitur","","","",""
"Seltener","1986","66","AkademikerIn","","","",""
"Nie","1986","17-29","(noch) kein Abschluss","283","0.846991391531166","0.808838059773178","0.885144723289154"
"Nie","1986","17-29","Hauptschule","1082","0.788491151416096","0.766393615115966","0.810588687716225"
"Nie","1986","17-29","Realschule","563","0.737283105285759","0.706095752307965","0.768470458263553"
"Nie","1986","17-29","(Fach-)Abitur","321","0.68672997164805","0.643827990787842","0.729631952508259"
"Nie","1986","17-29","AkademikerIn","69","0.698888430364007","0.605654441829311","0.792122418898703"
"Nie","1986","30-45","(noch) kein Abschluss","291","0.957423872122312","0.934802310371519","0.980045433873105"
"Nie","1986","30-45","Hauptschule","1441","0.753842549468242","0.734116860887517","0.773568238048966"
"Nie","1986","30-45","Realschule","348","0.714455467333814","0.674381468004563","0.754529466663064"
"Nie","1986","30-45","(Fach-)Abitur","151","0.708642591610249","0.645668813217433","0.771616370003065"
"Nie","1986","30-45","AkademikerIn","246","0.668612554950041","0.620843245395838","0.716381864504244"
"Nie","1986","46-65","(noch) kein Abschluss","329","0.953718443293039","0.93158117077744","0.975855715808638"
"Nie","1986","46-65","Hauptschule","1689","0.780424575510563","0.762799136358697","0.798050014662429"
"Nie","1986","46-65","Realschule","256","0.738257251389761","0.692138603342564","0.784375899436958"
"Nie","1986","46-65","(Fach-)Abitur","83","0.748753283681111","0.666952817165491","0.83055375019673"
"Nie","1986","46-65","AkademikerIn","141","0.631779807509728","0.568189836774167","0.695369778245289"
"Nie","1986","66","(noch) kein Abschluss","","","",""
"Nie","1986","66","Hauptschule","","","",""
"Nie","1986","66","Realschule","","","",""
"Nie","1986","66","(Fach-)Abitur","","","",""
"Nie","1986","66","AkademikerIn","","","",""
"Täglich","1987","17-29","(noch) kein Abschluss","","","",""
"Täglich","1987","17-29","Hauptschule","","","",""
"Täglich","1987","17-29","Realschule","","","",""
"Täglich","1987","17-29","(Fach-)Abitur","","","",""
"Täglich","1987","17-29","AkademikerIn","","","",""
"Täglich","1987","30-45","(noch) kein Abschluss","","","",""
"Täglich","1987","30-45","Hauptschule","","","",""
"Täglich","1987","30-45","Realschule","","","",""
"Täglich","1987","30-45","(Fach-)Abitur","","","",""
"Täglich","1987","30-45","AkademikerIn","","","",""
"Täglich","1987","46-65","(noch) kein Abschluss","","","",""
"Täglich","1987","46-65","Hauptschule","","","",""
"Täglich","1987","46-65","Realschule","","","",""
"Täglich","1987","46-65","(Fach-)Abitur","","","",""
"Täglich","1987","46-65","AkademikerIn","","","",""
"Täglich","1987","66","(noch) kein Abschluss","","","",""
"Täglich","1987","66","Hauptschule","","","",""
"Täglich","1987","66","Realschule","","","",""
"Täglich","1987","66","(Fach-)Abitur","","","",""
"Täglich","1987","66","AkademikerIn","","","",""
"Min 1x pro Woche","1987","17-29","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1987","17-29","Hauptschule","","","",""
"Min 1x pro Woche","1987","17-29","Realschule","","","",""
"Min 1x pro Woche","1987","17-29","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1987","17-29","AkademikerIn","","","",""
"Min 1x pro Woche","1987","30-45","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1987","30-45","Hauptschule","","","",""
"Min 1x pro Woche","1987","30-45","Realschule","","","",""
"Min 1x pro Woche","1987","30-45","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1987","30-45","AkademikerIn","","","",""
"Min 1x pro Woche","1987","46-65","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1987","46-65","Hauptschule","","","",""
"Min 1x pro Woche","1987","46-65","Realschule","","","",""
"Min 1x pro Woche","1987","46-65","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1987","46-65","AkademikerIn","","","",""
"Min 1x pro Woche","1987","66","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1987","66","Hauptschule","","","",""
"Min 1x pro Woche","1987","66","Realschule","","","",""
"Min 1x pro Woche","1987","66","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1987","66","AkademikerIn","","","",""
"Min 1x pro Monat","1987","17-29","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1987","17-29","Hauptschule","","","",""
"Min 1x pro Monat","1987","17-29","Realschule","","","",""
"Min 1x pro Monat","1987","17-29","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1987","17-29","AkademikerIn","","","",""
"Min 1x pro Monat","1987","30-45","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1987","30-45","Hauptschule","","","",""
"Min 1x pro Monat","1987","30-45","Realschule","","","",""
"Min 1x pro Monat","1987","30-45","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1987","30-45","AkademikerIn","","","",""
"Min 1x pro Monat","1987","46-65","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1987","46-65","Hauptschule","","","",""
"Min 1x pro Monat","1987","46-65","Realschule","","","",""
"Min 1x pro Monat","1987","46-65","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1987","46-65","AkademikerIn","","","",""
"Min 1x pro Monat","1987","66","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1987","66","Hauptschule","","","",""
"Min 1x pro Monat","1987","66","Realschule","","","",""
"Min 1x pro Monat","1987","66","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1987","66","AkademikerIn","","","",""
"Seltener","1987","17-29","(noch) kein Abschluss","","","",""
"Seltener","1987","17-29","Hauptschule","","","",""
"Seltener","1987","17-29","Realschule","","","",""
"Seltener","1987","17-29","(Fach-)Abitur","","","",""
"Seltener","1987","17-29","AkademikerIn","","","",""
"Seltener","1987","30-45","(noch) kein Abschluss","","","",""
"Seltener","1987","30-45","Hauptschule","","","",""
"Seltener","1987","30-45","Realschule","","","",""
"Seltener","1987","30-45","(Fach-)Abitur","","","",""
"Seltener","1987","30-45","AkademikerIn","","","",""
"Seltener","1987","46-65","(noch) kein Abschluss","","","",""
"Seltener","1987","46-65","Hauptschule","","","",""
"Seltener","1987","46-65","Realschule","","","",""
"Seltener","1987","46-65","(Fach-)Abitur","","","",""
"Seltener","1987","46-65","AkademikerIn","","","",""
"Seltener","1987","66","(noch) kein Abschluss","","","",""
"Seltener","1987","66","Hauptschule","","","",""
"Seltener","1987","66","Realschule","","","",""
"Seltener","1987","66","(Fach-)Abitur","","","",""
"Seltener","1987","66","AkademikerIn","","","",""
"Nie","1987","17-29","(noch) kein Abschluss","","","",""
"Nie","1987","17-29","Hauptschule","","","",""
"Nie","1987","17-29","Realschule","","","",""
"Nie","1987","17-29","(Fach-)Abitur","","","",""
"Nie","1987","17-29","AkademikerIn","","","",""
"Nie","1987","30-45","(noch) kein Abschluss","","","",""
"Nie","1987","30-45","Hauptschule","","","",""
"Nie","1987","30-45","Realschule","","","",""
"Nie","1987","30-45","(Fach-)Abitur","","","",""
"Nie","1987","30-45","AkademikerIn","","","",""
"Nie","1987","46-65","(noch) kein Abschluss","","","",""
"Nie","1987","46-65","Hauptschule","","","",""
"Nie","1987","46-65","Realschule","","","",""
"Nie","1987","46-65","(Fach-)Abitur","","","",""
"Nie","1987","46-65","AkademikerIn","","","",""
"Nie","1987","66","(noch) kein Abschluss","","","",""
"Nie","1987","66","Hauptschule","","","",""
"Nie","1987","66","Realschule","","","",""
"Nie","1987","66","(Fach-)Abitur","","","",""
"Nie","1987","66","AkademikerIn","","","",""
"Täglich","1988","17-29","(noch) kein Abschluss","","","",""
"Täglich","1988","17-29","Hauptschule","","","",""
"Täglich","1988","17-29","Realschule","","","",""
"Täglich","1988","17-29","(Fach-)Abitur","","","",""
"Täglich","1988","17-29","AkademikerIn","","","",""
"Täglich","1988","30-45","(noch) kein Abschluss","","","",""
"Täglich","1988","30-45","Hauptschule","","","",""
"Täglich","1988","30-45","Realschule","","","",""
"Täglich","1988","30-45","(Fach-)Abitur","","","",""
"Täglich","1988","30-45","AkademikerIn","","","",""
"Täglich","1988","46-65","(noch) kein Abschluss","","","",""
"Täglich","1988","46-65","Hauptschule","","","",""
"Täglich","1988","46-65","Realschule","","","",""
"Täglich","1988","46-65","(Fach-)Abitur","","","",""
"Täglich","1988","46-65","AkademikerIn","","","",""
"Täglich","1988","66","(noch) kein Abschluss","","","",""
"Täglich","1988","66","Hauptschule","","","",""
"Täglich","1988","66","Realschule","","","",""
"Täglich","1988","66","(Fach-)Abitur","","","",""
"Täglich","1988","66","AkademikerIn","","","",""
"Min 1x pro Woche","1988","17-29","(noch) kein Abschluss","22","","",""
"Min 1x pro Woche","1988","17-29","Hauptschule","94","0.090164516580158","0.0743997433261637","0.105929289834152"
"Min 1x pro Woche","1988","17-29","Realschule","79","0.108152072957696","0.0855451259996505","0.130759019915741"
"Min 1x pro Woche","1988","17-29","(Fach-)Abitur","38","0.110154033656064","0.0793180278635858","0.140990039448543"
"Min 1x pro Woche","1988","17-29","AkademikerIn","10","","",""
"Min 1x pro Woche","1988","30-45","(noch) kein Abschluss","6","","",""
"Min 1x pro Woche","1988","30-45","Hauptschule","120","0.0855396838534483","0.0719119047737508","0.0991674629331459"
"Min 1x pro Woche","1988","30-45","Realschule","51","0.0984584612628773","0.0716936609442991","0.125223261581455"
"Min 1x pro Woche","1988","30-45","(Fach-)Abitur","18","","",""
"Min 1x pro Woche","1988","30-45","AkademikerIn","47","0.14255876880239","0.105450554915055","0.179666982689726"
"Min 1x pro Woche","1988","46-65","(noch) kein Abschluss","10","","",""
"Min 1x pro Woche","1988","46-65","Hauptschule","164","0.0872200212801411","0.0749699913980659","0.0994700511622164"
"Min 1x pro Woche","1988","46-65","Realschule","42","0.128839848975634","0.0927480775355181","0.164931620415749"
"Min 1x pro Woche","1988","46-65","(Fach-)Abitur","8","","",""
"Min 1x pro Woche","1988","46-65","AkademikerIn","35","0.163461002274634","0.115035486342728","0.21188651820654"
"Min 1x pro Woche","1988","66","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1988","66","Hauptschule","","","",""
"Min 1x pro Woche","1988","66","Realschule","","","",""
"Min 1x pro Woche","1988","66","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1988","66","AkademikerIn","","","",""
"Min 1x pro Monat","1988","17-29","(noch) kein Abschluss","6","","",""
"Min 1x pro Monat","1988","17-29","Hauptschule","46","0.0419112801691115","0.0308817556378863","0.0529408047003367"
"Min 1x pro Monat","1988","17-29","Realschule","35","0.045649035076636","0.0304558458401936","0.0608422243130785"
"Min 1x pro Monat","1988","17-29","(Fach-)Abitur","16","","",""
"Min 1x pro Monat","1988","17-29","AkademikerIn","5","","",""
"Min 1x pro Monat","1988","30-45","(noch) kein Abschluss","4","","",""
"Min 1x pro Monat","1988","30-45","Hauptschule","119","0.0823975000170741","0.0689994022043811","0.0957955978297671"
"Min 1x pro Monat","1988","30-45","Realschule","51","0.104711441767053","0.0772057101259045","0.132217173408202"
"Min 1x pro Monat","1988","30-45","(Fach-)Abitur","10","","",""
"Min 1x pro Monat","1988","30-45","AkademikerIn","36","0.102209201116092","0.0700575357187868","0.134360866513398"
"Min 1x pro Monat","1988","46-65","(noch) kein Abschluss","2","","",""
"Min 1x pro Monat","1988","46-65","Hauptschule","145","0.0786153656368323","0.0669305946970081","0.0903001365766566"
"Min 1x pro Monat","1988","46-65","Realschule","39","0.116960724578007","0.0823393641407083","0.151582085015305"
"Min 1x pro Monat","1988","46-65","(Fach-)Abitur","7","","",""
"Min 1x pro Monat","1988","46-65","AkademikerIn","31","0.13206927407481","0.0877321510576998","0.17640639709192"
"Min 1x pro Monat","1988","66","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1988","66","Hauptschule","","","",""
"Min 1x pro Monat","1988","66","Realschule","","","",""
"Min 1x pro Monat","1988","66","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1988","66","AkademikerIn","","","",""
"Seltener","1988","17-29","(noch) kein Abschluss","22","","",""
"Seltener","1988","17-29","Hauptschule","93","0.0942200501720217","0.078140589369541","0.110299510974502"
"Seltener","1988","17-29","Realschule","74","0.109341428772048","0.0866256784857159","0.13205717905838"
"Seltener","1988","17-29","(Fach-)Abitur","56","0.13593689874725","0.102181603833678","0.169692193660822"
"Seltener","1988","17-29","AkademikerIn","9","","",""
"Seltener","1988","30-45","(noch) kein Abschluss","7","","",""
"Seltener","1988","30-45","Hauptschule","152","0.103619548004846","0.0887695680423216","0.118469527967371"
"Seltener","1988","30-45","Realschule","54","0.111819669036849","0.0835087288915465","0.140130609182152"
"Seltener","1988","30-45","(Fach-)Abitur","21","","",""
"Seltener","1988","30-45","AkademikerIn","44","0.139895853900211","0.1030788160627","0.176712891737721"
"Seltener","1988","46-65","(noch) kein Abschluss","8","","",""
"Seltener","1988","46-65","Hauptschule","178","0.094745799492043","0.0820309489980281","0.107460649986058"
"Seltener","1988","46-65","Realschule","27","","",""
"Seltener","1988","46-65","(Fach-)Abitur","8","","",""
"Seltener","1988","46-65","AkademikerIn","29","","",""
"Seltener","1988","66","(noch) kein Abschluss","","","",""
"Seltener","1988","66","Hauptschule","","","",""
"Seltener","1988","66","Realschule","","","",""
"Seltener","1988","66","(Fach-)Abitur","","","",""
"Seltener","1988","66","AkademikerIn","","","",""
"Nie","1988","17-29","(noch) kein Abschluss","228","0.798653329496932","0.75151468688788","0.845791972105984"
"Nie","1988","17-29","Hauptschule","1035","0.773704153078709","0.750673077520932","0.796735228636486"
"Nie","1988","17-29","Realschule","537","0.73685746319362","0.704804634710478","0.768910291676762"
"Nie","1988","17-29","(Fach-)Abitur","286","0.711404229532769","0.666776612200385","0.756031846865154"
"Nie","1988","17-29","AkademikerIn","52","0.670374911118392","0.56469065350249","0.776059168734293"
"Nie","1988","30-45","(noch) kein Abschluss","246","0.934566010132026","0.904679382753837","0.964452637510215"
"Nie","1988","30-45","Hauptschule","1227","0.728443268124631","0.706771867228917","0.750114669020345"
"Nie","1988","30-45","Realschule","320","0.68501042793322","0.643281109224704","0.726739746641736"
"Nie","1988","30-45","(Fach-)Abitur","139","0.706590529634688","0.641504146814004","0.771676912455372"
"Nie","1988","30-45","AkademikerIn","214","0.615336176181307","0.563698368232442","0.666973984130172"
"Nie","1988","46-65","(noch) kein Abschluss","322","0.92060728891096","0.891954786433831","0.949259791388088"
"Nie","1988","46-65","Hauptschule","1551","0.739418813590984","0.72036145183897","0.758476175342997"
"Nie","1988","46-65","Realschule","223","0.665614588097743","0.614790549613337","0.71643862658215"
"Nie","1988","46-65","(Fach-)Abitur","77","0.746744965767046","0.66151088410632","0.831979047427772"
