"plj0589","year","age_gr","bildungsniveau","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Sehr oft","2015","17-34","(noch) kein Abschluss","","","",""
"Sehr oft","2015","17-34","Hauptschule","","","",""
"Sehr oft","2015","17-34","Realschule","","","",""
"Sehr oft","2015","17-34","(Fach-)Abitur","","","",""
"Sehr oft","2015","17-34","AkademikerIn","","","",""
"Sehr oft","2015","35-65","(noch) kein Abschluss","","","",""
"Sehr oft","2015","35-65","Hauptschule","","","",""
"Sehr oft","2015","35-65","Realschule","","","",""
"Sehr oft","2015","35-65","(Fach-)Abitur","","","",""
"Sehr oft","2015","35-65","AkademikerIn","","","",""
"Sehr oft","2015","66 +","(noch) kein Abschluss","","","",""
"Sehr oft","2015","66 +","Hauptschule","","","",""
"Sehr oft","2015","66 +","Realschule","","","",""
"Sehr oft","2015","66 +","(Fach-)Abitur","","","",""
"Sehr oft","2015","66 +","AkademikerIn","","","",""
"Oft","2015","17-34","(noch) kein Abschluss","","","",""
"Oft","2015","17-34","Hauptschule","","","",""
"Oft","2015","17-34","Realschule","","","",""
"Oft","2015","17-34","(Fach-)Abitur","","","",""
"Oft","2015","17-34","AkademikerIn","","","",""
"Oft","2015","35-65","(noch) kein Abschluss","","","",""
"Oft","2015","35-65","Hauptschule","","","",""
"Oft","2015","35-65","Realschule","","","",""
"Oft","2015","35-65","(Fach-)Abitur","","","",""
"Oft","2015","35-65","AkademikerIn","","","",""
"Oft","2015","66 +","(noch) kein Abschluss","","","",""
"Oft","2015","66 +","Hauptschule","","","",""
"Oft","2015","66 +","Realschule","","","",""
"Oft","2015","66 +","(Fach-)Abitur","","","",""
"Oft","2015","66 +","AkademikerIn","","","",""
"Manchmal","2015","17-34","(noch) kein Abschluss","","","",""
"Manchmal","2015","17-34","Hauptschule","","","",""
"Manchmal","2015","17-34","Realschule","","","",""
"Manchmal","2015","17-34","(Fach-)Abitur","","","",""
"Manchmal","2015","17-34","AkademikerIn","","","",""
"Manchmal","2015","35-65","(noch) kein Abschluss","","","",""
"Manchmal","2015","35-65","Hauptschule","","","",""
"Manchmal","2015","35-65","Realschule","","","",""
"Manchmal","2015","35-65","(Fach-)Abitur","","","",""
"Manchmal","2015","35-65","AkademikerIn","","","",""
"Manchmal","2015","66 +","(noch) kein Abschluss","","","",""
"Manchmal","2015","66 +","Hauptschule","","","",""
"Manchmal","2015","66 +","Realschule","","","",""
"Manchmal","2015","66 +","(Fach-)Abitur","","","",""
"Manchmal","2015","66 +","AkademikerIn","","","",""
"Selten","2015","17-34","(noch) kein Abschluss","","","",""
"Selten","2015","17-34","Hauptschule","","","",""
"Selten","2015","17-34","Realschule","","","",""
"Selten","2015","17-34","(Fach-)Abitur","","","",""
"Selten","2015","17-34","AkademikerIn","","","",""
"Selten","2015","35-65","(noch) kein Abschluss","","","",""
"Selten","2015","35-65","Hauptschule","","","",""
"Selten","2015","35-65","Realschule","","","",""
"Selten","2015","35-65","(Fach-)Abitur","","","",""
"Selten","2015","35-65","AkademikerIn","","","",""
"Selten","2015","66 +","(noch) kein Abschluss","","","",""
"Selten","2015","66 +","Hauptschule","","","",""
"Selten","2015","66 +","Realschule","","","",""
"Selten","2015","66 +","(Fach-)Abitur","","","",""
"Selten","2015","66 +","AkademikerIn","","","",""
"Nie","2015","17-34","(noch) kein Abschluss","","","",""
"Nie","2015","17-34","Hauptschule","","","",""
"Nie","2015","17-34","Realschule","","","",""
"Nie","2015","17-34","(Fach-)Abitur","","","",""
"Nie","2015","17-34","AkademikerIn","","","",""
"Nie","2015","35-65","(noch) kein Abschluss","","","",""
"Nie","2015","35-65","Hauptschule","","","",""
"Nie","2015","35-65","Realschule","","","",""
"Nie","2015","35-65","(Fach-)Abitur","","","",""
"Nie","2015","35-65","AkademikerIn","","","",""
"Nie","2015","66 +","(noch) kein Abschluss","","","",""
"Nie","2015","66 +","Hauptschule","","","",""
"Nie","2015","66 +","Realschule","","","",""
"Nie","2015","66 +","(Fach-)Abitur","","","",""
"Nie","2015","66 +","AkademikerIn","","","",""
"Sehr oft","2016","17-34","(noch) kein Abschluss","31","0.0750837234718646","0.0524770349086925","0.0976904120350368"
"Sehr oft","2016","17-34","Hauptschule","15","","",""
"Sehr oft","2016","17-34","Realschule","","","",""
"Sehr oft","2016","17-34","(Fach-)Abitur","16","","",""
"Sehr oft","2016","17-34","AkademikerIn","16","","",""
"Sehr oft","2016","35-65","(noch) kein Abschluss","33","0.0872834640363054","0.0617117928842865","0.112855135188324"
"Sehr oft","2016","35-65","Hauptschule","15","","",""
"Sehr oft","2016","35-65","Realschule","","","",""
"Sehr oft","2016","35-65","(Fach-)Abitur","13","","",""
"Sehr oft","2016","35-65","AkademikerIn","21","","",""
"Sehr oft","2016","66 +","(noch) kein Abschluss","2","","",""
"Sehr oft","2016","66 +","Hauptschule","","","",""
"Sehr oft","2016","66 +","Realschule","","","",""
"Sehr oft","2016","66 +","(Fach-)Abitur","1","","",""
"Sehr oft","2016","66 +","AkademikerIn","","","",""
"Oft","2016","17-34","(noch) kein Abschluss","71","0.196322162780698","0.162246955961137","0.23039736960026"
"Oft","2016","17-34","Hauptschule","37","0.101649382620854","0.0697160549272559","0.133582710314452"
"Oft","2016","17-34","Realschule","1","","",""
"Oft","2016","17-34","(Fach-)Abitur","25","","",""
"Oft","2016","17-34","AkademikerIn","31","0.0947965912068764","0.0612549945928636","0.128338187820889"
"Oft","2016","35-65","(noch) kein Abschluss","69","0.146240997925054","0.114227923563396","0.178254072286713"
"Oft","2016","35-65","Hauptschule","28","","",""
"Oft","2016","35-65","Realschule","","","",""
"Oft","2016","35-65","(Fach-)Abitur","32","0.19052215896239","0.141547113946867","0.239497203977913"
"Oft","2016","35-65","AkademikerIn","30","0.0871642462149365","0.0538861049916217","0.120442387438251"
"Oft","2016","66 +","(noch) kein Abschluss","1","","",""
"Oft","2016","66 +","Hauptschule","","","",""
"Oft","2016","66 +","Realschule","","","",""
"Oft","2016","66 +","(Fach-)Abitur","","","",""
"Oft","2016","66 +","AkademikerIn","","","",""
"Manchmal","2016","17-34","(noch) kein Abschluss","138","0.272133573840248","0.233954116983865","0.310313030696631"
"Manchmal","2016","17-34","Hauptschule","74","0.234192342692414","0.189440072870344","0.278944612514484"
"Manchmal","2016","17-34","Realschule","","","",""
"Manchmal","2016","17-34","(Fach-)Abitur","62","0.235356556254065","0.182558870649654","0.288154241858476"
"Manchmal","2016","17-34","AkademikerIn","52","0.154534211221014","0.113146194093366","0.195922228348662"
"Manchmal","2016","35-65","(noch) kein Abschluss","104","0.276261413645865","0.235750117056228","0.316772710235503"
"Manchmal","2016","35-65","Hauptschule","58","0.227776014871709","0.176300151526017","0.279251878217401"
"Manchmal","2016","35-65","Realschule","","","",""
"Manchmal","2016","35-65","(Fach-)Abitur","51","0.21086721231522","0.159995168403367","0.261739256227073"
"Manchmal","2016","35-65","AkademikerIn","60","0.260739544089628","0.208943601742894","0.312535486436362"
"Manchmal","2016","66 +","(noch) kein Abschluss","2","","",""
"Manchmal","2016","66 +","Hauptschule","2","","",""
"Manchmal","2016","66 +","Realschule","","","",""
"Manchmal","2016","66 +","(Fach-)Abitur","","","",""
"Manchmal","2016","66 +","AkademikerIn","1","","",""
"Selten","2016","17-34","(noch) kein Abschluss","80","0.152220663381109","0.121403613722296","0.183037713039922"
"Selten","2016","17-34","Hauptschule","50","0.152533476598178","0.114539676788878","0.190527276407478"
"Selten","2016","17-34","Realschule","1","","",""
"Selten","2016","17-34","(Fach-)Abitur","39","0.17815958084564","0.130536159783293","0.225783001907987"
"Selten","2016","17-34","AkademikerIn","75","0.243835462781475","0.194668784518224","0.293002141044727"
"Selten","2016","35-65","(noch) kein Abschluss","82","0.145942239105893","0.11395628654592","0.177928191665865"
"Selten","2016","35-65","Hauptschule","46","0.162745269512247","0.117438719521285","0.208051819503209"
"Selten","2016","35-65","Realschule","","","",""
"Selten","2016","35-65","(Fach-)Abitur","49","0.157428126119785","0.112008426650673","0.202847825588898"
"Selten","2016","35-65","AkademikerIn","46","0.169308460205668","0.125064624221937","0.213552296189399"
"Selten","2016","66 +","(noch) kein Abschluss","1","","",""
"Selten","2016","66 +","Hauptschule","","","",""
"Selten","2016","66 +","Realschule","","","",""
"Selten","2016","66 +","(Fach-)Abitur","","","",""
"Selten","2016","66 +","AkademikerIn","3","","",""
"Nie","2016","17-34","(noch) kein Abschluss","202","0.30423987652608","0.264771371681166","0.343708381370994"
"Nie","2016","17-34","Hauptschule","168","0.476259991329515","0.42348249367358","0.52903748898545"
"Nie","2016","17-34","Realschule","6","","",""
"Nie","2016","17-34","(Fach-)Abitur","106","0.408431129604778","0.347254672164312","0.469607587045245"
"Nie","2016","17-34","AkademikerIn","119","0.442863069054846","0.385986945721995","0.499739192387697"
"Nie","2016","35-65","(noch) kein Abschluss","180","0.344271885286882","0.301225385299616","0.387318385274149"
"Nie","2016","35-65","Hauptschule","108","0.355107527553389","0.29637190262113","0.413843152485648"
"Nie","2016","35-65","Realschule","1","","",""
"Nie","2016","35-65","(Fach-)Abitur","102","0.380049157003726","0.319515330371719","0.440582983635733"
"Nie","2016","35-65","AkademikerIn","119","0.404109748225273","0.346216708409198","0.462002788041349"
"Nie","2016","66 +","(noch) kein Abschluss","6","","",""
"Nie","2016","66 +","Hauptschule","","","",""
"Nie","2016","66 +","Realschule","","","",""
"Nie","2016","66 +","(Fach-)Abitur","","","",""
"Nie","2016","66 +","AkademikerIn","1","","",""
"Sehr oft","2017","17-34","(noch) kein Abschluss","27","","",""
"Sehr oft","2017","17-34","Hauptschule","31","0.0264970369882001","0.0176254253737286","0.0353686486026717"
"Sehr oft","2017","17-34","Realschule","13","","",""
"Sehr oft","2017","17-34","(Fach-)Abitur","21","","",""
"Sehr oft","2017","17-34","AkademikerIn","17","","",""
"Sehr oft","2017","35-65","(noch) kein Abschluss","30","0.0299973172249886","0.0167298230997295","0.0432648113502477"
"Sehr oft","2017","35-65","Hauptschule","79","0.0173702696478548","0.0132663001972422","0.0214742390984674"
"Sehr oft","2017","35-65","Realschule","43","0.0133339338060306","0.0100196765344331","0.0166481910776281"
"Sehr oft","2017","35-65","(Fach-)Abitur","37","0.0122648045734695","0.00785399727863749","0.0166756118683015"
"Sehr oft","2017","35-65","AkademikerIn","32","0.00496722389723416","0.00287248351639066","0.00706196427807766"
"Sehr oft","2017","66 +","(noch) kein Abschluss","5","","",""
"Sehr oft","2017","66 +","Hauptschule","19","","",""
"Sehr oft","2017","66 +","Realschule","10","","",""
"Sehr oft","2017","66 +","(Fach-)Abitur","2","","",""
"Sehr oft","2017","66 +","AkademikerIn","4","","",""
"Oft","2017","17-34","(noch) kein Abschluss","76","0.0708853549044504","0.0544269567345758","0.0873437530743249"
"Oft","2017","17-34","Hauptschule","93","0.0538430056252201","0.0413754453761858","0.0663105658742543"
"Oft","2017","17-34","Realschule","68","0.0638875637408031","0.0510313565778571","0.0767437709037492"
"Oft","2017","17-34","(Fach-)Abitur","71","0.021103087615816","0.0144261153820177","0.0277800598496143"
"Oft","2017","17-34","AkademikerIn","47","0.0263753249929234","0.017437963837044","0.0353126861488029"
"Oft","2017","35-65","(noch) kein Abschluss","85","0.135535446300753","0.108912184146305","0.162158708455202"
"Oft","2017","35-65","Hauptschule","216","0.0529001578976802","0.0458689125015087","0.0599314032938517"
"Oft","2017","35-65","Realschule","158","0.0301879929975404","0.0252439427831219","0.0351320432119589"
"Oft","2017","35-65","(Fach-)Abitur","87","0.0399704371531212","0.0321202636452724","0.0478206106609701"
"Oft","2017","35-65","AkademikerIn","98","0.0166037870334995","0.0127964398029805","0.0204111342640186"
"Oft","2017","66 +","(noch) kein Abschluss","6","","",""
"Oft","2017","66 +","Hauptschule","76","0.0358565879964771","0.0283819734846082","0.0433312025083461"
"Oft","2017","66 +","Realschule","13","","",""
"Oft","2017","66 +","(Fach-)Abitur","12","","",""
"Oft","2017","66 +","AkademikerIn","25","","",""
"Manchmal","2017","17-34","(noch) kein Abschluss","170","0.149352109013525","0.126493213234707","0.172211004792342"
"Manchmal","2017","17-34","Hauptschule","232","0.192640678973526","0.170856426691025","0.214424931256026"
"Manchmal","2017","17-34","Realschule","160","0.108254296356597","0.0919206264526518","0.124587966260542"
"Manchmal","2017","17-34","(Fach-)Abitur","208","0.096223915245465","0.0825242478186542","0.109923582672276"
"Manchmal","2017","17-34","AkademikerIn","121","0.0619777031073645","0.04853028427121","0.075425121943519"
"Manchmal","2017","35-65","(noch) kein Abschluss","117","0.217703604030237","0.185605476186294","0.24980173187418"
"Manchmal","2017","35-65","Hauptschule","524","0.122315416484921","0.112023038589497","0.132607794380344"
"Manchmal","2017","35-65","Realschule","422","0.0901803824063132","0.0819037120370035","0.0984570527756229"
"Manchmal","2017","35-65","(Fach-)Abitur","268","0.108239694229428","0.0957892499141246","0.120690138544732"
"Manchmal","2017","35-65","AkademikerIn","347","0.0718827475554718","0.0641866883401714","0.0795788067707722"
"Manchmal","2017","66 +","(noch) kein Abschluss","16","","",""
"Manchmal","2017","66 +","Hauptschule","234","0.11471131723781","0.101900433503352","0.127522200972269"
"Manchmal","2017","66 +","Realschule","61","0.0729155636656302","0.0562946869529415","0.0895364403783189"
"Manchmal","2017","66 +","(Fach-)Abitur","28","","",""
"Manchmal","2017","66 +","AkademikerIn","88","0.0875443068030408","0.0719013383481266","0.103187275257955"
"Selten","2017","17-34","(noch) kein Abschluss","179","0.200662129226812","0.174977544067","0.226346714386623"
"Selten","2017","17-34","Hauptschule","303","0.274772319624893","0.250114259800826","0.299430379448959"
"Selten","2017","17-34","Realschule","389","0.295083698007479","0.271107402826716","0.319059993188243"
"Selten","2017","17-34","(Fach-)Abitur","487","0.296069790026582","0.274861779043469","0.317277801009695"
"Selten","2017","17-34","AkademikerIn","313","0.238844977734181","0.215065121334177","0.262624834134185"
"Selten","2017","35-65","(noch) kein Abschluss","150","0.244183037985248","0.210769128503877","0.277596947466619"
"Selten","2017","35-65","Hauptschule","1075","0.270186289053189","0.256237273726848","0.28413530437953"
"Selten","2017","35-65","Realschule","1286","0.295740416500481","0.282553486609601","0.308927346391361"
"Selten","2017","35-65","(Fach-)Abitur","624","0.261317459896507","0.243710651652928","0.278924268140087"
"Selten","2017","35-65","AkademikerIn","1043","0.239011919162683","0.226304617196882","0.251719221128485"
"Selten","2017","66 +","(noch) kein Abschluss","18","","",""
"Selten","2017","66 +","Hauptschule","658","0.27252015372572","0.254620554962563","0.290419752488877"
"Selten","2017","66 +","Realschule","251","0.26447770907078","0.236282415493359","0.292673002648202"
"Selten","2017","66 +","(Fach-)Abitur","58","0.195365346538477","0.147985343601125","0.242745349475829"
"Selten","2017","66 +","AkademikerIn","328","0.245817622620098","0.221986526410652","0.269648718829544"
"Nie","2017","17-34","(noch) kein Abschluss","482","0.562606673555234","0.530793047729102","0.594420299381365"
"Nie","2017","17-34","Hauptschule","600","0.452246958788162","0.424754381650906","0.479739535925417"
"Nie","2017","17-34","Realschule","760","0.527202011353135","0.500955775309994","0.553448247396276"
"Nie","2017","17-34","(Fach-)Abitur","993","0.578095728087577","0.555153006691947","0.601038449483208"
"Nie","2017","17-34","AkademikerIn","737","0.665064726066306","0.638742233403872","0.69138721872874"
"Nie","2017","35-65","(noch) kein Abschluss","253","0.372580594458773","0.334975185370909","0.410186003546637"
"Nie","2017","35-65","Hauptschule","1999","0.537227866916355","0.521565090274398","0.552890643558313"
"Nie","2017","35-65","Realschule","2692","0.570557274289635","0.556254370309384","0.584860178269885"
"Nie","2017","35-65","(Fach-)Abitur","1376","0.578207604147474","0.558417012592583","0.597998195702365"
"Nie","2017","35-65","AkademikerIn","2807","0.667534322351111","0.653497627707246","0.681571016994976"
"Nie","2017","66 +","(noch) kein Abschluss","33","0.365411951760574","0.258546307614671","0.472277595906476"
"Nie","2017","66 +","Hauptschule","1390","0.568474605827062","0.548563645192753","0.588385566461371"
"Nie","2017","66 +","Realschule","605","0.639624140726526","0.608932194194274","0.670316087258778"
"Nie","2017","66 +","(Fach-)Abitur","169","0.620528565509086","0.562539997417338","0.678517133600833"
"Nie","2017","66 +","AkademikerIn","809","0.634163615051603","0.607504641017659","0.660822589085546"
"Sehr oft","2018","17-34","(noch) kein Abschluss","2","","",""
"Sehr oft","2018","17-34","Hauptschule","7","","",""
"Sehr oft","2018","17-34","Realschule","","","",""
"Sehr oft","2018","17-34","(Fach-)Abitur","2","","",""
"Sehr oft","2018","17-34","AkademikerIn","","","",""
"Sehr oft","2018","35-65","(noch) kein Abschluss","5","","",""
"Sehr oft","2018","35-65","Hauptschule","4","","",""
"Sehr oft","2018","35-65","Realschule","","","",""
"Sehr oft","2018","35-65","(Fach-)Abitur","1","","",""
"Sehr oft","2018","35-65","AkademikerIn","2","","",""
"Sehr oft","2018","66 +","(noch) kein Abschluss","1","","",""
"Sehr oft","2018","66 +","Hauptschule","","","",""
"Sehr oft","2018","66 +","Realschule","","","",""
"Sehr oft","2018","66 +","(Fach-)Abitur","","","",""
"Sehr oft","2018","66 +","AkademikerIn","","","",""
"Oft","2018","17-34","(noch) kein Abschluss","7","","",""
"Oft","2018","17-34","Hauptschule","2","","",""
"Oft","2018","17-34","Realschule","","","",""
"Oft","2018","17-34","(Fach-)Abitur","4","","",""
