,Unnamed: 0,year,bula_h,sampreg,marstat,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
48,48,1985,Hesse,West,Widowed,0.11412,58,9830,0.10274,0.1265
49,49,1985,"Rhineland-Palatinate, Saarland",West,Married,0.62859,470,9830,0.60208,0.64635
50,50,1985,"Rhineland-Palatinate, Saarland",West,Single,0.2261,170,9830,0.21237,0.2427
51,51,1985,"Rhineland-Palatinate, Saarland",West,Widowed,0.14531,67,9830,0.13391,0.15711
52,52,1985,Baden-Wuerttemberg,West,Married,0.5794,1245,9830,0.55836,0.60074
53,53,1985,Baden-Wuerttemberg,West,"Married, living apart",0.01928,41,9830,0.0149,0.02359
54,54,1985,Baden-Wuerttemberg,West,Single,0.2562,454,9830,0.24275,0.27002
55,55,1985,Baden-Wuerttemberg,West,Divorced,0.03941,52,9830,0.03341,0.04446
56,56,1985,Baden-Wuerttemberg,West,Widowed,0.10571,104,9830,0.09617,0.11357
57,57,1985,Bavaria,West,Married,0.61312,1133,9830,0.59768,0.62849
58,58,1985,Bavaria,West,Single,0.25658,413,9830,0.24479,0.26718
59,59,1985,Bavaria,West,Divorced,0.03206,41,9830,0.02846,0.03543
60,60,1985,Bavaria,West,Widowed,0.09824,102,9830,0.09055,0.10516
61,61,1985,Berlin,West,Married,0.62104,186,9830,0.5802,0.66971
62,62,1985,Berlin,West,Single,0.37896,85,9830,0.32585,0.42629
63,63,1986,Schleswig-Holstein,West,Married,0.71571,198,10140,0.67841,0.75127
64,64,1986,Schleswig-Holstein,West,Single,0.28429,76,10140,0.25656,0.30699
65,65,1986,Hamburg,West,Married,0.65035,142,10140,0.58618,0.70444
66,66,1986,Hamburg,West,Single,0.34965,56,10140,0.3031,0.39113
67,67,1986,Lower Saxony,West,Married,0.59684,687,10140,0.57696,0.61255
68,68,1986,Lower Saxony,West,Single,0.27119,297,10140,0.25373,0.28887
69,69,1986,Lower Saxony,West,Divorced,0.03578,34,10140,0.03051,0.04104
70,70,1986,Lower Saxony,West,Widowed,0.0962,68,10140,0.08561,0.10672
71,71,1986,Bremen,West,Married,1.0,65,10140,0.88147,1.10946
72,72,1986,North Rhine-Westphalia,West,Married,0.58858,1808,10140,0.57449,0.60332
73,73,1986,North Rhine-Westphalia,West,"Married, living apart",0.02468,80,10140,0.02096,0.02885
74,74,1986,North Rhine-Westphalia,West,Single,0.23799,673,10140,0.22662,0.24887
75,75,1986,North Rhine-Westphalia,West,Divorced,0.04222,95,10140,0.03825,0.04679
76,76,1986,North Rhine-Westphalia,West,Widowed,0.10653,160,10140,0.10004,0.1128
77,77,1986,Hesse,West,Married,0.61904,678,10140,0.58292,0.65526
78,78,1986,Hesse,West,Single,0.24261,241,10140,0.22368,0.26393
79,79,1986,Hesse,West,Divorced,0.03129,31,10140,0.0246,0.03832
80,80,1986,Hesse,West,Widowed,0.10706,53,10140,0.09384,0.12115
81,81,1986,"Rhineland-Palatinate, Saarland",West,Married,0.62272,481,10140,0.59868,0.64659
82,82,1986,"Rhineland-Palatinate, Saarland",West,Single,0.22688,176,10140,0.20889,0.24294
83,83,1986,"Rhineland-Palatinate, Saarland",West,Widowed,0.1504,67,10140,0.13637,0.1641
84,84,1986,Baden-Wuerttemberg,West,Married,0.59638,1273,10140,0.57184,0.61745
85,85,1986,Baden-Wuerttemberg,West,"Married, living apart",0.01721,44,10140,0.01312,0.02115
86,86,1986,Baden-Wuerttemberg,West,Single,0.24739,480,10140,0.23299,0.26268
87,87,1986,Baden-Wuerttemberg,West,Divorced,0.03826,54,10140,0.03238,0.04532
88,88,1986,Baden-Wuerttemberg,West,Widowed,0.10076,99,10140,0.09092,0.1103
89,89,1986,Bavaria,West,Married,0.60846,1151,10140,0.59009,0.62307
90,90,1986,Bavaria,West,"Married, living apart",0.01938,31,10140,0.01562,0.02349
91,91,1986,Bavaria,West,Single,0.24295,418,10140,0.23055,0.25409
92,92,1986,Bavaria,West,Divorced,0.03319,44,10140,0.02988,0.03725
93,93,1986,Bavaria,West,Widowed,0.09602,99,10140,0.08933,0.10309
94,94,1986,Berlin,West,Married,0.61375,192,10140,0.55826,0.66276
95,95,1986,Berlin,West,Single,0.38625,89,10140,0.33818,0.43477
96,96,1987,Schleswig-Holstein,West,Married,0.72991,203,10091,0.68939,0.77011
97,97,1987,Schleswig-Holstein,West,Single,0.27009,80,10091,0.23994,0.30436
98,98,1987,Hamburg,West,Married,0.68235,130,10091,0.61402,0.75216
99,99,1987,Hamburg,West,Single,0.31765,45,10091,0.26991,0.36605
100,100,1987,Lower Saxony,West,Married,0.60139,681,10091,0.57982,0.62096
101,101,1987,Lower Saxony,West,Single,0.26225,295,10091,0.24138,0.27948
102,102,1987,Lower Saxony,West,Divorced,0.03831,38,10091,0.03327,0.04376
103,103,1987,Lower Saxony,West,Widowed,0.09805,68,10091,0.0888,0.10786
104,104,1987,Bremen,West,Married,1.0,58,10091,0.88206,1.1176
105,105,1987,North Rhine-Westphalia,West,Married,0.58469,1785,10091,0.5731,0.60094
106,106,1987,North Rhine-Westphalia,West,"Married, living apart",0.01888,70,10091,0.01609,0.02202
107,107,1987,North Rhine-Westphalia,West,Single,0.23587,676,10091,0.22293,0.24727
108,108,1987,North Rhine-Westphalia,West,Divorced,0.0502,108,10091,0.04593,0.05473
109,109,1987,North Rhine-Westphalia,West,Widowed,0.11036,166,10091,0.10491,0.11522
110,110,1987,Hesse,West,Married,0.62918,693,10091,0.59432,0.65564
111,111,1987,Hesse,West,Single,0.23289,246,10091,0.21195,0.25399
112,112,1987,Hesse,West,Divorced,0.03449,35,10091,0.02758,0.04333
113,113,1987,Hesse,West,Widowed,0.10343,54,10091,0.08766,0.11785
114,114,1987,"Rhineland-Palatinate, Saarland",West,Married,0.61789,479,10091,0.59331,0.6434
115,115,1987,"Rhineland-Palatinate, Saarland",West,Single,0.23028,182,10091,0.21334,0.2459
116,116,1987,"Rhineland-Palatinate, Saarland",West,Widowed,0.15184,68,10091,0.13458,0.16784
117,117,1987,Baden-Wuerttemberg,West,Married,0.60364,1267,10091,0.57948,0.62688
118,118,1987,Baden-Wuerttemberg,West,"Married, living apart",0.01242,36,10091,0.00874,0.01623
119,119,1987,Baden-Wuerttemberg,West,Single,0.24249,475,10091,0.2259,0.25647
120,120,1987,Baden-Wuerttemberg,West,Divorced,0.03897,57,10091,0.03233,0.04585
121,121,1987,Baden-Wuerttemberg,West,Widowed,0.10247,103,10091,0.09342,0.11169
122,122,1987,Bavaria,West,Married,0.60534,1100,10091,0.58865,0.62043
123,123,1987,Bavaria,West,"Married, living apart",0.02236,38,10091,0.01825,0.0263
124,124,1987,Bavaria,West,Single,0.23833,418,10091,0.22559,0.25063
125,125,1987,Bavaria,West,Divorced,0.03688,47,10091,0.0325,0.04142
126,126,1987,Bavaria,West,Widowed,0.0971,104,10091,0.08991,0.10375
127,127,1987,Berlin,West,Married,0.62413,197,10091,0.5805,0.66529
128,128,1987,Berlin,West,Single,0.37587,89,10091,0.33177,0.42793
129,129,1988,Schleswig-Holstein,West,Married,0.75562,210,9653,0.71382,0.80501
130,130,1988,Schleswig-Holstein,West,Single,0.24438,73,9653,0.21393,0.27636
131,131,1988,Hamburg,West,Married,0.68967,113,9653,0.61103,0.76016
132,132,1988,Hamburg,West,Single,0.31033,42,9653,0.25042,0.36984
133,133,1988,Lower Saxony,West,Married,0.60328,646,9653,0.58136,0.62596
134,134,1988,Lower Saxony,West,Single,0.25704,270,9653,0.23963,0.27776
135,135,1988,Lower Saxony,West,Divorced,0.04097,37,9653,0.03439,0.04771
136,136,1988,Lower Saxony,West,Widowed,0.0987,65,9653,0.08773,0.10942
137,137,1988,Bremen,West,Married,1.0,59,9653,0.90612,1.11024
138,138,1988,North Rhine-Westphalia,West,Married,0.57499,1690,9653,0.55918,0.59046
139,139,1988,North Rhine-Westphalia,West,"Married, living apart",0.02013,69,9653,0.01677,0.02376
140,140,1988,North Rhine-Westphalia,West,Single,0.24533,662,9653,0.23259,0.25923
141,141,1988,North Rhine-Westphalia,West,Divorced,0.04873,96,9653,0.0435,0.05315
142,142,1988,North Rhine-Westphalia,West,Widowed,0.11082,160,9653,0.104,0.11832
143,143,1988,Hesse,West,Married,0.63783,666,9653,0.60388,0.66757
144,144,1988,Hesse,West,Single,0.22398,218,9653,0.20136,0.24818
145,145,1988,Hesse,West,Divorced,0.02723,32,9653,0.01958,0.03612
146,146,1988,Hesse,West,Widowed,0.11096,54,9653,0.0961,0.12336
147,147,1988,"Rhineland-Palatinate, Saarland",West,Married,0.63381,465,9653,0.60859,0.65921
148,148,1988,"Rhineland-Palatinate, Saarland",West,Single,0.22441,169,9653,0.20675,0.24281
149,149,1988,"Rhineland-Palatinate, Saarland",West,Widowed,0.14178,62,9653,0.12752,0.15489
150,150,1988,Baden-Wuerttemberg,West,Married,0.59589,1227,9653,0.57172,0.6161
151,151,1988,Baden-Wuerttemberg,West,"Married, living apart",0.02053,41,9653,0.01497,0.02578
152,152,1988,Baden-Wuerttemberg,West,Single,0.24881,464,9653,0.23045,0.26461
153,153,1988,Baden-Wuerttemberg,West,Divorced,0.03967,52,9653,0.03384,0.04674
154,154,1988,Baden-Wuerttemberg,West,Widowed,0.09511,94,9653,0.08593,0.10504
155,155,1988,Bavaria,West,Married,0.58655,1041,9653,0.5664,0.60824
156,156,1988,Bavaria,West,"Married, living apart",0.02398,37,9653,0.01974,0.0278
157,157,1988,Bavaria,West,Single,0.25252,408,9653,0.23619,0.26548
158,158,1988,Bavaria,West,Divorced,0.03707,44,9653,0.03228,0.04123
159,159,1988,Bavaria,West,Widowed,0.09988,104,9653,0.09162,0.10741
160,160,1988,Berlin,West,Married,0.51785,177,9653,0.46727,0.56083
161,161,1988,Berlin,West,Single,0.28441,75,9653,0.24555,0.32878
162,162,1988,Berlin,West,Widowed,0.19774,31,9653,0.16808,0.22895
163,163,1989,Schleswig-Holstein,West,Married,0.73341,194,9325,0.68332,0.78003
164,164,1989,Schleswig-Holstein,West,Single,0.26659,68,9325,0.23126,0.3057
165,165,1989,Hamburg,West,Married,0.63959,99,9325,0.54643,0.73293
166,166,1989,Hamburg,West,Single,0.36041,47,9325,0.30819,0.42171
167,167,1989,Lower Saxony,West,Married,0.59315,605,9325,0.56765,0.61739
168,168,1989,Lower Saxony,West,Single,0.25383,256,9325,0.2306,0.27507
169,169,1989,Lower Saxony,West,Divorced,0.0471,40,9325,0.03859,0.05504
170,170,1989,Lower Saxony,West,Widowed,0.10593,69,9325,0.09401,0.11744
171,171,1989,Bremen,West,Married,1.0,61,9325,0.8971,1.10264
172,172,1989,North Rhine-Westphalia,West,Married,0.58139,1641,9325,0.56477,0.59622
173,173,1989,North Rhine-Westphalia,West,"Married, living apart",0.01841,57,9325,0.01505,0.02165
174,174,1989,North Rhine-Westphalia,West,Single,0.24446,657,9325,0.23036,0.25766
175,175,1989,North Rhine-Westphalia,West,Divorced,0.05181,97,9325,0.04659,0.05802
176,176,1989,North Rhine-Westphalia,West,Widowed,0.10394,150,9325,0.09796,0.11022
177,177,1989,Hesse,West,Married,0.62273,650,9325,0.58382,0.66226
178,178,1989,Hesse,West,Single,0.22922,229,9325,0.20689,0.2534
179,179,1989,Hesse,West,Divorced,0.03824,38,9325,0.02919,0.05054
180,180,1989,Hesse,West,Widowed,0.10981,55,9325,0.09676,0.12073
181,181,1989,"Rhineland-Palatinate, Saarland",West,Married,0.62677,432,9325,0.59801,0.65917
182,182,1989,"Rhineland-Palatinate, Saarland",West,Single,0.23151,162,9325,0.20921,0.25398
183,183,1989,"Rhineland-Palatinate, Saarland",West,Widowed,0.14172,61,9325,0.12555,0.15773
184,184,1989,Baden-Wuerttemberg,West,Married,0.59842,1174,9325,0.57433,0.62426
185,185,1989,Baden-Wuerttemberg,West,"Married, living apart",0.02298,41,9325,0.01621,0.02987
186,186,1989,Baden-Wuerttemberg,West,Single,0.23636,433,9325,0.22045,0.25557
187,187,1989,Baden-Wuerttemberg,West,Divorced,0.04101,59,9325,0.03407,0.04926
188,188,1989,Baden-Wuerttemberg,West,Widowed,0.10123,97,9325,0.09044,0.11202
189,189,1989,Bavaria,West,Married,0.58146,1006,9325,0.56319,0.60726
190,190,1989,Bavaria,West,"Married, living apart",0.02312,34,9325,0.01887,0.02838
191,191,1989,Bavaria,West,Single,0.25504,410,9325,0.23751,0.27113
192,192,1989,Bavaria,West,Divorced,0.04476,50,9325,0.03853,0.04994
193,193,1989,Bavaria,West,Widowed,0.09562,98,9325,0.08898,0.10325
194,194,1989,Berlin,West,Married,0.62471,179,9325,0.56995,0.68914
195,195,1989,Berlin,West,Single,0.37529,76,9325,0.32037,0.42474
196,196,1990,Schleswig-Holstein,West,Married,0.71714,173,13402,0.6555,0.77792
197,197,1990,Schleswig-Holstein,West,Single,0.28286,65,13402,0.24787,0.31819
198,198,1990,Hamburg,West,Married,0.59117,82,13402,0.50847,0.6679
199,199,1990,Hamburg,West,Single,0.40883,41,13402,0.32012,0.49198
200,200,1990,Lower Saxony,West,Married,0.59786,593,13402,0.57616,0.61963
201,201,1990,Lower Saxony,West,Single,0.24567,248,13402,0.22673,0.26962
202,202,1990,Lower Saxony,West,Divorced,0.05762,47,13402,0.04993,0.06655
203,203,1990,Lower Saxony,West,Widowed,0.09885,64,13402,0.08813,0.11107
204,204,1990,Bremen,West,Married,1.0,66,13402,0.91127,1.09995
205,205,1990,North Rhine-Westphalia,West,Married,0.58328,1612,13402,0.57,0.60179
206,206,1990,North Rhine-Westphalia,West,"Married, living apart",0.02062,65,13402,0.0164,0.02454
207,207,1990,North Rhine-Westphalia,West,Single,0.24442,623,13402,0.22959,0.25683
208,208,1990,North Rhine-Westphalia,West,Divorced,0.05177,94,13402,0.0466,0.05759
209,209,1990,North Rhine-Westphalia,West,Widowed,0.0999,148,13402,0.09417,0.1065
210,210,1990,Hesse,West,Married,0.61905,638,13402,0.59062,0.65577
211,211,1990,Hesse,West,Single,0.23304,230,13402,0.21231,0.25274
212,212,1990,Hesse,West,Divorced,0.04037,39,13402,0.03117,0.04993
213,213,1990,Hesse,West,Widowed,0.10754,53,13402,0.09559,0.12175
214,214,1990,"Rhineland-Palatinate, Saarland",West,Married,0.63231,418,13402,0.60522,0.66153
215,215,1990,"Rhineland-Palatinate, Saarland",West,Single,0.22644,145,13402,0.20156,0.2517
216,216,1990,"Rhineland-Palatinate, Saarland",West,Widowed,0.14124,62,13402,0.12544,0.154
217,217,1990,Baden-Wuerttemberg,West,Married,0.59899,1166,13402,0.56933,0.62217
218,218,1990,Baden-Wuerttemberg,West,"Married, living apart",0.01731,35,13402,0.01219,0.02328
219,219,1990,Baden-Wuerttemberg,West,Single,0.24038,427,13402,0.21922,0.25734
220,220,1990,Baden-Wuerttemberg,West,Divorced,0.05057,63,13402,0.04163,0.05774
221,221,1990,Baden-Wuerttemberg,West,Widowed,0.09275,93,13402,0.08317,0.10327
222,222,1990,Bavaria,West,Married,0.59292,1011,13402,0.57098,0.61316
223,223,1990,Bavaria,West,Single,0.26363,401,13402,0.24834,0.27776
224,224,1990,Bavaria,West,Divorced,0.04333,44,13402,0.03722,0.04922
225,225,1990,Bavaria,West,Widowed,0.10012,103,13402,0.09128,0.10793
226,226,1990,Berlin,West,Married,0.6224,179,13402,0.56094,0.68061
227,227,1990,Berlin,West,Single,0.3776,80,13402,0.31966,0.43388
228,228,1990,Berlin,East,Married,0.62594,179,13402,0.60416,0.64845
229,229,1990,Berlin,East,Single,0.37406,72,13402,0.33869,0.42673
230,230,1990,Brandenburg,East,Married,0.62095,499,13402,0.60031,0.64296
231,231,1990,Brandenburg,East,Single,0.21227,140,13402,0.19893,0.2281
232,232,1990,Brandenburg,East,Divorced,0.08499,49,13402,0.07521,0.09487
233,233,1990,Brandenburg,East,Widowed,0.08179,37,13402,0.06989,0.09217
234,234,1990,Mecklenburg-Western Pomerania,East,Married,0.72409,339,13402,0.69386,0.75424
235,235,1990,Mecklenburg-Western Pomerania,East,Single,0.27591,112,13402,0.2502,0.29842
236,236,1990,Saxony,East,Married,0.66752,955,13402,0.65334,0.68367
237,237,1990,Saxony,East,Single,0.1633,206,13402,0.15381,0.173
238,238,1990,Saxony,East,Divorced,0.05742,67,13402,0.05162,0.06221
239,239,1990,Saxony,East,Widowed,0.11175,95,13402,0.1026,0.12086
240,240,1990,Saxony-Anhalt,East,Married,0.63651,565,13402,0.61736,0.66286
241,241,1990,Saxony-Anhalt,East,Single,0.16372,128,13402,0.15159,0.17755
242,242,1990,Saxony-Anhalt,East,Divorced,0.08966,53,13402,0.07506,0.10433
243,243,1990,Saxony-Anhalt,East,Widowed,0.11011,56,13402,0.09797,0.12074
244,244,1990,Thuringa,East,Married,0.65173,523,13402,0.63134,0.67616
245,245,1990,Thuringa,East,Single,0.19064,130,13402,0.17106,0.20568
246,246,1990,Thuringa,East,Divorced,0.07565,48,13402,0.06575,0.0856
247,247,1990,Thuringa,East,Widowed,0.08197,41,13402,0.07179,0.09146
248,248,1991,Schleswig-Holstein,West,Married,0.70888,183,13132,0.65216,0.75895
249,249,1991,Schleswig-Holstein,West,Single,0.29112,75,13132,0.25507,0.33077
250,250,1991,Hamburg,West,Married,0.61149,80,13132,0.51985,0.69073
251,251,1991,Hamburg,West,Single,0.38851,37,13132,0.29825,0.4635
252,252,1991,Lower Saxony,West,Married,0.59455,594,13132,0.57088,0.61749
253,253,1991,Lower Saxony,West,Single,0.25243,247,13132,0.23299,0.27484
254,254,1991,Lower Saxony,West,Divorced,0.06155,49,13132,0.05215,0.0702
255,255,1991,Lower Saxony,West,Widowed,0.09148,60,13132,0.08037,0.10208
256,256,1991,Bremen,West,Married,1.0,58,13132,0.9004,1.09283
257,257,1991,North Rhine-Westphalia,West,Married,0.57796,1608,13132,0.56205,0.59818
258,258,1991,North Rhine-Westphalia,West,"Married, living apart",0.01997,58,13132,0.01644,0.02316
259,259,1991,North Rhine-Westphalia,West,Single,0.24023,620,13132,0.22489,0.25319
260,260,1991,North Rhine-Westphalia,West,Divorced,0.05654,100,13132,0.05059,0.06244
261,261,1991,North Rhine-Westphalia,West,Widowed,0.1053,147,13132,0.09856,0.11166
262,262,1991,Hesse,West,Married,0.60856,631,13132,0.57611,0.63826
263,263,1991,Hesse,West,Single,0.2282,221,13132,0.20542,0.2511
264,264,1991,Hesse,West,Divorced,0.04652,43,13132,0.03811,0.0548
265,265,1991,Hesse,West,Widowed,0.11672,56,13132,0.10208,0.13261
266,266,1991,"Rhineland-Palatinate, Saarland",West,Married,0.63244,412,13132,0.60785,0.66036
267,267,1991,"Rhineland-Palatinate, Saarland",West,Single,0.21979,145,13132,0.19869,0.2473
268,268,1991,"Rhineland-Palatinate, Saarland",West,Widowed,0.14777,63,13132,0.13043,0.16693
269,269,1991,Baden-Wuerttemberg,West,Married,0.60788,1171,13132,0.58197,0.63966
270,270,1991,Baden-Wuerttemberg,West,"Married, living apart",0.02143,44,13132,0.0151,0.02745
271,271,1991,Baden-Wuerttemberg,West,Single,0.229,419,13132,0.21357,0.24566
272,272,1991,Baden-Wuerttemberg,West,Divorced,0.04644,62,13132,0.03948,0.05365
273,273,1991,Baden-Wuerttemberg,West,Widowed,0.09524,92,13132,0.08509,0.10423
274,274,1991,Bavaria,West,Married,0.60084,1017,13132,0.5828,0.62011
275,275,1991,Bavaria,West,Single,0.25203,395,13132,0.23625,0.26443
276,276,1991,Bavaria,West,Divorced,0.05,54,13132,0.0432,0.05639
277,277,1991,Bavaria,West,Widowed,0.09714,95,13132,0.08741,0.10649
278,278,1991,Berlin,West,Married,0.61941,184,13132,0.56167,0.66715
279,279,1991,Berlin,West,Single,0.38059,85,13132,0.32954,0.43534
280,280,1991,Berlin,East,Married,0.63614,167,13132,0.60292,0.67382
281,281,1991,Berlin,East,Single,0.36386,63,13132,0.3066,0.42108
282,282,1991,Brandenburg,East,Married,0.61771,469,13132,0.59623,0.6384
283,283,1991,Brandenburg,East,Single,0.20279,125,13132,0.18286,0.22388
284,284,1991,Brandenburg,East,Divorced,0.08357,40,13132,0.07158,0.09449
285,285,1991,Brandenburg,East,Widowed,0.09593,42,13132,0.08157,0.1095
286,286,1991,Mecklenburg-Western Pomerania,East,Married,0.75188,327,13132,0.71835,0.77924
287,287,1991,Mecklenburg-Western Pomerania,East,Single,0.24812,92,13132,0.22325,0.27474
288,288,1991,Saxony,East,Married,0.64602,867,13132,0.62936,0.66304
289,289,1991,Saxony,East,Single,0.17963,212,13132,0.16685,0.19281
290,290,1991,Saxony,East,Divorced,0.05948,58,13132,0.05325,0.06601
291,291,1991,Saxony,East,Widowed,0.11487,85,13132,0.10169,0.1299
292,292,1991,Saxony-Anhalt,East,Married,0.64713,560,13132,0.62225,0.67431
293,293,1991,Saxony-Anhalt,East,Single,0.16652,134,13132,0.15178,0.18334
294,294,1991,Saxony-Anhalt,East,Divorced,0.08478,49,13132,0.0685,0.10214
295,295,1991,Saxony-Anhalt,East,Widowed,0.10157,44,13132,0.08784,0.11343
296,296,1991,Thuringa,East,Married,0.62488,481,13132,0.60135,0.64607
297,297,1991,Thuringa,East,Single,0.19971,128,13132,0.18028,0.22164
298,298,1991,Thuringa,East,Divorced,0.08086,46,13132,0.06646,0.09146
299,299,1991,Thuringa,East,Widowed,0.09455,38,13132,0.08181,0.10793
300,300,1992,Schleswig-Holstein,West,Married,0.73619,176,12875,0.67957,0.78968
301,301,1992,Schleswig-Holstein,West,Single,0.26381,60,12875,0.22969,0.29473
302,302,1992,Hamburg,West,Married,1.0,80,12875,0.8745,1.14042
303,303,1992,Lower Saxony,West,Married,0.60535,606,12875,0.57748,0.63193
304,304,1992,Lower Saxony,West,Single,0.23106,230,12875,0.21104,0.25384
305,305,1992,Lower Saxony,West,Divorced,0.06678,50,12875,0.05667,0.0757
306,306,1992,Lower Saxony,West,Widowed,0.09681,62,12875,0.08382,0.1085
307,307,1992,Bremen,West,Married,1.0,53,12875,0.9292,1.07636
308,308,1992,North Rhine-Westphalia,West,Married,0.58182,1596,12875,0.56202,0.59757
309,309,1992,North Rhine-Westphalia,West,"Married, living apart",0.02163,55,12875,0.0173,0.02639
310,310,1992,North Rhine-Westphalia,West,Single,0.23518,603,12875,0.22087,0.24886
311,311,1992,North Rhine-Westphalia,West,Divorced,0.05323,102,12875,0.04836,0.06027
312,312,1992,North Rhine-Westphalia,West,Widowed,0.10814,152,12875,0.1006,0.11562
313,313,1992,Hesse,West,Married,0.60823,617,12875,0.57932,0.64022
314,314,1992,Hesse,West,Single,0.23647,229,12875,0.20909,0.25987
315,315,1992,Hesse,West,Divorced,0.04703,40,12875,0.03524,0.05825
316,316,1992,Hesse,West,Widowed,0.10827,52,12875,0.09156,0.12089
317,317,1992,"Rhineland-Palatinate, Saarland",West,Married,0.64158,410,12875,0.61,0.67739
318,318,1992,"Rhineland-Palatinate, Saarland",West,Single,0.21363,139,12875,0.18871,0.2373
319,319,1992,"Rhineland-Palatinate, Saarland",West,Widowed,0.14479,60,12875,0.1281,0.16034
320,320,1992,Baden-Wuerttemberg,West,Married,0.60552,1135,12875,0.57876,0.62893
321,321,1992,Baden-Wuerttemberg,West,"Married, living apart",0.01781,39,12875,0.01187,0.02492
322,322,1992,Baden-Wuerttemberg,West,Single,0.23519,430,12875,0.21889,0.25443
323,323,1992,Baden-Wuerttemberg,West,Divorced,0.05347,68,12875,0.04382,0.06157
324,324,1992,Baden-Wuerttemberg,West,Widowed,0.088,82,12875,0.07766,0.09904
325,325,1992,Bavaria,West,Married,0.59743,1059,12875,0.57729,0.61804
326,326,1992,Bavaria,West,"Married, living apart",0.02363,36,12875,0.01807,0.02889
