year,bula_h,regtyp,ple0015,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2015,Baden-Wuerttemberg,Rural regions,No,1.0,318,24816,1.0,1.0
2015,Bavaria,Urban regions,Yes,0.06248429347216444,89,24816,0.06226901386237383,0.06269957308195506
2015,Bavaria,Urban regions,No,0.9375157065278357,1717,24816,0.937300426918045,0.9377309861376263
2015,Bavaria,Rural regions,Yes,0.03558672587071023,71,24816,0.035426625295793907,0.03574682644562656
2015,Bavaria,Rural regions,No,0.9644132741292898,2150,24816,0.9642531735543735,0.9645733747042061
2015,Berlin,Urban regions,Yes,0.07695098065302043,51,24816,0.07663519904721629,0.07726676225882458
2015,Berlin,Urban regions,No,0.9230490193469796,861,24816,0.9227332377411754,0.9233648009527837
2015,Brandenburg,Urban regions,No,1.0,69,24816,1.0,1.0
2015,Brandenburg,Rural regions,Yes,0.07442144112411676,47,24816,0.07404788897263845,0.07479499327559508
2015,Brandenburg,Rural regions,No,0.9255785588758833,861,24816,0.925205006724405,0.9259521110273615
2015,Mecklenburg-Western Pomerania,Urban regions,No,1.0,66,24816,1.0,1.0
2015,Mecklenburg-Western Pomerania,Rural regions,Yes,0.08904237070172616,31,24816,0.08852883512444272,0.0895559062790096
2015,Mecklenburg-Western Pomerania,Rural regions,No,0.910957629298274,459,24816,0.9104440937209906,0.9114711648755573
2015,Saxony,Urban regions,Yes,0.039571328606155434,34,24816,0.0392907224548343,0.039851934757476566
2015,Saxony,Urban regions,No,0.9604286713938447,770,24816,0.9601480652425236,0.9607092775451658
2015,Saxony,Rural regions,No,1.0,681,24816,1.0,1.0
2015,Saxony-Anhalt,Urban regions,No,1.0,195,24816,1.0,1.0
2015,Saxony-Anhalt,Rural regions,Yes,0.08362962197527181,39,24816,0.08317602769161389,0.08408321625892973
2015,Saxony-Anhalt,Rural regions,No,0.9163703780247282,639,24816,0.9159167837410703,0.9168239723083861
2015,Thuringa,Urban regions,No,1.0,274,24816,1.0,1.0
2015,Thuringa,Rural regions,No,1.0,601,24816,1.0,1.0
2017,Schleswig-Holstein,Urban regions,No,1.0,275,26354,1.0,1.0
2017,Schleswig-Holstein,Rural regions,Yes,0.03714005759230293,31,26354,0.03685241623570452,0.03742769894890135
2017,Schleswig-Holstein,Rural regions,No,0.9628599424076971,628,26354,0.9625723010510987,0.9631475837642955
2017,Hamburg,Urban regions,No,1.0,437,26354,1.0,1.0
2017,Lower Saxony,Urban regions,Yes,0.0446054878643546,41,26354,0.04436351318046297,0.04484746254824623
2017,Lower Saxony,Urban regions,No,0.9553945121356454,1068,26354,0.9551525374517538,0.9556364868195371
2017,Lower Saxony,Rural regions,Yes,0.05540444605367411,85,26354,0.05517467201097595,0.05563422009637227
2017,Lower Saxony,Rural regions,No,0.9445955539463259,1503,26354,0.9443657799036277,0.9448253279890241
2017,Bremen,Urban regions,No,1.0,210,26354,1.0,1.0
2017,North Rhine-Westphalia,Urban regions,Yes,0.05902503733733941,279,26354,0.05890351350999663,0.059146561164682185
2017,North Rhine-Westphalia,Urban regions,No,0.9409749626626607,5129,26354,0.9408534388353179,0.9410964864900034
2017,North Rhine-Westphalia,Rural regions,No,1.0,114,26354,1.0,1.0
2017,Hesse,Urban regions,Yes,0.03272528455368529,50,26354,0.03255369388971679,0.0328968752176538
2017,Hesse,Urban regions,No,0.9672747154463147,1385,26354,0.9671031247823462,0.9674463061102833
2017,Hesse,Rural regions,No,1.0,342,26354,1.0,1.0
2017,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.05834985320135579,62,26354,0.058087990544131225,0.05861171585858036
2017,"Rhineland-Palatinate, Saarland",Urban regions,No,0.9416501467986442,1054,26354,0.9413882841414196,0.9419120094558688
2017,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,384,26354,1.0,1.0
2017,Baden-Wuerttemberg,Urban regions,Yes,0.058374058657217634,131,26354,0.058212611182752595,0.05853550613168267
2017,Baden-Wuerttemberg,Urban regions,No,0.9416259413427824,2549,26354,0.9414644938683174,0.9417873888172474
2017,Baden-Wuerttemberg,Rural regions,No,1.0,322,26354,1.0,1.0
2017,Bavaria,Urban regions,Yes,0.061398735691979824,90,26354,0.061188810853506734,0.06160866053045291
2017,Bavaria,Urban regions,No,0.9386012643080202,1823,26354,0.9383913394695471,0.9388111891464932
2017,Bavaria,Rural regions,Yes,0.043230494417694165,92,26354,0.0430587341096306,0.04340225472575773
2017,Bavaria,Rural regions,No,0.9567695055823057,2206,26354,0.9565977452742421,0.9569412658903692
2017,Berlin,Urban regions,Yes,0.06312823391750315,60,26354,0.06285035169442554,0.06340611614058075
2017,Berlin,Urban regions,No,0.9368717660824968,929,26354,0.9365938838594192,0.9371496483055743
2017,Brandenburg,Urban regions,No,1.0,85,26354,1.0,1.0
2017,Brandenburg,Rural regions,Yes,0.08985583321727297,55,26354,0.08944334156308806,0.09026832487145789
2017,Brandenburg,Rural regions,No,0.910144166782727,889,26354,0.9097316751285421,0.9105566584369119
2017,Mecklenburg-Western Pomerania,Urban regions,No,1.0,77,26354,1.0,1.0
2017,Mecklenburg-Western Pomerania,Rural regions,No,1.0,468,26354,1.0,1.0
2017,Saxony,Urban regions,Yes,0.047028090128380114,43,26354,0.04672391723992104,0.04733226301683919
2017,Saxony,Urban regions,No,0.9529719098716198,838,26354,0.9526677369831608,0.9532760827600789
2017,Saxony,Rural regions,No,1.0,742,26354,1.0,1.0
