year,bula_h,sampreg,hlf0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Schleswig-Holstein,West,No,0.23684,121,402,0.19522,0.27845
2011,Hamburg,West,Yes,0.67695,148,193,0.61080,0.74310
2011,Hamburg,West,No,0.22857,45,193,0.16917,0.28796
2011,Lower Saxony,West,Yes,0.69224,826,1075,0.66463,0.71984
2011,Lower Saxony,West,No,0.21973,249,1075,0.19497,0.24449
2011,Bremen,West,Yes,0.60623,56,56,0.47711,0.73536
2011,North Rhine-Westphalia,West,Yes,0.66558,1724,2343,0.64648,0.68469
2011,North Rhine-Westphalia,West,No,0.25086,619,2343,0.23330,0.26841
2011,Hesse,West,Yes,0.67768,613,823,0.64573,0.70963
2011,Hesse,West,No,0.22867,210,823,0.19996,0.25738
2011,"Rhineland-Palatinate, Saarland",West,Yes,0.63197,489,708,0.59642,0.66752
2011,"Rhineland-Palatinate, Saarland",West,No,0.29109,219,708,0.25761,0.32458
2011,Baden-Wuerttemberg,West,Yes,0.69760,1062,1394,0.67348,0.72172
2011,Baden-Wuerttemberg,West,No,0.21642,332,1394,0.19479,0.23804
2011,Bavaria,West,Yes,0.69183,1416,1827,0.67065,0.71301
2011,Bavaria,West,No,0.22405,411,1827,0.20492,0.24317
2011,Berlin,West,Yes,0.53094,172,284,0.47279,0.58908
2011,Berlin,West,No,0.37914,112,284,0.32261,0.43567
2011,Berlin,East,Yes,0.56057,146,223,0.49529,0.62586
2011,Berlin,East,No,0.36445,77,223,0.30114,0.42776
2011,Brandenburg,East,Yes,0.62856,360,515,0.58679,0.67034
2011,Brandenburg,East,No,0.28730,155,515,0.24818,0.32642
2011,Mecklenburg-Western Pomerania,East,Yes,0.57890,202,311,0.52393,0.63386
2011,Mecklenburg-Western Pomerania,East,No,0.33090,109,311,0.27852,0.38328
2011,Saxony,East,Yes,0.66017,584,802,0.62737,0.69297
2011,Saxony,East,No,0.26568,218,802,0.23509,0.29627
2011,Saxony-Anhalt,East,Yes,0.61391,341,509,0.57157,0.65625
2011,Saxony-Anhalt,East,No,0.31487,168,509,0.27448,0.35526
2011,Thuringa,East,Yes,0.62961,352,518,0.58798,0.67124
2011,Thuringa,East,No,0.29263,166,518,0.25341,0.33185
2013,Schleswig-Holstein,West,Yes,0.63910,297,468,0.59554,0.68266
2013,Schleswig-Holstein,West,No,0.28572,171,468,0.24474,0.32669
2013,Hamburg,West,Yes,0.63243,179,270,0.57481,0.69005
2013,Hamburg,West,No,0.29835,91,270,0.24367,0.35303
2013,Lower Saxony,West,Yes,0.67205,870,1231,0.64581,0.69828
2013,Lower Saxony,West,No,0.24816,361,1231,0.22402,0.27230
2013,Bremen,West,Yes,0.61690,64,105,0.52347,0.71033
2013,Bremen,West,No,0.29325,41,105,0.20575,0.38074
2013,North Rhine-Westphalia,West,Yes,0.66602,1906,2826,0.64863,0.68342
2013,North Rhine-Westphalia,West,No,0.26775,920,2826,0.25142,0.28407
2013,Hesse,West,Yes,0.65725,697,1031,0.62826,0.68624
2013,Hesse,West,No,0.27116,334,1031,0.24401,0.29831
2013,"Rhineland-Palatinate, Saarland",West,Yes,0.67546,567,831,0.64361,0.70732
2013,"Rhineland-Palatinate, Saarland",West,No,0.25509,264,831,0.22543,0.28475
2013,Baden-Wuerttemberg,West,Yes,0.72131,1172,1630,0.69954,0.74308
2013,Baden-Wuerttemberg,West,No,0.21400,458,1630,0.19408,0.23391
2013,Bavaria,West,Yes,0.68270,1576,2204,0.66327,0.70214
2013,Bavaria,West,No,0.24962,628,2204,0.23155,0.26769
2013,Berlin,West,Yes,0.57246,233,392,0.52342,0.62150
2013,Berlin,West,No,0.37972,159,392,0.33162,0.42783
2013,Berlin,East,Yes,0.55147,147,231,0.48720,0.61575
2013,Berlin,East,No,0.37182,84,231,0.30936,0.43428
2013,Brandenburg,East,Yes,0.63131,361,522,0.58988,0.67274
2013,Brandenburg,East,No,0.29288,161,522,0.25381,0.33196
2013,Mecklenburg-Western Pomerania,East,Yes,0.61233,195,299,0.55701,0.66765
2013,Mecklenburg-Western Pomerania,East,No,0.32246,104,299,0.26939,0.37553
2013,Saxony,East,Yes,0.64503,593,826,0.61237,0.67768
2013,Saxony,East,No,0.28578,233,826,0.25495,0.31661
2013,Saxony-Anhalt,East,Yes,0.66773,341,503,0.62652,0.70893
2013,Saxony-Anhalt,East,No,0.26638,162,503,0.22771,0.30505
2013,Thuringa,East,Yes,0.65238,346,493,0.61030,0.69446
2013,Thuringa,East,No,0.27773,147,493,0.23816,0.31731
2015,Schleswig-Holstein,West,Yes,0.69424,332,547,0.65560,0.73289
2015,Schleswig-Holstein,West,No,0.30424,215,547,0.26565,0.34283
2015,Hamburg,West,Yes,0.77012,199,281,0.72084,0.81941
2015,Hamburg,West,No,0.22422,82,281,0.17537,0.27307
2015,Lower Saxony,West,Yes,0.72540,1004,1479,0.70264,0.74815
2015,Lower Saxony,West,No,0.26539,475,1479,0.24287,0.28790
2015,Bremen,West,Yes,0.72035,66,116,0.63832,0.80238
2015,Bremen,West,No,0.24705,50,116,0.16822,0.32588
2015,North Rhine-Westphalia,West,Yes,0.69954,2093,3190,0.68363,0.71545
2015,North Rhine-Westphalia,West,No,0.29318,1097,3190,0.27738,0.30898
2015,Hesse,West,Yes,0.71192,775,1124,0.68543,0.73841
2015,Hesse,West,No,0.28535,349,1124,0.25894,0.31176
2015,"Rhineland-Palatinate, Saarland",West,Yes,0.69632,604,916,0.66652,0.72612
2015,"Rhineland-Palatinate, Saarland",West,No,0.28480,312,916,0.25556,0.31404
2015,Baden-Wuerttemberg,West,Yes,0.76196,1279,1815,0.74236,0.78155
2015,Baden-Wuerttemberg,West,No,0.23071,536,1815,0.21132,0.25009
2015,Bavaria,West,Yes,0.75098,1863,2570,0.73425,0.76770
2015,Bavaria,West,No,0.24205,707,2570,0.22549,0.25861
2015,Berlin,West,Yes,0.64853,229,367,0.59961,0.69744
2015,Berlin,West,No,0.34872,138,367,0.29990,0.39755
2015,Berlin,East,Yes,0.61192,174,280,0.55474,0.66910
2015,Berlin,East,No,0.38589,106,280,0.32877,0.44301
2015,Brandenburg,East,Yes,0.72251,408,602,0.68671,0.75831
2015,Brandenburg,East,No,0.27121,194,602,0.23567,0.30676
2015,Mecklenburg-Western Pomerania,East,Yes,0.64505,216,350,0.59485,0.69526
2015,Mecklenburg-Western Pomerania,East,No,0.34840,134,350,0.29841,0.39839
2015,Saxony,East,Yes,0.68720,635,909,0.65705,0.71736
2015,Saxony,East,No,0.29505,274,909,0.26539,0.32472
2015,Saxony-Anhalt,East,Yes,0.65233,337,541,0.61216,0.69250
2015,Saxony-Anhalt,East,No,0.34024,204,541,0.30028,0.38020
2015,Thuringa,East,Yes,0.63938,383,577,0.60017,0.67859
2015,Thuringa,East,No,0.35610,194,577,0.31699,0.39520
