year,bula_h,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1986,Bremen,weiblich,0.21484003259507575,0.0733088646038906,0.35637120058626093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0
1986,Nordrhein-Westfalen,maennlich,0.7219035856051556,0.6649733068648266,0.7788338643454845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1383.0
1986,Nordrhein-Westfalen,weiblich,0.2598767613338067,0.2256132306247142,0.2941402920428992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1401.0
1986,Hessen,maennlich,0.6852780779359053,0.5945224777753464,0.7760336780964643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0
1986,Hessen,weiblich,0.41205771183324635,0.33796004773712907,0.48615537592936364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0
1986,"Rheinland-Pfalz,Saarland",maennlich,0.6526853454615137,0.5435959734847967,0.7617747174382307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0
1986,"Rheinland-Pfalz,Saarland",weiblich,0.2837389047687789,0.2236037577461097,0.3438740517914481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0
1986,Baden-Wuerttemberg,maennlich,0.6264055708918156,0.5591627811286903,0.6936483606549408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.0
1986,Baden-Wuerttemberg,weiblich,0.27675700838308936,0.2347988908345179,0.3187151259316608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957.0
1986,Bayern,maennlich,0.837406894576313,0.7520848434968951,0.9227289456557309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.0
1986,Bayern,weiblich,0.3709774097882283,0.3185189165021076,0.423435903074349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.0
