year,bula_h,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1990,"Rhineland-Palatinate, Saarland",West,673,0.009781076674443263,0.0021764931459215967,0.01738566020296493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Baden-Wuerttemberg,West,1791,0.031211124669595185,0.023920502966904456,0.038501746372285914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Bavaria,West,1599,0.03247374476822616,0.021480201259308024,0.0434672882771443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Berlin,West,326,0.024821634283832196,0.006331744636772666,0.04331152393089173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Berlin,East,296,0.7360819803149343,0.6052235983664047,0.8669403622634639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Brandenburg,East,728,1.1772527840285818,1.0730491075439998,1.2814564605131638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Mecklenburg-Western Pomerania,East,502,1.0115258057308727,0.8955529700973544,1.127498641364391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Saxony,East,1335,0.6726506513262848,0.6131267443794881,0.7321745582730814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Saxony-Anhalt,East,808,0.7437230558633092,0.667798165803633,0.8196479459229854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,Thuringa,East,741,0.8404553989028498,0.7545728647118665,0.9263379330938332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,Schleswig-Holstein,West,,,,,,,,,,,,
1991,Hamburg,West,,,,,,,,,,,,
1991,Lower Saxony,West,,,,,,,,,,,,
1991,Bremen,West,,,,,,,,,,,,
1991,North Rhine-Westphalia,West,,,,,,,,,,,,
1991,Hesse,West,,,,,,,,,,,,
1991,"Rhineland-Palatinate, Saarland",West,,,,,,,,,,,,
1991,Baden-Wuerttemberg,West,,,,,,,,,,,,
1991,Bavaria,West,,,,,,,,,,,,
1991,Berlin,West,,,,,,,,,,,,
1991,Berlin,East,,,,,,,,,,,,
1991,Brandenburg,East,,,,,,,,,,,,
1991,Mecklenburg-Western Pomerania,East,,,,,,,,,,,,
1991,Saxony,East,,,,,,,,,,,,
1991,Saxony-Anhalt,East,,,,,,,,,,,,
1991,Thuringa,East,,,,,,,,,,,,
1992,Schleswig-Holstein,West,256,0.4267150701946774,0.3290035848656442,0.5244265555237106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Hamburg,West,139,0.2536420538758695,0.14884716161251893,0.3584369461392201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Lower Saxony,West,910,0.6689703527717739,0.6012561731479649,0.7366845323955828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Bremen,West,87,0.23134345320027114,0.10416058539624679,0.3585263210042955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,North Rhine-Westphalia,West,2366,0.5078342157834683,0.4724282719005464,0.5432401596663903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Hesse,West,911,0.556029159112403,0.49466115729191035,0.6173971609328957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,"Rhineland-Palatinate, Saarland",West,624,0.44201566201500564,0.3749593060622482,0.509072017967763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Baden-Wuerttemberg,West,1622,0.3814966112258947,0.34421133927077063,0.4187818831810187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Bavaria,West,1511,0.5955399355174888,0.5449612591209632,0.6461186119140145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Berlin,West,297,0.5842032717247353,0.46319996778958683,0.7052065756598838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Berlin,East,239,0.7275683347590931,0.6000345477140172,0.855102121804169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
