year,migback,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1988,Indirect migration background,2nd Quintile,57,1.5857063814622714,1.4365203896493361,1.7348923732752066,1.0,1.0,2.0,0.0,3.5,1.0,0.0,1.0
1988,Indirect migration background,3rd Quintile,41,2.378397071937683,2.0891424824095686,2.6676516614657975,1.025450972365554,2.0,3.0,0.0,5.961823541451669,2.0,1.0,2.0
1988,Indirect migration background,4th Quintile,38,2.1583983452907316,1.7916659706003029,2.5251307199811603,1.0,2.0,2.0,0.0,3.5,2.0,2.0,3.0
1988,Indirect migration background,5th Quintile,,,,,,,,,,,,
1989,No migration background,1st Quintile,1056,3.0863732109107445,3.0137388689912337,3.1590075528302552,1.0,3.0,4.0,0.0,8.5,3.0,3.0,4.0
1989,No migration background,2nd Quintile,1187,2.9242750304378813,2.853796947175194,2.9947531137005687,1.0,2.0,5.0,0.0,11.0,2.0,2.0,2.0
1989,No migration background,3rd Quintile,1350,2.613930281103721,2.5517646615612093,2.676095900646233,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1989,No migration background,4th Quintile,1496,2.470502185865133,2.410465422356614,2.5305389493736516,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1989,No migration background,5th Quintile,1577,2.1370809920875575,2.0884333066502867,2.1857286775248284,1.0,1.0,3.0,0.0,6.0,1.0,0.0,1.0
1989,Direct migration background,1st Quintile,758,3.1157289513693747,3.021681672242624,3.2097762304961255,1.0,2.0,5.0,0.0,11.0,2.0,1.0,2.0
1989,Direct migration background,2nd Quintile,662,2.8551507971463868,2.7626909734799545,2.947610620812819,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1989,Direct migration background,3rd Quintile,456,2.5871890206871964,2.490919816526556,2.6834582248478367,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1989,Direct migration background,4th Quintile,450,2.571166963112884,2.462073592736716,2.680260333489052,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
