year,migback,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1994,Indirect migration background,male,157,3.35289,2.43415,4.27164,0.58300,1.50000,3.54730,0.0,7.99375,1.5,1.00000,2.33300
1994,Indirect migration background,female,133,3.65364,2.95739,4.34989,0.85754,1.77625,5.50000,0.0,12.46369,1.75,1.50000,3.00418
1995,No migration background,male,3358,11.28451,10.91356,11.65545,2.50000,6.66700,18.50000,0.0,42.50000,6.667,6.25000,7.50000
1995,No migration background,female,2638,8.36519,8.03313,8.69726,2.00000,4.75000,13.03392,0.0,29.58481,4.75,4.33300,5.08300
1995,Direct migration background,male,951,9.39681,8.82352,9.97011,2.25000,5.66700,14.83300,0.0,33.70750,5.667,4.75000,7.33300
1995,Direct migration background,female,590,6.91144,6.31984,7.50304,1.58300,4.41700,9.58300,0.0,21.58300,4.417,3.57675,4.91700
1995,Indirect migration background,male,163,3.56118,2.61172,4.51065,0.58300,1.50000,3.36687,0.0,7.54267,1.5,1.08300,2.41700
1995,Indirect migration background,female,140,3.53390,2.82084,4.24695,0.58300,1.83300,5.57014,0.0,13.05086,1.833,0.91700,2.58300
1996,No migration background,male,3300,11.15858,10.78980,11.52736,2.58300,6.83300,17.75000,0.0,40.50050,6.833,6.41490,7.41700
1996,No migration background,female,2598,8.51346,8.17954,8.84737,1.91700,5.25000,12.83300,0.0,29.20700,5.25,4.83093,5.50000
1996,Direct migration background,male,866,9.67380,9.05962,10.28797,2.33300,6.25000,15.58300,0.0,35.45800,6.25,5.25000,7.41700
1996,Direct migration background,female,559,6.87030,6.25570,7.48491,1.75000,4.08300,8.08300,0.0,17.58250,4.083,3.66490,4.83510
1996,Indirect migration background,male,171,3.32154,2.42196,4.22111,0.75000,1.66700,3.00000,0.0,6.37500,1.667,1.33300,2.08300
1996,Indirect migration background,female,144,4.10881,3.38463,4.83299,1.25000,2.41700,5.94279,0.0,12.98196,2.417,1.58300,3.58300
1997,No migration background,male,3188,11.12025,10.74968,11.49083,2.58300,7.08300,17.50000,0.0,39.87550,7.083,6.66700,7.66700
1997,No migration background,female,2536,8.56869,8.23281,8.90457,2.00000,5.41700,12.50000,0.0,28.25000,5.417,5.08300,5.75208
1997,Direct migration background,male,814,10.02488,9.37187,10.67789,2.41700,6.58300,15.51046,0.0,35.15064,6.583,5.83300,7.83510
1997,Direct migration background,female,500,7.29255,6.62336,7.96174,1.91700,4.75000,9.12719,0.0,19.94248,4.75,3.57885,5.58300
1997,Indirect migration background,male,188,3.14634,2.46319,3.82949,0.58218,1.58300,3.94554,0.0,8.99058,1.583,0.91700,2.50000
1997,Indirect migration background,female,156,3.41923,2.78045,4.05800,0.50000,1.58300,4.61130,0.0,10.77824,1.583,0.91700,2.50000
1998,No migration background,male,3632,11.16452,10.81785,11.51118,2.50000,7.33300,17.83300,0.0,40.83250,7.333,6.91700,7.83300
1998,No migration background,female,2852,8.94367,8.62039,9.26694,2.16700,6.08300,13.00000,0.0,29.24950,6.083,5.66700,6.33300
1998,Direct migration background,male,787,10.29534,9.61441,10.97627,2.16700,7.33300,17.43730,0.0,40.34274,7.333,6.24167,8.50000
1998,Direct migration background,female,490,7.25712,6.59304,7.92121,1.60720,5.00868,9.83300,0.0,22.17171,5.0,3.66700,5.83300
1998,Indirect migration background,male,188,3.53582,2.95487,4.11678,1.00760,2.34919,4.41700,0.0,9.53110,2.333,1.75000,3.00000
1998,Indirect migration background,female,164,3.62122,3.03635,4.20609,1.03224,1.91150,4.80009,0.0,10.45185,1.917,1.50000,3.33300
1999,No migration background,male,3572,10.88210,10.53546,11.22874,2.41700,7.41700,17.29011,0.0,39.59978,7.417,7.00000,7.66907
1999,No migration background,female,2910,8.81348,8.48997,9.13699,1.83300,6.00000,12.75000,0.0,29.12550,6.0,5.66700,6.41700
1999,Direct migration background,male,724,10.23295,9.51002,10.95588,1.66700,7.31762,16.66700,0.0,39.16700,7.333,5.99375,8.41700
1999,Direct migration background,female,462,7.44453,6.71805,8.17100,1.75000,4.50000,9.91700,0.0,22.16750,4.5,3.58300,5.50208
1999,Indirect migration background,male,209,3.28690,2.73106,3.84274,0.52742,2.22182,4.68324,0.0,10.91697,2.167,1.25000,2.75000
1999,Indirect migration background,female,167,4.60927,3.89726,5.32129,1.07100,2.58300,7.34782,0.0,16.76305,2.583,1.83300,3.67325
2000,No migration background,male,6323,11.31283,11.04895,11.57672,2.41700,8.08300,18.08300,0.0,41.58200,8.083,7.75000,8.33300
2000,No migration background,female,5129,8.88325,8.63573,9.13077,1.75000,6.00000,12.75000,0.0,29.25000,6.0,5.50000,6.50000
2000,Direct migration background,male,1054,8.55561,8.02850,9.08271,1.79771,5.41700,12.50000,0.0,28.55343,5.417,4.91700,6.16700
2000,Direct migration background,female,742,6.99281,6.42793,7.55769,1.33300,4.47119,9.41141,0.0,21.52902,4.5,3.49793,4.91700
