"plb0219","year","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja, alle 2 Wochen","2005","Berlin","43","0.123777745570927","0.0909241533393516","0.156631337802502"
"Ja, alle 2 Wochen","2005","Brandenburg","46","0.120767623206107","0.0893027070628842","0.15223253934933"
"Ja, alle 2 Wochen","2005","Mecklenburg-Vorpommern","26","","",""
"Ja, alle 2 Wochen","2005","Sachsen","62","0.106302066320702","0.0840040468055249","0.12860008583588"
"Ja, alle 2 Wochen","2005","Sachsen-Anhalt","58","0.148935450985555","0.115087380351233","0.182783521619877"
"Ja, alle 2 Wochen","2005","Thueringen","43","0.124090032996498","0.0921780092263769","0.156002056766619"
"Ja, alle 3-4 Wochen","2005","Schleswig-Holstein","17","","",""
"Ja, alle 3-4 Wochen","2005","Hamburg","7","","",""
"Ja, alle 3-4 Wochen","2005","Niedersachsen","51","0.0485601443777131","0.034848398730056","0.0622718900253701"
"Ja, alle 3-4 Wochen","2005","Bremen","5","","",""
"Ja, alle 3-4 Wochen","2005","Nordrhein-Westfalen","128","0.0628495185746012","0.0529909866527695","0.0727080504964329"
"Ja, alle 3-4 Wochen","2005","Hessen","44","0.0646914409203987","0.0476033941600385","0.081779487680759"
"Ja, alle 3-4 Wochen","2005","Rheinland-Pfalz,Saarland","35","0.0453372450127237","0.0292569076001003","0.0614175824253472"
"Ja, alle 3-4 Wochen","2005","Baden-Wuerttemberg","62","0.0463466302993847","0.035193773628474","0.0574994869702954"
"Ja, alle 3-4 Wochen","2005","Bayern","81","0.0530243989979491","0.0421957964929535","0.0638530015029447"
"Ja, alle 3-4 Wochen","2005","Saarland","","","",""
"Ja, alle 3-4 Wochen","2005","Berlin","22","","",""
"Ja, alle 3-4 Wochen","2005","Brandenburg","27","","",""
"Ja, alle 3-4 Wochen","2005","Mecklenburg-Vorpommern","19","","",""
"Ja, alle 3-4 Wochen","2005","Sachsen","36","0.0471555212549827","0.0318207484180472","0.0624902940919182"
"Ja, alle 3-4 Wochen","2005","Sachsen-Anhalt","19","","",""
"Ja, alle 3-4 Wochen","2005","Thueringen","17","","",""
"Seltener","2005","Schleswig-Holstein","88","0.255339737769507","0.208853110898458","0.301826364640555"
"Seltener","2005","Hamburg","28","","",""
"Seltener","2005","Niedersachsen","186","0.210851681665614","0.184830324361539","0.23687303896969"
"Seltener","2005","Bremen","19","","",""
"Seltener","2005","Nordrhein-Westfalen","392","0.155915921345902","0.141179409755287","0.170652432936516"
"Seltener","2005","Hessen","157","0.187406727649689","0.160297274503416","0.214516180795963"
"Seltener","2005","Rheinland-Pfalz,Saarland","109","0.153887882372771","0.125997223513121","0.181778541232421"
"Seltener","2005","Baden-Wuerttemberg","196","0.137131503573263","0.118883191862583","0.155379815283943"
"Seltener","2005","Bayern","282","0.166741074966903","0.14872847411468","0.184753675819127"
"Seltener","2005","Saarland","","","",""
"Seltener","2005","Berlin","86","0.229180124846693","0.187250655448508","0.271109594244878"
"Seltener","2005","Brandenburg","73","0.169409211145297","0.133188118395613","0.205630303894981"
"Seltener","2005","Mecklenburg-Vorpommern","44","0.137171025493774","0.0939158072822379","0.18042624370531"
"Seltener","2005","Sachsen","161","0.218361636460334","0.18847402803474","0.248249244885929"
"Seltener","2005","Sachsen-Anhalt","79","0.181526177110115","0.144880255031591","0.218172099188639"
"Seltener","2005","Thueringen","71","0.158422928522273","0.123079219049703","0.193766637994844"
"Nein, nie","2006","Schleswig-Holstein","","","",""
"Nein, nie","2006","Hamburg","","","",""
"Nein, nie","2006","Niedersachsen","","","",""
"Nein, nie","2006","Bremen","","","",""
"Nein, nie","2006","Nordrhein-Westfalen","","","",""
"Nein, nie","2006","Hessen","","","",""
"Nein, nie","2006","Rheinland-Pfalz,Saarland","","","",""
"Nein, nie","2006","Baden-Wuerttemberg","","","",""
"Nein, nie","2006","Bayern","","","",""
"Nein, nie","2006","Saarland","","","",""
"Nein, nie","2006","Berlin","","","",""
"Nein, nie","2006","Brandenburg","","","",""
"Nein, nie","2006","Mecklenburg-Vorpommern","","","",""
"Nein, nie","2006","Sachsen","","","",""
"Nein, nie","2006","Sachsen-Anhalt","","","",""
"Nein, nie","2006","Thueringen","","","",""
"Ja, jede Woche","2006","Schleswig-Holstein","","","",""
"Ja, jede Woche","2006","Hamburg","","","",""
"Ja, jede Woche","2006","Niedersachsen","","","",""
"Ja, jede Woche","2006","Bremen","","","",""
"Ja, jede Woche","2006","Nordrhein-Westfalen","","","",""
"Ja, jede Woche","2006","Hessen","","","",""
"Ja, jede Woche","2006","Rheinland-Pfalz,Saarland","","","",""
"Ja, jede Woche","2006","Baden-Wuerttemberg","","","",""
"Ja, jede Woche","2006","Bayern","","","",""
"Ja, jede Woche","2006","Saarland","","","",""
"Ja, jede Woche","2006","Berlin","","","",""
"Ja, jede Woche","2006","Brandenburg","","","",""
"Ja, jede Woche","2006","Mecklenburg-Vorpommern","","","",""
"Ja, jede Woche","2006","Sachsen","","","",""
"Ja, jede Woche","2006","Sachsen-Anhalt","","","",""
"Ja, jede Woche","2006","Thueringen","","","",""
"Ja, alle 2 Wochen","2006","Schleswig-Holstein","","","",""
"Ja, alle 2 Wochen","2006","Hamburg","","","",""
"Ja, alle 2 Wochen","2006","Niedersachsen","","","",""
"Ja, alle 2 Wochen","2006","Bremen","","","",""
"Ja, alle 2 Wochen","2006","Nordrhein-Westfalen","","","",""
"Ja, alle 2 Wochen","2006","Hessen","","","",""
"Ja, alle 2 Wochen","2006","Rheinland-Pfalz,Saarland","","","",""
"Ja, alle 2 Wochen","2006","Baden-Wuerttemberg","","","",""
"Ja, alle 2 Wochen","2006","Bayern","","","",""
"Ja, alle 2 Wochen","2006","Saarland","","","",""
"Ja, alle 2 Wochen","2006","Berlin","","","",""
"Ja, alle 2 Wochen","2006","Brandenburg","","","",""
"Ja, alle 2 Wochen","2006","Mecklenburg-Vorpommern","","","",""
"Ja, alle 2 Wochen","2006","Sachsen","","","",""
"Ja, alle 2 Wochen","2006","Sachsen-Anhalt","","","",""
"Ja, alle 2 Wochen","2006","Thueringen","","","",""
"Ja, alle 3-4 Wochen","2006","Schleswig-Holstein","","","",""
"Ja, alle 3-4 Wochen","2006","Hamburg","","","",""
"Ja, alle 3-4 Wochen","2006","Niedersachsen","","","",""
"Ja, alle 3-4 Wochen","2006","Bremen","","","",""
"Ja, alle 3-4 Wochen","2006","Nordrhein-Westfalen","","","",""
"Ja, alle 3-4 Wochen","2006","Hessen","","","",""
"Ja, alle 3-4 Wochen","2006","Rheinland-Pfalz,Saarland","","","",""
"Ja, alle 3-4 Wochen","2006","Baden-Wuerttemberg","","","",""
"Ja, alle 3-4 Wochen","2006","Bayern","","","",""
"Ja, alle 3-4 Wochen","2006","Saarland","","","",""
"Ja, alle 3-4 Wochen","2006","Berlin","","","",""
"Ja, alle 3-4 Wochen","2006","Brandenburg","","","",""
"Ja, alle 3-4 Wochen","2006","Mecklenburg-Vorpommern","","","",""
"Ja, alle 3-4 Wochen","2006","Sachsen","","","",""
"Ja, alle 3-4 Wochen","2006","Sachsen-Anhalt","","","",""
"Ja, alle 3-4 Wochen","2006","Thueringen","","","",""
"Seltener","2006","Schleswig-Holstein","","","",""
"Seltener","2006","Hamburg","","","",""
"Seltener","2006","Niedersachsen","","","",""
"Seltener","2006","Bremen","","","",""
"Seltener","2006","Nordrhein-Westfalen","","","",""
"Seltener","2006","Hessen","","","",""
"Seltener","2006","Rheinland-Pfalz,Saarland","","","",""
"Seltener","2006","Baden-Wuerttemberg","","","",""
"Seltener","2006","Bayern","","","",""
"Seltener","2006","Saarland","","","",""
"Seltener","2006","Berlin","","","",""
"Seltener","2006","Brandenburg","","","",""
"Seltener","2006","Mecklenburg-Vorpommern","","","",""
"Seltener","2006","Sachsen","","","",""
"Seltener","2006","Sachsen-Anhalt","","","",""
"Seltener","2006","Thueringen","","","",""
"Nein, nie","2007","Schleswig-Holstein","196","0.63901839610671","0.58572541560949","0.692311376603931"
"Nein, nie","2007","Hamburg","99","0.616409033744898","0.540588256802376","0.692229810687421"
"Nein, nie","2007","Niedersachsen","571","0.581108612743202","0.550406262153966","0.611810963332437"
"Nein, nie","2007","Bremen","45","0.642289395213154","0.535916232205068","0.74866255822124"
"Nein, nie","2007","Nordrhein-Westfalen","1420","0.622749442776706","0.60282783067421","0.642671054879202"
"Nein, nie","2007","Hessen","455","0.574823562577466","0.540651441068621","0.60899568408631"
"Nein, nie","2007","Rheinland-Pfalz,Saarland","403","0.637492308621977","0.600219360112264","0.67476525713169"
"Nein, nie","2007","Baden-Wuerttemberg","940","0.674567510208576","0.649856277177558","0.699278743239595"
"Nein, nie","2007","Bayern","1064","0.622389435381489","0.599248949152724","0.645529921610253"
"Nein, nie","2007","Saarland","","","",""
"Nein, nie","2007","Berlin","225","0.553564147570266","0.506133901783646","0.600994393356886"
"Nein, nie","2007","Brandenburg","225","0.490064689096798","0.441735286289264","0.538394091904332"
"Nein, nie","2007","Mecklenburg-Vorpommern","151","0.599660808523001","0.539286145845961","0.660035471200041"
"Nein, nie","2007","Sachsen","464","0.563426381936735","0.528709765360796","0.598142998512673"
"Nein, nie","2007","Sachsen-Anhalt","242","0.529790536666081","0.483048372466034","0.576532700866129"
"Nein, nie","2007","Thueringen","268","0.613529923565443","0.568236784874044","0.658823062256843"
"Ja, jede Woche","2007","Schleswig-Holstein","19","","",""
"Ja, jede Woche","2007","Hamburg","6","","",""
"Ja, jede Woche","2007","Niedersachsen","89","0.0895064689701058","0.0717417680822289","0.107271169857983"
"Ja, jede Woche","2007","Bremen","5","","",""
"Ja, jede Woche","2007","Nordrhein-Westfalen","135","0.0522531183025308","0.0431066138658417","0.06139962273922"
"Ja, jede Woche","2007","Hessen","67","0.0843274827905935","0.0651198110613768","0.10353515451981"
"Ja, jede Woche","2007","Rheinland-Pfalz,Saarland","49","0.0717552515483759","0.0517448521052553","0.0917656509914965"
"Ja, jede Woche","2007","Baden-Wuerttemberg","69","0.0403143859852345","0.0299403973269814","0.0506883746434875"
"Ja, jede Woche","2007","Bayern","111","0.0649886224844523","0.0532221463178232","0.0767550986510814"
"Ja, jede Woche","2007","Saarland","","","",""
"Ja, jede Woche","2007","Berlin","33","0.0772312790187899","0.0517609290939757","0.102701628943604"
"Ja, jede Woche","2007","Brandenburg","26","","",""
"Ja, jede Woche","2007","Mecklenburg-Vorpommern","17","","",""
"Ja, jede Woche","2007","Sachsen","44","0.0605025988366877","0.0438138082109298","0.0771913894624457"
"Ja, jede Woche","2007","Sachsen-Anhalt","31","0.0728962585662846","0.0485502471183265","0.0972422700142428"
"Ja, jede Woche","2007","Thueringen","24","","",""
"Ja, alle 2 Wochen","2007","Schleswig-Holstein","29","","",""
"Ja, alle 2 Wochen","2007","Hamburg","5","","",""
"Ja, alle 2 Wochen","2007","Niedersachsen","78","0.0828064976021569","0.0656568599801905","0.0999561352241232"
"Ja, alle 2 Wochen","2007","Bremen","12","","",""
"Ja, alle 2 Wochen","2007","Nordrhein-Westfalen","207","0.101986637907823","0.089548198416823","0.114425077398822"
"Ja, alle 2 Wochen","2007","Hessen","67","0.0795389836890274","0.0608359185982096","0.0982420487798452"
"Ja, alle 2 Wochen","2007","Rheinland-Pfalz,Saarland","54","0.0829430983828404","0.0615592468201658","0.104326949945515"
"Ja, alle 2 Wochen","2007","Baden-Wuerttemberg","78","0.0746899416108601","0.060824747524783","0.0885551356969372"
"Ja, alle 2 Wochen","2007","Bayern","106","0.0626850839484788","0.0511147957711354","0.0742553721258222"
"Ja, alle 2 Wochen","2007","Saarland","","","",""
"Ja, alle 2 Wochen","2007","Berlin","41","0.0747608882057683","0.0496676861723699","0.0998540902391668"
"Ja, alle 2 Wochen","2007","Brandenburg","48","0.126932804112472","0.0947489572925502","0.159116650932394"
"Ja, alle 2 Wochen","2007","Mecklenburg-Vorpommern","30","0.141337148257113","0.098410465399545","0.184263831114681"
"Ja, alle 2 Wochen","2007","Sachsen","94","0.155484033279076","0.130118915045631","0.180849151512521"
"Ja, alle 2 Wochen","2007","Sachsen-Anhalt","49","0.103768001684491","0.0752083448196788","0.132327658549303"
"Ja, alle 2 Wochen","2007","Thueringen","42","0.10590667353633","0.0772840330092616","0.134529314063399"
"Ja, alle 3-4 Wochen","2007","Schleswig-Holstein","12","","",""
"Ja, alle 3-4 Wochen","2007","Hamburg","11","","",""
"Ja, alle 3-4 Wochen","2007","Niedersachsen","59","0.0572462290282184","0.0427896732589581","0.0717027847974787"
"Ja, alle 3-4 Wochen","2007","Bremen","2","","",""
"Ja, alle 3-4 Wochen","2007","Nordrhein-Westfalen","106","0.0482243771331147","0.0394188884549308","0.0570298658112986"
"Ja, alle 3-4 Wochen","2007","Hessen","44","0.0513109267731594","0.0360603262459164","0.0665615273004024"
"Ja, alle 3-4 Wochen","2007","Rheinland-Pfalz,Saarland","29","","",""
"Ja, alle 3-4 Wochen","2007","Baden-Wuerttemberg","84","0.0579303359070428","0.045609340811997","0.0702513310020885"
"Ja, alle 3-4 Wochen","2007","Bayern","91","0.0578794259061842","0.0467330250542271","0.0690258267581413"
"Ja, alle 3-4 Wochen","2007","Saarland","","","",""
"Ja, alle 3-4 Wochen","2007","Berlin","29","","",""
"Ja, alle 3-4 Wochen","2007","Brandenburg","19","","",""
"Ja, alle 3-4 Wochen","2007","Mecklenburg-Vorpommern","18","","",""
"Ja, alle 3-4 Wochen","2007","Sachsen","35","0.042406878799774","0.0283010462826932","0.0565127113168547"
"Ja, alle 3-4 Wochen","2007","Sachsen-Anhalt","31","0.0742058676728105","0.0496594922907309","0.0987522430548902"
"Ja, alle 3-4 Wochen","2007","Thueringen","23","","",""
"Seltener","2007","Schleswig-Holstein","56","0.163882731443457","0.122808354206787","0.204957108680128"
"Seltener","2007","Hamburg","37","0.24362872016838","0.176694022765476","0.310563417571284"
"Seltener","2007","Niedersachsen","195","0.189332191656317","0.164952626797974","0.213711756514661"
"Seltener","2007","Bremen","14","","",""
"Seltener","2007","Nordrhein-Westfalen","406","0.174786423879826","0.15917689155698","0.190395956202671"
"Seltener","2007","Hessen","171","0.209999044169754","0.181844886785724","0.238153201553783"
"Seltener","2007","Rheinland-Pfalz,Saarland","104","0.162910592331584","0.134278159765074","0.191543024898094"
"Seltener","2007","Baden-Wuerttemberg","210","0.152497826288286","0.133537164621883","0.17145848795469"
"Seltener","2007","Bayern","314","0.192057432279396","0.173254520426111","0.210860344132681"
"Seltener","2007","Saarland","","","",""
"Seltener","2007","Berlin","94","0.232976361061282","0.192644137233855","0.273308584888709"
"Seltener","2007","Brandenburg","93","0.248613792427267","0.20682869695796","0.290398887896574"
"Seltener","2007","Mecklenburg-Vorpommern","37","0.115295989907349","0.0759415324519528","0.154650447362744"
"Seltener","2007","Sachsen","147","0.178180107147728","0.151394099264185","0.204966115031271"
"Seltener","2007","Sachsen-Anhalt","85","0.219339335410332","0.180586771080295","0.25809189974037"
"Seltener","2007","Thueringen","87","0.166119163631081","0.131499848617867","0.200738478644296"
"Nein, nie","2008","Schleswig-Holstein","","","",""
"Nein, nie","2008","Hamburg","","","",""
"Nein, nie","2008","Niedersachsen","","","",""
"Nein, nie","2008","Bremen","","","",""
"Nein, nie","2008","Nordrhein-Westfalen","","","",""
"Nein, nie","2008","Hessen","","","",""
"Nein, nie","2008","Rheinland-Pfalz,Saarland","","","",""
"Nein, nie","2008","Baden-Wuerttemberg","","","",""
"Nein, nie","2008","Bayern","","","",""
"Nein, nie","2008","Saarland","","","",""
"Nein, nie","2008","Berlin","","","",""
"Nein, nie","2008","Brandenburg","","","",""
"Nein, nie","2008","Mecklenburg-Vorpommern","","","",""
"Nein, nie","2008","Sachsen","","","",""
"Nein, nie","2008","Sachsen-Anhalt","","","",""
"Nein, nie","2008","Thueringen","","","",""
"Ja, jede Woche","2008","Schleswig-Holstein","","","",""
"Ja, jede Woche","2008","Hamburg","","","",""
"Ja, jede Woche","2008","Niedersachsen","","","",""
"Ja, jede Woche","2008","Bremen","","","",""
"Ja, jede Woche","2008","Nordrhein-Westfalen","","","",""
"Ja, jede Woche","2008","Hessen","","","",""
"Ja, jede Woche","2008","Rheinland-Pfalz,Saarland","","","",""
"Ja, jede Woche","2008","Baden-Wuerttemberg","","","",""
"Ja, jede Woche","2008","Bayern","","","",""
"Ja, jede Woche","2008","Saarland","","","",""
"Ja, jede Woche","2008","Berlin","","","",""
"Ja, jede Woche","2008","Brandenburg","","","",""
"Ja, jede Woche","2008","Mecklenburg-Vorpommern","","","",""
"Ja, jede Woche","2008","Sachsen","","","",""
"Ja, jede Woche","2008","Sachsen-Anhalt","","","",""
"Ja, jede Woche","2008","Thueringen","","","",""
"Ja, alle 2 Wochen","2008","Schleswig-Holstein","","","",""
"Ja, alle 2 Wochen","2008","Hamburg","","","",""
"Ja, alle 2 Wochen","2008","Niedersachsen","","","",""
"Ja, alle 2 Wochen","2008","Bremen","","","",""
"Ja, alle 2 Wochen","2008","Nordrhein-Westfalen","","","",""
"Ja, alle 2 Wochen","2008","Hessen","","","",""
"Ja, alle 2 Wochen","2008","Rheinland-Pfalz,Saarland","","","",""
"Ja, alle 2 Wochen","2008","Baden-Wuerttemberg","","","",""
"Ja, alle 2 Wochen","2008","Bayern","","","",""
"Ja, alle 2 Wochen","2008","Saarland","","","",""
"Ja, alle 2 Wochen","2008","Berlin","","","",""
"Ja, alle 2 Wochen","2008","Brandenburg","","","",""
"Ja, alle 2 Wochen","2008","Mecklenburg-Vorpommern","","","",""
"Ja, alle 2 Wochen","2008","Sachsen","","","",""
"Ja, alle 2 Wochen","2008","Sachsen-Anhalt","","","",""
"Ja, alle 2 Wochen","2008","Thueringen","","","",""
"Ja, alle 3-4 Wochen","2008","Schleswig-Holstein","","","",""
"Ja, alle 3-4 Wochen","2008","Hamburg","","","",""
"Ja, alle 3-4 Wochen","2008","Niedersachsen","","","",""
"Ja, alle 3-4 Wochen","2008","Bremen","","","",""
"Ja, alle 3-4 Wochen","2008","Nordrhein-Westfalen","","","",""
"Ja, alle 3-4 Wochen","2008","Hessen","","","",""
"Ja, alle 3-4 Wochen","2008","Rheinland-Pfalz,Saarland","","","",""
"Ja, alle 3-4 Wochen","2008","Baden-Wuerttemberg","","","",""
"Ja, alle 3-4 Wochen","2008","Bayern","","","",""
"Ja, alle 3-4 Wochen","2008","Saarland","","","",""
"Ja, alle 3-4 Wochen","2008","Berlin","","","",""
"Ja, alle 3-4 Wochen","2008","Brandenburg","","","",""
"Ja, alle 3-4 Wochen","2008","Mecklenburg-Vorpommern","","","",""
"Ja, alle 3-4 Wochen","2008","Sachsen","","","",""
"Ja, alle 3-4 Wochen","2008","Sachsen-Anhalt","","","",""
"Ja, alle 3-4 Wochen","2008","Thueringen","","","",""
"Seltener","2008","Schleswig-Holstein","","","",""
"Seltener","2008","Hamburg","","","",""
"Seltener","2008","Niedersachsen","","","",""
"Seltener","2008","Bremen","","","",""
"Seltener","2008","Nordrhein-Westfalen","","","",""
"Seltener","2008","Hessen","","","",""
"Seltener","2008","Rheinland-Pfalz,Saarland","","","",""
"Seltener","2008","Baden-Wuerttemberg","","","",""
"Seltener","2008","Bayern","","","",""
"Seltener","2008","Saarland","","","",""
"Seltener","2008","Berlin","","","",""
"Seltener","2008","Brandenburg","","","",""
"Seltener","2008","Mecklenburg-Vorpommern","","","",""
"Seltener","2008","Sachsen","","","",""
"Seltener","2008","Sachsen-Anhalt","","","",""
"Seltener","2008","Thueringen","","","",""
"Nein, nie","2009","Schleswig-Holstein","166","0.640647851195953","0.582100392617357","0.69919530977455"
"Nein, nie","2009","Hamburg","85","0.536406512772547","0.456066311113751","0.616746714431344"
"Nein, nie","2009","Niedersachsen","510","0.552033745267228","0.519381375783454","0.584686114751002"
"Nein, nie","2009","Bremen","33","0.642874149366422","0.517378779530503","0.768369519202341"
"Nein, nie","2009","Nordrhein-Westfalen","1244","0.602893176854608","0.581406102681463","0.624380251027753"
"Nein, nie","2009","Hessen","400","0.572386827143673","0.536274887857763","0.608498766429582"
"Nein, nie","2009","Rheinland-Pfalz,Saarland","330","0.566949347881107","0.525836981967031","0.608061713795183"
"Nein, nie","2009","Baden-Wuerttemberg","807","0.662156687469351","0.635396107828919","0.688917267109783"
"Nein, nie","2009","Bayern","895","0.613240698657532","0.588487662560894","0.637993734754171"
"Nein, nie","2009","Saarland","","","",""
"Nein, nie","2009","Berlin","181","0.530949073073887","0.480372578814356","0.581525567333419"
"Nein, nie","2009","Brandenburg","208","0.500424325318956","0.449199864442268","0.551648786195644"
"Nein, nie","2009","Mecklenburg-Vorpommern","138","0.570102515909005","0.506806978669586","0.633398053148424"
"Nein, nie","2009","Sachsen","423","0.558239867176218","0.522042029623384","0.594437704729051"
"Nein, nie","2009","Sachsen-Anhalt","222","0.597213386515599","0.54920930264413","0.645217470387068"
"Nein, nie","2009","Thueringen","226","0.520440966406889","0.471543913971193","0.569338018842585"
"Ja, jede Woche","2009","Schleswig-Holstein","14","","",""
"Ja, jede Woche","2009","Hamburg","9","","",""
"Ja, jede Woche","2009","Niedersachsen","73","0.0835492120964511","0.0653800460965186","0.101718378096384"
"Ja, jede Woche","2009","Bremen","5","","",""
"Ja, jede Woche","2009","Nordrhein-Westfalen","133","0.0712048650955457","0.0599116337760993","0.0824980964149921"
"Ja, jede Woche","2009","Hessen","47","0.0631413916714859","0.0453882769559856","0.0808945063869863"
"Ja, jede Woche","2009","Rheinland-Pfalz,Saarland","40","0.104556195504498","0.0791683968354386","0.129943994173558"
"Ja, jede Woche","2009","Baden-Wuerttemberg","65","0.057877960626266","0.0446659881657762","0.0710899330867557"
"Ja, jede Woche","2009","Bayern","108","0.0606424736616868","0.048511475956382","0.0727734713669917"
"Ja, jede Woche","2009","Saarland","","","",""
"Ja, jede Woche","2009","Berlin","41","0.106140139713152","0.0749234509047602","0.137356828521545"
"Ja, jede Woche","2009","Brandenburg","23","","",""
"Ja, jede Woche","2009","Mecklenburg-Vorpommern","23","","",""
"Ja, jede Woche","2009","Sachsen","44","0.0623081163422669","0.0446891132450228","0.0799271194395109"
"Ja, jede Woche","2009","Sachsen-Anhalt","29","","",""
"Ja, jede Woche","2009","Thueringen","33","0.0647161776566508","0.0406363128012139","0.0887960425120877"
"Ja, alle 2 Wochen","2009","Schleswig-Holstein","22","","",""
"Ja, alle 2 Wochen","2009","Hamburg","8","","",""
"Ja, alle 2 Wochen","2009","Niedersachsen","78","0.0807436779310005","0.0628548529263444","0.0986325029356567"
"Ja, alle 2 Wochen","2009","Bremen","7","","",""
"Ja, alle 2 Wochen","2009","Nordrhein-Westfalen","161","0.0793288654689051","0.0674610356748498","0.0911966952629603"
"Ja, alle 2 Wochen","2009","Hessen","69","0.0928412009324397","0.0716579557878962","0.114024446076983"
"Ja, alle 2 Wochen","2009","Rheinland-Pfalz,Saarland","47","0.0901834931005665","0.0664166541106479","0.113950332090485"
"Ja, alle 2 Wochen","2009","Baden-Wuerttemberg","84","0.0711591253856443","0.0566131305804359","0.0857051201908528"
"Ja, alle 2 Wochen","2009","Bayern","126","0.0816231319735632","0.0677072831387828","0.0955389808083436"
"Ja, alle 2 Wochen","2009","Saarland","","","",""
"Ja, alle 2 Wochen","2009","Berlin","36","0.0880212206232185","0.0593069129326514","0.116735528313786"
"Ja, alle 2 Wochen","2009","Brandenburg","35","0.115780864999565","0.0830010953189021","0.148560634680228"
"Ja, alle 2 Wochen","2009","Mecklenburg-Vorpommern","17","","",""
"Ja, alle 2 Wochen","2009","Sachsen","71","0.0907878709028501","0.0698455182533179","0.111730223552382"
"Ja, alle 2 Wochen","2009","Sachsen-Anhalt","49","0.1382841669803","0.104497591894089","0.172070742066511"
"Ja, alle 2 Wochen","2009","Thueringen","35","0.109509053098409","0.0789446674439134","0.140073438752905"
"Ja, alle 3-4 Wochen","2009","Schleswig-Holstein","15","","",""
"Ja, alle 3-4 Wochen","2009","Hamburg","9","","",""
"Ja, alle 3-4 Wochen","2009","Niedersachsen","41","0.0549229357140865","0.0399633446353496","0.0698825267928234"
"Ja, alle 3-4 Wochen","2009","Bremen","2","","",""
