"plb0219","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Seltener","2006","Staedtischer Raum","Westdeutschland","","","",""
"Seltener","2006","Staedtischer Raum","Ostdeutschland","","","",""
"Seltener","2006","Laendlicher Raum","Westdeutschland","","","",""
"Seltener","2006","Laendlicher Raum","Ostdeutschland","","","",""
"Nein, nie","2007","Staedtischer Raum","Westdeutschland","4056","0.625979353403765","0.614189994638598","0.637768712168932"
"Nein, nie","2007","Staedtischer Raum","Ostdeutschland","488","0.56094465897284","0.527621364220049","0.594267953725631"
"Nein, nie","2007","Laendlicher Raum","Westdeutschland","1268","0.606104473696265","0.585196612027943","0.627012335364586"
"Nein, nie","2007","Laendlicher Raum","Ostdeutschland","956","0.555267686817926","0.531326281721078","0.579209091914773"
"Ja, jede Woche","2007","Staedtischer Raum","Westdeutschland","416","0.0605201961203859","0.0547104617174498","0.0663299305233221"
"Ja, jede Woche","2007","Staedtischer Raum","Ostdeutschland","49","0.0560237005749725","0.0405820139353854","0.0714653872145596"
"Ja, jede Woche","2007","Laendlicher Raum","Westdeutschland","154","0.0684444077196523","0.0576395582047814","0.0792492572345233"
"Ja, jede Woche","2007","Laendlicher Raum","Ostdeutschland","106","0.0673194543417647","0.0552472703859649","0.0793916382975645"
"Ja, alle 2 Wochen","2007","Staedtischer Raum","Westdeutschland","487","0.0824008129936447","0.0757011238967955","0.0891005020904939"
"Ja, alle 2 Wochen","2007","Staedtischer Raum","Ostdeutschland","92","0.108696709435587","0.0877965669431352","0.12959685192804"
"Ja, alle 2 Wochen","2007","Laendlicher Raum","Westdeutschland","171","0.0827624857415258","0.0709727786216","0.0945521928614515"
"Ja, alle 2 Wochen","2007","Laendlicher Raum","Ostdeutschland","190","0.133294628853276","0.11691925737496","0.149670000331593"
"Ja, alle 3-4 Wochen","2007","Staedtischer Raum","Westdeutschland","337","0.0515684969322947","0.0461801244046651","0.0569568694599242"
"Ja, alle 3-4 Wochen","2007","Staedtischer Raum","Ostdeutschland","45","0.0595431238241926","0.0436535026086056","0.0754327450397796"
"Ja, alle 3-4 Wochen","2007","Laendlicher Raum","Westdeutschland","117","0.0565475219650853","0.0466639904179138","0.0664310535122567"
"Ja, alle 3-4 Wochen","2007","Laendlicher Raum","Ostdeutschland","94","0.0618138057674118","0.0502117124973406","0.0734158990374829"
"Seltener","2007","Staedtischer Raum","Westdeutschland","1175","0.17953114054991","0.170180026858709","0.18888225424111"
"Seltener","2007","Staedtischer Raum","Ostdeutschland","178","0.214791807192408","0.18721591574303","0.242367698641786"
"Seltener","2007","Laendlicher Raum","Westdeutschland","388","0.186141110877472","0.169486248228807","0.202795973526136"
"Seltener","2007","Laendlicher Raum","Ostdeutschland","309","0.182304424219622","0.16370311466562","0.200905733773623"
"Nein, nie","2008","Staedtischer Raum","Westdeutschland","","","",""
"Nein, nie","2008","Staedtischer Raum","Ostdeutschland","","","",""
"Nein, nie","2008","Laendlicher Raum","Westdeutschland","","","",""
"Nein, nie","2008","Laendlicher Raum","Ostdeutschland","","","",""
"Ja, jede Woche","2008","Staedtischer Raum","Westdeutschland","","","",""
"Ja, jede Woche","2008","Staedtischer Raum","Ostdeutschland","","","",""
"Ja, jede Woche","2008","Laendlicher Raum","Westdeutschland","","","",""
"Ja, jede Woche","2008","Laendlicher Raum","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2008","Staedtischer Raum","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2008","Staedtischer Raum","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2008","Laendlicher Raum","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2008","Laendlicher Raum","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","Staedtischer Raum","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","Staedtischer Raum","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","Laendlicher Raum","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","Laendlicher Raum","Ostdeutschland","","","",""
"Seltener","2008","Staedtischer Raum","Westdeutschland","","","",""
"Seltener","2008","Staedtischer Raum","Ostdeutschland","","","",""
"Seltener","2008","Laendlicher Raum","Westdeutschland","","","",""
"Seltener","2008","Laendlicher Raum","Ostdeutschland","","","",""
"Nein, nie","2009","Staedtischer Raum","Westdeutschland","3443","0.602591454568809","0.589832487327078","0.61535042181054"
"Nein, nie","2009","Staedtischer Raum","Ostdeutschland","425","0.528062302200133","0.492709924916214","0.563414679484052"
"Nein, nie","2009","Laendlicher Raum","Westdeutschland","1132","0.599931387307186","0.577744456219766","0.622118318394606"
"Nein, nie","2009","Laendlicher Raum","Ostdeutschland","868","0.556124871400213","0.531155934678796","0.581093808121631"
"Ja, jede Woche","2009","Staedtischer Raum","Westdeutschland","389","0.071299446010494","0.0645903135341407","0.0780085784868473"
"Ja, jede Woche","2009","Staedtischer Raum","Ostdeutschland","57","0.0750038236283807","0.0563509659351886","0.0936566813215728"
"Ja, jede Woche","2009","Laendlicher Raum","Westdeutschland","126","0.066258879497396","0.0549943128626235","0.0775234461321686"
"Ja, jede Woche","2009","Laendlicher Raum","Ostdeutschland","115","0.0715228818858414","0.0585722312060184","0.0844735325656644"
"Ja, alle 2 Wochen","2009","Staedtischer Raum","Westdeutschland","452","0.0785755901854322","0.071560082256674","0.0855910981141905"
"Ja, alle 2 Wochen","2009","Staedtischer Raum","Ostdeutschland","71","0.105030941410503","0.0833191156174584","0.126742767203548"
"Ja, alle 2 Wochen","2009","Laendlicher Raum","Westdeutschland","168","0.0897454538375998","0.0768015028530648","0.102689404822135"
"Ja, alle 2 Wochen","2009","Laendlicher Raum","Ostdeutschland","154","0.107374507878976","0.0918159722067868","0.122933043551164"
"Ja, alle 3-4 Wochen","2009","Staedtischer Raum","Westdeutschland","303","0.0582803942784601","0.0521722753555147","0.0643885132014055"
"Ja, alle 3-4 Wochen","2009","Staedtischer Raum","Ostdeutschland","42","0.0609012051018312","0.0439655386737493","0.0778368715299132"
"Ja, alle 3-4 Wochen","2009","Laendlicher Raum","Westdeutschland","99","0.0481920196675179","0.0384926963371796","0.0578913429978561"
"Ja, alle 3-4 Wochen","2009","Laendlicher Raum","Ostdeutschland","105","0.0880413239879733","0.0738011811306104","0.102281466845336"
"Seltener","2009","Staedtischer Raum","Westdeutschland","1064","0.189253114956805","0.17904020271862","0.199466027194989"
"Seltener","2009","Staedtischer Raum","Ostdeutschland","171","0.231001727659152","0.201154499719778","0.260848955598526"
"Seltener","2009","Laendlicher Raum","Westdeutschland","348","0.1958722596903","0.177898944461614","0.213845574918987"
"Seltener","2009","Laendlicher Raum","Ostdeutschland","279","0.176936414846997","0.157758173070937","0.196114656623057"
"Nein, nie","2010","Staedtischer Raum","Westdeutschland","1437","0.56767182418291","0.548555971377103","0.586787676988717"
"Nein, nie","2010","Staedtischer Raum","Ostdeutschland","141","0.49619555841412","0.438848110251002","0.553543006577238"
"Nein, nie","2010","Laendlicher Raum","Westdeutschland","673","0.615929050159999","0.587495177826743","0.644362922493254"
"Nein, nie","2010","Laendlicher Raum","Ostdeutschland","296","0.582949308867108","0.540772059068123","0.625126558666092"
"Ja, jede Woche","2010","Staedtischer Raum","Westdeutschland","176","0.0636009304688694","0.0541841930728054","0.0730176678649335"
"Ja, jede Woche","2010","Staedtischer Raum","Ostdeutschland","15","","",""
"Ja, jede Woche","2010","Laendlicher Raum","Westdeutschland","90","0.0705999087796916","0.0556248560342961","0.085574961525087"
"Ja, jede Woche","2010","Laendlicher Raum","Ostdeutschland","38","0.070082151540232","0.0482450776208506","0.0919192254596135"
"Ja, alle 2 Wochen","2010","Staedtischer Raum","Westdeutschland","301","0.116916625815329","0.104517895069571","0.129315356561087"
"Ja, alle 2 Wochen","2010","Staedtischer Raum","Ostdeutschland","37","0.14185356248157","0.101835367973377","0.181871756989763"
"Ja, alle 2 Wochen","2010","Laendlicher Raum","Westdeutschland","115","0.099267516084624","0.0817865099368202","0.116748522232428"
"Ja, alle 2 Wochen","2010","Laendlicher Raum","Ostdeutschland","58","0.0983443081187994","0.0728722862884386","0.12381632994916"
"Ja, alle 3-4 Wochen","2010","Staedtischer Raum","Westdeutschland","162","0.0638049874118839","0.0543741835364831","0.0732357912872847"
"Ja, alle 3-4 Wochen","2010","Staedtischer Raum","Ostdeutschland","26","","",""
"Ja, alle 3-4 Wochen","2010","Laendlicher Raum","Westdeutschland","67","0.0579419959431449","0.0442835753217857","0.071600416564504"
"Ja, alle 3-4 Wochen","2010","Laendlicher Raum","Ostdeutschland","40","0.0807618662678138","0.0574549063877201","0.104068826147907"
"Seltener","2010","Staedtischer Raum","Westdeutschland","504","0.188005632121008","0.172929144468955","0.203082119773061"
"Seltener","2010","Staedtischer Raum","Ostdeutschland","73","0.224087863380636","0.176260977299892","0.27191474946138"
"Seltener","2010","Laendlicher Raum","Westdeutschland","179","0.156261529032541","0.135034222274095","0.177488835790987"
"Seltener","2010","Laendlicher Raum","Ostdeutschland","93","0.167862365206047","0.135892361219031","0.199832369193064"
"Nein, nie","2011","Staedtischer Raum","Westdeutschland","5692","0.617440404231355","0.607556906149988","0.627323902312722"
"Nein, nie","2011","Staedtischer Raum","Ostdeutschland","674","0.555394342740581","0.527231874220864","0.583556811260298"
"Nein, nie","2011","Laendlicher Raum","Westdeutschland","2247","0.604827351138923","0.589042572526316","0.620612129751529"
"Nein, nie","2011","Laendlicher Raum","Ostdeutschland","1296","0.568773235768333","0.548413562555509","0.589132908981156"
"Ja, jede Woche","2011","Staedtischer Raum","Westdeutschland","702","0.0752588156573424","0.069894029700115","0.0806236016145697"
"Ja, jede Woche","2011","Staedtischer Raum","Ostdeutschland","84","0.080650692424227","0.0652185284932906","0.0960828563551634"
"Ja, jede Woche","2011","Laendlicher Raum","Westdeutschland","239","0.0610842382462602","0.0533519641445429","0.0688165123479775"
"Ja, jede Woche","2011","Laendlicher Raum","Ostdeutschland","160","0.0632818138668265","0.0532727765448117","0.0732908511888412"
"Ja, alle 2 Wochen","2011","Staedtischer Raum","Westdeutschland","845","0.0908992251341483","0.085053347585655","0.0967451026826416"
"Ja, alle 2 Wochen","2011","Staedtischer Raum","Ostdeutschland","122","0.104503125387637","0.0871659166530244","0.121840334122251"
"Ja, alle 2 Wochen","2011","Laendlicher Raum","Westdeutschland","364","0.0929508075041517","0.0835758059379828","0.102325809070321"
"Ja, alle 2 Wochen","2011","Laendlicher Raum","Ostdeutschland","275","0.121883963527935","0.108434727613287","0.135333199442582"
"Ja, alle 3-4 Wochen","2011","Staedtischer Raum","Westdeutschland","496","0.0509674640843388","0.046494960747979","0.0554399674206985"
"Ja, alle 3-4 Wochen","2011","Staedtischer Raum","Ostdeutschland","85","0.0567185663533633","0.0436096809523772","0.0698274517543493"
"Ja, alle 3-4 Wochen","2011","Laendlicher Raum","Westdeutschland","215","0.0534839478013473","0.046219458894886","0.0607484367078087"
"Ja, alle 3-4 Wochen","2011","Laendlicher Raum","Ostdeutschland","164","0.064105034189236","0.0540355320887438","0.0741745362897282"
"Seltener","2011","Staedtischer Raum","Westdeutschland","1554","0.165434090892815","0.157877838871421","0.17299034291421"
"Seltener","2011","Staedtischer Raum","Ostdeutschland","231","0.202733273094191","0.179948388299422","0.22551815788896"
"Seltener","2011","Laendlicher Raum","Westdeutschland","620","0.187653655309318","0.175047621299822","0.200259689318815"
"Seltener","2011","Laendlicher Raum","Ostdeutschland","378","0.18195595264767","0.166095343916896","0.197816561378444"
"Nein, nie","2012","Staedtischer Raum","Westdeutschland","1744","0.627437174220626","0.609720832660436","0.645153515780816"
"Nein, nie","2012","Staedtischer Raum","Ostdeutschland","188","0.561655388909035","0.508120867800024","0.615189910018046"
"Nein, nie","2012","Laendlicher Raum","Westdeutschland","863","0.655457901447122","0.630266206850325","0.680649596043919"
"Nein, nie","2012","Laendlicher Raum","Ostdeutschland","374","0.625472925135577","0.58648473237772","0.664461117893434"
"Ja, jede Woche","2012","Staedtischer Raum","Westdeutschland","225","0.0760588905597155","0.0663451544562229","0.0857726266632081"
"Ja, jede Woche","2012","Staedtischer Raum","Ostdeutschland","20","","",""
"Ja, jede Woche","2012","Laendlicher Raum","Westdeutschland","105","0.0640432766213301","0.051064657437161","0.0770218958054993"
"Ja, jede Woche","2012","Laendlicher Raum","Ostdeutschland","43","0.0650269684135406","0.0451644856419011","0.08488945118518"
"Ja, alle 2 Wochen","2012","Staedtischer Raum","Westdeutschland","291","0.0984105556357281","0.0874957900402791","0.109325321231177"
"Ja, alle 2 Wochen","2012","Staedtischer Raum","Ostdeutschland","35","0.108496092006221","0.0749408948890991","0.142051289123343"
"Ja, alle 2 Wochen","2012","Laendlicher Raum","Westdeutschland","134","0.0943146137719464","0.0788213823083181","0.109807845235575"
"Ja, alle 2 Wochen","2012","Laendlicher Raum","Ostdeutschland","65","0.107552913695834","0.0825960753593992","0.132509752032268"
"Ja, alle 3-4 Wochen","2012","Staedtischer Raum","Westdeutschland","159","0.0577834945663944","0.0492334886045702","0.0663335005282187"
"Ja, alle 3-4 Wochen","2012","Staedtischer Raum","Ostdeutschland","23","","",""
"Ja, alle 3-4 Wochen","2012","Laendlicher Raum","Westdeutschland","81","0.0515801888605039","0.0398553844598493","0.0633049932611585"
"Ja, alle 3-4 Wochen","2012","Laendlicher Raum","Ostdeutschland","38","0.0680347069969019","0.0477507646882221","0.0883186493055816"
"Seltener","2012","Staedtischer Raum","Westdeutschland","442","0.140309885017536","0.127583523296078","0.153036246738994"
"Seltener","2012","Staedtischer Raum","Ostdeutschland","64","0.196375127722121","0.153514251405521","0.239236004038721"
"Seltener","2012","Laendlicher Raum","Westdeutschland","184","0.134604019299098","0.116511448334703","0.152696590263493"
"Seltener","2012","Laendlicher Raum","Ostdeutschland","72","0.133912485758147","0.106479147251381","0.161345824264913"
"Nein, nie","2013","Staedtischer Raum","Westdeutschland","5362","0.606311562539175","0.595991774662985","0.616631350415365"
"Nein, nie","2013","Staedtischer Raum","Ostdeutschland","646","0.542450098141416","0.513428320727172","0.57147187555566"
"Nein, nie","2013","Laendlicher Raum","Westdeutschland","2072","0.607493914978209","0.591149909035574","0.623837920920844"
"Nein, nie","2013","Laendlicher Raum","Ostdeutschland","1221","0.556526972424391","0.535334545781606","0.577719399067176"
"Ja, jede Woche","2013","Staedtischer Raum","Westdeutschland","581","0.0643799140835646","0.0591958366483551","0.0695639915187741"
"Ja, jede Woche","2013","Staedtischer Raum","Ostdeutschland","76","0.0586234617893662","0.0449385408429934","0.0723083827357389"
"Ja, jede Woche","2013","Laendlicher Raum","Westdeutschland","211","0.0522710338435451","0.0448213649493195","0.0597207027377707"
"Ja, jede Woche","2013","Laendlicher Raum","Ostdeutschland","134","0.0601051324869892","0.049966032805735","0.0702442321682434"
"Ja, alle 2 Wochen","2013","Staedtischer Raum","Westdeutschland","758","0.0867740237669267","0.0808279470030998","0.0927201005307536"
"Ja, alle 2 Wochen","2013","Staedtischer Raum","Ostdeutschland","115","0.0940462705377543","0.0770423653318158","0.111050175743693"
"Ja, alle 2 Wochen","2013","Laendlicher Raum","Westdeutschland","366","0.10656456043551","0.0962368908476923","0.116892230023327"
"Ja, alle 2 Wochen","2013","Laendlicher Raum","Ostdeutschland","256","0.133481051617646","0.118973209652818","0.147988893582474"
"Ja, alle 3-4 Wochen","2013","Staedtischer Raum","Westdeutschland","414","0.0527304412556017","0.0480096585713285","0.0574512239398749"
"Ja, alle 3-4 Wochen","2013","Staedtischer Raum","Ostdeutschland","67","0.069545503253707","0.054726910112252","0.0843640963951621"
"Ja, alle 3-4 Wochen","2013","Laendlicher Raum","Westdeutschland","193","0.0522912525596977","0.0448402224997196","0.0597422826196758"
"Ja, alle 3-4 Wochen","2013","Laendlicher Raum","Ostdeutschland","126","0.0586938854469971","0.0486670048257609","0.0687207660682334"
"Seltener","2013","Staedtischer Raum","Westdeutschland","1495","0.189804058354732","0.181520931851985","0.19808718485748"
"Seltener","2013","Staedtischer Raum","Ostdeutschland","228","0.235334666277757","0.210622914577617","0.260046417977896"
"Seltener","2013","Laendlicher Raum","Westdeutschland","587","0.181379238183038","0.168481917075512","0.194276559290565"
"Seltener","2013","Laendlicher Raum","Ostdeutschland","374","0.191192958023976","0.174417963677156","0.207967952370796"
"Nein, nie","2014","Staedtischer Raum","Westdeutschland","","","",""
"Nein, nie","2014","Staedtischer Raum","Ostdeutschland","","","",""
"Nein, nie","2014","Laendlicher Raum","Westdeutschland","","","",""
"Nein, nie","2014","Laendlicher Raum","Ostdeutschland","","","",""
"Ja, jede Woche","2014","Staedtischer Raum","Westdeutschland","","","",""
"Ja, jede Woche","2014","Staedtischer Raum","Ostdeutschland","","","",""
"Ja, jede Woche","2014","Laendlicher Raum","Westdeutschland","","","",""
"Ja, jede Woche","2014","Laendlicher Raum","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2014","Staedtischer Raum","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2014","Staedtischer Raum","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2014","Laendlicher Raum","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2014","Laendlicher Raum","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2014","Staedtischer Raum","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2014","Staedtischer Raum","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2014","Laendlicher Raum","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2014","Laendlicher Raum","Ostdeutschland","","","",""
"Seltener","2014","Staedtischer Raum","Westdeutschland","","","",""
"Seltener","2014","Staedtischer Raum","Ostdeutschland","","","",""
"Seltener","2014","Laendlicher Raum","Westdeutschland","","","",""
"Seltener","2014","Laendlicher Raum","Ostdeutschland","","","",""
"Nein, nie","2015","Staedtischer Raum","Westdeutschland","5393","0.59365687320503","0.583364092095445","0.603949654314615"
"Nein, nie","2015","Staedtischer Raum","Ostdeutschland","592","0.550689008029091","0.520340666138874","0.581037349919308"
"Nein, nie","2015","Laendlicher Raum","Westdeutschland","2089","0.611550887956044","0.59522545979875","0.627876316113338"
"Nein, nie","2015","Laendlicher Raum","Ostdeutschland","1112","0.595549089797431","0.573280948801067","0.617817230793795"
"Ja, jede Woche","2015","Staedtischer Raum","Westdeutschland","603","0.0651396210282667","0.0599681449685087","0.0703110970880247"
"Ja, jede Woche","2015","Staedtischer Raum","Ostdeutschland","70","0.0602162487679304","0.0457025181900811","0.0747299793457797"
"Ja, jede Woche","2015","Laendlicher Raum","Westdeutschland","224","0.067624206446678","0.0592135905669172","0.0760348223264389"
"Ja, jede Woche","2015","Laendlicher Raum","Ostdeutschland","119","0.0568536602042305","0.0463470885213625","0.0673602318870986"
"Ja, alle 2 Wochen","2015","Staedtischer Raum","Westdeutschland","823","0.097168506589103","0.0909614651927431","0.103375547985463"
"Ja, alle 2 Wochen","2015","Staedtischer Raum","Ostdeutschland","108","0.116014562589135","0.0964762501061399","0.13555287507213"
"Ja, alle 2 Wochen","2015","Laendlicher Raum","Westdeutschland","351","0.0964525761906055","0.08656445899858","0.106340693382631"
"Ja, alle 2 Wochen","2015","Laendlicher Raum","Ostdeutschland","225","0.128817271454083","0.11361760885304","0.144016934055126"
"Ja, alle 3-4 Wochen","2015","Staedtischer Raum","Westdeutschland","421","0.0555422809823768","0.0507424975363997","0.0603420644283538"
"Ja, alle 3-4 Wochen","2015","Staedtischer Raum","Ostdeutschland","72","0.0681504197923113","0.0527754094354282","0.0835254301491945"
"Ja, alle 3-4 Wochen","2015","Laendlicher Raum","Westdeutschland","198","0.0550263535225654","0.0473884102497077","0.0626642967954232"
"Ja, alle 3-4 Wochen","2015","Laendlicher Raum","Ostdeutschland","115","0.0670786888185863","0.0557283961302751","0.0784289815068975"
"Seltener","2015","Staedtischer Raum","Westdeutschland","1507","0.188492718195224","0.180296528014827","0.19668890837562"
"Seltener","2015","Staedtischer Raum","Ostdeutschland","190","0.204929760821533","0.18030264756446","0.229556874078605"
"Seltener","2015","Laendlicher Raum","Westdeutschland","562","0.169345975884107","0.15678339878157","0.181908552986645"
"Seltener","2015","Laendlicher Raum","Ostdeutschland","295","0.151701289725669","0.135424778906992","0.167977800544346"
"Nein, nie","2016","Staedtischer Raum","Westdeutschland","","","",""
"Nein, nie","2016","Staedtischer Raum","Ostdeutschland","","","",""
"Nein, nie","2016","Laendlicher Raum","Westdeutschland","","","",""
"Nein, nie","2016","Laendlicher Raum","Ostdeutschland","","","",""
"Ja, jede Woche","2016","Staedtischer Raum","Westdeutschland","","","",""
"Ja, jede Woche","2016","Staedtischer Raum","Ostdeutschland","","","",""
"Ja, jede Woche","2016","Laendlicher Raum","Westdeutschland","","","",""
"Ja, jede Woche","2016","Laendlicher Raum","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2016","Staedtischer Raum","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2016","Staedtischer Raum","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2016","Laendlicher Raum","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2016","Laendlicher Raum","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2016","Staedtischer Raum","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2016","Staedtischer Raum","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2016","Laendlicher Raum","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2016","Laendlicher Raum","Ostdeutschland","","","",""
"Seltener","2016","Staedtischer Raum","Westdeutschland","","","",""
"Seltener","2016","Staedtischer Raum","Ostdeutschland","","","",""
"Seltener","2016","Laendlicher Raum","Westdeutschland","","","",""
"Seltener","2016","Laendlicher Raum","Ostdeutschland","","","",""
"Nein, nie","2017","Staedtischer Raum","Westdeutschland","6032","0.621192985264422","0.611455303613475","0.630930666915368"
"Nein, nie","2017","Staedtischer Raum","Ostdeutschland","713","0.62928168818708","0.601182438287485","0.657380938086676"
"Nein, nie","2017","Laendlicher Raum","Westdeutschland","2395","0.645143803549537","0.629813503283645","0.660474103815429"
"Nein, nie","2017","Laendlicher Raum","Ostdeutschland","1303","0.612076290391302","0.591284934908934","0.63286764587367"
"Ja, jede Woche","2017","Staedtischer Raum","Westdeutschland","666","0.0665238011830926","0.0615214584083739","0.0715261439578113"
"Ja, jede Woche","2017","Staedtischer Raum","Ostdeutschland","65","0.062300547031531","0.0482391677875243","0.0763619262755378"
"Ja, jede Woche","2017","Laendlicher Raum","Westdeutschland","253","0.0633710376050795","0.0555650941692367","0.0711769810409222"
"Ja, jede Woche","2017","Laendlicher Raum","Ostdeutschland","133","0.0624162050680228","0.0520942826730236","0.072738127463022"
"Ja, alle 2 Wochen","2017","Staedtischer Raum","Westdeutschland","890","0.0938256100402909","0.0879723221522921","0.0996788979282897"
"Ja, alle 2 Wochen","2017","Staedtischer Raum","Ostdeutschland","103","0.0875928429309913","0.0711461413282607","0.104039544533722"
"Ja, alle 2 Wochen","2017","Laendlicher Raum","Westdeutschland","377","0.0947905835948564","0.085405171864936","0.104175995324777"
"Ja, alle 2 Wochen","2017","Laendlicher Raum","Ostdeutschland","243","0.117315320262051","0.103584799061102","0.131045841462999"
"Ja, alle 3-4 Wochen","2017","Staedtischer Raum","Westdeutschland","589","0.0618306397195932","0.056995870071163","0.0666654093680233"
"Ja, alle 3-4 Wochen","2017","Staedtischer Raum","Ostdeutschland","77","0.064441321342637","0.050156727562055","0.078725915123219"
"Ja, alle 3-4 Wochen","2017","Laendlicher Raum","Westdeutschland","222","0.0477977778662264","0.0409623666288279","0.0546331891036249"
"Ja, alle 3-4 Wochen","2017","Laendlicher Raum","Ostdeutschland","145","0.0580430965301481","0.0480661494924519","0.0680200435678442"
"Seltener","2017","Staedtischer Raum","Westdeutschland","1356","0.156626963792602","0.149331105080422","0.163922822504781"
"Seltener","2017","Staedtischer Raum","Ostdeutschland","177","0.15638360050776","0.135252687066238","0.177514513949282"
