"plb0219","year","age_gr","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein, nie","2007","66 +","Ostdeutschland","17","","",""
"Ja, jede Woche","2007","17-34","Westdeutschland","115","0.0482991778260513","0.0392429744411817","0.0573553812109208"
"Ja, jede Woche","2007","17-34","Ostdeutschland","42","0.0632704462341483","0.045622386605403","0.0809185058628937"
"Ja, jede Woche","2007","35-65","Westdeutschland","441","0.0665900616515381","0.0604210334919595","0.0727590898111167"
"Ja, jede Woche","2007","35-65","Ostdeutschland","111","0.0640925989548577","0.0526209618481042","0.0755642360616112"
"Ja, jede Woche","2007","66 +","Westdeutschland","14","","",""
"Ja, jede Woche","2007","66 +","Ostdeutschland","2","","",""
"Ja, alle 2 Wochen","2007","17-34","Westdeutschland","196","0.102939631199839","0.0901036753303151","0.115775587069363"
"Ja, alle 2 Wochen","2007","17-34","Ostdeutschland","78","0.129941236214799","0.105566653325356","0.154315819104243"
"Ja, alle 2 Wochen","2007","35-65","Westdeutschland","456","0.0756181803615298","0.0690761185558667","0.082160242167193"
"Ja, alle 2 Wochen","2007","35-65","Ostdeutschland","204","0.124260914260827","0.108809805233944","0.13971202328771"
"Ja, alle 2 Wochen","2007","66 +","Westdeutschland","6","","",""
"Ja, alle 2 Wochen","2007","66 +","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2007","17-34","Westdeutschland","110","0.0514145076204087","0.0420861077169003","0.060742907523917"
"Ja, alle 3-4 Wochen","2007","17-34","Ostdeutschland","42","0.0500673869198497","0.0342580642183493","0.0658767096213501"
"Ja, alle 3-4 Wochen","2007","35-65","Westdeutschland","336","0.0538253037710927","0.0482411837605892","0.0594094237815961"
"Ja, alle 3-4 Wochen","2007","35-65","Ostdeutschland","96","0.0657265296607563","0.0541197329626355","0.0773333263588772"
"Ja, alle 3-4 Wochen","2007","66 +","Westdeutschland","8","","",""
"Ja, alle 3-4 Wochen","2007","66 +","Ostdeutschland","1","","",""
"Seltener","2007","17-34","Westdeutschland","308","0.154061660062605","0.138812612569071","0.169310707556138"
"Seltener","2007","17-34","Ostdeutschland","117","0.150260719594036","0.124357426355878","0.176164012832194"
"Seltener","2007","35-65","Westdeutschland","1227","0.192158958921612","0.182409756023265","0.201908161819959"
"Seltener","2007","35-65","Ostdeutschland","365","0.213677758889014","0.194478478200785","0.232877039577243"
"Seltener","2007","66 +","Westdeutschland","28","","",""
"Seltener","2007","66 +","Ostdeutschland","5","","",""
"Nein, nie","2008","17-34","Westdeutschland","","","",""
"Nein, nie","2008","17-34","Ostdeutschland","","","",""
"Nein, nie","2008","35-65","Westdeutschland","","","",""
"Nein, nie","2008","35-65","Ostdeutschland","","","",""
"Nein, nie","2008","66 +","Westdeutschland","","","",""
"Nein, nie","2008","66 +","Ostdeutschland","","","",""
"Ja, jede Woche","2008","17-34","Westdeutschland","","","",""
"Ja, jede Woche","2008","17-34","Ostdeutschland","","","",""
"Ja, jede Woche","2008","35-65","Westdeutschland","","","",""
"Ja, jede Woche","2008","35-65","Ostdeutschland","","","",""
"Ja, jede Woche","2008","66 +","Westdeutschland","","","",""
"Ja, jede Woche","2008","66 +","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2008","17-34","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2008","17-34","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2008","35-65","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2008","35-65","Ostdeutschland","","","",""
"Ja, alle 2 Wochen","2008","66 +","Westdeutschland","","","",""
"Ja, alle 2 Wochen","2008","66 +","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","17-34","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","17-34","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","35-65","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","35-65","Ostdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","66 +","Westdeutschland","","","",""
"Ja, alle 3-4 Wochen","2008","66 +","Ostdeutschland","","","",""
"Seltener","2008","17-34","Westdeutschland","","","",""
"Seltener","2008","17-34","Ostdeutschland","","","",""
"Seltener","2008","35-65","Westdeutschland","","","",""
"Seltener","2008","35-65","Ostdeutschland","","","",""
"Seltener","2008","66 +","Westdeutschland","","","",""
"Seltener","2008","66 +","Ostdeutschland","","","",""
"Nein, nie","2009","17-34","Westdeutschland","1190","0.616197860938533","0.594255875143413","0.638139846733653"
"Nein, nie","2009","17-34","Ostdeutschland","366","0.587939884344771","0.549165088678378","0.626714680011163"
"Nein, nie","2009","35-65","Westdeutschland","3277","0.596011710779829","0.582991359698036","0.609032061861621"
"Nein, nie","2009","35-65","Ostdeutschland","915","0.525701408490152","0.501578555877362","0.549824261102943"
"Nein, nie","2009","66 +","Westdeutschland","108","0.59884516503969","0.527441238780825","0.670249091298556"
"Nein, nie","2009","66 +","Ostdeutschland","12","","",""
"Ja, jede Woche","2009","17-34","Westdeutschland","109","0.0635778102426848","0.0525687367229052","0.0745868837624644"
"Ja, jede Woche","2009","17-34","Ostdeutschland","44","0.0655984321777949","0.0460947650749249","0.085102099280665"
"Ja, jede Woche","2009","35-65","Westdeutschland","391","0.0730810200437467","0.0661749003996431","0.0799871396878502"
"Ja, jede Woche","2009","35-65","Ostdeutschland","127","0.0763473098292473","0.0635185582682797","0.0891760613902148"
"Ja, jede Woche","2009","66 +","Westdeutschland","15","","",""
"Ja, jede Woche","2009","66 +","Ostdeutschland","1","","",""
"Ja, alle 2 Wochen","2009","17-34","Westdeutschland","180","0.0911436456832123","0.0781577185103052","0.104129572856119"
"Ja, alle 2 Wochen","2009","17-34","Ostdeutschland","65","0.119706630581233","0.0941339893834761","0.14527927177899"
