"plb0219","year","age_gr","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja, jede Woche","2006","66 +","Staedtischer Raum","","","",""
"Ja, jede Woche","2006","66 +","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2006","17-34","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2006","17-34","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2006","35-65","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2006","35-65","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2006","66 +","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2006","66 +","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2006","17-34","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2006","17-34","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2006","35-65","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2006","35-65","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2006","66 +","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2006","66 +","Laendlicher Raum","","","",""
"Seltener","2006","17-34","Staedtischer Raum","","","",""
"Seltener","2006","17-34","Laendlicher Raum","","","",""
"Seltener","2006","35-65","Staedtischer Raum","","","",""
"Seltener","2006","35-65","Laendlicher Raum","","","",""
"Seltener","2006","66 +","Staedtischer Raum","","","",""
"Seltener","2006","66 +","Laendlicher Raum","","","",""
"Nein, nie","2007","17-34","Staedtischer Raum","1236","","",""
"Nein, nie","2007","17-34","Laendlicher Raum","640","0.605417231674916","0.575333925750071","0.635500537599761"
"Nein, nie","2007","35-65","Staedtischer Raum","3246","0.608467737224218","0.595383868779106","0.621551605669329"
"Nein, nie","2007","35-65","Laendlicher Raum","1543","","",""
"Nein, nie","2007","66 +","Staedtischer Raum","62","0.592000144276036","0.49887925531896","0.685121033233112"
"Nein, nie","2007","66 +","Laendlicher Raum","41","0.694496945564081","0.577946103874452","0.81104778725371"
"Ja, jede Woche","2007","17-34","Staedtischer Raum","98","0.0476621762159109","0.0380058987038279","0.0573184537279939"
"Ja, jede Woche","2007","17-34","Laendlicher Raum","59","0.0583008432948454","0.0438789385550783","0.0727227480346125"
"Ja, jede Woche","2007","35-65","Staedtischer Raum","360","0.0650277817647654","0.0584180712852539","0.071637492244277"
"Ja, jede Woche","2007","35-65","Laendlicher Raum","192","","",""
"Ja, jede Woche","2007","66 +","Staedtischer Raum","7","0.0678934283517941","0.0202280706150701","0.115558786088518"
"Ja, jede Woche","2007","66 +","Laendlicher Raum","9","0.185127753122266","0.0868505034015534","0.283405002842978"
"Ja, alle 2 Wochen","2007","17-34","Staedtischer Raum","168","","",""
"Ja, alle 2 Wochen","2007","17-34","Laendlicher Raum","106","","",""
"Ja, alle 2 Wochen","2007","35-65","Staedtischer Raum","405","0.0784858624595737","0.0712767743667969","0.0856949505523506"
"Ja, alle 2 Wochen","2007","35-65","Laendlicher Raum","255","","",""
"Ja, alle 2 Wochen","2007","66 +","Staedtischer Raum","6","0.0455066906759357","0.00601731447250476","0.0849960668793667"
"Ja, alle 2 Wochen","2007","66 +","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2007","17-34","Staedtischer Raum","104","","",""
"Ja, alle 3-4 Wochen","2007","17-34","Laendlicher Raum","48","0.0485378171958805","0.0353107061370883","0.0617649282546726"
"Ja, alle 3-4 Wochen","2007","35-65","Staedtischer Raum","270","","",""
"Ja, alle 3-4 Wochen","2007","35-65","Laendlicher Raum","162","","",""
"Ja, alle 3-4 Wochen","2007","66 +","Staedtischer Raum","8","0.0587027818473695","0.0141629132976601","0.103242650397079"
"Ja, alle 3-4 Wochen","2007","66 +","Laendlicher Raum","1","","",""
"Seltener","2007","17-34","Staedtischer Raum","264","","",""
"Seltener","2007","17-34","Laendlicher Raum","161","","",""
"Seltener","2007","35-65","Staedtischer Raum","1065","","",""
"Seltener","2007","35-65","Laendlicher Raum","527","0.195069577618484","0.180064588771469","0.210074566465498"
"Seltener","2007","66 +","Staedtischer Raum","24","","",""
"Seltener","2007","66 +","Laendlicher Raum","9","0.103298129143231","0.0262889078743119","0.180307350412149"
"Nein, nie","2008","17-34","Staedtischer Raum","","","",""
"Nein, nie","2008","17-34","Laendlicher Raum","","","",""
"Nein, nie","2008","35-65","Staedtischer Raum","","","",""
"Nein, nie","2008","35-65","Laendlicher Raum","","","",""
"Nein, nie","2008","66 +","Staedtischer Raum","","","",""
"Nein, nie","2008","66 +","Laendlicher Raum","","","",""
"Ja, jede Woche","2008","17-34","Staedtischer Raum","","","",""
"Ja, jede Woche","2008","17-34","Laendlicher Raum","","","",""
"Ja, jede Woche","2008","35-65","Staedtischer Raum","","","",""
"Ja, jede Woche","2008","35-65","Laendlicher Raum","","","",""
"Ja, jede Woche","2008","66 +","Staedtischer Raum","","","",""
"Ja, jede Woche","2008","66 +","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2008","17-34","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2008","17-34","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2008","35-65","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2008","35-65","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2008","66 +","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2008","66 +","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2008","17-34","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2008","17-34","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2008","35-65","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2008","35-65","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2008","66 +","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2008","66 +","Laendlicher Raum","","","",""
"Seltener","2008","17-34","Staedtischer Raum","","","",""
"Seltener","2008","17-34","Laendlicher Raum","","","",""
"Seltener","2008","35-65","Staedtischer Raum","","","",""
"Seltener","2008","35-65","Laendlicher Raum","","","",""
"Seltener","2008","66 +","Staedtischer Raum","","","",""
"Seltener","2008","66 +","Laendlicher Raum","","","",""
"Nein, nie","2009","17-34","Staedtischer Raum","1032","","",""
"Nein, nie","2009","17-34","Laendlicher Raum","524","0.584338462761527","0.551226458632878","0.617450466890177"
"Nein, nie","2009","35-65","Staedtischer Raum","2755","","",""
"Nein, nie","2009","35-65","Laendlicher Raum","1437","","",""
"Nein, nie","2009","66 +","Staedtischer Raum","81","0.640232711331717","0.559572676856222","0.720892745807213"
"Nein, nie","2009","66 +","Laendlicher Raum","39","0.543389581357319","0.424117375404683","0.662661787309955"
"Ja, jede Woche","2009","17-34","Staedtischer Raum","103","","",""
"Ja, jede Woche","2009","17-34","Laendlicher Raum","50","0.069217086693412","0.0521635613814325","0.0862706120053916"
"Ja, jede Woche","2009","35-65","Staedtischer Raum","336","0.0770700474219545","0.0693845415225153","0.0847555533213937"
"Ja, jede Woche","2009","35-65","Laendlicher Raum","182","","",""
"Ja, jede Woche","2009","66 +","Staedtischer Raum","7","0.0267695501409071","-0.000357777796932655","0.0538968780787469"
"Ja, jede Woche","2009","66 +","Laendlicher Raum","9","0.111320246238765","0.0360071657207097","0.186633326756821"
"Ja, alle 2 Wochen","2009","17-34","Staedtischer Raum","158","","",""
"Ja, alle 2 Wochen","2009","17-34","Laendlicher Raum","87","0.105825799201549","0.0851581939936845","0.126493404409414"
"Ja, alle 2 Wochen","2009","35-65","Staedtischer Raum","355","0.0764535464440391","0.068796285148308","0.0841108077397702"
"Ja, alle 2 Wochen","2009","35-65","Laendlicher Raum","233","","",""
"Ja, alle 2 Wochen","2009","66 +","Staedtischer Raum","10","","",""
"Ja, alle 2 Wochen","2009","66 +","Laendlicher Raum","2","","",""
"Ja, alle 3-4 Wochen","2009","17-34","Staedtischer Raum","98","0.066094265720403","0.0541245867127227","0.0780639447280833"
"Ja, alle 3-4 Wochen","2009","17-34","Laendlicher Raum","38","0.0424192508679884","0.0288781955731877","0.0559603061627891"
"Ja, alle 3-4 Wochen","2009","35-65","Staedtischer Raum","244","","",""
"Ja, alle 3-4 Wochen","2009","35-65","Laendlicher Raum","161","","",""
"Ja, alle 3-4 Wochen","2009","66 +","Staedtischer Raum","3","","",""
"Ja, alle 3-4 Wochen","2009","66 +","Laendlicher Raum","5","0.0998806237082042","0.0280844387357922","0.171676808680616"
"Seltener","2009","17-34","Staedtischer Raum","264","","",""
"Seltener","2009","17-34","Laendlicher Raum","152","","",""
"Seltener","2009","35-65","Staedtischer Raum","936","0.207347030495723","0.195664532039819","0.219029528951626"
"Seltener","2009","35-65","Laendlicher Raum","463","0.185493431852285","0.170183109510742","0.200803754193829"
"Seltener","2009","66 +","Staedtischer Raum","35","0.222678418592784","0.152755738883163","0.292601098302405"
"Seltener","2009","66 +","Laendlicher Raum","12","","",""
"Nein, nie","2010","17-34","Staedtischer Raum","490","0.5638674831831","0.531028190296359","0.596706776069841"
"Nein, nie","2010","17-34","Laendlicher Raum","315","0.59671683781049","0.555456064101387","0.637977611519592"
"Nein, nie","2010","35-65","Staedtischer Raum","1087","","",""
"Nein, nie","2010","35-65","Laendlicher Raum","654","0.611337291173389","0.582609819288929","0.640064763057848"
"Nein, nie","2010","66 +","Staedtischer Raum","1","","",""
"Nein, nie","2010","66 +","Laendlicher Raum","","","",""
"Ja, jede Woche","2010","17-34","Staedtischer Raum","62","0.0645858879002762","0.0483091708476684","0.0808626049528841"
"Ja, jede Woche","2010","17-34","Laendlicher Raum","46","0.078781731611202","0.0561226549759086","0.101440808246495"
"Ja, jede Woche","2010","35-65","Staedtischer Raum","129","","",""
"Ja, jede Woche","2010","35-65","Laendlicher Raum","82","0.0657932585553497","0.0511821649127877","0.0804043521979117"
"Ja, jede Woche","2010","66 +","Staedtischer Raum","","","",""
"Ja, jede Woche","2010","66 +","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2010","17-34","Staedtischer Raum","123","","",""
"Ja, alle 2 Wochen","2010","17-34","Laendlicher Raum","64","0.112311770760242","0.0857540350864033","0.138869506434081"
"Ja, alle 2 Wochen","2010","35-65","Staedtischer Raum","215","","",""
"Ja, alle 2 Wochen","2010","35-65","Laendlicher Raum","109","","",""
"Ja, alle 2 Wochen","2010","66 +","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2010","66 +","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2010","17-34","Staedtischer Raum","48","0.0552878655995192","0.0401536228067996","0.0704221083922387"
"Ja, alle 3-4 Wochen","2010","17-34","Laendlicher Raum","28","","",""
"Ja, alle 3-4 Wochen","2010","35-65","Staedtischer Raum","140","","",""
"Ja, alle 3-4 Wochen","2010","35-65","Laendlicher Raum","79","0.0732845504552801","0.0579260100970775","0.0886430908134827"
"Ja, alle 3-4 Wochen","2010","66 +","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2010","66 +","Laendlicher Raum","","","",""
"Seltener","2010","17-34","Staedtischer Raum","153","","",""
"Seltener","2010","17-34","Laendlicher Raum","90","0.162752047440506","0.131703702570817","0.193800392310195"
"Seltener","2010","35-65","Staedtischer Raum","423","0.205362576600349","0.187631680967667","0.223093472233031"
"Seltener","2010","35-65","Laendlicher Raum","182","","",""
"Seltener","2010","66 +","Staedtischer Raum","1","","",""
"Seltener","2010","66 +","Laendlicher Raum","","","",""
"Nein, nie","2011","17-34","Staedtischer Raum","1626","","",""
"Nein, nie","2011","17-34","Laendlicher Raum","951","0.640581609976099","0.616266867465514","0.664896352486683"
"Nein, nie","2011","35-65","Staedtischer Raum","4653","0.602944553969004","0.592071526823868","0.613817581114141"
"Nein, nie","2011","35-65","Laendlicher Raum","2556","","",""
"Nein, nie","2011","66 +","Staedtischer Raum","87","0.600470628901293","0.521020994394041","0.679920263408545"
"Nein, nie","2011","66 +","Laendlicher Raum","36","0.501020417733127","0.383044695270772","0.618996140195482"
"Ja, jede Woche","2011","17-34","Staedtischer Raum","173","","",""
"Ja, jede Woche","2011","17-34","Laendlicher Raum","80","0.0419679835187766","0.03180710270615","0.0521288643314032"
"Ja, jede Woche","2011","35-65","Staedtischer Raum","600","0.0750584179836295","0.0692032001000735","0.0809136358671855"
"Ja, jede Woche","2011","35-65","Laendlicher Raum","310","0.0670789692477223","0.0596815008014398","0.0744764376940048"
"Ja, jede Woche","2011","66 +","Staedtischer Raum","13","","",""
"Ja, jede Woche","2011","66 +","Laendlicher Raum","9","0.161447007393084","0.0746302018277377","0.248263812958431"
"Ja, alle 2 Wochen","2011","17-34","Staedtischer Raum","260","","",""
"Ja, alle 2 Wochen","2011","17-34","Laendlicher Raum","168","","",""
"Ja, alle 2 Wochen","2011","35-65","Staedtischer Raum","693","0.0888264646104376","0.0825044143743769","0.0951485148464982"
"Ja, alle 2 Wochen","2011","35-65","Laendlicher Raum","468","0.106167082419204","0.0970576650026037","0.115276499835804"
"Ja, alle 2 Wochen","2011","66 +","Staedtischer Raum","14","","",""
"Ja, alle 2 Wochen","2011","66 +","Laendlicher Raum","3","","",""
"Ja, alle 3-4 Wochen","2011","17-34","Staedtischer Raum","138","","",""
"Ja, alle 3-4 Wochen","2011","17-34","Laendlicher Raum","82","0.0520242856404439","0.0407708802839151","0.0632776909969727"
"Ja, alle 3-4 Wochen","2011","35-65","Staedtischer Raum","439","0.0542970536535834","0.0492614480486269","0.0593326592585398"
"Ja, alle 3-4 Wochen","2011","35-65","Laendlicher Raum","294","","",""
"Ja, alle 3-4 Wochen","2011","66 +","Staedtischer Raum","4","0.0192219500460185","-0.00304987231840378","0.0414937724104408"
"Ja, alle 3-4 Wochen","2011","66 +","Laendlicher Raum","3","","",""
"Seltener","2011","17-34","Staedtischer Raum","363","0.144594376293808","0.130970839780439","0.158217912807177"
"Seltener","2011","17-34","Laendlicher Raum","215","","",""
"Seltener","2011","35-65","Staedtischer Raum","1394","","",""
"Seltener","2011","35-65","Laendlicher Raum","765","0.191557262606445","0.179920251937693","0.203194273275198"
"Seltener","2011","66 +","Staedtischer Raum","28","","",""
"Seltener","2011","66 +","Laendlicher Raum","18","","",""
"Nein, nie","2012","17-34","Staedtischer Raum","454","0.660860625116831","0.625714637793322","0.69600661244034"
"Nein, nie","2012","17-34","Laendlicher Raum","337","0.661767192645633","0.621142535285431","0.702391850005835"
"Nein, nie","2012","35-65","Staedtischer Raum","1476","","",""
"Nein, nie","2012","35-65","Laendlicher Raum","900","0.640455421189877","0.615644634640653","0.665266207739101"
"Nein, nie","2012","66 +","Staedtischer Raum","2","","",""
"Nein, nie","2012","66 +","Laendlicher Raum","","","",""
"Ja, jede Woche","2012","17-34","Staedtischer Raum","47","0.0648545075831395","0.0465717636123354","0.0831372515539437"
"Ja, jede Woche","2012","17-34","Laendlicher Raum","33","0.0599118449756114","0.0395334551098","0.0802902348414227"
"Ja, jede Woche","2012","35-65","Staedtischer Raum","198","","",""
"Ja, jede Woche","2012","35-65","Laendlicher Raum","115","","",""
"Ja, jede Woche","2012","66 +","Staedtischer Raum","","","",""
"Ja, jede Woche","2012","66 +","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2012","17-34","Staedtischer Raum","70","0.109896802484968","0.086677754405761","0.133115850564174"
"Ja, alle 2 Wochen","2012","17-34","Laendlicher Raum","52","0.0911714787313924","0.0664542542036828","0.115888703259102"
"Ja, alle 2 Wochen","2012","35-65","Staedtischer Raum","256","","",""
"Ja, alle 2 Wochen","2012","35-65","Laendlicher Raum","147","","",""
"Ja, alle 2 Wochen","2012","66 +","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2012","66 +","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2012","17-34","Staedtischer Raum","41","0.063437622690158","0.0453420011102367","0.0815332442700794"
"Ja, alle 3-4 Wochen","2012","17-34","Laendlicher Raum","28","","",""
"Ja, alle 3-4 Wochen","2012","35-65","Staedtischer Raum","141","","",""
"Ja, alle 3-4 Wochen","2012","35-65","Laendlicher Raum","90","0.0592797144683434","0.0470700701361366","0.0714893588005502"
"Ja, alle 3-4 Wochen","2012","66 +","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2012","66 +","Laendlicher Raum","1","","",""
"Seltener","2012","17-34","Staedtischer Raum","85","0.100950442124904","0.0785849926504463","0.123315891599362"
"Seltener","2012","17-34","Laendlicher Raum","71","0.13877021526328","0.109085227046248","0.168455203480311"
"Seltener","2012","35-65","Staedtischer Raum","421","0.161969514114557","0.147504441419661","0.176434586809453"
"Seltener","2012","35-65","Laendlicher Raum","185","","",""
"Seltener","2012","66 +","Staedtischer Raum","","","",""
"Seltener","2012","66 +","Laendlicher Raum","","","",""
"Nein, nie","2013","17-34","Staedtischer Raum","1498","","",""
"Nein, nie","2013","17-34","Laendlicher Raum","801","0.620890513406151","0.594196915260849","0.647584111551452"
"Nein, nie","2013","35-65","Staedtischer Raum","4389","0.585137662951298","0.573790954928872","0.596484370973724"
"Nein, nie","2013","35-65","Laendlicher Raum","2439","","",""
"Nein, nie","2013","66 +","Staedtischer Raum","121","","",""
"Nein, nie","2013","66 +","Laendlicher Raum","53","0.652972978769723","0.550563938557671","0.755382018981774"
"Ja, jede Woche","2013","17-34","Staedtischer Raum","139","","",""
"Ja, jede Woche","2013","17-34","Laendlicher Raum","76","0.058101475598548","0.0452304569552891","0.0709724942418069"
"Ja, jede Woche","2013","35-65","Staedtischer Raum","504","0.0687471067648015","0.0629200415488873","0.0745741719807157"
"Ja, jede Woche","2013","35-65","Laendlicher Raum","264","","",""
"Ja, jede Woche","2013","66 +","Staedtischer Raum","14","","",""
"Ja, jede Woche","2013","66 +","Laendlicher Raum","5","0.0626941014853794","0.010543050969579","0.11484515200118"
"Ja, alle 2 Wochen","2013","17-34","Staedtischer Raum","228","","",""
"Ja, alle 2 Wochen","2013","17-34","Laendlicher Raum","164","","",""
"Ja, alle 2 Wochen","2013","35-65","Staedtischer Raum","638","0.0885183345493826","0.0819768030933017","0.0950598660054635"
"Ja, alle 2 Wochen","2013","35-65","Laendlicher Raum","453","0.109565637756198","0.100105817258339","0.119025458254057"
"Ja, alle 2 Wochen","2013","66 +","Staedtischer Raum","7","0.0409166087373071","0.012822878486007","0.0690103389886072"
"Ja, alle 2 Wochen","2013","66 +","Laendlicher Raum","5","0.0777816360300229","0.0201628021335593","0.135400469926486"
"Ja, alle 3-4 Wochen","2013","17-34","Staedtischer Raum","132","","",""
"Ja, alle 3-4 Wochen","2013","17-34","Laendlicher Raum","69","0.0432350928094502","0.0320448864213691","0.0544252991975313"
"Ja, alle 3-4 Wochen","2013","35-65","Staedtischer Raum","344","0.0543872644621986","0.0491645760971756","0.0596099528272216"
"Ja, alle 3-4 Wochen","2013","35-65","Laendlicher Raum","247","","",""
"Ja, alle 3-4 Wochen","2013","66 +","Staedtischer Raum","5","0.0160356824843688","-0.00177845526939369","0.0338498202381313"
"Ja, alle 3-4 Wochen","2013","66 +","Laendlicher Raum","3","","",""
"Seltener","2013","17-34","Staedtischer Raum","311","0.172444470880965","0.157032669687478","0.187856272074451"
"Seltener","2013","17-34","Laendlicher Raum","159","","",""
"Seltener","2013","35-65","Staedtischer Raum","1368","","",""
"Seltener","2013","35-65","Laendlicher Raum","785","0.200180158323639","0.188061588887008","0.21229872776027"
"Seltener","2013","66 +","Staedtischer Raum","44","0.180806892266576","0.126227079309615","0.235386705223537"
"Seltener","2013","66 +","Laendlicher Raum","17","","",""
"Nein, nie","2014","17-34","Staedtischer Raum","","","",""
"Nein, nie","2014","17-34","Laendlicher Raum","","","",""
"Nein, nie","2014","35-65","Staedtischer Raum","","","",""
"Nein, nie","2014","35-65","Laendlicher Raum","","","",""
"Nein, nie","2014","66 +","Staedtischer Raum","","","",""
"Nein, nie","2014","66 +","Laendlicher Raum","","","",""
"Ja, jede Woche","2014","17-34","Staedtischer Raum","","","",""
"Ja, jede Woche","2014","17-34","Laendlicher Raum","","","",""
"Ja, jede Woche","2014","35-65","Staedtischer Raum","","","",""
"Ja, jede Woche","2014","35-65","Laendlicher Raum","","","",""
"Ja, jede Woche","2014","66 +","Staedtischer Raum","","","",""
"Ja, jede Woche","2014","66 +","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2014","17-34","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2014","17-34","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2014","35-65","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2014","35-65","Laendlicher Raum","","","",""
"Ja, alle 2 Wochen","2014","66 +","Staedtischer Raum","","","",""
"Ja, alle 2 Wochen","2014","66 +","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2014","17-34","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2014","17-34","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2014","35-65","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2014","35-65","Laendlicher Raum","","","",""
"Ja, alle 3-4 Wochen","2014","66 +","Staedtischer Raum","","","",""
"Ja, alle 3-4 Wochen","2014","66 +","Laendlicher Raum","","","",""
"Seltener","2014","17-34","Staedtischer Raum","","","",""
"Seltener","2014","17-34","Laendlicher Raum","","","",""
"Seltener","2014","35-65","Staedtischer Raum","","","",""
"Seltener","2014","35-65","Laendlicher Raum","","","",""
"Seltener","2014","66 +","Staedtischer Raum","","","",""
"Seltener","2014","66 +","Laendlicher Raum","","","",""
"Nein, nie","2015","17-34","Staedtischer Raum","1548","","",""
"Nein, nie","2015","17-34","Laendlicher Raum","759","0.626821459029922","0.599479721094253","0.654163196965591"
"Nein, nie","2015","35-65","Staedtischer Raum","4302","0.581173103200942","0.569733340656157","0.592612865745727"
"Nein, nie","2015","35-65","Laendlicher Raum","2379","","",""
"Nein, nie","2015","66 +","Staedtischer Raum","135","","",""
"Nein, nie","2015","66 +","Laendlicher Raum","63","0.632339146198182","0.540113401348574","0.72456489104779"
"Ja, jede Woche","2015","17-34","Staedtischer Raum","157","","",""
"Ja, jede Woche","2015","17-34","Laendlicher Raum","82","0.0656780569115092","0.0516739867052099","0.0796821271178086"
"Ja, jede Woche","2015","35-65","Staedtischer Raum","498","0.0639593593323371","0.0582859204665496","0.0696327981981246"
"Ja, jede Woche","2015","35-65","Laendlicher Raum","253","","",""
"Ja, jede Woche","2015","66 +","Staedtischer Raum","18","","",""
"Ja, jede Woche","2015","66 +","Laendlicher Raum","8","0.0722978692811549","0.0227619225515178","0.121833816010792"
"Ja, alle 2 Wochen","2015","17-34","Staedtischer Raum","268","","",""
"Ja, alle 2 Wochen","2015","17-34","Laendlicher Raum","156","","",""
"Ja, alle 2 Wochen","2015","35-65","Staedtischer Raum","659","0.0979589279048646","0.0910663427171994","0.10485151309253"
"Ja, alle 2 Wochen","2015","35-65","Laendlicher Raum","414","0.0989159124471315","0.0896442272234624","0.108187597670801"
"Ja, alle 2 Wochen","2015","66 +","Staedtischer Raum","4","0.00561758034664026","-0.00449099165341848","0.015726152346699"
"Ja, alle 2 Wochen","2015","66 +","Laendlicher Raum","6","0.0428500240069148","0.00411364934415644","0.0815863986696731"
"Ja, alle 3-4 Wochen","2015","17-34","Staedtischer Raum","131","","",""
"Ja, alle 3-4 Wochen","2015","17-34","Laendlicher Raum","62","0.039386265353756","0.0283900647434294","0.0503824659640825"
"Ja, alle 3-4 Wochen","2015","35-65","Staedtischer Raum","352","0.0539000238025498","0.0486638992489566","0.0591361483561431"
"Ja, alle 3-4 Wochen","2015","35-65","Laendlicher Raum","247","","",""
"Ja, alle 3-4 Wochen","2015","66 +","Staedtischer Raum","10","","",""
"Ja, alle 3-4 Wochen","2015","66 +","Laendlicher Raum","4","0.0208440603817434","-0.00648159167867548","0.0481697124421622"
"Seltener","2015","17-34","Staedtischer Raum","320","0.160150027615083","0.145550253102094","0.174749802128073"
"Seltener","2015","17-34","Laendlicher Raum","143","","",""
"Seltener","2015","35-65","Staedtischer Raum","1334","","",""
"Seltener","2015","35-65","Laendlicher Raum","690","0.172455697367686","0.160723554643284","0.184187840092088"
"Seltener","2015","66 +","Staedtischer Raum","43","0.179990282192336","0.128029883809823","0.231950680574849"
"Seltener","2015","66 +","Laendlicher Raum","24","","",""
"Nein, nie","2016","17-34","Staedtischer Raum","","","",""
"Nein, nie","2016","17-34","Laendlicher Raum","","","",""
"Nein, nie","2016","35-65","Staedtischer Raum","","","",""
"Nein, nie","2016","35-65","Laendlicher Raum","","","",""
"Nein, nie","2016","66 +","Staedtischer Raum","","","",""
