"plb0219","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja, alle 3-4 Wochen","2009","Laendlicher Raum","weiblich","97","0.0625389354185197","0.0507663115123794","0.07431155932466"
"Seltener","2009","Staedtischer Raum","maennlich","765","0.229077160972274","0.21474571019873","0.243408611745817"
"Seltener","2009","Staedtischer Raum","weiblich","470","0.149986108709062","0.137445248773393","0.162526968644731"
"Seltener","2009","Laendlicher Raum","maennlich","397","0.21916665156355","0.1998891570834","0.2384441460437"
"Seltener","2009","Laendlicher Raum","weiblich","230","","",""
"Nein, nie","2010","Staedtischer Raum","maennlich","793","0.520370575913291","0.495775807779088","0.544965344047494"
"Nein, nie","2010","Staedtischer Raum","weiblich","785","0.613339714792312","0.586734048196465","0.639945381388158"
"Nein, nie","2010","Laendlicher Raum","maennlich","514","0.595687993007711","0.563446077887885","0.627929908127536"
"Nein, nie","2010","Laendlicher Raum","weiblich","455","0.619086097719044","0.584538636293757","0.653633559144332"
"Ja, jede Woche","2010","Staedtischer Raum","maennlich","104","","",""
"Ja, jede Woche","2010","Staedtischer Raum","weiblich","87","0.068187550390704","0.0544162289215663","0.0819588718598418"
"Ja, jede Woche","2010","Laendlicher Raum","maennlich","71","0.0689416865125282","0.0522967370648911","0.0855866359601652"
"Ja, jede Woche","2010","Laendlicher Raum","weiblich","57","0.0723212050220753","0.0538940264391271","0.0907483836050234"
"Ja, alle 2 Wochen","2010","Staedtischer Raum","maennlich","186","","",""
"Ja, alle 2 Wochen","2010","Staedtischer Raum","weiblich","152","","",""
"Ja, alle 2 Wochen","2010","Laendlicher Raum","maennlich","79","0.0788626796825278","0.0611554328264813","0.0965699265385743"
"Ja, alle 2 Wochen","2010","Laendlicher Raum","weiblich","94","0.124096944698327","0.100641926822065","0.147551962574589"
"Ja, alle 3-4 Wochen","2010","Staedtischer Raum","maennlich","123","","",""
"Ja, alle 3-4 Wochen","2010","Staedtischer Raum","weiblich","65","0.0471286253658421","0.0355510306115692","0.0587062201201149"
"Ja, alle 3-4 Wochen","2010","Laendlicher Raum","maennlich","65","0.0770374330479512","0.0595189687227741","0.0945558973731282"
"Ja, alle 3-4 Wochen","2010","Laendlicher Raum","weiblich","42","0.0494096747123059","0.0339916088907658","0.064827740533846"
"Seltener","2010","Staedtischer Raum","maennlich","379","0.220884336123532","0.200461460839475","0.241307211407589"
"Seltener","2010","Staedtischer Raum","weiblich","198","","",""
"Seltener","2010","Laendlicher Raum","maennlich","161","","",""
"Seltener","2010","Laendlicher Raum","weiblich","111","","",""
"Nein, nie","2011","Staedtischer Raum","maennlich","2931","","",""
"Nein, nie","2011","Staedtischer Raum","weiblich","3435","0.661823411757663","0.649023882127136","0.674622941388191"
"Nein, nie","2011","Laendlicher Raum","maennlich","1702","","",""
"Nein, nie","2011","Laendlicher Raum","weiblich","1841","","",""
"Ja, jede Woche","2011","Staedtischer Raum","maennlich","409","0.0766747865019543","0.0694685180060124","0.0838810549978962"
"Ja, jede Woche","2011","Staedtischer Raum","weiblich","377","0.0746813510859325","0.0675691681547102","0.0817935340171548"
"Ja, jede Woche","2011","Laendlicher Raum","maennlich","208","","",""
"Ja, jede Woche","2011","Laendlicher Raum","weiblich","191","","",""
"Ja, alle 2 Wochen","2011","Staedtischer Raum","maennlich","449","0.0844788481148088","0.0769467670222023","0.0920109292074153"
"Ja, alle 2 Wochen","2011","Staedtischer Raum","weiblich","518","0.101089995851279","0.0929342558172041","0.109245735885354"
"Ja, alle 2 Wochen","2011","Laendlicher Raum","maennlich","279","","",""
"Ja, alle 2 Wochen","2011","Laendlicher Raum","weiblich","360","0.113078394945867","0.101663948269479","0.124492841622256"
"Ja, alle 3-4 Wochen","2011","Staedtischer Raum","maennlich","343","0.0593593148445737","0.0529595631593392","0.0657590665298082"
"Ja, alle 3-4 Wochen","2011","Staedtischer Raum","weiblich","238","","",""
"Ja, alle 3-4 Wochen","2011","Laendlicher Raum","maennlich","210","","",""
"Ja, alle 3-4 Wochen","2011","Laendlicher Raum","weiblich","169","","",""
"Seltener","2011","Staedtischer Raum","maennlich","1105","","",""
"Seltener","2011","Staedtischer Raum","weiblich","680","0.120074830036431","0.111280555108246","0.128869104964616"
"Seltener","2011","Laendlicher Raum","maennlich","602","0.230795474044739","0.215720740212099","0.245870207877379"
"Seltener","2011","Laendlicher Raum","weiblich","396","0.133498127533434","0.121239417605635","0.145756837461233"
"Nein, nie","2012","Staedtischer Raum","maennlich","854","0.582386196324468","0.557552879252791","0.607219513396144"
"Nein, nie","2012","Staedtischer Raum","weiblich","1078","","",""
"Nein, nie","2012","Laendlicher Raum","maennlich","587","0.638639316329938","0.607994263869248","0.669284368790628"
"Nein, nie","2012","Laendlicher Raum","weiblich","650","0.655621385134412","0.626389305518207","0.684853464750618"
"Ja, jede Woche","2012","Staedtischer Raum","maennlich","112","","",""
"Ja, jede Woche","2012","Staedtischer Raum","weiblich","133","","",""
"Ja, jede Woche","2012","Laendlicher Raum","maennlich","70","0.0613225598803712","0.0460176624995223","0.0766274572612202"
"Ja, jede Woche","2012","Laendlicher Raum","weiblich","78","0.0674712277661474","0.052039821804391","0.0829026337279038"
"Ja, alle 2 Wochen","2012","Staedtischer Raum","maennlich","155","","",""
"Ja, alle 2 Wochen","2012","Staedtischer Raum","weiblich","171","","",""
"Ja, alle 2 Wochen","2012","Laendlicher Raum","maennlich","74","0.0784251512926327","0.0612755083159764","0.095574794269289"
"Ja, alle 2 Wochen","2012","Laendlicher Raum","weiblich","125","","",""
"Ja, alle 3-4 Wochen","2012","Staedtischer Raum","maennlich","102","","",""
"Ja, alle 3-4 Wochen","2012","Staedtischer Raum","weiblich","80","0.0474676921783491","0.0372876400935341","0.057647744263164"
"Ja, alle 3-4 Wochen","2012","Laendlicher Raum","maennlich","64","0.06721282392082","0.0512400829598452","0.0831855648817948"
"Ja, alle 3-4 Wochen","2012","Laendlicher Raum","weiblich","55","0.0447724595677166","0.0320499154958092","0.057495003639624"
"Seltener","2012","Staedtischer Raum","maennlich","292","","",""
"Seltener","2012","Staedtischer Raum","weiblich","214","","",""
"Seltener","2012","Laendlicher Raum","maennlich","149","","",""
"Seltener","2012","Laendlicher Raum","weiblich","107","","",""
"Nein, nie","2013","Staedtischer Raum","maennlich","2707","","",""
"Nein, nie","2013","Staedtischer Raum","weiblich","3301","0.645973107408555","0.632745590480061","0.659200624337049"
"Nein, nie","2013","Laendlicher Raum","maennlich","1505","","",""
"Nein, nie","2013","Laendlicher Raum","weiblich","1788","","",""
"Ja, jede Woche","2013","Staedtischer Raum","maennlich","315","0.055506537770944","0.048975192566603","0.062037882975285"
"Ja, jede Woche","2013","Staedtischer Raum","weiblich","342","0.0730762831908014","0.0658774318946253","0.0802751344869775"
"Ja, jede Woche","2013","Laendlicher Raum","maennlich","181","","",""
"Ja, jede Woche","2013","Laendlicher Raum","weiblich","164","","",""
"Ja, alle 2 Wochen","2013","Staedtischer Raum","maennlich","392","0.079957383895032","0.0722205307951029","0.087694236994961"
"Ja, alle 2 Wochen","2013","Staedtischer Raum","weiblich","481","0.0958244367162665","0.0876826916334711","0.103966181799062"
"Ja, alle 2 Wochen","2013","Laendlicher Raum","maennlich","261","","",""
"Ja, alle 2 Wochen","2013","Laendlicher Raum","weiblich","361","0.122310606630251","0.11029007732005","0.134331135940452"
"Ja, alle 3-4 Wochen","2013","Staedtischer Raum","maennlich","279","","",""
"Ja, alle 3-4 Wochen","2013","Staedtischer Raum","weiblich","202","","",""
"Ja, alle 3-4 Wochen","2013","Laendlicher Raum","maennlich","156","","",""
"Ja, alle 3-4 Wochen","2013","Laendlicher Raum","weiblich","163","","",""
"Seltener","2013","Staedtischer Raum","maennlich","1028","","",""
"Seltener","2013","Staedtischer Raum","weiblich","695","0.138564246357157","0.129007940992229","0.148120551722086"
"Seltener","2013","Laendlicher Raum","maennlich","583","0.213334113939087","0.197841653361946","0.228826574516227"
"Seltener","2013","Laendlicher Raum","weiblich","378","0.153561715761664","0.14033474986884","0.166788681654487"
"Nein, nie","2014","Staedtischer Raum","maennlich","","","",""
"Nein, nie","2014","Staedtischer Raum","weiblich","","","",""
"Nein, nie","2014","Laendlicher Raum","maennlich","","","",""
"Nein, nie","2014","Laendlicher Raum","weiblich","","","",""
"Ja, jede Woche","2014","Staedtischer Raum","maennlich","","","",""
"Ja, jede Woche","2014","Staedtischer Raum","weiblich","","","",""
"Ja, jede Woche","2014","Laendlicher Raum","maennlich","","","",""
"Ja, jede Woche","2014","Laendlicher Raum","weiblich","","","",""
"Ja, alle 2 Wochen","2014","Staedtischer Raum","maennlich","","","",""
"Ja, alle 2 Wochen","2014","Staedtischer Raum","weiblich","","","",""
"Ja, alle 2 Wochen","2014","Laendlicher Raum","maennlich","","","",""
"Ja, alle 2 Wochen","2014","Laendlicher Raum","weiblich","","","",""
"Ja, alle 3-4 Wochen","2014","Staedtischer Raum","maennlich","","","",""
"Ja, alle 3-4 Wochen","2014","Staedtischer Raum","weiblich","","","",""
"Ja, alle 3-4 Wochen","2014","Laendlicher Raum","maennlich","","","",""
"Ja, alle 3-4 Wochen","2014","Laendlicher Raum","weiblich","","","",""
"Seltener","2014","Staedtischer Raum","maennlich","","","",""
"Seltener","2014","Staedtischer Raum","weiblich","","","",""
"Seltener","2014","Laendlicher Raum","maennlich","","","",""
"Seltener","2014","Laendlicher Raum","weiblich","","","",""
"Nein, nie","2015","Staedtischer Raum","maennlich","2755","","",""
"Nein, nie","2015","Staedtischer Raum","weiblich","3230","0.622016246318107","0.608573518789915","0.635458973846299"
"Nein, nie","2015","Laendlicher Raum","maennlich","1505","","",""
"Nein, nie","2015","Laendlicher Raum","weiblich","1696","","",""
"Ja, jede Woche","2015","Staedtischer Raum","maennlich","335","0.0639750974957776","0.0570386372926209","0.0709115576989342"
"Ja, jede Woche","2015","Staedtischer Raum","weiblich","338","0.0654584421953168","0.0586014744396129","0.0723154099510207"
"Ja, jede Woche","2015","Laendlicher Raum","maennlich","170","","",""
"Ja, jede Woche","2015","Laendlicher Raum","weiblich","173","","",""
"Ja, alle 2 Wochen","2015","Staedtischer Raum","maennlich","414","0.0851800798143014","0.0772673643896821","0.0930927952389208"
"Ja, alle 2 Wochen","2015","Staedtischer Raum","weiblich","517","0.114352216421549","0.105529490693599","0.1231749421495"
"Ja, alle 2 Wochen","2015","Laendlicher Raum","maennlich","234","","",""
"Ja, alle 2 Wochen","2015","Laendlicher Raum","weiblich","342","0.125854304741984","0.113343300885509","0.13836530859846"
"Ja, alle 3-4 Wochen","2015","Staedtischer Raum","maennlich","284","","",""
"Ja, alle 3-4 Wochen","2015","Staedtischer Raum","weiblich","209","","",""
"Ja, alle 3-4 Wochen","2015","Laendlicher Raum","maennlich","175","","",""
"Ja, alle 3-4 Wochen","2015","Laendlicher Raum","weiblich","138","","",""
"Seltener","2015","Staedtischer Raum","maennlich","993","0.226251355863618","0.214391367445426","0.238111344281809"
"Seltener","2015","Staedtischer Raum","weiblich","704","0.149524926699218","0.139638540790007","0.15941131260843"
"Seltener","2015","Laendlicher Raum","maennlich","506","0.193127634341393","0.177924860315016","0.208330408367769"
"Seltener","2015","Laendlicher Raum","weiblich","351","0.12974264274089","0.117068125378782","0.142417160102998"
"Nein, nie","2016","Staedtischer Raum","maennlich","","","",""
"Nein, nie","2016","Staedtischer Raum","weiblich","","","",""
"Nein, nie","2016","Laendlicher Raum","maennlich","","","",""
"Nein, nie","2016","Laendlicher Raum","weiblich","","","",""
"Ja, jede Woche","2016","Staedtischer Raum","maennlich","","","",""
"Ja, jede Woche","2016","Staedtischer Raum","weiblich","","","",""
"Ja, jede Woche","2016","Laendlicher Raum","maennlich","","","",""
"Ja, jede Woche","2016","Laendlicher Raum","weiblich","","","",""
"Ja, alle 2 Wochen","2016","Staedtischer Raum","maennlich","","","",""
"Ja, alle 2 Wochen","2016","Staedtischer Raum","weiblich","","","",""
"Ja, alle 2 Wochen","2016","Laendlicher Raum","maennlich","","","",""
"Ja, alle 2 Wochen","2016","Laendlicher Raum","weiblich","","","",""
"Ja, alle 3-4 Wochen","2016","Staedtischer Raum","maennlich","","","",""
"Ja, alle 3-4 Wochen","2016","Staedtischer Raum","weiblich","","","",""
"Ja, alle 3-4 Wochen","2016","Laendlicher Raum","maennlich","","","",""
"Ja, alle 3-4 Wochen","2016","Laendlicher Raum","weiblich","","","",""
"Seltener","2016","Staedtischer Raum","maennlich","","","",""
"Seltener","2016","Staedtischer Raum","weiblich","","","",""
"Seltener","2016","Laendlicher Raum","maennlich","","","",""
"Seltener","2016","Laendlicher Raum","weiblich","","","",""
"Nein, nie","2017","Staedtischer Raum","maennlich","3076","0.588899626120233","0.575500459541163","0.602298792699303"
"Nein, nie","2017","Staedtischer Raum","weiblich","3669","0.658874061806446","0.646331113955452","0.67141700965744"
"Nein, nie","2017","Laendlicher Raum","maennlich","1731","","",""
"Nein, nie","2017","Laendlicher Raum","weiblich","1967","","",""
"Ja, jede Woche","2017","Staedtischer Raum","maennlich","361","0.0685090546329905","0.0616297187032675","0.0753883905627134"
"Ja, jede Woche","2017","Staedtischer Raum","weiblich","370","0.063493402620432","0.0570419017372504","0.0699449035036136"
"Ja, jede Woche","2017","Laendlicher Raum","maennlich","189","","",""
"Ja, jede Woche","2017","Laendlicher Raum","weiblich","197","","",""
"Ja, alle 2 Wochen","2017","Staedtischer Raum","maennlich","452","0.0868162336981035","0.0791485750077979","0.094483892388409"
"Ja, alle 2 Wochen","2017","Staedtischer Raum","weiblich","541","0.100473754719153","0.0925199618798951","0.10842754755841"
"Ja, alle 2 Wochen","2017","Laendlicher Raum","maennlich","255","","",""
"Ja, alle 2 Wochen","2017","Laendlicher Raum","weiblich","365","0.116210000258203","0.10474019218602","0.127679808330385"
"Ja, alle 3-4 Wochen","2017","Staedtischer Raum","maennlich","376","0.0749721986042856","0.0678006866383298","0.0821437105702414"
"Ja, alle 3-4 Wochen","2017","Staedtischer Raum","weiblich","290","","",""
"Ja, alle 3-4 Wochen","2017","Laendlicher Raum","maennlich","196","","",""
"Ja, alle 3-4 Wochen","2017","Laendlicher Raum","weiblich","171","","",""
"Seltener","2017","Staedtischer Raum","maennlich","915","0.180802886944387","0.170322432897675","0.1912833409911"
"Seltener","2017","Staedtischer Raum","weiblich","618","0.129531259925329","0.120647334089294","0.138415185761364"
"Seltener","2017","Laendlicher Raum","maennlich","482","0.188062483074341","0.173723789201621","0.202401176947061"
"Seltener","2017","Laendlicher Raum","weiblich","299","","",""
"Nein, nie","2018","Staedtischer Raum","maennlich","","","",""
"Nein, nie","2018","Staedtischer Raum","weiblich","","","",""
"Nein, nie","2018","Laendlicher Raum","maennlich","","","",""
"Nein, nie","2018","Laendlicher Raum","weiblich","","","",""
"Ja, jede Woche","2018","Staedtischer Raum","maennlich","","","",""
"Ja, jede Woche","2018","Staedtischer Raum","weiblich","","","",""
"Ja, jede Woche","2018","Laendlicher Raum","maennlich","","","",""
"Ja, jede Woche","2018","Laendlicher Raum","weiblich","","","",""
"Ja, alle 2 Wochen","2018","Staedtischer Raum","maennlich","","","",""
"Ja, alle 2 Wochen","2018","Staedtischer Raum","weiblich","","","",""
"Ja, alle 2 Wochen","2018","Laendlicher Raum","maennlich","","","",""
"Ja, alle 2 Wochen","2018","Laendlicher Raum","weiblich","","","",""
"Ja, alle 3-4 Wochen","2018","Staedtischer Raum","maennlich","","","",""
"Ja, alle 3-4 Wochen","2018","Staedtischer Raum","weiblich","","","",""
"Ja, alle 3-4 Wochen","2018","Laendlicher Raum","maennlich","","","",""
"Ja, alle 3-4 Wochen","2018","Laendlicher Raum","weiblich","","","",""
"Seltener","2018","Staedtischer Raum","maennlich","","","",""
"Seltener","2018","Staedtischer Raum","weiblich","","","",""
"Seltener","2018","Laendlicher Raum","maennlich","","","",""
"Seltener","2018","Laendlicher Raum","weiblich","","","",""
"Nein, nie","2019","Staedtischer Raum","maennlich","3017","0.592547310079363","0.579405322322004","0.605689297836723"
"Nein, nie","2019","Staedtischer Raum","weiblich","3515","0.675098912752459","0.662526951426331","0.687670874078586"
"Nein, nie","2019","Laendlicher Raum","maennlich","1662","","",""
"Nein, nie","2019","Laendlicher Raum","weiblich","1825","","",""
"Ja, jede Woche","2019","Staedtischer Raum","maennlich","426","0.0667738503830635","0.0600972157979354","0.0734504849681916"
"Ja, jede Woche","2019","Staedtischer Raum","weiblich","336","0.0627426110878512","0.0562330084295298","0.0692522137461726"
"Ja, jede Woche","2019","Laendlicher Raum","maennlich","225","","",""
"Ja, jede Woche","2019","Laendlicher Raum","weiblich","175","","",""
"Ja, alle 2 Wochen","2019","Staedtischer Raum","maennlich","476","0.0901855722594768","0.0825242118938092","0.0978469326251444"
"Ja, alle 2 Wochen","2019","Staedtischer Raum","weiblich","519","0.09898928598569","0.0909724532368829","0.107006118734497"
"Ja, alle 2 Wochen","2019","Laendlicher Raum","maennlich","261","","",""
"Ja, alle 2 Wochen","2019","Laendlicher Raum","weiblich","326","0.11556405658941","0.103692651735928","0.127435461442892"
"Ja, alle 3-4 Wochen","2019","Staedtischer Raum","maennlich","376","0.0656810371510513","0.0590553865363816","0.0723066877657209"
"Ja, alle 3-4 Wochen","2019","Staedtischer Raum","weiblich","279","","",""
"Ja, alle 3-4 Wochen","2019","Laendlicher Raum","maennlich","177","","",""
"Ja, alle 3-4 Wochen","2019","Laendlicher Raum","weiblich","160","","",""
"Seltener","2019","Staedtischer Raum","maennlich","1075","","",""
"Seltener","2019","Staedtischer Raum","weiblich","682","0.120261881027041","0.111530469633892","0.12899329242019"
"Seltener","2019","Laendlicher Raum","maennlich","508","0.173043823573735","0.159114048536284","0.186973598611187"
"Seltener","2019","Laendlicher Raum","weiblich","300","0.123155026132776","0.110952632973275","0.135357419292277"
