year,bula_h,hhtyp,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Schleswig-Holstein,Couple without children,No,0.96755,161,161,0.94009,0.99500
2011,Schleswig-Holstein,Couple with children,No,0.96690,95,95,0.93073,1.00306
2011,Hamburg,Single-person household,No,0.97658,73,73,0.94165,1.01151
2011,Hamburg,Couple with children,No,0.94790,41,41,0.87904,1.01677
2011,Lower Saxony,Single-person household,No,0.98031,266,266,0.96358,0.99704
2011,Lower Saxony,Couple without children,No,0.97999,420,420,0.96658,0.99340
2011,Lower Saxony,Single parent,No,0.98316,60,60,0.95033,1.01599
2011,Lower Saxony,Couple with children,No,0.96882,300,300,0.94912,0.98852
2011,North Rhine-Westphalia,Single-person household,No,0.99875,629,629,0.99599,1.00151
2011,North Rhine-Westphalia,Couple without children,No,0.99224,840,840,0.98630,0.99818
2011,North Rhine-Westphalia,Single parent,No,0.99818,153,153,0.99141,1.00495
2011,North Rhine-Westphalia,Couple with children,No,0.98525,672,672,0.97613,0.99437
2011,Hesse,Single-person household,No,0.99476,229,229,0.98539,1.00413
2011,Hesse,Couple without children,No,0.99086,279,279,0.97967,1.00205
2011,Hesse,Single parent,No,0.98732,61,61,0.95900,1.01563
2011,Hesse,Couple with children,No,0.96314,240,240,0.93925,0.98703
2011,"Rhineland-Palatinate, Saarland",Single-person household,No,0.98647,223,223,0.97127,1.00167
2011,"Rhineland-Palatinate, Saarland",Couple without children,No,0.99897,233,233,0.99483,1.00310
2011,"Rhineland-Palatinate, Saarland",Couple with children,No,0.98190,182,182,0.96247,1.00132
2011,Baden-Wuerttemberg,Single-person household,No,0.99078,394,394,0.98133,1.00023
2011,Baden-Wuerttemberg,Couple without children,No,0.99325,482,482,0.98593,1.00057
2011,Baden-Wuerttemberg,Single parent,No,0.94712,84,84,0.89897,0.99526
2011,Baden-Wuerttemberg,Couple with children,No,0.99590,404,404,0.98966,1.00214
2011,Bavaria,Single-person household,No,0.99565,509,509,0.98993,1.00137
2011,Bavaria,Couple without children,No,0.98918,649,649,0.98122,0.99715
2011,Bavaria,Single parent,No,0.96169,111,111,0.92583,0.99756
2011,Bavaria,Couple with children,No,0.98237,523,523,0.97109,0.99366
2011,Berlin,Couple with children,No,0.99678,93,93,0.98520,1.00836
2011,Brandenburg,Couple without children,No,0.98848,204,204,0.97380,1.00316
2011,Brandenburg,Couple with children,No,0.97361,110,110,0.94352,1.00370
2011,Mecklenburg-Western Pomerania,Single-person household,No,0.99434,97,97,0.97934,1.00935
2011,Mecklenburg-Western Pomerania,Couple without children,No,0.97171,117,117,0.94154,1.00188
2011,Mecklenburg-Western Pomerania,Couple with children,No,0.99550,59,59,0.97828,1.01272
2011,Saxony,Couple without children,No,0.99353,305,305,0.98451,1.00254
2011,Saxony,Couple with children,No,0.97900,201,201,0.95913,0.99887
2011,Saxony-Anhalt,Couple without children,No,0.99383,184,184,0.98248,1.00518
2011,Saxony-Anhalt,Couple with children,No,0.94441,126,126,0.90424,0.98458
2011,Thuringa,Couple without children,No,0.99107,191,191,0.97769,1.00445
2011,Thuringa,Couple with children,No,0.98406,119,119,0.96146,1.00666
2016,Schleswig-Holstein,Single-person household,No,0.99837,126,126,0.99131,1.00544
2016,Schleswig-Holstein,Couple without children,No,0.94007,128,128,0.89879,0.98135
2016,Schleswig-Holstein,Single parent,No,0.98575,56,56,0.95442,1.01707
2016,Schleswig-Holstein,Couple with children,No,0.96410,172,172,0.93621,0.99198
2016,Hamburg,Couple with children,No,0.99201,89,89,0.97342,1.01061
2016,Lower Saxony,Single-person household,No,0.98666,285,285,0.97332,1.00000
2016,Lower Saxony,Couple without children,No,0.98748,389,389,0.97642,0.99855
2016,Lower Saxony,Single parent,No,0.99353,153,153,0.98078,1.00628
2016,Lower Saxony,Couple with children,No,0.96040,463,463,0.94262,0.97819
2016,North Rhine-Westphalia,Single-person household,No,0.99909,605,605,0.99669,1.00149
2016,North Rhine-Westphalia,Couple without children,No,0.98959,779,779,0.98246,0.99672
2016,North Rhine-Westphalia,Single parent,No,0.99557,312,312,0.98819,1.00295
2016,North Rhine-Westphalia,Couple with children,No,0.98335,1122,1122,0.97586,0.99084
2016,Hesse,Couple without children,No,0.97823,275,275,0.96095,0.99551
2016,Hesse,Single parent,No,0.98666,108,108,0.96493,1.00840
2016,Hesse,Couple with children,No,0.96566,337,337,0.94619,0.98513
2016,"Rhineland-Palatinate, Saarland",Couple without children,No,0.97893,236,236,0.96057,0.99730
2016,"Rhineland-Palatinate, Saarland",Couple with children,No,0.98896,292,292,0.97695,1.00096
2016,Baden-Wuerttemberg,Single-person household,No,0.98869,345,345,0.97751,0.99986
2016,Baden-Wuerttemberg,Couple without children,No,0.98778,423,423,0.97730,0.99826
2016,Baden-Wuerttemberg,Couple with children,No,0.98964,663,663,0.98193,0.99735
2016,Bavaria,Single-person household,No,0.99599,516,516,0.99053,1.00145
2016,Bavaria,Couple without children,No,0.98761,633,633,0.97898,0.99623
2016,Bavaria,Single parent,No,0.95443,232,232,0.92754,0.98133
2016,Bavaria,Couple with children,No,0.98743,852,852,0.97995,0.99492
2016,Berlin,Single-person household,No,0.99803,226,226,0.99224,1.00382
2016,Berlin,Single parent,No,0.96954,67,67,0.92807,1.01100
2016,Brandenburg,Couple without children,No,0.99346,211,211,0.98256,1.00436
2016,Brandenburg,Couple with children,No,0.95692,143,143,0.92352,0.99031
2016,Mecklenburg-Western Pomerania,Couple without children,No,0.98370,103,103,0.95912,1.00827
2016,Mecklenburg-Western Pomerania,Couple with children,No,0.98946,75,75,0.96619,1.01273
2016,Saxony,Couple without children,No,0.99947,285,285,0.99681,1.00214
2016,Saxony,Single parent,No,0.99190,92,92,0.97349,1.01032
2016,Saxony,Couple with children,No,0.98803,241,241,0.97427,1.00179
2016,Saxony-Anhalt,Couple without children,No,0.99302,153,153,0.97978,1.00626
2016,Saxony-Anhalt,Single parent,No,0.90823,68,68,0.83910,0.97736
2016,Thuringa,Couple without children,No,0.98300,181,181,0.96411,1.00188
2016,Thuringa,Couple with children,No,0.99506,149,149,0.98376,1.00636
2021,Schleswig-Holstein,Single-person household,No,0.95115,97,97,0.90803,0.99427
2021,Schleswig-Holstein,Couple without children,No,0.89851,117,117,0.84356,0.95347
2021,Schleswig-Holstein,Single parent,No,0.87388,31,31,0.75509,0.99268
2021,Schleswig-Holstein,Couple with children,No,0.97058,149,149,0.94335,0.99780
2021,Hamburg,Single-person household,No,0.96113,81,81,0.91878,1.00349
2021,Lower Saxony,Single-person household,No,0.99561,288,288,0.98796,1.00326
2021,Lower Saxony,Couple without children,No,0.97454,325,325,0.95739,0.99170
2021,Lower Saxony,Single parent,No,0.97009,89,89,0.93449,1.00568
2021,Lower Saxony,Couple with children,No,0.97186,301,301,0.95315,0.99058
2021,North Rhine-Westphalia,Single-person household,No,0.99638,626,626,0.99167,1.00109
2021,North Rhine-Westphalia,Couple without children,No,0.99075,671,671,0.98350,0.99800
2021,North Rhine-Westphalia,Single parent,No,0.99494,163,163,0.98401,1.00587
2021,North Rhine-Westphalia,Couple with children,No,0.97230,700,700,0.96013,0.98446
2021,North Rhine-Westphalia,Other Combinations,No,0.98114,65,65,0.94781,1.01447
2021,Hesse,Single-person household,No,0.99987,206,206,0.99831,1.00143
2021,Hesse,Couple without children,No,0.96993,207,207,0.94661,0.99325
2021,Hesse,Single parent,No,0.99368,59,59,0.97329,1.01407
2021,Hesse,Couple with children,No,0.94110,176,176,0.90622,0.97598
2021,"Rhineland-Palatinate, Saarland",Couple without children,No,0.98047,162,162,0.95909,1.00184
2021,"Rhineland-Palatinate, Saarland",Single parent,No,0.96098,37,37,0.89772,1.02424
2021,"Rhineland-Palatinate, Saarland",Couple with children,No,0.98799,152,152,0.97061,1.00536
2021,Baden-Wuerttemberg,Single-person household,No,0.98324,308,308,0.96888,0.99760
2021,Baden-Wuerttemberg,Couple without children,No,0.99256,362,362,0.98369,1.00142
2021,Baden-Wuerttemberg,Couple with children,No,0.98994,409,409,0.98025,0.99962
2021,Bavaria,Single-person household,No,0.99982,518,518,0.99867,1.00097
2021,Bavaria,Couple without children,No,0.99431,501,501,0.98772,1.00090
2021,Bavaria,Single parent,No,0.92635,126,126,0.88056,0.97214
2021,Bavaria,Couple with children,No,0.99325,522,522,0.98622,1.00028
2021,Bavaria,Other Combinations,No,0.90400,43,43,0.81490,0.99309
2021,Brandenburg,Single-person household,No,0.97636,118,118,0.94882,1.00389
2021,Brandenburg,Couple without children,No,0.98505,163,163,0.96636,1.00374
2021,Brandenburg,Couple with children,No,0.96676,109,109,0.93295,1.00057
2021,Mecklenburg-Western Pomerania,Couple without children,No,0.99376,85,85,0.97693,1.01060
2021,Mecklenburg-Western Pomerania,Couple with children,No,0.96209,55,55,0.91115,1.01303
2021,Saxony,Couple without children,No,0.99480,266,266,0.98615,1.00346
2021,Saxony,Couple with children,No,0.99713,169,169,0.98905,1.00522
2021,Saxony-Anhalt,Couple without children,No,0.99902,119,119,0.99336,1.00467
2021,Saxony-Anhalt,Single parent,No,0.99641,39,39,0.97741,1.01542
2021,Saxony-Anhalt,Couple with children,No,0.99640,71,71,0.98238,1.01043
2021,Thuringa,Couple without children,No,0.99336,126,126,0.97912,1.00760
2021,Thuringa,Couple with children,No,0.98279,88,88,0.95546,1.01012
