"hlf0001_h","year","n","percent","lower_confidence_percent","upper_confidence_percent"
"Altersheim","1990","","","",""
"Mieter","1990","5","","",""
"Hauptmieter","1991","4053","0.586677970701094","0.574816720578644","0.598539220823543"
"Untermieter","1991","225","0.0336520990394107","0.0293084059679654","0.037995792110856"
"Eigentümer","1991","2339","0.379156002163963","0.367469447140284","0.390842557187642"
"Altersheim","1991","","","",""
"Mieter","1991","4","","",""
"Hauptmieter","1992","4061","0.582077764526456","0.570180460085548","0.593975068967363"
"Untermieter","1992","202","0.0332213995955054","0.0288984237600846","0.0375443754309262"
"Eigentümer","1992","2335","0.383891723212369","0.372160501926459","0.395622944498279"
"Altersheim","1992","","","",""
"Mieter","1992","4","","",""
"Hauptmieter","1993","4031","0.575940831233523","0.563989021184524","0.587892641282522"
"Untermieter","1993","216","0.0351796183122839","0.0307240786378015","0.0396351579867662"
"Eigentümer","1993","2321","0.388879550454193","0.377089857891974","0.400669243016412"
"Altersheim","1993","","","",""
"Mieter","1993","","","",""
"Hauptmieter","1994","3947","0.571299266012714","0.559261820448516","0.583336711576911"
"Untermieter","1994","215","0.0355558480643032","0.0310516295389915","0.0400600665896148"
"Eigentümer","1994","2331","0.393144885922983","0.381264126193678","0.405025645652289"
"Altersheim","1994","","","",""
"Mieter","1994","","","",""
"Hauptmieter","1995","4099","0.564850040337863","0.552976123650341","0.576723957025386"
"Untermieter","1995","234","0.0376754388434674","0.0331150918764677","0.0422357858104671"
"Eigentümer","1995","2364","0.397474520818669","0.385753908605497","0.409195133031841"
"Altersheim","1995","","","",""
"Mieter","1995","","","",""
"Hauptmieter","1996","4005","0.563634413074168","0.551697759923952","0.575571066224385"
"Untermieter","1996","231","0.0349677450201997","0.0305463094064935","0.0393891806339058"
"Eigentümer","1996","2395","0.401397841905632","0.389599656063696","0.413196027747569"
"Altersheim","1996","","","",""
"Mieter","1996","","","",""
"Hauptmieter","1997","3892","0.561200342023488","0.549179021018835","0.573221663028142"
"Untermieter","1997","210","0.0334189993221871","0.0290651245008961","0.0377728741434781"
"Eigentümer","1997","2444","0.405380658654325","0.393487119181059","0.41727419812759"
"Altersheim","1997","","","",""
"Mieter","1997","","","",""
"Hauptmieter","1998","4249","0.552286522593899","0.540969914966144","0.563603130221653"
"Untermieter","1998","267","0.0385939555432446","0.0342101929977182","0.042977718088771"
"Eigentümer","1998","2901","0.409119521862857","0.397930068411417","0.420308975314296"
"Altersheim","1998","","","",""
"Mieter","1998","","","",""
"Hauptmieter","1999","4074","0.555407378871436","0.543883605365987","0.566931152376885"
"Untermieter","1999","210","0.0313818012881646","0.0273386218846323","0.035424980691697"
"Eigentümer","1999","2859","0.413210819840399","0.401791646722215","0.424629992958584"
"Altersheim","1999","","","",""
"Mieter","1999","","","",""
"Hauptmieter","2000","6894","0.561308251985409","0.552761646584923","0.569854857385895"
"Untermieter","2000","231","0.0212619412637199","0.0187773903427523","0.0237464921846876"
"Eigentümer","2000","5825","0.417429806750871","0.408936455884292","0.425923157617449"
"Altersheim","2000","","","",""
"Mieter","2000","","","",""
"Hauptmieter","2001","6199","0.556654757443993","0.547645465539768","0.565664049348218"
"Untermieter","2001","213","0.0216703934591953","0.0190297931718006","0.0243109937465901"
"Eigentümer","2001","5267","0.421440591243437","0.412485524413915","0.43039565807296"
"Altersheim","2001","1","","",""
"Mieter","2001","","","",""
"Hauptmieter","2002","6132","0.551188323751175","0.542366938865405","0.560009708636946"
"Untermieter","2002","235","0.0226281801339335","0.0199905772232399","0.0252657830446272"
"Eigentümer","2002","5844","0.425941110207103","0.417170946586612","0.434711273827595"
"Altersheim","2002","1","","",""
"Mieter","2002","","","",""
"Hauptmieter","2003","5884","0.548858236551565","0.539881466510206","0.557835006592924"
"Untermieter","2003","260","0.0275458900241044","0.0245933455145775","0.0304984345336314"
"Eigentümer","2003","5659","0.423345901419734","0.414432594485171","0.432259208354297"
"Altersheim","2003","1","","",""
"Mieter","2003","","","",""
"Hauptmieter","2004","5725","0.55139116331747","0.542318128946635","0.560464197688305"
"Untermieter","2004","254","0.0274139332352913","0.0244351531591629","0.0303927133114196"
"Eigentümer","2004","5561","0.420834797111182","0.411828509849221","0.429841084373143"
"Altersheim","2004","3","","",""
"Mieter","2004","","","",""
"Hauptmieter","2005","5529","0.550969643661073","0.541757100272727","0.560182187049419"
"Untermieter","2005","283","0.0308901478241615","0.0276855439225415","0.0340947517257816"
"Eigentümer","2005","5385","0.418119561479477","0.408983795182921","0.427255327776034"
"Altersheim","2005","1","","",""
"Mieter","2005","","","",""
"Hauptmieter","2006","5996","0.558261793282541","0.549472556552881","0.567051030012201"
"Untermieter","2006","263","0.0262022347983901","0.0233750559650658","0.0290294136317145"
"Eigentümer","2006","6003","0.415518790690224","0.40679650439149","0.424241076988957"
"Altersheim","2006","1","","",""
"Mieter","2006","","","",""
"Hauptmieter","2007","5571","0.546146895880221","0.537028869370469","0.555264922389972"
"Untermieter","2007","261","0.0283928288823394","0.0253509763981543","0.0314346813665246"
"Eigentümer","2007","5620","0.425443425380954","0.416388689886455","0.434498160875454"
"Altersheim","2007","1","","",""
"Mieter","2007","","","",""
"Hauptmieter","2008","5203","0.5362000920259","0.526804522786385","0.545595661265414"
"Untermieter","2008","239","0.0280507973318948","0.0249398782463135","0.0311617164174761"
"Eigentümer","2008","5379","0.435732545280605","0.426390395481481","0.44507469507973"
"Altersheim","2008","1","","",""
"Mieter","2008","","","",""
"Hauptmieter","2009","4862","0.526610335644462","0.516909876767781","0.536310794521142"
"Untermieter","2009","251","0.0276140453281768","0.0244304155439829","0.0307976751123707"
"Eigentümer","2009","5063","0.445758780667749","0.436101884365784","0.455415676969714"
"Altersheim","2009","1","","",""
"Mieter","2009","","","",""
"Hauptmieter","2010","7192","0.518320426723447","0.509983565721997","0.526657287724898"
"Untermieter","2010","273","0.0253736915535242","0.022749864673372","0.0279975184336765"
"Eigentümer","2010","6331","0.456214704580728","0.447904290704646","0.46452511845681"
"Altersheim","2010","3","","",""
"Mieter","2010","","","",""
"Hauptmieter","2011","8604","0.519719725847085","0.51212019499702","0.52731925669715"
"Untermieter","2011","276","0.024165735959536","0.021829897247959","0.026501574671113"
"Eigentümer","2011","7720","0.456043270381577","0.448467269617339","0.463619271145815"
"Altersheim","2011","3","","",""
"Mieter","2011","","","",""
"Hauptmieter","2012","8437","0.52093533800669","0.513266963679786","0.528603712333594"
"Untermieter","2012","267","0.0235360016058508","0.0212089351436645","0.0258630680680372"
"Eigentümer","2012","7596","0.455466079986302","0.447821479119814","0.46311068085279"
"Altersheim","2012","3","","",""
"Mieter","2012","","","",""
"Hauptmieter","2013","9866","0.522638482519988","0.515315125454567","0.52996183958541"
"Untermieter","2013","294","0.0224474193626236","0.0202755230493997","0.0246193156758475"
"Eigentümer","2013","7708","0.454851686327124","0.447550758490238","0.462152614164011"
"Altersheim","2013","2","","",""
"Mieter","2013","","","",""
"Hauptmieter","2014","8520","0.524480001489854","0.516699923867846","0.532260079111863"
"Untermieter","2014","254","0.0213384897323034","0.0190871908097501","0.0235897886548567"
"Eigentümer","2014","7052","0.454002754337512","0.446246366084092","0.461759142590932"
"Altersheim","2014","2","","",""
"Mieter","2014","","","",""
"Hauptmieter","2015","8721","0.521921738180914","0.514124028367274","0.529719447994555"
"Untermieter","2015","304","0.0215184720074795","0.0192533223113196","0.0237836217036393"
"Eigentümer","2015","6739","0.456559789811606","0.448784088091076","0.464335491532136"
"Altersheim","2015","","","",""
"Mieter","2015","","","",""
"Hauptmieter","2016","7720","0.514209020975005","0.506017596030459","0.522400445919552"
"Untermieter","2016","279","0.0236567445919413","0.0211659171402569","0.0261475720436258"
"Eigentümer","2016","6302","0.462134234433053","0.453963033124713","0.470305435741394"
"Altersheim","2016","","","",""
"Mieter","2016","","","",""
"Hauptmieter","2017","9982","0.510410836547604","0.503000451136004","0.517821221959203"
"Untermieter","2017","436","0.0265488541960455","0.0241657396026707","0.0289319687894203"
"Eigentümer","2017","7063","0.463040309256351","0.45564859454356","0.470432023969142"
"Altersheim","2017","","","",""
"Mieter","2017","","","",""
"Hauptmieter","2018","10752","0.514137477335118","0.506811172987157","0.521463781683079"
"Untermieter","2018","367","0.0210899334376242","0.0189837430500505","0.0231961238251978"
"Eigentümer","2018","6758","0.464575495361905","0.457264678654723","0.471886312069087"
"Altersheim","2018","1","","",""
"Mieter","2018","","","",""
"Hauptmieter","2019","10157","0.509422996297626","0.50221618787832","0.516629804716932"
"Untermieter","2019","439","0.0236093627804351","0.0214205730267028","0.0257981525341675"
"Eigentümer","2019","7888","0.466967640921939","0.459775299557179","0.474159982286699"
"Altersheim","2019","","","",""
"Mieter","2019","","","",""
"Hauptmieter","2020","11800","0.515815219122166","0.508788129216688","0.522842309027643"
"Untermieter","2020","627","0.0250103733185446","0.0228146230144399","0.0272061236226494"
"Eigentümer","2020","7002","0.45917440755929","0.452167275194575","0.466181539924004"
"Altersheim","2020","","","",""
"Mieter","2020","","","",""
