"hlf0001_h","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Untermieter","1990","Staedtischer Raum","Ostdeutschland","56","0.0281884416240387","0.0209546062789902","0.0354222769690872"
"Untermieter","1990","Laendlicher Raum","Westdeutschland","79","0.0343746901945658","0.0273635795366384","0.0413858008524933"
"Untermieter","1990","Laendlicher Raum","Ostdeutschland","160","","",""
"Eigentuemer","1990","Staedtischer Raum","Westdeutschland","3619","0.430934457654956","0.421148993341246","0.440719921968667"
"Eigentuemer","1990","Staedtischer Raum","Ostdeutschland","263","","",""
"Eigentuemer","1990","Laendlicher Raum","Westdeutschland","1440","","",""
"Eigentuemer","1990","Laendlicher Raum","Ostdeutschland","1691","","",""
"Altersheim/Seniorenwohnheim","1990","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1990","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1990","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1990","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","1990","Staedtischer Raum","Westdeutschland","5","7.27505714045652e-05","-9.57871383849488e-05","0.000241288281194079"
"Mieter","1990","Staedtischer Raum","Ostdeutschland","4","0.00235680810096835","0.000237511271251501","0.00447610493068519"
"Mieter","1990","Laendlicher Raum","Westdeutschland","2","","",""
"Mieter","1990","Laendlicher Raum","Ostdeutschland","3","","",""
"Hauptmieter","1991","Staedtischer Raum","Westdeutschland","6013","0.544400683773225","0.534536956026842","0.554264411519607"
"Hauptmieter","1991","Staedtischer Raum","Ostdeutschland","1506","","",""
"Hauptmieter","1991","Laendlicher Raum","Westdeutschland","1108","","",""
"Hauptmieter","1991","Laendlicher Raum","Ostdeutschland","1903","","",""
"Untermieter","1991","Staedtischer Raum","Westdeutschland","168","","",""
"Untermieter","1991","Staedtischer Raum","Ostdeutschland","61","0.0361930142559042","0.027614728089393","0.0447713004224155"
"Untermieter","1991","Laendlicher Raum","Westdeutschland","75","0.0300326757391562","0.0235502421914662","0.0365151092868462"
"Untermieter","1991","Laendlicher Raum","Ostdeutschland","221","","",""
"Eigentuemer","1991","Staedtischer Raum","Westdeutschland","3612","0.43406622828234","0.424249856054602","0.443882600510077"
"Eigentuemer","1991","Staedtischer Raum","Ostdeutschland","250","","",""
"Eigentuemer","1991","Laendlicher Raum","Westdeutschland","1480","","",""
"Eigentuemer","1991","Laendlicher Raum","Ostdeutschland","1587","","",""
"Altersheim/Seniorenwohnheim","1991","Staedtischer Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1991","Staedtischer Raum","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1991","Laendlicher Raum","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1991","Laendlicher Raum","Ostdeutschland","","","",""
"Mieter","1991","Staedtischer Raum","Westdeutschland","","","",""
"Mieter","1991","Staedtischer Raum","Ostdeutschland","4","0.00214237230102345","1.87617170403975e-05","0.00426598288500649"
"Mieter","1991","Laendlicher Raum","Westdeutschland","","","",""
"Mieter","1991","Laendlicher Raum","Ostdeutschland","3","","",""
