"hlf0001_h","year","bula_h","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Altersheim","1984","Bremen","Ostdeutschland","","","",""
"Altersheim","1984","Nordrhein-Westfalen","Westdeutschland","","","",""
"Altersheim","1984","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Altersheim","1984","Hessen","Westdeutschland","","","",""
"Altersheim","1984","Hessen","Ostdeutschland","","","",""
"Altersheim","1984","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Altersheim","1984","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Altersheim","1984","Baden-Württemberg","Westdeutschland","","","",""
"Altersheim","1984","Baden-Württemberg","Ostdeutschland","","","",""
"Altersheim","1984","Bayern","Westdeutschland","","","",""
"Altersheim","1984","Bayern","Ostdeutschland","","","",""
"Altersheim","1984","Saarland","Westdeutschland","","","",""
"Altersheim","1984","Saarland","Ostdeutschland","","","",""
"Altersheim","1984","Berlin","Westdeutschland","","","",""
"Altersheim","1984","Berlin","Ostdeutschland","","","",""
"Altersheim","1984","Brandenburg","Westdeutschland","","","",""
"Altersheim","1984","Brandenburg","Ostdeutschland","","","",""
"Altersheim","1984","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Altersheim","1984","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Altersheim","1984","Sachsen","Westdeutschland","","","",""
"Altersheim","1984","Sachsen","Ostdeutschland","","","",""
"Altersheim","1984","Sachsen-Anhalt","Westdeutschland","","","",""
"Altersheim","1984","Sachsen-Anhalt","Ostdeutschland","","","",""
"Altersheim","1984","Thüringen","Westdeutschland","","","",""
"Altersheim","1984","Thüringen","Ostdeutschland","","","",""
"Mieter","1984","Schleswig-Holstein","Westdeutschland","","","",""
"Mieter","1984","Schleswig-Holstein","Ostdeutschland","","","",""
"Mieter","1984","Hamburg","Westdeutschland","","","",""
"Mieter","1984","Hamburg","Ostdeutschland","","","",""
"Mieter","1984","Niedersachsen","Westdeutschland","1","","",""
"Mieter","1984","Niedersachsen","Ostdeutschland","","","",""
"Mieter","1984","Bremen","Westdeutschland","","","",""
"Mieter","1984","Bremen","Ostdeutschland","","","",""
"Mieter","1984","Nordrhein-Westfalen","Westdeutschland","4","","",""
"Mieter","1984","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Mieter","1984","Hessen","Westdeutschland","2","","",""
"Mieter","1984","Hessen","Ostdeutschland","","","",""
"Mieter","1984","Rheinland-Pfalz,Saarland","Westdeutschland","1","","",""
"Mieter","1984","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Mieter","1984","Baden-Württemberg","Westdeutschland","3","","",""
"Mieter","1984","Baden-Württemberg","Ostdeutschland","","","",""
"Mieter","1984","Bayern","Westdeutschland","4","","",""
"Mieter","1984","Bayern","Ostdeutschland","","","",""
"Mieter","1984","Saarland","Westdeutschland","","","",""
"Mieter","1984","Saarland","Ostdeutschland","","","",""
"Mieter","1984","Berlin","Westdeutschland","","","",""
"Mieter","1984","Berlin","Ostdeutschland","","","",""
"Mieter","1984","Brandenburg","Westdeutschland","","","",""
"Mieter","1984","Brandenburg","Ostdeutschland","","","",""
"Mieter","1984","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Mieter","1984","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Mieter","1984","Sachsen","Westdeutschland","","","",""
"Mieter","1984","Sachsen","Ostdeutschland","","","",""
"Mieter","1984","Sachsen-Anhalt","Westdeutschland","","","",""
"Mieter","1984","Sachsen-Anhalt","Ostdeutschland","","","",""
"Mieter","1984","Thüringen","Westdeutschland","","","",""
"Mieter","1984","Thüringen","Ostdeutschland","","","",""
"Hauptmieter","1985","Schleswig-Holstein","Westdeutschland","88","0.500635417772726","0.427591931708204","0.573678903837249"
"Hauptmieter","1985","Schleswig-Holstein","Ostdeutschland","","","",""
"Hauptmieter","1985","Hamburg","Westdeutschland","136","0.855295509693337","0.800784126814932","0.909806892571742"
"Hauptmieter","1985","Hamburg","Ostdeutschland","","","",""
"Hauptmieter","1985","Niedersachsen","Westdeutschland","280","0.532056901875382","0.489087552797185","0.57502625095358"
"Hauptmieter","1985","Niedersachsen","Ostdeutschland","","","",""
"Hauptmieter","1985","Bremen","Westdeutschland","48","0.740259678584866","0.632831097900913","0.84768825926882"
"Hauptmieter","1985","Bremen","Ostdeutschland","","","",""
"Hauptmieter","1985","Nordrhein-Westfalen","Westdeutschland","984","0.663011977394892","0.638435537509864","0.687588417279921"
"Hauptmieter","1985","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Hauptmieter","1985","Hessen","Westdeutschland","358","0.56780091333106","0.525705745956908","0.609896080705212"
"Hauptmieter","1985","Hessen","Ostdeutschland","","","",""
"Hauptmieter","1985","Rheinland-Pfalz,Saarland","Westdeutschland","166","0.430589646414499","0.378862177239246","0.482317115589752"
"Hauptmieter","1985","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Hauptmieter","1985","Baden-Württemberg","Westdeutschland","576","0.512717583164813","0.480747426029906","0.544687740299721"
"Hauptmieter","1985","Baden-Württemberg","Ostdeutschland","","","",""
"Hauptmieter","1985","Bayern","Westdeutschland","495","0.525436035908656","0.492592575078417","0.558279496738894"
"Hauptmieter","1985","Bayern","Ostdeutschland","","","",""
"Hauptmieter","1985","Saarland","Westdeutschland","","","",""
"Hauptmieter","1985","Saarland","Ostdeutschland","","","",""
"Hauptmieter","1985","Berlin","Westdeutschland","182","0.888297027669649","0.844964747618087","0.931629307721211"
"Hauptmieter","1985","Berlin","Ostdeutschland","","","",""
"Hauptmieter","1985","Brandenburg","Westdeutschland","","","",""
"Hauptmieter","1985","Brandenburg","Ostdeutschland","","","",""
"Hauptmieter","1985","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Hauptmieter","1985","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Hauptmieter","1985","Sachsen","Westdeutschland","","","",""
"Hauptmieter","1985","Sachsen","Ostdeutschland","","","",""
"Hauptmieter","1985","Sachsen-Anhalt","Westdeutschland","","","",""
"Hauptmieter","1985","Sachsen-Anhalt","Ostdeutschland","","","",""
"Hauptmieter","1985","Thüringen","Westdeutschland","","","",""
"Hauptmieter","1985","Thüringen","Ostdeutschland","","","",""
"Untermieter","1985","Schleswig-Holstein","Westdeutschland","4","","",""
"Untermieter","1985","Schleswig-Holstein","Ostdeutschland","","","",""
"Untermieter","1985","Hamburg","Westdeutschland","4","","",""
"Untermieter","1985","Hamburg","Ostdeutschland","","","",""
"Untermieter","1985","Niedersachsen","Westdeutschland","7","","",""
"Untermieter","1985","Niedersachsen","Ostdeutschland","","","",""
"Untermieter","1985","Bremen","Westdeutschland","1","","",""
"Untermieter","1985","Bremen","Ostdeutschland","","","",""
"Untermieter","1985","Nordrhein-Westfalen","Westdeutschland","31","0.0185733010178366","0.0115535043135966","0.0255930977220765"
"Untermieter","1985","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Untermieter","1985","Hessen","Westdeutschland","10","","",""
"Untermieter","1985","Hessen","Ostdeutschland","","","",""
"Untermieter","1985","Rheinland-Pfalz,Saarland","Westdeutschland","5","","",""
"Untermieter","1985","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Untermieter","1985","Baden-Württemberg","Westdeutschland","14","","",""
"Untermieter","1985","Baden-Württemberg","Ostdeutschland","","","",""
"Untermieter","1985","Bayern","Westdeutschland","15","","",""
"Untermieter","1985","Bayern","Ostdeutschland","","","",""
"Untermieter","1985","Saarland","Westdeutschland","","","",""
"Untermieter","1985","Saarland","Ostdeutschland","","","",""
"Untermieter","1985","Berlin","Westdeutschland","3","","",""
"Untermieter","1985","Berlin","Ostdeutschland","","","",""
"Untermieter","1985","Brandenburg","Westdeutschland","","","",""
"Untermieter","1985","Brandenburg","Ostdeutschland","","","",""
"Untermieter","1985","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Untermieter","1985","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Untermieter","1985","Sachsen","Westdeutschland","","","",""
"Untermieter","1985","Sachsen","Ostdeutschland","","","",""
"Untermieter","1985","Sachsen-Anhalt","Westdeutschland","","","",""
"Untermieter","1985","Sachsen-Anhalt","Ostdeutschland","","","",""
"Untermieter","1985","Thüringen","Westdeutschland","","","",""
"Untermieter","1985","Thüringen","Ostdeutschland","","","",""
"Eigentümer","1985","Schleswig-Holstein","Westdeutschland","88","0.477810777829093","0.40483919590096","0.550782359757226"
"Eigentümer","1985","Schleswig-Holstein","Ostdeutschland","","","",""
"Eigentümer","1985","Hamburg","Westdeutschland","20","","",""
"Eigentümer","1985","Hamburg","Ostdeutschland","","","",""
"Eigentümer","1985","Niedersachsen","Westdeutschland","231","0.456584303214494","0.413688995352721","0.499479611076267"
"Eigentümer","1985","Niedersachsen","Ostdeutschland","","","",""
"Eigentümer","1985","Bremen","Westdeutschland","15","","",""
"Eigentümer","1985","Bremen","Ostdeutschland","","","",""
"Eigentümer","1985","Nordrhein-Westfalen","Westdeutschland","406","0.318414721587271","0.29419284861759","0.342636594556952"
"Eigentümer","1985","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Eigentümer","1985","Hessen","Westdeutschland","164","0.412914184370632","0.371075986487623","0.454752382253641"
"Eigentümer","1985","Hessen","Ostdeutschland","","","",""
"Eigentümer","1985","Rheinland-Pfalz,Saarland","Westdeutschland","181","0.546670171997082","0.49466499293122","0.598675351062944"
"Eigentümer","1985","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Eigentümer","1985","Baden-Württemberg","Westdeutschland","349","0.474532775938098","0.442593783011822","0.506471768864374"
"Eigentümer","1985","Baden-Württemberg","Ostdeutschland","","","",""
"Eigentümer","1985","Bayern","Westdeutschland","378","0.458253606204145","0.425482389312227","0.491024823096063"
"Eigentümer","1985","Bayern","Ostdeutschland","","","",""
"Eigentümer","1985","Saarland","Westdeutschland","","","",""
"Eigentümer","1985","Saarland","Ostdeutschland","","","",""
"Eigentümer","1985","Berlin","Westdeutschland","18","","",""
"Eigentümer","1985","Berlin","Ostdeutschland","","","",""
"Eigentümer","1985","Brandenburg","Westdeutschland","","","",""
"Eigentümer","1985","Brandenburg","Ostdeutschland","","","",""
"Eigentümer","1985","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Eigentümer","1985","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Eigentümer","1985","Sachsen","Westdeutschland","","","",""
"Eigentümer","1985","Sachsen","Ostdeutschland","","","",""
"Eigentümer","1985","Sachsen-Anhalt","Westdeutschland","","","",""
"Eigentümer","1985","Sachsen-Anhalt","Ostdeutschland","","","",""
"Eigentümer","1985","Thüringen","Westdeutschland","","","",""
"Eigentümer","1985","Thüringen","Ostdeutschland","","","",""
"Altersheim","1985","Schleswig-Holstein","Westdeutschland","","","",""
"Altersheim","1985","Schleswig-Holstein","Ostdeutschland","","","",""
"Altersheim","1985","Hamburg","Westdeutschland","","","",""
"Altersheim","1985","Hamburg","Ostdeutschland","","","",""
"Altersheim","1985","Niedersachsen","Westdeutschland","","","",""
"Altersheim","1985","Niedersachsen","Ostdeutschland","","","",""
"Altersheim","1985","Bremen","Westdeutschland","","","",""
"Altersheim","1985","Bremen","Ostdeutschland","","","",""
"Altersheim","1985","Nordrhein-Westfalen","Westdeutschland","","","",""
"Altersheim","1985","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Altersheim","1985","Hessen","Westdeutschland","","","",""
"Altersheim","1985","Hessen","Ostdeutschland","","","",""
"Altersheim","1985","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Altersheim","1985","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Altersheim","1985","Baden-Württemberg","Westdeutschland","","","",""
"Altersheim","1985","Baden-Württemberg","Ostdeutschland","","","",""
"Altersheim","1985","Bayern","Westdeutschland","","","",""
"Altersheim","1985","Bayern","Ostdeutschland","","","",""
"Altersheim","1985","Saarland","Westdeutschland","","","",""
"Altersheim","1985","Saarland","Ostdeutschland","","","",""
"Altersheim","1985","Berlin","Westdeutschland","","","",""
"Altersheim","1985","Berlin","Ostdeutschland","","","",""
"Altersheim","1985","Brandenburg","Westdeutschland","","","",""
"Altersheim","1985","Brandenburg","Ostdeutschland","","","",""
"Altersheim","1985","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Altersheim","1985","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Altersheim","1985","Sachsen","Westdeutschland","","","",""
"Altersheim","1985","Sachsen","Ostdeutschland","","","",""
"Altersheim","1985","Sachsen-Anhalt","Westdeutschland","","","",""
"Altersheim","1985","Sachsen-Anhalt","Ostdeutschland","","","",""
"Altersheim","1985","Thüringen","Westdeutschland","","","",""
"Altersheim","1985","Thüringen","Ostdeutschland","","","",""
"Mieter","1985","Schleswig-Holstein","Westdeutschland","","","",""
"Mieter","1985","Schleswig-Holstein","Ostdeutschland","","","",""
"Mieter","1985","Hamburg","Westdeutschland","","","",""
"Mieter","1985","Hamburg","Ostdeutschland","","","",""
"Mieter","1985","Niedersachsen","Westdeutschland","","","",""
"Mieter","1985","Niedersachsen","Ostdeutschland","","","",""
"Mieter","1985","Bremen","Westdeutschland","","","",""
"Mieter","1985","Bremen","Ostdeutschland","","","",""
"Mieter","1985","Nordrhein-Westfalen","Westdeutschland","","","",""
"Mieter","1985","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Mieter","1985","Hessen","Westdeutschland","","","",""
"Mieter","1985","Hessen","Ostdeutschland","","","",""
"Mieter","1985","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Mieter","1985","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Mieter","1985","Baden-Württemberg","Westdeutschland","","","",""
"Mieter","1985","Baden-Württemberg","Ostdeutschland","","","",""
"Mieter","1985","Bayern","Westdeutschland","","","",""
"Mieter","1985","Bayern","Ostdeutschland","","","",""
"Mieter","1985","Saarland","Westdeutschland","","","",""
"Mieter","1985","Saarland","Ostdeutschland","","","",""
"Mieter","1985","Berlin","Westdeutschland","","","",""
"Mieter","1985","Berlin","Ostdeutschland","","","",""
"Mieter","1985","Brandenburg","Westdeutschland","","","",""
"Mieter","1985","Brandenburg","Ostdeutschland","","","",""
"Mieter","1985","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Mieter","1985","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Mieter","1985","Sachsen","Westdeutschland","","","",""
"Mieter","1985","Sachsen","Ostdeutschland","","","",""
"Mieter","1985","Sachsen-Anhalt","Westdeutschland","","","",""
"Mieter","1985","Sachsen-Anhalt","Ostdeutschland","","","",""
"Mieter","1985","Thüringen","Westdeutschland","","","",""
"Mieter","1985","Thüringen","Ostdeutschland","","","",""
"Hauptmieter","1986","Schleswig-Holstein","Westdeutschland","75","0.469192457224841","0.39210580119551","0.546279113254172"
"Hauptmieter","1986","Schleswig-Holstein","Ostdeutschland","","","",""
"Hauptmieter","1986","Hamburg","Westdeutschland","120","0.837747159602807","0.777943976666327","0.897550342539288"
"Hauptmieter","1986","Hamburg","Ostdeutschland","","","",""
"Hauptmieter","1986","Niedersachsen","Westdeutschland","268","0.522792717538828","0.479696263686236","0.56588917139142"
"Hauptmieter","1986","Niedersachsen","Ostdeutschland","","","",""
"Hauptmieter","1986","Bremen","Westdeutschland","47","0.790613742949305","0.688510522615346","0.892716963283263"
"Hauptmieter","1986","Bremen","Ostdeutschland","","","",""
"Hauptmieter","1986","Nordrhein-Westfalen","Westdeutschland","930","0.660344361016544","0.635211290067735","0.685477431965354"
"Hauptmieter","1986","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Hauptmieter","1986","Hessen","Westdeutschland","324","0.587589919479082","0.544441499898022","0.630738339060143"
"Hauptmieter","1986","Hessen","Ostdeutschland","","","",""
"Hauptmieter","1986","Rheinland-Pfalz,Saarland","Westdeutschland","161","0.438015985042015","0.386405151186048","0.489626818897981"
"Hauptmieter","1986","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Hauptmieter","1986","Baden-Württemberg","Westdeutschland","530","0.489553411942287","0.456821657855174","0.522285166029399"
"Hauptmieter","1986","Baden-Württemberg","Ostdeutschland","","","",""
"Hauptmieter","1986","Bayern","Westdeutschland","452","0.523474252509183","0.489557330038965","0.557391174979401"
"Hauptmieter","1986","Bayern","Ostdeutschland","","","",""
"Hauptmieter","1986","Saarland","Westdeutschland","","","",""
"Hauptmieter","1986","Saarland","Ostdeutschland","","","",""
"Hauptmieter","1986","Berlin","Westdeutschland","177","0.891605258194003","0.848303461759983","0.934907054628022"
"Hauptmieter","1986","Berlin","Ostdeutschland","","","",""
"Hauptmieter","1986","Brandenburg","Westdeutschland","","","",""
"Hauptmieter","1986","Brandenburg","Ostdeutschland","","","",""
"Hauptmieter","1986","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Hauptmieter","1986","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Hauptmieter","1986","Sachsen","Westdeutschland","","","",""
"Hauptmieter","1986","Sachsen","Ostdeutschland","","","",""
"Hauptmieter","1986","Sachsen-Anhalt","Westdeutschland","","","",""
"Hauptmieter","1986","Sachsen-Anhalt","Ostdeutschland","","","",""
"Hauptmieter","1986","Thüringen","Westdeutschland","","","",""
"Hauptmieter","1986","Thüringen","Ostdeutschland","","","",""
"Untermieter","1986","Schleswig-Holstein","Westdeutschland","4","","",""
"Untermieter","1986","Schleswig-Holstein","Ostdeutschland","","","",""
"Untermieter","1986","Hamburg","Westdeutschland","4","","",""
"Untermieter","1986","Hamburg","Ostdeutschland","","","",""
"Untermieter","1986","Niedersachsen","Westdeutschland","10","","",""
"Untermieter","1986","Niedersachsen","Ostdeutschland","","","",""
"Untermieter","1986","Bremen","Westdeutschland","","","",""
"Untermieter","1986","Bremen","Ostdeutschland","","","",""
"Untermieter","1986","Nordrhein-Westfalen","Westdeutschland","23","","",""
"Untermieter","1986","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Untermieter","1986","Hessen","Westdeutschland","23","","",""
"Untermieter","1986","Hessen","Ostdeutschland","","","",""
"Untermieter","1986","Rheinland-Pfalz,Saarland","Westdeutschland","13","","",""
"Untermieter","1986","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Untermieter","1986","Baden-Württemberg","Westdeutschland","18","","",""
"Untermieter","1986","Baden-Württemberg","Ostdeutschland","","","",""
"Untermieter","1986","Bayern","Westdeutschland","14","","",""
"Untermieter","1986","Bayern","Ostdeutschland","","","",""
"Untermieter","1986","Saarland","Westdeutschland","","","",""
"Untermieter","1986","Saarland","Ostdeutschland","","","",""
"Untermieter","1986","Berlin","Westdeutschland","5","","",""
"Untermieter","1986","Berlin","Ostdeutschland","","","",""
"Untermieter","1986","Brandenburg","Westdeutschland","","","",""
"Untermieter","1986","Brandenburg","Ostdeutschland","","","",""
"Untermieter","1986","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Untermieter","1986","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Untermieter","1986","Sachsen","Westdeutschland","","","",""
"Untermieter","1986","Sachsen","Ostdeutschland","","","",""
"Untermieter","1986","Sachsen-Anhalt","Westdeutschland","","","",""
"Untermieter","1986","Sachsen-Anhalt","Ostdeutschland","","","",""
"Untermieter","1986","Thüringen","Westdeutschland","","","",""
"Untermieter","1986","Thüringen","Ostdeutschland","","","",""
"Eigentümer","1986","Schleswig-Holstein","Westdeutschland","82","0.498608217864047","0.421375116472211","0.575841319255883"
"Eigentümer","1986","Schleswig-Holstein","Ostdeutschland","","","",""
"Eigentümer","1986","Hamburg","Westdeutschland","22","","",""
"Eigentümer","1986","Hamburg","Ostdeutschland","","","",""
"Eigentümer","1986","Niedersachsen","Westdeutschland","238","0.462367831229821","0.419348894811394","0.505386767648248"
"Eigentümer","1986","Niedersachsen","Ostdeutschland","","","",""
"Eigentümer","1986","Bremen","Westdeutschland","14","","",""
"Eigentümer","1986","Bremen","Ostdeutschland","","","",""
"Eigentümer","1986","Nordrhein-Westfalen","Westdeutschland","411","0.321268182034017","0.29648689442416","0.346049469643874"
