"hlf0001_h","year","bula_h","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Hauptmieter","1986","Niedersachsen","Städtischer Raum","154","0.616981174982844","0.557198237701727","0.67676411226396"
"Hauptmieter","1986","Niedersachsen","Ländlicher Raum","114","0.439660145880615","0.379559138488707","0.499761153272523"
"Hauptmieter","1986","Bremen","Städtischer Raum","47","0.790613742949305","0.688510522615346","0.892716963283263"
"Hauptmieter","1986","Bremen","Ländlicher Raum","","","",""
"Hauptmieter","1986","Nordrhein-Westfalen","Städtischer Raum","918","0.666278798279825","0.640965256601463","0.691592339958187"
"Hauptmieter","1986","Nordrhein-Westfalen","Ländlicher Raum","12","","",""
"Hauptmieter","1986","Hessen","Städtischer Raum","292","0.596283163485502","0.550016208070412","0.642550118900592"
"Hauptmieter","1986","Hessen","Ländlicher Raum","32","0.544283521163013","0.425910265027333","0.662656777298693"
"Hauptmieter","1986","Rheinland-Pfalz,Saarland","Städtischer Raum","140","0.452406175296985","0.395317469397953","0.509494881196018"
"Hauptmieter","1986","Rheinland-Pfalz,Saarland","Ländlicher Raum","21","","",""
"Hauptmieter","1986","Baden-Württemberg","Städtischer Raum","464","0.508576386944316","0.473173407527338","0.543979366361295"
"Hauptmieter","1986","Baden-Württemberg","Ländlicher Raum","66","0.381050744854664","0.297568264367488","0.46453322534184"
"Hauptmieter","1986","Bayern","Städtischer Raum","275","0.579396163315935","0.533785513822297","0.625006812809574"
"Hauptmieter","1986","Bayern","Ländlicher Raum","177","0.462677183432053","0.412742145180051","0.512612221684054"
"Hauptmieter","1986","Saarland","Städtischer Raum","","","",""
"Hauptmieter","1986","Saarland","Ländlicher Raum","","","",""
"Hauptmieter","1986","Berlin","Städtischer Raum","177","0.891605258194003","0.848303461759983","0.934907054628022"
"Hauptmieter","1986","Berlin","Ländlicher Raum","","","",""
"Hauptmieter","1986","Brandenburg","Städtischer Raum","","","",""
"Hauptmieter","1986","Brandenburg","Ländlicher Raum","","","",""
"Hauptmieter","1986","Mecklenburg-Vorpommern","Städtischer Raum","","","",""
"Hauptmieter","1986","Mecklenburg-Vorpommern","Ländlicher Raum","","","",""
"Hauptmieter","1986","Sachsen","Städtischer Raum","","","",""
"Hauptmieter","1986","Sachsen","Ländlicher Raum","","","",""
"Hauptmieter","1986","Sachsen-Anhalt","Städtischer Raum","","","",""
"Hauptmieter","1986","Sachsen-Anhalt","Ländlicher Raum","","","",""
"Hauptmieter","1986","Thüringen","Städtischer Raum","","","",""
"Hauptmieter","1986","Thüringen","Ländlicher Raum","","","",""
"Untermieter","1986","Schleswig-Holstein","Städtischer Raum","1","","",""
"Untermieter","1986","Schleswig-Holstein","Ländlicher Raum","3","","",""
"Untermieter","1986","Hamburg","Städtischer Raum","4","","",""
"Untermieter","1986","Hamburg","Ländlicher Raum","","","",""
"Untermieter","1986","Niedersachsen","Städtischer Raum","7","","",""
"Untermieter","1986","Niedersachsen","Ländlicher Raum","3","","",""
"Untermieter","1986","Bremen","Städtischer Raum","","","",""
"Untermieter","1986","Bremen","Ländlicher Raum","","","",""
"Untermieter","1986","Nordrhein-Westfalen","Städtischer Raum","23","","",""
"Untermieter","1986","Nordrhein-Westfalen","Ländlicher Raum","","","",""
"Untermieter","1986","Hessen","Städtischer Raum","12","","",""
"Untermieter","1986","Hessen","Ländlicher Raum","11","","",""
"Untermieter","1986","Rheinland-Pfalz,Saarland","Städtischer Raum","12","","",""
"Untermieter","1986","Rheinland-Pfalz,Saarland","Ländlicher Raum","1","","",""
"Untermieter","1986","Baden-Württemberg","Städtischer Raum","15","","",""
"Untermieter","1986","Baden-Württemberg","Ländlicher Raum","3","","",""
"Untermieter","1986","Bayern","Städtischer Raum","9","","",""
"Untermieter","1986","Bayern","Ländlicher Raum","5","","",""
"Untermieter","1986","Saarland","Städtischer Raum","","","",""
"Untermieter","1986","Saarland","Ländlicher Raum","","","",""
"Untermieter","1986","Berlin","Städtischer Raum","5","","",""
"Untermieter","1986","Berlin","Ländlicher Raum","","","",""
"Untermieter","1986","Brandenburg","Städtischer Raum","","","",""
"Untermieter","1986","Brandenburg","Ländlicher Raum","","","",""
"Untermieter","1986","Mecklenburg-Vorpommern","Städtischer Raum","","","",""
"Untermieter","1986","Mecklenburg-Vorpommern","Ländlicher Raum","","","",""
"Untermieter","1986","Sachsen","Städtischer Raum","","","",""
"Untermieter","1986","Sachsen","Ländlicher Raum","","","",""
"Untermieter","1986","Sachsen-Anhalt","Städtischer Raum","","","",""
"Untermieter","1986","Sachsen-Anhalt","Ländlicher Raum","","","",""
"Untermieter","1986","Thüringen","Städtischer Raum","","","",""
"Untermieter","1986","Thüringen","Ländlicher Raum","","","",""
"Eigentümer","1986","Schleswig-Holstein","Städtischer Raum","28","","",""
"Eigentümer","1986","Schleswig-Holstein","Ländlicher Raum","54","0.596569453155919","0.49102778839382","0.702111117918019"
"Eigentümer","1986","Hamburg","Städtischer Raum","21","","",""
"Eigentümer","1986","Hamburg","Ländlicher Raum","1","","",""
"Eigentümer","1986","Niedersachsen","Städtischer Raum","93","0.362767461904626","0.30363930146694","0.421895622342313"
"Eigentümer","1986","Niedersachsen","Ländlicher Raum","145","0.550277061987027","0.490040431560818","0.610513692413236"
"Eigentümer","1986","Bremen","Städtischer Raum","14","","",""
"Eigentümer","1986","Bremen","Ländlicher Raum","","","",""
"Eigentümer","1986","Nordrhein-Westfalen","Städtischer Raum","392","0.31484213174446","0.289909118760966","0.339775144727954"
"Eigentümer","1986","Nordrhein-Westfalen","Ländlicher Raum","19","","",""
"Eigentümer","1986","Hessen","Städtischer Raum","128","0.384170607107981","0.338303801863735","0.430037412352227"
"Eigentümer","1986","Hessen","Ländlicher Raum","25","","",""
"Eigentümer","1986","Rheinland-Pfalz,Saarland","Städtischer Raum","140","0.502313042166391","0.444964547520534","0.559661536812248"
"Eigentümer","1986","Rheinland-Pfalz,Saarland","Ländlicher Raum","41","0.587901214274686","0.466358015390384","0.709444413158987"
"Eigentümer","1986","Baden-Württemberg","Städtischer Raum","287","0.475263819415659","0.439898988332176","0.510628650499143"
"Eigentümer","1986","Baden-Württemberg","Ländlicher Raum","61","0.585172036745007","0.500478121640376","0.669865951849638"
"Eigentümer","1986","Bayern","Städtischer Raum","166","0.399038578291209","0.353793371944663","0.444283784637756"
"Eigentümer","1986","Bayern","Ländlicher Raum","201","0.517396279258885","0.46735185610932","0.567440702408451"
"Eigentümer","1986","Saarland","Städtischer Raum","","","",""
"Eigentümer","1986","Saarland","Ländlicher Raum","","","",""
"Eigentümer","1986","Berlin","Städtischer Raum","16","","",""
"Eigentümer","1986","Berlin","Ländlicher Raum","","","",""
"Eigentümer","1986","Brandenburg","Städtischer Raum","","","",""
"Eigentümer","1986","Brandenburg","Ländlicher Raum","","","",""
"Eigentümer","1986","Mecklenburg-Vorpommern","Städtischer Raum","","","",""
"Eigentümer","1986","Mecklenburg-Vorpommern","Ländlicher Raum","","","",""
"Eigentümer","1986","Sachsen","Städtischer Raum","","","",""
"Eigentümer","1986","Sachsen","Ländlicher Raum","","","",""
"Eigentümer","1986","Sachsen-Anhalt","Städtischer Raum","","","",""
"Eigentümer","1986","Sachsen-Anhalt","Ländlicher Raum","","","",""
"Eigentümer","1986","Thüringen","Städtischer Raum","","","",""
"Eigentümer","1986","Thüringen","Ländlicher Raum","","","",""
"Altersheim","1986","Schleswig-Holstein","Städtischer Raum","","","",""
"Altersheim","1986","Schleswig-Holstein","Ländlicher Raum","","","",""
"Altersheim","1986","Hamburg","Städtischer Raum","","","",""
"Altersheim","1986","Hamburg","Ländlicher Raum","","","",""
"Altersheim","1986","Niedersachsen","Städtischer Raum","","","",""
"Altersheim","1986","Niedersachsen","Ländlicher Raum","","","",""
"Altersheim","1986","Bremen","Städtischer Raum","","","",""
"Altersheim","1986","Bremen","Ländlicher Raum","","","",""
"Altersheim","1986","Nordrhein-Westfalen","Städtischer Raum","","","",""
"Altersheim","1986","Nordrhein-Westfalen","Ländlicher Raum","","","",""
"Altersheim","1986","Hessen","Städtischer Raum","","","",""
"Altersheim","1986","Hessen","Ländlicher Raum","","","",""
"Altersheim","1986","Rheinland-Pfalz,Saarland","Städtischer Raum","","","",""
"Altersheim","1986","Rheinland-Pfalz,Saarland","Ländlicher Raum","","","",""
"Altersheim","1986","Baden-Württemberg","Städtischer Raum","","","",""
"Altersheim","1986","Baden-Württemberg","Ländlicher Raum","","","",""
"Altersheim","1986","Bayern","Städtischer Raum","","","",""
"Altersheim","1986","Bayern","Ländlicher Raum","","","",""
"Altersheim","1986","Saarland","Städtischer Raum","","","",""
"Altersheim","1986","Saarland","Ländlicher Raum","","","",""
"Altersheim","1986","Berlin","Städtischer Raum","","","",""
"Altersheim","1986","Berlin","Ländlicher Raum","","","",""
"Altersheim","1986","Brandenburg","Städtischer Raum","","","",""
"Altersheim","1986","Brandenburg","Ländlicher Raum","","","",""
"Altersheim","1986","Mecklenburg-Vorpommern","Städtischer Raum","","","",""
"Altersheim","1986","Mecklenburg-Vorpommern","Ländlicher Raum","","","",""
"Altersheim","1986","Sachsen","Städtischer Raum","","","",""
"Altersheim","1986","Sachsen","Ländlicher Raum","","","",""
"Altersheim","1986","Sachsen-Anhalt","Städtischer Raum","","","",""
"Altersheim","1986","Sachsen-Anhalt","Ländlicher Raum","","","",""
"Altersheim","1986","Thüringen","Städtischer Raum","","","",""
"Altersheim","1986","Thüringen","Ländlicher Raum","","","",""
"Mieter","1986","Schleswig-Holstein","Städtischer Raum","","","",""
"Mieter","1986","Schleswig-Holstein","Ländlicher Raum","","","",""
"Mieter","1986","Hamburg","Städtischer Raum","","","",""
"Mieter","1986","Hamburg","Ländlicher Raum","","","",""
"Mieter","1986","Niedersachsen","Städtischer Raum","","","",""
"Mieter","1986","Niedersachsen","Ländlicher Raum","","","",""
"Mieter","1986","Bremen","Städtischer Raum","","","",""
"Mieter","1986","Bremen","Ländlicher Raum","","","",""
"Mieter","1986","Nordrhein-Westfalen","Städtischer Raum","","","",""
"Mieter","1986","Nordrhein-Westfalen","Ländlicher Raum","","","",""
"Mieter","1986","Hessen","Städtischer Raum","","","",""
"Mieter","1986","Hessen","Ländlicher Raum","","","",""
"Mieter","1986","Rheinland-Pfalz,Saarland","Städtischer Raum","","","",""
"Mieter","1986","Rheinland-Pfalz,Saarland","Ländlicher Raum","","","",""
"Mieter","1986","Baden-Württemberg","Städtischer Raum","","","",""
"Mieter","1986","Baden-Württemberg","Ländlicher Raum","","","",""
"Mieter","1986","Bayern","Städtischer Raum","","","",""
"Mieter","1986","Bayern","Ländlicher Raum","","","",""
"Mieter","1986","Saarland","Städtischer Raum","","","",""
"Mieter","1986","Saarland","Ländlicher Raum","","","",""
"Mieter","1986","Berlin","Städtischer Raum","","","",""
"Mieter","1986","Berlin","Ländlicher Raum","","","",""
"Mieter","1986","Brandenburg","Städtischer Raum","","","",""
"Mieter","1986","Brandenburg","Ländlicher Raum","","","",""
"Mieter","1986","Mecklenburg-Vorpommern","Städtischer Raum","","","",""
"Mieter","1986","Mecklenburg-Vorpommern","Ländlicher Raum","","","",""
"Mieter","1986","Sachsen","Städtischer Raum","","","",""
"Mieter","1986","Sachsen","Ländlicher Raum","","","",""
"Mieter","1986","Sachsen-Anhalt","Städtischer Raum","","","",""
"Mieter","1986","Sachsen-Anhalt","Ländlicher Raum","","","",""
"Mieter","1986","Thüringen","Städtischer Raum","","","",""
"Mieter","1986","Thüringen","Ländlicher Raum","","","",""
"Hauptmieter","1987","Schleswig-Holstein","Städtischer Raum","47","0.580845033179019","0.471343994664886","0.690346071693153"
"Hauptmieter","1987","Schleswig-Holstein","Ländlicher Raum","26","","",""
"Hauptmieter","1987","Hamburg","Städtischer Raum","101","0.823352217506113","0.757284389282875","0.889420045729351"
"Hauptmieter","1987","Hamburg","Ländlicher Raum","1","","",""
"Hauptmieter","1987","Niedersachsen","Städtischer Raum","156","0.624946218299131","0.565524378053468","0.684368058544794"
"Hauptmieter","1987","Niedersachsen","Ländlicher Raum","114","0.457384979072701","0.396595965942852","0.518173992202549"
"Hauptmieter","1987","Bremen","Städtischer Raum","45","0.797308832100438","0.694731172690764","0.899886491510112"
"Hauptmieter","1987","Bremen","Ländlicher Raum","","","",""
"Hauptmieter","1987","Nordrhein-Westfalen","Städtischer Raum","896","0.666567132703779","0.641125097773089","0.692009167634469"
"Hauptmieter","1987","Nordrhein-Westfalen","Ländlicher Raum","10","","",""
"Hauptmieter","1987","Hessen","Städtischer Raum","285","0.590831006789379","0.544140747181074","0.637521266397683"
"Hauptmieter","1987","Hessen","Ländlicher Raum","35","0.474572050784923","0.352232813644692","0.596911287925155"
"Hauptmieter","1987","Rheinland-Pfalz,Saarland","Städtischer Raum","133","0.439630580502207","0.382406301409861","0.496854859594554"
"Hauptmieter","1987","Rheinland-Pfalz,Saarland","Ländlicher Raum","23","","",""
"Hauptmieter","1987","Baden-Württemberg","Städtischer Raum","444","0.502815496864229","0.467174461461848","0.538456532266611"
"Hauptmieter","1987","Baden-Württemberg","Ländlicher Raum","71","0.433060331180306","0.34853171676972","0.517588945590891"
"Hauptmieter","1987","Bayern","Städtischer Raum","274","0.581316212175918","0.535785010775329","0.626847413576508"
"Hauptmieter","1987","Bayern","Ländlicher Raum","171","0.442622212425328","0.392417371012553","0.492827053838102"
"Hauptmieter","1987","Saarland","Städtischer Raum","","","",""
"Hauptmieter","1987","Saarland","Ländlicher Raum","","","",""
"Hauptmieter","1987","Berlin","Städtischer Raum","177","0.88824359632836","0.844358430138638","0.932128762518082"
"Hauptmieter","1987","Berlin","Ländlicher Raum","","","",""
"Hauptmieter","1987","Brandenburg","Städtischer Raum","","","",""
"Hauptmieter","1987","Brandenburg","Ländlicher Raum","","","",""
"Hauptmieter","1987","Mecklenburg-Vorpommern","Städtischer Raum","","","",""
"Hauptmieter","1987","Mecklenburg-Vorpommern","Ländlicher Raum","","","",""
"Hauptmieter","1987","Sachsen","Städtischer Raum","","","",""
"Hauptmieter","1987","Sachsen","Ländlicher Raum","","","",""
"Hauptmieter","1987","Sachsen-Anhalt","Städtischer Raum","","","",""
"Hauptmieter","1987","Sachsen-Anhalt","Ländlicher Raum","","","",""
"Hauptmieter","1987","Thüringen","Städtischer Raum","","","",""
"Hauptmieter","1987","Thüringen","Ländlicher Raum","","","",""
"Untermieter","1987","Schleswig-Holstein","Städtischer Raum","1","","",""
"Untermieter","1987","Schleswig-Holstein","Ländlicher Raum","3","","",""
"Untermieter","1987","Hamburg","Städtischer Raum","4","","",""
"Untermieter","1987","Hamburg","Ländlicher Raum","","","",""
"Untermieter","1987","Niedersachsen","Städtischer Raum","7","","",""
"Untermieter","1987","Niedersachsen","Ländlicher Raum","6","","",""
"Untermieter","1987","Bremen","Städtischer Raum","","","",""
"Untermieter","1987","Bremen","Ländlicher Raum","","","",""
"Untermieter","1987","Nordrhein-Westfalen","Städtischer Raum","29","","",""
"Untermieter","1987","Nordrhein-Westfalen","Ländlicher Raum","","","",""
"Untermieter","1987","Hessen","Städtischer Raum","11","","",""
"Untermieter","1987","Hessen","Ländlicher Raum","3","","",""
"Untermieter","1987","Rheinland-Pfalz,Saarland","Städtischer Raum","10","","",""
"Untermieter","1987","Rheinland-Pfalz,Saarland","Ländlicher Raum","1","","",""
"Untermieter","1987","Baden-Württemberg","Städtischer Raum","23","","",""
