"hlf0001_h","year","bula_h","hhtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Eigentuemer","1984","Bayern","(Ehe-)Paar ohne Kind(er)","204","0.468527861825219","0.423979418391289","0.513076305259148"
"Eigentuemer","1984","Bayern","Alleinerziehende","48","0.417948556814636","0.330427958923873","0.5054691547054"
"Eigentuemer","1984","Bayern","Paar mit Kind(ern)","819","0.590551447818287","0.567739754725715","0.61336314091086"
"Eigentuemer","1984","Bayern","Sonstige","87","0.626436115927714","0.549278206403903","0.703594025451524"
"Eigentuemer","1984","Saarland","1-Pers.- Haushalt","","","",""
"Eigentuemer","1984","Saarland","(Ehe-)Paar ohne Kind(er)","","","",""
"Eigentuemer","1984","Saarland","Alleinerziehende","","","",""
"Eigentuemer","1984","Saarland","Paar mit Kind(ern)","","","",""
"Eigentuemer","1984","Saarland","Sonstige","","","",""
"Eigentuemer","1984","Berlin","1-Pers.- Haushalt","4","","",""
"Eigentuemer","1984","Berlin","(Ehe-)Paar ohne Kind(er)","8","","",""
"Eigentuemer","1984","Berlin","Alleinerziehende","","","",""
"Eigentuemer","1984","Berlin","Paar mit Kind(ern)","29","","",""
"Eigentuemer","1984","Berlin","Sonstige","2","","",""
"Eigentuemer","1984","Brandenburg","1-Pers.- Haushalt","","","",""
"Eigentuemer","1984","Brandenburg","(Ehe-)Paar ohne Kind(er)","","","",""
"Eigentuemer","1984","Brandenburg","Alleinerziehende","","","",""
"Eigentuemer","1984","Brandenburg","Paar mit Kind(ern)","","","",""
"Eigentuemer","1984","Brandenburg","Sonstige","","","",""
"Eigentuemer","1984","Mecklenburg-Vorpommern","1-Pers.- Haushalt","","","",""
"Eigentuemer","1984","Mecklenburg-Vorpommern","(Ehe-)Paar ohne Kind(er)","","","",""
"Eigentuemer","1984","Mecklenburg-Vorpommern","Alleinerziehende","","","",""
"Eigentuemer","1984","Mecklenburg-Vorpommern","Paar mit Kind(ern)","","","",""
"Eigentuemer","1984","Mecklenburg-Vorpommern","Sonstige","","","",""
"Eigentuemer","1984","Sachsen","1-Pers.- Haushalt","","","",""
"Eigentuemer","1984","Sachsen","(Ehe-)Paar ohne Kind(er)","","","",""
"Eigentuemer","1984","Sachsen","Alleinerziehende","","","",""
"Eigentuemer","1984","Sachsen","Paar mit Kind(ern)","","","",""
"Eigentuemer","1984","Sachsen","Sonstige","","","",""
"Eigentuemer","1984","Sachsen-Anhalt","1-Pers.- Haushalt","","","",""
"Eigentuemer","1984","Sachsen-Anhalt","(Ehe-)Paar ohne Kind(er)","","","",""
"Eigentuemer","1984","Sachsen-Anhalt","Alleinerziehende","","","",""
"Eigentuemer","1984","Sachsen-Anhalt","Paar mit Kind(ern)","","","",""
"Eigentuemer","1984","Sachsen-Anhalt","Sonstige","","","",""
"Eigentuemer","1984","Thueringen","1-Pers.- Haushalt","","","",""
"Eigentuemer","1984","Thueringen","(Ehe-)Paar ohne Kind(er)","","","",""
"Eigentuemer","1984","Thueringen","Alleinerziehende","","","",""
"Eigentuemer","1984","Thueringen","Paar mit Kind(ern)","","","",""
"Eigentuemer","1984","Thueringen","Sonstige","","","",""
"Altersheim/Seniorenwohnheim","1984","Schleswig-Holstein","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1984","Schleswig-Holstein","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1984","Schleswig-Holstein","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1984","Schleswig-Holstein","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1984","Schleswig-Holstein","Sonstige","","","",""
"Altersheim/Seniorenwohnheim","1984","Hamburg","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1984","Hamburg","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1984","Hamburg","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1984","Hamburg","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1984","Hamburg","Sonstige","","","",""
"Altersheim/Seniorenwohnheim","1984","Niedersachsen","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1984","Niedersachsen","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1984","Niedersachsen","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1984","Niedersachsen","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1984","Niedersachsen","Sonstige","","","",""
"Altersheim/Seniorenwohnheim","1984","Bremen","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1984","Bremen","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1984","Bremen","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1984","Bremen","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1984","Bremen","Sonstige","","","",""
"Altersheim/Seniorenwohnheim","1984","Nordrhein-Westfalen","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1984","Nordrhein-Westfalen","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1984","Nordrhein-Westfalen","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1984","Nordrhein-Westfalen","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1984","Nordrhein-Westfalen","Sonstige","","","",""
"Altersheim/Seniorenwohnheim","1984","Hessen","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1984","Hessen","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1984","Hessen","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1984","Hessen","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1984","Hessen","Sonstige","","","",""
"Altersheim/Seniorenwohnheim","1984","Rheinland-Pfalz,Saarland","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1984","Rheinland-Pfalz,Saarland","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1984","Rheinland-Pfalz,Saarland","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1984","Rheinland-Pfalz,Saarland","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1984","Rheinland-Pfalz,Saarland","Sonstige","","","",""
"Altersheim/Seniorenwohnheim","1984","Baden-Wuerttemberg","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1984","Baden-Wuerttemberg","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1984","Baden-Wuerttemberg","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1984","Baden-Wuerttemberg","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1984","Baden-Wuerttemberg","Sonstige","","","",""
"Altersheim/Seniorenwohnheim","1984","Bayern","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1984","Bayern","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1984","Bayern","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1984","Bayern","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1984","Bayern","Sonstige","","","",""
"Altersheim/Seniorenwohnheim","1984","Saarland","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1984","Saarland","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1984","Saarland","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1984","Saarland","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1984","Saarland","Sonstige","","","",""
"Altersheim/Seniorenwohnheim","1984","Berlin","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1984","Berlin","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1984","Berlin","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1984","Berlin","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1984","Berlin","Sonstige","","","",""
"Altersheim/Seniorenwohnheim","1984","Brandenburg","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1984","Brandenburg","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1984","Brandenburg","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1984","Brandenburg","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1984","Brandenburg","Sonstige","","","",""
"Altersheim/Seniorenwohnheim","1984","Mecklenburg-Vorpommern","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1984","Mecklenburg-Vorpommern","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1984","Mecklenburg-Vorpommern","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1984","Mecklenburg-Vorpommern","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1984","Mecklenburg-Vorpommern","Sonstige","","","",""
"Altersheim/Seniorenwohnheim","1984","Sachsen","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1984","Sachsen","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1984","Sachsen","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1984","Sachsen","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1984","Sachsen","Sonstige","","","",""
"Altersheim/Seniorenwohnheim","1984","Sachsen-Anhalt","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1984","Sachsen-Anhalt","(Ehe-)Paar ohne Kind(er)","","","",""
