year,quintil_oecd_hh,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,5th Quintile,Yes,0.92016,2822,2973,0.91042,0.92991
2015,5th Quintile,No,0.07786,151,2973,0.06822,0.08749
2016,1st Quintile,Yes,0.66184,3993,5187,0.64897,0.67472
2016,1st Quintile,No,0.33087,1194,5187,0.31806,0.34367
2016,2nd Quintile,Yes,0.68864,2426,3035,0.67217,0.70512
2016,2nd Quintile,No,0.30779,609,3035,0.29136,0.32421
2016,3rd Quintile,Yes,0.79261,2357,2743,0.77744,0.80779
2016,3rd Quintile,No,0.20739,386,2743,0.19221,0.22256
2016,4th Quintile,Yes,0.86336,2435,2658,0.85030,0.87642
2016,4th Quintile,No,0.13434,223,2658,0.12137,0.14730
2016,5th Quintile,Yes,0.92791,2634,2754,0.91825,0.93757
2016,5th Quintile,No,0.07090,120,2754,0.06131,0.08049
2017,1st Quintile,Yes,0.69500,4680,5637,0.68298,0.70702
2017,1st Quintile,No,0.30275,957,5637,0.29075,0.31474
2017,2nd Quintile,Yes,0.71991,2759,3326,0.70465,0.73518
2017,2nd Quintile,No,0.27566,567,3326,0.26047,0.29085
2017,3rd Quintile,Yes,0.82104,2762,3103,0.80755,0.83453
2017,3rd Quintile,No,0.17658,341,3103,0.16316,0.19000
2017,4th Quintile,Yes,0.87029,2824,3045,0.85835,0.88222
2017,4th Quintile,No,0.12892,221,3045,0.11702,0.14083
2017,5th Quintile,Yes,0.94147,2990,3093,0.93320,0.94975
2017,5th Quintile,No,0.05776,103,3093,0.04954,0.06598
2018,1st Quintile,Yes,0.70827,4578,5362,0.69610,0.72043
2018,1st Quintile,No,0.28900,784,5362,0.27687,0.30113
2018,2nd Quintile,Yes,0.74252,2949,3446,0.72792,0.75712
2018,2nd Quintile,No,0.25577,497,3446,0.24120,0.27034
2018,3rd Quintile,Yes,0.82758,2677,2997,0.81405,0.84111
2018,3rd Quintile,No,0.16875,320,2997,0.15534,0.18216
2018,4th Quintile,Yes,0.87772,2701,2899,0.86579,0.88964
2018,4th Quintile,No,0.12144,198,2899,0.10955,0.13334
2018,5th Quintile,Yes,0.95301,2925,3016,0.94545,0.96056
2018,5th Quintile,No,0.04699,91,3016,0.03944,0.05455
2019,1st Quintile,Yes,0.74611,4451,5044,0.73410,0.75812
2019,1st Quintile,No,0.25255,593,5044,0.24056,0.26454
2019,2nd Quintile,Yes,0.78073,2743,3156,0.76629,0.79517
2019,2nd Quintile,No,0.21287,413,3156,0.19858,0.22715
2019,3rd Quintile,Yes,0.85251,2654,2893,0.83959,0.86544
2019,3rd Quintile,No,0.14741,239,2893,0.13449,0.16033
2019,4th Quintile,Yes,0.90880,2776,2929,0.89837,0.91922
2019,4th Quintile,No,0.08916,153,2929,0.07884,0.09949
2019,5th Quintile,Yes,0.94782,4243,4356,0.94122,0.95443
2019,5th Quintile,No,0.05211,113,4356,0.04551,0.05871
2020,1st Quintile,Yes,0.03931,2495,2639,0.03190,0.04673
2020,1st Quintile,No,0.00347,144,2639,0.00123,0.00572
2020,2nd Quintile,Yes,0.00289,155,155,-0.00559,0.01138
2021,1st Quintile,Yes,0.83380,2976,3240,0.82098,0.84662
2021,1st Quintile,No,0.15839,264,3240,0.14582,0.17097
2021,2nd Quintile,Yes,0.83023,2146,2373,0.81512,0.84534
2021,2nd Quintile,No,0.16688,227,2373,0.15187,0.18188
2021,3rd Quintile,Yes,0.87090,1943,2074,0.85647,0.88534
2021,3rd Quintile,No,0.12781,131,2074,0.11343,0.14218
2021,4th Quintile,Yes,0.92305,2016,2099,0.91164,0.93445
2021,4th Quintile,No,0.07688,83,2099,0.06548,0.08828
2021,5th Quintile,Yes,0.96957,2682,2727,0.96312,0.97602
2021,5th Quintile,No,0.03034,45,2727,0.02390,0.03678
