year,quintil_oecd,sex,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,4th Quintile,male,No,0.70022,1439,1659,0.67817,0.72227
2011,4th Quintile,female,Yes,0.12853,239,1630,0.11228,0.14479
2011,4th Quintile,female,No,0.65840,1391,1630,0.63536,0.68143
2011,5th Quintile,male,Yes,0.12485,282,2050,0.11054,0.13916
2011,5th Quintile,male,No,0.73652,1768,2050,0.71744,0.75559
2011,5th Quintile,female,Yes,0.14779,336,2039,0.13238,0.16320
2011,5th Quintile,female,No,0.69275,1703,2039,0.67272,0.71278
2013,1st Quintile,male,Yes,0.10300,194,1284,0.08637,0.11963
2013,1st Quintile,male,No,0.59991,1090,1284,0.57310,0.62671
2013,1st Quintile,female,Yes,0.11314,286,1816,0.09857,0.12772
2013,1st Quintile,female,No,0.59749,1530,1816,0.57492,0.62005
2013,2nd Quintile,male,Yes,0.09922,196,1532,0.08424,0.11419
2013,2nd Quintile,male,No,0.62367,1336,1532,0.59940,0.64794
2013,2nd Quintile,female,Yes,0.12416,295,1909,0.10936,0.13895
2013,2nd Quintile,female,No,0.63480,1614,1909,0.61320,0.65641
2013,3rd Quintile,male,Yes,0.10887,242,1711,0.09410,0.12363
2013,3rd Quintile,male,No,0.66512,1469,1711,0.64276,0.68749
2013,3rd Quintile,female,Yes,0.11373,262,1893,0.09943,0.12804
2013,3rd Quintile,female,No,0.68587,1631,1893,0.66496,0.70679
2013,4th Quintile,male,Yes,0.10898,242,1905,0.09498,0.12297
2013,4th Quintile,male,No,0.71852,1663,1905,0.69832,0.73872
2013,4th Quintile,female,Yes,0.14337,336,2012,0.12805,0.15868
2013,4th Quintile,female,No,0.67498,1676,2012,0.65451,0.69545
2013,5th Quintile,male,Yes,0.10009,307,2400,0.08808,0.11210
2013,5th Quintile,male,No,0.76321,2093,2400,0.74620,0.78022
2013,5th Quintile,female,Yes,0.13228,369,2400,0.11873,0.14584
2013,5th Quintile,female,No,0.72764,2031,2400,0.70982,0.74545
2015,1st Quintile,male,Yes,0.11467,279,2107,0.10106,0.12827
2015,1st Quintile,male,No,0.65888,1828,2107,0.63863,0.67913
2015,1st Quintile,female,Yes,0.14957,480,2975,0.13675,0.16238
2015,1st Quintile,female,No,0.66153,2495,2975,0.64452,0.67854
2015,2nd Quintile,male,Yes,0.10092,282,2278,0.08854,0.11329
2015,2nd Quintile,male,No,0.71378,1996,2278,0.69521,0.73234
2015,2nd Quintile,female,Yes,0.14968,441,2971,0.13685,0.16251
2015,2nd Quintile,female,No,0.69523,2530,2971,0.67868,0.71179
2015,3rd Quintile,male,Yes,0.10274,266,2247,0.09019,0.11530
2015,3rd Quintile,male,No,0.73020,1981,2247,0.71184,0.74855
2015,3rd Quintile,female,Yes,0.13578,375,2595,0.12260,0.14896
2015,3rd Quintile,female,No,0.70869,2220,2595,0.69121,0.72618
2015,4th Quintile,male,Yes,0.10824,286,2275,0.09547,0.12101
2015,4th Quintile,male,No,0.75034,1989,2275,0.73255,0.76813
2015,4th Quintile,female,Yes,0.15590,400,2480,0.14161,0.17018
2015,4th Quintile,female,No,0.71000,2080,2480,0.69214,0.72786
2015,5th Quintile,male,Yes,0.10205,295,2551,0.09030,0.11380
2015,5th Quintile,male,No,0.79596,2256,2551,0.78032,0.81161
2015,5th Quintile,female,Yes,0.14021,393,2557,0.12675,0.15367
2015,5th Quintile,female,No,0.75150,2164,2557,0.73475,0.76826
2017,1st Quintile,male,Yes,0.11736,264,1955,0.10309,0.13163
2017,1st Quintile,male,No,0.63198,1691,1955,0.61060,0.65337
2017,1st Quintile,female,Yes,0.15646,481,2762,0.14291,0.17001
2017,1st Quintile,female,No,0.63391,2281,2762,0.61594,0.65188
2017,2nd Quintile,male,Yes,0.10773,242,2112,0.09450,0.12095
2017,2nd Quintile,male,No,0.70287,1870,2112,0.68337,0.72236
2017,2nd Quintile,female,Yes,0.13725,394,2681,0.12422,0.15028
2017,2nd Quintile,female,No,0.69894,2287,2681,0.68157,0.71631
2017,3rd Quintile,male,Yes,0.09850,260,2017,0.08549,0.11150
2017,3rd Quintile,male,No,0.71882,1757,2017,0.69920,0.73845
2017,3rd Quintile,female,Yes,0.14338,399,2397,0.12935,0.15741
2017,3rd Quintile,female,No,0.70793,1998,2397,0.68972,0.72614
2017,4th Quintile,male,Yes,0.10555,249,2077,0.09233,0.11876
2017,4th Quintile,male,No,0.76791,1828,2077,0.74975,0.78607
2017,4th Quintile,female,Yes,0.14927,359,2281,0.13464,0.16390
2017,4th Quintile,female,No,0.73518,1922,2281,0.71707,0.75329
2017,5th Quintile,male,Yes,0.12605,287,2277,0.11242,0.13969
2017,5th Quintile,male,No,0.76372,1990,2277,0.74627,0.78117
2017,5th Quintile,female,Yes,0.14962,374,2277,0.13496,0.16427
2017,5th Quintile,female,No,0.74923,1903,2277,0.73142,0.76704
2019,1st Quintile,male,Yes,0.13481,286,1876,0.11936,0.15027
2019,1st Quintile,male,No,0.59534,1590,1876,0.57312,0.61756
2019,1st Quintile,female,Yes,0.12119,384,2569,0.10856,0.13381
2019,1st Quintile,female,No,0.66211,2185,2569,0.64382,0.68041
2019,2nd Quintile,male,Yes,0.11428,276,2112,0.10070,0.12785
2019,2nd Quintile,male,No,0.68656,1836,2112,0.66677,0.70635
2019,2nd Quintile,female,Yes,0.11852,357,2657,0.10622,0.13081
2019,2nd Quintile,female,No,0.71579,2300,2657,0.69863,0.73294
2019,3rd Quintile,male,Yes,0.11180,272,2018,0.09804,0.12555
2019,3rd Quintile,male,No,0.70753,1746,2018,0.68768,0.72739
2019,3rd Quintile,female,Yes,0.11963,309,2404,0.10666,0.13261
2019,3rd Quintile,female,No,0.73831,2095,2404,0.72074,0.75589
2019,4th Quintile,male,Yes,0.12115,270,2022,0.10693,0.13538
2019,4th Quintile,male,No,0.73739,1752,2022,0.71821,0.75658
2019,4th Quintile,female,Yes,0.13244,323,2251,0.11843,0.14645
2019,4th Quintile,female,No,0.72102,1928,2251,0.70249,0.73955
2019,5th Quintile,male,Yes,0.12225,332,2420,0.10920,0.13531
2019,5th Quintile,male,No,0.77834,2088,2420,0.76178,0.79489
2019,5th Quintile,female,Yes,0.11004,295,2398,0.09751,0.12256
2019,5th Quintile,female,No,0.78897,2103,2398,0.77263,0.80530
2021,1st Quintile,male,Yes,0.12785,270,2303,0.11420,0.14149
2021,1st Quintile,male,No,0.64115,2033,2303,0.62155,0.66074
2021,1st Quintile,female,Yes,0.13428,349,2475,0.12084,0.14771
2021,1st Quintile,female,No,0.67941,2126,2475,0.66102,0.69780
2021,2nd Quintile,male,Yes,0.09618,208,1599,0.08172,0.11064
2021,2nd Quintile,male,No,0.69477,1391,1599,0.67219,0.71735
2021,2nd Quintile,female,Yes,0.12141,283,1930,0.10683,0.13598
2021,2nd Quintile,female,No,0.69431,1647,1930,0.67375,0.71487
2021,3rd Quintile,male,Yes,0.10170,172,1440,0.08608,0.11732
2021,3rd Quintile,male,No,0.71044,1268,1440,0.68700,0.73387
2021,3rd Quintile,female,Yes,0.13904,274,1688,0.12253,0.15555
2021,3rd Quintile,female,No,0.67779,1414,1688,0.65549,0.70009
2021,4th Quintile,male,Yes,0.09815,182,1520,0.08319,0.11312
2021,4th Quintile,male,No,0.76331,1338,1520,0.74194,0.78469
2021,4th Quintile,female,Yes,0.11115,215,1669,0.09606,0.12623
2021,4th Quintile,female,No,0.73529,1454,1669,0.71412,0.75646
2021,5th Quintile,male,Yes,0.11636,264,2257,0.10313,0.12960
2021,5th Quintile,male,No,0.75899,1993,2257,0.74134,0.77664
2021,5th Quintile,female,Yes,0.11852,257,2010,0.10438,0.13265
2021,5th Quintile,female,No,0.75943,1753,2010,0.74074,0.77812
