year,quintil_oecd,sampreg,ple0023,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2019,1st Quintile,West,No,0.83086,2766,22726,0.83062,0.83110
2019,1st Quintile,East,Yes,0.17641,185,22726,0.17595,0.17686
2019,1st Quintile,East,No,0.82359,970,22726,0.82314,0.82405
2019,2nd Quintile,West,Yes,0.14791,465,22726,0.14769,0.14813
2019,2nd Quintile,West,No,0.85209,2982,22726,0.85187,0.85231
2019,2nd Quintile,East,Yes,0.12698,174,22726,0.12660,0.12736
2019,2nd Quintile,East,No,0.87302,1142,22726,0.87264,0.87340
2019,3rd Quintile,West,Yes,0.13649,438,22726,0.13629,0.13670
2019,3rd Quintile,West,No,0.86351,2983,22726,0.86330,0.86371
2019,3rd Quintile,East,Yes,0.13719,160,22726,0.13676,0.13761
2019,3rd Quintile,East,No,0.86281,928,22726,0.86239,0.86324
2019,4th Quintile,West,Yes,0.14131,461,22726,0.14111,0.14151
2019,4th Quintile,West,No,0.85869,3057,22726,0.85849,0.85889
2019,4th Quintile,East,Yes,0.14059,102,22726,0.14012,0.14107
2019,4th Quintile,East,No,0.85941,650,22726,0.85893,0.85988
2019,5th Quintile,West,Yes,0.13888,571,22726,0.13869,0.13907
2019,5th Quintile,West,No,0.86112,3610,22726,0.86093,0.86131
2019,5th Quintile,East,Yes,0.09258,71,22726,0.09207,0.09309
2019,5th Quintile,East,No,0.90742,534,22726,0.90691,0.90793
2021,1st Quintile,West,Yes,0.15834,448,18898,0.15811,0.15857
2021,1st Quintile,West,No,0.84166,3275,18898,0.84143,0.84189
2021,1st Quintile,East,Yes,0.18979,158,18898,0.18934,0.19024
2021,1st Quintile,East,No,0.81021,846,18898,0.80976,0.81066
2021,2nd Quintile,West,Yes,0.14057,368,18898,0.14036,0.14077
2021,2nd Quintile,West,No,0.85943,2317,18898,0.85923,0.85964
2021,2nd Quintile,East,Yes,0.14567,137,18898,0.14525,0.14610
2021,2nd Quintile,East,No,0.85433,764,18898,0.85390,0.85475
2021,3rd Quintile,West,Yes,0.14953,337,18898,0.14932,0.14974
2021,3rd Quintile,West,No,0.85047,2006,18898,0.85026,0.85068
2021,3rd Quintile,East,Yes,0.12499,89,18898,0.12458,0.12539
2021,3rd Quintile,East,No,0.87501,607,18898,0.87461,0.87542
2021,4th Quintile,West,Yes,0.12908,346,18898,0.12889,0.12927
2021,4th Quintile,West,No,0.87092,2331,18898,0.87073,0.87111
2021,4th Quintile,East,Yes,0.11068,68,18898,0.11024,0.11112
2021,4th Quintile,East,No,0.88932,508,18898,0.88888,0.88976
2021,5th Quintile,West,Yes,0.13515,457,18898,0.13497,0.13534
2021,5th Quintile,West,No,0.86485,3188,18898,0.86466,0.86503
2021,5th Quintile,East,Yes,0.09322,70,18898,0.09277,0.09367
2021,5th Quintile,East,No,0.90678,578,18898,0.90633,0.90723
