year,regtyp,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Rural regions,Yes,0.07726,910,8396,0.07155,0.08297
2000,Rural regions,No,0.74643,7486,8396,0.73712,0.75573
2001,Urban regions,Yes,0.08371,1599,14302,0.07917,0.08825
2001,Urban regions,No,0.74509,12703,14302,0.73795,0.75223
2001,Rural regions,Yes,0.07837,845,7619,0.07234,0.08441
2001,Rural regions,No,0.75122,6774,7619,0.74151,0.76092
2002,Urban regions,Yes,0.08245,1715,15272,0.07809,0.08681
2002,Urban regions,No,0.74886,13557,15272,0.74199,0.75574
2002,Rural regions,Yes,0.08527,913,7754,0.07906,0.09149
2002,Rural regions,No,0.74565,6841,7754,0.73595,0.75534
2003,Urban regions,Yes,0.08276,1655,14734,0.07831,0.08721
2003,Urban regions,No,0.74903,13079,14734,0.74203,0.75603
2003,Rural regions,Yes,0.08129,856,7431,0.07507,0.08750
2003,Rural regions,No,0.75389,6575,7431,0.74410,0.76369
2004,Urban regions,Yes,0.08562,1688,14353,0.08104,0.09020
2004,Urban regions,No,0.74908,12665,14353,0.74198,0.75617
2004,Rural regions,Yes,0.08063,823,7259,0.07437,0.08689
2004,Rural regions,No,0.76096,6436,7259,0.75115,0.77077
2005,Urban regions,Yes,0.09200,1634,13754,0.08717,0.09683
2005,Urban regions,No,0.74875,12120,13754,0.74151,0.75600
2005,Rural regions,Yes,0.08387,765,6943,0.07735,0.09039
2005,Rural regions,No,0.75988,6178,6943,0.74983,0.76993
2006,Urban regions,Yes,0.07802,1382,14439,0.07364,0.08239
2006,Urban regions,No,0.75675,13057,14439,0.74976,0.76375
2006,Rural regions,Yes,0.06788,685,7528,0.06220,0.07356
2006,Rural regions,No,0.76571,6843,7528,0.75614,0.77527
2007,Urban regions,Yes,0.07548,1300,13440,0.07102,0.07995
2007,Urban regions,No,0.75703,12140,13440,0.74978,0.76428
2007,Rural regions,Yes,0.07509,678,7069,0.06895,0.08124
2007,Rural regions,No,0.76614,6391,7069,0.75627,0.77601
2008,Urban regions,Yes,0.07807,1249,12663,0.07340,0.08274
2008,Urban regions,No,0.75905,11414,12663,0.75160,0.76650
2008,Rural regions,Yes,0.07418,619,6653,0.06788,0.08048
2008,Rural regions,No,0.77259,6034,6653,0.76252,0.78267
2009,Urban regions,Yes,0.08432,1165,11682,0.07928,0.08936
2009,Urban regions,No,0.75686,10517,11682,0.74908,0.76464
2009,Rural regions,Yes,0.07412,551,6336,0.06767,0.08057
2009,Rural regions,No,0.77458,5785,6336,0.76429,0.78487
2010,Urban regions,Yes,0.09322,1548,15621,0.08866,0.09778
2010,Urban regions,No,0.74980,14073,15621,0.74301,0.75659
2010,Rural regions,Yes,0.07324,678,8346,0.06765,0.07883
2010,Rural regions,No,0.77558,7668,8346,0.76663,0.78453
2011,Urban regions,Yes,0.08447,1776,18165,0.08043,0.08851
2011,Urban regions,No,0.75229,16389,18165,0.74601,0.75856
2011,Rural regions,Yes,0.06862,802,10207,0.06371,0.07352
2011,Rural regions,No,0.77378,9405,10207,0.76566,0.78190
2012,Urban regions,Yes,0.08485,1719,17495,0.08072,0.08898
2012,Urban regions,No,0.75226,15776,17495,0.74586,0.75865
2012,Rural regions,Yes,0.06475,815,10139,0.05996,0.06954
2012,Rural regions,No,0.78192,9324,10139,0.77388,0.78996
2013,Urban regions,Yes,0.08895,2218,20135,0.08501,0.09288
2013,Urban regions,No,0.74976,17917,20135,0.74378,0.75575
2013,Rural regions,Yes,0.06623,942,10486,0.06147,0.07099
2013,Rural regions,No,0.78203,9544,10486,0.77413,0.78993
2014,Urban regions,Yes,0.08973,1975,17627,0.08551,0.09395
2014,Urban regions,No,0.74822,15652,17627,0.74181,0.75463
2014,Rural regions,Yes,0.07274,853,9453,0.06751,0.07798
2014,Rural regions,No,0.78033,8600,9453,0.77198,0.78867
2015,Urban regions,Yes,0.08781,1920,17470,0.08361,0.09200
2015,Urban regions,No,0.75429,15550,17470,0.74791,0.76068
2015,Rural regions,Yes,0.06684,817,9316,0.06177,0.07191
2015,Rural regions,No,0.78228,8499,9316,0.77390,0.79066
2016,Urban regions,Yes,0.09116,1866,17850,0.08694,0.09538
2016,Urban regions,No,0.74802,15984,17850,0.74165,0.75439
2016,Rural regions,Yes,0.06229,717,9406,0.05741,0.06718
2016,Rural regions,No,0.78366,8689,9406,0.77534,0.79198
2017,Urban regions,Yes,0.09226,2206,19900,0.08824,0.09628
2017,Urban regions,No,0.74523,17694,19900,0.73918,0.75129
2017,Rural regions,Yes,0.06308,906,10615,0.05846,0.06771
2017,Rural regions,No,0.78122,9709,10615,0.77336,0.78909
2018,Urban regions,Yes,0.08836,2164,19220,0.08434,0.09237
2018,Urban regions,No,0.75427,17056,19220,0.74818,0.76036
2018,Rural regions,Yes,0.05451,842,9986,0.05006,0.05896
2018,Rural regions,No,0.79046,9144,9986,0.78247,0.79844
2019,Urban regions,Yes,0.08334,1953,18788,0.07938,0.08729
2019,Urban regions,No,0.75329,16835,18788,0.74713,0.75946
2019,Rural regions,Yes,0.05518,756,9732,0.05065,0.05972
2019,Rural regions,No,0.78493,8976,9732,0.77677,0.79310
2020,Urban regions,Yes,0.08513,2209,19917,0.08125,0.08900
2020,Urban regions,No,0.75126,17708,19917,0.74526,0.75726
2020,Rural regions,Yes,0.05932,760,9485,0.05457,0.06408
2020,Rural regions,No,0.77431,8725,9485,0.76590,0.78273
2021,Urban regions,Yes,0.08697,1533,13263,0.08218,0.09177
2021,Urban regions,No,0.74066,11730,13263,0.73320,0.74812
2021,Rural regions,Yes,0.05519,521,6245,0.04953,0.06085
2021,Rural regions,No,0.77901,5724,6245,0.76872,0.78930
