year,age_gr,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,Yes,0.36607,1175,3344,0.34974,0.38240
1994,17-29 y.,No,0.63384,2169,3344,0.61751,0.65018
1994,30-45 y.,Yes,0.05897,234,4148,0.05180,0.06614
1994,30-45 y.,No,0.94103,3914,4148,0.93386,0.94820
1994,46-65 y.,Yes,0.01502,55,3889,0.01120,0.01884
1994,46-65 y.,No,0.98498,3834,3889,0.98116,0.98880
1994,66 and older,No,0.99775,1490,1490,0.99534,1.00016
1995,17-29 y.,Yes,0.40706,1297,3355,0.39044,0.42369
1995,17-29 y.,No,0.59221,2058,3355,0.57558,0.60884
1995,30-45 y.,Yes,0.05545,241,4439,0.04872,0.06218
1995,30-45 y.,No,0.94440,4198,4439,0.93766,0.95114
1995,46-65 y.,Yes,0.01526,63,3967,0.01145,0.01908
1995,46-65 y.,No,0.98474,3904,3967,0.98092,0.98855
1995,66 and older,No,0.99851,1520,1520,0.99656,1.00045
1996,17-29 y.,Yes,0.39698,1195,3162,0.37992,0.41403
1996,17-29 y.,No,0.60279,1967,3162,0.58573,0.61984
1996,30-45 y.,Yes,0.05664,246,4436,0.04984,0.06345
1996,30-45 y.,No,0.94336,4190,4436,0.93655,0.95016
1996,46-65 y.,Yes,0.01354,61,3900,0.00991,0.01717
1996,46-65 y.,No,0.98614,3839,3900,0.98247,0.98981
1996,66 and older,No,0.99298,1542,1542,0.98882,0.99715
1997,17-29 y.,Yes,0.41454,1202,3028,0.39699,0.43209
1997,17-29 y.,No,0.58439,1826,3028,0.56684,0.60195
1997,30-45 y.,Yes,0.06360,261,4366,0.05636,0.07084
1997,30-45 y.,No,0.93640,4105,4366,0.92916,0.94364
1997,46-65 y.,Yes,0.01125,44,3851,0.00792,0.01458
1997,46-65 y.,No,0.98867,3807,3851,0.98532,0.99201
1997,66 and older,No,0.99859,1581,1581,0.99675,1.00044
1998,17-29 y.,Yes,0.42797,1300,3163,0.41072,0.44521
1998,17-29 y.,No,0.57124,1863,3163,0.55399,0.58850
1998,30-45 y.,Yes,0.05404,234,4828,0.04766,0.06041
1998,30-45 y.,No,0.94596,4594,4828,0.93959,0.95234
1998,46-65 y.,Yes,0.00815,37,4392,0.00549,0.01081
1998,46-65 y.,No,0.99185,4355,4392,0.98919,0.99451
1998,66 and older,No,0.99938,1854,1854,0.99824,1.00051
1999,17-29 y.,Yes,0.44134,1258,2973,0.42349,0.45919
1999,17-29 y.,No,0.55866,1715,2973,0.54081,0.57651
1999,30-45 y.,Yes,0.05662,253,4714,0.05003,0.06322
1999,30-45 y.,No,0.94338,4461,4714,0.93678,0.94997
1999,46-65 y.,Yes,0.01067,46,4188,0.00756,0.01378
1999,46-65 y.,No,0.98933,4142,4188,0.98622,0.99244
1999,66 and older,No,0.99628,1794,1794,0.99346,0.99910
2000,17-29 y.,Yes,0.43430,2092,4577,0.41994,0.44867
2000,17-29 y.,No,0.56399,2485,4577,0.54962,0.57836
2000,30-45 y.,Yes,0.04817,386,8167,0.04352,0.05281
2000,30-45 y.,No,0.95183,7781,8167,0.94719,0.95648
2000,46-65 y.,Yes,0.01229,101,7766,0.00984,0.01474
2000,46-65 y.,No,0.98771,7665,7766,0.98526,0.99016
2000,66 and older,No,0.99711,3589,3589,0.99536,0.99887
2001,17-29 y.,Yes,0.46726,1994,4099,0.45199,0.48254
2001,17-29 y.,No,0.53274,2105,4099,0.51746,0.54801
2001,30-45 y.,Yes,0.04994,340,7329,0.04496,0.05493
2001,30-45 y.,No,0.95006,6989,7329,0.94507,0.95504
2001,46-65 y.,Yes,0.01527,101,7094,0.01242,0.01813
2001,46-65 y.,No,0.98473,6993,7094,0.98187,0.98758
2001,66 and older,No,0.99721,3390,3390,0.99543,0.99899
2002,17-29 y.,Yes,0.49438,2182,4141,0.47915,0.50961
2002,17-29 y.,No,0.50549,1959,4141,0.49026,0.52072
2002,30-45 y.,Yes,0.05183,348,7440,0.04679,0.05687
2002,30-45 y.,No,0.94817,7092,7440,0.94313,0.95321
2002,46-65 y.,Yes,0.00985,95,7854,0.00767,0.01204
2002,46-65 y.,No,0.99015,7759,7854,0.98796,0.99233
2002,66 and older,No,0.99887,3588,3588,0.99777,0.99997
2003,17-29 y.,Yes,0.48072,2107,4007,0.46525,0.49620
2003,17-29 y.,No,0.51928,1900,4007,0.50380,0.53475
2003,30-45 y.,Yes,0.05008,320,6938,0.04495,0.05521
2003,30-45 y.,No,0.94992,6618,6938,0.94479,0.95505
2003,46-65 y.,Yes,0.01016,78,7570,0.00790,0.01242
2003,46-65 y.,No,0.98982,7492,7570,0.98756,0.99208
2003,66 and older,No,0.99802,3644,3644,0.99657,0.99946
2004,17-29 y.,Yes,0.49828,2149,3958,0.48270,0.51385
2004,17-29 y.,No,0.50026,1809,3958,0.48468,0.51584
2004,30-45 y.,Yes,0.04540,285,6530,0.04035,0.05045
2004,30-45 y.,No,0.95460,6245,6530,0.94955,0.95965
2004,46-65 y.,Yes,0.00769,65,7365,0.00570,0.00969
2004,46-65 y.,No,0.99231,7300,7365,0.99031,0.99430
2004,66 and older,No,0.99716,3747,3747,0.99546,0.99887
2005,17-29 y.,Yes,0.49867,2084,3828,0.48283,0.51451
2005,17-29 y.,No,0.50095,1744,3828,0.48511,0.51679
2005,30-45 y.,Yes,0.04307,231,6089,0.03797,0.04817
2005,30-45 y.,No,0.95693,5858,6089,0.95183,0.96203
2005,46-65 y.,Yes,0.01116,76,7015,0.00870,0.01362
2005,46-65 y.,No,0.98881,6939,7015,0.98634,0.99127
2005,66 and older,No,0.99820,3757,3757,0.99684,0.99955
2006,17-29 y.,Yes,0.42085,1802,3680,0.40490,0.43680
2006,17-29 y.,No,0.51889,1878,3680,0.50274,0.53503
2006,30-45 y.,Yes,0.03593,210,6281,0.03133,0.04053
2006,30-45 y.,No,0.96407,6071,6281,0.95947,0.96867
2006,46-65 y.,Yes,0.00692,51,7577,0.00505,0.00878
2006,46-65 y.,No,0.99308,7526,7577,0.99122,0.99495
2006,66 and older,No,0.99887,4425,4425,0.99788,0.99986
2007,17-29 y.,Yes,0.41113,1707,3398,0.39458,0.42767
2007,17-29 y.,No,0.50744,1691,3398,0.49063,0.52426
2007,30-45 y.,Yes,0.03993,199,5710,0.03485,0.04501
2007,30-45 y.,No,0.96007,5511,5710,0.95499,0.96515
2007,46-65 y.,Yes,0.00939,70,7060,0.00714,0.01164
2007,46-65 y.,No,0.99061,6990,7060,0.98836,0.99286
2007,66 and older,No,0.99884,4339,4339,0.99783,0.99986
2008,17-29 y.,Yes,0.42422,1624,3157,0.40697,0.44146
2008,17-29 y.,No,0.50375,1533,3157,0.48631,0.52120
2008,30-45 y.,Yes,0.04033,191,5170,0.03497,0.04570
2008,30-45 y.,No,0.95967,4979,5170,0.95430,0.96503
2008,46-65 y.,Yes,0.00780,49,6694,0.00569,0.00990
2008,46-65 y.,No,0.99220,6645,6694,0.99010,0.99431
2008,66 and older,No,0.99854,4291,4291,0.99739,0.99968
2009,17-29 y.,Yes,0.44434,1480,2855,0.42611,0.46257
2009,17-29 y.,No,0.49004,1375,2855,0.47170,0.50838
2009,30-45 y.,Yes,0.04352,181,4676,0.03768,0.04937
2009,30-45 y.,No,0.95648,4495,4676,0.95063,0.96232
2009,46-65 y.,Yes,0.00903,50,6325,0.00670,0.01137
2009,46-65 y.,No,0.99097,6275,6325,0.98863,0.99330
2009,66 and older,No,0.99866,4157,4157,0.99754,0.99977
2010,17-29 y.,Yes,0.48857,1752,3920,0.47292,0.50422
2010,17-29 y.,No,0.45449,2168,3920,0.43890,0.47008
2010,30-45 y.,Yes,0.05032,396,9071,0.04582,0.05482
2010,30-45 y.,No,0.94968,8675,9071,0.94518,0.95418
2010,46-65 y.,Yes,0.00927,73,6952,0.00702,0.01152
2010,46-65 y.,No,0.99073,6879,6952,0.98848,0.99298
2010,66 and older,No,0.99909,4019,4019,0.99816,1.00002
2011,17-29 y.,Yes,0.44062,1996,4174,0.42555,0.45568
2011,17-29 y.,No,0.48786,2178,4174,0.47270,0.50303
2011,30-45 y.,Yes,0.05622,478,9931,0.05169,0.06075
2011,30-45 y.,No,0.94378,9453,9931,0.93925,0.94831
2011,46-65 y.,Yes,0.00851,98,9125,0.00663,0.01040
2011,46-65 y.,No,0.99146,9027,9125,0.98957,0.99335
2011,66 and older,No,0.99901,5136,5136,0.99816,0.99987
2012,17-29 y.,Yes,0.44215,1999,3981,0.42672,0.45758
2012,17-29 y.,No,0.48886,1982,3981,0.47333,0.50439
2012,30-45 y.,Yes,0.05276,425,9075,0.04816,0.05736
2012,30-45 y.,No,0.94724,8650,9075,0.94264,0.95184
2012,46-65 y.,Yes,0.00940,106,9374,0.00745,0.01136
2012,46-65 y.,No,0.99058,9268,9374,0.98862,0.99253
2012,66 and older,No,0.99902,5200,5200,0.99817,0.99987
2013,17-29 y.,Yes,0.45543,2470,5024,0.44166,0.46920
2013,17-29 y.,No,0.47692,2554,5024,0.46311,0.49073
2013,30-45 y.,Yes,0.06232,558,10362,0.05766,0.06697
2013,30-45 y.,No,0.93766,9804,10362,0.93300,0.94231
2013,46-65 y.,Yes,0.01062,129,10190,0.00863,0.01261
2013,46-65 y.,No,0.98938,10061,10190,0.98739,0.99137
2013,66 and older,No,0.99921,5042,5042,0.99843,0.99998
2014,17-29 y.,Yes,0.46689,2240,4296,0.45197,0.48181
2014,17-29 y.,No,0.46442,2056,4296,0.44950,0.47933
2014,30-45 y.,Yes,0.06445,456,8519,0.05923,0.06966
2014,30-45 y.,No,0.93555,8063,8519,0.93034,0.94077
2014,46-65 y.,Yes,0.00982,125,9313,0.00782,0.01182
2014,46-65 y.,No,0.99018,9188,9313,0.98818,0.99218
2014,66 and older,No,0.99826,4945,4945,0.99710,0.99942
2015,17-29 y.,Yes,0.45613,2222,4462,0.44151,0.47074
2015,17-29 y.,No,0.47731,2240,4462,0.46265,0.49197
2015,30-45 y.,Yes,0.06345,423,8286,0.05820,0.06870
2015,30-45 y.,No,0.93650,7863,8286,0.93125,0.94175
2015,46-65 y.,Yes,0.00862,87,9137,0.00672,0.01051
2015,46-65 y.,No,0.99138,9050,9137,0.98949,0.99328
2015,66 and older,No,0.99765,4896,4896,0.99629,0.99900
2016,17-29 y.,Yes,0.45253,2057,4864,0.43854,0.46652
2016,17-29 y.,No,0.47589,2807,4864,0.46185,0.48992
2016,30-45 y.,Yes,0.06410,416,8621,0.05893,0.06927
2016,30-45 y.,No,0.93582,8205,8621,0.93065,0.94099
2016,46-65 y.,Yes,0.00759,105,9033,0.00580,0.00938
2016,46-65 y.,No,0.99240,8928,9033,0.99060,0.99419
2016,66 and older,No,0.99868,4733,4733,0.99764,0.99971
2017,17-29 y.,Yes,0.46606,2492,5816,0.45323,0.47888
2017,17-29 y.,No,0.46515,3324,5816,0.45233,0.47797
2017,30-45 y.,Yes,0.06351,479,9128,0.05851,0.06851
2017,30-45 y.,No,0.93648,8649,9128,0.93147,0.94148
2017,46-65 y.,Yes,0.00935,137,10578,0.00751,0.01118
2017,46-65 y.,No,0.99065,10441,10578,0.98881,0.99248
2017,66 and older,No,0.99940,4989,4989,0.99872,1.00008
2018,17-29 y.,Yes,0.44090,2406,5489,0.42776,0.45403
2018,17-29 y.,No,0.49664,3083,5489,0.48341,0.50987
2018,30-45 y.,Yes,0.06230,480,8440,0.05714,0.06746
2018,30-45 y.,No,0.93746,7960,8440,0.93230,0.94263
2018,46-65 y.,Yes,0.00606,110,10260,0.00455,0.00756
2018,46-65 y.,No,0.99394,10150,10260,0.99244,0.99545
2018,66 and older,No,0.99726,5007,5007,0.99582,0.99871
2019,17-29 y.,Yes,0.42782,2208,4845,0.41388,0.44175
2019,17-29 y.,No,0.49722,2637,4845,0.48314,0.51130
2019,30-45 y.,Yes,0.06467,444,7963,0.05927,0.07008
2019,30-45 y.,No,0.93533,7519,7963,0.92992,0.94073
2019,46-65 y.,Yes,0.00860,136,11059,0.00688,0.01032
2019,46-65 y.,No,0.99140,10923,11059,0.98968,0.99312
2019,66 and older,No,0.99814,5195,5195,0.99697,0.99931
2020,17-29 y.,Yes,0.44343,2331,5465,0.43026,0.45661
2020,17-29 y.,No,0.48321,3134,5465,0.46996,0.49646
2020,30-45 y.,Yes,0.06279,497,8491,0.05763,0.06795
2020,30-45 y.,No,0.93705,7994,8491,0.93188,0.94222
2020,46-65 y.,Yes,0.00884,134,10522,0.00705,0.01063
2020,46-65 y.,No,0.99116,10388,10522,0.98937,0.99295
2020,66 and older,No,0.99802,4917,4917,0.99678,0.99926
2021,17-29 y.,Yes,0.44133,1554,3278,0.42433,0.45833
2021,17-29 y.,No,0.49370,1724,3278,0.47658,0.51082
2021,30-45 y.,Yes,0.07020,372,5344,0.06335,0.07705
2021,30-45 y.,No,0.92883,4972,5344,0.92193,0.93572
2021,46-65 y.,Yes,0.00768,123,7319,0.00568,0.00968
2021,46-65 y.,No,0.99066,7196,7319,0.98845,0.99286
2021,66 and older,No,0.98789,3563,3563,0.98430,0.99149
