year,quintil_oecd,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,4th Quintile,No,0.80009,1735,1937,0.78228,0.81791
1990,5th Quintile,Yes,0.07909,159,1832,0.06673,0.09145
1990,5th Quintile,No,0.82457,1673,1832,0.80715,0.84199
1991,1st Quintile,Yes,0.09687,271,1840,0.08335,0.11039
1991,1st Quintile,No,0.68076,1569,1840,0.65946,0.70207
1991,2nd Quintile,Yes,0.08934,237,1889,0.07648,0.10221
1991,2nd Quintile,No,0.68958,1652,1889,0.66871,0.71045
1991,3rd Quintile,Yes,0.09105,239,1900,0.07811,0.10399
1991,3rd Quintile,No,0.71665,1661,1900,0.69638,0.73692
1991,4th Quintile,Yes,0.08392,202,1944,0.07159,0.09625
1991,4th Quintile,No,0.79473,1742,1944,0.77677,0.81269
1991,5th Quintile,Yes,0.08272,177,1835,0.07011,0.09532
1991,5th Quintile,No,0.81422,1658,1835,0.79641,0.83202
1992,1st Quintile,Yes,0.08403,347,2785,0.07372,0.09433
1992,1st Quintile,No,0.70431,2438,2785,0.68735,0.72126
1992,2nd Quintile,Yes,0.09296,407,2851,0.08229,0.10362
1992,2nd Quintile,No,0.67140,2444,2851,0.65416,0.68865
1992,3rd Quintile,Yes,0.09881,380,2669,0.08749,0.11013
1992,3rd Quintile,No,0.71032,2289,2669,0.69311,0.72754
1992,4th Quintile,Yes,0.09375,310,2629,0.08260,0.10489
1992,4th Quintile,No,0.76967,2319,2629,0.75357,0.78577
1992,5th Quintile,Yes,0.07072,209,2377,0.06041,0.08103
1992,5th Quintile,No,0.82267,2168,2377,0.80731,0.83803
1993,1st Quintile,Yes,0.09352,368,2626,0.08238,0.10466
1993,1st Quintile,No,0.69303,2258,2626,0.67538,0.71067
1993,2nd Quintile,Yes,0.08867,376,2821,0.07818,0.09917
1993,2nd Quintile,No,0.69018,2445,2821,0.67311,0.70725
1993,3rd Quintile,Yes,0.08932,355,2666,0.07849,0.10015
1993,3rd Quintile,No,0.70885,2311,2666,0.69160,0.72610
1993,4th Quintile,Yes,0.08643,276,2612,0.07565,0.09721
1993,4th Quintile,No,0.77186,2336,2612,0.75576,0.78795
1993,5th Quintile,Yes,0.07127,210,2374,0.06091,0.08162
1993,5th Quintile,No,0.82343,2164,2374,0.80809,0.83877
1994,1st Quintile,Yes,0.08457,323,2512,0.07369,0.09545
1994,1st Quintile,No,0.69150,2189,2512,0.67343,0.70956
1994,2nd Quintile,Yes,0.08116,318,2699,0.07085,0.09146
1994,2nd Quintile,No,0.69370,2381,2699,0.67631,0.71109
1994,3rd Quintile,Yes,0.08344,341,2707,0.07302,0.09386
1994,3rd Quintile,No,0.72717,2366,2707,0.71039,0.74395
1994,4th Quintile,Yes,0.08452,286,2544,0.07371,0.09533
1994,4th Quintile,No,0.76771,2258,2544,0.75130,0.78413
1994,5th Quintile,Yes,0.06648,196,2404,0.05652,0.07644
1994,5th Quintile,No,0.83122,2208,2404,0.81624,0.84619
1995,1st Quintile,Yes,0.10246,378,2545,0.09068,0.11424
1995,1st Quintile,No,0.64782,2167,2545,0.62926,0.66638
1995,2nd Quintile,Yes,0.07981,355,2867,0.06989,0.08973
1995,2nd Quintile,No,0.70694,2512,2867,0.69027,0.72360
1995,3rd Quintile,Yes,0.07909,329,2715,0.06893,0.08924
1995,3rd Quintile,No,0.73158,2386,2715,0.71490,0.74825
1995,4th Quintile,Yes,0.08348,299,2673,0.07299,0.09397
1995,4th Quintile,No,0.77892,2374,2673,0.76318,0.79465
1995,5th Quintile,Yes,0.07311,242,2479,0.06286,0.08336
1995,5th Quintile,No,0.82344,2237,2479,0.80842,0.83845
1996,1st Quintile,Yes,0.10312,384,2543,0.09130,0.11494
1996,1st Quintile,No,0.66114,2159,2543,0.64274,0.67954
1996,2nd Quintile,Yes,0.07761,328,2734,0.06758,0.08764
1996,2nd Quintile,No,0.69478,2406,2734,0.67751,0.71204
1996,3rd Quintile,Yes,0.08289,297,2655,0.07240,0.09338
1996,3rd Quintile,No,0.74403,2358,2655,0.72743,0.76064
1996,4th Quintile,Yes,0.06830,271,2707,0.05880,0.07781
1996,4th Quintile,No,0.78085,2436,2707,0.76526,0.79643
1996,5th Quintile,Yes,0.06823,225,2399,0.05813,0.07832
1996,5th Quintile,No,0.82937,2174,2399,0.81431,0.84442
1997,1st Quintile,Yes,0.09973,356,2383,0.08770,0.11177
1997,1st Quintile,No,0.66503,2027,2383,0.64608,0.68399
1997,2nd Quintile,Yes,0.08260,348,2772,0.07235,0.09285
1997,2nd Quintile,No,0.70613,2424,2772,0.68917,0.72309
1997,3rd Quintile,Yes,0.07700,279,2564,0.06668,0.08732
1997,3rd Quintile,No,0.73065,2285,2564,0.71347,0.74782
1997,4th Quintile,Yes,0.08141,292,2666,0.07103,0.09179
1997,4th Quintile,No,0.77851,2374,2666,0.76275,0.79428
1997,5th Quintile,Yes,0.07011,233,2441,0.05998,0.08024
1997,5th Quintile,No,0.82928,2208,2441,0.81435,0.84421
1998,1st Quintile,Yes,0.10392,352,2341,0.09156,0.11629
1998,1st Quintile,No,0.65532,1989,2341,0.63606,0.67458
1998,2nd Quintile,Yes,0.08232,322,2567,0.07168,0.09295
1998,2nd Quintile,No,0.69652,2245,2567,0.67873,0.71431
1998,3rd Quintile,Yes,0.06912,277,2543,0.05926,0.07898
1998,3rd Quintile,No,0.75578,2266,2543,0.73907,0.77248
1998,4th Quintile,Yes,0.08604,263,2594,0.07525,0.09683
1998,4th Quintile,No,0.78231,2331,2594,0.76643,0.79820
1998,5th Quintile,Yes,0.06414,192,2284,0.05409,0.07419
1998,5th Quintile,No,0.82716,2092,2284,0.81165,0.84267
1999,1st Quintile,Yes,0.10740,407,2587,0.09547,0.11934
1999,1st Quintile,No,0.65469,2180,2587,0.63636,0.67301
1999,2nd Quintile,Yes,0.08258,342,2876,0.07252,0.09264
1999,2nd Quintile,No,0.71757,2534,2876,0.70112,0.73403
1999,3rd Quintile,Yes,0.07620,301,2822,0.06641,0.08599
1999,3rd Quintile,No,0.74022,2521,2822,0.72404,0.75640
1999,4th Quintile,Yes,0.07692,277,2783,0.06701,0.08682
1999,4th Quintile,No,0.78555,2506,2783,0.77030,0.80080
1999,5th Quintile,Yes,0.06823,235,2606,0.05855,0.07791
1999,5th Quintile,No,0.83058,2371,2606,0.81618,0.84499
2000,1st Quintile,Yes,0.10454,394,2585,0.09274,0.11634
2000,1st Quintile,No,0.67185,2191,2585,0.65375,0.68995
2000,2nd Quintile,Yes,0.08255,335,2763,0.07229,0.09282
2000,2nd Quintile,No,0.70304,2428,2763,0.68600,0.72008
2000,3rd Quintile,Yes,0.07755,301,2712,0.06748,0.08762
2000,3rd Quintile,No,0.74015,2411,2712,0.72364,0.75665
2000,4th Quintile,Yes,0.07092,274,2695,0.06123,0.08062
2000,4th Quintile,No,0.78533,2421,2695,0.76983,0.80084
2000,5th Quintile,Yes,0.06984,223,2529,0.05991,0.07978
2000,5th Quintile,No,0.81857,2306,2529,0.80355,0.83360
2001,1st Quintile,Yes,0.11825,626,3866,0.10807,0.12843
2001,1st Quintile,No,0.65364,3240,3866,0.63864,0.66865
2001,2nd Quintile,Yes,0.07721,493,4384,0.06931,0.08512
2001,2nd Quintile,No,0.71608,3891,4384,0.70273,0.72943
2001,3rd Quintile,Yes,0.07434,478,4534,0.06670,0.08198
2001,3rd Quintile,No,0.75028,4056,4534,0.73768,0.76288
2001,4th Quintile,Yes,0.07643,479,4605,0.06875,0.08410
2001,4th Quintile,No,0.78357,4126,4605,0.77168,0.79547
2001,5th Quintile,Yes,0.06391,368,4530,0.05678,0.07103
2001,5th Quintile,No,0.83141,4162,4530,0.82051,0.84232
2002,1st Quintile,Yes,0.11364,544,3459,0.10306,0.12422
2002,1st Quintile,No,0.66520,2915,3459,0.64947,0.68093
2002,2nd Quintile,Yes,0.08179,437,3944,0.07324,0.09035
2002,2nd Quintile,No,0.72569,3507,3944,0.71176,0.73961
2002,3rd Quintile,Yes,0.07677,455,4067,0.06858,0.08495
2002,3rd Quintile,No,0.73731,3612,4067,0.72378,0.75083
2002,4th Quintile,Yes,0.07124,451,4356,0.06360,0.07888
2002,4th Quintile,No,0.78217,3905,4356,0.76991,0.79443
2002,5th Quintile,Yes,0.06470,442,4973,0.05786,0.07154
2002,5th Quintile,No,0.84994,4531,4973,0.84001,0.85986
2003,1st Quintile,Yes,0.11951,572,3402,0.10861,0.13041
2003,1st Quintile,No,0.67083,2830,3402,0.65503,0.68662
2003,2nd Quintile,Yes,0.07634,413,3870,0.06797,0.08471
2003,2nd Quintile,No,0.71993,3457,3870,0.70578,0.73408
2003,3rd Quintile,Yes,0.07068,429,4127,0.06286,0.07850
2003,3rd Quintile,No,0.74977,3698,4127,0.73655,0.76299
2003,4th Quintile,Yes,0.07882,487,4427,0.07088,0.08676
2003,4th Quintile,No,0.78140,3940,4427,0.76922,0.79357
2003,5th Quintile,Yes,0.06597,608,6335,0.05986,0.07208
2003,5th Quintile,No,0.83090,5727,6335,0.82167,0.84013
2004,1st Quintile,Yes,0.11597,555,3299,0.10504,0.12690
2004,1st Quintile,No,0.67759,2744,3299,0.66164,0.69355
2004,2nd Quintile,Yes,0.08529,434,3816,0.07643,0.09415
2004,2nd Quintile,No,0.71752,3382,3816,0.70323,0.73180
2004,3rd Quintile,Yes,0.07563,428,3939,0.06737,0.08389
2004,3rd Quintile,No,0.75178,3511,3939,0.73829,0.76527
2004,4th Quintile,Yes,0.07257,467,4349,0.06485,0.08028
2004,4th Quintile,No,0.78502,3882,4349,0.77281,0.79723
2004,5th Quintile,Yes,0.07085,627,6206,0.06447,0.07724
2004,5th Quintile,No,0.83204,5579,6206,0.82274,0.84134
2005,1st Quintile,Yes,0.12746,549,3161,0.11583,0.13909
2005,1st Quintile,No,0.66793,2612,3161,0.65151,0.68435
2005,2nd Quintile,Yes,0.09161,430,3685,0.08229,0.10092
2005,2nd Quintile,No,0.72851,3255,3685,0.71415,0.74288
2005,3rd Quintile,Yes,0.07694,395,3744,0.06841,0.08548
2005,3rd Quintile,No,0.75312,3349,3744,0.73931,0.76693
2005,4th Quintile,Yes,0.08203,461,4199,0.07372,0.09033
2005,4th Quintile,No,0.77748,3738,4199,0.76490,0.79007
2005,5th Quintile,Yes,0.06901,563,5905,0.06254,0.07547
2005,5th Quintile,No,0.83436,5342,5905,0.82488,0.84385
2006,1st Quintile,Yes,0.11808,447,2959,0.10645,0.12971
2006,1st Quintile,No,0.67922,2512,2959,0.66240,0.69604
2006,2nd Quintile,Yes,0.07192,305,3292,0.06309,0.08074
2006,2nd Quintile,No,0.73172,2987,3292,0.71658,0.74685
2006,3rd Quintile,Yes,0.06050,313,3645,0.05276,0.06825
2006,3rd Quintile,No,0.75874,3332,3645,0.74485,0.77263
2006,4th Quintile,Yes,0.06687,382,3940,0.05907,0.07467
2006,4th Quintile,No,0.78027,3558,3940,0.76734,0.79320
2006,5th Quintile,Yes,0.05477,404,5512,0.04877,0.06078
2006,5th Quintile,No,0.84785,5108,5512,0.83836,0.85733
2007,1st Quintile,Yes,0.11470,463,3180,0.10362,0.12578
2007,1st Quintile,No,0.69303,2717,3180,0.67700,0.70907
2007,2nd Quintile,Yes,0.06956,334,3558,0.06120,0.07792
2007,2nd Quintile,No,0.72221,3224,3558,0.70749,0.73693
2007,3rd Quintile,Yes,0.06947,346,3844,0.06143,0.07751
2007,3rd Quintile,No,0.75699,3498,3844,0.74343,0.77055
2007,4th Quintile,Yes,0.06349,389,4320,0.05622,0.07076
2007,4th Quintile,No,0.78882,3931,4320,0.77664,0.80099
2007,5th Quintile,Yes,0.05921,443,5604,0.05303,0.06539
2007,5th Quintile,No,0.83909,5161,5604,0.82947,0.84871
2008,1st Quintile,Yes,0.11575,463,3020,0.10433,0.12716
2008,1st Quintile,No,0.68752,2557,3020,0.67099,0.70406
2008,2nd Quintile,Yes,0.06907,295,3356,0.06049,0.07765
2008,2nd Quintile,No,0.74238,3061,3356,0.72758,0.75717
2008,3rd Quintile,Yes,0.07189,365,3769,0.06364,0.08014
2008,3rd Quintile,No,0.75972,3404,3769,0.74608,0.77337
2008,4th Quintile,Yes,0.07137,356,3935,0.06332,0.07941
2008,4th Quintile,No,0.78760,3579,3935,0.77482,0.80038
2008,5th Quintile,Yes,0.05606,389,5234,0.04983,0.06230
2008,5th Quintile,No,0.83958,4845,5234,0.82964,0.84953
2009,1st Quintile,Yes,0.12275,419,2879,0.11076,0.13474
2009,1st Quintile,No,0.69619,2460,2879,0.67939,0.71300
2009,2nd Quintile,Yes,0.07181,273,3166,0.06282,0.08081
2009,2nd Quintile,No,0.73577,2893,3166,0.72040,0.75113
2009,3rd Quintile,Yes,0.07439,311,3434,0.06561,0.08316
2009,3rd Quintile,No,0.76622,3123,3434,0.75206,0.78038
2009,4th Quintile,Yes,0.06773,340,3732,0.05967,0.07580
2009,4th Quintile,No,0.78526,3392,3732,0.77209,0.79844
2009,5th Quintile,Yes,0.06765,372,4802,0.06054,0.07475
2009,5th Quintile,No,0.83037,4430,4802,0.81975,0.84098
2010,1st Quintile,Yes,0.14393,387,2650,0.13056,0.15730
2010,1st Quintile,No,0.78278,2263,2650,0.76707,0.79848
2010,2nd Quintile,Yes,0.09008,273,2994,0.07982,0.10034
2010,2nd Quintile,No,0.81031,2721,2994,0.79626,0.82435
2010,3rd Quintile,Yes,0.08745,299,3176,0.07762,0.09727
2010,3rd Quintile,No,0.79420,2877,3176,0.78014,0.80827
2010,4th Quintile,Yes,0.07963,320,3432,0.07058,0.08869
2010,4th Quintile,No,0.81517,3112,3432,0.80218,0.82816
2010,5th Quintile,Yes,0.06943,335,4383,0.06191,0.07696
2010,5th Quintile,No,0.85062,4048,4383,0.84007,0.86118
2011,1st Quintile,Yes,0.10325,595,4528,0.09439,0.11211
2011,1st Quintile,No,0.71420,3933,4528,0.70104,0.72736
2011,2nd Quintile,Yes,0.07150,404,4436,0.06391,0.07908
2011,2nd Quintile,No,0.75184,4032,4436,0.73913,0.76456
2011,3rd Quintile,Yes,0.08403,360,4100,0.07554,0.09252
2011,3rd Quintile,No,0.75734,3740,4100,0.74422,0.77047
2011,4th Quintile,Yes,0.07011,344,4031,0.06223,0.07800
2011,4th Quintile,No,0.78251,3687,4031,0.76977,0.79525
2011,5th Quintile,Yes,0.06604,338,4798,0.05901,0.07306
2011,5th Quintile,No,0.82381,4460,4798,0.81303,0.83459
2012,1st Quintile,Yes,0.10610,703,5388,0.09787,0.11432
2012,1st Quintile,No,0.69448,4685,5388,0.68218,0.70678
2012,2nd Quintile,Yes,0.07215,462,4937,0.06493,0.07937
2012,2nd Quintile,No,0.75358,4475,4937,0.74156,0.76560
2012,3rd Quintile,Yes,0.08193,426,4832,0.07420,0.08967
2012,3rd Quintile,No,0.75002,4406,4832,0.73781,0.76223
2012,4th Quintile,Yes,0.06673,397,4780,0.05966,0.07381
2012,4th Quintile,No,0.78619,4383,4780,0.77457,0.79782
2012,5th Quintile,Yes,0.06418,355,5248,0.05755,0.07081
2012,5th Quintile,No,0.82475,4893,5248,0.81447,0.83504
2013,1st Quintile,Yes,0.11720,755,5191,0.10845,0.12595
2013,1st Quintile,No,0.69943,4436,5191,0.68695,0.71190
2013,2nd Quintile,Yes,0.06983,525,5193,0.06289,0.07676
2013,2nd Quintile,No,0.76354,4668,5193,0.75198,0.77510
2013,3rd Quintile,Yes,0.07265,463,4932,0.06541,0.07990
2013,3rd Quintile,No,0.77001,4469,4932,0.75826,0.78175
2013,4th Quintile,Yes,0.07067,416,4890,0.06349,0.07786
2013,4th Quintile,No,0.79453,4474,4890,0.78321,0.80586
2013,5th Quintile,Yes,0.07190,378,5470,0.06506,0.07875
2013,5th Quintile,No,0.82651,5092,5470,0.81648,0.83655
2014,1st Quintile,Yes,0.12211,924,5801,0.11369,0.13054
2014,1st Quintile,No,0.66896,4877,5801,0.65685,0.68107
2014,2nd Quintile,Yes,0.08047,571,5524,0.07329,0.08764
2014,2nd Quintile,No,0.73853,4953,5524,0.72694,0.75012
2014,3rd Quintile,Yes,0.07843,486,5180,0.07111,0.08575
2014,3rd Quintile,No,0.76485,4694,5180,0.75330,0.77640
2014,4th Quintile,Yes,0.07598,483,5161,0.06875,0.08321
2014,4th Quintile,No,0.78708,4678,5161,0.77591,0.79825
2014,5th Quintile,Yes,0.06431,362,5407,0.05777,0.07085
2014,5th Quintile,No,0.83315,5045,5407,0.82321,0.84308
2015,1st Quintile,Yes,0.12726,810,5053,0.11807,0.13645
2015,1st Quintile,No,0.67466,4243,5053,0.66174,0.68758
2015,2nd Quintile,Yes,0.07506,544,5298,0.06796,0.08216
2015,2nd Quintile,No,0.75419,4754,5298,0.74259,0.76578
2015,3rd Quintile,Yes,0.07439,466,4894,0.06704,0.08174
2015,3rd Quintile,No,0.76592,4428,4894,0.75405,0.77778
2015,4th Quintile,Yes,0.06923,415,4780,0.06203,0.07643
2015,4th Quintile,No,0.79574,4365,4780,0.78431,0.80717
2015,5th Quintile,Yes,0.05985,335,5108,0.05334,0.06635
2015,5th Quintile,No,0.83771,4773,5108,0.82759,0.84782
2016,1st Quintile,Yes,0.13012,802,5024,0.12082,0.13942
2016,1st Quintile,No,0.65835,4222,5024,0.64523,0.67146
2016,2nd Quintile,Yes,0.08364,515,5163,0.07609,0.09120
2016,2nd Quintile,No,0.74027,4648,5163,0.72831,0.75224
2016,3rd Quintile,Yes,0.07296,402,4660,0.06549,0.08043
2016,3rd Quintile,No,0.76256,4258,4660,0.75034,0.77477
2016,4th Quintile,Yes,0.06731,381,4597,0.06007,0.07456
2016,4th Quintile,No,0.79984,4216,4597,0.78827,0.81141
2016,5th Quintile,Yes,0.05825,318,4835,0.05164,0.06485
2016,5th Quintile,No,0.83866,4517,4835,0.82829,0.84903
2017,1st Quintile,Yes,0.12460,908,6189,0.11638,0.13283
2017,1st Quintile,No,0.65836,5281,6189,0.64655,0.67018
2017,2nd Quintile,Yes,0.07980,507,4951,0.07225,0.08735
2017,2nd Quintile,No,0.75046,4444,4951,0.73840,0.76252
2017,3rd Quintile,Yes,0.06298,411,4437,0.05583,0.07013
2017,3rd Quintile,No,0.77403,4026,4437,0.76172,0.78634
2017,4th Quintile,Yes,0.06885,364,4341,0.06132,0.07638
2017,4th Quintile,No,0.80756,3977,4341,0.79583,0.81929
2017,5th Quintile,Yes,0.06626,330,4555,0.05904,0.07349
2017,5th Quintile,No,0.82631,4225,4555,0.81531,0.83732
2018,1st Quintile,Yes,0.12690,1038,7101,0.11915,0.13464
2018,1st Quintile,No,0.66489,6063,7101,0.65392,0.67587
2018,2nd Quintile,Yes,0.07514,573,5451,0.06814,0.08214
2018,2nd Quintile,No,0.74791,4878,5451,0.73638,0.75944
2018,3rd Quintile,Yes,0.07348,447,4827,0.06612,0.08084
2018,3rd Quintile,No,0.77020,4380,4827,0.75833,0.78207
2018,4th Quintile,Yes,0.06072,360,4642,0.05385,0.06759
2018,4th Quintile,No,0.80645,4282,4642,0.79508,0.81782
2018,5th Quintile,Yes,0.05176,336,5095,0.04567,0.05784
2018,5th Quintile,No,0.84310,4759,5095,0.83311,0.85309
2019,1st Quintile,Yes,0.12905,975,7037,0.12122,0.13689
2019,1st Quintile,No,0.65822,6062,7037,0.64714,0.66931
2019,2nd Quintile,Yes,0.07021,542,4927,0.06308,0.07735
2019,2nd Quintile,No,0.74920,4385,4927,0.73709,0.76130
2019,3rd Quintile,Yes,0.06959,433,4526,0.06217,0.07700
2019,3rd Quintile,No,0.76746,4093,4526,0.75515,0.77977
2019,4th Quintile,Yes,0.06123,360,4275,0.05405,0.06842
2019,4th Quintile,No,0.79552,3915,4275,0.78343,0.80761
2019,5th Quintile,Yes,0.04625,285,4787,0.04030,0.05220
2019,5th Quintile,No,0.85185,4502,4787,0.84178,0.86191
2020,1st Quintile,Yes,0.11731,896,6635,0.10956,0.12505
2020,1st Quintile,No,0.67841,5739,6635,0.66717,0.68965
2020,2nd Quintile,Yes,0.08096,504,4706,0.07317,0.08876
2020,2nd Quintile,No,0.73076,4202,4706,0.71808,0.74343
2020,3rd Quintile,Yes,0.06868,422,4407,0.06121,0.07614
2020,3rd Quintile,No,0.77113,3985,4407,0.75873,0.78354
2020,4th Quintile,Yes,0.06856,369,4425,0.06112,0.07601
2020,4th Quintile,No,0.78313,4056,4425,0.77099,0.79528
2020,5th Quintile,Yes,0.05076,379,6005,0.04520,0.05631
2020,5th Quintile,No,0.83328,5626,6005,0.82385,0.84270
2021,1st Quintile,Yes,0.11422,739,4734,0.10516,0.12329
2021,1st Quintile,No,0.67484,3995,4734,0.66149,0.68818
2021,2nd Quintile,Yes,0.08162,389,3604,0.07268,0.09056
2021,2nd Quintile,No,0.72869,3215,3604,0.71417,0.74321
2021,3rd Quintile,Yes,0.07475,302,3051,0.06542,0.08409
2021,3rd Quintile,No,0.74570,2749,3051,0.73025,0.76116
2021,4th Quintile,Yes,0.06926,283,3254,0.06053,0.07798
2021,4th Quintile,No,0.79054,2971,3254,0.77656,0.80452
2021,5th Quintile,Yes,0.04531,263,4314,0.03911,0.05152
2021,5th Quintile,No,0.83176,4051,4314,0.82060,0.84293
