year,bula_h,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1989,Berlin,Yes,0.06909,33,329,0.04164,0.09653
1989,Berlin,No,0.79376,296,329,0.74997,0.83754
1990,Schleswig-Holstein,Yes,0.09367,34,283,0.05966,0.12768
1990,Schleswig-Holstein,No,0.71795,249,283,0.66543,0.77048
1990,Hamburg,No,0.84906,155,155,0.79252,0.90560
1990,Lower Saxony,Yes,0.07860,105,978,0.06172,0.09547
1990,Lower Saxony,No,0.77488,873,978,0.74869,0.80107
1990,Bremen,No,0.78322,92,92,0.69856,0.86788
1990,North Rhine-Westphalia,Yes,0.10253,353,2556,0.09076,0.11429
1990,North Rhine-Westphalia,No,0.71883,2203,2556,0.70140,0.73627
1990,Hesse,Yes,0.09534,107,985,0.07699,0.11369
1990,Hesse,No,0.74844,878,985,0.72132,0.77555
1990,"Rhineland-Palatinate, Saarland",Yes,0.08176,66,673,0.06104,0.10248
1990,"Rhineland-Palatinate, Saarland",No,0.77685,607,673,0.74537,0.80833
1990,Baden-Wuerttemberg,Yes,0.08179,182,1791,0.06909,0.09449
1990,Baden-Wuerttemberg,No,0.73172,1609,1791,0.71119,0.75225
1990,Bavaria,Yes,0.08727,181,1598,0.07343,0.10112
1990,Bavaria,No,0.74812,1417,1598,0.72683,0.76941
1990,Berlin,Yes,0.08693,77,623,0.06479,0.10907
1990,Berlin,No,0.73295,546,623,0.69818,0.76772
1990,Brandenburg,Yes,0.08261,89,729,0.06261,0.10261
1990,Brandenburg,No,0.69103,640,729,0.65746,0.72459
1990,Mecklenburg-Western Pomerania,Yes,0.07710,58,507,0.05385,0.10034
1990,Mecklenburg-Western Pomerania,No,0.70876,449,507,0.66917,0.74835
1990,Saxony,Yes,0.07092,140,1336,0.05715,0.08469
1990,Saxony,No,0.71478,1196,1336,0.69056,0.73900
1990,Saxony-Anhalt,Yes,0.07570,79,811,0.05749,0.09392
1990,Saxony-Anhalt,No,0.72432,732,811,0.69355,0.75509
1990,Thuringa,Yes,0.06296,67,743,0.04548,0.08043
1990,Thuringa,No,0.70735,676,743,0.67462,0.74009
1991,Schleswig-Holstein,Yes,0.10689,43,299,0.07181,0.14197
1991,Schleswig-Holstein,No,0.67472,256,299,0.62153,0.72791
1991,Hamburg,No,0.86136,150,150,0.80588,0.91685
1991,Lower Saxony,Yes,0.09402,128,973,0.07567,0.11237
1991,Lower Saxony,No,0.75096,845,973,0.72377,0.77814
1991,Bremen,No,0.82672,90,90,0.74809,0.90536
1991,North Rhine-Westphalia,Yes,0.10441,361,2546,0.09253,0.11629
1991,North Rhine-Westphalia,No,0.71642,2185,2546,0.69891,0.73394
1991,Hesse,Yes,0.09381,103,967,0.07543,0.11220
1991,Hesse,No,0.74940,864,967,0.72207,0.77673
1991,"Rhineland-Palatinate, Saarland",Yes,0.06786,65,669,0.04879,0.08694
1991,"Rhineland-Palatinate, Saarland",No,0.77699,604,669,0.74543,0.80856
1991,Baden-Wuerttemberg,Yes,0.08387,197,1797,0.07105,0.09669
1991,Baden-Wuerttemberg,No,0.72774,1600,1797,0.70715,0.74833
1991,Bavaria,Yes,0.07967,172,1603,0.06641,0.09293
1991,Bavaria,No,0.74580,1431,1603,0.72448,0.76712
1991,Berlin,Yes,0.11135,99,605,0.08627,0.13644
1991,Berlin,No,0.72946,506,605,0.69403,0.76489
1991,Brandenburg,Yes,0.07670,82,677,0.05664,0.09676
1991,Brandenburg,No,0.72847,595,677,0.69494,0.76200
1991,Mecklenburg-Western Pomerania,Yes,0.06570,50,473,0.04335,0.08806
1991,Mecklenburg-Western Pomerania,No,0.72561,423,473,0.68536,0.76587
1991,Saxony,Yes,0.08118,149,1229,0.06591,0.09646
1991,Saxony,No,0.73352,1080,1229,0.70880,0.75825
1991,Saxony-Anhalt,Yes,0.08038,90,793,0.06145,0.09932
1991,Saxony-Anhalt,No,0.74308,703,793,0.71264,0.77351
1991,Thuringa,Yes,0.06894,68,696,0.05010,0.08777
1991,Thuringa,No,0.72481,628,696,0.69160,0.75801
1992,Schleswig-Holstein,Yes,0.09257,33,272,0.05806,0.12708
1992,Schleswig-Holstein,No,0.68942,239,272,0.63433,0.74451
1992,Hamburg,No,0.82702,139,139,0.76391,0.89012
1992,Lower Saxony,Yes,0.08510,116,970,0.06753,0.10267
1992,Lower Saxony,No,0.74949,854,970,0.72221,0.77677
1992,Bremen,No,0.84421,87,87,0.76756,0.92085
1992,North Rhine-Westphalia,Yes,0.09804,340,2521,0.08643,0.10965
1992,North Rhine-Westphalia,No,0.72102,2181,2521,0.70351,0.73853
1992,Hesse,Yes,0.09359,109,953,0.07509,0.11209
1992,Hesse,No,0.75725,844,953,0.73002,0.78449
1992,"Rhineland-Palatinate, Saarland",Yes,0.07558,74,660,0.05540,0.09576
1992,"Rhineland-Palatinate, Saarland",No,0.76403,586,660,0.73161,0.79645
1992,Baden-Wuerttemberg,Yes,0.08405,191,1760,0.07108,0.09702
1992,Baden-Wuerttemberg,No,0.72427,1569,1760,0.70339,0.74515
1992,Bavaria,Yes,0.07540,170,1640,0.06261,0.08818
1992,Bavaria,No,0.74954,1470,1640,0.72857,0.77052
1992,Berlin,Yes,0.11773,105,598,0.09188,0.14358
1992,Berlin,No,0.72684,493,598,0.69110,0.76258
1992,Brandenburg,Yes,0.10450,100,661,0.08116,0.12784
1992,Brandenburg,No,0.71139,561,661,0.67682,0.74596
1992,Mecklenburg-Western Pomerania,Yes,0.08853,61,418,0.06126,0.11579
1992,Mecklenburg-Western Pomerania,No,0.71566,357,418,0.67236,0.75896
1992,Saxony,Yes,0.08493,151,1162,0.06890,0.10097
1992,Saxony,No,0.73132,1011,1162,0.70582,0.75681
1992,Saxony-Anhalt,Yes,0.09501,101,772,0.07431,0.11570
1992,Saxony-Anhalt,No,0.74710,671,772,0.71642,0.77779
1992,Thuringa,Yes,0.08489,85,683,0.06397,0.10581
1992,Thuringa,No,0.70885,598,683,0.67475,0.74294
1993,Schleswig-Holstein,Yes,0.08802,32,287,0.05518,0.12085
1993,Schleswig-Holstein,No,0.72164,255,287,0.66970,0.77359
1993,Hamburg,No,0.87345,134,134,0.81695,0.92996
1993,Lower Saxony,Yes,0.07885,116,979,0.06196,0.09574
1993,Lower Saxony,No,0.74825,863,979,0.72105,0.77545
1993,Bremen,No,0.87422,88,88,0.80453,0.94390
1993,North Rhine-Westphalia,Yes,0.09484,322,2500,0.08336,0.10633
1993,North Rhine-Westphalia,No,0.71828,2178,2500,0.70065,0.73592
1993,Hesse,Yes,0.08832,105,932,0.07010,0.10655
1993,Hesse,No,0.75817,827,932,0.73066,0.78567
1993,"Rhineland-Palatinate, Saarland",Yes,0.06258,63,640,0.04380,0.08136
1993,"Rhineland-Palatinate, Saarland",No,0.77156,577,640,0.73901,0.80411
1993,Baden-Wuerttemberg,Yes,0.08726,197,1779,0.07414,0.10038
1993,Baden-Wuerttemberg,No,0.72209,1582,1779,0.70127,0.74292
1993,Bavaria,Yes,0.07323,159,1619,0.06054,0.08593
1993,Bavaria,No,0.75806,1460,1619,0.73719,0.77893
1993,Berlin,Yes,0.10321,81,575,0.07832,0.12810
1993,Berlin,No,0.72526,494,575,0.68874,0.76178
1993,Brandenburg,Yes,0.09965,92,629,0.07622,0.12308
1993,Brandenburg,No,0.72392,537,629,0.68895,0.75888
1993,Mecklenburg-Western Pomerania,Yes,0.08013,53,406,0.05369,0.10657
1993,Mecklenburg-Western Pomerania,No,0.70581,353,406,0.66143,0.75019
1993,Saxony,Yes,0.09438,160,1118,0.07724,0.11153
1993,Saxony,No,0.72639,958,1118,0.70024,0.75253
1993,Saxony-Anhalt,Yes,0.10106,96,739,0.07932,0.12281
1993,Saxony-Anhalt,No,0.73024,643,739,0.69821,0.76226
1993,Thuringa,Yes,0.10346,96,663,0.08026,0.12666
1993,Thuringa,No,0.70104,567,663,0.66616,0.73591
1994,Schleswig-Holstein,Yes,0.10363,38,287,0.06830,0.13895
1994,Schleswig-Holstein,No,0.71239,249,287,0.65993,0.76485
1994,Hamburg,No,0.83438,134,134,0.77120,0.89756
1994,Lower Saxony,Yes,0.06961,101,967,0.05356,0.08566
1994,Lower Saxony,No,0.75703,866,967,0.72999,0.78408
1994,Bremen,No,0.86405,84,84,0.79031,0.93778
1994,North Rhine-Westphalia,Yes,0.08621,290,2448,0.07509,0.09733
1994,North Rhine-Westphalia,No,0.72754,2158,2448,0.70990,0.74518
1994,Hesse,Yes,0.08314,107,920,0.06529,0.10099
1994,Hesse,No,0.77092,813,920,0.74375,0.79809
1994,"Rhineland-Palatinate, Saarland",Yes,0.05582,53,635,0.03795,0.07369
1994,"Rhineland-Palatinate, Saarland",No,0.76816,582,635,0.73531,0.80101
1994,Baden-Wuerttemberg,Yes,0.08086,188,1732,0.06801,0.09370
1994,Baden-Wuerttemberg,No,0.72836,1544,1732,0.70740,0.74931
1994,Bavaria,Yes,0.06787,147,1587,0.05550,0.08025
1994,Bavaria,No,0.75348,1440,1587,0.73227,0.77469
1994,Berlin,Yes,0.10388,72,552,0.07841,0.12936
1994,Berlin,No,0.72183,480,552,0.68441,0.75924
1994,Brandenburg,Yes,0.11559,96,606,0.09011,0.14107
1994,Brandenburg,No,0.71087,510,606,0.67474,0.74699
1994,Mecklenburg-Western Pomerania,Yes,0.09207,58,413,0.06415,0.11999
1994,Mecklenburg-Western Pomerania,No,0.69647,355,413,0.65207,0.74087
1994,Saxony,Yes,0.08797,149,1128,0.07143,0.10451
1994,Saxony,No,0.73807,979,1128,0.71240,0.76374
1994,Saxony-Anhalt,Yes,0.06574,70,703,0.04741,0.08407
1994,Saxony-Anhalt,No,0.77310,633,703,0.74212,0.80409
1994,Thuringa,Yes,0.07758,84,664,0.05721,0.09794
1994,Thuringa,No,0.72732,580,664,0.69342,0.76122
1995,Schleswig-Holstein,Yes,0.08724,34,284,0.05436,0.12012
1995,Schleswig-Holstein,No,0.70653,250,284,0.65348,0.75959
1995,Hamburg,No,0.81916,121,121,0.75030,0.88803
1995,Lower Saxony,Yes,0.07215,117,1043,0.05644,0.08786
1995,Lower Saxony,No,0.73786,926,1043,0.71116,0.76457
1995,Bremen,No,0.86328,85,85,0.78981,0.93675
1995,North Rhine-Westphalia,Yes,0.09176,336,2582,0.08062,0.10290
1995,North Rhine-Westphalia,No,0.72707,2246,2582,0.70989,0.74426
1995,Hesse,Yes,0.07471,96,944,0.05793,0.09149
1995,Hesse,No,0.77045,848,944,0.74361,0.79729
1995,"Rhineland-Palatinate, Saarland",Yes,0.07150,72,712,0.05256,0.09044
1995,"Rhineland-Palatinate, Saarland",No,0.73380,640,712,0.70132,0.76629
1995,Baden-Wuerttemberg,Yes,0.07990,199,1790,0.06733,0.09246
1995,Baden-Wuerttemberg,No,0.72912,1591,1790,0.70853,0.74972
1995,Bavaria,Yes,0.08125,183,1689,0.06822,0.09429
1995,Bavaria,No,0.74228,1506,1689,0.72142,0.76315
1995,Berlin,Yes,0.10448,78,568,0.07930,0.12966
1995,Berlin,No,0.72868,490,568,0.69208,0.76528
1995,Brandenburg,Yes,0.10242,91,588,0.07790,0.12695
1995,Brandenburg,No,0.72727,497,588,0.69124,0.76330
1995,Mecklenburg-Western Pomerania,Yes,0.09580,61,417,0.06751,0.12408
1995,Mecklenburg-Western Pomerania,No,0.72027,356,417,0.67713,0.76340
1995,Saxony,Yes,0.07964,146,1099,0.06363,0.09566
1995,Saxony,No,0.74632,953,1099,0.72058,0.77206
1995,Saxony-Anhalt,Yes,0.08633,90,689,0.06535,0.10732
1995,Saxony-Anhalt,No,0.76292,599,689,0.73114,0.79470
1995,Thuringa,Yes,0.08632,80,652,0.06474,0.10789
1995,Thuringa,No,0.72278,572,652,0.68839,0.75717
1996,Schleswig-Holstein,Yes,0.08744,33,284,0.05453,0.12035
1996,Schleswig-Holstein,No,0.70741,251,284,0.65440,0.76042
1996,Hamburg,No,0.80214,112,112,0.72803,0.87625
1996,Lower Saxony,Yes,0.07316,120,1042,0.05734,0.08898
1996,Lower Saxony,No,0.74174,922,1042,0.71515,0.76832
1996,Bremen,No,0.82885,83,83,0.74733,0.91037
1996,North Rhine-Westphalia,Yes,0.09191,316,2554,0.08070,0.10311
1996,North Rhine-Westphalia,No,0.73104,2238,2554,0.71384,0.74824
1996,Hesse,Yes,0.06403,80,906,0.04808,0.07998
1996,Hesse,No,0.77176,826,906,0.74441,0.79910
1996,"Rhineland-Palatinate, Saarland",Yes,0.05916,63,691,0.04156,0.07676
1996,"Rhineland-Palatinate, Saarland",No,0.74521,628,691,0.71269,0.77772
1996,Baden-Wuerttemberg,Yes,0.07145,166,1704,0.05921,0.08368
1996,Baden-Wuerttemberg,No,0.73457,1538,1704,0.71360,0.75554
1996,Bavaria,Yes,0.07418,168,1659,0.06156,0.08679
1996,Bavaria,No,0.75069,1491,1659,0.72986,0.77151
1996,Berlin,Yes,0.09502,73,542,0.07031,0.11973
1996,Berlin,No,0.73491,469,542,0.69772,0.77210
1996,Brandenburg,Yes,0.10831,89,598,0.08338,0.13324
1996,Brandenburg,No,0.72300,509,598,0.68710,0.75890
1996,Mecklenburg-Western Pomerania,Yes,0.09422,57,400,0.06556,0.12289
1996,Mecklenburg-Western Pomerania,No,0.73276,343,400,0.68934,0.77618
1996,Saxony,Yes,0.08468,142,1109,0.06829,0.10108
1996,Saxony,No,0.74394,967,1109,0.71824,0.76964
1996,Saxony-Anhalt,Yes,0.08420,89,674,0.06322,0.10518
1996,Saxony-Anhalt,No,0.76443,585,674,0.73237,0.79649
1996,Thuringa,Yes,0.07796,84,660,0.05749,0.09843
1996,Thuringa,No,0.73594,576,660,0.70228,0.76959
1997,Schleswig-Holstein,Yes,0.09435,33,269,0.05935,0.12934
1997,Schleswig-Holstein,No,0.69944,236,269,0.64454,0.75433
1997,Hamburg,No,0.80764,108,108,0.73296,0.88233
1997,Lower Saxony,Yes,0.08162,121,1037,0.06495,0.09830
1997,Lower Saxony,No,0.73459,916,1037,0.70770,0.76147
1997,Bremen,No,0.85980,84,84,0.78511,0.93450
1997,North Rhine-Westphalia,Yes,0.09385,320,2507,0.08243,0.10527
1997,North Rhine-Westphalia,No,0.73080,2187,2507,0.71343,0.74816
1997,Hesse,Yes,0.07747,90,847,0.05946,0.09549
1997,Hesse,No,0.76232,757,847,0.73363,0.79100
1997,"Rhineland-Palatinate, Saarland",Yes,0.06636,66,711,0.04805,0.08467
1997,"Rhineland-Palatinate, Saarland",No,0.75045,645,711,0.71861,0.78228
1997,Baden-Wuerttemberg,Yes,0.07914,176,1706,0.06632,0.09195
1997,Baden-Wuerttemberg,No,0.72386,1530,1706,0.70264,0.74508
1997,Bavaria,Yes,0.07056,155,1623,0.05810,0.08302
1997,Bavaria,No,0.75032,1468,1623,0.72926,0.77139
1997,Berlin,Yes,0.07138,60,510,0.04901,0.09374
1997,Berlin,No,0.75415,450,510,0.71674,0.79156
1997,Brandenburg,Yes,0.11321,90,594,0.08771,0.13871
1997,Brandenburg,No,0.73086,504,594,0.69516,0.76656
1997,Mecklenburg-Western Pomerania,Yes,0.08981,53,390,0.06140,0.11822
1997,Mecklenburg-Western Pomerania,No,0.75436,337,390,0.71158,0.79714
1997,Saxony,Yes,0.07474,134,1087,0.05910,0.09038
1997,Saxony,No,0.76039,953,1087,0.73500,0.78578
1997,Saxony-Anhalt,Yes,0.09682,96,666,0.07434,0.11929
1997,Saxony-Anhalt,No,0.76808,570,666,0.73600,0.80016
1997,Thuringa,Yes,0.07974,87,661,0.05907,0.10041
1997,Thuringa,No,0.72237,574,661,0.68821,0.75654
1998,Schleswig-Holstein,Yes,0.09282,38,348,0.06229,0.12335
1998,Schleswig-Holstein,No,0.71688,310,348,0.66948,0.76428
1998,Hamburg,No,0.77754,133,133,0.70659,0.84849
1998,Lower Saxony,Yes,0.07860,143,1196,0.06334,0.09386
1998,Lower Saxony,No,0.73198,1053,1196,0.70687,0.75710
1998,Bremen,No,0.84652,90,90,0.77164,0.92141
1998,North Rhine-Westphalia,Yes,0.07475,294,2840,0.06507,0.08442
1998,North Rhine-Westphalia,No,0.74797,2546,2840,0.73200,0.76395
1998,Hesse,Yes,0.07812,97,947,0.06102,0.09522
1998,Hesse,No,0.75219,850,947,0.72467,0.77970
1998,"Rhineland-Palatinate, Saarland",Yes,0.07821,85,805,0.05965,0.09677
1998,"Rhineland-Palatinate, Saarland",No,0.74541,720,805,0.71530,0.77552
1998,Baden-Wuerttemberg,Yes,0.08099,190,1816,0.06844,0.09354
1998,Baden-Wuerttemberg,No,0.73382,1626,1816,0.71349,0.75415
1998,Bavaria,Yes,0.08147,188,1871,0.06907,0.09386
1998,Bavaria,No,0.74555,1683,1871,0.72581,0.76529
1998,Berlin,Yes,0.10441,72,530,0.07835,0.13047
1998,Berlin,No,0.72839,458,530,0.69048,0.76629
1998,Brandenburg,Yes,0.09417,83,620,0.07117,0.11718
1998,Brandenburg,No,0.75206,537,620,0.71804,0.78608
1998,Mecklenburg-Western Pomerania,Yes,0.07631,51,409,0.05055,0.10207
1998,Mecklenburg-Western Pomerania,No,0.75072,358,409,0.70875,0.79270
1998,Saxony,Yes,0.07080,137,1180,0.05616,0.08544
1998,Saxony,No,0.76350,1043,1180,0.73925,0.78776
1998,Saxony-Anhalt,Yes,0.07871,80,691,0.05862,0.09880
1998,Saxony-Anhalt,No,0.79009,611,691,0.75971,0.82048
1998,Thuringa,Yes,0.06655,83,731,0.04847,0.08463
1998,Thuringa,No,0.74610,648,731,0.71453,0.77768
1999,Schleswig-Holstein,No,0.72700,293,293,0.67591,0.77810
1999,Hamburg,No,0.75805,121,121,0.68143,0.83468
1999,Lower Saxony,Yes,0.08824,148,1166,0.07196,0.10453
1999,Lower Saxony,No,0.72981,1018,1166,0.70431,0.75531
1999,Bremen,No,0.85449,81,81,0.77722,0.93176
1999,North Rhine-Westphalia,Yes,0.07191,283,2697,0.06216,0.08167
1999,North Rhine-Westphalia,No,0.75198,2414,2697,0.73568,0.76829
1999,Hesse,Yes,0.07294,97,895,0.05590,0.08999
1999,Hesse,No,0.75997,798,895,0.73197,0.78797
1999,"Rhineland-Palatinate, Saarland",Yes,0.08599,84,771,0.06618,0.10579
1999,"Rhineland-Palatinate, Saarland",No,0.74079,687,771,0.70984,0.77175
1999,Baden-Wuerttemberg,Yes,0.08397,185,1728,0.07089,0.09705
1999,Baden-Wuerttemberg,No,0.72753,1543,1728,0.70653,0.74853
1999,Bavaria,Yes,0.07956,170,1793,0.06703,0.09208
1999,Bavaria,No,0.75093,1623,1793,0.73091,0.77096
1999,Berlin,Yes,0.13308,96,515,0.10372,0.16245
1999,Berlin,No,0.69120,419,515,0.65126,0.73114
1999,Brandenburg,Yes,0.08338,74,596,0.06117,0.10560
1999,Brandenburg,No,0.75719,522,596,0.72273,0.79164
1999,Mecklenburg-Western Pomerania,Yes,0.08874,57,400,0.06084,0.11664
1999,Mecklenburg-Western Pomerania,No,0.74832,343,400,0.70574,0.79091
1999,Saxony,Yes,0.07787,139,1151,0.06238,0.09336
1999,Saxony,No,0.76835,1012,1151,0.74397,0.79273
1999,Saxony-Anhalt,Yes,0.10349,97,692,0.08078,0.12620
1999,Saxony-Anhalt,No,0.77791,595,692,0.74692,0.80890
1999,Thuringa,Yes,0.06793,76,719,0.04952,0.08633
1999,Thuringa,No,0.75132,643,719,0.71971,0.78294
2000,Schleswig-Holstein,Yes,0.06214,60,708,0.04434,0.07993
2000,Schleswig-Holstein,No,0.76626,648,708,0.73506,0.79745
2000,Hamburg,Yes,0.09589,32,299,0.06246,0.12932
2000,Hamburg,No,0.76790,267,299,0.71997,0.81584
2000,Lower Saxony,Yes,0.07817,213,2026,0.06648,0.08986
2000,Lower Saxony,No,0.73216,1813,2026,0.71288,0.75145
2000,Bremen,No,0.80302,170,170,0.74306,0.86298
2000,North Rhine-Westphalia,Yes,0.07190,505,5141,0.06483,0.07896
2000,North Rhine-Westphalia,No,0.75928,4636,5141,0.74759,0.77096
2000,Hesse,Yes,0.07315,178,1671,0.06066,0.08564
2000,Hesse,No,0.74830,1493,1671,0.72748,0.76911
2000,"Rhineland-Palatinate, Saarland",Yes,0.06043,121,1462,0.04821,0.07265
