year,migback,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Direct migration background,Yes,0.06990,509,5997,0.06345,0.07635
2015,Direct migration background,No,0.89196,5488,5997,0.88411,0.89982
2015,Indirect migration background,Yes,0.15174,484,1619,0.13426,0.16922
2015,Indirect migration background,No,0.34123,1135,1619,0.31813,0.36433
2016,No migration background,Yes,0.07639,1556,17809,0.07249,0.08030
2016,No migration background,No,0.78287,16253,17809,0.77682,0.78893
2016,Direct migration background,Yes,0.06087,574,7953,0.05561,0.06612
2016,Direct migration background,No,0.89229,7379,7953,0.88547,0.89910
2016,Indirect migration background,Yes,0.16322,453,1494,0.14448,0.18197
2016,Indirect migration background,No,0.34746,1041,1494,0.32331,0.37161
2017,No migration background,Yes,0.07715,1925,20157,0.07347,0.08083
2017,No migration background,No,0.78296,18232,20157,0.77727,0.78865
2017,Direct migration background,Yes,0.06659,699,8721,0.06136,0.07183
2017,Direct migration background,No,0.87847,8022,8721,0.87161,0.88532
2017,Indirect migration background,Yes,0.15847,488,1637,0.14077,0.17616
2017,Indirect migration background,No,0.34890,1149,1637,0.32580,0.37200
2018,No migration background,Yes,0.07285,1784,19457,0.06920,0.07651
2018,No migration background,No,0.79121,17673,19457,0.78550,0.79692
2018,Direct migration background,Yes,0.06353,759,8118,0.05823,0.06884
2018,Direct migration background,No,0.88263,7359,8118,0.87563,0.88963
2018,Indirect migration background,Yes,0.13986,463,1631,0.12302,0.15670
2018,Indirect migration background,No,0.37839,1168,1631,0.35484,0.40193
2019,No migration background,Yes,0.07142,1755,20180,0.06786,0.07497
2019,No migration background,No,0.78724,18425,20180,0.78159,0.79289
2019,Direct migration background,Yes,0.06123,624,7315,0.05573,0.06672
2019,Direct migration background,No,0.88767,6691,7315,0.88043,0.89491
2019,Indirect migration background,Yes,0.13488,420,1578,0.11802,0.15173
2019,Indirect migration background,No,0.37577,1158,1578,0.35186,0.39967
2020,No migration background,Yes,0.07423,1660,18578,0.07046,0.07800
2020,No migration background,No,0.78159,16918,18578,0.77565,0.78753
2020,Direct migration background,Yes,0.05473,893,9288,0.05011,0.05936
2020,Direct migration background,No,0.89356,8395,9288,0.88729,0.89983
2020,Indirect migration background,Yes,0.13169,416,1536,0.11477,0.14860
2020,Indirect migration background,No,0.36953,1120,1536,0.34538,0.39367
2021,No migration background,Yes,0.07692,1194,13193,0.07237,0.08147
2021,No migration background,No,0.77717,11999,13193,0.77007,0.78428
2021,Direct migration background,Yes,0.05940,605,5378,0.05308,0.06571
2021,Direct migration background,No,0.87735,4773,5378,0.86858,0.88611
2021,Indirect migration background,Yes,0.10137,255,938,0.08204,0.12069
2021,Indirect migration background,No,0.37426,683,938,0.34327,0.40525
