year,sex,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,male,No,0.74762,11610,12867,0.74011,0.75513
2016,female,Yes,0.07779,1326,14389,0.07342,0.08217
2016,female,No,0.77126,13063,14389,0.76440,0.77812
2017,male,Yes,0.08923,1575,14520,0.08459,0.09387
2017,male,No,0.74290,12945,14520,0.73579,0.75001
2017,female,Yes,0.07711,1537,15995,0.07297,0.08124
2017,female,No,0.76995,14458,15995,0.76342,0.77647
2018,male,Yes,0.08251,1536,13875,0.07794,0.08709
2018,male,No,0.75382,12339,13875,0.74665,0.76099
2018,female,Yes,0.07319,1470,15331,0.06907,0.07732
2018,female,No,0.77725,13861,15331,0.77066,0.78384
2019,male,Yes,0.07997,1418,14240,0.07552,0.08443
2019,male,No,0.75095,12822,14240,0.74385,0.75805
2019,female,Yes,0.07213,1377,14826,0.06797,0.07630
2019,female,No,0.77297,13449,14826,0.76623,0.77971
2020,male,Yes,0.08199,1501,14608,0.07754,0.08644
2020,male,No,0.74744,13107,14608,0.74039,0.75449
2020,female,Yes,0.07198,1465,14786,0.06782,0.07615
2020,female,No,0.77004,13321,14786,0.76326,0.77682
2021,male,Yes,0.07793,1040,9455,0.07252,0.08333
2021,male,No,0.74645,8415,9455,0.73768,0.75522
2021,female,Yes,0.07569,1011,10047,0.07051,0.08086
2021,female,No,0.75934,9036,10047,0.75099,0.76770
