,Unnamed: 0,year,bula_h,quintil_oecd_hh,pet_othrodent,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
91,91,2021,Hesse,1st Quintile,No,1.0,110,10714,0.77385,1.2376
92,92,2021,Hesse,2nd Quintile,No,1.0,110,10714,0.79651,1.21413
93,93,2021,Hesse,3rd Quintile,No,1.0,119,10714,0.78377,1.21205
94,94,2021,Hesse,4th Quintile,No,1.0,134,10714,0.81236,1.15579
95,95,2021,Hesse,5th Quintile,No,1.0,208,10714,0.81744,1.15647
96,96,2021,"Rhineland-Palatinate, Saarland",1st Quintile,No,1.0,103,10714,0.79095,1.27506
97,97,2021,"Rhineland-Palatinate, Saarland",2nd Quintile,No,1.0,114,10714,0.8095,1.18619
98,98,2021,"Rhineland-Palatinate, Saarland",3rd Quintile,No,1.0,96,10714,0.79879,1.2694
99,99,2021,"Rhineland-Palatinate, Saarland",4th Quintile,No,1.0,88,10714,0.82777,1.20712
100,100,2021,"Rhineland-Palatinate, Saarland",5th Quintile,No,1.0,119,10714,0.7911,1.23671
101,101,2021,Baden-Wuerttemberg,1st Quintile,No,1.0,164,10714,0.80561,1.19055
102,102,2021,Baden-Wuerttemberg,2nd Quintile,No,1.0,191,10714,0.85759,1.1604
103,103,2021,Baden-Wuerttemberg,3rd Quintile,No,1.0,208,10714,0.85564,1.15753
104,104,2021,Baden-Wuerttemberg,4th Quintile,No,1.0,255,10714,0.85035,1.12664
105,105,2021,Baden-Wuerttemberg,5th Quintile,No,1.0,368,10714,0.87945,1.11513
106,106,2021,Bavaria,1st Quintile,No,1.0,234,10714,0.85467,1.14801
107,107,2021,Bavaria,2nd Quintile,No,1.0,326,10714,0.88709,1.11391
108,108,2021,Bavaria,3rd Quintile,No,1.0,330,10714,0.88124,1.11616
109,109,2021,Bavaria,4th Quintile,No,1.0,365,10714,0.88836,1.1285
110,110,2021,Bavaria,5th Quintile,No,1.0,452,10714,0.86486,1.14384
111,111,2021,Berlin,1st Quintile,No,1.0,117,10714,0.772,1.22974
112,112,2021,Berlin,2nd Quintile,No,1.0,93,10714,0.7771,1.23255
113,113,2021,Berlin,3rd Quintile,No,1.0,98,10714,0.79536,1.24872
114,114,2021,Berlin,4th Quintile,No,1.0,103,10714,0.80995,1.21049
115,115,2021,Berlin,5th Quintile,No,1.0,138,10714,0.76062,1.27373
116,116,2021,Brandenburg,1st Quintile,No,1.0,90,10714,0.7832,1.23786
117,117,2021,Brandenburg,2nd Quintile,No,1.0,97,10714,0.75247,1.2946
118,118,2021,Brandenburg,3rd Quintile,No,1.0,89,10714,0.78034,1.31592
119,119,2021,Brandenburg,4th Quintile,No,1.0,66,10714,0.77207,1.25068
120,120,2021,Brandenburg,5th Quintile,No,1.0,95,10714,0.7625,1.37835
121,121,2021,Mecklenburg-Western Pomerania,1st Quintile,No,1.0,67,10714,0.76714,1.27168
122,122,2021,Mecklenburg-Western Pomerania,2nd Quintile,No,1.0,65,10714,0.71727,1.35781
123,123,2021,Mecklenburg-Western Pomerania,3rd Quintile,No,1.0,44,10714,0.78341,1.27119
124,124,2021,Mecklenburg-Western Pomerania,4th Quintile,No,1.0,40,10714,0.72212,1.31871
125,125,2021,Mecklenburg-Western Pomerania,5th Quintile,No,1.0,42,10714,0.70114,1.33897
126,126,2021,Saxony,1st Quintile,No,1.0,145,10714,0.83898,1.17367
127,127,2021,Saxony,2nd Quintile,No,1.0,189,10714,0.8326,1.18633
128,128,2021,Saxony,3rd Quintile,No,1.0,151,10714,0.8382,1.17663
129,129,2021,Saxony,4th Quintile,No,1.0,107,10714,0.80735,1.25351
130,130,2021,Saxony,5th Quintile,No,1.0,108,10714,0.74642,1.31722
131,131,2021,Saxony-Anhalt,1st Quintile,No,1.0,96,10714,0.76588,1.2703
132,132,2021,Saxony-Anhalt,2nd Quintile,No,1.0,91,10714,0.74382,1.27671
133,133,2021,Saxony-Anhalt,3rd Quintile,No,1.0,62,10714,0.81729,1.25191
134,134,2021,Saxony-Anhalt,4th Quintile,No,1.0,53,10714,0.63788,1.39636
135,135,2021,Saxony-Anhalt,5th Quintile,No,1.0,55,10714,0.59945,1.50906
136,136,2021,Thuringa,1st Quintile,No,1.0,96,10714,0.79484,1.20232
137,137,2021,Thuringa,2nd Quintile,No,1.0,97,10714,0.78205,1.27227
138,138,2021,Thuringa,3rd Quintile,No,1.0,60,10714,0.64694,1.34837
139,139,2021,Thuringa,4th Quintile,No,1.0,64,10714,0.68197,1.36953
140,140,2021,Thuringa,5th Quintile,No,1.0,58,10714,0.64983,1.49227
