"year","age_gr","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2014","30-45","weiblich","","","","","","","","","","","","","",""
"2014","46-65","männlich","","","","","","","","","","","","","",""
"2014","46-65","weiblich","","","","","","","","","","","","","",""
"2014","66","männlich","","","","","","","","","","","","","",""
"2014","66","weiblich","","","","","","","","","","","","","",""
"2015","17-29","männlich","6.99","6.5","1880","6","6","8","8","10","6.94","7.04","0","12","7","7"
"2015","17-29","weiblich","7.14","6.5","2029","6","7","8","8","10","7.09","7.19","2","12","7","7"
"2015","30-45","männlich","6.83","6.5","3043","6","6","7","8","10","6.79","6.87","1","16","7","7"
"2015","30-45","weiblich","6.85","6.5","4295","5","6","8","8","10","6.82","6.88","0","12","7","7"
"2015","46-65","männlich","6.72","6.5","4129","5","6","7","8","10","6.69","6.75","2","15","7","7"
"2015","46-65","weiblich","6.77","6.5","4733","5","6","8","8","10","6.74","6.8","0","16","7","7"
"2015","66","männlich","7.25","6.5","2371","6","6","8","9","10","7.2","7.3","2","12","7","7"
"2015","66","weiblich","6.92","6.5","2476","5","6","8","8","10","6.86","6.98","2","17","7","7"
"2016","17-29","männlich","","","","","","","","","","","","","",""
"2016","17-29","weiblich","","","","","","","","","","","","","",""
"2016","30-45","männlich","","","","","","","","","","","","","",""
"2016","30-45","weiblich","","","","","","","","","","","","","",""
"2016","46-65","männlich","","","","","","","","","","","","","",""
"2016","46-65","weiblich","","","","","","","","","","","","","",""
"2016","66","männlich","","","","","","","","","","","","","",""
"2016","66","weiblich","","","","","","","","","","","","","",""
"2017","17-29","männlich","7.03","6.5","2127","6","6","8","8","10","6.98","7.08","2","14","7","7"
"2017","17-29","weiblich","7.09","6.5","2213","6","6","8","8","10","7.04","7.14","2","13","7","7"
"2017","30-45","männlich","6.69","6.5","3046","5","6","7","8","9","6.65","6.73","1","12","7","7"
"2017","30-45","weiblich","6.78","6.5","4197","5","6","8","8","9","6.75","6.81","2","12","7","7"
"2017","46-65","männlich","6.69","6.5","4615","5","6","7","8","10","6.66","6.72","2","14","7","7"
"2017","46-65","weiblich","6.71","6.5","5344","5","6","8","8","10","6.68","6.74","1","12","7","7"
"2017","66","männlich","7.2","6.5","2445","5","6","8","9","10","7.15","7.25","1","16","7","7"
"2017","66","weiblich","6.87","6.5","2497","5","6","8","8","10","6.81","6.93","2","12","7","7"
"2018","17-29","männlich","","","","","","","","","","","","","",""
"2018","17-29","weiblich","","","","","","","","","","","","","",""
"2018","30-45","männlich","","","","","","","","","","","","","",""
"2018","30-45","weiblich","","","","","","","","","","","","","",""
"2018","46-65","männlich","","","","","","","","","","","","","",""
"2018","46-65","weiblich","","","","","","","","","","","","","",""
"2018","66","männlich","","","","","","","","","","","","","",""
"2018","66","weiblich","","","","","","","","","","","","","",""
"2019","17-29","männlich","7.06","6.5","1870","6","6","8","8","10","7.01","7.11","1","16","7","7"
"2019","17-29","weiblich","7.03","6.5","1982","6","6","8","8","10","6.98","7.08","2","12","7","7"
"2019","30-45","männlich","6.67","6.5","2705","5","6","7","8","9","6.63","6.71","2","12","7","7"
"2019","30-45","weiblich","6.69","6.5","3580","5","6","7","8","9","6.65","6.73","1","12","7","7"
"2019","46-65","männlich","6.62","6.5","5087","5","6","7","8","10","6.59","6.65","1","13","7","7"
"2019","46-65","weiblich","6.63","6.5","5324","5","6","7","8","10","6.6","6.66","1","14","7","7"
"2019","66","männlich","7.19","6.5","2638","6","6","8","9","10","7.14","7.24","2","16","7","7"
"2019","66","weiblich","6.82","6.5","2580","5","6","8","8","10","6.77","6.87","2","13","7","7"
"2020","17-29","männlich","7.14","6.5","2553","6","6","8","8","12","7.1","7.18","2","12","7","7"
"2020","17-29","weiblich","7.16","6.5","2511","6","7","8","8","10","7.11","7.21","2","14","7","7"
"2020","30-45","männlich","6.76","6.5","3877","6","6","7","8","9","6.73","6.79","0","10","7","7"
"2020","30-45","weiblich","6.86","6.5","4147","6","6","8","8","10","6.83","6.89","1","12","7","7"
"2020","46-65","männlich","6.75","6.5","5070","5","6","7","8","10","6.72","6.78","0","15","7","7"
"2020","46-65","weiblich","6.72","6.5","5300","5","6","8","8","9","6.69","6.75","1","16","7","7"
"2020","66","männlich","7.21","6.5","2458","6","6","8","9","10","7.16","7.26","1","12","7","7"
"2020","66","weiblich","6.94","6.5","2491","5","6","8","8","10","6.89","6.99","2","12","7","7"
