year,bula_h,quintil_oecd_hh,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Saxony,2nd Quintile,Yes,0.82824,236,278,0.78383,0.87266
2015,Saxony,2nd Quintile,No,0.17176,42,278,0.12734,0.21617
2015,Saxony,3rd Quintile,Yes,0.85763,165,165,0.80415,0.91111
2015,Saxony,4th Quintile,Yes,0.91128,134,134,0.86295,0.95960
2015,Saxony,5th Quintile,Yes,0.94460,78,78,0.89350,0.99569
2015,Saxony-Anhalt,1st Quintile,Yes,0.88466,138,138,0.83117,0.93815
2015,Saxony-Anhalt,2nd Quintile,Yes,0.87800,129,129,0.82130,0.93470
2015,Saxony-Anhalt,3rd Quintile,Yes,0.90320,95,95,0.84343,0.96298
2015,Saxony-Anhalt,4th Quintile,Yes,0.95545,73,73,0.90780,1.00311
2015,Thuringa,1st Quintile,Yes,0.90181,147,147,0.85355,0.95008
2015,Thuringa,2nd Quintile,Yes,0.96101,160,160,0.93092,0.99110
2015,Thuringa,3rd Quintile,Yes,0.93219,105,105,0.88387,0.98051
2015,Thuringa,4th Quintile,Yes,0.82702,71,71,0.73842,0.91563
2015,Thuringa,5th Quintile,Yes,0.95806,60,60,0.90691,1.00921
2016,Schleswig-Holstein,1st Quintile,Yes,0.88071,115,115,0.82121,0.94021
2016,Schleswig-Holstein,2nd Quintile,Yes,0.94531,104,104,0.90139,0.98922
2016,Schleswig-Holstein,3rd Quintile,Yes,0.99435,95,95,0.97919,1.00950
2016,Schleswig-Holstein,4th Quintile,Yes,0.99899,88,88,0.99229,1.00568
2016,Schleswig-Holstein,5th Quintile,Yes,0.99214,81,81,0.97278,1.01149
2016,Hamburg,1st Quintile,Yes,0.98884,47,47,0.95848,1.01920
2016,Hamburg,2nd Quintile,Yes,0.89812,48,48,0.81164,0.98460
2016,Hamburg,4th Quintile,Yes,0.92444,53,53,0.85261,0.99628
2016,Hamburg,5th Quintile,Yes,0.92773,64,64,0.86380,0.99167
2016,Lower Saxony,1st Quintile,Yes,0.91250,282,282,0.87946,0.94554
2016,Lower Saxony,2nd Quintile,Yes,0.95950,237,237,0.93434,0.98465
2016,Lower Saxony,3rd Quintile,Yes,0.97621,236,236,0.95672,0.99569
2016,Lower Saxony,4th Quintile,Yes,0.95634,268,268,0.93183,0.98085
2016,Lower Saxony,5th Quintile,Yes,0.97793,263,263,0.96014,0.99572
2016,Bremen,1st Quintile,Yes,0.92640,33,33,0.83592,1.01687
2016,North Rhine-Westphalia,1st Quintile,Yes,0.88526,620,682,0.86132,0.90920
2016,North Rhine-Westphalia,1st Quintile,No,0.11474,62,682,0.09080,0.13868
2016,North Rhine-Westphalia,2nd Quintile,Yes,0.92697,538,573,0.90565,0.94829
2016,North Rhine-Westphalia,2nd Quintile,No,0.07303,35,573,0.05171,0.09435
2016,North Rhine-Westphalia,3rd Quintile,Yes,0.96728,494,494,0.95158,0.98298
2016,North Rhine-Westphalia,4th Quintile,Yes,0.96759,514,514,0.95226,0.98291
2016,North Rhine-Westphalia,5th Quintile,Yes,0.96418,557,557,0.94874,0.97963
2016,Hesse,1st Quintile,Yes,0.85821,168,168,0.80531,0.91112
2016,Hesse,2nd Quintile,Yes,0.88963,171,171,0.84252,0.93673
2016,Hesse,3rd Quintile,Yes,0.93528,155,155,0.89642,0.97414
2016,Hesse,4th Quintile,Yes,0.93647,165,165,0.89914,0.97380
2016,Hesse,5th Quintile,Yes,0.98769,248,248,0.97395,1.00144
2016,"Rhineland-Palatinate, Saarland",1st Quintile,Yes,0.87581,164,164,0.82518,0.92644
2016,"Rhineland-Palatinate, Saarland",2nd Quintile,Yes,0.89755,171,171,0.85197,0.94314
2016,"Rhineland-Palatinate, Saarland",3rd Quintile,Yes,0.91644,148,148,0.87170,0.96117
2016,"Rhineland-Palatinate, Saarland",4th Quintile,Yes,0.97938,147,147,0.95633,1.00243
2016,"Rhineland-Palatinate, Saarland",5th Quintile,Yes,0.97131,151,151,0.94459,0.99802
2016,Baden-Wuerttemberg,1st Quintile,Yes,0.84669,189,224,0.79940,0.89398
2016,Baden-Wuerttemberg,1st Quintile,No,0.15331,35,224,0.10602,0.20060
2016,Baden-Wuerttemberg,2nd Quintile,Yes,0.90295,270,270,0.86758,0.93833
2016,Baden-Wuerttemberg,3rd Quintile,Yes,0.91070,307,307,0.87875,0.94265
2016,Baden-Wuerttemberg,4th Quintile,Yes,0.93616,333,333,0.90987,0.96246
2016,Baden-Wuerttemberg,5th Quintile,Yes,0.94997,396,396,0.92847,0.97147
2016,Bavaria,1st Quintile,Yes,0.84327,315,368,0.80607,0.88046
2016,Bavaria,1st Quintile,No,0.15673,53,368,0.11954,0.19393
2016,Bavaria,2nd Quintile,Yes,0.86999,449,495,0.84033,0.89964
2016,Bavaria,2nd Quintile,No,0.13001,46,495,0.10036,0.15967
2016,Bavaria,3rd Quintile,Yes,0.92913,406,446,0.90528,0.95297
2016,Bavaria,3rd Quintile,No,0.07087,40,446,0.04703,0.09472
2016,Bavaria,4th Quintile,Yes,0.93680,438,438,0.91399,0.95962
2016,Bavaria,5th Quintile,Yes,0.94038,489,521,0.92003,0.96074
2016,Bavaria,5th Quintile,No,0.05962,32,521,0.03926,0.07997
2016,Berlin,1st Quintile,Yes,0.75658,112,151,0.68790,0.82526
2016,Berlin,1st Quintile,No,0.24342,39,151,0.17474,0.31210
2016,Berlin,2nd Quintile,Yes,0.89386,95,95,0.83159,0.95613
2016,Berlin,3rd Quintile,Yes,0.91070,102,102,0.85508,0.96631
2016,Berlin,4th Quintile,Yes,0.83544,105,105,0.76418,0.90670
2016,Berlin,5th Quintile,Yes,0.91566,93,93,0.85887,0.97244
2016,Brandenburg,1st Quintile,Yes,0.81683,118,118,0.74674,0.88692
2016,Brandenburg,2nd Quintile,Yes,0.94544,135,135,0.90699,0.98390
2016,Brandenburg,3rd Quintile,Yes,0.93464,125,125,0.89114,0.97815
2016,Brandenburg,4th Quintile,Yes,0.97374,74,74,0.93706,1.01042
2016,Brandenburg,5th Quintile,Yes,0.98128,70,70,0.94930,1.01326
2016,Mecklenburg-Western Pomerania,1st Quintile,Yes,0.93871,94,94,0.88996,0.98746
2016,Mecklenburg-Western Pomerania,2nd Quintile,Yes,0.95259,77,77,0.90481,1.00037
2016,Mecklenburg-Western Pomerania,3rd Quintile,Yes,0.91416,63,63,0.84443,0.98389
2016,Mecklenburg-Western Pomerania,4th Quintile,Yes,0.95460,39,39,0.88841,1.02079
2016,Saxony,1st Quintile,Yes,0.88079,188,188,0.83435,0.92723
2016,Saxony,2nd Quintile,Yes,0.89367,207,207,0.85157,0.93577
2016,Saxony,3rd Quintile,Yes,0.93408,194,194,0.89907,0.96909
2016,Saxony,4th Quintile,Yes,0.93490,116,116,0.88981,0.97999
2016,Saxony,5th Quintile,Yes,0.96743,80,80,0.92828,1.00657
2016,Saxony-Anhalt,1st Quintile,Yes,0.92536,147,147,0.88273,0.96799
2016,Saxony-Anhalt,2nd Quintile,Yes,0.89477,125,125,0.84077,0.94878
2016,Saxony-Anhalt,3rd Quintile,Yes,0.96193,93,93,0.92282,1.00103
2016,Saxony-Anhalt,4th Quintile,Yes,0.97339,70,70,0.93541,1.01136
2016,Saxony-Anhalt,5th Quintile,Yes,0.96863,45,45,0.91711,1.02014
2016,Thuringa,1st Quintile,Yes,0.87635,126,126,0.81864,0.93406
2016,Thuringa,2nd Quintile,Yes,0.95134,135,135,0.91491,0.98777
2016,Thuringa,3rd Quintile,Yes,0.92812,107,107,0.87894,0.97729
2016,Thuringa,4th Quintile,Yes,0.98506,89,89,0.95971,1.01041
2016,Thuringa,5th Quintile,Yes,0.99213,54,54,0.96834,1.01592
2017,Schleswig-Holstein,1st Quintile,Yes,0.86781,112,112,0.80480,0.93082
2017,Schleswig-Holstein,2nd Quintile,Yes,0.96767,114,114,0.93506,1.00028
2017,Schleswig-Holstein,4th Quintile,Yes,0.98047,107,107,0.95412,1.00681
2017,Schleswig-Holstein,5th Quintile,Yes,0.99624,94,94,0.98381,1.00868
2017,Hamburg,1st Quintile,Yes,0.90067,50,50,0.81692,0.98442
2017,Hamburg,2nd Quintile,Yes,0.92186,48,48,0.84513,0.99859
2017,Hamburg,3rd Quintile,Yes,0.97691,47,47,0.93350,1.02031
2017,Hamburg,4th Quintile,Yes,0.95457,60,60,0.90143,1.00771
2017,Hamburg,5th Quintile,Yes,0.82035,70,70,0.72977,0.91093
2017,Lower Saxony,1st Quintile,Yes,0.93005,311,311,0.90166,0.95845
2017,Lower Saxony,2nd Quintile,Yes,0.91688,282,282,0.88460,0.94916
2017,Lower Saxony,3rd Quintile,Yes,0.96487,296,296,0.94386,0.98588
2017,Lower Saxony,4th Quintile,Yes,0.98108,304,304,0.96574,0.99642
2017,Lower Saxony,5th Quintile,Yes,0.96899,294,294,0.94914,0.98884
2017,Bremen,1st Quintile,Yes,0.97997,32,32,0.93066,1.02929
2017,North Rhine-Westphalia,1st Quintile,Yes,0.90184,640,693,0.87967,0.92401
2017,North Rhine-Westphalia,1st Quintile,No,0.09816,53,693,0.07599,0.12033
2017,North Rhine-Westphalia,2nd Quintile,Yes,0.96130,569,569,0.94544,0.97716
2017,North Rhine-Westphalia,3rd Quintile,Yes,0.95846,581,581,0.94222,0.97470
2017,North Rhine-Westphalia,4th Quintile,Yes,0.96139,603,603,0.94600,0.97678
2017,North Rhine-Westphalia,5th Quintile,Yes,0.98235,656,656,0.97226,0.99243
2017,Hesse,1st Quintile,Yes,0.85160,180,180,0.79952,0.90368
2017,Hesse,2nd Quintile,Yes,0.93304,160,160,0.89418,0.97189
2017,Hesse,3rd Quintile,Yes,0.91679,186,186,0.87699,0.95659
2017,Hesse,4th Quintile,Yes,0.95080,207,207,0.92127,0.98034
2017,Hesse,5th Quintile,Yes,0.98790,256,256,0.97448,1.00132
2017,"Rhineland-Palatinate, Saarland",1st Quintile,Yes,0.88490,159,159,0.83513,0.93466
2017,"Rhineland-Palatinate, Saarland",2nd Quintile,Yes,0.94934,194,194,0.91840,0.98028
2017,"Rhineland-Palatinate, Saarland",3rd Quintile,Yes,0.95631,165,165,0.92503,0.98760
2017,"Rhineland-Palatinate, Saarland",4th Quintile,Yes,0.96650,166,166,0.93905,0.99396
2017,"Rhineland-Palatinate, Saarland",5th Quintile,Yes,0.98262,160,160,0.96230,1.00293
2017,Baden-Wuerttemberg,1st Quintile,Yes,0.88478,187,187,0.83890,0.93067
2017,Baden-Wuerttemberg,2nd Quintile,Yes,0.83539,254,291,0.79271,0.87807
2017,Baden-Wuerttemberg,2nd Quintile,No,0.16461,37,291,0.12193,0.20729
2017,Baden-Wuerttemberg,3rd Quintile,Yes,0.86222,304,337,0.82537,0.89907
2017,Baden-Wuerttemberg,3rd Quintile,No,0.13778,33,337,0.10093,0.17463
2017,Baden-Wuerttemberg,4th Quintile,Yes,0.91711,387,387,0.88961,0.94462
2017,Baden-Wuerttemberg,5th Quintile,Yes,0.95769,445,445,0.93896,0.97641
2017,Bavaria,1st Quintile,Yes,0.82020,315,379,0.78149,0.85891
2017,Bavaria,1st Quintile,No,0.17980,64,379,0.14109,0.21851
2017,Bavaria,2nd Quintile,Yes,0.93860,470,504,0.91762,0.95958
2017,Bavaria,2nd Quintile,No,0.06140,34,504,0.04042,0.08238
2017,Bavaria,3rd Quintile,Yes,0.93384,471,510,0.91224,0.95543
2017,Bavaria,3rd Quintile,No,0.06616,39,510,0.04457,0.08776
2017,Bavaria,4th Quintile,Yes,0.94528,494,494,0.92520,0.96535
2017,Bavaria,5th Quintile,Yes,0.96238,561,561,0.94662,0.97814
2017,Berlin,1st Quintile,Yes,0.75426,134,169,0.68915,0.81936
2017,Berlin,1st Quintile,No,0.24574,35,169,0.18064,0.31085
2017,Berlin,2nd Quintile,Yes,0.83599,118,118,0.76890,0.90309
2017,Berlin,3rd Quintile,Yes,0.85621,98,98,0.78639,0.92604
2017,Berlin,4th Quintile,Yes,0.82312,94,94,0.74556,0.90067
2017,Berlin,5th Quintile,Yes,0.92009,110,110,0.86918,0.97099
2017,Brandenburg,1st Quintile,Yes,0.92802,142,142,0.88536,0.97068
2017,Brandenburg,2nd Quintile,Yes,0.92117,147,147,0.87746,0.96488
2017,Brandenburg,3rd Quintile,Yes,0.96722,138,138,0.93741,0.99704
2017,Brandenburg,4th Quintile,Yes,0.89070,86,86,0.82437,0.95703
2017,Brandenburg,5th Quintile,Yes,0.94225,68,68,0.88639,0.99811
2017,Mecklenburg-Western Pomerania,1st Quintile,Yes,0.85052,104,104,0.78166,0.91938
2017,Mecklenburg-Western Pomerania,2nd Quintile,Yes,0.90640,84,84,0.84373,0.96906
2017,Mecklenburg-Western Pomerania,3rd Quintile,Yes,0.90866,70,70,0.84069,0.97664
2017,Mecklenburg-Western Pomerania,4th Quintile,Yes,0.98676,41,41,0.95134,1.02218
2017,Mecklenburg-Western Pomerania,5th Quintile,Yes,0.97260,38,38,0.91999,1.02520
2017,Saxony,1st Quintile,Yes,0.88260,213,213,0.83927,0.92593
2017,Saxony,2nd Quintile,Yes,0.87616,236,236,0.83404,0.91827
2017,Saxony,3rd Quintile,Yes,0.93346,212,212,0.89983,0.96709
2017,Saxony,4th Quintile,Yes,0.92379,158,158,0.88229,0.96530
2017,Saxony,5th Quintile,Yes,0.92995,88,88,0.87631,0.98358
2017,Saxony-Anhalt,1st Quintile,Yes,0.92005,162,162,0.87816,0.96195
2017,Saxony-Anhalt,2nd Quintile,Yes,0.92457,136,136,0.88002,0.96912
2017,Saxony-Anhalt,3rd Quintile,Yes,0.97890,99,99,0.95044,1.00735
2017,Saxony-Anhalt,4th Quintile,Yes,0.90500,80,80,0.84034,0.96966
2017,Saxony-Anhalt,5th Quintile,Yes,0.97791,64,64,0.94162,1.01420
2017,Thuringa,1st Quintile,Yes,0.92530,123,123,0.87865,0.97196
2017,Thuringa,2nd Quintile,Yes,0.96281,170,170,0.93428,0.99134
2017,Thuringa,3rd Quintile,Yes,0.95706,116,116,0.92001,0.99411
2017,Thuringa,4th Quintile,Yes,0.92734,95,95,0.87486,0.97981
2017,Thuringa,5th Quintile,Yes,0.99565,61,61,0.97899,1.01231
2018,Schleswig-Holstein,1st Quintile,Yes,0.88759,115,115,0.82960,0.94557
2018,Schleswig-Holstein,2nd Quintile,Yes,0.97462,115,115,0.94574,1.00349
2018,Schleswig-Holstein,3rd Quintile,Yes,0.99358,115,115,0.97891,1.00824
2018,Schleswig-Holstein,4th Quintile,Yes,0.97502,91,91,0.94278,1.00726
2018,Schleswig-Holstein,5th Quintile,Yes,0.96835,92,92,0.93238,1.00432
2018,Hamburg,1st Quintile,Yes,0.95092,67,67,0.89879,1.00304
2018,Hamburg,2nd Quintile,Yes,0.91753,51,51,0.84128,0.99378
2018,Hamburg,3rd Quintile,Yes,0.91951,55,55,0.84694,0.99207
2018,Hamburg,4th Quintile,Yes,0.94271,60,60,0.88341,1.00201
2018,Lower Saxony,1st Quintile,Yes,0.93378,287,287,0.90496,0.96260
2018,Lower Saxony,2nd Quintile,Yes,0.96298,289,289,0.94117,0.98478
2018,Lower Saxony,3rd Quintile,Yes,0.98493,285,285,0.97076,0.99910
2018,Lower Saxony,4th Quintile,Yes,0.98589,266,266,0.97169,1.00009
2018,Lower Saxony,5th Quintile,Yes,0.98669,303,303,0.97377,0.99962
2018,North Rhine-Westphalia,1st Quintile,Yes,0.92205,658,724,0.90251,0.94160
2018,North Rhine-Westphalia,1st Quintile,No,0.07795,66,724,0.05840,0.09749
2018,North Rhine-Westphalia,2nd Quintile,Yes,0.96792,606,606,0.95388,0.98196
2018,North Rhine-Westphalia,3rd Quintile,Yes,0.95230,566,566,0.93473,0.96988
2018,North Rhine-Westphalia,4th Quintile,Yes,0.98050,572,572,0.96916,0.99184
2018,North Rhine-Westphalia,5th Quintile,Yes,0.98796,635,635,0.97947,0.99645
2018,Hesse,1st Quintile,Yes,0.87684,171,171,0.82744,0.92624
2018,Hesse,2nd Quintile,Yes,0.88911,160,160,0.84031,0.93792
2018,Hesse,3rd Quintile,Yes,0.94315,184,184,0.90960,0.97670
2018,Hesse,4th Quintile,Yes,0.96929,193,193,0.94489,0.99370
2018,Hesse,5th Quintile,Yes,0.96102,249,249,0.93693,0.98511
2018,"Rhineland-Palatinate, Saarland",1st Quintile,Yes,0.89476,180,180,0.84980,0.93971
2018,"Rhineland-Palatinate, Saarland",2nd Quintile,Yes,0.93172,172,172,0.89391,0.96952
2018,"Rhineland-Palatinate, Saarland",3rd Quintile,Yes,0.97902,160,160,0.95674,1.00129
2018,"Rhineland-Palatinate, Saarland",4th Quintile,Yes,0.99441,173,173,0.98328,1.00555
2018,"Rhineland-Palatinate, Saarland",5th Quintile,Yes,0.98312,160,160,0.96310,1.00314
2018,Baden-Wuerttemberg,1st Quintile,Yes,0.91616,187,187,0.87633,0.95599
2018,Baden-Wuerttemberg,2nd Quintile,Yes,0.92582,269,269,0.89445,0.95720
2018,Baden-Wuerttemberg,3rd Quintile,Yes,0.94252,302,302,0.91622,0.96882
2018,Baden-Wuerttemberg,4th Quintile,Yes,0.96960,375,375,0.95221,0.98700
2018,Baden-Wuerttemberg,5th Quintile,Yes,0.95974,407,407,0.94062,0.97886
2018,Bavaria,1st Quintile,Yes,0.85797,344,385,0.82305,0.89288
2018,Bavaria,1st Quintile,No,0.14203,41,385,0.10712,0.17695
2018,Bavaria,2nd Quintile,Yes,0.91246,444,484,0.88726,0.93767
2018,Bavaria,2nd Quintile,No,0.08754,40,484,0.06233,0.11274
2018,Bavaria,3rd Quintile,Yes,0.91608,411,444,0.89026,0.94190
2018,Bavaria,3rd Quintile,No,0.08392,33,444,0.05810,0.10974
2018,Bavaria,4th Quintile,Yes,0.97208,493,493,0.95752,0.98664
2018,Bavaria,5th Quintile,Yes,0.95085,545,576,0.93318,0.96852
2018,Bavaria,5th Quintile,No,0.04915,31,576,0.03148,0.06682
2018,Berlin,1st Quintile,Yes,0.83728,158,189,0.78452,0.89004
2018,Berlin,1st Quintile,No,0.16272,31,189,0.10996,0.21548
2018,Berlin,2nd Quintile,Yes,0.84096,114,114,0.77352,0.90839
2018,Berlin,3rd Quintile,Yes,0.87894,104,104,0.81594,0.94194
2018,Berlin,4th Quintile,Yes,0.91188,112,112,0.85914,0.96461
2018,Berlin,5th Quintile,Yes,0.89545,109,109,0.83774,0.95315
2018,Brandenburg,1st Quintile,Yes,0.85135,173,173,0.79819,0.90452
2018,Brandenburg,2nd Quintile,Yes,0.96941,154,154,0.94212,0.99670
2018,Brandenburg,3rd Quintile,Yes,0.91657,128,128,0.86847,0.96466
2018,Brandenburg,4th Quintile,Yes,0.92013,78,78,0.85958,0.98068
2018,Brandenburg,5th Quintile,Yes,0.96034,67,67,0.91325,1.00742
2018,Mecklenburg-Western Pomerania,1st Quintile,Yes,0.86800,109,109,0.80416,0.93184
2018,Mecklenburg-Western Pomerania,2nd Quintile,Yes,0.96761,101,101,0.93291,1.00231
2018,Mecklenburg-Western Pomerania,3rd Quintile,Yes,0.99028,60,60,0.96525,1.01531
2018,Mecklenburg-Western Pomerania,4th Quintile,Yes,0.88790,46,46,0.79571,0.98008
2018,Mecklenburg-Western Pomerania,5th Quintile,Yes,0.99419,35,35,0.96866,1.01973
2018,Saxony,1st Quintile,Yes,0.86118,203,203,0.81349,0.90886
2018,Saxony,2nd Quintile,Yes,0.93834,284,284,0.91032,0.96637
2018,Saxony,3rd Quintile,Yes,0.94295,202,202,0.91088,0.97501
2018,Saxony,4th Quintile,Yes,0.95739,139,139,0.92369,0.99109
2018,Saxony,5th Quintile,Yes,0.97206,96,96,0.93892,1.00520
2018,Saxony-Anhalt,1st Quintile,Yes,0.94981,175,175,0.91737,0.98225
2018,Saxony-Anhalt,2nd Quintile,Yes,0.93507,132,132,0.89287,0.97726
2018,Saxony-Anhalt,3rd Quintile,Yes,0.98725,109,109,0.96608,1.00841
2018,Saxony-Anhalt,5th Quintile,Yes,0.95294,59,59,0.89844,1.00744
2018,Thuringa,1st Quintile,Yes,0.99536,142,142,0.98413,1.00658
2018,Thuringa,2nd Quintile,Yes,0.95618,157,157,0.92406,0.98830
2018,Thuringa,3rd Quintile,Yes,0.93720,110,110,0.89166,0.98275
2018,Thuringa,4th Quintile,Yes,0.98048,91,91,0.95190,1.00906
2019,Schleswig-Holstein,1st Quintile,Yes,0.85403,78,78,0.77517,0.93290
2019,Schleswig-Holstein,2nd Quintile,Yes,0.98424,98,98,0.95945,1.00903
2019,Schleswig-Holstein,3rd Quintile,Yes,0.99542,90,90,0.98138,1.00945
2019,Schleswig-Holstein,4th Quintile,Yes,0.92991,80,80,0.87361,0.98621
2019,Hamburg,1st Quintile,Yes,0.91666,61,61,0.84672,0.98660
2019,Hamburg,2nd Quintile,Yes,0.99855,46,46,0.98744,1.00966
2019,Hamburg,3rd Quintile,Yes,0.96596,42,42,0.91045,1.02147
2019,Hamburg,4th Quintile,Yes,0.96511,62,62,0.91906,1.01116
2019,Hamburg,5th Quintile,Yes,0.99275,55,55,0.97013,1.01538
2019,Lower Saxony,1st Quintile,Yes,0.96752,216,216,0.94382,0.99122
2019,Lower Saxony,2nd Quintile,Yes,0.97276,225,225,0.95145,0.99408
2019,Lower Saxony,3rd Quintile,Yes,0.96259,229,229,0.93796,0.98722
2019,Lower Saxony,4th Quintile,Yes,0.98433,255,255,0.96906,0.99960
