year,bula_h,hgeqpmglass,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2019,Berlin,Yes,0.85283,476,12513,0,0.77990,0,0.93959
2019,Berlin,No,0.14717,81,12513,0,0.11442,0,0.17905
2019,Brandenburg,Yes,0.91585,523,12513,0,0.81633,0,1.00678
2019,Brandenburg,No,0.08415,35,12513,0,0.05675,0,0.11862
2019,Mecklenburg-Western Pomerania,Yes,1.00000,292,12513,0,0.88673,0,1.13134
2019,Saxony,Yes,0.92589,778,12513,0,0.84608,0,1.00327
2019,Saxony,No,0.07411,47,12513,0,0.05244,0,0.09773
2019,Saxony-Anhalt,Yes,1.00000,445,12513,0,0.88376,0,1.11677
2019,Thuringa,Yes,1.00000,452,12513,0,0.89718,0,1.12071
2020,Schleswig-Holstein,Yes,1.00000,521,16146,0,0.91946,0,1.09021
2020,Hamburg,Yes,1.00000,338,16146,0,0.87606,0,1.12028
2020,Lower Saxony,Yes,0.95913,1393,16146,0,0.90758,0,1.02478
2020,Lower Saxony,No,0.04087,89,16146,0,0.02628,0,0.05874
2020,Bremen,Yes,1.00000,128,16146,0,0.79211,0,1.24082
2020,North Rhine-Westphalia,Yes,0.94955,3120,16146,0,0.91069,0,0.99088
2020,North Rhine-Westphalia,No,0.05045,273,16146,0,0.03944,0,0.06204
2020,Hesse,Yes,0.92525,1032,16146,0,0.86037,0,1.00335
2020,Hesse,No,0.07475,84,16146,0,0.05491,0,0.10180
2020,"Rhineland-Palatinate, Saarland",Yes,0.96151,816,16146,0,0.88712,0,1.04024
2020,"Rhineland-Palatinate, Saarland",No,0.03849,50,16146,0,0.02398,0,0.05720
2020,Baden-Wuerttemberg,Yes,0.92855,1621,16146,0,0.88136,0,0.97636
2020,Baden-Wuerttemberg,No,0.07145,127,16146,0,0.05613,0,0.08559
2020,Bavaria,Yes,0.91954,2420,16146,0,0.87199,0,0.96386
2020,Bavaria,No,0.08046,211,16146,0,0.06637,0,0.09366
2020,Berlin,Yes,0.87313,716,16146,0,0.79919,0,0.95013
2020,Berlin,No,0.12687,145,16146,0,0.09811,0,0.15179
2020,Brandenburg,Yes,0.95397,639,16146,0,0.86785,0,1.04076
2020,Brandenburg,No,0.04603,41,16146,0,0.03116,0,0.05972
2020,Mecklenburg-Western Pomerania,Yes,1.00000,317,16146,0,0.87965,0,1.09601
2020,Saxony,Yes,0.93365,926,16146,0,0.86489,0,1.01108
2020,Saxony,No,0.06635,55,16146,0,0.05139,0,0.08491
2020,Saxony-Anhalt,Yes,1.00000,532,16146,0,0.90329,0,1.14383
2020,Thuringa,Yes,1.00000,552,16146,0,0.88175,0,1.11266
2021,Schleswig-Holstein,Yes,1.00000,365,9841,0,0.87540,0,1.12887
2021,Hamburg,Yes,1.00000,227,9841,0,0.86872,0,1.15169
2021,Lower Saxony,Yes,0.95803,907,9841,0,0.89302,0,1.01739
2021,Lower Saxony,No,0.04197,45,9841,0,0.02547,0,0.06290
2021,Bremen,Yes,1.00000,62,9841,0,0.73168,0,1.27315
2021,North Rhine-Westphalia,Yes,0.95626,1944,9841,0,0.91116,0,1.00215
2021,North Rhine-Westphalia,No,0.04374,117,9841,0,0.03070,0,0.05450
2021,Hesse,Yes,0.93790,578,9841,0,0.85770,0,1.02453
2021,Hesse,No,0.06210,38,9841,0,0.03254,0,0.09821
2021,"Rhineland-Palatinate, Saarland",Yes,1.00000,464,9841,0,0.91487,0,1.09751
2021,Baden-Wuerttemberg,Yes,0.92845,984,9841,0,0.85526,0,1.01155
2021,Baden-Wuerttemberg,No,0.07155,69,9841,0,0.05398,0,0.09068
2021,Bavaria,Yes,0.91356,1467,9841,0,0.85243,0,0.97440
2021,Bavaria,No,0.08644,115,9841,0,0.06686,0,0.10421
2021,Berlin,Yes,0.85931,438,9841,0,0.76894,0,0.96440
2021,Berlin,No,0.14069,78,9841,0,0.08921,0,0.19664
2021,Brandenburg,Yes,1.00000,381,9841,0,0.87923,0,1.10904
2021,Mecklenburg-Western Pomerania,Yes,1.00000,226,9841,0,0.84284,0,1.16228
2021,Saxony,Yes,0.94107,646,9841,0,0.85551,0,1.02375
2021,Saxony,No,0.05893,34,9841,0,0.03996,0,0.08190
2021,Saxony-Anhalt,Yes,1.00000,312,9841,0,0.86689,0,1.14673
2021,Thuringa,Yes,1.00000,344,9841,0,0.86577,0,1.15173
