,Unnamed: 0,year,bula_h,rentown,hgeqpmglass,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
90,90,2017,Lower Saxony,Tenant,No,0.07614,38,15387,0.05581,0.09997
91,91,2017,Bremen,Owner,Yes,1.0,43,15387,0.74071,1.46953
92,92,2017,Bremen,Tenant,Yes,1.0,77,15387,0.81635,1.21789
93,93,2017,North Rhine-Westphalia,Owner,Yes,1.0,1382,15387,0.95656,1.05608
94,94,2017,North Rhine-Westphalia,Tenant,Yes,0.92305,1667,15387,0.87959,0.97268
95,95,2017,North Rhine-Westphalia,Tenant,No,0.07695,119,15387,0.06177,0.0931
96,96,2017,Hesse,Owner,Yes,1.0,453,15387,0.92373,1.09986
97,97,2017,Hesse,Tenant,Yes,0.91734,537,15387,0.84827,1.00266
98,98,2017,Hesse,Tenant,No,0.08266,49,15387,0.05947,0.11636
99,99,2017,"Rhineland-Palatinate, Saarland",Owner,Yes,1.0,454,15387,0.91268,1.10611
100,100,2017,"Rhineland-Palatinate, Saarland",Tenant,Yes,1.0,390,15387,0.89908,1.10862
101,101,2017,Baden-Wuerttemberg,Owner,Yes,0.94405,878,15387,0.89109,1.00861
102,102,2017,Baden-Wuerttemberg,Owner,No,0.05595,45,15387,0.04388,0.07015
103,103,2017,Baden-Wuerttemberg,Tenant,Yes,0.84425,700,15387,0.77962,0.90891
104,104,2017,Baden-Wuerttemberg,Tenant,No,0.15575,101,15387,0.12769,0.18416
105,105,2017,Bavaria,Owner,Yes,0.96745,1150,15387,0.9198,1.03237
106,106,2017,Bavaria,Owner,No,0.03255,46,15387,0.02478,0.04216
107,107,2017,Bavaria,Tenant,Yes,0.88466,1161,15387,0.8276,0.93324
108,108,2017,Bavaria,Tenant,No,0.11534,145,15387,0.09721,0.13699
109,109,2017,Berlin,Owner,Yes,1.0,112,15387,0.83794,1.20898
110,110,2017,Berlin,Tenant,Yes,0.79928,443,15387,0.73906,0.85693
111,111,2017,Berlin,Tenant,No,0.20072,101,15387,0.16404,0.23607
112,112,2017,Brandenburg,Owner,Yes,1.0,265,15387,0.88131,1.13787
113,113,2017,Brandenburg,Tenant,Yes,1.0,316,15387,0.87915,1.13933
114,114,2017,Mecklenburg-Western Pomerania,Owner,Yes,1.0,120,15387,0.82453,1.19424
115,115,2017,Mecklenburg-Western Pomerania,Tenant,Yes,1.0,217,15387,0.88009,1.15803
116,116,2017,Saxony,Owner,Yes,1.0,348,15387,0.89514,1.11646
117,117,2017,Saxony,Tenant,Yes,0.867,559,15387,0.79999,0.94206
118,118,2017,Saxony,Tenant,No,0.133,66,15387,0.09926,0.17458
119,119,2017,Saxony-Anhalt,Owner,Yes,1.0,229,15387,0.86892,1.12191
120,120,2017,Saxony-Anhalt,Tenant,Yes,1.0,312,15387,0.87274,1.14411
121,121,2017,Thuringa,Owner,Yes,1.0,261,15387,0.86525,1.17286
122,122,2017,Thuringa,Tenant,Yes,1.0,304,15387,0.88622,1.10816
123,123,2018,Schleswig-Holstein,Owner,Yes,1.0,263,15122,0.85837,1.10607
124,124,2018,Schleswig-Holstein,Tenant,Yes,1.0,265,15122,0.85121,1.1296
125,125,2018,Hamburg,Owner,Yes,1.0,76,15122,0.79389,1.24107
126,126,2018,Hamburg,Tenant,Yes,1.0,233,15122,0.88368,1.15326
127,127,2018,Lower Saxony,Owner,Yes,1.0,754,15122,0.91955,1.07776
128,128,2018,Lower Saxony,Tenant,Yes,0.94999,677,15122,0.87021,1.03514
129,129,2018,Lower Saxony,Tenant,No,0.05001,36,15122,0.03468,0.07423
130,130,2018,Bremen,Owner,Yes,1.0,49,15122,0.63148,1.43422
131,131,2018,Bremen,Tenant,Yes,1.0,79,15122,0.75234,1.24544
132,132,2018,North Rhine-Westphalia,Owner,Yes,1.0,1318,15122,0.94204,1.04902
133,133,2018,North Rhine-Westphalia,Tenant,Yes,0.94586,1720,15122,0.8977,1.00118
134,134,2018,North Rhine-Westphalia,Tenant,No,0.05414,120,15122,0.04475,0.06436
135,135,2018,Hesse,Owner,Yes,1.0,431,15122,0.90176,1.10086
136,136,2018,Hesse,Tenant,Yes,1.0,527,15122,0.91294,1.09448
137,137,2018,"Rhineland-Palatinate, Saarland",Owner,Yes,1.0,437,15122,0.91211,1.08074
138,138,2018,"Rhineland-Palatinate, Saarland",Tenant,Yes,1.0,409,15122,0.89648,1.11618
139,139,2018,Baden-Wuerttemberg,Owner,Yes,1.0,859,15122,0.92348,1.06048
140,140,2018,Baden-Wuerttemberg,Tenant,Yes,0.90065,681,15122,0.82848,0.97396
141,141,2018,Baden-Wuerttemberg,Tenant,No,0.09935,67,15122,0.07552,0.12366
142,142,2018,Bavaria,Owner,Yes,0.95888,1106,15122,0.90087,1.02356
143,143,2018,Bavaria,Owner,No,0.04112,46,15122,0.02999,0.05599
144,144,2018,Bavaria,Tenant,Yes,0.89206,1131,15122,0.82872,0.95742
145,145,2018,Bavaria,Tenant,No,0.10794,126,15122,0.08229,0.13248
146,146,2018,Berlin,Owner,Yes,1.0,108,15122,0.82777,1.17511
147,147,2018,Berlin,Tenant,Yes,0.8474,489,15122,0.78614,0.9253
148,148,2018,Berlin,Tenant,No,0.1526,90,15122,0.12524,0.188
149,149,2018,Brandenburg,Owner,Yes,1.0,254,15122,0.87124,1.13799
150,150,2018,Brandenburg,Tenant,Yes,1.0,346,15122,0.86885,1.14428
151,151,2018,Mecklenburg-Western Pomerania,Owner,Yes,1.0,119,15122,0.8187,1.22384
152,152,2018,Mecklenburg-Western Pomerania,Tenant,Yes,1.0,232,15122,0.88016,1.12402
153,153,2018,Saxony,Owner,Yes,1.0,336,15122,0.88231,1.127
154,154,2018,Saxony,Tenant,Yes,0.91338,588,15122,0.83817,0.98899
155,155,2018,Saxony,Tenant,No,0.08662,44,15122,0.06193,0.12086
156,156,2018,Saxony-Anhalt,Owner,Yes,1.0,222,15122,0.87077,1.12134
157,157,2018,Saxony-Anhalt,Tenant,Yes,1.0,328,15122,0.89274,1.13931
158,158,2018,Thuringa,Owner,Yes,1.0,236,15122,0.86407,1.2169
159,159,2018,Thuringa,Tenant,Yes,1.0,320,15122,0.89737,1.11284
160,160,2019,Schleswig-Holstein,Owner,Yes,1.0,239,12358,0.87026,1.13609
161,161,2019,Schleswig-Holstein,Tenant,Yes,1.0,189,12358,0.85974,1.14862
162,162,2019,Hamburg,Owner,Yes,1.0,67,12358,0.78408,1.25527
163,163,2019,Hamburg,Tenant,Yes,1.0,199,12358,0.86768,1.17025
164,164,2019,Lower Saxony,Owner,Yes,1.0,684,12358,0.9245,1.07895
165,165,2019,Lower Saxony,Tenant,Yes,1.0,504,12358,0.91586,1.08963
166,166,2019,Bremen,Owner,Yes,1.0,40,12358,0.68636,1.40918
167,167,2019,Bremen,Tenant,Yes,1.0,67,12358,0.77102,1.29102
168,168,2019,North Rhine-Westphalia,Owner,Yes,1.0,1156,12358,0.93707,1.06405
169,169,2019,North Rhine-Westphalia,Tenant,Yes,0.95079,1335,12358,0.89366,1.00212
170,170,2019,North Rhine-Westphalia,Tenant,No,0.04921,84,12358,0.03697,0.06114
171,171,2019,Hesse,Owner,Yes,1.0,377,12358,0.89923,1.11013
172,172,2019,Hesse,Tenant,Yes,1.0,396,12358,0.9143,1.10572
173,173,2019,"Rhineland-Palatinate, Saarland",Owner,Yes,1.0,383,12358,0.91294,1.10859
174,174,2019,"Rhineland-Palatinate, Saarland",Tenant,Yes,1.0,309,12358,0.89002,1.14481
175,175,2019,Baden-Wuerttemberg,Owner,Yes,1.0,732,12358,0.91238,1.07452
176,176,2019,Baden-Wuerttemberg,Tenant,Yes,0.90503,523,12358,0.8181,0.99083
177,177,2019,Baden-Wuerttemberg,Tenant,No,0.09497,47,12358,0.07482,0.12509
178,178,2019,Bavaria,Owner,Yes,0.96488,967,12358,0.89119,1.03797
179,179,2019,Bavaria,Owner,No,0.03512,35,12358,0.02414,0.04703
180,180,2019,Bavaria,Tenant,Yes,0.88282,853,12358,0.82097,0.94544
181,181,2019,Bavaria,Tenant,No,0.11718,96,12358,0.08308,0.14379
182,182,2019,Berlin,Owner,Yes,1.0,95,12358,0.81534,1.18772
183,183,2019,Berlin,Tenant,Yes,0.84139,381,12358,0.76205,0.94898
184,184,2019,Berlin,Tenant,No,0.15861,74,12358,0.12678,0.19509
185,185,2019,Brandenburg,Owner,Yes,1.0,245,12358,0.88579,1.12778
186,186,2019,Brandenburg,Tenant,Yes,1.0,278,12358,0.82631,1.1476
187,187,2019,Mecklenburg-Western Pomerania,Owner,Yes,1.0,106,12358,0.792,1.20266
188,188,2019,Mecklenburg-Western Pomerania,Tenant,Yes,1.0,186,12358,0.8712,1.16514
189,189,2019,Saxony,Owner,Yes,1.0,295,12358,0.86726,1.12837
190,190,2019,Saxony,Tenant,Yes,0.9071,483,12358,0.81943,0.9979
191,191,2019,Saxony,Tenant,No,0.0929,36,12358,0.06447,0.1249
192,192,2019,Saxony-Anhalt,Owner,Yes,1.0,194,12358,0.86437,1.15747
193,193,2019,Saxony-Anhalt,Tenant,Yes,1.0,251,12358,0.87498,1.17239
194,194,2019,Thuringa,Owner,Yes,1.0,204,12358,0.80525,1.21092
195,195,2019,Thuringa,Tenant,Yes,1.0,248,12358,0.8716,1.14355
196,196,2020,Schleswig-Holstein,Owner,Yes,1.0,290,16029,0.86947,1.12968
197,197,2020,Schleswig-Holstein,Tenant,Yes,1.0,231,16029,0.85007,1.13714
198,198,2020,Hamburg,Owner,Yes,1.0,98,16029,0.77386,1.25544
199,199,2020,Hamburg,Tenant,Yes,1.0,240,16029,0.8508,1.15991
200,200,2020,Lower Saxony,Owner,Yes,1.0,722,16029,0.92889,1.07528
201,201,2020,Lower Saxony,Tenant,Yes,0.93701,671,16029,0.86055,1.03978
202,202,2020,Lower Saxony,Tenant,No,0.06299,76,16029,0.03569,0.09096
203,203,2020,Bremen,Owner,Yes,1.0,49,16029,0.64558,1.34427
204,204,2020,Bremen,Tenant,Yes,1.0,79,16029,0.74405,1.28535
205,205,2020,North Rhine-Westphalia,Owner,Yes,1.0,1330,16029,0.94155,1.07013
206,206,2020,North Rhine-Westphalia,Tenant,Yes,0.93364,1790,16029,0.88047,0.99317
207,207,2020,North Rhine-Westphalia,Tenant,No,0.06636,245,16029,0.05377,0.08208
208,208,2020,Hesse,Owner,Yes,1.0,462,16029,0.909,1.10681
209,209,2020,Hesse,Tenant,Yes,0.90928,570,16029,0.82067,0.99353
210,210,2020,Hesse,Tenant,No,0.09072,70,16029,0.06064,0.12842
211,211,2020,"Rhineland-Palatinate, Saarland",Owner,Yes,1.0,429,16029,0.89202,1.11545
212,212,2020,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.94272,387,16029,0.82837,1.05541
213,213,2020,"Rhineland-Palatinate, Saarland",Tenant,No,0.05728,42,16029,0.03197,0.08618
214,214,2020,Baden-Wuerttemberg,Owner,Yes,1.0,856,16029,0.91892,1.06466
215,215,2020,Baden-Wuerttemberg,Tenant,Yes,0.87493,765,16029,0.81028,0.9609
216,216,2020,Baden-Wuerttemberg,Tenant,No,0.12507,100,16029,0.09841,0.14852
217,217,2020,Bavaria,Owner,Yes,0.96244,1135,16029,0.90226,1.02832
218,218,2020,Bavaria,Owner,No,0.03756,40,16029,0.02318,0.05123
219,219,2020,Bavaria,Tenant,Yes,0.87661,1285,16029,0.8113,0.94372
220,220,2020,Bavaria,Tenant,No,0.12339,171,16029,0.09193,0.15233
221,221,2020,Berlin,Owner,Yes,1.0,131,16029,0.79281,1.21821
222,222,2020,Berlin,Tenant,Yes,0.85433,585,16029,0.76887,0.9404
223,223,2020,Berlin,Tenant,No,0.14567,136,16029,0.11148,0.18198
224,224,2020,Brandenburg,Owner,Yes,1.0,316,16029,0.86533,1.12699
225,225,2020,Brandenburg,Tenant,Yes,0.93194,323,16029,0.83886,1.06537
226,226,2020,Brandenburg,Tenant,No,0.06806,32,16029,0.04445,0.09282
227,227,2020,Mecklenburg-Western Pomerania,Owner,Yes,1.0,118,16029,0.7894,1.24723
228,228,2020,Mecklenburg-Western Pomerania,Tenant,Yes,1.0,199,16029,0.85205,1.14814
229,229,2020,Saxony,Owner,Yes,1.0,363,16029,0.88187,1.14337
230,230,2020,Saxony,Tenant,Yes,0.91347,563,16029,0.82518,0.99621
231,231,2020,Saxony,Tenant,No,0.08653,46,16029,0.06375,0.11731
232,232,2020,Saxony-Anhalt,Owner,Yes,1.0,237,16029,0.8524,1.19209
233,233,2020,Saxony-Anhalt,Tenant,Yes,1.0,295,16029,0.85821,1.14994
234,234,2020,Thuringa,Owner,Yes,1.0,250,16029,0.83379,1.21573
235,235,2020,Thuringa,Tenant,Yes,1.0,302,16029,0.85903,1.14367
236,236,2021,Schleswig-Holstein,Owner,Yes,1.0,219,9671,0.84032,1.1633
237,237,2021,Schleswig-Holstein,Tenant,Yes,1.0,146,9671,0.80418,1.19817
238,238,2021,Hamburg,Owner,Yes,1.0,72,9671,0.71074,1.35225
239,239,2021,Hamburg,Tenant,Yes,1.0,155,9671,0.84137,1.20975
240,240,2021,Lower Saxony,Owner,Yes,1.0,505,9671,0.88601,1.11844
241,241,2021,Lower Saxony,Tenant,Yes,0.93396,402,9671,0.82496,1.0255
242,242,2021,Lower Saxony,Tenant,No,0.06604,36,9671,0.03538,0.10765
243,243,2021,Bremen,Tenant,Yes,1.0,45,9671,0.69759,1.32567
244,244,2021,North Rhine-Westphalia,Owner,Yes,1.0,919,9671,0.91748,1.07122
245,245,2021,North Rhine-Westphalia,Tenant,Yes,0.93503,1023,9671,0.86737,1.00566
246,246,2021,North Rhine-Westphalia,Tenant,No,0.06497,98,9671,0.04466,0.09024
247,247,2021,Hesse,Owner,Yes,1.0,283,9671,0.87376,1.14271
248,248,2021,Hesse,Tenant,Yes,1.0,295,9671,0.84786,1.1173
249,249,2021,"Rhineland-Palatinate, Saarland",Owner,Yes,1.0,265,9671,0.88174,1.14409
250,250,2021,"Rhineland-Palatinate, Saarland",Tenant,Yes,1.0,199,9671,0.79893,1.14168
251,251,2021,Baden-Wuerttemberg,Owner,Yes,1.0,567,9671,0.90781,1.10134
252,252,2021,Baden-Wuerttemberg,Tenant,Yes,0.87016,417,9671,0.76857,0.96493
253,253,2021,Baden-Wuerttemberg,Tenant,No,0.12984,53,9671,0.09574,0.16478
254,254,2021,Bavaria,Owner,Yes,1.0,771,9671,0.89945,1.0939
255,255,2021,Bavaria,Tenant,Yes,0.86408,696,9671,0.79813,0.94595
256,256,2021,Bavaria,Tenant,No,0.13592,87,9671,0.10479,0.17656
257,257,2021,Berlin,Owner,Yes,1.0,91,9671,0.7223,1.26602
258,258,2021,Berlin,Tenant,Yes,0.83477,347,9671,0.74353,0.95053
259,259,2021,Berlin,Tenant,No,0.16523,72,9671,0.10452,0.23639
260,260,2021,Brandenburg,Owner,Yes,1.0,196,9671,0.85786,1.16482
261,261,2021,Brandenburg,Tenant,Yes,1.0,185,9671,0.83775,1.17224
262,262,2021,Mecklenburg-Western Pomerania,Owner,Yes,1.0,91,9671,0.75503,1.29673
263,263,2021,Mecklenburg-Western Pomerania,Tenant,Yes,1.0,135,9671,0.80689,1.21986
264,264,2021,Saxony,Owner,Yes,1.0,244,9671,0.85492,1.15691
265,265,2021,Saxony,Tenant,Yes,1.0,401,9671,0.89531,1.12884
266,266,2021,Saxony-Anhalt,Owner,Yes,1.0,136,9671,0.75895,1.2718
267,267,2021,Saxony-Anhalt,Tenant,Yes,1.0,176,9671,0.80848,1.17495
268,268,2021,Thuringa,Owner,Yes,1.0,162,9671,0.7599,1.22072
269,269,2021,Thuringa,Tenant,Yes,1.0,182,9671,0.83461,1.15665
