year,quintil_oecd_hh,rentown,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,4th Quintile,Owner,No,0.03406,52,1797,0.02567,0.04245
2017,4th Quintile,Tenant,Yes,0.91515,1154,1247,0.89968,0.93062
2017,4th Quintile,Tenant,No,0.08485,93,1247,0.06938,0.10032
2017,5th Quintile,Owner,Yes,0.97914,2195,2243,0.97323,0.98506
2017,5th Quintile,Owner,No,0.02086,48,2243,0.01494,0.02677
2017,5th Quintile,Tenant,Yes,0.92811,795,849,0.91073,0.94550
2017,5th Quintile,Tenant,No,0.07189,54,849,0.05450,0.08927
2018,1st Quintile,Owner,Yes,0.90603,359,359,0.87580,0.93626
2018,1st Quintile,Tenant,Yes,0.89801,2647,2920,0.88704,0.90899
2018,1st Quintile,Tenant,No,0.10199,273,2920,0.09101,0.11296
2018,2nd Quintile,Owner,Yes,0.95412,1046,1086,0.94167,0.96657
2018,2nd Quintile,Owner,No,0.04588,40,1086,0.03343,0.05833
2018,2nd Quintile,Tenant,Yes,0.92573,2028,2207,0.91479,0.93667
2018,2nd Quintile,Tenant,No,0.07427,179,2207,0.06333,0.08521
2018,3rd Quintile,Owner,Yes,0.96689,1356,1402,0.95753,0.97626
2018,3rd Quintile,Owner,No,0.03311,46,1402,0.02374,0.04247
2018,3rd Quintile,Tenant,Yes,0.92624,1454,1539,0.91318,0.93930
2018,3rd Quintile,Tenant,No,0.07376,85,1539,0.06070,0.08682
2018,4th Quintile,Owner,Yes,0.98093,1675,1711,0.97445,0.98742
2018,4th Quintile,Owner,No,0.01907,36,1711,0.01258,0.02555
2018,4th Quintile,Tenant,Yes,0.95486,1106,1170,0.94296,0.96676
2018,4th Quintile,Tenant,No,0.04514,64,1170,0.03324,0.05704
2018,5th Quintile,Owner,Yes,0.98286,2132,2173,0.97741,0.98832
2018,5th Quintile,Owner,No,0.01714,41,2173,0.01168,0.02259
2018,5th Quintile,Tenant,Yes,0.93018,785,839,0.91293,0.94744
2018,5th Quintile,Tenant,No,0.06982,54,839,0.05256,0.08707
2019,1st Quintile,Owner,Yes,0.91911,313,313,0.88885,0.94936
2019,1st Quintile,Tenant,Yes,0.89940,1908,2090,0.88650,0.91230
2019,1st Quintile,Tenant,No,0.10060,182,2090,0.08770,0.11350
2019,2nd Quintile,Owner,Yes,0.96014,895,926,0.94753,0.97275
2019,2nd Quintile,Owner,No,0.03986,31,926,0.02725,0.05247
2019,2nd Quintile,Tenant,Yes,0.94074,1590,1690,0.92948,0.95200
2019,2nd Quintile,Tenant,No,0.05926,100,1690,0.04800,0.07052
2019,3rd Quintile,Owner,Yes,0.97496,1216,1251,0.96630,0.98363
2019,3rd Quintile,Owner,No,0.02504,35,1251,0.01637,0.03370
2019,3rd Quintile,Tenant,Yes,0.91435,1177,1262,0.89890,0.92979
2019,3rd Quintile,Tenant,No,0.08565,85,1262,0.07021,0.10110
2019,4th Quintile,Owner,Yes,0.96909,1483,1520,0.96039,0.97779
2019,4th Quintile,Owner,No,0.03091,37,1520,0.02221,0.03961
2019,4th Quintile,Tenant,Yes,0.94327,883,947,0.92853,0.95801
2019,4th Quintile,Tenant,No,0.05673,64,947,0.04199,0.07147
2019,5th Quintile,Owner,Yes,0.98210,1877,1912,0.97616,0.98805
2019,5th Quintile,Owner,No,0.01790,35,1912,0.01195,0.02384
2019,5th Quintile,Tenant,Yes,0.93689,642,686,0.91869,0.95510
2019,5th Quintile,Tenant,No,0.06311,44,686,0.04490,0.08131
2020,1st Quintile,Owner,Yes,0.94091,299,299,0.91414,0.96768
2020,1st Quintile,Tenant,Yes,0.88545,2667,3113,0.87426,0.89664
2020,1st Quintile,Tenant,No,0.11455,446,3113,0.10336,0.12574
2020,2nd Quintile,Owner,Yes,0.95910,951,984,0.94672,0.97148
2020,2nd Quintile,Owner,No,0.04090,33,984,0.02852,0.05328
2020,2nd Quintile,Tenant,Yes,0.92709,2094,2346,0.91657,0.93761
2020,2nd Quintile,Tenant,No,0.07291,252,2346,0.06239,0.08343
2020,3rd Quintile,Owner,Yes,0.96828,1259,1299,0.95875,0.97781
2020,3rd Quintile,Owner,No,0.03172,40,1299,0.02219,0.04125
2020,3rd Quintile,Tenant,Yes,0.91834,1431,1582,0.90484,0.93184
2020,3rd Quintile,Tenant,No,0.08166,151,1582,0.06816,0.09516
2020,4th Quintile,Owner,Yes,0.96318,1571,1617,0.95400,0.97236
2020,4th Quintile,Owner,No,0.03682,46,1617,0.02764,0.04600
2020,4th Quintile,Tenant,Yes,0.93253,1154,1245,0.91859,0.94647
2020,4th Quintile,Tenant,No,0.06747,91,1245,0.05353,0.08141
2020,5th Quintile,Owner,Yes,0.98084,2704,2748,0.97571,0.98597
2020,5th Quintile,Owner,No,0.01916,44,2748,0.01403,0.02429
2020,5th Quintile,Tenant,Yes,0.92714,924,1004,0.91105,0.94322
2020,5th Quintile,Tenant,No,0.07286,80,1004,0.05678,0.08895
2021,1st Quintile,Owner,Yes,0.97074,238,238,0.94929,0.99220
2021,1st Quintile,Tenant,Yes,0.88015,1341,1522,0.86383,0.89647
2021,1st Quintile,Tenant,No,0.11985,181,1522,0.10353,0.13617
2021,2nd Quintile,Owner,Yes,0.97876,619,619,0.96739,0.99013
2021,2nd Quintile,Tenant,Yes,0.91800,1215,1335,0.90328,0.93272
2021,2nd Quintile,Tenant,No,0.08200,120,1335,0.06728,0.09672
2021,3rd Quintile,Owner,Yes,0.95517,834,834,0.94112,0.96923
2021,3rd Quintile,Tenant,Yes,0.92516,907,990,0.90876,0.94156
2021,3rd Quintile,Tenant,No,0.07484,83,990,0.05844,0.09124
2021,4th Quintile,Owner,Yes,0.98491,1083,1083,0.97764,0.99217
2021,4th Quintile,Tenant,Yes,0.93092,731,789,0.91322,0.94863
2021,4th Quintile,Tenant,No,0.06908,58,789,0.05137,0.08678
2021,5th Quintile,Owner,Yes,0.97747,1760,1760,0.97054,0.98441
2021,5th Quintile,Tenant,Yes,0.94028,599,647,0.92200,0.95855
2021,5th Quintile,Tenant,No,0.05972,48,647,0.04145,0.07800
2022,Not included in this version of the questionnaire,Tenant,Yes,0.83245,159,159,0.77422,0.89069
2022,1st Quintile,Owner,Yes,0.94432,935,985,0.92999,0.95865
2022,1st Quintile,Owner,No,0.05568,50,985,0.04135,0.07001
2022,1st Quintile,Tenant,Yes,0.86627,3018,3500,0.85499,0.87754
2022,1st Quintile,Tenant,No,0.13373,482,3500,0.12246,0.14501
2022,2nd Quintile,Owner,Yes,0.96620,1067,1109,0.95556,0.97684
2022,2nd Quintile,Owner,No,0.03380,42,1109,0.02316,0.04444
2022,2nd Quintile,Tenant,Yes,0.92250,2458,2749,0.91251,0.93250
2022,2nd Quintile,Tenant,No,0.07750,291,2749,0.06750,0.08749
2022,3rd Quintile,Owner,Yes,0.95843,1364,1408,0.94801,0.96886
2022,3rd Quintile,Owner,No,0.04157,44,1408,0.03114,0.05199
2022,3rd Quintile,Tenant,Yes,0.92799,1806,1977,0.91659,0.93939
2022,3rd Quintile,Tenant,No,0.07201,171,1977,0.06061,0.08341
2022,4th Quintile,Owner,Yes,0.97206,1697,1748,0.96433,0.97979
2022,4th Quintile,Owner,No,0.02794,51,1748,0.02021,0.03567
2022,4th Quintile,Tenant,Yes,0.93884,1559,1665,0.92732,0.95035
2022,4th Quintile,Tenant,No,0.06116,106,1665,0.04965,0.07268
2022,5th Quintile,Owner,Yes,0.97990,2533,2572,0.97447,0.98532
2022,5th Quintile,Owner,No,0.02010,39,2572,0.01468,0.02553
2022,5th Quintile,Tenant,Yes,0.93204,1169,1254,0.91811,0.94598
2022,5th Quintile,Tenant,No,0.06796,85,1254,0.05402,0.08189
