,Unnamed: 0,year,bula_h,regtyp,hgeqpmglass,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
79,79,2017,Hamburg,Urban regions,Yes,1.0,275,15376,0.89102,1.12333
80,80,2017,Lower Saxony,Urban regions,Yes,1.0,636,15376,0.9095,1.08421
81,81,2017,Lower Saxony,Rural regions,Yes,1.0,851,15376,0.92188,1.07572
82,82,2017,Bremen,Urban regions,Yes,1.0,120,15376,0.82824,1.19564
83,83,2017,North Rhine-Westphalia,Urban regions,Yes,0.95217,2988,15376,0.91358,0.9885
84,84,2017,North Rhine-Westphalia,Urban regions,No,0.04783,135,15376,0.03986,0.05622
85,85,2017,North Rhine-Westphalia,Rural regions,Yes,1.0,61,15376,0.77283,1.2263
86,86,2017,Hesse,Urban regions,Yes,0.93283,792,15376,0.86957,0.99712
87,87,2017,Hesse,Urban regions,No,0.06717,55,15376,0.04802,0.08766
88,88,2017,Hesse,Rural regions,Yes,1.0,198,15376,0.86594,1.14989
89,89,2017,"Rhineland-Palatinate, Saarland",Urban regions,Yes,1.0,634,15376,0.94149,1.06424
90,90,2017,"Rhineland-Palatinate, Saarland",Rural regions,Yes,1.0,210,15376,0.84641,1.16563
91,91,2017,Baden-Wuerttemberg,Urban regions,Yes,0.89681,1405,15376,0.8468,0.94605
92,92,2017,Baden-Wuerttemberg,Urban regions,No,0.10319,136,15376,0.08663,0.11937
93,93,2017,Baden-Wuerttemberg,Rural regions,Yes,1.0,173,15376,0.84397,1.16894
94,94,2017,Bavaria,Urban regions,Yes,0.92323,1088,15376,0.86038,0.98754
95,95,2017,Bavaria,Urban regions,No,0.07677,90,15376,0.06205,0.09578
96,96,2017,Bavaria,Rural regions,Yes,0.92948,1223,15376,0.87647,0.98233
97,97,2017,Bavaria,Rural regions,No,0.07052,101,15376,0.05648,0.08492
98,98,2017,Berlin,Urban regions,Yes,0.82597,555,15376,0.7625,0.8927
99,99,2017,Berlin,Urban regions,No,0.17403,104,15376,0.14211,0.20948
100,100,2017,Brandenburg,Urban regions,Yes,1.0,46,15376,0.76582,1.285
101,101,2017,Brandenburg,Rural regions,Yes,1.0,535,15376,0.91408,1.10214
102,102,2017,Mecklenburg-Western Pomerania,Urban regions,Yes,1.0,50,15376,0.78849,1.22821
103,103,2017,Mecklenburg-Western Pomerania,Rural regions,Yes,1.0,287,15376,0.89918,1.14828
104,104,2017,Saxony,Urban regions,Yes,0.89994,490,15376,0.81247,0.98998
105,105,2017,Saxony,Urban regions,No,0.10006,41,15376,0.07631,0.13461
106,106,2017,Saxony,Rural regions,Yes,0.90801,417,15376,0.82967,1.00832
107,107,2017,Saxony,Rural regions,No,0.09199,37,15376,0.05675,0.1258
108,108,2017,Saxony-Anhalt,Urban regions,Yes,1.0,114,15376,0.79535,1.20065
109,109,2017,Saxony-Anhalt,Rural regions,Yes,1.0,427,15376,0.91006,1.0849
110,110,2017,Thuringa,Urban regions,Yes,1.0,182,15376,0.84492,1.19972
111,111,2017,Thuringa,Rural regions,Yes,1.0,383,15376,0.88149,1.10545
112,112,2018,Schleswig-Holstein,Urban regions,Yes,1.0,182,15152,0.86003,1.16787
113,113,2018,Schleswig-Holstein,Rural regions,Yes,1.0,346,15152,0.89743,1.1236
114,114,2018,Hamburg,Urban regions,Yes,1.0,309,15152,0.8906,1.10513
115,115,2018,Lower Saxony,Urban regions,Yes,1.0,618,15152,0.92168,1.08481
116,116,2018,Lower Saxony,Rural regions,Yes,1.0,813,15152,0.92699,1.06516
117,117,2018,Bremen,Urban regions,Yes,1.0,128,15152,0.7856,1.22728
118,118,2018,North Rhine-Westphalia,Urban regions,Yes,0.96256,2984,15152,0.932,1.00196
119,119,2018,North Rhine-Westphalia,Urban regions,No,0.03744,138,15152,0.03138,0.04478
120,120,2018,North Rhine-Westphalia,Rural regions,Yes,1.0,54,15152,0.77611,1.29704
121,121,2018,Hesse,Urban regions,Yes,0.91925,758,15152,0.84921,0.98755
122,122,2018,Hesse,Urban regions,No,0.08075,40,15152,0.05675,0.10804
123,123,2018,Hesse,Rural regions,Yes,1.0,200,15152,0.85849,1.13734
124,124,2018,"Rhineland-Palatinate, Saarland",Urban regions,Yes,1.0,640,15152,0.92088,1.0748
125,125,2018,"Rhineland-Palatinate, Saarland",Rural regions,Yes,1.0,206,15152,0.86566,1.15031
126,126,2018,Baden-Wuerttemberg,Urban regions,Yes,0.94349,1368,15152,0.89454,0.98289
127,127,2018,Baden-Wuerttemberg,Urban regions,No,0.05651,81,15152,0.04362,0.06826
128,128,2018,Baden-Wuerttemberg,Rural regions,Yes,1.0,172,15152,0.85547,1.16925
129,129,2018,Bavaria,Urban regions,Yes,0.92856,1070,15152,0.86295,0.99006
130,130,2018,Bavaria,Urban regions,No,0.07144,84,15152,0.05758,0.09376
131,131,2018,Bavaria,Rural regions,Yes,0.92498,1167,15152,0.8616,0.98561
132,132,2018,Bavaria,Rural regions,No,0.07502,88,15152,0.05575,0.0998
133,133,2018,Berlin,Urban regions,Yes,0.8683,597,15152,0.81256,0.93847
134,134,2018,Berlin,Urban regions,No,0.1317,95,15152,0.10983,0.15793
135,135,2018,Brandenburg,Urban regions,Yes,1.0,49,15152,0.77628,1.29868
136,136,2018,Brandenburg,Rural regions,Yes,0.92273,551,15152,0.84975,1.00401
137,137,2018,Brandenburg,Rural regions,No,0.07727,33,15152,0.04895,0.11301
138,138,2018,Mecklenburg-Western Pomerania,Urban regions,Yes,1.0,61,15152,0.78804,1.23212
139,139,2018,Mecklenburg-Western Pomerania,Rural regions,Yes,1.0,290,15152,0.8518,1.12132
140,140,2018,Saxony,Urban regions,Yes,1.0,503,15152,0.91821,1.09538
141,141,2018,Saxony,Rural regions,Yes,1.0,421,15152,0.90157,1.10407
142,142,2018,Saxony-Anhalt,Urban regions,Yes,1.0,121,15152,0.84526,1.1908
143,143,2018,Saxony-Anhalt,Rural regions,Yes,1.0,429,15152,0.91048,1.12192
144,144,2018,Thuringa,Urban regions,Yes,1.0,188,15152,0.83183,1.19332
145,145,2018,Thuringa,Rural regions,Yes,1.0,368,15152,0.89747,1.1171
146,146,2019,Schleswig-Holstein,Urban regions,Yes,1.0,141,12388,0.83258,1.16334
147,147,2019,Schleswig-Holstein,Rural regions,Yes,1.0,287,12388,0.87771,1.1375
148,148,2019,Hamburg,Urban regions,Yes,1.0,266,12388,0.88228,1.12334
149,149,2019,Lower Saxony,Urban regions,Yes,1.0,507,12388,0.91029,1.094
150,150,2019,Lower Saxony,Rural regions,Yes,1.0,681,12388,0.91733,1.08481
151,151,2019,Bremen,Urban regions,Yes,1.0,107,12388,0.77586,1.24387
152,152,2019,North Rhine-Westphalia,Urban regions,Yes,0.96476,2443,12388,0.92302,0.99995
153,153,2019,North Rhine-Westphalia,Urban regions,No,0.03524,102,12388,0.02739,0.04363
154,154,2019,North Rhine-Westphalia,Rural regions,Yes,1.0,48,12388,0.77774,1.23907
155,155,2019,Hesse,Urban regions,Yes,0.91985,626,12388,0.84597,1.00948
156,156,2019,Hesse,Urban regions,No,0.08015,32,12388,0.05423,0.10536
157,157,2019,Hesse,Rural regions,Yes,1.0,147,12388,0.86626,1.15221
158,158,2019,"Rhineland-Palatinate, Saarland",Urban regions,Yes,1.0,521,12388,0.91179,1.08173
159,159,2019,"Rhineland-Palatinate, Saarland",Rural regions,Yes,1.0,171,12388,0.81689,1.16751
160,160,2019,Baden-Wuerttemberg,Urban regions,Yes,0.95082,1118,12388,0.89955,1.00411
161,161,2019,Baden-Wuerttemberg,Urban regions,No,0.04918,56,12388,0.03666,0.06323
162,162,2019,Baden-Wuerttemberg,Rural regions,Yes,1.0,137,12388,0.80952,1.19484
163,163,2019,Bavaria,Urban regions,Yes,0.92744,845,12388,0.85527,0.99219
164,164,2019,Bavaria,Urban regions,No,0.07256,64,12388,0.05346,0.09388
165,165,2019,Bavaria,Rural regions,Yes,0.92484,975,12388,0.86365,0.99048
166,166,2019,Bavaria,Rural regions,No,0.07516,67,12388,0.05585,0.09634
167,167,2019,Berlin,Urban regions,Yes,0.85283,476,12388,0.77258,0.91864
168,168,2019,Berlin,Urban regions,No,0.14717,81,12388,0.11425,0.18688
169,169,2019,Brandenburg,Urban regions,Yes,1.0,40,12388,0.71758,1.24175
170,170,2019,Brandenburg,Rural regions,Yes,1.0,483,12388,0.8997,1.10109
171,171,2019,Mecklenburg-Western Pomerania,Urban regions,Yes,1.0,51,12388,0.81181,1.21971
172,172,2019,Mecklenburg-Western Pomerania,Rural regions,Yes,1.0,241,12388,0.84398,1.11141
173,173,2019,Saxony,Urban regions,Yes,1.0,413,12388,0.89769,1.12519
174,174,2019,Saxony,Rural regions,Yes,1.0,365,12388,0.91737,1.10719
175,175,2019,Saxony-Anhalt,Urban regions,Yes,1.0,105,12388,0.82219,1.19251
176,176,2019,Saxony-Anhalt,Rural regions,Yes,1.0,340,12388,0.88678,1.14368
177,177,2019,Thuringa,Urban regions,Yes,1.0,141,12388,0.80859,1.24726
178,178,2019,Thuringa,Rural regions,Yes,1.0,311,12388,0.86672,1.13086
179,179,2020,Schleswig-Holstein,Urban regions,Yes,1.0,178,16079,0.86983,1.17469
180,180,2020,Schleswig-Holstein,Rural regions,Yes,1.0,343,16079,0.87314,1.11667
181,181,2020,Hamburg,Urban regions,Yes,1.0,338,16079,0.87874,1.11227
182,182,2020,Lower Saxony,Urban regions,Yes,0.97092,617,16079,0.88786,1.05281
183,183,2020,Lower Saxony,Urban regions,No,0.02908,43,16079,0.01385,0.04675
184,184,2020,Lower Saxony,Rural regions,Yes,0.94976,776,16079,0.87409,1.02832
185,185,2020,Lower Saxony,Rural regions,No,0.05024,46,16079,0.02675,0.07721
186,186,2020,Bremen,Urban regions,Yes,1.0,128,16079,0.79277,1.2303
187,187,2020,North Rhine-Westphalia,Urban regions,Yes,0.94986,3070,16079,0.90617,0.98972
188,188,2020,North Rhine-Westphalia,Urban regions,No,0.05014,271,16079,0.0396,0.06075
189,189,2020,North Rhine-Westphalia,Rural regions,Yes,1.0,50,16079,0.77738,1.25572
190,190,2020,Hesse,Urban regions,Yes,0.91881,845,16079,0.84438,0.99298
191,191,2020,Hesse,Urban regions,No,0.08119,76,16079,0.05124,0.11292
192,192,2020,Hesse,Rural regions,Yes,1.0,187,16079,0.86725,1.16282
193,193,2020,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.96974,614,16079,0.88462,1.04499
194,194,2020,"Rhineland-Palatinate, Saarland",Urban regions,No,0.03026,37,16079,0.01829,0.04864
195,195,2020,"Rhineland-Palatinate, Saarland",Rural regions,Yes,1.0,202,16079,0.85403,1.17622
196,196,2020,Baden-Wuerttemberg,Urban regions,Yes,0.92631,1446,16079,0.86628,0.98445
197,197,2020,Baden-Wuerttemberg,Urban regions,No,0.07369,112,16079,0.06025,0.08995
198,198,2020,Baden-Wuerttemberg,Rural regions,Yes,1.0,175,16079,0.81288,1.16654
199,199,2020,Bavaria,Urban regions,Yes,0.91576,1198,16079,0.84899,0.98061
200,200,2020,Bavaria,Urban regions,No,0.08424,99,16079,0.06332,0.10744
201,201,2020,Bavaria,Rural regions,Yes,0.92338,1222,16079,0.85889,0.98377
202,202,2020,Bavaria,Rural regions,No,0.07662,112,16079,0.05552,0.09536
203,203,2020,Berlin,Urban regions,Yes,0.87313,716,16079,0.79139,0.9623
204,204,2020,Berlin,Urban regions,No,0.12687,145,16079,0.09996,0.16076
205,205,2020,Brandenburg,Urban regions,Yes,1.0,53,16079,0.73475,1.26544
206,206,2020,Brandenburg,Rural regions,Yes,0.95695,586,16079,0.86717,1.06282
207,207,2020,Brandenburg,Rural regions,No,0.04305,35,16079,0.02756,0.06016
208,208,2020,Mecklenburg-Western Pomerania,Urban regions,Yes,1.0,57,16079,0.76381,1.27615
209,209,2020,Mecklenburg-Western Pomerania,Rural regions,Yes,1.0,260,16079,0.88767,1.1518
210,210,2020,Saxony,Urban regions,Yes,0.928,502,16079,0.83286,1.02785
211,211,2020,Saxony,Urban regions,No,0.072,32,16079,0.05173,0.09039
212,212,2020,Saxony,Rural regions,Yes,1.0,424,16079,0.88976,1.10645
213,213,2020,Saxony-Anhalt,Urban regions,Yes,1.0,130,16079,0.74526,1.21651
214,214,2020,Saxony-Anhalt,Rural regions,Yes,1.0,402,16079,0.90078,1.09329
215,215,2020,Thuringa,Urban regions,Yes,1.0,185,16079,0.79174,1.20294
216,216,2020,Thuringa,Rural regions,Yes,1.0,367,16079,0.86896,1.11883
217,217,2021,Schleswig-Holstein,Urban regions,Yes,1.0,129,9718,0.78096,1.20124
218,218,2021,Schleswig-Holstein,Rural regions,Yes,1.0,236,9718,0.8514,1.18504
219,219,2021,Hamburg,Urban regions,Yes,1.0,227,9718,0.8543,1.14096
220,220,2021,Lower Saxony,Urban regions,Yes,1.0,394,9718,0.88931,1.11385
221,221,2021,Lower Saxony,Rural regions,Yes,1.0,513,9718,0.90562,1.10478
222,222,2021,Bremen,Urban regions,Yes,1.0,62,9718,0.71092,1.26448
223,223,2021,North Rhine-Westphalia,Urban regions,Yes,0.95676,1899,9718,0.90598,1.00571
224,224,2021,North Rhine-Westphalia,Urban regions,No,0.04324,116,9718,0.0302,0.05839
225,225,2021,North Rhine-Westphalia,Rural regions,Yes,1.0,45,9718,0.74188,1.27515
226,226,2021,Hesse,Urban regions,Yes,1.0,471,9718,0.8933,1.10421
227,227,2021,Hesse,Rural regions,Yes,1.0,107,9718,0.79475,1.25749
228,228,2021,"Rhineland-Palatinate, Saarland",Urban regions,Yes,1.0,353,9718,0.88123,1.09829
229,229,2021,"Rhineland-Palatinate, Saarland",Rural regions,Yes,1.0,111,9718,0.82766,1.20117
230,230,2021,Baden-Wuerttemberg,Urban regions,Yes,0.91993,880,9718,0.85998,1.0007
231,231,2021,Baden-Wuerttemberg,Urban regions,No,0.08007,64,9718,0.06144,0.10179
232,232,2021,Baden-Wuerttemberg,Rural regions,Yes,1.0,104,9718,0.77152,1.22598
233,233,2021,Bavaria,Urban regions,Yes,0.8959,715,9718,0.82177,0.96443
234,234,2021,Bavaria,Urban regions,No,0.1041,59,9718,0.07374,0.13537
235,235,2021,Bavaria,Rural regions,Yes,0.93111,752,9718,0.83852,1.02211
236,236,2021,Bavaria,Rural regions,No,0.06889,56,9718,0.04746,0.09097
237,237,2021,Berlin,Urban regions,Yes,0.85931,438,9718,0.77018,0.9733
238,238,2021,Berlin,Urban regions,No,0.14069,78,9718,0.09258,0.1921
239,239,2021,Brandenburg,Urban regions,Yes,1.0,33,9718,0.71237,1.40181
240,240,2021,Brandenburg,Rural regions,Yes,1.0,348,9718,0.87421,1.14147
241,241,2021,Mecklenburg-Western Pomerania,Urban regions,Yes,1.0,40,9718,0.70827,1.30918
242,242,2021,Mecklenburg-Western Pomerania,Rural regions,Yes,1.0,186,9718,0.82498,1.16553
243,243,2021,Saxony,Urban regions,Yes,1.0,342,9718,0.85603,1.18219
244,244,2021,Saxony,Rural regions,Yes,1.0,304,9718,0.90408,1.10099
245,245,2021,Saxony-Anhalt,Urban regions,Yes,1.0,69,9718,0.72638,1.32465
246,246,2021,Saxony-Anhalt,Rural regions,Yes,1.0,243,9718,0.86153,1.18195
247,247,2021,Thuringa,Urban regions,Yes,1.0,118,9718,0.78228,1.26927
248,248,2021,Thuringa,Rural regions,Yes,1.0,226,9718,0.83317,1.19077
