year,quintil_oecd_hh,sampreg,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,3rd Quintile,West,Yes,0.93960,1328,1413,0.92717,0.95202
2021,3rd Quintile,West,No,0.06040,85,1413,0.04798,0.07283
2021,3rd Quintile,East,Yes,0.94270,413,413,0.92026,0.96515
2021,4th Quintile,West,Yes,0.96559,1468,1536,0.95647,0.97471
2021,4th Quintile,West,No,0.03441,68,1536,0.02529,0.04353
2021,4th Quintile,East,Yes,0.95494,346,346,0.93305,0.97683
2021,5th Quintile,West,Yes,0.96772,1992,2062,0.96009,0.97535
2021,5th Quintile,West,No,0.03228,70,2062,0.02465,0.03991
2021,5th Quintile,East,Yes,0.96887,368,368,0.95110,0.98664
2022,Not included in this version of the questionnaire,West,Yes,0.85185,129,129,0.79030,0.91339
2022,Not included in this version of the questionnaire,East,Yes,0.85179,40,40,0.74028,0.96330
2022,1st Quintile,West,Yes,0.87847,2948,3372,0.86744,0.88950
2022,1st Quintile,West,No,0.12153,424,3372,0.11050,0.13256
2022,1st Quintile,East,Yes,0.90599,1008,1120,0.88889,0.92309
2022,1st Quintile,East,No,0.09401,112,1120,0.07691,0.11111
2022,2nd Quintile,West,Yes,0.93665,2616,2870,0.92774,0.94557
2022,2nd Quintile,West,No,0.06335,254,2870,0.05443,0.07226
2022,2nd Quintile,East,Yes,0.93976,912,991,0.92494,0.95458
2022,2nd Quintile,East,No,0.06024,79,991,0.04542,0.07506
2022,3rd Quintile,West,Yes,0.94148,2403,2568,0.93240,0.95056
2022,3rd Quintile,West,No,0.05852,165,2568,0.04944,0.06760
2022,3rd Quintile,East,Yes,0.95084,767,817,0.93601,0.96568
2022,3rd Quintile,East,No,0.04916,50,817,0.03432,0.06399
2022,4th Quintile,West,Yes,0.95707,2648,2775,0.94953,0.96461
2022,4th Quintile,West,No,0.04293,127,2775,0.03539,0.05047
2022,4th Quintile,East,Yes,0.96222,609,609,0.94707,0.97738
2022,5th Quintile,West,Yes,0.96539,3141,3247,0.95910,0.97168
2022,5th Quintile,West,No,0.03461,106,3247,0.02832,0.04090
2022,5th Quintile,East,Yes,0.97003,564,564,0.95595,0.98412
