year,migback,plj0046,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Indirect migration background,Very concerned,0.06849,122,760,0.05052,0.08646
2002,Indirect migration background,Somewhat concerned,0.17377,351,760,0.14682,0.20073
2002,Indirect migration background,Not concerned at all,0.12955,287,760,0.10566,0.15345
2003,No migration background,Very concerned,0.24284,4954,18646,0.23669,0.24900
2003,No migration background,Somewhat concerned,0.39654,8758,18646,0.38952,0.40356
2003,No migration background,Not concerned at all,0.20527,4934,18646,0.19947,0.21107
2003,Direct migration background,Very concerned,0.15662,432,2577,0.14258,0.17065
2003,Direct migration background,Somewhat concerned,0.42447,1196,2577,0.40538,0.44356
2003,Direct migration background,Not concerned at all,0.34938,949,2577,0.33097,0.36779
2003,Indirect migration background,Very concerned,0.07437,128,760,0.05571,0.09304
2003,Indirect migration background,Somewhat concerned,0.16793,348,760,0.14133,0.19452
2003,Indirect migration background,Not concerned at all,0.14215,284,760,0.11730,0.16699
2004,No migration background,Very concerned,0.29687,5938,18159,0.29022,0.30351
2004,No migration background,Somewhat concerned,0.37314,8156,18159,0.36611,0.38018
2004,No migration background,Not concerned at all,0.17641,4065,18159,0.17087,0.18195
2004,Direct migration background,Very concerned,0.20557,531,2488,0.18969,0.22145
2004,Direct migration background,Somewhat concerned,0.45279,1220,2488,0.43323,0.47236
2004,Direct migration background,Not concerned at all,0.28303,737,2488,0.26532,0.30073
2004,Indirect migration background,Very concerned,0.11609,188,786,0.09368,0.13850
2004,Indirect migration background,Somewhat concerned,0.17201,343,786,0.14561,0.19841
2004,Indirect migration background,Not concerned at all,0.12592,255,786,0.10271,0.14913
2005,No migration background,Very concerned,0.34879,6783,17388,0.34171,0.35588
2005,No migration background,Somewhat concerned,0.35623,7462,17388,0.34911,0.36335
2005,No migration background,Not concerned at all,0.14455,3143,17388,0.13933,0.14978
2005,Direct migration background,Very concerned,0.27071,635,2333,0.25268,0.28874
2005,Direct migration background,Somewhat concerned,0.42753,1092,2333,0.40745,0.44761
2005,Direct migration background,Not concerned at all,0.25242,606,2333,0.23479,0.27006
2005,Indirect migration background,Very concerned,0.14056,231,813,0.11666,0.16447
2005,Indirect migration background,Somewhat concerned,0.19986,364,813,0.17235,0.22736
2005,Indirect migration background,Not concerned at all,0.11461,218,813,0.09270,0.13652
2006,No migration background,Very concerned,0.30088,6379,18627,0.29429,0.30746
2006,No migration background,Somewhat concerned,0.37072,8343,18627,0.36379,0.37766
2006,No migration background,Not concerned at all,0.17010,3905,18627,0.16471,0.17550
2006,Direct migration background,Very concerned,0.24393,594,2341,0.22653,0.26133
2006,Direct migration background,Somewhat concerned,0.41517,1051,2341,0.39521,0.43514
2006,Direct migration background,Not concerned at all,0.28369,696,2341,0.26543,0.30196
2006,Indirect migration background,Very concerned,0.13281,217,799,0.10926,0.15636
2006,Indirect migration background,Somewhat concerned,0.17939,342,799,0.15277,0.20601
2006,Indirect migration background,Not concerned at all,0.12683,240,799,0.10374,0.14992
2007,No migration background,Very concerned,0.27249,5360,17464,0.26589,0.27909
2007,No migration background,Somewhat concerned,0.37107,7819,17464,0.36390,0.37823
2007,No migration background,Not concerned at all,0.19899,4285,17464,0.19307,0.20491
2007,Direct migration background,Very concerned,0.19149,423,2093,0.17463,0.20835
2007,Direct migration background,Somewhat concerned,0.43856,965,2093,0.41729,0.45982
2007,Direct migration background,Not concerned at all,0.32017,705,2093,0.30017,0.34016
2007,Indirect migration background,Very concerned,0.10384,181,771,0.08229,0.12539
2007,Indirect migration background,Somewhat concerned,0.21051,332,771,0.18171,0.23930
2007,Indirect migration background,Not concerned at all,0.15126,258,771,0.12595,0.17657
2008,No migration background,Very concerned,0.23974,4429,16565,0.23324,0.24624
2008,No migration background,Somewhat concerned,0.37938,7475,16565,0.37199,0.38677
2008,No migration background,Not concerned at all,0.23045,4661,16565,0.22404,0.23687
2008,Direct migration background,Very concerned,0.15974,322,1885,0.14320,0.17629
2008,Direct migration background,Somewhat concerned,0.42459,812,1885,0.40227,0.44691
2008,Direct migration background,Not concerned at all,0.37886,751,1885,0.35696,0.40077
2008,Indirect migration background,Very concerned,0.10223,154,761,0.08070,0.12377
2008,Indirect migration background,Somewhat concerned,0.22068,341,761,0.19120,0.25017
2008,Indirect migration background,Not concerned at all,0.16737,266,761,0.14083,0.19391
2009,No migration background,Very concerned,0.20293,3484,15561,0.19661,0.20925
2009,No migration background,Somewhat concerned,0.36804,6790,15561,0.36046,0.37562
2009,No migration background,Not concerned at all,0.27905,5287,15561,0.27200,0.28609
2009,Direct migration background,Very concerned,0.14287,231,1646,0.12596,0.15978
2009,Direct migration background,Somewhat concerned,0.41163,711,1646,0.38785,0.43541
2009,Direct migration background,Not concerned at all,0.41198,704,1646,0.38820,0.43577
2009,Indirect migration background,Very concerned,0.08013,118,700,0.06000,0.10026
2009,Indirect migration background,Somewhat concerned,0.23599,286,700,0.20451,0.26747
2009,Indirect migration background,Not concerned at all,0.20587,296,700,0.17589,0.23584
2010,No migration background,Very concerned,0.20119,4446,19794,0.19561,0.20678
2010,No migration background,Somewhat concerned,0.36189,8177,19794,0.35519,0.36858
2010,No migration background,Not concerned at all,0.29198,7171,19794,0.28564,0.29831
2010,Direct migration background,Very concerned,0.16634,446,2903,0.15279,0.17988
2010,Direct migration background,Somewhat concerned,0.39059,1213,2903,0.37284,0.40835
2010,Direct migration background,Not concerned at all,0.39867,1244,2903,0.38086,0.41649
2010,Indirect migration background,Very concerned,0.09154,204,1097,0.07447,0.10862
2010,Indirect migration background,Somewhat concerned,0.19110,439,1097,0.16782,0.21438
2010,Indirect migration background,Not concerned at all,0.18172,454,1097,0.15889,0.20455
2011,No migration background,Very concerned,0.19901,4326,17704,0.19313,0.20489
2011,No migration background,Somewhat concerned,0.33042,7558,17704,0.32349,0.33735
2011,No migration background,Not concerned at all,0.25075,5820,17704,0.24436,0.25713
2011,Direct migration background,Very concerned,0.13122,322,1969,0.11630,0.14613
2011,Direct migration background,Somewhat concerned,0.36042,885,1969,0.33921,0.38163
2011,Direct migration background,Not concerned at all,0.31672,762,1969,0.29617,0.33727
2011,Indirect migration background,Very concerned,0.06619,133,783,0.04877,0.08362
2011,Indirect migration background,Somewhat concerned,0.18020,336,783,0.15326,0.20714
2011,Indirect migration background,Not concerned at all,0.14797,314,783,0.12308,0.17285
2012,No migration background,Very concerned,0.16001,3386,17625,0.15460,0.16542
2012,No migration background,Somewhat concerned,0.32055,7183,17625,0.31366,0.32744
2012,No migration background,Not concerned at all,0.30925,7056,17625,0.30243,0.31608
2012,Direct migration background,Very concerned,0.11361,267,1962,0.09956,0.12765
2012,Direct migration background,Somewhat concerned,0.35060,822,1962,0.32948,0.37172
2012,Direct migration background,Not concerned at all,0.36389,873,1962,0.34259,0.38518
2012,Indirect migration background,Very concerned,0.05152,108,773,0.03593,0.06711
2012,Indirect migration background,Somewhat concerned,0.15564,278,773,0.13007,0.18121
2012,Indirect migration background,Not concerned at all,0.18991,387,773,0.16224,0.21758
2013,No migration background,Very concerned,0.17982,3590,16348,0.17393,0.18571
2013,No migration background,Somewhat concerned,0.32748,6777,16348,0.32028,0.33467
2013,No migration background,Not concerned at all,0.27799,5981,16348,0.27112,0.28486
2013,Direct migration background,Very concerned,0.09012,301,1709,0.07654,0.10370
2013,Direct migration background,Somewhat concerned,0.19322,693,1709,0.17449,0.21194
2013,Direct migration background,Not concerned at all,0.21430,715,1709,0.19484,0.23376
2013,Indirect migration background,Very concerned,0.04366,128,696,0.02847,0.05885
2013,Indirect migration background,Somewhat concerned,0.08807,257,696,0.06700,0.10914
2013,Indirect migration background,Not concerned at all,0.10927,311,696,0.08607,0.13246
2014,No migration background,Very concerned,0.23291,5254,20045,0.22705,0.23876
2014,No migration background,Somewhat concerned,0.35414,8297,20045,0.34752,0.36076
2014,No migration background,Not concerned at all,0.26982,6494,20045,0.26368,0.27597
2014,Direct migration background,Very concerned,0.19573,1107,5156,0.18490,0.20656
2014,Direct migration background,Somewhat concerned,0.41181,2340,5156,0.39838,0.42525
2014,Direct migration background,Not concerned at all,0.34369,1709,5156,0.33072,0.35665
2014,Indirect migration background,Very concerned,0.12056,418,1704,0.10509,0.13602
2014,Indirect migration background,Somewhat concerned,0.19364,659,1704,0.17487,0.21240
2014,Indirect migration background,Not concerned at all,0.17287,627,1704,0.15491,0.19083
2015,No migration background,Very concerned,0.28587,6160,18924,0.27943,0.29230
2015,No migration background,Somewhat concerned,0.35581,7947,18924,0.34899,0.36263
2015,No migration background,Not concerned at all,0.21173,4817,18924,0.20590,0.21755
2015,Direct migration background,Very concerned,0.23941,1284,4364,0.22675,0.25207
2015,Direct migration background,Somewhat concerned,0.34737,1924,4364,0.33324,0.36150
2015,Direct migration background,Not concerned at all,0.23299,1156,4364,0.22044,0.24553
2015,Indirect migration background,Very concerned,0.13092,428,1552,0.11413,0.14771
2015,Indirect migration background,Somewhat concerned,0.19668,650,1552,0.17690,0.21646
2015,Indirect migration background,Not concerned at all,0.15179,474,1552,0.13393,0.16964
2016,No migration background,Very concerned,0.40667,8154,17721,0.39944,0.41391
2016,No migration background,Somewhat concerned,0.32584,6809,17721,0.31894,0.33274
2016,No migration background,Not concerned at all,0.12320,2758,17721,0.11836,0.12804
2016,Direct migration background,Very concerned,0.37569,2025,4848,0.36206,0.38933
2016,Direct migration background,Somewhat concerned,0.36353,1995,4848,0.34999,0.37707
2016,Direct migration background,Not concerned at all,0.15789,828,4848,0.14762,0.16815
2016,Indirect migration background,Very concerned,0.15869,538,1462,0.13996,0.17743
2016,Indirect migration background,Somewhat concerned,0.22613,602,1462,0.20468,0.24758
2016,Indirect migration background,Not concerned at all,0.11137,322,1462,0.09524,0.12750
2017,No migration background,Very concerned,0.33331,7572,20049,0.32679,0.33984
2017,No migration background,Somewhat concerned,0.36186,8528,20049,0.35521,0.36852
2017,No migration background,Not concerned at all,0.15981,3949,20049,0.15473,0.16488
2017,Direct migration background,Very concerned,0.31415,1712,4705,0.30089,0.32742
2017,Direct migration background,Somewhat concerned,0.39634,2094,4705,0.38236,0.41031
2017,Direct migration background,Not concerned at all,0.18523,899,4705,0.17413,0.19633
2017,Indirect migration background,Very concerned,0.14699,497,1627,0.12978,0.16420
2017,Indirect migration background,Somewhat concerned,0.21470,692,1627,0.19474,0.23465
2017,Indirect migration background,Not concerned at all,0.13971,438,1627,0.12286,0.15656
2018,No migration background,Very concerned,0.27913,6016,19386,0.27281,0.28544
2018,No migration background,Somewhat concerned,0.36767,8365,19386,0.36088,0.37445
2018,No migration background,Not concerned at all,0.21364,5005,19386,0.20787,0.21941
2018,Direct migration background,Very concerned,0.24329,1333,4513,0.23077,0.25581
2018,Direct migration background,Somewhat concerned,0.41944,2053,4513,0.40504,0.43384
2018,Direct migration background,Not concerned at all,0.23301,1127,4513,0.22067,0.24534
2018,Indirect migration background,Very concerned,0.11754,386,1625,0.10188,0.13320
2018,Indirect migration background,Somewhat concerned,0.23179,710,1625,0.21127,0.25231
2018,Indirect migration background,Not concerned at all,0.16582,529,1625,0.14773,0.18390
2019,No migration background,Very concerned,0.25684,5703,20091,0.25080,0.26288
2019,No migration background,Somewhat concerned,0.36816,8559,20091,0.36150,0.37483
2019,No migration background,Not concerned at all,0.23046,5829,20091,0.22464,0.23628
2019,Direct migration background,Very concerned,0.22377,1076,3917,0.21072,0.23682
2019,Direct migration background,Somewhat concerned,0.42380,1819,3917,0.40832,0.43927
2019,Direct migration background,Not concerned at all,0.24318,1022,3917,0.22975,0.25662
2019,Indirect migration background,Very concerned,0.11982,386,1563,0.10371,0.13592
2019,Indirect migration background,Somewhat concerned,0.20593,649,1563,0.18587,0.22598
2019,Indirect migration background,Not concerned at all,0.18219,528,1563,0.16304,0.20133
2020,No migration background,Very concerned,0.22933,4676,18500,0.22327,0.23539
2020,No migration background,Somewhat concerned,0.34598,7303,18500,0.33913,0.35284
2020,No migration background,Not concerned at all,0.27695,6521,18500,0.27050,0.28339
2020,Direct migration background,Very concerned,0.18741,1068,5443,0.17704,0.19778
2020,Direct migration background,Somewhat concerned,0.40330,2338,5443,0.39026,0.41633
2020,Direct migration background,Not concerned at all,0.29226,2037,5443,0.28018,0.30434
2020,Indirect migration background,Very concerned,0.11286,298,1533,0.09701,0.12870
2020,Indirect migration background,Somewhat concerned,0.18803,595,1533,0.16846,0.20759
2020,Indirect migration background,Not concerned at all,0.19845,640,1533,0.17847,0.21842
2021,No migration background,Very concerned,0.20549,2767,13164,0.19859,0.21239
2021,No migration background,Somewhat concerned,0.32997,5003,13164,0.32194,0.33800
2021,No migration background,Not concerned at all,0.31725,5394,13164,0.30930,0.32520
2021,Direct migration background,Very concerned,0.18579,638,3001,0.17187,0.19970
2021,Direct migration background,Somewhat concerned,0.35434,1254,3001,0.33722,0.37146
2021,Direct migration background,Not concerned at all,0.32021,1109,3001,0.30352,0.33691
2021,Indirect migration background,Very concerned,0.08640,137,935,0.06838,0.10442
2021,Indirect migration background,Somewhat concerned,0.15639,313,935,0.13310,0.17969
2021,Indirect migration background,Not concerned at all,0.23217,485,935,0.20509,0.25925
