year,sampreg,sex,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,East,female,Yes,0.08120,204,2354,0.07016,0.09223
2009,East,female,No,0.79723,2150,2354,0.78099,0.81348
2010,West,male,Yes,0.09291,845,8399,0.08670,0.09912
2010,West,male,No,0.73644,7554,8399,0.72702,0.74586
2010,West,female,Yes,0.07993,863,10097,0.07464,0.08522
2010,West,female,No,0.76575,9234,10097,0.75749,0.77401
2010,East,male,Yes,0.08724,230,2510,0.07620,0.09828
2010,East,male,No,0.78928,2280,2510,0.77332,0.80524
2010,East,female,Yes,0.09219,288,2961,0.08177,0.10261
2010,East,female,No,0.78839,2673,2961,0.77368,0.80311
2011,West,male,Yes,0.08244,950,9971,0.07704,0.08784
2011,West,male,No,0.74075,9021,9971,0.73215,0.74935
2011,West,female,Yes,0.07757,1079,12090,0.07281,0.08234
2011,West,female,No,0.76372,11011,12090,0.75615,0.77129
2011,East,male,Yes,0.07367,242,2879,0.06412,0.08321
2011,East,male,No,0.78595,2637,2879,0.77096,0.80093
2011,East,female,Yes,0.07814,307,3432,0.06916,0.08712
2011,East,female,No,0.79624,3125,3432,0.78277,0.80972
2012,West,male,Yes,0.08278,945,9734,0.07730,0.08825
2012,West,male,No,0.74400,8789,9734,0.73533,0.75267
2012,West,female,Yes,0.07898,1082,11728,0.07410,0.08387
2012,West,female,No,0.76380,10646,11728,0.75611,0.77148
2012,East,male,Yes,0.07586,241,2819,0.06608,0.08563
2012,East,male,No,0.78746,2578,2819,0.77235,0.80256
2012,East,female,Yes,0.05718,266,3353,0.04932,0.06504
2012,East,female,No,0.81022,3087,3353,0.79694,0.82349
2013,West,male,Yes,0.09000,1266,11195,0.08470,0.09530
2013,West,male,No,0.73775,9929,11195,0.72960,0.74590
2013,West,female,Yes,0.07973,1385,13320,0.07513,0.08433
2013,West,female,No,0.76504,11935,13320,0.75784,0.77224
2013,East,male,Yes,0.07068,232,2787,0.06117,0.08020
2013,East,male,No,0.79227,2555,2787,0.77721,0.80734
2013,East,female,Yes,0.05955,277,3319,0.05150,0.06760
2013,East,female,No,0.81300,3042,3319,0.79974,0.82627
2014,West,male,Yes,0.09215,1089,9889,0.08645,0.09785
2014,West,male,No,0.74073,8800,9889,0.73209,0.74937
2014,West,female,Yes,0.08320,1256,11608,0.07818,0.08823
2014,West,female,No,0.76297,10352,11608,0.75524,0.77071
2014,East,male,Yes,0.06803,210,2543,0.05825,0.07782
2014,East,male,No,0.78704,2333,2543,0.77113,0.80296
2014,East,female,Yes,0.06953,273,3040,0.06048,0.07857
2014,East,female,No,0.79130,2767,3040,0.77686,0.80575
2015,West,male,Yes,0.08714,1065,9842,0.08157,0.09272
2015,West,male,No,0.74781,8777,9842,0.73923,0.75639
2015,West,female,Yes,0.08206,1215,11538,0.07705,0.08707
2015,West,female,No,0.76634,10323,11538,0.75861,0.77406
2015,East,male,Yes,0.06424,194,2468,0.05456,0.07391
2015,East,male,No,0.79205,2274,2468,0.77603,0.80806
2015,East,female,Yes,0.06645,263,2938,0.05744,0.07546
2015,East,female,No,0.79048,2675,2938,0.77577,0.80520
2016,West,male,Yes,0.09129,1071,10282,0.08572,0.09685
2016,West,male,No,0.73999,9211,10282,0.73151,0.74847
2016,West,female,Yes,0.07993,1111,11436,0.07496,0.08490
2016,West,female,No,0.76763,10325,11436,0.75989,0.77537
2016,East,male,Yes,0.06293,187,2586,0.05357,0.07229
2016,East,male,No,0.78336,2399,2586,0.76748,0.79924
2016,East,female,Yes,0.06891,214,2952,0.05977,0.07805
2016,East,female,No,0.78767,2738,2952,0.77291,0.80242
2017,West,male,Yes,0.09278,1334,11615,0.08750,0.09805
2017,West,male,No,0.73655,10281,11615,0.72854,0.74456
2017,West,female,Yes,0.07923,1278,12730,0.07454,0.08393
2017,West,female,No,0.76726,11452,12730,0.75992,0.77460
2017,East,male,Yes,0.07173,241,2905,0.06234,0.08111
2017,East,male,No,0.77362,2664,2905,0.75840,0.78885
2017,East,female,Yes,0.06927,259,3265,0.06056,0.07799
2017,East,female,No,0.78080,3006,3265,0.76661,0.79499
2018,West,male,Yes,0.08760,1300,11050,0.08233,0.09287
2018,West,male,No,0.74908,9750,11050,0.74100,0.75716
2018,West,female,Yes,0.07446,1217,12147,0.06980,0.07913
2018,West,female,No,0.77571,10930,12147,0.76829,0.78313
2018,East,male,Yes,0.05816,236,2825,0.04953,0.06680
2018,East,male,No,0.77645,2589,2825,0.76108,0.79182
2018,East,female,Yes,0.06847,253,3184,0.05969,0.07724
2018,East,female,No,0.78396,2931,3184,0.76966,0.79826
2019,West,male,Yes,0.08335,1219,11308,0.07825,0.08844
2019,West,male,No,0.74544,10089,11308,0.73741,0.75347
2019,West,female,Yes,0.07374,1127,11688,0.06900,0.07847
2019,West,female,No,0.76998,10561,11688,0.76235,0.77761
2019,East,male,Yes,0.06465,197,2897,0.05569,0.07361
2019,East,male,No,0.77798,2700,2897,0.76285,0.79312
2019,East,female,Yes,0.06652,246,3102,0.05775,0.07529
2019,East,female,No,0.78534,2856,3102,0.77089,0.79980
2020,West,male,Yes,0.08618,1297,11766,0.08111,0.09126
2020,West,male,No,0.73993,10469,11766,0.73200,0.74785
2020,West,female,Yes,0.07500,1228,11805,0.07024,0.07975
2020,West,female,No,0.76648,10577,11805,0.75885,0.77411
2020,East,male,Yes,0.06502,205,2843,0.05595,0.07408
2020,East,male,No,0.78134,2638,2843,0.76614,0.79654
2020,East,female,Yes,0.05916,236,2981,0.05069,0.06764
2020,East,female,No,0.78448,2745,2981,0.76972,0.79924
2021,West,male,Yes,0.07833,873,7596,0.07229,0.08437
2021,West,male,No,0.74464,6723,7596,0.73483,0.75445
2021,West,female,Yes,0.07989,843,8019,0.07395,0.08582
2021,West,female,No,0.75543,7176,8019,0.74603,0.76484
2021,East,male,Yes,0.07840,167,1857,0.06617,0.09063
2021,East,male,No,0.75234,1690,1857,0.73270,0.77198
2021,East,female,Yes,0.06002,168,2030,0.04969,0.07036
2021,East,female,No,0.77463,1862,2030,0.75645,0.79281
2022,West,male,Yes,0.08685,1350,10790,0.08153,0.09216
2022,West,male,No,0.72829,9440,10790,0.71989,0.73668
2022,West,female,Yes,0.07967,1413,11183,0.07465,0.08468
2022,West,female,No,0.74751,9770,11183,0.73946,0.75556
2022,East,male,Yes,0.08371,294,2776,0.07340,0.09401
2022,East,male,No,0.74446,2482,2776,0.72824,0.76069
2022,East,female,Yes,0.05834,316,3063,0.05003,0.06664
2022,East,female,No,0.78086,2747,3063,0.76620,0.79551
