year,bula_h,pgisced97,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Berlin,Primary Level,No,0.82590,35,35,0.69844,0.95336
1984,Berlin,Lower Secondary Level,No,0.89701,88,88,0.83314,0.96088
1984,Berlin,Upper Secondary Level,No,0.91351,167,167,0.87075,0.95627
1984,Berlin,Second Stage of Tertiary Education,No,0.88735,32,32,0.77606,0.99865
1985,Schleswig-Holstein,Lower Secondary Level,No,0.82299,70,70,0.73294,0.91305
1985,Schleswig-Holstein,Upper Secondary Level,No,0.93032,183,183,0.89333,0.96731
1985,Hamburg,Lower Secondary Level,No,0.78335,46,46,0.66298,0.90371
1985,Hamburg,Upper Secondary Level,No,0.93457,136,136,0.89285,0.97628
1985,Lower Saxony,Primary Level,No,0.81294,46,46,0.69900,0.92688
1985,Lower Saxony,Lower Secondary Level,Yes,0.18803,64,309,0.14439,0.23167
1985,Lower Saxony,Lower Secondary Level,No,0.81197,245,309,0.76833,0.85561
1985,Lower Saxony,Upper Secondary Level,Yes,0.08818,53,542,0.06428,0.11207
1985,Lower Saxony,Upper Secondary Level,No,0.91182,489,542,0.88793,0.93572
1985,Lower Saxony,First Stage of Tertiary Education,No,0.97514,69,69,0.93813,1.01215
1985,Lower Saxony,Second Stage of Tertiary Education,No,0.95760,72,72,0.91073,1.00447
1985,Bremen,Lower Secondary Level,No,0.88501,32,32,0.77271,0.99731
1985,Bremen,Upper Secondary Level,No,0.94309,60,60,0.88397,1.00220
1985,North Rhine-Westphalia,Pre-primary Level,Yes,0.99403,61,61,0.97454,1.01352
1985,North Rhine-Westphalia,Primary Level,No,0.96939,246,246,0.94783,0.99096
1985,North Rhine-Westphalia,Lower Secondary Level,Yes,0.17164,140,755,0.14473,0.19856
1985,North Rhine-Westphalia,Lower Secondary Level,No,0.82669,615,755,0.79968,0.85371
1985,North Rhine-Westphalia,Upper Secondary Level,Yes,0.08871,140,1396,0.07379,0.10363
1985,North Rhine-Westphalia,Upper Secondary Level,No,0.91123,1256,1396,0.89630,0.92615
1985,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.79109,68,68,0.69375,0.88844
1985,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.90955,136,136,0.86117,0.95794
1985,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.90992,199,199,0.87004,0.94980
1985,Hesse,Primary Level,No,0.89126,87,87,0.82547,0.95706
1985,Hesse,Lower Secondary Level,Yes,0.15397,49,324,0.11461,0.19333
1985,Hesse,Lower Secondary Level,No,0.84543,275,324,0.80601,0.88486
1985,Hesse,Upper Secondary Level,Yes,0.07030,40,513,0.04815,0.09244
1985,Hesse,Upper Secondary Level,No,0.92553,473,513,0.90279,0.94827
1985,Hesse,First Stage of Tertiary Education,No,0.94097,50,50,0.87498,1.00696
1985,Hesse,Second Stage of Tertiary Education,No,0.88202,77,77,0.80950,0.95455
1985,"Rhineland-Palatinate, Saarland",Primary Level,No,0.84872,49,49,0.74736,0.95009
1985,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Yes,0.14190,43,265,0.09981,0.18400
1985,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.85810,222,265,0.81600,0.90019
1985,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.95747,334,334,0.93579,0.97914
1985,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,No,0.91009,33,33,0.81097,1.00920
1985,Baden-Wuerttemberg,Primary Level,No,0.94476,238,238,0.91568,0.97385
1985,Baden-Wuerttemberg,Lower Secondary Level,Yes,0.14575,87,604,0.11759,0.17392
1985,Baden-Wuerttemberg,Lower Secondary Level,No,0.85089,517,604,0.82246,0.87932
1985,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.06572,67,860,0.04915,0.08229
1985,Baden-Wuerttemberg,Upper Secondary Level,No,0.93273,793,860,0.91598,0.94948
1985,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,No,0.71884,38,38,0.57398,0.86370
1985,Baden-Wuerttemberg,First Stage of Tertiary Education,No,0.92955,101,101,0.87940,0.97971
1985,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.97023,109,109,0.93818,1.00228
1985,Bavaria,Primary Level,No,0.83082,76,76,0.74597,0.91567
1985,Bavaria,Lower Secondary Level,Yes,0.16446,88,533,0.13296,0.19596
1985,Bavaria,Lower Secondary Level,No,0.83252,445,533,0.80079,0.86425
1985,Bavaria,Upper Secondary Level,Yes,0.07309,72,936,0.05640,0.08977
1985,Bavaria,Upper Secondary Level,No,0.92210,864,936,0.90492,0.93928
1985,Bavaria,Post-secondary Non-tertiary Level,No,0.92550,42,42,0.84512,1.00588
1985,Bavaria,First Stage of Tertiary Education,No,0.93862,112,112,0.89396,0.98327
1985,Bavaria,Second Stage of Tertiary Education,No,0.93045,134,134,0.88721,0.97368
1985,Berlin,Lower Secondary Level,No,0.90224,74,74,0.83411,0.97037
1985,Berlin,Upper Secondary Level,No,0.92907,148,148,0.88757,0.97057
1985,Berlin,Second Stage of Tertiary Education,No,0.96154,35,35,0.89690,1.02618
1986,Schleswig-Holstein,Lower Secondary Level,No,0.83255,63,63,0.73961,0.92549
1986,Schleswig-Holstein,Upper Secondary Level,No,0.92210,168,168,0.88145,0.96275
1986,Hamburg,Lower Secondary Level,No,0.83130,45,45,0.72064,0.94195
1986,Hamburg,Upper Secondary Level,No,0.94569,123,123,0.90547,0.98590
1986,Lower Saxony,Primary Level,No,0.88300,48,48,0.79111,0.97489
1986,Lower Saxony,Lower Secondary Level,Yes,0.19882,76,315,0.15467,0.24297
1986,Lower Saxony,Lower Secondary Level,No,0.80118,239,315,0.75703,0.84533
1986,Lower Saxony,Upper Secondary Level,Yes,0.08798,50,533,0.06391,0.11205
1986,Lower Saxony,Upper Secondary Level,No,0.91202,483,533,0.88795,0.93609
1986,Lower Saxony,First Stage of Tertiary Education,No,0.98947,69,69,0.96521,1.01373
1986,Lower Saxony,Second Stage of Tertiary Education,No,0.92392,76,76,0.86392,0.98393
1986,Bremen,Upper Secondary Level,No,0.94833,56,56,0.88983,1.00683
1986,North Rhine-Westphalia,Primary Level,No,0.94039,234,234,0.90999,0.97079
1986,North Rhine-Westphalia,Lower Secondary Level,Yes,0.16459,128,703,0.13716,0.19203
1986,North Rhine-Westphalia,Lower Secondary Level,No,0.83334,575,703,0.80577,0.86091
1986,North Rhine-Westphalia,Upper Secondary Level,Yes,0.09161,137,1352,0.07622,0.10699
1986,North Rhine-Westphalia,Upper Secondary Level,No,0.90839,1215,1352,0.89301,0.92378
1986,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.83797,70,70,0.75103,0.92492
1986,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.93382,134,134,0.89157,0.97607
1986,North Rhine-Westphalia,Second Stage of Tertiary Education,Yes,0.12926,32,219,0.08472,0.17380
1986,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.87074,187,219,0.82620,0.91528
1986,Hesse,Primary Level,No,0.87081,75,75,0.79439,0.94723
1986,Hesse,Lower Secondary Level,Yes,0.17297,50,295,0.12974,0.21621
1986,Hesse,Lower Secondary Level,No,0.82493,245,295,0.78149,0.86837
1986,Hesse,Upper Secondary Level,Yes,0.07741,38,470,0.05322,0.10160
1986,Hesse,Upper Secondary Level,No,0.92259,432,470,0.89840,0.94678
1986,Hesse,First Stage of Tertiary Education,No,0.93380,48,48,0.86272,1.00488
1986,Hesse,Second Stage of Tertiary Education,No,0.89419,78,78,0.82549,0.96290
1986,"Rhineland-Palatinate, Saarland",Primary Level,No,0.84698,44,44,0.73938,0.95459
1986,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Yes,0.13319,42,259,0.09173,0.17465
1986,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.86681,217,259,0.82535,0.90827
1986,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.95081,342,342,0.92785,0.97376
1986,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,No,0.92752,33,33,0.83768,1.01736
1986,Baden-Wuerttemberg,Primary Level,No,0.89346,210,210,0.85163,0.93529
1986,Baden-Wuerttemberg,Lower Secondary Level,Yes,0.14469,99,597,0.11645,0.17293
1986,Baden-Wuerttemberg,Lower Secondary Level,No,0.85531,498,597,0.82707,0.88355
1986,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.07471,69,851,0.05703,0.09238
1986,Baden-Wuerttemberg,Upper Secondary Level,No,0.92529,782,851,0.90762,0.94297
1986,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,No,0.88409,42,42,0.78611,0.98208
1986,Baden-Wuerttemberg,First Stage of Tertiary Education,No,0.94026,94,94,0.89210,0.98843
1986,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.97556,111,111,0.94671,1.00442
1986,Bavaria,Primary Level,No,0.80397,68,68,0.70891,0.89903
1986,Bavaria,Lower Secondary Level,Yes,0.13916,77,491,0.10851,0.16980
1986,Bavaria,Lower Secondary Level,No,0.86040,414,491,0.82972,0.89109
1986,Bavaria,Upper Secondary Level,Yes,0.08359,81,882,0.06531,0.10186
1986,Bavaria,Upper Secondary Level,No,0.91641,801,882,0.89814,0.93469
1986,Bavaria,Post-secondary Non-tertiary Level,No,0.84680,35,35,0.72573,0.96787
1986,Bavaria,First Stage of Tertiary Education,No,0.94208,102,102,0.89652,0.98763
1986,Bavaria,Second Stage of Tertiary Education,No,0.90947,128,128,0.85957,0.95938
1986,Berlin,Lower Secondary Level,No,0.92005,70,70,0.85606,0.98405
1986,Berlin,Upper Secondary Level,No,0.91738,152,152,0.87347,0.96129
1986,Berlin,Second Stage of Tertiary Education,No,0.92196,31,31,0.82598,1.01795
1987,Schleswig-Holstein,Lower Secondary Level,No,0.84850,59,59,0.75623,0.94077
1987,Schleswig-Holstein,Upper Secondary Level,No,0.93403,172,172,0.89683,0.97124
1987,Hamburg,Lower Secondary Level,No,0.84232,40,40,0.72793,0.95670
1987,Hamburg,Upper Secondary Level,No,0.95844,112,112,0.92131,0.99557
1987,Lower Saxony,Primary Level,No,0.79540,45,45,0.67620,0.91460
1987,Lower Saxony,Lower Secondary Level,Yes,0.16143,67,297,0.11951,0.20334
1987,Lower Saxony,Lower Secondary Level,No,0.83857,230,297,0.79666,0.88049
1987,Lower Saxony,Upper Secondary Level,Yes,0.07869,49,555,0.05627,0.10111
1987,Lower Saxony,Upper Secondary Level,No,0.92131,506,555,0.89889,0.94373
1987,Lower Saxony,First Stage of Tertiary Education,No,0.97032,69,69,0.92999,1.01066
1987,Lower Saxony,Second Stage of Tertiary Education,No,0.96301,74,74,0.91972,1.00631
1987,Bremen,Upper Secondary Level,No,0.94636,55,55,0.88627,1.00645
1987,North Rhine-Westphalia,Pre-primary Level,Yes,0.99759,80,80,0.98678,1.00840
1987,North Rhine-Westphalia,Primary Level,No,0.95125,221,221,0.92280,0.97971
1987,North Rhine-Westphalia,Lower Secondary Level,Yes,0.13961,125,688,0.11370,0.16553
1987,North Rhine-Westphalia,Lower Secondary Level,No,0.86039,563,688,0.83447,0.88630
1987,North Rhine-Westphalia,Upper Secondary Level,Yes,0.09560,141,1338,0.07984,0.11136
1987,North Rhine-Westphalia,Upper Secondary Level,No,0.90440,1197,1338,0.88864,0.92016
1987,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.81390,70,70,0.72206,0.90573
1987,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.93657,134,134,0.89515,0.97800
1987,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.88423,193,193,0.83897,0.92948
1987,Hesse,Primary Level,No,0.88025,78,78,0.80773,0.95277
1987,Hesse,Lower Secondary Level,Yes,0.13580,48,290,0.09631,0.17530
1987,Hesse,Lower Secondary Level,No,0.86420,242,290,0.82470,0.90369
1987,Hesse,Upper Secondary Level,Yes,0.07327,36,479,0.04991,0.09663
1987,Hesse,Upper Secondary Level,No,0.92389,443,479,0.90012,0.94767
1987,Hesse,First Stage of Tertiary Education,No,0.94732,46,46,0.88204,1.01259
1987,Hesse,Second Stage of Tertiary Education,No,0.92124,84,84,0.86329,0.97919
1987,"Rhineland-Palatinate, Saarland",Primary Level,No,0.85454,44,44,0.74917,0.95992
1987,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Yes,0.10889,38,257,0.07073,0.14705
1987,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.89111,219,257,0.85295,0.92927
1987,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.93808,340,340,0.91242,0.96373
1987,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,No,0.86455,34,34,0.74780,0.98131
1987,Baden-Wuerttemberg,Primary Level,No,0.91747,212,212,0.88034,0.95460
1987,Baden-Wuerttemberg,Lower Secondary Level,Yes,0.14412,107,600,0.11599,0.17225
1987,Baden-Wuerttemberg,Lower Secondary Level,No,0.85588,493,600,0.82775,0.88401
1987,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.06631,58,830,0.04937,0.08325
1987,Baden-Wuerttemberg,Upper Secondary Level,No,0.93369,772,830,0.91675,0.95063
1987,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,No,0.82531,43,43,0.71047,0.94014
1987,Baden-Wuerttemberg,First Stage of Tertiary Education,No,0.94622,97,97,0.90110,0.99135
1987,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.96389,105,105,0.92803,0.99975
1987,Bavaria,Primary Level,No,0.94970,63,63,0.89530,1.00411
1987,Bavaria,Lower Secondary Level,Yes,0.10603,75,466,0.07804,0.13401
1987,Bavaria,Lower Secondary Level,No,0.89373,391,466,0.86572,0.92175
1987,Bavaria,Upper Secondary Level,Yes,0.06740,69,874,0.05077,0.08403
1987,Bavaria,Upper Secondary Level,No,0.93260,805,874,0.91597,0.94923
1987,Bavaria,Post-secondary Non-tertiary Level,No,0.79445,34,34,0.65658,0.93233
1987,Bavaria,First Stage of Tertiary Education,No,0.92445,90,90,0.86955,0.97936
1987,Bavaria,Second Stage of Tertiary Education,No,0.85928,121,121,0.79707,0.92150
1987,Berlin,Lower Secondary Level,No,0.89853,72,72,0.82830,0.96877
1987,Berlin,Upper Secondary Level,No,0.92499,154,154,0.88325,0.96673
1987,Berlin,Second Stage of Tertiary Education,No,0.94312,33,33,0.86287,1.02337
1988,Schleswig-Holstein,Lower Secondary Level,No,0.86904,59,59,0.78222,0.95586
1988,Schleswig-Holstein,Upper Secondary Level,No,0.93172,170,170,0.89370,0.96975
1988,Hamburg,Lower Secondary Level,No,0.87912,37,37,0.77263,0.98561
1988,Hamburg,Upper Secondary Level,No,0.98192,101,101,0.95580,1.00803
1988,Lower Saxony,Primary Level,No,0.94031,44,44,0.86950,1.01112
1988,Lower Saxony,Lower Secondary Level,Yes,0.14132,55,277,0.10022,0.18241
1988,Lower Saxony,Lower Secondary Level,No,0.85868,222,277,0.81759,0.89978
1988,Lower Saxony,Upper Secondary Level,Yes,0.08934,49,523,0.06487,0.11381
1988,Lower Saxony,Upper Secondary Level,No,0.91066,474,523,0.88619,0.93513
1988,Lower Saxony,First Stage of Tertiary Education,No,0.97455,68,68,0.93684,1.01226
1988,Lower Saxony,Second Stage of Tertiary Education,No,0.92402,72,72,0.86239,0.98565
1988,Bremen,Upper Secondary Level,No,0.98018,50,50,0.94115,1.01921
1988,North Rhine-Westphalia,Primary Level,No,0.91626,192,192,0.87698,0.95555
1988,North Rhine-Westphalia,Lower Secondary Level,Yes,0.13974,119,658,0.11323,0.16625
1988,North Rhine-Westphalia,Lower Secondary Level,No,0.86026,539,658,0.83375,0.88677
1988,North Rhine-Westphalia,Upper Secondary Level,Yes,0.10279,137,1276,0.08612,0.11946
1988,North Rhine-Westphalia,Upper Secondary Level,No,0.89721,1139,1276,0.88054,0.91388
1988,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.76425,69,69,0.66336,0.86514
1988,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.98149,139,139,0.95900,1.00398
1988,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.94287,192,192,0.90996,0.97579
1988,Hesse,Primary Level,No,0.95485,76,76,0.90786,1.00184
1988,Hesse,Lower Secondary Level,Yes,0.11536,43,284,0.07814,0.15258
1988,Hesse,Lower Secondary Level,No,0.88464,241,284,0.84742,0.92186
1988,Hesse,Upper Secondary Level,Yes,0.06622,31,458,0.04342,0.08902
1988,Hesse,Upper Secondary Level,No,0.93378,427,458,0.91098,0.95658
1988,Hesse,First Stage of Tertiary Education,No,0.97903,43,43,0.93569,1.02236
1988,Hesse,Second Stage of Tertiary Education,No,0.96172,78,78,0.91886,1.00457
1988,"Rhineland-Palatinate, Saarland",Primary Level,No,0.83204,43,43,0.71898,0.94510
1988,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Yes,0.11411,34,239,0.07372,0.15450
1988,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.88589,205,239,0.84550,0.92628
1988,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.92791,333,333,0.90008,0.95573
1988,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,No,0.93568,34,34,0.85198,1.01938
1988,Baden-Wuerttemberg,Primary Level,No,0.93866,201,201,0.90541,0.97192
1988,Baden-Wuerttemberg,Lower Secondary Level,Yes,0.15859,110,577,0.12876,0.18843
1988,Baden-Wuerttemberg,Lower Secondary Level,No,0.84141,467,577,0.81157,0.87124
1988,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.06251,57,807,0.04580,0.07923
1988,Baden-Wuerttemberg,Upper Secondary Level,No,0.93749,750,807,0.92077,0.95420
1988,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,No,0.84789,43,43,0.73927,0.95650
1988,Baden-Wuerttemberg,First Stage of Tertiary Education,No,0.98132,98,98,0.95437,1.00826
1988,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.94642,98,98,0.90160,0.99123
1988,Bavaria,Primary Level,No,0.91335,60,60,0.84156,0.98513
1988,Bavaria,Lower Secondary Level,Yes,0.12625,74,447,0.09542,0.15707
1988,Bavaria,Lower Secondary Level,No,0.87375,373,447,0.84293,0.90458
1988,Bavaria,Upper Secondary Level,Yes,0.07819,78,833,0.05995,0.09644
1988,Bavaria,Upper Secondary Level,No,0.92181,755,833,0.90356,0.94005
1988,Bavaria,Post-secondary Non-tertiary Level,No,0.89886,38,38,0.80171,0.99602
1988,Bavaria,First Stage of Tertiary Education,No,0.92086,82,82,0.86207,0.97965
1988,Bavaria,Second Stage of Tertiary Education,No,0.92335,116,116,0.87473,0.97197
1988,Berlin,Lower Secondary Level,No,0.90720,70,70,0.83874,0.97566
1988,Berlin,Upper Secondary Level,No,0.98630,140,140,0.96698,1.00562
1988,Berlin,Second Stage of Tertiary Education,No,0.88655,31,31,0.77306,1.00004
1989,Schleswig-Holstein,Lower Secondary Level,No,0.86995,51,51,0.77672,0.96319
1989,Schleswig-Holstein,Upper Secondary Level,No,0.91809,153,153,0.87450,0.96169
1989,Hamburg,Lower Secondary Level,No,0.89325,35,35,0.78945,0.99705
1989,Hamburg,Upper Secondary Level,No,0.93526,92,92,0.88470,0.98582
1989,Lower Saxony,Primary Level,No,0.92134,42,42,0.83894,1.00375
1989,Lower Saxony,Lower Secondary Level,Yes,0.13564,50,263,0.09418,0.17710
1989,Lower Saxony,Lower Secondary Level,No,0.86436,213,263,0.82290,0.90582
1989,Lower Saxony,Upper Secondary Level,Yes,0.07740,44,503,0.05402,0.10077
1989,Lower Saxony,Upper Secondary Level,No,0.92260,459,503,0.89923,0.94598
1989,Lower Saxony,First Stage of Tertiary Education,No,0.96696,61,61,0.92173,1.01219
1989,Lower Saxony,Second Stage of Tertiary Education,No,0.89712,67,67,0.82382,0.97041
1989,Bremen,Upper Secondary Level,No,0.95939,52,52,0.90522,1.01356
1989,North Rhine-Westphalia,Primary Level,No,0.91810,181,181,0.87804,0.95816
1989,North Rhine-Westphalia,Lower Secondary Level,Yes,0.15379,111,633,0.12566,0.18191
1989,North Rhine-Westphalia,Lower Secondary Level,No,0.84621,522,633,0.81809,0.87434
1989,North Rhine-Westphalia,Upper Secondary Level,Yes,0.09558,128,1248,0.07926,0.11189
1989,North Rhine-Westphalia,Upper Secondary Level,No,0.90442,1120,1248,0.88811,0.92074
1989,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.83309,68,68,0.74380,0.92238
1989,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.96144,130,130,0.92822,0.99467
1989,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.93616,188,188,0.90113,0.97120
1989,Hesse,Primary Level,No,0.90878,71,71,0.84133,0.97623
1989,Hesse,Lower Secondary Level,Yes,0.11273,37,271,0.07500,0.15045
1989,Hesse,Lower Secondary Level,No,0.88727,234,271,0.84955,0.92500
1989,Hesse,Upper Secondary Level,Yes,0.07689,37,470,0.05278,0.10100
1989,Hesse,Upper Secondary Level,No,0.92311,433,470,0.89900,0.94722
1989,Hesse,First Stage of Tertiary Education,No,0.99104,41,41,0.96184,1.02024
1989,Hesse,Second Stage of Tertiary Education,No,0.94056,75,75,0.88669,0.99444
1989,"Rhineland-Palatinate, Saarland",Primary Level,No,0.81362,38,38,0.68815,0.93910
1989,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.88666,194,194,0.84194,0.93139
1989,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.92924,310,310,0.90065,0.95783
1989,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,No,0.89534,33,33,0.78928,1.00140
1989,Baden-Wuerttemberg,Primary Level,No,0.96858,190,190,0.94371,0.99345
1989,Baden-Wuerttemberg,Lower Secondary Level,Yes,0.14432,92,544,0.11476,0.17388
1989,Baden-Wuerttemberg,Lower Secondary Level,No,0.85568,452,544,0.82612,0.88524
1989,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.07426,57,785,0.05591,0.09262
1989,Baden-Wuerttemberg,Upper Secondary Level,No,0.92574,728,785,0.90738,0.94409
1989,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,No,0.87946,47,47,0.78537,0.97355
1989,Baden-Wuerttemberg,First Stage of Tertiary Education,No,0.98158,91,91,0.95380,1.00936
1989,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.92709,96,96,0.87481,0.97937
1989,Bavaria,Lower Secondary Level,Yes,0.11477,58,419,0.08422,0.14533
1989,Bavaria,Lower Secondary Level,No,0.88470,361,419,0.85408,0.91532
1989,Bavaria,Upper Secondary Level,Yes,0.06974,67,813,0.05222,0.08726
1989,Bavaria,Upper Secondary Level,No,0.93026,746,813,0.91274,0.94778
1989,Bavaria,Post-secondary Non-tertiary Level,No,0.89228,42,42,0.79738,0.98718
1989,Bavaria,First Stage of Tertiary Education,No,0.95627,85,85,0.91254,1.00000
1989,Bavaria,Second Stage of Tertiary Education,No,0.94286,124,124,0.90184,0.98388
