year,bula_h,regtyp,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Lower Saxony,Rural regions,Yes,0.15046,90,596,0.12173,0.17918
1985,Lower Saxony,Rural regions,No,0.84954,506,596,0.82082,0.87827
1985,Bremen,Urban regions,No,0.91812,104,104,0.86517,0.97107
1985,North Rhine-Westphalia,Urban regions,Yes,0.13255,399,2886,0.12018,0.14492
1985,North Rhine-Westphalia,Urban regions,No,0.86745,2487,2886,0.85508,0.87982
1985,North Rhine-Westphalia,Rural regions,No,0.85480,63,63,0.76710,0.94249
1985,Hesse,Urban regions,Yes,0.11977,115,973,0.09935,0.14018
1985,Hesse,Urban regions,No,0.88023,858,973,0.85982,0.90065
1985,Hesse,Rural regions,No,0.88786,136,136,0.83463,0.94109
1985,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.10636,73,632,0.08231,0.13042
1985,"Rhineland-Palatinate, Saarland",Urban regions,No,0.89364,559,632,0.86958,0.91769
1985,"Rhineland-Palatinate, Saarland",Rural regions,No,0.92007,127,127,0.87271,0.96742
1985,Baden-Wuerttemberg,Urban regions,Yes,0.11852,195,1741,0.10334,0.13371
1985,Baden-Wuerttemberg,Urban regions,No,0.88148,1546,1741,0.86629,0.89666
1985,Baden-Wuerttemberg,Rural regions,No,0.89775,266,266,0.86127,0.93423
1985,Bavaria,Urban regions,Yes,0.11959,125,1006,0.09953,0.13965
1985,Bavaria,Urban regions,No,0.88041,881,1006,0.86035,0.90047
1985,Bavaria,Rural regions,Yes,0.09548,85,886,0.07612,0.11485
1985,Bavaria,Rural regions,No,0.90452,801,886,0.88515,0.92388
1985,Berlin,Urban regions,Yes,0.08563,39,364,0.05684,0.11441
1985,Berlin,Urban regions,No,0.91437,325,364,0.88559,0.94316
1986,Schleswig-Holstein,Urban regions,No,0.90973,138,138,0.86174,0.95772
1986,Schleswig-Holstein,Rural regions,No,0.88388,150,150,0.83244,0.93532
1986,Hamburg,Urban regions,No,0.89016,220,220,0.84875,0.93158
1986,Lower Saxony,Urban regions,Yes,0.13554,81,531,0.10640,0.16468
1986,Lower Saxony,Urban regions,No,0.86446,450,531,0.83532,0.89360
1986,Lower Saxony,Rural regions,Yes,0.14014,86,577,0.11179,0.16849
1986,Lower Saxony,Rural regions,No,0.85986,491,577,0.83151,0.88821
1986,Bremen,Urban regions,No,0.93812,100,100,0.89066,0.98558
1986,North Rhine-Westphalia,Urban regions,Yes,0.13227,404,2787,0.11969,0.14485
1986,North Rhine-Westphalia,Urban regions,No,0.86773,2383,2787,0.85515,0.88031
1986,North Rhine-Westphalia,Rural regions,No,0.82968,58,58,0.73209,0.92727
1986,Hesse,Urban regions,Yes,0.12387,114,906,0.10241,0.14533
1986,Hesse,Urban regions,No,0.87613,792,906,0.85467,0.89759
1986,Hesse,Rural regions,No,0.86666,124,124,0.80658,0.92674
1986,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.09082,67,623,0.06823,0.11340
1986,"Rhineland-Palatinate, Saarland",Urban regions,No,0.90918,556,623,0.88660,0.93177
1986,"Rhineland-Palatinate, Saarland",Rural regions,No,0.89961,129,129,0.84754,0.95167
1986,Baden-Wuerttemberg,Urban regions,Yes,0.10833,197,1686,0.09349,0.12317
1986,Baden-Wuerttemberg,Urban regions,No,0.89167,1489,1686,0.87683,0.90651
1986,Baden-Wuerttemberg,Rural regions,Yes,0.11083,36,301,0.07530,0.14635
1986,Baden-Wuerttemberg,Rural regions,No,0.88917,265,301,0.85365,0.92470
1986,Bavaria,Urban regions,Yes,0.13652,140,953,0.11471,0.15833
1986,Bavaria,Urban regions,No,0.86348,813,953,0.84167,0.88529
1986,Bavaria,Rural regions,Yes,0.08378,79,820,0.06480,0.10275
1986,Bavaria,Rural regions,No,0.91622,741,820,0.89725,0.93520
1986,Berlin,Urban regions,Yes,0.09468,36,352,0.06405,0.12530
1986,Berlin,Urban regions,No,0.90532,316,352,0.87470,0.93595
1987,Schleswig-Holstein,Urban regions,No,0.94375,138,138,0.90517,0.98233
1987,Schleswig-Holstein,Rural regions,No,0.90068,155,155,0.85345,0.94792
1987,Hamburg,Urban regions,No,0.90058,196,196,0.85858,0.94258
1987,Lower Saxony,Urban regions,Yes,0.12271,82,532,0.09480,0.15061
1987,Lower Saxony,Urban regions,No,0.87729,450,532,0.84939,0.90520
1987,Lower Saxony,Rural regions,Yes,0.10872,71,573,0.08321,0.13423
1987,Lower Saxony,Rural regions,No,0.89128,502,573,0.86577,0.91679
1987,Bremen,Urban regions,No,0.92659,93,93,0.87330,0.97989
1987,North Rhine-Westphalia,Urban regions,Yes,0.12858,407,2756,0.11608,0.14108
1987,North Rhine-Westphalia,Urban regions,No,0.87142,2349,2756,0.85892,0.88392
1987,North Rhine-Westphalia,Rural regions,No,0.86808,60,60,0.78173,0.95443
1987,Hesse,Urban regions,Yes,0.10644,108,910,0.08639,0.12648
1987,Hesse,Urban regions,No,0.89356,802,910,0.87352,0.91361
1987,Hesse,Rural regions,No,0.84601,124,124,0.78222,0.90980
1987,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.09996,68,620,0.07633,0.12359
1987,"Rhineland-Palatinate, Saarland",Urban regions,No,0.90004,552,620,0.87641,0.92367
1987,"Rhineland-Palatinate, Saarland",Rural regions,No,0.89504,127,127,0.84153,0.94856
1987,Baden-Wuerttemberg,Urban regions,Yes,0.10397,197,1672,0.08934,0.11861
1987,Baden-Wuerttemberg,Urban regions,No,0.89603,1475,1672,0.88139,0.91066
1987,Baden-Wuerttemberg,Rural regions,No,0.91649,262,262,0.88293,0.95006
1987,Bavaria,Urban regions,Yes,0.12116,133,919,0.10005,0.14227
1987,Bavaria,Urban regions,No,0.87884,786,919,0.85773,0.89995
1987,Bavaria,Rural regions,Yes,0.07491,80,804,0.05670,0.09311
1987,Bavaria,Rural regions,No,0.92509,724,804,0.90689,0.94330
1987,Berlin,Urban regions,Yes,0.10017,42,362,0.06920,0.13114
1987,Berlin,Urban regions,No,0.89983,320,362,0.86886,0.93080
1988,Schleswig-Holstein,Urban regions,No,0.95723,137,137,0.92322,0.99124
1988,Schleswig-Holstein,Rural regions,No,0.88893,153,153,0.83897,0.93888
1988,Hamburg,Urban regions,No,0.92100,178,178,0.88126,0.96074
1988,Lower Saxony,Urban regions,Yes,0.12697,76,518,0.09827,0.15567
1988,Lower Saxony,Urban regions,No,0.87303,442,518,0.84433,0.90173
1988,Lower Saxony,Rural regions,Yes,0.10574,66,530,0.07953,0.13194
1988,Lower Saxony,Rural regions,No,0.89426,464,530,0.86806,0.92047
1988,Bremen,Urban regions,No,0.90242,89,89,0.84042,0.96442
1988,North Rhine-Westphalia,Urban regions,Yes,0.12915,374,2621,0.11631,0.14199
1988,North Rhine-Westphalia,Urban regions,No,0.87085,2247,2621,0.85801,0.88369
1988,North Rhine-Westphalia,Rural regions,No,0.89491,62,62,0.81795,0.97187
1988,Hesse,Urban regions,Yes,0.08616,90,860,0.06740,0.10493
1988,Hesse,Urban regions,No,0.91384,770,860,0.89507,0.93260
1988,Hesse,Rural regions,No,0.90547,128,128,0.85458,0.95635
1988,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.09581,65,605,0.07234,0.11928
1988,"Rhineland-Palatinate, Saarland",Urban regions,No,0.90419,540,605,0.88072,0.92766
1988,"Rhineland-Palatinate, Saarland",Rural regions,No,0.88258,116,116,0.82374,0.94142
1988,Baden-Wuerttemberg,Urban regions,Yes,0.10664,189,1634,0.09167,0.12161
1988,Baden-Wuerttemberg,Urban regions,No,0.89336,1445,1634,0.87839,0.90833
1988,Baden-Wuerttemberg,Rural regions,No,0.91590,228,228,0.87980,0.95200
1988,Bavaria,Urban regions,Yes,0.11087,125,890,0.09023,0.13151
1988,Bavaria,Urban regions,No,0.88913,765,890,0.86849,0.90977
1988,Bavaria,Rural regions,Yes,0.09816,89,757,0.07695,0.11936
1988,Bavaria,Rural regions,No,0.90184,668,757,0.88064,0.92305
1988,Berlin,Urban regions,Yes,0.06867,35,333,0.04147,0.09588
1988,Berlin,Urban regions,No,0.93133,298,333,0.90412,0.95853
1989,Schleswig-Holstein,Urban regions,No,0.86672,131,131,0.80829,0.92514
1989,Schleswig-Holstein,Rural regions,No,0.88987,133,133,0.83647,0.94328
1989,Hamburg,Urban regions,No,0.90563,174,174,0.86206,0.94919
1989,Lower Saxony,Urban regions,Yes,0.12220,71,494,0.09329,0.15111
1989,Lower Saxony,Urban regions,No,0.87780,423,494,0.84889,0.90671
1989,Lower Saxony,Rural regions,Yes,0.08297,52,502,0.05882,0.10713
1989,Lower Saxony,Rural regions,No,0.91703,450,502,0.89287,0.94118
1989,Bremen,Urban regions,No,0.93606,97,97,0.88712,0.98500
1989,North Rhine-Westphalia,Urban regions,Yes,0.13290,363,2546,0.11971,0.14609
1989,North Rhine-Westphalia,Urban regions,No,0.86710,2183,2546,0.85391,0.88029
1989,North Rhine-Westphalia,Rural regions,No,0.89993,60,60,0.82335,0.97650
1989,Hesse,Urban regions,Yes,0.09503,88,863,0.07545,0.11461
1989,Hesse,Urban regions,No,0.90497,775,863,0.88539,0.92455
1989,Hesse,Rural regions,No,0.87069,115,115,0.80909,0.93228
1989,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.09773,59,581,0.07357,0.12190
1989,"Rhineland-Palatinate, Saarland",Urban regions,No,0.90227,522,581,0.87810,0.92643
1989,"Rhineland-Palatinate, Saarland",Rural regions,No,0.87746,98,98,0.81221,0.94272
1989,Baden-Wuerttemberg,Urban regions,Yes,0.10764,169,1573,0.09232,0.12296
1989,Baden-Wuerttemberg,Urban regions,No,0.89236,1404,1573,0.87704,0.90768
1989,Baden-Wuerttemberg,Rural regions,No,0.90291,217,217,0.86342,0.94239
1989,Bavaria,Urban regions,Yes,0.11527,112,861,0.09393,0.13661
1989,Bavaria,Urban regions,No,0.88473,749,861,0.86339,0.90607
1989,Bavaria,Rural regions,Yes,0.08459,75,753,0.06470,0.10448
1989,Bavaria,Rural regions,No,0.91541,678,753,0.89552,0.93530
1989,Berlin,Urban regions,Yes,0.08002,33,329,0.05065,0.10938
1989,Berlin,Urban regions,No,0.91998,296,329,0.89062,0.94935
1990,Schleswig-Holstein,Urban regions,No,0.87384,122,122,0.81468,0.93300
1990,Schleswig-Holstein,Rural regions,No,0.89262,127,127,0.83856,0.94668
1990,Hamburg,Urban regions,No,0.95154,155,155,0.91762,0.98545
1990,Lower Saxony,Urban regions,Yes,0.10094,53,479,0.07393,0.12794
1990,Lower Saxony,Urban regions,No,0.89906,426,479,0.87206,0.92607
1990,Lower Saxony,Rural regions,Yes,0.08429,52,499,0.05989,0.10869
1990,Lower Saxony,Rural regions,No,0.91571,447,499,0.89131,0.94011
1990,Bremen,Urban regions,No,0.92518,92,92,0.87112,0.97924
1990,North Rhine-Westphalia,Urban regions,Yes,0.12466,343,2485,0.11167,0.13765
1990,North Rhine-Westphalia,Urban regions,No,0.87534,2142,2485,0.86235,0.88833
1990,North Rhine-Westphalia,Rural regions,No,0.87252,61,61,0.78813,0.95691
1990,Hesse,Urban regions,Yes,0.11196,92,851,0.09076,0.13316
1990,Hesse,Urban regions,No,0.88804,759,851,0.86684,0.90924
1990,Hesse,Rural regions,No,0.88213,119,119,0.82395,0.94031
1990,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.09762,56,562,0.07306,0.12218
1990,"Rhineland-Palatinate, Saarland",Urban regions,No,0.90238,506,562,0.87782,0.92694
1990,"Rhineland-Palatinate, Saarland",Rural regions,No,0.91667,101,101,0.86250,0.97084
1990,Baden-Wuerttemberg,Urban regions,Yes,0.10497,162,1553,0.08972,0.12022
1990,Baden-Wuerttemberg,Urban regions,No,0.89503,1391,1553,0.87978,0.91028
1990,Baden-Wuerttemberg,Rural regions,No,0.92499,218,218,0.88994,0.96003
1990,Bavaria,Urban regions,Yes,0.11594,107,837,0.09424,0.13764
1990,Bavaria,Urban regions,No,0.88406,730,837,0.86236,0.90576
1990,Bavaria,Rural regions,Yes,0.09246,74,761,0.07186,0.11305
1990,Bavaria,Rural regions,No,0.90754,687,761,0.88695,0.92814
1990,Berlin,Urban regions,Yes,0.10484,74,608,0.08047,0.12922
1990,Berlin,Urban regions,No,0.89516,534,608,0.87078,0.91953
1990,Brandenburg,Urban regions,No,0.84329,52,52,0.74352,0.94306
1990,Brandenburg,Rural regions,Yes,0.10138,76,654,0.07823,0.12453
1990,Brandenburg,Rural regions,No,0.89862,578,654,0.87547,0.92177
1990,Mecklenburg-Western Pomerania,Urban regions,No,0.90343,46,46,0.81712,0.98973
1990,Mecklenburg-Western Pomerania,Rural regions,Yes,0.09751,51,449,0.07004,0.12498
1990,Mecklenburg-Western Pomerania,Rural regions,No,0.90249,398,449,0.87502,0.92996
1990,Saxony,Urban regions,Yes,0.10057,77,691,0.07813,0.12302
1990,Saxony,Urban regions,No,0.89943,614,691,0.87698,0.92187
1990,Saxony,Rural regions,Yes,0.07252,57,620,0.05209,0.09295
1990,Saxony,Rural regions,No,0.92748,563,620,0.90705,0.94791
1990,Saxony-Anhalt,Urban regions,No,0.92637,158,158,0.88551,0.96722
1990,Saxony-Anhalt,Rural regions,Yes,0.10159,66,632,0.07801,0.12516
1990,Saxony-Anhalt,Rural regions,No,0.89841,566,632,0.87484,0.92199
1990,Thuringa,Urban regions,No,0.89671,182,182,0.85237,0.94105
1990,Thuringa,Rural regions,Yes,0.07339,44,517,0.05089,0.09589
1990,Thuringa,Rural regions,No,0.92661,473,517,0.90411,0.94911
1991,Schleswig-Holstein,Urban regions,No,0.88034,127,127,0.82367,0.93701
1991,Schleswig-Holstein,Rural regions,No,0.85033,129,129,0.78853,0.91213
1991,Hamburg,Urban regions,No,0.96894,150,150,0.94108,0.99679
1991,Lower Saxony,Urban regions,Yes,0.11479,63,473,0.08603,0.14355
1991,Lower Saxony,Urban regions,No,0.88521,410,473,0.85645,0.91397
1991,Lower Saxony,Rural regions,Yes,0.10816,65,500,0.08091,0.13541
1991,Lower Saxony,Rural regions,No,0.89184,435,500,0.86459,0.91909
1991,Bremen,Urban regions,No,0.95477,90,90,0.91159,0.99794
1991,North Rhine-Westphalia,Urban regions,Yes,0.12727,352,2479,0.11414,0.14039
1991,North Rhine-Westphalia,Urban regions,No,0.87273,2127,2479,0.85961,0.88586
1991,North Rhine-Westphalia,Rural regions,No,0.87495,58,58,0.78908,0.96082
1991,Hesse,Urban regions,Yes,0.11091,87,828,0.08951,0.13232
1991,Hesse,Urban regions,No,0.88909,741,828,0.86768,0.91049
1991,Hesse,Rural regions,No,0.88590,121,121,0.82902,0.94279
1991,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.07796,53,551,0.05556,0.10037
1991,"Rhineland-Palatinate, Saarland",Urban regions,No,0.92204,498,551,0.89963,0.94444
1991,"Rhineland-Palatinate, Saarland",Rural regions,No,0.90951,106,106,0.85463,0.96438
1991,Baden-Wuerttemberg,Urban regions,Yes,0.10307,171,1555,0.08795,0.11819
1991,Baden-Wuerttemberg,Urban regions,No,0.89693,1384,1555,0.88181,0.91205
1991,Baden-Wuerttemberg,Rural regions,No,0.89448,215,215,0.85332,0.93564
1991,Bavaria,Urban regions,Yes,0.09717,87,825,0.07694,0.11739
1991,Bavaria,Urban regions,No,0.90283,738,825,0.88261,0.92306
1991,Bavaria,Rural regions,Yes,0.09583,85,778,0.07514,0.11653
1991,Bavaria,Rural regions,No,0.90417,693,778,0.88347,0.92486
1991,Berlin,Urban regions,Yes,0.13157,96,593,0.10434,0.15880
1991,Berlin,Urban regions,No,0.86843,497,593,0.84120,0.89566
1991,Brandenburg,Urban regions,No,0.87306,34,34,0.75947,0.98664
1991,Brandenburg,Rural regions,Yes,0.09352,76,628,0.07073,0.11631
1991,Brandenburg,Rural regions,No,0.90648,552,628,0.88369,0.92927
1991,Mecklenburg-Western Pomerania,Urban regions,No,0.87331,44,44,0.77389,0.97273
1991,Mecklenburg-Western Pomerania,Rural regions,Yes,0.07881,42,413,0.05279,0.10483
1991,Mecklenburg-Western Pomerania,Rural regions,No,0.92119,371,413,0.89517,0.94721
1991,Saxony,Urban regions,Yes,0.11561,81,616,0.09034,0.14088
1991,Saxony,Urban regions,No,0.88439,535,616,0.85912,0.90966
1991,Saxony,Rural regions,Yes,0.07993,64,588,0.05799,0.10187
1991,Saxony,Rural regions,No,0.92007,524,588,0.89813,0.94201
1991,Saxony-Anhalt,Urban regions,No,0.86591,146,146,0.81045,0.92137
1991,Saxony-Anhalt,Rural regions,Yes,0.08675,64,612,0.06443,0.10907
1991,Saxony-Anhalt,Rural regions,No,0.91325,548,612,0.89093,0.93557
1991,Thuringa,Urban regions,No,0.88435,167,167,0.83570,0.93300
1991,Thuringa,Rural regions,Yes,0.07263,44,485,0.04951,0.09575
1991,Thuringa,Rural regions,No,0.92737,441,485,0.90425,0.95049
1992,Schleswig-Holstein,Urban regions,No,0.89392,125,125,0.83972,0.94812
1992,Schleswig-Holstein,Rural regions,No,0.87150,112,112,0.80925,0.93376
1992,Hamburg,Urban regions,No,0.95539,139,139,0.92094,0.98983
1992,Lower Saxony,Urban regions,Yes,0.08855,50,470,0.06284,0.11427
1992,Lower Saxony,Urban regions,No,0.91145,420,470,0.88573,0.93716
1992,Lower Saxony,Rural regions,Yes,0.11441,66,497,0.08639,0.14242
1992,Lower Saxony,Rural regions,No,0.88559,431,497,0.85758,0.91361
1992,Bremen,Urban regions,No,0.95110,87,87,0.90551,0.99668
1992,North Rhine-Westphalia,Urban regions,Yes,0.11985,333,2456,0.10700,0.13270
1992,North Rhine-Westphalia,Urban regions,No,0.88015,2123,2456,0.86730,0.89300
1992,North Rhine-Westphalia,Rural regions,No,0.88565,58,58,0.80303,0.96827
1992,Hesse,Urban regions,Yes,0.11590,96,812,0.09387,0.13793
1992,Hesse,Urban regions,No,0.88410,716,812,0.86207,0.90613
1992,Hesse,Rural regions,No,0.91760,123,123,0.86880,0.96639
1992,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.09008,63,550,0.06613,0.11403
1992,"Rhineland-Palatinate, Saarland",Urban regions,No,0.90992,487,550,0.88597,0.93387
1992,"Rhineland-Palatinate, Saarland",Rural regions,No,0.91032,99,99,0.85375,0.96689
1992,Baden-Wuerttemberg,Urban regions,Yes,0.10268,161,1520,0.08741,0.11794
1992,Baden-Wuerttemberg,Urban regions,No,0.89732,1359,1520,0.88206,0.91259
1992,Baden-Wuerttemberg,Rural regions,No,0.89336,210,210,0.85151,0.93520
1992,Bavaria,Urban regions,Yes,0.10016,90,840,0.07985,0.12048
1992,Bavaria,Urban regions,No,0.89984,750,840,0.87952,0.92015
1992,Bavaria,Rural regions,Yes,0.08213,79,798,0.06307,0.10119
1992,Bavaria,Rural regions,No,0.91787,719,798,0.89881,0.93693
1992,Berlin,Urban regions,Yes,0.13680,100,584,0.10890,0.16469
1992,Berlin,Urban regions,No,0.86320,484,584,0.83531,0.89110
1992,Brandenburg,Urban regions,No,0.88270,55,55,0.79687,0.96853
1992,Brandenburg,Rural regions,Yes,0.12649,86,581,0.09944,0.15354
1992,Brandenburg,Rural regions,No,0.87351,495,581,0.84646,0.90056
1992,Mecklenburg-Western Pomerania,Urban regions,No,0.82464,41,41,0.70679,0.94249
1992,Mecklenburg-Western Pomerania,Rural regions,Yes,0.10296,52,360,0.07152,0.13439
1992,Mecklenburg-Western Pomerania,Rural regions,No,0.89704,308,360,0.86561,0.92848
1992,Saxony,Urban regions,Yes,0.10380,79,586,0.07908,0.12851
1992,Saxony,Urban regions,No,0.89620,507,586,0.87149,0.92092
1992,Saxony,Rural regions,Yes,0.09965,66,549,0.07457,0.12473
1992,Saxony,Rural regions,No,0.90035,483,549,0.87527,0.92543
1992,Saxony-Anhalt,Urban regions,No,0.93623,157,157,0.89789,0.97458
1992,Saxony-Anhalt,Rural regions,Yes,0.12903,84,585,0.10184,0.15622
1992,Saxony-Anhalt,Rural regions,No,0.87097,501,585,0.84378,0.89816
1992,Thuringa,Urban regions,No,0.89155,155,155,0.84244,0.94066
1992,Thuringa,Rural regions,Yes,0.10190,57,477,0.07472,0.12907
1992,Thuringa,Rural regions,No,0.89810,420,477,0.87093,0.92528
1993,Schleswig-Holstein,Urban regions,No,0.92005,135,135,0.87413,0.96597
1993,Schleswig-Holstein,Rural regions,No,0.87036,120,120,0.81000,0.93071
1993,Hamburg,Urban regions,No,0.96633,134,134,0.93568,0.99699
1993,Lower Saxony,Urban regions,Yes,0.09095,54,471,0.06496,0.11695
1993,Lower Saxony,Urban regions,No,0.90905,417,471,0.88305,0.93504
1993,Lower Saxony,Rural regions,Yes,0.09896,62,508,0.07297,0.12495
1993,Lower Saxony,Rural regions,No,0.90104,446,508,0.87505,0.92703
1993,Bremen,Urban regions,No,0.96709,88,88,0.92960,1.00458
1993,North Rhine-Westphalia,Urban regions,Yes,0.11618,315,2437,0.10346,0.12891
1993,North Rhine-Westphalia,Urban regions,No,0.88382,2122,2437,0.87109,0.89654
1993,North Rhine-Westphalia,Rural regions,No,0.86829,56,56,0.77891,0.95766
1993,Hesse,Urban regions,Yes,0.10542,90,798,0.08410,0.12675
1993,Hesse,Urban regions,No,0.89458,708,798,0.87325,0.91590
1993,Hesse,Rural regions,No,0.90157,119,119,0.84782,0.95532
1993,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.07736,52,532,0.05464,0.10009
1993,"Rhineland-Palatinate, Saarland",Urban regions,No,0.92264,480,532,0.89991,0.94536
1993,"Rhineland-Palatinate, Saarland",Rural regions,No,0.93670,97,97,0.88799,0.98541
1993,Baden-Wuerttemberg,Urban regions,Yes,0.11039,171,1540,0.09473,0.12604
1993,Baden-Wuerttemberg,Urban regions,No,0.88961,1369,1540,0.87396,0.90527
1993,Baden-Wuerttemberg,Rural regions,No,0.90799,213,213,0.86908,0.94690
1993,Bavaria,Urban regions,Yes,0.10037,91,833,0.07995,0.12079
1993,Bavaria,Urban regions,No,0.89963,742,833,0.87921,0.92005
1993,Bavaria,Rural regions,Yes,0.07550,68,786,0.05702,0.09398
1993,Bavaria,Rural regions,No,0.92450,718,786,0.90602,0.94298
1993,Berlin,Urban regions,Yes,0.12460,81,575,0.09758,0.15161
1993,Berlin,Urban regions,No,0.87540,494,575,0.84839,0.90242
1993,Brandenburg,Urban regions,No,0.82765,52,52,0.72399,0.93131
1993,Brandenburg,Rural regions,Yes,0.11350,80,565,0.08732,0.13968
1993,Brandenburg,Rural regions,No,0.88650,485,565,0.86032,0.91268
1993,Mecklenburg-Western Pomerania,Urban regions,No,0.90168,44,44,0.81268,0.99067
1993,Mecklenburg-Western Pomerania,Rural regions,Yes,0.10243,47,356,0.07089,0.13397
1993,Mecklenburg-Western Pomerania,Rural regions,No,0.89757,309,356,0.86603,0.92911
1993,Saxony,Urban regions,Yes,0.12080,85,574,0.09412,0.14749
1993,Saxony,Urban regions,No,0.87920,489,574,0.85251,0.90588
1993,Saxony,Rural regions,Yes,0.10886,75,544,0.08266,0.13505
1993,Saxony,Rural regions,No,0.89114,469,544,0.86495,0.91734
1993,Saxony-Anhalt,Urban regions,No,0.86830,145,145,0.81307,0.92353
1993,Saxony-Anhalt,Rural regions,Yes,0.11890,72,570,0.09230,0.14549
1993,Saxony-Anhalt,Rural regions,No,0.88110,498,570,0.85451,0.90770
1993,Thuringa,Urban regions,No,0.85964,153,153,0.80441,0.91486
1993,Thuringa,Rural regions,Yes,0.12393,68,482,0.09448,0.15338
1993,Thuringa,Rural regions,No,0.87607,414,482,0.84662,0.90552
1994,Schleswig-Holstein,Urban regions,No,0.91910,129,129,0.87186,0.96634
1994,Schleswig-Holstein,Rural regions,No,0.83857,120,120,0.77247,0.90468
1994,Hamburg,Urban regions,No,0.94656,134,134,0.90833,0.98478
1994,Lower Saxony,Urban regions,Yes,0.08470,54,477,0.05969,0.10972
1994,Lower Saxony,Urban regions,No,0.91530,423,477,0.89028,0.94031
1994,Lower Saxony,Rural regions,Yes,0.08377,47,490,0.05922,0.10833
1994,Lower Saxony,Rural regions,No,0.91623,443,490,0.89167,0.94078
1994,Bremen,Urban regions,No,0.95946,84,84,0.91703,1.00189
1994,North Rhine-Westphalia,Urban regions,Yes,0.10550,284,2386,0.09317,0.11783
1994,North Rhine-Westphalia,Urban regions,No,0.89450,2102,2386,0.88217,0.90683
1994,North Rhine-Westphalia,Rural regions,No,0.87923,56,56,0.79311,0.96535
1994,Hesse,Urban regions,Yes,0.09689,90,798,0.07635,0.11743
1994,Hesse,Urban regions,No,0.90311,708,798,0.88257,0.92365
1994,Hesse,Rural regions,No,0.90022,105,105,0.84262,0.95782
1994,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.07069,44,523,0.04870,0.09267
1994,"Rhineland-Palatinate, Saarland",Urban regions,No,0.92931,479,523,0.90733,0.95130
1994,"Rhineland-Palatinate, Saarland",Rural regions,No,0.94680,103,103,0.90325,0.99036
1994,Baden-Wuerttemberg,Urban regions,Yes,0.09797,164,1515,0.08300,0.11295
1994,Baden-Wuerttemberg,Urban regions,No,0.90203,1351,1515,0.88705,0.91700
1994,Baden-Wuerttemberg,Rural regions,No,0.88786,193,193,0.84323,0.93249
1994,Bavaria,Urban regions,Yes,0.09243,78,809,0.07246,0.11240
1994,Bavaria,Urban regions,No,0.90757,731,809,0.88760,0.92754
1994,Bavaria,Rural regions,Yes,0.07281,69,778,0.05454,0.09108
1994,Bavaria,Rural regions,No,0.92719,709,778,0.90892,0.94546
1994,Berlin,Urban regions,Yes,0.12579,72,552,0.09810,0.15348
1994,Berlin,Urban regions,No,0.87421,480,552,0.84652,0.90190
