year,train,pgisced97,quintil_oecd,proportion,n,lower_confidence,upper_confidence
2013,Yes,vocational + Abi,3rd Quintile,0.015384615384615385,44486,0.01424089194167386,0.016528338827556912
2013,Yes,vocational + Abi,2nd Quintile,0.014065934065934066,44486,0.012971593199521963,0.015160274932346169
2013,Yes,vocational + Abi,5th Quintile,0.013626373626373627,44486,0.012549027474360982,0.014703719778386273
2013,Yes,vocational + Abi,1st Quintile,0.01098901098901099,44486,0.010020233017665048,0.011957788960356932
2013,Yes,higher vocational,5th Quintile,0.007912087912087912,44486,0.007088774815818754,0.00873540100835707
2013,Yes,inadequately,1st Quintile,0.005714285714285714,44486,0.005013829539587574,0.006414741888983854
2013,Yes,higher vocational,4th Quintile,0.005274725274725275,44486,0.004601600009739518,0.005947850539711031
2013,Yes,higher vocational,3rd Quintile,0.002197802197802198,44486,0.001762630219524704,0.0026329741760796914
2013,Yes,higher vocational,2nd Quintile,0.0013186813186813187,44486,0.0009814500918439105,0.0016559125455187268
2013,Yes,inadequately,4th Quintile,0.0013186813186813187,44486,0.0009814500918439105,0.0016559125455187268
2013,Yes,inadequately,2nd Quintile,0.0008791208791208791,44486,0.0006037121461099705,0.0011545296121317876
2013,Yes,inadequately,3rd Quintile,0.0008791208791208791,44486,0.0006037121461099705,0.0011545296121317876
2013,Yes,higher vocational,1st Quintile,0.00043956043956043956,44486,0.0002447742231574658,0.0006343466559634133
2013,Yes,inadequately,5th Quintile,0.00043956043956043956,44486,0.0002447742231574658,0.0006343466559634133
2013,No,higher education,5th Quintile,0.13966261278932915,44486,0.13644140402576135,0.14288382155289694
2013,No,middle vocational,4th Quintile,0.13417026284817576,44486,0.13100296594069358,0.13733755975565795
2013,No,middle vocational,3rd Quintile,0.12379582407044157,44486,0.12073527004953616,0.12685637809134698
2013,No,middle vocational,5th Quintile,0.10954186827078156,44486,0.10663957552329921,0.11244416101826392
2013,No,middle vocational,2nd Quintile,0.09249814742164683,44486,0.08980577787217987,0.09519051697111379
2013,No,higher education,4th Quintile,0.05636197201516935,44486,0.05421888305170279,0.058505060978635906
2013,No,middle vocational,1st Quintile,0.0475567760777647,44486,0.04557903176811028,0.049534520387419116
2013,No,higher education,3rd Quintile,0.02798483065254348,44486,0.026452183243062356,0.029517478062024604
2013,No,higher vocational,5th Quintile,0.02563096639204917,44486,0.024162416790481325,0.027099515993617013
2013,No,general elementary,2nd Quintile,0.02471557473519027,44486,0.023272810413641452,0.02615833905673909
2013,No,general elementary,3rd Quintile,0.022884791421472473,44486,0.021495188372415982,0.024274394470528964
2013,No,higher vocational,4th Quintile,0.02236171047469596,44486,0.020987712780317688,0.02373570816907423
2013,No,general elementary,1st Quintile,0.02175144937012336,44486,0.020395906991668773,0.02310699174857795
2013,No,vocational + Abi,5th Quintile,0.0214899088967351,44486,0.02014236061636432,0.022837457177105884
2013,No,vocational + Abi,4th Quintile,0.020400156924284034,44486,0.01908648928973703,0.021713824558831037
2013,No,general elementary,4th Quintile,0.017000130770236693,44486,0.015798842452468206,0.01820141908800518
2013,No,vocational + Abi,3rd Quintile,0.014166775641863912,44486,0.01306857517013822,0.015264976113589604
2013,No,higher vocational,3rd Quintile,0.014166775641863912,44486,0.01306857517013822,0.015264976113589604
2013,No,higher education,2nd Quintile,0.012030861775859814,44486,0.011017733467399858,0.01304399008431977
2013,No,vocational + Abi,2nd Quintile,0.009720587594263546,44486,0.008808850705157545,0.010632324483369546
2013,No,general elementary,5th Quintile,0.008020574517239877,44486,0.007191681532668212,0.008849467501811542
2013,No,higher vocational,2nd Quintile,0.006625691992502507,44486,0.005871787248998244,0.00737959673600677
2013,No,higher education,1st Quintile,0.006320561440216207,44486,0.005584107868211689,0.007057015012220725
2013,No,inadequately,1st Quintile,0.005579530098949479,44486,0.004887335457773256,0.006271724740125701
2013,No,vocational + Abi,1st Quintile,0.004882088836580794,44486,0.004234373018730416,0.005529804654431172
2013,No,inadequately,2nd Quintile,0.004141057495314067,44486,0.003544298551596177,0.004737816439031956
2013,No,higher vocational,1st Quintile,0.002746174970576697,44486,0.002259867041941851,0.0032324828992115425
2013,No,inadequately,3rd Quintile,0.0023538642604943117,44486,0.00190354205525248,0.0028041864657361434
2013,No,inadequately,4th Quintile,0.0010025718146549846,44486,0.0007084790613557665,0.0012966645679542027
2013,No,inadequately,5th Quintile,0.00043590078898042805,44486,0.00024192677859955256,0.0006298747993613036
