year,age_gr,sex,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,30-45 y.,female,No,0.97186,1585,1620,0.96381,0.97992
1987,46-65 y.,male,No,0.99185,1624,1624,0.98747,0.99622
1987,46-65 y.,female,No,0.98797,1561,1561,0.98256,0.99338
1987,66 and older,female,No,0.99621,643,643,0.99145,1.00096
1988,17-29 y.,male,Yes,0.44005,641,1492,0.41485,0.46525
1988,17-29 y.,male,No,0.55843,851,1492,0.53322,0.58363
1988,17-29 y.,female,Yes,0.33386,470,1379,0.30896,0.35876
1988,17-29 y.,female,No,0.66614,909,1379,0.64124,0.69104
1988,30-45 y.,male,Yes,0.06030,71,1444,0.04802,0.07258
1988,30-45 y.,male,No,0.93970,1373,1444,0.92742,0.95198
1988,30-45 y.,female,Yes,0.02532,34,1508,0.01739,0.03325
1988,30-45 y.,female,No,0.97468,1474,1508,0.96675,0.98261
1988,46-65 y.,male,No,0.99497,1573,1573,0.99148,0.99847
1988,46-65 y.,female,No,0.98806,1518,1518,0.98259,0.99353
1989,17-29 y.,male,Yes,0.45943,593,1456,0.43382,0.48504
1989,17-29 y.,male,No,0.54038,863,1456,0.51477,0.56599
1989,17-29 y.,female,Yes,0.32158,439,1370,0.29683,0.34632
1989,17-29 y.,female,No,0.67655,931,1370,0.65177,0.70133
1989,30-45 y.,male,Yes,0.06451,69,1378,0.05154,0.07749
1989,30-45 y.,male,No,0.93549,1309,1378,0.92251,0.94846
1989,30-45 y.,female,Yes,0.02804,35,1464,0.01958,0.03650
1989,30-45 y.,female,No,0.97196,1429,1464,0.96350,0.98042
1989,46-65 y.,male,No,0.99344,1525,1525,0.98939,0.99749
1989,46-65 y.,female,No,0.99275,1440,1440,0.98837,0.99713
1989,66 and older,male,No,0.99305,391,391,0.98480,1.00129
1990,17-29 y.,male,Yes,0.41119,728,1949,0.38934,0.43304
1990,17-29 y.,male,No,0.58748,1221,1949,0.56562,0.60934
1990,17-29 y.,female,Yes,0.30425,561,1905,0.28358,0.32491
1990,17-29 y.,female,No,0.69421,1344,1905,0.67351,0.71491
1990,30-45 y.,male,Yes,0.05611,107,2116,0.04630,0.06592
1990,30-45 y.,male,No,0.94389,2009,2116,0.93408,0.95370
1990,30-45 y.,female,Yes,0.04265,98,2190,0.03418,0.05111
1990,30-45 y.,female,No,0.95735,2092,2190,0.94889,0.96582
1990,46-65 y.,male,Yes,0.01572,31,2151,0.01046,0.02098
1990,46-65 y.,male,No,0.98428,2120,2151,0.97902,0.98954
1990,46-65 y.,female,Yes,0.01718,35,2110,0.01164,0.02273
1990,46-65 y.,female,No,0.98263,2075,2110,0.97706,0.98821
1990,66 and older,male,No,0.99847,551,551,0.99520,1.00174
1991,17-29 y.,male,Yes,0.40539,712,1875,0.38316,0.42762
1991,17-29 y.,male,No,0.59461,1163,1875,0.57238,0.61684
1991,17-29 y.,female,Yes,0.31840,567,1820,0.29699,0.33981
1991,17-29 y.,female,No,0.68057,1253,1820,0.65914,0.70199
1991,30-45 y.,male,Yes,0.07598,143,2112,0.06468,0.08729
1991,30-45 y.,male,No,0.92354,1969,2112,0.91221,0.93488
1991,30-45 y.,female,Yes,0.05751,133,2202,0.04779,0.06724
1991,30-45 y.,female,No,0.94249,2069,2202,0.93276,0.95221
1991,46-65 y.,male,Yes,0.01402,35,2093,0.00899,0.01906
1991,46-65 y.,male,No,0.98598,2058,2093,0.98094,0.99101
1991,46-65 y.,female,Yes,0.01401,33,2039,0.00891,0.01911
1991,46-65 y.,female,No,0.98599,2006,2039,0.98089,0.99109
1991,66 and older,male,No,0.99802,550,550,0.99430,1.00174
1991,66 and older,female,No,0.99937,892,892,0.99772,1.00102
1992,17-29 y.,male,Yes,0.41283,702,1800,0.39008,0.43558
1992,17-29 y.,male,No,0.58717,1098,1800,0.56442,0.60992
1992,17-29 y.,female,Yes,0.33806,591,1773,0.31603,0.36008
1992,17-29 y.,female,No,0.66101,1182,1773,0.63897,0.68305
1992,30-45 y.,male,Yes,0.06700,135,2062,0.05621,0.07780
1992,30-45 y.,male,No,0.93300,1927,2062,0.92220,0.94379
1992,30-45 y.,female,Yes,0.06275,150,2199,0.05261,0.07289
1992,30-45 y.,female,No,0.93725,2049,2199,0.92711,0.94739
1992,46-65 y.,male,No,0.98961,2023,2023,0.98519,0.99403
1992,46-65 y.,female,Yes,0.02161,47,1980,0.01521,0.02802
1992,46-65 y.,female,No,0.97698,1933,1980,0.97037,0.98359
1992,66 and older,female,No,0.99938,898,898,0.99775,1.00101
1993,17-29 y.,male,Yes,0.42873,690,1743,0.40549,0.45197
1993,17-29 y.,male,No,0.57127,1053,1743,0.54803,0.59451
1993,17-29 y.,female,Yes,0.34784,584,1739,0.32545,0.37023
1993,17-29 y.,female,No,0.65148,1155,1739,0.62907,0.67388
1993,30-45 y.,male,Yes,0.05972,125,2044,0.04944,0.07000
1993,30-45 y.,male,No,0.94028,1919,2044,0.93000,0.95056
1993,30-45 y.,female,Yes,0.05550,136,2154,0.04583,0.06517
1993,30-45 y.,female,No,0.94450,2018,2154,0.93483,0.95417
1993,46-65 y.,male,No,0.99002,1999,1999,0.98567,0.99438
1993,46-65 y.,female,No,0.98722,1901,1901,0.98217,0.99227
1994,17-29 y.,male,Yes,0.39562,602,1646,0.37199,0.41925
1994,17-29 y.,male,No,0.60438,1044,1646,0.58075,0.62801
1994,17-29 y.,female,Yes,0.33509,573,1698,0.31263,0.35754
1994,17-29 y.,female,No,0.66475,1125,1698,0.64228,0.68721
1994,30-45 y.,male,Yes,0.06792,133,2032,0.05698,0.07887
1994,30-45 y.,male,No,0.93208,1899,2032,0.92113,0.94302
1994,30-45 y.,female,Yes,0.04965,101,2116,0.04039,0.05891
1994,30-45 y.,female,No,0.95035,2015,2116,0.94109,0.95961
1994,46-65 y.,male,No,0.98349,1944,1944,0.97783,0.98916
1994,46-65 y.,female,No,0.98648,1890,1890,0.98128,0.99169
1994,66 and older,male,No,0.99828,566,566,0.99487,1.00170
1994,66 and older,female,No,0.99744,924,924,0.99419,1.00070
1995,17-29 y.,male,Yes,0.44106,681,1638,0.41700,0.46511
1995,17-29 y.,male,No,0.55894,957,1638,0.53489,0.58300
1995,17-29 y.,female,Yes,0.37106,616,1717,0.34821,0.39392
1995,17-29 y.,female,No,0.62744,1101,1717,0.60456,0.65032
1995,30-45 y.,male,Yes,0.05547,116,2155,0.04580,0.06514
1995,30-45 y.,male,No,0.94423,2039,2155,0.93454,0.95392
1995,30-45 y.,female,Yes,0.05538,125,2284,0.04600,0.06477
1995,30-45 y.,female,No,0.94462,2159,2284,0.93523,0.95400
1995,46-65 y.,male,Yes,0.01824,37,2028,0.01241,0.02407
1995,46-65 y.,male,No,0.98176,1991,2028,0.97593,0.98759
1995,46-65 y.,female,No,0.98773,1913,1913,0.98280,0.99267
1995,66 and older,male,No,0.99597,586,586,0.99084,1.00111
1996,17-29 y.,male,Yes,0.41380,612,1535,0.38915,0.43844
1996,17-29 y.,male,No,0.58620,923,1535,0.56156,0.61085
1996,17-29 y.,female,Yes,0.37972,583,1627,0.35613,0.40330
1996,17-29 y.,female,No,0.61981,1044,1627,0.59621,0.64340
1996,30-45 y.,male,Yes,0.06072,129,2184,0.05070,0.07074
1996,30-45 y.,male,No,0.93928,2055,2184,0.92926,0.94930
1996,30-45 y.,female,Yes,0.05232,117,2251,0.04312,0.06152
1996,30-45 y.,female,No,0.94768,2134,2251,0.93848,0.95688
1996,46-65 y.,male,No,0.99006,1951,1951,0.98565,0.99446
1996,46-65 y.,female,Yes,0.01714,40,1929,0.01134,0.02293
1996,46-65 y.,female,No,0.98222,1889,1929,0.97633,0.98812
1996,66 and older,male,No,0.99216,599,599,0.98508,0.99923
1996,66 and older,female,No,0.99348,943,943,0.98834,0.99862
1997,17-29 y.,male,Yes,0.42407,612,1487,0.39894,0.44919
1997,17-29 y.,male,No,0.57451,875,1487,0.54937,0.59964
1997,17-29 y.,female,Yes,0.40495,590,1541,0.38043,0.42947
1997,17-29 y.,female,No,0.59435,951,1541,0.56983,0.61888
1997,30-45 y.,male,Yes,0.07185,146,2155,0.06094,0.08275
1997,30-45 y.,male,No,0.92815,2009,2155,0.91725,0.93906
1997,30-45 y.,female,Yes,0.05494,115,2210,0.04543,0.06444
1997,30-45 y.,female,No,0.94506,2095,2210,0.93556,0.95457
1997,46-65 y.,male,No,0.99102,1912,1912,0.98679,0.99525
1997,46-65 y.,female,No,0.98630,1896,1896,0.98107,0.99153
1997,66 and older,female,No,0.99772,944,944,0.99467,1.00076
1998,17-29 y.,male,Yes,0.45204,686,1566,0.42739,0.47670
1998,17-29 y.,male,No,0.54721,880,1566,0.52255,0.57188
1998,17-29 y.,female,Yes,0.40270,614,1597,0.37863,0.42676
1998,17-29 y.,female,No,0.59646,983,1597,0.57239,0.62053
1998,30-45 y.,male,Yes,0.05513,116,2375,0.04595,0.06431
1998,30-45 y.,male,No,0.94487,2259,2375,0.93569,0.95405
1998,30-45 y.,female,Yes,0.05300,118,2452,0.04413,0.06187
1998,30-45 y.,female,No,0.94700,2334,2452,0.93813,0.95587
1998,46-65 y.,male,No,0.98829,2168,2168,0.98376,0.99282
1998,46-65 y.,female,No,0.99544,2188,2188,0.99261,0.99826
1998,66 and older,male,No,0.99840,757,757,0.99554,1.00125
1999,17-29 y.,male,Yes,0.46596,656,1449,0.44027,0.49166
1999,17-29 y.,male,No,0.53404,793,1449,0.50834,0.55973
1999,17-29 y.,female,Yes,0.41512,602,1524,0.39037,0.43986
1999,17-29 y.,female,No,0.58488,922,1524,0.56014,0.60963
1999,30-45 y.,male,Yes,0.06101,119,2330,0.05129,0.07073
1999,30-45 y.,male,No,0.93899,2211,2330,0.92927,0.94871
1999,30-45 y.,female,Yes,0.05214,134,2383,0.04321,0.06107
1999,30-45 y.,female,No,0.94786,2249,2383,0.93893,0.95679
1999,46-65 y.,male,No,0.98794,2058,2058,0.98322,0.99266
1999,46-65 y.,female,No,0.99073,2085,2085,0.98661,0.99484
1999,66 and older,male,No,0.99507,746,746,0.99004,1.00010
1999,66 and older,female,No,0.99706,1048,1048,0.99378,1.00034
2000,17-29 y.,male,Yes,0.44787,1058,2224,0.42720,0.46854
2000,17-29 y.,male,No,0.54957,1166,2224,0.52888,0.57025
2000,17-29 y.,female,Yes,0.41993,1034,2354,0.39999,0.43987
2000,17-29 y.,female,No,0.57926,1320,2354,0.55931,0.59921
2000,30-45 y.,male,Yes,0.04969,188,3993,0.04295,0.05643
2000,30-45 y.,male,No,0.95031,3805,3993,0.94357,0.95705
2000,30-45 y.,female,Yes,0.04663,198,4172,0.04023,0.05302
2000,30-45 y.,female,No,0.95337,3974,4172,0.94698,0.95977
2000,46-65 y.,male,Yes,0.01262,48,3831,0.00908,0.01615
2000,46-65 y.,male,No,0.98738,3783,3831,0.98385,0.99092
2000,46-65 y.,female,Yes,0.01196,53,3936,0.00857,0.01536
2000,46-65 y.,female,No,0.98804,3883,3936,0.98464,0.99143
2000,66 and older,male,No,0.99834,1532,1532,0.99630,1.00038
2000,66 and older,female,No,0.99631,2057,2057,0.99368,0.99893
2001,17-29 y.,male,Yes,0.45807,963,1981,0.43612,0.48002
2001,17-29 y.,male,No,0.54193,1018,1981,0.51998,0.56388
2001,17-29 y.,female,Yes,0.47715,1031,2118,0.45587,0.49842
2001,17-29 y.,female,No,0.52285,1087,2118,0.50158,0.54413
2001,30-45 y.,male,Yes,0.05129,167,3542,0.04402,0.05855
2001,30-45 y.,male,No,0.94871,3375,3542,0.94145,0.95598
2001,30-45 y.,female,Yes,0.04854,173,3786,0.04169,0.05538
2001,30-45 y.,female,No,0.95146,3613,3786,0.94462,0.95831
2001,46-65 y.,male,Yes,0.01555,41,3525,0.01147,0.01964
2001,46-65 y.,male,No,0.98445,3484,3525,0.98036,0.98853
2001,46-65 y.,female,Yes,0.01500,60,3570,0.01101,0.01899
2001,46-65 y.,female,No,0.98500,3510,3570,0.98101,0.98899
2001,66 and older,male,No,0.99893,1474,1474,0.99727,1.00060
2001,66 and older,female,No,0.99605,1916,1916,0.99324,0.99886
2002,17-29 y.,male,Yes,0.50661,1091,2016,0.48478,0.52844
2002,17-29 y.,male,No,0.49313,925,2016,0.47130,0.51496
2002,17-29 y.,female,Yes,0.48155,1091,2125,0.46030,0.50280
2002,17-29 y.,female,No,0.51845,1034,2125,0.49720,0.53970
2002,30-45 y.,male,Yes,0.05523,171,3565,0.04773,0.06273
2002,30-45 y.,male,No,0.94477,3394,3565,0.93727,0.95227
2002,30-45 y.,female,Yes,0.04828,177,3875,0.04153,0.05503
2002,30-45 y.,female,No,0.95172,3698,3875,0.94497,0.95847
2002,46-65 y.,male,Yes,0.00713,32,3929,0.00450,0.00976
2002,46-65 y.,male,No,0.99287,3897,3929,0.99024,0.99550
2002,46-65 y.,female,Yes,0.01257,63,3925,0.00908,0.01606
2002,46-65 y.,female,No,0.98743,3862,3925,0.98394,0.99092
2002,66 and older,male,No,0.99961,1616,1616,0.99864,1.00057
2002,66 and older,female,No,0.99836,1972,1972,0.99658,1.00015
2003,17-29 y.,male,Yes,0.50246,1048,1933,0.48016,0.52475
2003,17-29 y.,male,No,0.49754,885,1933,0.47525,0.51984
2003,17-29 y.,female,Yes,0.45819,1059,2074,0.43674,0.47963
2003,17-29 y.,female,No,0.54181,1015,2074,0.52037,0.56326
2003,30-45 y.,male,Yes,0.05378,162,3329,0.04611,0.06144
2003,30-45 y.,male,No,0.94622,3167,3329,0.93856,0.95389
2003,30-45 y.,female,Yes,0.04618,158,3608,0.03933,0.05303
2003,30-45 y.,female,No,0.95382,3450,3608,0.94697,0.96067
2003,46-65 y.,male,Yes,0.01063,34,3754,0.00735,0.01391
2003,46-65 y.,male,No,0.98932,3720,3754,0.98604,0.99261
2003,46-65 y.,female,Yes,0.00969,44,3817,0.00658,0.01280
2003,46-65 y.,female,No,0.99031,3773,3817,0.98720,0.99342
2003,66 and older,male,No,0.99711,1656,1656,0.99452,0.99970
2003,66 and older,female,No,0.99866,1988,1988,0.99705,1.00027
2004,17-29 y.,male,Yes,0.51117,1057,1911,0.48875,0.53359
2004,17-29 y.,male,No,0.48803,854,1911,0.46561,0.51045
2004,17-29 y.,female,Yes,0.48512,1092,2047,0.46346,0.50677
2004,17-29 y.,female,No,0.51274,955,2047,0.49108,0.53440
2004,30-45 y.,male,Yes,0.05045,152,3126,0.04278,0.05813
2004,30-45 y.,male,No,0.94955,2974,3126,0.94187,0.95722
2004,30-45 y.,female,Yes,0.04014,133,3403,0.03354,0.04673
2004,30-45 y.,female,No,0.95986,3270,3403,0.95327,0.96646
2004,46-65 y.,male,No,0.99577,3604,3604,0.99365,0.99789
2004,46-65 y.,female,Yes,0.01114,43,3739,0.00778,0.01451
2004,46-65 y.,female,No,0.98886,3696,3739,0.98549,0.99222
2004,66 and older,male,No,0.99577,1709,1709,0.99269,0.99885
2004,66 and older,female,No,0.99818,2039,2039,0.99632,1.00003
2005,17-29 y.,male,Yes,0.51475,1024,1830,0.49184,0.53765
2005,17-29 y.,male,No,0.48525,806,1830,0.46235,0.50816
2005,17-29 y.,female,Yes,0.48191,1060,1998,0.45999,0.50382
2005,17-29 y.,female,No,0.51732,938,1998,0.49540,0.53923
2005,30-45 y.,male,Yes,0.04381,119,2903,0.03636,0.05125
2005,30-45 y.,male,No,0.95619,2784,2903,0.94875,0.96364
2005,30-45 y.,female,Yes,0.04230,112,3185,0.03531,0.04930
2005,30-45 y.,female,No,0.95770,3073,3185,0.95070,0.96469
2005,46-65 y.,male,No,0.99283,3403,3403,0.99000,0.99567
2005,46-65 y.,female,Yes,0.01505,48,3584,0.01106,0.01903
2005,46-65 y.,female,No,0.98489,3536,3584,0.98089,0.98888
2005,66 and older,male,No,0.99945,1732,1732,0.99835,1.00055
2005,66 and older,female,No,0.99728,2026,2026,0.99501,0.99955
2006,17-29 y.,male,Yes,0.42542,881,1762,0.40233,0.44852
2006,17-29 y.,male,No,0.50830,881,1762,0.48495,0.53165
2006,17-29 y.,female,Yes,0.41621,921,1918,0.39414,0.43827
2006,17-29 y.,female,No,0.53000,997,1918,0.50766,0.55234
2006,30-45 y.,male,Yes,0.04004,102,2975,0.03300,0.04709
2006,30-45 y.,male,No,0.95996,2873,2975,0.95291,0.96700
2006,30-45 y.,female,Yes,0.03174,108,3305,0.02576,0.03772
2006,30-45 y.,female,No,0.96826,3197,3305,0.96228,0.97424
2006,46-65 y.,male,No,0.99559,3641,3641,0.99344,0.99775
2006,46-65 y.,female,Yes,0.00940,38,3923,0.00638,0.01242
2006,46-65 y.,female,No,0.99060,3885,3923,0.98758,0.99362
2006,66 and older,male,No,0.99922,2078,2078,0.99803,1.00042
2006,66 and older,female,No,0.99860,2348,2348,0.99709,1.00011
2007,17-29 y.,male,Yes,0.41710,835,1629,0.39315,0.44106
2007,17-29 y.,male,No,0.49771,794,1629,0.47342,0.52199
2007,17-29 y.,female,Yes,0.40510,872,1769,0.38221,0.42798
2007,17-29 y.,female,No,0.51726,897,1769,0.49396,0.54055
2007,30-45 y.,male,Yes,0.04263,95,2708,0.03502,0.05024
2007,30-45 y.,male,No,0.95737,2613,2708,0.94976,0.96498
2007,30-45 y.,female,Yes,0.03711,104,3001,0.03034,0.04387
2007,30-45 y.,female,No,0.96289,2897,3001,0.95613,0.96966
2007,46-65 y.,male,No,0.99347,3381,3381,0.99076,0.99619
2007,46-65 y.,female,Yes,0.01223,54,3663,0.00867,0.01579
2007,46-65 y.,female,No,0.98777,3609,3663,0.98421,0.99133
2007,66 and older,male,No,0.99874,2038,2038,0.99720,1.00028
2007,66 and older,female,No,0.99892,2302,2302,0.99758,1.00026
2008,17-29 y.,male,Yes,0.43404,793,1512,0.40905,0.45903
2008,17-29 y.,male,No,0.49612,719,1512,0.47091,0.52133
2008,17-29 y.,female,Yes,0.41389,831,1645,0.39009,0.43770
2008,17-29 y.,female,No,0.51184,814,1645,0.48767,0.53600
2008,30-45 y.,male,Yes,0.04089,85,2463,0.03306,0.04871
2008,30-45 y.,male,No,0.95911,2378,2463,0.95129,0.96694
2008,30-45 y.,female,Yes,0.03975,106,2706,0.03239,0.04711
2008,30-45 y.,female,No,0.96025,2600,2706,0.95289,0.96761
2008,46-65 y.,male,No,0.99581,3184,3184,0.99357,0.99805
2008,46-65 y.,female,Yes,0.01134,39,3500,0.00783,0.01485
2008,46-65 y.,female,No,0.98866,3461,3500,0.98515,0.99217
2008,66 and older,male,No,0.99930,2035,2035,0.99815,1.00045
2008,66 and older,female,No,0.99796,2257,2257,0.99610,0.99982
2009,17-29 y.,male,Yes,0.45507,751,1398,0.42895,0.48118
2009,17-29 y.,male,No,0.47405,647,1398,0.44786,0.50023
2009,17-29 y.,female,Yes,0.43335,729,1457,0.40789,0.45880
2009,17-29 y.,female,No,0.50633,728,1457,0.48065,0.53201
2009,30-45 y.,male,Yes,0.04469,84,2205,0.03606,0.05332
2009,30-45 y.,male,No,0.95531,2121,2205,0.94668,0.96394
2009,30-45 y.,female,Yes,0.04230,97,2470,0.03436,0.05024
2009,30-45 y.,female,No,0.95770,2373,2470,0.94976,0.96564
2009,46-65 y.,male,No,0.99363,2999,2999,0.99079,0.99648
2009,46-65 y.,female,Yes,0.01162,34,3310,0.00797,0.01527
2009,46-65 y.,female,No,0.98838,3276,3310,0.98473,0.99203
2009,66 and older,male,No,0.99834,1978,1978,0.99654,1.00013
2009,66 and older,female,No,0.99890,2180,2180,0.99751,1.00029
2010,17-29 y.,male,Yes,0.49852,864,1706,0.47479,0.52226
2010,17-29 y.,male,No,0.44449,842,1706,0.42090,0.46807
2010,17-29 y.,female,Yes,0.47804,888,2214,0.45723,0.49886
2010,17-29 y.,female,No,0.46568,1326,2214,0.44490,0.48646
2010,30-45 y.,male,Yes,0.05159,180,3938,0.04468,0.05850
2010,30-45 y.,male,No,0.94841,3758,3938,0.94150,0.95532
2010,30-45 y.,female,Yes,0.04911,216,5132,0.04320,0.05502
2010,30-45 y.,female,No,0.95089,4916,5132,0.94498,0.95680
2010,46-65 y.,male,No,0.99222,3316,3316,0.98923,0.99521
2010,46-65 y.,female,Yes,0.01081,44,3607,0.00743,0.01418
2010,46-65 y.,female,No,0.98919,3563,3607,0.98582,0.99257
2010,66 and older,male,No,0.99844,1918,1918,0.99668,1.00021
2010,66 and older,female,No,0.99959,2102,2102,0.99873,1.00046
2011,17-29 y.,male,Yes,0.42533,949,1877,0.40296,0.44771
2011,17-29 y.,male,No,0.49494,928,1877,0.47232,0.51757
2011,17-29 y.,female,Yes,0.45579,1047,2297,0.43541,0.47616
2011,17-29 y.,female,No,0.48118,1250,2297,0.46074,0.50162
2011,30-45 y.,male,Yes,0.06054,200,4168,0.05330,0.06778
2011,30-45 y.,male,No,0.93946,3968,4168,0.93222,0.94670
2011,30-45 y.,female,Yes,0.05203,278,5763,0.04630,0.05776
2011,30-45 y.,female,No,0.94797,5485,5763,0.94224,0.95370
2011,46-65 y.,male,Yes,0.00761,39,4332,0.00502,0.01020
2011,46-65 y.,male,No,0.99239,4293,4332,0.98980,0.99498
2011,46-65 y.,female,Yes,0.00949,59,4792,0.00674,0.01223
2011,46-65 y.,female,No,0.99046,4733,4792,0.98771,0.99322
2011,66 and older,male,No,0.99878,2469,2469,0.99740,1.00016
2011,66 and older,female,No,0.99920,2668,2668,0.99813,1.00027
2012,17-29 y.,male,Yes,0.44789,976,1857,0.42527,0.47052
2012,17-29 y.,male,No,0.48725,881,1857,0.46451,0.50999
2012,17-29 y.,female,Yes,0.43692,1023,2124,0.41582,0.45802
2012,17-29 y.,female,No,0.48938,1101,2124,0.46811,0.51064
2012,30-45 y.,male,Yes,0.05384,170,3784,0.04665,0.06104
2012,30-45 y.,male,No,0.94616,3614,3784,0.93896,0.95335
2012,30-45 y.,female,Yes,0.05166,255,5290,0.04570,0.05763
2012,30-45 y.,female,No,0.94834,5035,5290,0.94237,0.95430
2012,46-65 y.,male,Yes,0.00802,38,4383,0.00538,0.01066
2012,46-65 y.,male,No,0.99198,4345,4383,0.98934,0.99462
2012,46-65 y.,female,Yes,0.01073,68,4991,0.00787,0.01359
2012,46-65 y.,female,No,0.98923,4923,4991,0.98637,0.99210
2012,66 and older,male,No,0.99954,2527,2527,0.99870,1.00038
2012,66 and older,female,No,0.99861,2674,2674,0.99720,1.00002
2013,17-29 y.,male,Yes,0.47296,1239,2352,0.45278,0.49315
2013,17-29 y.,male,No,0.45735,1113,2352,0.43721,0.47749
2013,17-29 y.,female,Yes,0.43595,1231,2672,0.41715,0.45476
2013,17-29 y.,female,No,0.49871,1441,2672,0.47975,0.51767
2013,30-45 y.,male,Yes,0.06188,210,4370,0.05473,0.06902
2013,30-45 y.,male,No,0.93807,4160,4370,0.93093,0.94522
2013,30-45 y.,female,Yes,0.06253,348,5992,0.05640,0.06866
2013,30-45 y.,female,No,0.93747,5644,5992,0.93134,0.94360
2013,46-65 y.,male,Yes,0.01030,48,4805,0.00744,0.01316
2013,46-65 y.,male,No,0.98970,4757,4805,0.98684,0.99256
2013,46-65 y.,female,Yes,0.01080,81,5384,0.00804,0.01356
2013,46-65 y.,female,No,0.98920,5303,5384,0.98644,0.99196
2013,66 and older,male,No,0.99968,2454,2454,0.99897,1.00039
2013,66 and older,female,No,0.99884,2589,2589,0.99753,1.00015
2014,17-29 y.,male,Yes,0.47328,1091,2051,0.45167,0.49490
2014,17-29 y.,male,No,0.45567,960,2051,0.43411,0.47723
2014,17-29 y.,female,Yes,0.46187,1149,2245,0.44124,0.48250
2014,17-29 y.,female,No,0.47247,1096,2245,0.45182,0.49313
2014,30-45 y.,male,Yes,0.06352,174,3600,0.05556,0.07149
2014,30-45 y.,male,No,0.93648,3426,3600,0.92851,0.94444
2014,30-45 y.,female,Yes,0.06470,282,4920,0.05782,0.07157
2014,30-45 y.,female,No,0.93530,4638,4920,0.92843,0.94218
2014,46-65 y.,male,Yes,0.00642,33,4356,0.00405,0.00879
2014,46-65 y.,male,No,0.99358,4323,4356,0.99121,0.99595
2014,46-65 y.,female,Yes,0.01290,92,4955,0.00976,0.01604
2014,46-65 y.,female,No,0.98710,4863,4955,0.98396,0.99024
2014,66 and older,male,No,0.99969,2424,2424,0.99898,1.00039
2014,66 and older,female,No,0.99711,2522,2522,0.99502,0.99921
2015,17-29 y.,male,Yes,0.45438,1062,2113,0.43315,0.47562
2015,17-29 y.,male,No,0.48474,1051,2113,0.46342,0.50605
2015,17-29 y.,female,Yes,0.46067,1160,2349,0.44051,0.48083
2015,17-29 y.,female,No,0.46647,1189,2349,0.44630,0.48665
2015,30-45 y.,male,Yes,0.06007,167,3517,0.05222,0.06793
2015,30-45 y.,male,No,0.93982,3350,3517,0.93195,0.94768
2015,30-45 y.,female,Yes,0.06647,256,4769,0.05940,0.07354
2015,30-45 y.,female,No,0.93353,4513,4769,0.92646,0.94060
