year,regtyp,sampreg,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Urban regions,East,Yes,0.14554,273,1771,0.12911,0.16196
2002,Urban regions,East,No,0.85446,1498,1771,0.83804,0.87089
2002,Rural regions,West,Yes,0.09749,453,4065,0.08837,0.10661
2002,Rural regions,West,No,0.90251,3612,4065,0.89339,0.91163
2002,Rural regions,East,Yes,0.10657,454,3658,0.09657,0.11657
2002,Rural regions,East,No,0.89343,3204,3658,0.88343,0.90343
2003,Urban regions,West,Yes,0.09717,1407,12999,0.09208,0.10226
2003,Urban regions,West,No,0.90283,11592,12999,0.89774,0.90792
2003,Urban regions,East,Yes,0.12873,253,1764,0.11309,0.14436
2003,Urban regions,East,No,0.87127,1511,1764,0.85564,0.88691
2003,Rural regions,West,Yes,0.09142,414,3822,0.08228,0.10056
2003,Rural regions,West,No,0.90858,3408,3822,0.89944,0.91772
2003,Rural regions,East,Yes,0.10333,437,3580,0.09336,0.11331
2003,Rural regions,East,No,0.89667,3143,3580,0.88669,0.90664
2004,Urban regions,West,Yes,0.09909,1415,12612,0.09387,0.10430
2004,Urban regions,West,No,0.90091,11197,12612,0.89570,0.90613
2004,Urban regions,East,Yes,0.14168,277,1764,0.12540,0.15795
2004,Urban regions,East,No,0.85832,1487,1764,0.84205,0.87460
2004,Rural regions,West,Yes,0.09319,424,3777,0.08392,0.10247
2004,Rural regions,West,No,0.90681,3353,3777,0.89753,0.91608
2004,Rural regions,East,Yes,0.09693,395,3459,0.08707,0.10679
2004,Rural regions,East,No,0.90307,3064,3459,0.89321,0.91293
2005,Urban regions,West,Yes,0.10687,1386,12077,0.10136,0.11239
2005,Urban regions,West,No,0.89313,10691,12077,0.88761,0.89864
2005,Urban regions,East,Yes,0.13930,253,1705,0.12286,0.15575
2005,Urban regions,East,No,0.86070,1452,1705,0.84425,0.87714
2005,Rural regions,West,Yes,0.09237,378,3583,0.08289,0.10186
2005,Rural regions,West,No,0.90763,3205,3583,0.89814,0.91711
2005,Rural regions,East,Yes,0.10753,382,3332,0.09701,0.11805
2005,Rural regions,East,No,0.89247,2950,3332,0.88195,0.90299
2006,Urban regions,West,Yes,0.09069,1175,12742,0.08570,0.09568
2006,Urban regions,West,No,0.90931,11567,12742,0.90432,0.91430
2006,Urban regions,East,Yes,0.12162,212,1746,0.10629,0.13696
2006,Urban regions,East,No,0.87838,1534,1746,0.86304,0.89371
2006,Rural regions,West,Yes,0.07701,344,3950,0.06870,0.08533
2006,Rural regions,West,No,0.92299,3606,3950,0.91467,0.93130
2006,Rural regions,East,Yes,0.08729,336,3529,0.07798,0.09661
2006,Rural regions,East,No,0.91271,3193,3529,0.90339,0.92202
2007,Urban regions,West,Yes,0.08730,1095,11814,0.08221,0.09239
2007,Urban regions,West,No,0.91270,10719,11814,0.90761,0.91779
2007,Urban regions,East,Yes,0.12704,210,1672,0.11107,0.14300
2007,Urban regions,East,No,0.87296,1462,1672,0.85700,0.88893
2007,Rural regions,West,Yes,0.08390,329,3684,0.07495,0.09286
2007,Rural regions,West,No,0.91610,3355,3684,0.90714,0.92505
2007,Rural regions,East,Yes,0.09541,344,3339,0.08544,0.10538
2007,Rural regions,East,No,0.90459,2995,3339,0.89462,0.91456
2008,Urban regions,West,Yes,0.09005,1066,11084,0.08472,0.09537
2008,Urban regions,West,No,0.90995,10018,11084,0.90463,0.91528
2008,Urban regions,East,Yes,0.12288,188,1617,0.10688,0.13889
2008,Urban regions,East,No,0.87712,1429,1617,0.86111,0.89312
2008,Rural regions,West,Yes,0.08905,303,3462,0.07956,0.09854
2008,Rural regions,West,No,0.91095,3159,3462,0.90146,0.92044
2008,Rural regions,East,Yes,0.08542,311,3153,0.07567,0.09518
2008,Rural regions,East,No,0.91458,2842,3153,0.90482,0.92433
2009,Urban regions,West,Yes,0.09795,999,10186,0.09218,0.10372
2009,Urban regions,West,No,0.90205,9187,10186,0.89628,0.90782
2009,Urban regions,East,Yes,0.12133,171,1533,0.10498,0.13768
2009,Urban regions,East,No,0.87867,1362,1533,0.86232,0.89502
2009,Rural regions,West,Yes,0.09134,295,3291,0.08149,0.10118
2009,Rural regions,West,No,0.90866,2996,3291,0.89882,0.91851
2009,Rural regions,East,Yes,0.08052,251,3008,0.07080,0.09025
2009,Rural regions,East,No,0.91948,2757,3008,0.90975,0.92920
2010,Urban regions,West,Yes,0.10575,1305,13774,0.10061,0.11088
2010,Urban regions,West,No,0.89425,12469,13774,0.88912,0.89939
2010,Urban regions,East,Yes,0.15751,247,1897,0.14111,0.17390
2010,Urban regions,East,No,0.84249,1650,1897,0.82610,0.85889
2010,Rural regions,West,Yes,0.09449,403,4722,0.08615,0.10283
2010,Rural regions,West,No,0.90551,4319,4722,0.89717,0.91385
2010,Rural regions,East,Yes,0.07137,271,3574,0.06292,0.07981
2010,Rural regions,East,No,0.92863,3303,3574,0.92019,0.93708
2011,Urban regions,West,Yes,0.09909,1531,16036,0.09447,0.10372
2011,Urban regions,West,No,0.90091,14505,16036,0.89628,0.90553
2011,Urban regions,East,Yes,0.11878,251,2179,0.10519,0.13237
2011,Urban regions,East,No,0.88122,1928,2179,0.86763,0.89481
2011,Rural regions,West,Yes,0.08702,498,6025,0.07990,0.09413
2011,Rural regions,West,No,0.91298,5527,6025,0.90587,0.92010
2011,Rural regions,East,Yes,0.07072,298,4132,0.06291,0.07854
2011,Rural regions,East,No,0.92928,3834,4132,0.92146,0.93709
2012,Urban regions,West,Yes,0.10086,1491,15441,0.09611,0.10561
2012,Urban regions,West,No,0.89914,13950,15441,0.89439,0.90389
2012,Urban regions,East,Yes,0.10928,232,2092,0.09591,0.12265
2012,Urban regions,East,No,0.89072,1860,2092,0.87735,0.90409
2012,Rural regions,West,Yes,0.08515,536,6021,0.07810,0.09220
2012,Rural regions,West,No,0.91485,5485,6021,0.90780,0.92190
2012,Rural regions,East,Yes,0.05946,275,4080,0.05220,0.06672
2012,Rural regions,East,No,0.94054,3805,4080,0.93328,0.94780
2013,Urban regions,West,Yes,0.10553,1993,18051,0.10104,0.11001
2013,Urban regions,West,No,0.89447,16058,18051,0.88999,0.89896
2013,Urban regions,East,Yes,0.10985,229,2122,0.09654,0.12315
2013,Urban regions,East,No,0.89015,1893,2122,0.87685,0.90346
2013,Rural regions,West,Yes,0.08905,658,6464,0.08210,0.09599
2013,Rural regions,West,No,0.91095,5806,6464,0.90401,0.91790
2013,Rural regions,East,Yes,0.05684,280,3984,0.04965,0.06403
2013,Rural regions,East,No,0.94316,3704,3984,0.93597,0.95035
2014,Urban regions,West,Yes,0.10540,1747,15724,0.10060,0.11020
2014,Urban regions,West,No,0.89460,13977,15724,0.88980,0.89940
2014,Urban regions,East,Yes,0.12466,233,1937,0.10994,0.13937
2014,Urban regions,East,No,0.87534,1704,1937,0.86063,0.89006
2014,Rural regions,West,Yes,0.10122,598,5773,0.09344,0.10900
2014,Rural regions,West,No,0.89878,5175,5773,0.89100,0.90656
2014,Rural regions,East,Yes,0.05604,250,3646,0.04857,0.06351
2014,Rural regions,East,No,0.94396,3396,3646,0.93649,0.95143
2015,Urban regions,West,Yes,0.10299,1698,15580,0.09822,0.10776
2015,Urban regions,West,No,0.89701,13882,15580,0.89224,0.90178
2015,Urban regions,East,Yes,0.11810,227,1919,0.10366,0.13254
2015,Urban regions,East,No,0.88190,1692,1919,0.86746,0.89634
2015,Rural regions,West,Yes,0.09298,582,5800,0.08551,0.10045
2015,Rural regions,West,No,0.90702,5218,5800,0.89955,0.91449
2015,Rural regions,East,Yes,0.05265,230,3487,0.04524,0.06007
2015,Rural regions,East,No,0.94735,3257,3487,0.93993,0.95476
2016,Urban regions,West,Yes,0.10663,1653,15912,0.10184,0.11143
2016,Urban regions,West,No,0.89337,14259,15912,0.88857,0.89816
2016,Urban regions,East,Yes,0.12937,217,1966,0.11453,0.14421
2016,Urban regions,East,No,0.87063,1749,1966,0.85579,0.88547
2016,Rural regions,West,Yes,0.08791,529,5806,0.08063,0.09520
2016,Rural regions,West,No,0.91209,5277,5806,0.90480,0.91937
2016,Rural regions,East,Yes,0.04851,184,3572,0.04146,0.05555
2016,Rural regions,East,No,0.95149,3388,3572,0.94445,0.95854
2017,Urban regions,West,Yes,0.10832,1959,17719,0.10375,0.11290
2017,Urban regions,West,No,0.89168,15760,17719,0.88710,0.89625
2017,Urban regions,East,Yes,0.13229,251,2214,0.11818,0.14641
2017,Urban regions,East,No,0.86771,1963,2214,0.85359,0.88182
2017,Rural regions,West,Yes,0.08500,653,6626,0.07828,0.09171
2017,Rural regions,West,No,0.91500,5973,6626,0.90829,0.92172
2017,Rural regions,East,Yes,0.05475,249,3956,0.04766,0.06183
2017,Rural regions,East,No,0.94525,3707,3956,0.93817,0.95234
2018,Urban regions,West,Yes,0.10435,1935,17073,0.09976,0.10894
2018,Urban regions,West,No,0.89565,15138,17073,0.89106,0.90024
2018,Urban regions,East,Yes,0.11303,234,2177,0.09973,0.12633
2018,Urban regions,East,No,0.88697,1943,2177,0.87367,0.90027
2018,Rural regions,West,Yes,0.07028,582,6124,0.06387,0.07668
2018,Rural regions,West,No,0.92972,5542,6124,0.92332,0.93613
2018,Rural regions,East,Yes,0.05280,255,3832,0.04572,0.05988
2018,Rural regions,East,No,0.94720,3577,3832,0.94012,0.95428
2019,No answer / don't know,Does not apply,No,0.84665,68,68,0.76037,0.93293
2019,No answer / don't know,West,Yes,0.20145,70,403,0.16224,0.24065
2019,No answer / don't know,West,No,0.79855,333,403,0.75935,0.83776
2019,No answer / don't know,East,No,0.75203,62,62,0.64367,0.86040
2019,Urban regions,West,Yes,0.09952,1752,16688,0.09498,0.10406
2019,Urban regions,West,No,0.90048,14936,16688,0.89594,0.90502
2019,Urban regions,East,Yes,0.10943,204,2126,0.09616,0.12270
2019,Urban regions,East,No,0.89057,1922,2126,0.87730,0.90384
2019,Rural regions,West,Yes,0.06961,525,5907,0.06312,0.07610
2019,Rural regions,West,No,0.93039,5382,5907,0.92390,0.93688
2019,Rural regions,East,Yes,0.05667,228,3800,0.04931,0.06402
2019,Rural regions,East,No,0.94333,3572,3800,0.93598,0.95069
2020,Urban regions,West,Yes,0.10325,1990,17748,0.09877,0.10772
2020,Urban regions,West,No,0.89675,15758,17748,0.89228,0.90123
2020,Urban regions,East,Yes,0.09703,223,2202,0.08466,0.10940
2020,Urban regions,East,No,0.90297,1979,2202,0.89060,0.91534
2020,Rural regions,West,Yes,0.07659,538,5828,0.06977,0.08342
2020,Rural regions,West,No,0.92341,5290,5828,0.91658,0.93023
2020,Rural regions,East,Yes,0.05996,218,3624,0.05223,0.06769
2020,Rural regions,East,No,0.94004,3406,3624,0.93231,0.94777
2021,Urban regions,West,Yes,0.10437,1357,11753,0.09884,0.10990
2021,Urban regions,West,No,0.89563,10396,11753,0.89010,0.90116
2021,Urban regions,East,Yes,0.12228,177,1526,0.10584,0.13873
2021,Urban regions,East,No,0.87772,1349,1526,0.86127,0.89416
2021,Rural regions,West,Yes,0.06915,362,3866,0.06115,0.07715
2021,Rural regions,West,No,0.93085,3504,3866,0.92285,0.93885
2021,Rural regions,East,Yes,0.06129,158,2363,0.05161,0.07096
2021,Rural regions,East,No,0.93871,2205,2363,0.92904,0.94839
2022,Urban regions,West,Yes,0.10960,2245,16758,0.10487,0.11433
2022,Urban regions,West,No,0.89040,14513,16758,0.88567,0.89513
2022,Urban regions,East,Yes,0.11084,299,2301,0.09801,0.12367
2022,Urban regions,East,No,0.88916,2002,2301,0.87633,0.90199
2022,Rural regions,West,Yes,0.07745,524,5232,0.07021,0.08470
2022,Rural regions,West,No,0.92255,4708,5232,0.91530,0.92979
2022,Rural regions,East,Yes,0.06809,312,3541,0.05979,0.07639
2022,Rural regions,East,No,0.93191,3229,3541,0.92361,0.94021
