year,regtyp,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1993,Rural regions,Yes,0.08245,550,4494,0.07441,0.09049
1993,Rural regions,No,0.73510,3944,4494,0.72219,0.74800
1994,Urban regions,Yes,0.08091,957,8480,0.07511,0.08671
1994,Urban regions,No,0.74545,7523,8480,0.73618,0.75472
1994,Rural regions,Yes,0.07818,509,4393,0.07024,0.08612
1994,Rural regions,No,0.73537,3884,4393,0.72232,0.74841
1995,Urban regions,Yes,0.08485,1045,8735,0.07901,0.09070
1995,Urban regions,No,0.74154,7690,8735,0.73236,0.75072
1995,Rural regions,Yes,0.08077,558,4548,0.07285,0.08869
1995,Rural regions,No,0.72998,3990,4548,0.71708,0.74289
1996,Urban regions,Yes,0.08141,977,8539,0.07561,0.08721
1996,Urban regions,No,0.74360,7562,8539,0.73434,0.75286
1996,Rural regions,Yes,0.07688,529,4505,0.06910,0.08466
1996,Rural regions,No,0.73914,3976,4505,0.72631,0.75196
1997,Urban regions,Yes,0.08376,982,8389,0.07783,0.08969
1997,Urban regions,No,0.74420,7407,8389,0.73487,0.75354
1997,Rural regions,Yes,0.07834,525,4437,0.07043,0.08625
1997,Rural regions,No,0.73707,3912,4437,0.72411,0.75002
1998,Urban regions,Yes,0.08196,1019,9289,0.07638,0.08754
1998,Urban regions,No,0.74935,8270,9289,0.74053,0.75816
1998,Rural regions,Yes,0.07549,553,4949,0.06813,0.08285
1998,Rural regions,No,0.73940,4396,4949,0.72717,0.75163
1999,Urban regions,Yes,0.08464,1017,8894,0.07886,0.09043
1999,Urban regions,No,0.74768,7877,8894,0.73865,0.75671
1999,Rural regions,Yes,0.07710,545,4780,0.06954,0.08467
1999,Rural regions,No,0.74130,4235,4780,0.72889,0.75372
2000,Urban regions,Yes,0.07867,1679,15748,0.07446,0.08287
2000,Urban regions,No,0.75055,14069,15748,0.74380,0.75731
2000,Rural regions,Yes,0.07744,908,8359,0.07171,0.08317
2000,Rural regions,No,0.74664,7451,8359,0.73731,0.75596
2001,Urban regions,Yes,0.08406,1604,14336,0.07951,0.08860
2001,Urban regions,No,0.74461,12732,14336,0.73747,0.75174
2001,Rural regions,Yes,0.07766,840,7585,0.07164,0.08368
2001,Rural regions,No,0.75233,6745,7585,0.74261,0.76204
2002,Urban regions,Yes,0.08303,1721,15303,0.07866,0.08740
2002,Urban regions,No,0.74823,13582,15303,0.74136,0.75511
2002,Rural regions,Yes,0.08404,907,7723,0.07785,0.09022
2002,Rural regions,No,0.74700,6816,7723,0.73730,0.75669
2003,Urban regions,Yes,0.08318,1660,14763,0.07872,0.08763
2003,Urban regions,No,0.74864,13103,14763,0.74164,0.75563
2003,Rural regions,Yes,0.08036,851,7402,0.07416,0.08655
2003,Rural regions,No,0.75479,6551,7402,0.74499,0.76459
2004,Urban regions,Yes,0.08600,1692,14376,0.08142,0.09059
2004,Urban regions,No,0.74862,12684,14376,0.74153,0.75571
2004,Rural regions,Yes,0.07967,819,7236,0.07343,0.08591
2004,Rural regions,No,0.76202,6417,7236,0.75221,0.77183
2005,Urban regions,Yes,0.09245,1639,13782,0.08761,0.09728
2005,Urban regions,No,0.74840,12143,13782,0.74116,0.75565
2005,Rural regions,Yes,0.08287,760,6915,0.07637,0.08937
2005,Rural regions,No,0.76070,6155,6915,0.75064,0.77076
2006,Urban regions,Yes,0.07815,1387,14488,0.07377,0.08252
2006,Urban regions,No,0.75660,13101,14488,0.74961,0.76358
2006,Rural regions,Yes,0.06753,680,7479,0.06184,0.07321
2006,Rural regions,No,0.76615,6799,7479,0.75656,0.77575
2007,Urban regions,Yes,0.07581,1305,13486,0.07135,0.08028
2007,Urban regions,No,0.75661,12181,13486,0.74937,0.76386
2007,Rural regions,Yes,0.07438,673,7023,0.06824,0.08052
2007,Rural regions,No,0.76714,6350,7023,0.75725,0.77702
2008,Urban regions,Yes,0.07799,1254,12701,0.07333,0.08266
2008,Urban regions,No,0.75910,11447,12701,0.75166,0.76654
2008,Rural regions,Yes,0.07425,614,6615,0.06793,0.08057
2008,Rural regions,No,0.77265,6001,6615,0.76255,0.78275
2009,Urban regions,Yes,0.08430,1170,11719,0.07927,0.08933
2009,Urban regions,No,0.75679,10549,11719,0.74902,0.76455
2009,Rural regions,Yes,0.07407,546,6299,0.06760,0.08054
2009,Rural regions,No,0.77484,5753,6299,0.76453,0.78516
2010,Urban regions,Yes,0.09332,1552,15671,0.08877,0.09788
2010,Urban regions,No,0.74958,14119,15671,0.74280,0.75637
2010,Rural regions,Yes,0.07295,674,8296,0.06735,0.07855
2010,Rural regions,No,0.77626,7622,8296,0.76730,0.78523
2011,Urban regions,Yes,0.08445,1782,18215,0.08041,0.08849
2011,Urban regions,No,0.75201,16433,18215,0.74574,0.75828
2011,Rural regions,Yes,0.06835,796,10157,0.06344,0.07326
2011,Rural regions,No,0.77455,9361,10157,0.76642,0.78268
2012,Urban regions,Yes,0.08509,1723,17533,0.08095,0.08922
2012,Urban regions,No,0.75200,15810,17533,0.74561,0.75840
2012,Rural regions,Yes,0.06438,811,10101,0.05959,0.06916
2012,Rural regions,No,0.78235,9290,10101,0.77430,0.79040
2013,Urban regions,Yes,0.08885,2222,20173,0.08493,0.09278
2013,Urban regions,No,0.74999,17951,20173,0.74402,0.75597
2013,Rural regions,Yes,0.06564,938,10448,0.06089,0.07039
2013,Rural regions,No,0.78262,9510,10448,0.77471,0.79053
2014,Urban regions,Yes,0.08985,1980,17661,0.08564,0.09407
2014,Urban regions,No,0.74846,15681,17661,0.74206,0.75486
2014,Rural regions,Yes,0.07258,848,9419,0.06734,0.07782
2014,Rural regions,No,0.77979,8571,9419,0.77142,0.78816
2015,Urban regions,Yes,0.08797,1925,17499,0.08377,0.09217
2015,Urban regions,No,0.75452,15574,17499,0.74814,0.76089
2015,Rural regions,Yes,0.06682,812,9287,0.06174,0.07190
2015,Rural regions,No,0.78149,8475,9287,0.77308,0.78989
2016,Urban regions,Yes,0.09131,1870,17878,0.08709,0.09553
2016,Urban regions,No,0.74834,16008,17878,0.74198,0.75471
2016,Rural regions,Yes,0.06256,713,9378,0.05766,0.06746
2016,Rural regions,No,0.78263,8665,9378,0.77428,0.79098
2017,Urban regions,Yes,0.09259,2210,19933,0.08857,0.09662
2017,Urban regions,No,0.74508,17723,19933,0.73903,0.75113
2017,Rural regions,Yes,0.06282,902,10582,0.05820,0.06744
2017,Rural regions,No,0.78112,9680,10582,0.77324,0.78900
2018,Urban regions,Yes,0.08861,2169,19250,0.08459,0.09262
2018,Urban regions,No,0.75406,17081,19250,0.74797,0.76014
2018,Rural regions,Yes,0.05426,837,9956,0.04981,0.05871
2018,Rural regions,No,0.79082,9119,9956,0.78283,0.79881
2019,Urban regions,Yes,0.08403,1956,18814,0.08006,0.08799
2019,Urban regions,No,0.75279,16858,18814,0.74662,0.75895
2019,Rural regions,Yes,0.05466,753,9707,0.05013,0.05918
2019,Rural regions,No,0.78559,8954,9707,0.77742,0.79375
2020,Urban regions,Yes,0.08587,2213,19950,0.08198,0.08976
2020,Urban regions,No,0.75045,17737,19950,0.74445,0.75646
2020,Rural regions,Yes,0.05897,756,9452,0.05422,0.06372
2020,Rural regions,No,0.77464,8696,9452,0.76621,0.78306
2021,Urban regions,Yes,0.08771,1534,13279,0.08290,0.09252
2021,Urban regions,No,0.74007,11745,13279,0.73261,0.74753
2021,Rural regions,Yes,0.05542,520,6229,0.04973,0.06110
2021,Rural regions,No,0.77864,5709,6229,0.76833,0.78895
2022,Urban regions,Yes,0.09001,2544,19059,0.08595,0.09408
2022,Urban regions,No,0.73037,16515,19059,0.72407,0.73667
2022,Rural regions,Yes,0.06167,836,8773,0.05664,0.06671
2022,Rural regions,No,0.76711,7937,8773,0.75826,0.77595
