year,bula_h,sex,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,Bavaria,male,Yes,0.12677,124,795,0.10362,0.14991
1988,Bavaria,male,No,0.87323,671,795,0.85009,0.89638
1988,Bavaria,female,Yes,0.08535,90,852,0.06658,0.10412
1988,Bavaria,female,No,0.91465,762,852,0.89588,0.93342
1988,Berlin,male,No,0.91047,147,147,0.86416,0.95678
1988,Berlin,female,No,0.95079,151,151,0.91617,0.98540
1989,Schleswig-Holstein,male,No,0.82834,123,123,0.76142,0.89525
1989,Schleswig-Holstein,female,No,0.93085,141,141,0.88883,0.97288
1989,Hamburg,male,No,0.89698,86,86,0.83235,0.96160
1989,Hamburg,female,No,0.91451,88,88,0.85576,0.97327
1989,Lower Saxony,male,Yes,0.12546,70,485,0.09595,0.15498
1989,Lower Saxony,male,No,0.87454,415,485,0.84502,0.90405
1989,Lower Saxony,female,Yes,0.07983,53,511,0.05630,0.10335
1989,Lower Saxony,female,No,0.92017,458,511,0.89665,0.94370
1989,Bremen,male,No,0.90991,43,43,0.82333,0.99650
1989,Bremen,female,No,0.95377,54,54,0.89724,1.01030
1989,North Rhine-Westphalia,male,Yes,0.16668,220,1296,0.14638,0.18698
1989,North Rhine-Westphalia,male,No,0.83332,1076,1296,0.81302,0.85362
1989,North Rhine-Westphalia,female,Yes,0.10096,151,1318,0.08468,0.11723
1989,North Rhine-Westphalia,female,No,0.89904,1167,1318,0.88277,0.91532
1989,Hesse,male,Yes,0.13065,63,495,0.10093,0.16037
1989,Hesse,male,No,0.86935,432,495,0.83963,0.89907
1989,Hesse,female,Yes,0.07091,43,501,0.04842,0.09341
1989,Hesse,female,No,0.92909,458,501,0.90659,0.95158
1989,"Rhineland-Palatinate, Saarland",male,Yes,0.12958,41,338,0.09372,0.16544
1989,"Rhineland-Palatinate, Saarland",male,No,0.87042,297,338,0.83456,0.90628
1989,"Rhineland-Palatinate, Saarland",female,Yes,0.07729,33,356,0.04951,0.10507
1989,"Rhineland-Palatinate, Saarland",female,No,0.92271,323,356,0.89493,0.95049
1989,Baden-Wuerttemberg,male,Yes,0.14006,109,908,0.11747,0.16264
1989,Baden-Wuerttemberg,male,No,0.85994,799,908,0.83736,0.88253
1989,Baden-Wuerttemberg,female,Yes,0.07524,83,905,0.05804,0.09243
1989,Baden-Wuerttemberg,female,No,0.92476,822,905,0.90757,0.94196
1989,Bavaria,male,Yes,0.12788,109,784,0.10449,0.15128
1989,Bavaria,male,No,0.87212,675,784,0.84872,0.89551
1989,Bavaria,female,Yes,0.07555,78,830,0.05756,0.09354
1989,Bavaria,female,No,0.92445,752,830,0.90646,0.94244
1989,Berlin,male,No,0.88756,142,142,0.83542,0.93970
1989,Berlin,female,No,0.94936,154,154,0.91462,0.98410
1990,Schleswig-Holstein,male,No,0.84615,115,115,0.77992,0.91238
1990,Schleswig-Holstein,female,No,0.92283,134,134,0.87748,0.96819
1990,Hamburg,male,No,0.93297,75,75,0.87600,0.98995
1990,Hamburg,female,No,0.97028,80,80,0.93283,1.00773
1990,Lower Saxony,male,Yes,0.10659,58,486,0.07912,0.13405
1990,Lower Saxony,male,No,0.89341,428,486,0.86595,0.92088
1990,Lower Saxony,female,Yes,0.07798,47,492,0.05426,0.10169
1990,Lower Saxony,female,No,0.92202,445,492,0.89831,0.94574
1990,Bremen,male,No,0.88824,39,39,0.78807,0.98842
1990,Bremen,female,No,0.94784,53,53,0.88740,1.00828
1990,North Rhine-Westphalia,male,Yes,0.14847,207,1262,0.12884,0.16809
1990,North Rhine-Westphalia,male,No,0.85153,1055,1262,0.83191,0.87116
1990,North Rhine-Westphalia,female,Yes,0.10378,146,1294,0.08716,0.12041
1990,North Rhine-Westphalia,female,No,0.89622,1148,1294,0.87959,0.91284
1990,Hesse,male,Yes,0.13579,62,490,0.10543,0.16615
1990,Hesse,male,No,0.86421,428,490,0.83385,0.89457
1990,Hesse,female,Yes,0.09025,45,495,0.06498,0.11552
1990,Hesse,female,No,0.90975,450,495,0.88448,0.93502
1990,"Rhineland-Palatinate, Saarland",male,Yes,0.13394,40,322,0.09668,0.17120
1990,"Rhineland-Palatinate, Saarland",male,No,0.86606,282,322,0.82880,0.90332
1990,"Rhineland-Palatinate, Saarland",female,No,0.93883,325,325,0.91274,0.96492
1990,Baden-Wuerttemberg,male,Yes,0.12533,100,898,0.10367,0.14700
1990,Baden-Wuerttemberg,male,No,0.87467,798,898,0.85300,0.89633
1990,Baden-Wuerttemberg,female,Yes,0.07793,82,893,0.06033,0.09552
1990,Baden-Wuerttemberg,female,No,0.92207,811,893,0.90448,0.93967
1990,Bavaria,male,Yes,0.13136,105,786,0.10773,0.15499
1990,Bavaria,male,No,0.86864,681,786,0.84501,0.89227
1990,Bavaria,female,Yes,0.07914,76,812,0.06056,0.09772
1990,Bavaria,female,No,0.92086,736,812,0.90228,0.93944
1990,Berlin,male,Yes,0.13745,40,290,0.09775,0.17714
1990,Berlin,male,No,0.86255,250,290,0.82286,0.90225
1990,Berlin,female,Yes,0.07887,37,333,0.04987,0.10786
1990,Berlin,female,No,0.92113,296,333,0.89214,0.95013
1990,Brandenburg,male,Yes,0.11195,45,356,0.07915,0.14475
1990,Brandenburg,male,No,0.88805,311,356,0.85525,0.92085
1990,Brandenburg,female,Yes,0.10180,44,373,0.07107,0.13252
1990,Brandenburg,female,No,0.89820,329,373,0.86748,0.92893
1990,Mecklenburg-Western Pomerania,male,No,0.90859,218,218,0.87025,0.94694
1990,Mecklenburg-Western Pomerania,female,No,0.89562,231,231,0.85610,0.93513
1990,Saxony,male,Yes,0.10257,71,631,0.07888,0.12627
1990,Saxony,male,No,0.89743,560,631,0.87373,0.92112
1990,Saxony,female,Yes,0.07977,69,705,0.05976,0.09979
1990,Saxony,female,No,0.92023,636,705,0.90021,0.94024
1990,Saxony-Anhalt,male,Yes,0.11040,40,386,0.07910,0.14171
1990,Saxony-Anhalt,male,No,0.88960,346,386,0.85829,0.92090
1990,Saxony-Anhalt,female,Yes,0.08013,39,425,0.05429,0.10597
1990,Saxony-Anhalt,female,No,0.91987,386,425,0.89403,0.94571
1990,Thuringa,male,Yes,0.10494,35,350,0.07278,0.13709
1990,Thuringa,male,No,0.89506,315,350,0.86291,0.92722
1990,Thuringa,female,Yes,0.06111,32,393,0.03740,0.08482
1990,Thuringa,female,No,0.93889,361,393,0.91518,0.96260
1991,Schleswig-Holstein,male,No,0.82619,118,118,0.75752,0.89485
1991,Schleswig-Holstein,female,No,0.90024,138,138,0.85006,0.95042
1991,Hamburg,male,No,0.96172,71,71,0.91677,1.00667
1991,Hamburg,female,No,0.97548,79,79,0.94116,1.00980
1991,Lower Saxony,male,Yes,0.13552,74,479,0.10483,0.16620
1991,Lower Saxony,male,No,0.86448,405,479,0.83380,0.89517
1991,Lower Saxony,female,Yes,0.08757,54,494,0.06262,0.11253
1991,Lower Saxony,female,No,0.91243,440,494,0.88747,0.93738
1991,Bremen,male,No,0.92552,40,40,0.84312,1.00792
1991,Bremen,female,No,0.97351,50,50,0.92854,1.01847
1991,North Rhine-Westphalia,male,Yes,0.15299,214,1253,0.13305,0.17293
1991,North Rhine-Westphalia,male,No,0.84701,1039,1253,0.82707,0.86695
1991,North Rhine-Westphalia,female,Yes,0.10476,147,1293,0.08806,0.12146
1991,North Rhine-Westphalia,female,No,0.89524,1146,1293,0.87854,0.91194
1991,Hesse,male,Yes,0.13743,62,485,0.10676,0.16810
1991,Hesse,male,No,0.86257,423,485,0.83190,0.89324
1991,Hesse,female,Yes,0.08552,41,482,0.06052,0.11051
1991,Hesse,female,No,0.91448,441,482,0.88949,0.93948
1991,"Rhineland-Palatinate, Saarland",male,Yes,0.11656,38,319,0.08129,0.15183
1991,"Rhineland-Palatinate, Saarland",male,No,0.88344,281,319,0.84817,0.91871
1991,"Rhineland-Palatinate, Saarland",female,No,0.95212,323,323,0.92880,0.97544
1991,Baden-Wuerttemberg,male,Yes,0.11897,109,895,0.09774,0.14019
1991,Baden-Wuerttemberg,male,No,0.88103,786,895,0.85981,0.90226
1991,Baden-Wuerttemberg,female,Yes,0.08951,88,902,0.07086,0.10815
1991,Baden-Wuerttemberg,female,No,0.91049,814,902,0.89185,0.92914
1991,Bavaria,male,Yes,0.12531,106,796,0.10230,0.14833
1991,Bavaria,male,No,0.87469,690,796,0.85167,0.89770
1991,Bavaria,female,Yes,0.06925,66,807,0.05172,0.08678
1991,Bavaria,female,No,0.93075,741,807,0.91322,0.94828
1991,Berlin,male,Yes,0.15442,50,288,0.11261,0.19622
1991,Berlin,male,No,0.84558,238,288,0.80378,0.88739
1991,Berlin,female,Yes,0.11254,49,317,0.07770,0.14739
1991,Berlin,female,No,0.88746,268,317,0.85261,0.92230
1991,Brandenburg,male,Yes,0.07730,34,325,0.04822,0.10638
1991,Brandenburg,male,No,0.92270,291,325,0.89362,0.95178
1991,Brandenburg,female,Yes,0.11232,48,352,0.07929,0.14536
1991,Brandenburg,female,No,0.88768,304,352,0.85464,0.92071
1991,Mecklenburg-Western Pomerania,male,No,0.93412,212,212,0.90065,0.96759
1991,Mecklenburg-Western Pomerania,female,No,0.90008,211,211,0.85952,0.94064
1991,Saxony,male,Yes,0.10084,68,582,0.07636,0.12533
1991,Saxony,male,No,0.89916,514,582,0.87467,0.92364
1991,Saxony,female,Yes,0.09862,81,647,0.07562,0.12161
1991,Saxony,female,No,0.90138,566,647,0.87839,0.92438
1991,Saxony-Anhalt,male,Yes,0.09978,38,375,0.06940,0.13015
1991,Saxony-Anhalt,male,No,0.90022,337,375,0.86985,0.93060
1991,Saxony-Anhalt,female,Yes,0.09568,52,418,0.06744,0.12391
1991,Saxony-Anhalt,female,No,0.90432,366,418,0.87609,0.93256
1991,Thuringa,male,Yes,0.10926,35,330,0.07555,0.14297
1991,Thuringa,male,No,0.89074,295,330,0.85703,0.92445
1991,Thuringa,female,Yes,0.06704,33,366,0.04138,0.09270
1991,Thuringa,female,No,0.93296,333,366,0.90730,0.95862
1992,Schleswig-Holstein,male,No,0.87203,111,111,0.80960,0.93446
1992,Schleswig-Holstein,female,No,0.89069,128,128,0.83642,0.94496
1992,Hamburg,male,No,0.96433,63,63,0.91816,1.01050
1992,Hamburg,female,No,0.94794,76,76,0.89767,0.99822
1992,Lower Saxony,male,Yes,0.11748,66,479,0.08861,0.14634
1992,Lower Saxony,male,No,0.88252,413,479,0.85366,0.91139
1992,Lower Saxony,female,Yes,0.08661,50,491,0.06171,0.11152
1992,Lower Saxony,female,No,0.91339,441,491,0.88848,0.93829
1992,Bremen,male,No,0.91198,38,38,0.82069,1.00327
1992,Bremen,female,No,0.97954,49,49,0.93949,1.01959
1992,North Rhine-Westphalia,male,Yes,0.14733,200,1236,0.12756,0.16710
1992,North Rhine-Westphalia,male,No,0.85267,1036,1236,0.83290,0.87244
1992,North Rhine-Westphalia,female,Yes,0.09497,140,1285,0.07893,0.11100
1992,North Rhine-Westphalia,female,No,0.90503,1145,1285,0.88900,0.92107
1992,Hesse,male,Yes,0.11186,58,470,0.08333,0.14038
1992,Hesse,male,No,0.88814,412,470,0.85962,0.91667
1992,Hesse,female,Yes,0.10816,51,483,0.08043,0.13589
1992,Hesse,female,No,0.89184,432,483,0.86411,0.91957
1992,"Rhineland-Palatinate, Saarland",male,Yes,0.10785,39,312,0.07337,0.14232
1992,"Rhineland-Palatinate, Saarland",male,No,0.89215,273,312,0.85768,0.92663
1992,"Rhineland-Palatinate, Saarland",female,Yes,0.07355,35,348,0.04608,0.10101
1992,"Rhineland-Palatinate, Saarland",female,No,0.92645,313,348,0.89899,0.95392
1992,Baden-Wuerttemberg,male,Yes,0.12761,106,876,0.10550,0.14972
1992,Baden-Wuerttemberg,male,No,0.87239,770,876,0.85028,0.89450
1992,Baden-Wuerttemberg,female,Yes,0.08292,85,884,0.06473,0.10111
1992,Baden-Wuerttemberg,female,No,0.91708,799,884,0.89889,0.93527
1992,Bavaria,male,Yes,0.11403,101,814,0.09219,0.13588
1992,Bavaria,male,No,0.88597,713,814,0.86412,0.90781
1992,Bavaria,female,Yes,0.06923,69,826,0.05190,0.08655
1992,Bavaria,female,No,0.93077,757,826,0.91345,0.94810
1992,Berlin,male,Yes,0.16986,55,279,0.12572,0.21400
1992,Berlin,male,No,0.83014,224,279,0.78600,0.87428
1992,Berlin,female,Yes,0.11218,50,319,0.07750,0.14687
1992,Berlin,female,No,0.88782,269,319,0.85313,0.92250
1992,Brandenburg,male,Yes,0.13061,48,317,0.09346,0.16777
1992,Brandenburg,male,No,0.86939,269,317,0.83223,0.90654
1992,Brandenburg,female,Yes,0.12575,52,344,0.09066,0.16083
1992,Brandenburg,female,No,0.87425,292,344,0.83917,0.90934
1992,Mecklenburg-Western Pomerania,male,No,0.90103,180,180,0.85728,0.94478
1992,Mecklenburg-Western Pomerania,female,Yes,0.12097,33,210,0.07676,0.16518
1992,Mecklenburg-Western Pomerania,female,No,0.87903,177,210,0.83482,0.92324
1992,Saxony,male,Yes,0.08202,51,537,0.05879,0.10525
1992,Saxony,male,No,0.91798,486,537,0.89475,0.94121
1992,Saxony,female,Yes,0.12278,100,625,0.09703,0.14853
1992,Saxony,female,No,0.87722,525,625,0.85147,0.90297
1992,Saxony-Anhalt,male,Yes,0.10430,46,369,0.07307,0.13553
1992,Saxony-Anhalt,male,No,0.89570,323,369,0.86447,0.92693
1992,Saxony-Anhalt,female,Yes,0.12090,55,403,0.08903,0.15277
1992,Saxony-Anhalt,female,No,0.87910,348,403,0.84723,0.91097
1992,Thuringa,male,Yes,0.11251,39,326,0.07815,0.14687
1992,Thuringa,male,No,0.88749,287,326,0.85313,0.92185
1992,Thuringa,female,Yes,0.10193,46,357,0.07050,0.13336
1992,Thuringa,female,No,0.89807,311,357,0.86664,0.92950
1993,Schleswig-Holstein,male,No,0.87766,121,121,0.81903,0.93629
1993,Schleswig-Holstein,female,No,0.90493,134,134,0.85509,0.95478
1993,Hamburg,male,No,0.94342,61,61,0.88495,1.00188
1993,Hamburg,female,No,0.98638,73,73,0.95960,1.01315
1993,Lower Saxony,male,Yes,0.11185,66,489,0.08389,0.13982
1993,Lower Saxony,male,No,0.88815,423,489,0.86018,0.91611
1993,Lower Saxony,female,Yes,0.07908,50,490,0.05516,0.10299
1993,Lower Saxony,female,No,0.92092,440,490,0.89701,0.94484
1993,Bremen,male,No,0.94552,41,41,0.87519,1.01586
1993,Bremen,female,No,0.98425,47,47,0.94826,1.02023
1993,North Rhine-Westphalia,male,Yes,0.13803,180,1211,0.11860,0.15747
1993,North Rhine-Westphalia,male,No,0.86197,1031,1211,0.84253,0.88140
1993,North Rhine-Westphalia,female,Yes,0.09753,142,1289,0.08133,0.11373
1993,North Rhine-Westphalia,female,No,0.90247,1147,1289,0.88627,0.91867
1993,Hesse,male,Yes,0.12251,59,460,0.09252,0.15251
1993,Hesse,male,No,0.87749,401,460,0.84749,0.90748
1993,Hesse,female,Yes,0.08624,46,472,0.06089,0.11160
1993,Hesse,female,No,0.91376,426,472,0.88840,0.93911
1993,"Rhineland-Palatinate, Saarland",male,Yes,0.09754,36,307,0.06430,0.13079
1993,"Rhineland-Palatinate, Saarland",male,No,0.90246,271,307,0.86921,0.93570
1993,"Rhineland-Palatinate, Saarland",female,No,0.94566,306,306,0.92021,0.97110
1993,Baden-Wuerttemberg,male,Yes,0.13038,113,893,0.10828,0.15248
1993,Baden-Wuerttemberg,male,No,0.86962,780,893,0.84752,0.89172
1993,Baden-Wuerttemberg,female,Yes,0.08668,84,886,0.06814,0.10522
1993,Baden-Wuerttemberg,female,No,0.91332,802,886,0.89478,0.93186
1993,Bavaria,male,Yes,0.10373,85,796,0.08253,0.12492
1993,Bavaria,male,No,0.89627,711,796,0.87508,0.91747
1993,Bavaria,female,Yes,0.07327,74,823,0.05545,0.09108
1993,Bavaria,female,No,0.92673,749,823,0.90892,0.94455
1993,Berlin,male,Yes,0.16511,45,272,0.12091,0.20932
1993,Berlin,male,No,0.83489,227,272,0.79068,0.87909
1993,Berlin,female,Yes,0.08859,36,303,0.05654,0.12064
1993,Berlin,female,No,0.91141,267,303,0.87936,0.94346
1993,Brandenburg,male,Yes,0.13050,46,304,0.09257,0.16842
1993,Brandenburg,male,No,0.86950,258,304,0.83158,0.90743
1993,Brandenburg,female,Yes,0.11181,46,325,0.07749,0.14612
1993,Brandenburg,female,No,0.88819,279,325,0.85388,0.92251
1993,Mecklenburg-Western Pomerania,male,No,0.91586,175,175,0.87461,0.95711
1993,Mecklenburg-Western Pomerania,female,No,0.88180,178,178,0.83424,0.92936
1993,Saxony,male,Yes,0.10880,65,520,0.08201,0.13559
1993,Saxony,male,No,0.89120,455,520,0.86441,0.91799
