year,quintil_oecd,sampreg,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,2nd Quintile,East,No,0.99592,1301,1301,0.99246,0.99939
2019,3rd Quintile,West,Yes,0.01239,38,3372,0.00866,0.01612
2019,3rd Quintile,West,No,0.98761,3334,3372,0.98388,0.99134
2019,3rd Quintile,East,No,0.99360,1061,1061,0.98880,0.99840
2019,4th Quintile,West,Yes,0.01002,41,3529,0.00673,0.01331
2019,4th Quintile,West,No,0.98998,3488,3529,0.98669,0.99327
2019,4th Quintile,East,No,0.99767,747,747,0.99420,1.00113
2019,5th Quintile,West,Yes,0.00898,35,4207,0.00613,0.01183
2019,5th Quintile,West,No,0.99102,4172,4207,0.98817,0.99387
2019,5th Quintile,East,No,0.99063,611,611,0.98299,0.99828
2020,1st Quintile,West,Yes,0.01022,52,5129,0.00747,0.01297
2020,1st Quintile,West,No,0.98978,5077,5129,0.98703,0.99253
2020,1st Quintile,East,No,0.98099,1438,1438,0.97393,0.98805
2020,2nd Quintile,West,Yes,0.00767,39,3498,0.00478,0.01056
2020,2nd Quintile,West,No,0.99233,3459,3498,0.98944,0.99522
2020,2nd Quintile,East,No,0.99776,1336,1336,0.99522,1.00029
2020,3rd Quintile,West,No,0.98957,3259,3259,0.98608,0.99306
2020,3rd Quintile,East,No,0.99612,973,973,0.99222,1.00003
2020,4th Quintile,West,Yes,0.01019,34,3692,0.00695,0.01343
2020,4th Quintile,West,No,0.98981,3658,3692,0.98657,0.99305
2020,4th Quintile,East,No,0.99521,830,830,0.99050,0.99991
2020,5th Quintile,West,Yes,0.00820,43,5084,0.00572,0.01068
2020,5th Quintile,West,No,0.99180,5041,5084,0.98932,0.99428
2020,5th Quintile,East,No,0.99617,872,872,0.99208,1.00027
2021,1st Quintile,West,Yes,0.00552,49,3789,0.00316,0.00788
2021,1st Quintile,West,No,0.99448,3740,3789,0.99212,0.99684
2021,1st Quintile,East,No,0.99377,990,990,0.98887,0.99868
2021,2nd Quintile,West,Yes,0.01012,31,2651,0.00631,0.01393
2021,2nd Quintile,West,No,0.98988,2620,2651,0.98607,0.99369
2021,2nd Quintile,East,No,0.99116,887,887,0.98500,0.99732
2021,3rd Quintile,West,No,0.99003,2422,2422,0.98607,0.99399
2021,3rd Quintile,East,No,0.99589,685,685,0.99110,1.00069
2021,4th Quintile,West,No,0.99441,2580,2580,0.99153,0.99729
2021,4th Quintile,East,No,0.99186,584,584,0.98457,0.99916
2021,5th Quintile,West,Yes,0.00913,41,3631,0.00604,0.01223
2021,5th Quintile,West,No,0.99087,3590,3631,0.98777,0.99396
2021,5th Quintile,East,No,0.99914,650,650,0.99688,1.00140
2022,1st Quintile,West,Yes,0.01134,40,3302,0.00773,0.01495
2022,1st Quintile,West,No,0.98866,3262,3302,0.98505,0.99227
2022,1st Quintile,East,No,0.99015,938,938,0.98383,0.99648
2022,2nd Quintile,West,No,0.99322,2327,2327,0.98988,0.99655
2022,2nd Quintile,East,No,0.99625,849,849,0.99213,1.00036
2022,3rd Quintile,West,Yes,0.01000,33,2287,0.00592,0.01408
2022,3rd Quintile,West,No,0.99000,2254,2287,0.98592,0.99408
2022,3rd Quintile,East,No,0.99012,659,659,0.98256,0.99767
2022,4th Quintile,West,Yes,0.01226,33,2534,0.00797,0.01654
2022,4th Quintile,West,No,0.98774,2501,2534,0.98346,0.99203
2022,4th Quintile,East,No,0.98522,555,555,0.97517,0.99527
2022,5th Quintile,West,Yes,0.00886,35,3374,0.00570,0.01202
2022,5th Quintile,West,No,0.99114,3339,3374,0.98798,0.99430
2022,5th Quintile,East,No,0.99613,618,618,0.99123,1.00103
