year,quintil_oecd,sex,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2020,5th Quintile,male,No,0.88012,3105,3105,0.86870,0.89155
2020,5th Quintile,female,No,0.86734,2808,2808,0.85479,0.87989
2021,1st Quintile,male,Yes,0.00587,36,2307,0.00275,0.00898
2021,1st Quintile,male,No,0.76007,2271,2307,0.74264,0.77750
2021,1st Quintile,female,No,0.81043,2455,2455,0.79493,0.82594
2021,2nd Quintile,male,No,0.78671,1590,1590,0.76657,0.80685
2021,2nd Quintile,female,No,0.81750,1915,1915,0.80019,0.83480
2021,3rd Quintile,male,No,0.81319,1433,1433,0.79300,0.83338
2021,3rd Quintile,female,No,0.80999,1673,1673,0.79118,0.82879
2021,4th Quintile,male,No,0.85758,1506,1506,0.83993,0.87524
2021,4th Quintile,female,No,0.84402,1658,1658,0.82655,0.86149
2021,5th Quintile,male,No,0.87424,2249,2249,0.86053,0.88795
2021,5th Quintile,female,No,0.87317,1991,1991,0.85855,0.88779
2022,1st Quintile,male,No,0.75246,1945,1945,0.73328,0.77165
2022,1st Quintile,female,No,0.81405,2249,2249,0.79797,0.83013
2022,2nd Quintile,male,No,0.81267,1454,1454,0.79261,0.83273
2022,2nd Quintile,female,No,0.83884,1722,1722,0.82147,0.85621
2022,3rd Quintile,male,No,0.79766,1376,1376,0.77643,0.81890
2022,3rd Quintile,female,No,0.84950,1537,1537,0.83162,0.86738
2022,4th Quintile,male,No,0.83879,1482,1482,0.82006,0.85752
2022,4th Quintile,female,No,0.82980,1574,1574,0.81123,0.84837
2022,5th Quintile,male,No,0.87623,2079,2079,0.86207,0.89039
2022,5th Quintile,female,No,0.87561,1878,1878,0.86068,0.89054
