year,age_gr,sex,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,30-45 y.,male,No,0.98472,3812,3870,0.98086,0.98859
2016,30-45 y.,female,Yes,0.02772,108,4752,0.02305,0.03239
2016,30-45 y.,female,No,0.97226,4644,4752,0.96759,0.97693
2016,46-65 y.,male,No,0.99734,4223,4223,0.99579,0.99890
2016,46-65 y.,female,Yes,0.00739,44,4778,0.00496,0.00982
2016,46-65 y.,female,No,0.99260,4734,4778,0.99017,0.99503
2016,66 and older,male,No,0.99975,2319,2319,0.99911,1.00039
2016,66 and older,female,No,0.99822,2416,2416,0.99653,0.99990
2017,17-29 y.,male,Yes,0.02090,60,2963,0.01574,0.02605
2017,17-29 y.,male,No,0.90861,2903,2963,0.89823,0.91898
2017,17-29 y.,female,Yes,0.01638,42,2851,0.01172,0.02104
2017,17-29 y.,female,No,0.91717,2809,2851,0.90705,0.92729
2017,30-45 y.,male,Yes,0.02025,78,4089,0.01593,0.02457
2017,30-45 y.,male,No,0.97974,4011,4089,0.97542,0.98405
2017,30-45 y.,female,Yes,0.02011,96,5040,0.01623,0.02398
2017,30-45 y.,female,No,0.97988,4944,5040,0.97601,0.98376
2017,46-65 y.,male,No,0.99593,4976,4976,0.99416,0.99770
2017,46-65 y.,female,Yes,0.00919,67,5574,0.00669,0.01170
2017,46-65 y.,female,No,0.99081,5507,5574,0.98830,0.99331
2017,66 and older,male,No,0.99969,2464,2464,0.99900,1.00039
2017,66 and older,female,No,0.99989,2529,2529,0.99948,1.00030
2018,17-29 y.,male,Yes,0.01640,47,2787,0.01168,0.02111
2018,17-29 y.,male,No,0.92204,2740,2787,0.91208,0.93199
2018,17-29 y.,female,Yes,0.01340,38,2700,0.00906,0.01774
2018,17-29 y.,female,No,0.92422,2662,2700,0.91423,0.93420
2018,30-45 y.,male,Yes,0.01717,80,3783,0.01303,0.02131
2018,30-45 y.,male,No,0.98282,3703,3783,0.97868,0.98696
2018,30-45 y.,female,Yes,0.02721,96,4659,0.02254,0.03188
2018,30-45 y.,female,No,0.97237,4563,4659,0.96766,0.97707
2018,46-65 y.,male,No,0.99831,4820,4820,0.99715,0.99947
2018,46-65 y.,female,Yes,0.00698,58,5411,0.00476,0.00920
2018,46-65 y.,female,No,0.99302,5353,5411,0.99080,0.99524
2018,66 and older,male,No,0.99845,2454,2454,0.99689,1.00001
2019,17-29 y.,male,Yes,0.01353,40,2448,0.00895,0.01810
2019,17-29 y.,male,No,0.90804,2408,2448,0.89660,0.91949
2019,17-29 y.,female,Yes,0.01995,42,2393,0.01435,0.02555
2019,17-29 y.,female,No,0.90843,2351,2393,0.89687,0.91998
2019,30-45 y.,male,Yes,0.01359,53,3664,0.00984,0.01733
2019,30-45 y.,male,No,0.98641,3611,3664,0.98267,0.99016
2019,30-45 y.,female,Yes,0.02065,73,4299,0.01640,0.02491
2019,30-45 y.,female,No,0.97935,4226,4299,0.97509,0.98360
2019,46-65 y.,male,Yes,0.00339,32,5489,0.00185,0.00493
2019,46-65 y.,male,No,0.99660,5457,5489,0.99507,0.99814
2019,46-65 y.,female,Yes,0.00958,51,5567,0.00702,0.01213
2019,46-65 y.,female,No,0.99042,5516,5567,0.98786,0.99298
2019,66 and older,male,No,0.99897,2634,2634,0.99775,1.00020
2019,66 and older,female,No,0.99849,2564,2564,0.99699,1.00000
2020,17-29 y.,male,Yes,0.02369,52,2826,0.01808,0.02929
2020,17-29 y.,male,No,0.90492,2774,2826,0.89411,0.91574
2020,17-29 y.,female,Yes,0.01574,32,2633,0.01099,0.02050
2020,17-29 y.,female,No,0.90755,2601,2633,0.89648,0.91861
2020,30-45 y.,male,Yes,0.01276,69,4172,0.00936,0.01617
2020,30-45 y.,male,No,0.98701,4103,4172,0.98358,0.99045
2020,30-45 y.,female,Yes,0.01486,64,4319,0.01125,0.01846
2020,30-45 y.,female,No,0.98504,4255,4319,0.98142,0.98866
2020,46-65 y.,male,No,0.99503,5129,5129,0.99311,0.99695
2020,46-65 y.,female,Yes,0.00650,48,5364,0.00435,0.00865
2020,46-65 y.,female,No,0.99350,5316,5364,0.99135,0.99565
2020,66 and older,male,No,0.99858,2452,2452,0.99709,1.00007
2020,66 and older,female,No,0.99820,2468,2468,0.99653,0.99987
2021,17-29 y.,male,Yes,0.01288,33,1671,0.00748,0.01829
2021,17-29 y.,male,No,0.92870,1638,1671,0.91635,0.94104
2021,17-29 y.,female,No,0.91872,1585,1585,0.90527,0.93218
2021,30-45 y.,male,Yes,0.01517,54,2497,0.01038,0.01997
2021,30-45 y.,male,No,0.98452,2443,2497,0.97967,0.98936
2021,30-45 y.,female,Yes,0.02154,54,2845,0.01621,0.02688
2021,30-45 y.,female,No,0.97683,2791,2845,0.97130,0.98236
2021,46-65 y.,male,No,0.99605,3471,3471,0.99396,0.99813
2021,46-65 y.,female,Yes,0.00561,38,3825,0.00324,0.00797
2021,46-65 y.,female,No,0.99256,3787,3825,0.98984,0.99529
2021,66 and older,male,No,0.98925,1793,1793,0.98447,0.99402
2021,66 and older,female,No,0.98999,1775,1775,0.98536,0.99462
2022,17-29 y.,male,Yes,0.01992,62,2760,0.01471,0.02514
2022,17-29 y.,male,No,0.92554,2698,2760,0.91575,0.93534
2022,17-29 y.,female,Yes,0.01510,61,2869,0.01064,0.01957
2022,17-29 y.,female,No,0.93513,2808,2869,0.92612,0.94414
2022,30-45 y.,male,Yes,0.02965,125,4397,0.02463,0.03466
2022,30-45 y.,male,No,0.96814,4272,4397,0.96294,0.97333
2022,30-45 y.,female,Yes,0.02015,128,4537,0.01606,0.02424
2022,30-45 y.,female,No,0.97624,4409,4537,0.97181,0.98067
2022,46-65 y.,male,No,0.98519,4351,4351,0.98160,0.98878
2022,46-65 y.,female,Yes,0.00818,63,4778,0.00563,0.01074
2022,46-65 y.,female,No,0.98634,4715,4778,0.98305,0.98964
2022,66 and older,male,No,0.98263,2028,2028,0.97695,0.98832
2022,66 and older,female,No,0.97856,2061,2061,0.97230,0.98481
