year,bula_h,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Baden-Wuerttemberg,No,0.98662,3144,3191,0.98264,0.99061
2016,Bavaria,Yes,0.01078,37,4222,0.00767,0.01390
2016,Bavaria,No,0.98922,4185,4222,0.98610,0.99233
2016,Berlin,No,0.98501,999,999,0.97747,0.99255
2016,Brandenburg,No,0.99069,1037,1037,0.98484,0.99654
2016,Mecklenburg-Western Pomerania,No,0.99276,584,584,0.98587,0.99964
2016,Saxony,No,0.99064,1557,1557,0.98586,0.99542
2016,Saxony-Anhalt,No,0.99248,903,903,0.98684,0.99812
2016,Thuringa,No,0.99278,973,973,0.98746,0.99810
2017,Schleswig-Holstein,No,0.99036,1169,1169,0.98476,0.99597
2017,Hamburg,No,0.99918,531,531,0.99674,1.00162
2017,Lower Saxony,Yes,0.01477,49,3212,0.01059,0.01894
2017,Lower Saxony,No,0.98523,3163,3212,0.98106,0.98941
2017,Bremen,No,0.95676,279,279,0.93285,0.98067
2017,North Rhine-Westphalia,Yes,0.01139,95,6483,0.00880,0.01397
2017,North Rhine-Westphalia,No,0.98861,6388,6483,0.98603,0.99120
2017,Hesse,No,0.99034,2133,2133,0.98619,0.99449
2017,"Rhineland-Palatinate, Saarland",No,0.99609,1775,1775,0.99319,0.99900
2017,Baden-Wuerttemberg,Yes,0.01151,45,3475,0.00796,0.01506
2017,Baden-Wuerttemberg,No,0.98849,3430,3475,0.98494,0.99204
2017,Bavaria,Yes,0.01201,58,4618,0.00887,0.01515
2017,Bavaria,No,0.98799,4560,4618,0.98485,0.99113
2017,Berlin,No,0.99582,1082,1082,0.99197,0.99966
2017,Brandenburg,No,0.99313,1153,1153,0.98836,0.99790
2017,Mecklenburg-Western Pomerania,No,0.99608,614,614,0.99114,1.00103
2017,Saxony,No,0.98970,1780,1780,0.98501,0.99440
2017,Saxony-Anhalt,No,0.99651,1022,1022,0.99290,1.00013
2017,Thuringa,No,0.98543,1064,1064,0.97823,0.99264
2018,Schleswig-Holstein,No,0.99811,1080,1080,0.99552,1.00070
2018,Hamburg,No,0.98594,531,531,0.97591,0.99596
2018,Lower Saxony,Yes,0.00570,34,3041,0.00302,0.00837
2018,Lower Saxony,No,0.99430,3007,3041,0.99163,0.99698
2018,Bremen,No,0.96995,291,291,0.95030,0.98960
2018,North Rhine-Westphalia,Yes,0.01305,89,6245,0.01024,0.01587
2018,North Rhine-Westphalia,No,0.98695,6156,6245,0.98413,0.98976
2018,Hesse,No,0.98647,2071,2071,0.98149,0.99145
2018,"Rhineland-Palatinate, Saarland",No,0.99431,1702,1702,0.99073,0.99788
2018,Baden-Wuerttemberg,No,0.99571,3129,3129,0.99342,0.99800
2018,Bavaria,Yes,0.01274,55,4330,0.00940,0.01608
2018,Bavaria,No,0.98726,4275,4330,0.98392,0.99060
2018,Berlin,No,0.98777,1114,1114,0.98131,0.99423
2018,Brandenburg,No,0.99828,1125,1125,0.99586,1.00070
2018,Mecklenburg-Western Pomerania,No,0.98904,645,645,0.98099,0.99708
2018,Saxony,No,0.99147,1718,1718,0.98712,0.99582
2018,Saxony-Anhalt,No,0.99712,987,987,0.99377,1.00046
2018,Thuringa,No,0.98946,1025,1025,0.98320,0.99571
2019,Schleswig-Holstein,No,0.98718,1138,1138,0.98064,0.99372
2019,Hamburg,No,0.99516,579,579,0.98950,1.00082
2019,Lower Saxony,No,0.99421,2907,2907,0.99145,0.99697
2019,Bremen,No,0.94916,282,282,0.92347,0.97484
2019,North Rhine-Westphalia,Yes,0.00946,69,6251,0.00706,0.01187
2019,North Rhine-Westphalia,No,0.99054,6182,6251,0.98813,0.99294
2019,Hesse,No,0.98978,1981,1981,0.98535,0.99421
2019,"Rhineland-Palatinate, Saarland",No,0.99162,1641,1641,0.98720,0.99603
2019,Baden-Wuerttemberg,No,0.99376,3158,3158,0.99102,0.99651
2019,Bavaria,Yes,0.01320,46,4314,0.00979,0.01661
2019,Bavaria,No,0.98680,4268,4314,0.98339,0.99021
2019,Berlin,No,0.98136,1117,1117,0.97343,0.98930
2019,Brandenburg,No,0.99782,1204,1204,0.99519,1.00046
2019,Mecklenburg-Western Pomerania,No,0.99236,643,643,0.98563,0.99910
2019,Saxony,Yes,0.01151,31,1736,0.00649,0.01653
2019,Saxony,No,0.98849,1705,1736,0.98347,0.99351
2019,Saxony-Anhalt,No,0.99775,980,980,0.99479,1.00072
2019,Thuringa,No,0.99542,988,988,0.99120,0.99963
2020,Schleswig-Holstein,No,0.99228,1058,1058,0.98700,0.99755
2020,Hamburg,No,0.99184,600,600,0.98463,0.99904
2020,Lower Saxony,No,0.99352,2863,2863,0.99059,0.99646
2020,Bremen,No,0.96765,308,308,0.94786,0.98744
2020,North Rhine-Westphalia,Yes,0.01038,72,6570,0.00793,0.01283
2020,North Rhine-Westphalia,No,0.98962,6498,6570,0.98717,0.99207
2020,Hesse,No,0.98731,2062,2062,0.98247,0.99214
2020,"Rhineland-Palatinate, Saarland",No,0.99365,1569,1569,0.98972,0.99758
2020,Baden-Wuerttemberg,Yes,0.00780,36,3204,0.00475,0.01085
2020,Baden-Wuerttemberg,No,0.99220,3168,3204,0.98915,0.99525
2020,Bavaria,Yes,0.00740,38,4392,0.00486,0.00993
2020,Bavaria,No,0.99260,4354,4392,0.99007,0.99514
2020,Berlin,No,0.98444,1351,1351,0.97784,0.99105
2020,Brandenburg,No,0.99561,1147,1147,0.99178,0.99944
2020,Mecklenburg-Western Pomerania,No,0.99591,533,533,0.99049,1.00133
2020,Saxony,No,0.99392,1665,1665,0.99019,0.99766
2020,Saxony-Anhalt,No,0.98631,959,959,0.97896,0.99367
2020,Thuringa,No,0.98934,970,970,0.98288,0.99581
2021,Schleswig-Holstein,No,0.99546,844,844,0.99093,1.00000
2021,Hamburg,No,0.99830,448,448,0.99448,1.00212
2021,Lower Saxony,No,0.99481,1905,1905,0.99159,0.99804
2021,Bremen,No,0.99809,153,153,0.99116,1.00503
2021,North Rhine-Westphalia,Yes,0.00924,48,4227,0.00636,0.01213
2021,North Rhine-Westphalia,No,0.99076,4179,4227,0.98787,0.99364
2021,Hesse,No,0.98966,1320,1320,0.98419,0.99512
2021,"Rhineland-Palatinate, Saarland",No,0.98968,1008,1008,0.98343,0.99592
2021,Baden-Wuerttemberg,No,0.98968,2155,2155,0.98541,0.99395
2021,Bavaria,No,0.99235,2859,2859,0.98915,0.99554
2021,Berlin,No,0.99802,921,921,0.99515,1.00089
2021,Brandenburg,No,0.99496,700,700,0.98970,1.00021
2021,Mecklenburg-Western Pomerania,No,0.99508,407,407,0.98828,1.00189
2021,Saxony,No,0.98742,1158,1158,0.98100,0.99384
2021,Saxony-Anhalt,No,0.99848,605,605,0.99538,1.00159
2021,Thuringa,No,0.99578,627,627,0.99069,1.00086
2022,Schleswig-Holstein,No,0.99428,1001,1001,0.98961,0.99895
2022,Hamburg,No,0.96194,612,612,0.94677,0.97711
2022,Lower Saxony,Yes,0.01474,41,2438,0.00995,0.01952
2022,Lower Saxony,No,0.98526,2397,2438,0.98048,0.99005
2022,Bremen,No,0.98838,200,200,0.97350,1.00327
2022,North Rhine-Westphalia,Yes,0.01054,105,5996,0.00796,0.01313
2022,North Rhine-Westphalia,No,0.98946,5891,5996,0.98687,0.99204
2022,Hesse,Yes,0.01334,41,1827,0.00808,0.01860
2022,Hesse,No,0.98666,1786,1827,0.98140,0.99192
2022,"Rhineland-Palatinate, Saarland",No,0.98089,1305,1305,0.97346,0.98832
2022,Baden-Wuerttemberg,Yes,0.01221,51,3285,0.00845,0.01597
2022,Baden-Wuerttemberg,No,0.98779,3234,3285,0.98403,0.99155
2022,Bavaria,Yes,0.00916,69,4402,0.00634,0.01197
2022,Bavaria,No,0.99084,4333,4402,0.98803,0.99366
2022,Berlin,Yes,0.01209,37,1545,0.00664,0.01754
2022,Berlin,No,0.98791,1508,1545,0.98246,0.99336
2022,Brandenburg,No,0.98952,1007,1007,0.98322,0.99581
2022,Mecklenburg-Western Pomerania,No,0.99470,563,563,0.98870,1.00070
2022,Saxony,No,0.98715,1749,1749,0.98187,0.99243
2022,Saxony-Anhalt,No,0.99017,913,913,0.98376,0.99657
2022,Thuringa,No,0.99364,863,863,0.98833,0.99894
